"Year","Antigen or vaccine","Target population","Geography","Gender","GeoCode","Value"
"2015","Haemophilus influenzae type B (Hib)","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,74.9
"2015","Measles","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,89.2
"2015","Mumps","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,87.7
"2015","Rubella","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,95.1
"2015","Hepatitis B","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,88.1
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,75.8
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,75.8
"2017","Tetanus","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,75.8
"2017","Polio","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,90.7
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,73.4
"2017","Measles","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,90.2
"2017","Mumps","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,89.9
"2017","Rubella","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,90
"2017","Hepatitis B","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,74.1
"2017","Varicella","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,82.9
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,87.6
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,81.4
"2017","Rotavirus","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,78.8
"2017","Diphtheria","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,80.5
"2017","Pertussis (whooping cough)","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,80.5
"2017","Tetanus","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,80.5
"2017","Polio","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,92.3
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,83.9
"2017","Measles","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,87
"2017","Mumps","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,86.4
"2017","Rubella","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,94.5
"2017","Hepatitis B","Recommended vaccines for 14-year-old children","Canada","Total - Gender",11124,83.1
"2017","Hepatitis B","Recommended vaccines for 14-year-old children","Canada","Men+",11124,82.1
"2017","Hepatitis B","Recommended vaccines for 14-year-old children","Canada","Women+",11124,84.1
"2017","Human Papillomavirus (HPV)","Recommended vaccines for 14-year-old children","Canada","Women+",11124,83
"2017","Diphtheria, Tetanus, acellular Pertussis (Tdap) booster","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,89.3
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,88.9
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,88.9
"2017","Tetanus","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,88.9
"2017","Polio","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,96.9
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,87.7
"2017","Measles","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,96.9
"2017","Mumps","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,96.9
"2017","Rubella","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,96.9
"2017","Varicella","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,95.1
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,93.2
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,90.2
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,81.2
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,81.2
"2017","Tetanus","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,81.2
"2017","Polio","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,93.9
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,79.8
"2017","Measles","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,93.2
"2017","Mumps","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,92.6
"2017","Rubella","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,92.6
"2017","Hepatitis B","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,86.7
"2017","Varicella","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,92
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,92.7
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,89.5
"2017","Rotavirus","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,85.9
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,73.8
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,73.8
"2017","Tetanus","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,73.8
"2017","Polio","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,93.5
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,68.5
"2017","Measles","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,87.1
"2017","Mumps","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,86.8
"2017","Rubella","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,86.8
"2017","Varicella","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,84.8
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,81.8
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Nova Scotia","Total - Gender",12,80.4
"2017","Diphtheria","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,75.5
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,75.5
"2017","Tetanus","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,75.5
"2017","Polio","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,90.1
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,74.7
"2017","Measles","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,92
"2017","Mumps","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,92
"2017","Rubella","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,92
"2017","Hepatitis B","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,81
"2017","Varicella","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,90.9
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,88.3
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","New Brunswick","Total - Gender",13,82.2
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,75.7
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,75.7
"2017","Tetanus","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,75.7
"2017","Polio","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,91
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,72.9
"2017","Measles","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,90.9
"2017","Mumps","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,90.5
"2017","Rubella","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,90.5
"2017","Varicella","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,84.3
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,85.7
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,80.5
"2017","Rotavirus","Recommended vaccines for 2-year-old children","Ontario","Total - Gender",35,77.7
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,73.7
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,73.7
"2017","Tetanus","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,73.7
"2017","Polio","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,90.9
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,71.3
"2017","Measles","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,91
"2017","Mumps","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,90.5
"2017","Rubella","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,90.5
"2017","Hepatitis B","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,75.7
"2017","Varicella","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,76.1
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,89.9
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,83.3
"2017","Rotavirus","Recommended vaccines for 2-year-old children","Quebec","Total - Gender",24,81
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,67.5
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,67.5
"2017","Tetanus","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,67.5
"2017","Polio","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,85.6
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,62.2
"2017","Measles","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,86.1
"2017","Mumps","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,85.9
"2017","Rubella","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,86.2
"2017","Varicella","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,81.6
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,82.2
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,74.6
"2017","Rotavirus","Recommended vaccines for 2-year-old children","Manitoba","Total - Gender",46,68.4
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,78.6
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,78.6
"2017","Tetanus","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,78.6
"2017","Polio","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,90
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,75.1
"2017","Measles","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,89.5
"2017","Mumps","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,89.5
"2017","Rubella","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,89.5
"2017","Varicella","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,84.8
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,81.1
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,83.7
"2017","Rotavirus","Recommended vaccines for 2-year-old children","Saskatchewan","Total - Gender",47,84
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,79.9
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,79.9
"2017","Tetanus","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,79.9
"2017","Polio","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,93
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,79.1
"2017","Measles","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,91.7
"2017","Mumps","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,91.4
"2017","Rubella","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,91.4
"2017","Varicella","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,86.7
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,91
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Alberta","Total - Gender",48,82.6
"2017","Diphtheria","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,76.6
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,76.6
"2017","Tetanus","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,76.6
"2017","Polio","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,87.5
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,74.4
"2017","Measles","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,86.1
"2017","Mumps","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,86.1
"2017","Rubella","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,86.1
"2017","Hepatitis B","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,69.7
"2017","Varicella","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,83.7
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,89.3
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,80.3
"2017","Rotavirus","Recommended vaccines for 2-year-old children","British Columbia","Total - Gender",59,80.2
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,70.7
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,70.7
"2017","Tetanus","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,70.7
"2017","Polio","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,93.7
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,69.3
"2017","Measles","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,91
"2017","Mumps","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,91
"2017","Rubella","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,91
"2017","Hepatitis B","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,62.8
"2017","Varicella","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,85.5
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,93.7
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,83.2
"2017","Rotavirus","Recommended vaccines for 2-year-old children","Yukon","Total - Gender",60,76.6
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,76.7
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,76.7
"2017","Tetanus","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,76.7
"2017","Polio","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,91.1
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,75.5
"2017","Measles","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,91.8
"2017","Mumps","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,91.8
"2017","Rubella","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,91.8
"2017","Hepatitis B","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,80.5
"2017","Varicella","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,88.9
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,95.2
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,63.8
"2017","Rotavirus","Recommended vaccines for 2-year-old children","Northwest Territories","Total - Gender",61,66.3
"2017","Diphtheria","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,63.8
"2017","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,63.8
"2017","Tetanus","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,63.8
"2017","Polio","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,82.1
"2017","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,57.2
"2017","Measles","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,88.7
"2017","Mumps","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,88.7
"2017","Rubella","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,88.7
"2017","Hepatitis B","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,70.8
"2017","Varicella","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,82.1
"2017","Meningococcal type C","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,80.1
"2017","Pneumococcal","Recommended vaccines for 2-year-old children","Nunavut","Total - Gender",62,62.4
"2019","Diphtheria","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,77.5
"2019","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,77.5
"2019","Tetanus","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,77.5
"2019","Polio","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,91.9
"2019","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,74.4
"2019","Measles","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,90.2
"2019","Mumps","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,89.2
"2019","Rubella","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,89.4
"2019","Hepatitis B","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,83.6
"2019","Varicella","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,82.7
"2019","Meningococcal type C","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,91.1
"2019","Pneumococcal","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,84.4
"2019","Rotavirus","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,84.5
"2019","Diphtheria","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,78.1
"2019","Pertussis (whooping cough)","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,78.1
"2019","Tetanus","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,78.1
"2019","Polio","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,89.3
"2019","Haemophilus influenzae type B (Hib)","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,80
"2019","Measles","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,83.3
"2019","Mumps","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,83.1
"2019","Rubella","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,95.9
"2019","Hepatitis B","Recommended vaccines for 14-year-old children","Canada","Total - Gender",11124,84.5
"2019","Human Papillomavirus (HPV)","Recommended vaccines for 14-year-old children","Canada","Total - Gender",11124,80.2
"2019","Hepatitis B","Recommended vaccines for 14-year-old children","Canada","Men+",11124,83
"2019","Human Papillomavirus (HPV)","Recommended vaccines for 14-year-old children","Canada","Men+",11124,73
"2019","Hepatitis B","Recommended vaccines for 14-year-old children","Canada","Women+",11124,86
"2019","Human Papillomavirus (HPV)","Recommended vaccines for 14-year-old children","Canada","Women+",11124,87.1
"2019","Meningococcal type C","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,89.3
"2019","Diphtheria, Tetanus, acellular Pertussis (Tdap) booster","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,95.3
"2021","Diphtheria","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,77.1
"2021","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,77.1
"2021","Tetanus","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,77.1
"2021","Polio","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,91.8
"2021","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,75.3
"2021","Measles","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,91.6
"2021","Mumps","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,91.5
"2021","Rubella","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,91.5
"2021","Hepatitis B","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,82.6
"2021","Varicella","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,87.5
"2021","Meningococcal type C","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,90.5
"2021","Pneumococcal","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,85.1
"2021","Rotavirus","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,85.6
"2021","Diphtheria","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,71.9
"2021","Pertussis (whooping cough)","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,71.9
"2021","Tetanus","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,71.9
"2021","Polio","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,87.3
"2021","Haemophilus influenzae type B (Hib)","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,78.5
"2021","Measles","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,79.2
"2021","Mumps","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,79.5
"2021","Rubella","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,94
"2021","Hepatitis B","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,78.4
"2021","Varicella","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,90.7
"2021","Hepatitis B","Recommended vaccines for 14-year-old children","Canada","Total - Gender",11124,89
"2021","Human Papillomavirus (HPV)","Recommended vaccines for 14-year-old children","Canada","Total - Gender",11124,84
"2021","Hepatitis B","Recommended vaccines for 14-year-old children","Canada","Men+",11124,86.5
"2021","Human Papillomavirus (HPV)","Recommended vaccines for 14-year-old children","Canada","Men+",11124,81.5
"2021","Hepatitis B","Recommended vaccines for 14-year-old children","Canada","Women+",11124,91.5
"2021","Human Papillomavirus (HPV)","Recommended vaccines for 14-year-old children","Canada","Women+",11124,86.4
"2021","Meningococcal type C","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,89
"2021","Diphtheria, Tetanus, acellular Pertussis (Tdap) booster","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,92.8
"2021","Diphtheria","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,80
"2021","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,80
"2021","Tetanus","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,80
"2021","Polio","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,95.4
"2021","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,76.8
"2021","Measles","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,97
"2021","Mumps","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,97
"2021","Rubella","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,97
"2021","Varicella","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,96.4
"2021","Meningococcal type C","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,93.6
"2021","Pneumococcal","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,87.8
"2021","Rotavirus","Recommended vaccines for 2-year-old children","Newfoundland and Labrador","Total - Gender",10,93.3
"2021","Diphtheria","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,95.8
"2021","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Prince Edward Island","Total - Gender",11,95.8
