"Year","Gender","Age group","Geography","GeoCode","Progress","Value"
"2015","Men+","15 to 64 years","Canada",,5.7,7.7
"2015","Men+","15 to 19 years","Canada",,17.2,19.2
"2015","Men+","20 to 24 years","Canada",,10.2,12.2
"2015","Men+","25 to 29 years","Canada",,6.3,8.3
"2015","Men+","30 to 34 years","Canada",,4.1,6.1
"2015","Men+","35 to 39 years","Canada",,4,6
"2015","Men+","40 to 44 years","Canada",,3.7,5.7
"2015","Men+","45 to 49 years","Canada",,3.5,5.5
"2015","Men+","50 to 54 years","Canada",,4.2,6.2
"2015","Men+","55 to 59 years","Canada",,4.5,6.5
"2015","Men+","60 to 64 years","Canada",,5.5,7.5
"2015","Men+","65 years and over","Canada",,2.8,4.8
"2015","Men+","65 to 69 years","Canada",,4,6
"2015","Men+","70 years and over","Canada",,1.4,2.6
"2015","Women+","15 years and over","Canada",,4.4,6.4
"2015","Women+","15 to 24 years","Canada",,8.8,10.8
"2015","Women+","25 years and over","Canada",,3.6,5.6
"2015","Women+","25 to 44 years","Canada",,3.9,5.9
"2015","Women+","45 to 64 years","Canada",,3.3,5.3
"2015","Women+","45 years and over","Canada",,3.3,5.3
"2015","Women+","25 to 54 years","Canada",,3.6,5.6
"2015","Women+","55 years and over","Canada",,3.5,5.5
"2015","Women+","15 to 64 years","Canada",,4.4,6.4
"2015","Women+","15 to 19 years","Canada",,13.8,15.8
"2015","Women+","20 to 24 years","Canada",,5.8,7.8
"2015","Women+","25 to 29 years","Canada",,4.6,6.6
"2015","Women+","30 to 34 years","Canada",,3.6,5.6
"2015","Women+","35 to 39 years","Canada",,3.7,5.7
"2015","Women+","40 to 44 years","Canada",,3.6,5.6
"2015","Women+","45 to 49 years","Canada",,3,5
"2015","Women+","50 to 54 years","Canada",,3.1,5.1
"2015","Women+","55 to 59 years","Canada",,3.8,5.8
"2015","Women+","60 to 64 years","Canada",,3.8,5.8
"2015","Women+","65 years and over","Canada",,2.2,4.2
"2015","Women+","65 to 69 years","Canada",,2.5,4.5
"2015","Women+","70 years and over","Canada",,1.5,3.5
"2015","Total - Gender","15 years and over","Newfoundland and Labrador",10,11.1,13.1
"2015","Total - Gender","15 to 24 years","Newfoundland and Labrador",10,14.5,16.5
"2015","Total - Gender","25 years and over","Newfoundland and Labrador",10,10.6,12.6
"2015","Total - Gender","25 to 44 years","Newfoundland and Labrador",10,8.6,10.6
"2015","Total - Gender","45 to 64 years","Newfoundland and Labrador",10,12.2,14.2
"2015","Total - Gender","45 years and over","Newfoundland and Labrador",10,12.2,14.2
"2015","Total - Gender","25 to 54 years","Newfoundland and Labrador",10,9.3,11.3
"2015","Total - Gender","55 years and over","Newfoundland and Labrador",10,14.3,16.3
"2015","Total - Gender","15 to 64 years","Newfoundland and Labrador",10,11.1,13.1
"2015","Total - Gender","15 to 19 years","Newfoundland and Labrador",10,17,19
"2015","Total - Gender","20 to 24 years","Newfoundland and Labrador",10,12.6,14.6
"2015","Total - Gender","25 to 29 years","Newfoundland and Labrador",10,9,11
"2015","Total - Gender","30 to 34 years","Newfoundland and Labrador",10,8.6,10.6
"2015","Total - Gender","35 to 39 years","Newfoundland and Labrador",10,7.9,9.9
"2015","Total - Gender","40 to 44 years","Newfoundland and Labrador",10,9,11
"2015","Total - Gender","45 to 49 years","Newfoundland and Labrador",10,9.2,11.2
"2015","Total - Gender","50 to 54 years","Newfoundland and Labrador",10,11.2,13.2
"2015","Total - Gender","55 to 59 years","Newfoundland and Labrador",10,12.8,14.8
"2015","Total - Gender","60 to 64 years","Newfoundland and Labrador",10,17.2,19.2
"2015","Total - Gender","65 years and over","Newfoundland and Labrador",10,12.6,14.6
"2015","Total - Gender","65 to 69 years","Newfoundland and Labrador",10,15.1,17.1
"2015","Total - Gender","70 years and over","Newfoundland and Labrador",10,,
"2015","Men+","15 years and over","Newfoundland and Labrador",10,13.5,15.5
"2015","Men+","15 to 24 years","Newfoundland and Labrador",10,18.5,20.5
"2015","Men+","25 years and over","Newfoundland and Labrador",10,12.7,14.7
"2015","Men+","25 to 44 years","Newfoundland and Labrador",10,10,12
"2015","Men+","45 to 64 years","Newfoundland and Labrador",10,14.7,16.7
"2015","Men+","45 years and over","Newfoundland and Labrador",10,14.9,16.9
"2015","Men+","25 to 54 years","Newfoundland and Labrador",10,11.3,13.3
"2015","Men+","55 years and over","Newfoundland and Labrador",10,16.8,18.8
"2015","Men+","15 to 64 years","Newfoundland and Labrador",10,13.4,15.4
"2015","Men+","15 to 19 years","Newfoundland and Labrador",10,21.9,23.9
"2015","Men+","20 to 24 years","Newfoundland and Labrador",10,16.7,18.7
"2015","Men+","25 to 29 years","Newfoundland and Labrador",10,9.9,11.9
"2015","Men+","30 to 34 years","Newfoundland and Labrador",10,10.2,12.2
"2015","Men+","35 to 39 years","Newfoundland and Labrador",10,9.6,11.6
"2015","Men+","40 to 44 years","Newfoundland and Labrador",10,10.9,12.9
"2015","Men+","45 to 49 years","Newfoundland and Labrador",10,12,14
"2015","Men+","50 to 54 years","Newfoundland and Labrador",10,14,16
"2015","Men+","55 to 59 years","Newfoundland and Labrador",10,15.1,17.1
"2015","Men+","60 to 64 years","Newfoundland and Labrador",10,19.2,21.2
"2015","Men+","65 years and over","Newfoundland and Labrador",10,,
"2015","Men+","65 to 69 years","Newfoundland and Labrador",10,,
"2015","Men+","70 years and over","Newfoundland and Labrador",10,,
"2015","Women+","15 years and over","Newfoundland and Labrador",10,8.4,10.4
"2015","Women+","15 to 24 years","Newfoundland and Labrador",10,10,12
"2015","Women+","25 years and over","Newfoundland and Labrador",10,8.1,10.1
"2015","Women+","25 to 44 years","Newfoundland and Labrador",10,7.2,9.2
"2015","Women+","45 to 64 years","Newfoundland and Labrador",10,9.1,11.1
"2015","Women+","45 years and over","Newfoundland and Labrador",10,9,11
"2015","Women+","25 to 54 years","Newfoundland and Labrador",10,7.2,9.2
"2015","Women+","55 years and over","Newfoundland and Labrador",10,10.9,12.9
"2015","Women+","15 to 64 years","Newfoundland and Labrador",10,8.4,10.4
"2015","Women+","15 to 19 years","Newfoundland and Labrador",10,12.7,14.7
"2015","Women+","20 to 24 years","Newfoundland and Labrador",10,8.3,10.3
"2015","Women+","25 to 29 years","Newfoundland and Labrador",10,7.9,9.9
"2015","Women+","30 to 34 years","Newfoundland and Labrador",10,6.8,8.8
"2015","Women+","35 to 39 years","Newfoundland and Labrador",10,6.8,8.8
"2015","Women+","40 to 44 years","Newfoundland and Labrador",10,7.8,9.8
"2015","Women+","45 to 49 years","Newfoundland and Labrador",10,6.1,8.1
"2015","Women+","50 to 54 years","Newfoundland and Labrador",10,8.3,10.3
"2015","Women+","55 to 59 years","Newfoundland and Labrador",10,9.9,11.9
"2015","Women+","60 to 64 years","Newfoundland and Labrador",10,14.7,16.7
"2015","Women+","65 years and over","Newfoundland and Labrador",10,,
"2015","Women+","65 to 69 years","Newfoundland and Labrador",10,,
"2015","Women+","70 years and over","Newfoundland and Labrador",10,,
"2015","Total - Gender","15 years and over","Prince Edward Island",11,8.7,10.7
"2015","Total - Gender","15 to 24 years","Prince Edward Island",11,13.3,15.3
"2015","Total - Gender","25 years and over","Prince Edward Island",11,7.9,9.9
"2015","Total - Gender","25 to 44 years","Prince Edward Island",11,7.9,9.9
"2015","Total - Gender","45 to 64 years","Prince Edward Island",11,7.6,9.6
"2015","Total - Gender","45 years and over","Prince Edward Island",11,7.8,9.8
"2015","Total - Gender","25 to 54 years","Prince Edward Island",11,7.1,9.1
"2015","Total - Gender","55 years and over","Prince Edward Island",11,9.9,11.9
"2015","Total - Gender","15 to 64 years","Prince Edward Island",11,8.7,10.7
"2015","Total - Gender","15 to 19 years","Prince Edward Island",11,17.6,19.6
"2015","Total - Gender","20 to 24 years","Prince Edward Island",11,10.3,12.3
"2015","Total - Gender","25 to 29 years","Prince Edward Island",11,9.1,11.1
"2015","Total - Gender","30 to 34 years","Prince Edward Island",11,7.7,9.7
"2015","Total - Gender","35 to 39 years","Prince Edward Island",11,7.6,9.6
"2015","Total - Gender","40 to 44 years","Prince Edward Island",11,6.1,8.1
"2015","Total - Gender","45 to 49 years","Prince Edward Island",11,6.1,8.1
"2015","Total - Gender","50 to 54 years","Prince Edward Island",11,6.3,8.3
"2015","Total - Gender","55 to 59 years","Prince Edward Island",11,8.1,10.1
"2015","Total - Gender","60 to 64 years","Prince Edward Island",11,11.6,13.6
"2015","Total - Gender","65 years and over","Prince Edward Island",11,8.6,10.6
"2015","Total - Gender","65 to 69 years","Prince Edward Island",11,10.9,12.9
"2015","Total - Gender","70 years and over","Prince Edward Island",11,,
"2015","Men+","15 years and over","Prince Edward Island",11,10,12
"2015","Men+","15 to 24 years","Prince Edward Island",11,18.3,20.3
"2015","Men+","25 years and over","Prince Edward Island",11,8.5,10.5
"2015","Men+","25 to 44 years","Prince Edward Island",11,9.3,11.3
"2015","Men+","45 to 64 years","Prince Edward Island",11,7.9,9.9
"2015","Men+","45 years and over","Prince Edward Island",11,7.9,9.9
"2015","Men+","25 to 54 years","Prince Edward Island",11,8.1,10.1
"2015","Men+","55 years and over","Prince Edward Island",11,9.3,11.3
"2015","Men+","15 to 64 years","Prince Edward Island",11,10.1,12.1
"2015","Men+","15 to 19 years","Prince Edward Island",11,21.1,23.1
"2015","Men+","20 to 24 years","Prince Edward Island",11,15.9,17.9
"2015","Men+","25 to 29 years","Prince Edward Island",11,8.8,10.8
"2015","Men+","30 to 34 years","Prince Edward Island",11,8.8,10.8
"2015","Men+","35 to 39 years","Prince Edward Island",11,11.9,13.9
"2015","Men+","40 to 44 years","Prince Edward Island",11,7.8,9.8
"2015","Men+","45 to 49 years","Prince Edward Island",11,7.1,9.1
"2015","Men+","50 to 54 years","Prince Edward Island",11,5.7,7.7
"2015","Men+","55 to 59 years","Prince Edward Island",11,7.1,9.1
"2015","Men+","60 to 64 years","Prince Edward Island",11,13.6,15.6
"2015","Men+","65 years and over","Prince Edward Island",11,,
"2015","Men+","65 to 69 years","Prince Edward Island",11,,
"2015","Men+","70 years and over","Prince Edward Island",11,,
"2015","Women+","15 years and over","Prince Edward Island",11,7.3,9.3
"2015","Women+","15 to 24 years","Prince Edward Island",11,8,10
"2015","Women+","25 years and over","Prince Edward Island",11,7.2,9.2
"2015","Women+","25 to 44 years","Prince Edward Island",11,6.6,8.6
"2015","Women+","45 to 64 years","Prince Edward Island",11,7.5,9.5
"2015","Women+","45 years and over","Prince Edward Island",11,7.7,9.7
"2015","Women+","25 to 54 years","Prince Edward Island",11,6.5,8.5
"2015","Women+","55 years and over","Prince Edward Island",11,9.2,11.2
"2015","Women+","15 to 64 years","Prince Edward Island",11,7.2,9.2
"2015","Women+","15 to 19 years","Prince Edward Island",11,14,16
"2015","Women+","20 to 24 years","Prince Edward Island",11,3.7,5.7
"2015","Women+","25 to 29 years","Prince Edward Island",11,9.4,11.4
"2015","Women+","30 to 34 years","Prince Edward Island",11,6.6,8.6
"2015","Women+","35 to 39 years","Prince Edward Island",11,3.6,5.6
"2015","Women+","40 to 44 years","Prince Edward Island",11,4.7,6.7
"2015","Women+","45 to 49 years","Prince Edward Island",11,5.3,7.3
"2015","Women+","50 to 54 years","Prince Edward Island",11,6.9,8.9
"2015","Women+","55 to 59 years","Prince Edward Island",11,8.9,10.9
"2015","Women+","60 to 64 years","Prince Edward Island",11,9.5,11.5
"2015","Women+","65 years and over","Prince Edward Island",11,,
"2015","Women+","65 to 69 years","Prince Edward Island",11,,
"2015","Women+","70 years and over","Prince Edward Island",11,,
"2015","Total - Gender","15 years and over","Nova Scotia",12,6.9,8.9
"2015","Total - Gender","15 to 24 years","Nova Scotia",12,13.2,15.2
"2015","Total - Gender","25 years and over","Nova Scotia",12,5.7,7.7
"2015","Total - Gender","25 to 44 years","Nova Scotia",12,5.3,7.3
"2015","Total - Gender","45 to 64 years","Nova Scotia",12,6.3,8.3
"2015","Total - Gender","45 years and over","Nova Scotia",12,6.2,8.2
"2015","Total - Gender","25 to 54 years","Nova Scotia",12,5.5,7.5
"2015","Total - Gender","55 years and over","Nova Scotia",12,6.6,8.6
"2015","Total - Gender","15 to 64 years","Nova Scotia",12,7,9
"2015","Total - Gender","15 to 19 years","Nova Scotia",12,18.5,20.5
"2015","Total - Gender","20 to 24 years","Nova Scotia",12,10.1,12.1
"2015","Total - Gender","25 to 29 years","Nova Scotia",12,6.8,8.8
"2015","Total - Gender","30 to 34 years","Nova Scotia",12,4.6,6.6
"2015","Total - Gender","35 to 39 years","Nova Scotia",12,5.6,7.6
"2015","Total - Gender","40 to 44 years","Nova Scotia",12,3.9,5.9
"2015","Total - Gender","45 to 49 years","Nova Scotia",12,5.5,7.5
"2015","Total - Gender","50 to 54 years","Nova Scotia",12,6,8
"2015","Total - Gender","55 to 59 years","Nova Scotia",12,6.4,8.4
"2015","Total - Gender","60 to 64 years","Nova Scotia",12,8.2,10.2
"2015","Total - Gender","65 years and over","Nova Scotia",12,4.4,6.4
"2015","Total - Gender","65 to 69 years","Nova Scotia",12,6.5,8.5
"2015","Total - Gender","70 years and over","Nova Scotia",12,,
"2015","Men+","15 years and over","Nova Scotia",12,8.4,10.4
"2015","Men+","15 to 24 years","Nova Scotia",12,16,18
"2015","Men+","25 years and over","Nova Scotia",12,7.1,9.1
"2015","Men+","25 to 44 years","Nova Scotia",12,6.7,8.7
"2015","Men+","45 to 64 years","Nova Scotia",12,7.6,9.6
"2015","Men+","45 years and over","Nova Scotia",12,7.4,9.4
"2015","Men+","25 to 54 years","Nova Scotia",12,6.7,8.7
"2015","Men+","55 years and over","Nova Scotia",12,8.2,10.2
"2015","Men+","15 to 64 years","Nova Scotia",12,8.6,10.6
"2015","Men+","15 to 19 years","Nova Scotia",12,23.9,25.9
"2015","Men+","20 to 24 years","Nova Scotia",12,11.6,13.6
"2015","Men+","25 to 29 years","Nova Scotia",12,10,12
"2015","Men+","30 to 34 years","Nova Scotia",12,6.9,8.9
"2015","Men+","35 to 39 years","Nova Scotia",12,6.1,8.1
"2015","Men+","40 to 44 years","Nova Scotia",12,3.8,5.8
"2015","Men+","45 to 49 years","Nova Scotia",12,6.8,8.8
"2015","Men+","50 to 54 years","Nova Scotia",12,6.6,8.6
"2015","Men+","55 to 59 years","Nova Scotia",12,8.4,10.4
"2015","Men+","60 to 64 years","Nova Scotia",12,9.5,11.5
"2015","Men+","65 years and over","Nova Scotia",12,,
"2015","Men+","65 to 69 years","Nova Scotia",12,,
"2015","Men+","70 years and over","Nova Scotia",12,,
"2015","Women+","15 years and over","Nova Scotia",12,5.3,7.3
"2015","Women+","15 to 24 years","Nova Scotia",12,10.4,12.4
"2015","Women+","25 years and over","Nova Scotia",12,4.3,6.3
"2015","Women+","25 to 44 years","Nova Scotia",12,3.7,5.7
"2015","Women+","45 to 64 years","Nova Scotia",12,5,7
"2015","Women+","45 years and over","Nova Scotia",12,4.9,6.9
"2015","Women+","25 to 54 years","Nova Scotia",12,4.2,6.2
"2015","Women+","55 years and over","Nova Scotia",12,4.7,6.7
"2015","Women+","15 to 64 years","Nova Scotia",12,5.4,7.4
"2015","Women+","15 to 19 years","Nova Scotia",12,13.3,15.3
"2015","Women+","20 to 24 years","Nova Scotia",12,8.5,10.5
"2015","Women+","25 to 29 years","Nova Scotia",12,3.3,5.3
"2015","Women+","30 to 34 years","Nova Scotia",12,2.4,4.4
"2015","Women+","35 to 39 years","Nova Scotia",12,5.1,7.1
"2015","Women+","40 to 44 years","Nova Scotia",12,4,6
"2015","Women+","45 to 49 years","Nova Scotia",12,4.3,6.3
"2015","Women+","50 to 54 years","Nova Scotia",12,5.4,7.4
"2015","Women+","55 to 59 years","Nova Scotia",12,4.3,6.3
"2015","Women+","60 to 64 years","Nova Scotia",12,6.7,8.7
"2015","Women+","65 years and over","Nova Scotia",12,,
"2015","Women+","65 to 69 years","Nova Scotia",12,,
"2015","Women+","70 years and over","Nova Scotia",12,,
"2015","Total - Gender","15 years and over","New Brunswick",13,8.1,10.1
"2015","Total - Gender","15 to 24 years","New Brunswick",13,15.1,17.1
"2015","Total - Gender","25 years and over","New Brunswick",13,6.9,8.9
"2015","Total - Gender","25 to 44 years","New Brunswick",13,6.2,8.2
"2015","Total - Gender","45 to 64 years","New Brunswick",13,7.7,9.7
"2015","Total - Gender","45 years and over","New Brunswick",13,7.5,9.5
"2015","Total - Gender","25 to 54 years","New Brunswick",13,6.4,8.4
"2015","Total - Gender","55 years and over","New Brunswick",13,8.4,10.4
"2015","Total - Gender","15 to 64 years","New Brunswick",13,8.2,10.2
"2015","Total - Gender","15 to 19 years","New Brunswick",13,16.4,18.4
"2015","Total - Gender","20 to 24 years","New Brunswick",13,13.9,15.9
"2015","Total - Gender","25 to 29 years","New Brunswick",13,8.5,10.5
"2015","Total - Gender","30 to 34 years","New Brunswick",13,6.7,8.7
"2015","Total - Gender","35 to 39 years","New Brunswick",13,5,7
"2015","Total - Gender","40 to 44 years","New Brunswick",13,4.9,6.9
"2015","Total - Gender","45 to 49 years","New Brunswick",13,6,8
"2015","Total - Gender","50 to 54 years","New Brunswick",13,7.5,9.5
"2015","Total - Gender","55 to 59 years","New Brunswick",13,8,10
"2015","Total - Gender","60 to 64 years","New Brunswick",13,10.9,12.9
"2015","Total - Gender","65 years and over","New Brunswick",13,5.2,7.2
"2015","Total - Gender","65 to 69 years","New Brunswick",13,7.7,9.7
"2015","Total - Gender","70 years and over","New Brunswick",13,,
"2015","Men+","15 years and over","New Brunswick",13,10.6,12.6
"2015","Men+","15 to 24 years","New Brunswick",13,19.8,21.8
"2015","Men+","25 years and over","New Brunswick",13,9.1,11.1
"2015","Men+","25 to 44 years","New Brunswick",13,8.2,10.2
"2015","Men+","45 to 64 years","New Brunswick",13,10.1,12.1
"2015","Men+","45 years and over","New Brunswick",13,9.8,11.8
"2015","Men+","25 to 54 years","New Brunswick",13,8.5,10.5
"2015","Men+","55 years and over","New Brunswick",13,10.7,12.7
"2015","Men+","15 to 64 years","New Brunswick",13,10.7,12.7
"2015","Men+","15 to 19 years","New Brunswick",13,20.6,22.6
"2015","Men+","20 to 24 years","New Brunswick",13,19.3,21.3
"2015","Men+","25 to 29 years","New Brunswick",13,12,14
"2015","Men+","30 to 34 years","New Brunswick",13,8.7,10.7
"2015","Men+","35 to 39 years","New Brunswick",13,7,9
"2015","Men+","40 to 44 years","New Brunswick",13,5.7,7.7
"2015","Men+","45 to 49 years","New Brunswick",13,7.4,9.4
"2015","Men+","50 to 54 years","New Brunswick",13,10.1,12.1
"2015","Men+","55 to 59 years","New Brunswick",13,10.1,12.1
"2015","Men+","60 to 64 years","New Brunswick",13,13.6,15.6
"2015","Men+","65 years and over","New Brunswick",13,,
"2015","Men+","65 to 69 years","New Brunswick",13,,
"2015","Men+","70 years and over","New Brunswick",13,,
"2015","Women+","15 years and over","New Brunswick",13,5.3,7.3
"2015","Women+","15 to 24 years","New Brunswick",13,9.8,11.8
"2015","Women+","25 years and over","New Brunswick",13,4.6,6.6
"2015","Women+","25 to 44 years","New Brunswick",13,4.1,6.1
"2015","Women+","45 to 64 years","New Brunswick",13,5.3,7.3
"2015","Women+","45 years and over","New Brunswick",13,5,7
"2015","Women+","25 to 54 years","New Brunswick",13,4.3,6.3
"2015","Women+","55 years and over","New Brunswick",13,5.5,7.5
"2015","Women+","15 to 64 years","New Brunswick",13,5.5,7.5
"2015","Women+","15 to 19 years","New Brunswick",13,12.2,14.2
"2015","Women+","20 to 24 years","New Brunswick",13,8.3,10.3
"2015","Women+","25 to 29 years","New Brunswick",13,4.9,6.9
"2015","Women+","30 to 34 years","New Brunswick",13,4.6,6.6
"2015","Women+","35 to 39 years","New Brunswick",13,2.9,4.9
"2015","Women+","40 to 44 years","New Brunswick",13,4.1,6.1
"2015","Women+","45 to 49 years","New Brunswick",13,4.7,6.7
"2015","Women+","50 to 54 years","New Brunswick",13,4.5,6.5
"2015","Women+","55 to 59 years","New Brunswick",13,5.1,7.1
"2015","Women+","60 to 64 years","New Brunswick",13,7.7,9.7
"2015","Women+","65 years and over","New Brunswick",13,,
"2015","Women+","65 to 69 years","New Brunswick",13,,
"2015","Women+","70 years and over","New Brunswick",13,,
"2015","Total - Gender","15 years and over","Quebec",24,5.7,7.7
"2015","Total - Gender","15 to 24 years","Quebec",24,10.2,12.2
"2015","Total - Gender","25 years and over","Quebec",24,4.9,6.9
"2015","Total - Gender","25 to 44 years","Quebec",24,5.2,7.2
"2015","Total - Gender","45 to 64 years","Quebec",24,4.7,6.7
"2015","Total - Gender","45 years and over","Quebec",24,4.6,6.6
"2015","Total - Gender","25 to 54 years","Quebec",24,4.7,6.7
"2015","Total - Gender","55 years and over","Quebec",24,5.6,7.6
"2015","Total - Gender","15 to 64 years","Quebec",24,5.7,7.7
"2015","Total - Gender","15 to 19 years","Quebec",24,15.6,17.6
"2015","Total - Gender","20 to 24 years","Quebec",24,7.1,9.1
"2015","Total - Gender","25 to 29 years","Quebec",24,6.6,8.6
"2015","Total - Gender","30 to 34 years","Quebec",24,4.9,6.9
"2015","Total - Gender","35 to 39 years","Quebec",24,4.4,6.4
"2015","Total - Gender","40 to 44 years","Quebec",24,5,7
"2015","Total - Gender","45 to 49 years","Quebec",24,3.6,5.6
"2015","Total - Gender","50 to 54 years","Quebec",24,4.1,6.1
"2015","Total - Gender","55 to 59 years","Quebec",24,5.6,7.6
"2015","Total - Gender","60 to 64 years","Quebec",24,6.1,8.1
"2015","Total - Gender","65 years and over","Quebec",24,4.5,6.5
"2015","Total - Gender","65 to 69 years","Quebec",24,5.2,7.2
"2015","Total - Gender","70 years and over","Quebec",24,2.9,4.9
"2015","Men+","15 years and over","Quebec",24,6.5,8.5
"2015","Men+","15 to 24 years","Quebec",24,12.6,14.6
"2015","Men+","25 years and over","Quebec",24,5.5,7.5
"2015","Men+","25 to 44 years","Quebec",24,5.5,7.5
"2015","Men+","45 to 64 years","Quebec",24,5.5,7.5
"2015","Men+","45 years and over","Quebec",24,5.5,7.5
"2015","Men+","25 to 54 years","Quebec",24,5.3,7.3
"2015","Men+","55 years and over","Quebec",24,6.1,8.1
"2015","Men+","15 to 64 years","Quebec",24,6.6,8.6
"2015","Men+","15 to 19 years","Quebec",24,17.9,19.9
"2015","Men+","20 to 24 years","Quebec",24,9.5,11.5
"2015","Men+","25 to 29 years","Quebec",24,6.7,8.7
"2015","Men+","30 to 34 years","Quebec",24,5.4,7.4
"2015","Men+","35 to 39 years","Quebec",24,4.8,6.8
"2015","Men+","40 to 44 years","Quebec",24,5.4,7.4
"2015","Men+","45 to 49 years","Quebec",24,4.3,6.3
"2015","Men+","50 to 54 years","Quebec",24,5.3,7.3
"2015","Men+","55 to 59 years","Quebec",24,5.8,7.8
"2015","Men+","60 to 64 years","Quebec",24,7.4,9.4
"2015","Men+","65 years and over","Quebec",24,4.7,6.7
"2015","Men+","65 to 69 years","Quebec",24,5.7,7.7
"2015","Men+","70 years and over","Quebec",24,,
"2015","Women+","15 years and over","Quebec",24,4.8,6.8
"2015","Women+","15 to 24 years","Quebec",24,7.9,9.9
"2015","Women+","25 years and over","Quebec",24,4.2,6.2
"2015","Women+","25 to 44 years","Quebec",24,4.8,6.8
"2015","Women+","45 to 64 years","Quebec",24,3.7,5.7
"2015","Women+","45 years and over","Quebec",24,3.7,5.7
"2015","Women+","25 to 54 years","Quebec",24,4.1,6.1
"2015","Women+","55 years and over","Quebec",24,4.8,6.8
"2015","Women+","15 to 64 years","Quebec",24,4.8,6.8
"2015","Women+","15 to 19 years","Quebec",24,13.3,15.3
"2015","Women+","20 to 24 years","Quebec",24,4.7,6.7
"2015","Women+","25 to 29 years","Quebec",24,6.5,8.5
"2015","Women+","30 to 34 years","Quebec",24,4.5,6.5
"2015","Women+","35 to 39 years","Quebec",24,4,6
"2015","Women+","40 to 44 years","Quebec",24,4.5,6.5
"2015","Women+","45 to 49 years","Quebec",24,2.9,4.9
"2015","Women+","50 to 54 years","Quebec",24,2.8,4.8
"2015","Women+","55 to 59 years","Quebec",24,5.4,7.4
"2015","Women+","60 to 64 years","Quebec",24,4.1,6.1
"2015","Women+","65 years and over","Quebec",24,4,6
"2015","Women+","65 to 69 years","Quebec",24,4.5,6.5
"2015","Women+","70 years and over","Quebec",24,,
"2015","Total - Gender","15 years and over","Ontario",35,4.8,6.8
"2015","Total - Gender","15 to 24 years","Ontario",35,12.4,14.4
"2015","Total - Gender","25 years and over","Ontario",35,3.5,5.5
"2015","Total - Gender","25 to 44 years","Ontario",35,4.1,6.1
"2015","Total - Gender","45 to 64 years","Ontario",35,3.1,5.1
"2015","Total - Gender","45 years and over","Ontario",35,2.9,4.9
"2015","Total - Gender","25 to 54 years","Ontario",35,3.6,5.6
"2015","Total - Gender","55 years and over","Ontario",35,3,5
"2015","Total - Gender","15 to 64 years","Ontario",35,5,7
"2015","Total - Gender","15 to 19 years","Ontario",35,17.6,19.6
"2015","Total - Gender","20 to 24 years","Ontario",35,9.5,11.5
"2015","Total - Gender","25 to 29 years","Ontario",35,5.9,7.9
"2015","Total - Gender","30 to 34 years","Ontario",35,3.9,5.9
"2015","Total - Gender","35 to 39 years","Ontario",35,3.6,5.6
"2015","Total - Gender","40 to 44 years","Ontario",35,3,5
"2015","Total - Gender","45 to 49 years","Ontario",35,2.5,4.5
"2015","Total - Gender","50 to 54 years","Ontario",35,3.1,5.1
"2015","Total - Gender","55 to 59 years","Ontario",35,3.2,5.2
"2015","Total - Gender","60 to 64 years","Ontario",35,3.6,5.6
"2015","Total - Gender","65 years and over","Ontario",35,1.7,3.7
"2015","Total - Gender","65 to 69 years","Ontario",35,2.7,4.7
"2015","Total - Gender","70 years and over","Ontario",35,2.3,1.7
