"Year","Units","Geography","GeoCode","Value"
"2022","Proportion of GDP","Ontario",35,131.58
"2022","Proportion of GDP","Manitoba",46,116.37
"2022","Proportion of GDP","Saskatchewan",47,72.52
"2022","Proportion of GDP","Alberta",48,83.13
"2022","Proportion of GDP","British Columbia",59,71.62
"2022","Proportion of GDP","Yukon",60,8.87
"2022","Proportion of GDP","Northwest Territories",61,
"2022","Proportion of GDP","Nunavut",62,
"2015","Per capita","",,6.41
"2015","Per capita","Newfoundland and Labrador",10,5.18
"2015","Per capita","Prince Edward Island",11,4.91
"2015","Per capita","Nova Scotia",12,3.2
"2015","Per capita","New Brunswick",13,3.7
"2015","Per capita","Quebec",24,7.12
"2015","Per capita","Ontario",35,7.47
"2015","Per capita","Manitoba",46,5.88
"2015","Per capita","Saskatchewan",47,3.96
"2015","Per capita","Alberta",48,6.76
"2015","Per capita","British Columbia",59,3.93
"2015","Per capita","Yukon",60,0.47
"2015","Per capita","Northwest Territories",61,
"2015","Per capita","Nunavut",62,
"2016","Per capita","",,6.28
"2016","Per capita","Newfoundland and Labrador",10,3.15
"2016","Per capita","Prince Edward Island",11,4.78
"2016","Per capita","Nova Scotia",12,3.68
"2016","Per capita","New Brunswick",13,4.55
"2016","Per capita","Quebec",24,7.21
"2016","Per capita","Ontario",35,7.39
"2016","Per capita","Manitoba",46,5.27
"2016","Per capita","Saskatchewan",47,4.13
"2016","Per capita","Alberta",48,5.9
"2016","Per capita","British Columbia",59,3.99
"2016","Per capita","Yukon",60,0.49
"2016","Per capita","Northwest Territories",61,
"2016","Per capita","Nunavut",62,
"2017","Per capita","",,6.61
"2017","Per capita","Newfoundland and Labrador",10,3.44
"2017","Per capita","Prince Edward Island",11,4.98
"2017","Per capita","Nova Scotia",12,3.38
"2017","Per capita","New Brunswick",13,5.22
"2017","Per capita","Quebec",24,7.62
"2017","Per capita","Ontario",35,7.65
"2017","Per capita","Manitoba",46,5.47
"2017","Per capita","Saskatchewan",47,4.13
"2017","Per capita","Alberta",48,6.37
"2017","Per capita","British Columbia",59,4.42
"2017","Per capita","Yukon",60,0.48
"2017","Per capita","Northwest Territories",61,0.34
"2017","Per capita","Nunavut",62,0.29
"2018","Per capita","",,6.96
"2018","Per capita","Newfoundland and Labrador",10,3.4
"2018","Per capita","Prince Edward Island",11,5.32
"2018","Per capita","Nova Scotia",12,3.01
"2018","Per capita","New Brunswick",13,5.78
"2018","Per capita","Quebec",24,7.86
"2018","Per capita","Ontario",35,7.96
"2018","Per capita","Manitoba",46,5.8
"2018","Per capita","Saskatchewan",47,4.58
"2018","Per capita","Alberta",48,7.35
"2018","Per capita","British Columbia",59,4.64
"2018","Per capita","Yukon",60,0.49
"2018","Per capita","Northwest Territories",61,0.27
"2018","Per capita","Nunavut",62,0.34
"2019","Per capita","",,6.84
"2019","Per capita","Newfoundland and Labrador",10,3.55
"2019","Per capita","Prince Edward Island",11,5.38
"2019","Per capita","Nova Scotia",12,3
"2019","Per capita","New Brunswick",13,5.29
"2019","Per capita","Quebec",24,8.22
"2019","Per capita","Ontario",35,7.76
"2019","Per capita","Manitoba",46,5.91
"2019","Per capita","Saskatchewan",47,4.72
"2019","Per capita","Alberta",48,6.8
"2019","Per capita","British Columbia",59,4.18
"2019","Per capita","Yukon",60,0.48
"2019","Per capita","Northwest Territories",61,0.31
"2019","Per capita","Nunavut",62,0.4
"2020","Per capita","",,6.21
"2020","Per capita","Newfoundland and Labrador",10,2.93
"2020","Per capita","Prince Edward Island",11,5.84
"2020","Per capita","Nova Scotia",12,2.94
"2020","Per capita","New Brunswick",13,5.41
"2020","Per capita","Quebec",24,7.26
"2020","Per capita","Ontario",35,7.01
"2020","Per capita","Manitoba",46,5.75
"2020","Per capita","Saskatchewan",47,4.27
"2020","Per capita","Alberta",48,5.86
"2020","Per capita","British Columbia",59,4.28
"2020","Per capita","Yukon",60,0.53
"2020","Per capita","Northwest Territories",61,
"2020","Per capita","Nunavut",62,
"2021","Per capita","",,7.65
"2021","Per capita","Newfoundland and Labrador",10,3.5
"2021","Per capita","Prince Edward Island",11,5.79
"2021","Per capita","Nova Scotia",12,3.29
"2021","Per capita","New Brunswick",13,7.03
"2021","Per capita","Quebec",24,8.82
"2021","Per capita","Ontario",35,8.42
"2021","Per capita","Manitoba",46,6.35
"2021","Per capita","Saskatchewan",47,6.14
"2021","Per capita","Alberta",48,7.8
"2021","Per capita","British Columbia",59,5.66
"2021","Per capita","Yukon",60,0.73
"2021","Per capita","Northwest Territories",61,
"2021","Per capita","Nunavut",62,
"2022","Per capita","",,8.32
"2022","Per capita","Newfoundland and Labrador",10,4.4
"2022","Per capita","Prince Edward Island",11,7.11
"2022","Per capita","Nova Scotia",12,3.51
"2022","Per capita","New Brunswick",13,6.8
"2022","Per capita","Quebec",24,10.16
"2022","Per capita","Ontario",35,9.13
"2022","Per capita","Manitoba",46,7.15
"2022","Per capita","Saskatchewan",47,6.94
"2022","Per capita","Alberta",48,8.4
"2022","Per capita","British Columbia",59,5.32
"2022","Per capita","Yukon",60,0.8
"2022","Per capita","Northwest Territories",61,
"2022","Per capita","Nunavut",62,
