Year,Sex,Age Group,Tobacco Product,Value
2015,Both sexes,All age groups,Smokeless tobacco,0.4
2015,Both sexes,All age groups,Water pipe with tobacco,0.5
2017,Both sexes,15-19 years-old,Any tobacco product,9.2
2017,Both sexes,15-19 years-old,Cigarettes,6.6
2017,Both sexes,15-19 years-old,Cigars,1
2017,Both sexes,15-19 years-old,E-cigarettes,6.3
2017,Both sexes,15-19 years-old,Little cigars or cigarillos,2.2
2017,Both sexes,15-19 years-old,Smokeless tobacco,1.6
2017,Both sexes,15-19 years-old,Water pipe with tobacco,1.5
2017,Both sexes,20-24 years-old,Any tobacco product,20.6
2017,Both sexes,20-24 years-old,Cigarettes,15.6
2017,Both sexes,20-24 years-old,Cigars,2.1
2017,Both sexes,20-24 years-old,E-cigarettes,6
2017,Both sexes,20-24 years-old,Little cigars or cigarillos,3.7
2017,Both sexes,20-24 years-old,Smokeless tobacco,1.4
2017,Both sexes,20-24 years-old,Water pipe with tobacco,3.1
2017,Both sexes,25+ years-old,Any tobacco product,18.2
2017,Both sexes,25+ years-old,Cigarettes,16
2017,Both sexes,25+ years-old,Cigars,0.6
2017,Both sexes,25+ years-old,E-cigarettes,2.3
2017,Both sexes,25+ years-old,Little cigars or cigarillos,1.1
2017,Both sexes,25-44 years-old,Any tobacco product,22.4
2017,Both sexes,25-44 years-old,Cigarettes,18.7
2017,Both sexes,25-44 years-old,E-cigarettes,3.2
2017,Both sexes,25-44 years-old,Little cigars or cigarillos,1.9
2017,Both sexes,45+ years-old,Any tobacco product,15.6
2017,Both sexes,45+ years-old,Cigarettes,14.2
2017,Both sexes,45+ years-old,E-cigarettes,1.7
2017,Both sexes,45+ years-old,Little cigars or cigarillos,0.6
2017,Both sexes,All age groups,Cigarettes,15.3
2017,Both sexes,All age groups,Cigars,0.8
2017,Both sexes,All age groups,E-cigarettes,2.9
2017,Both sexes,All age groups,Little cigars or cigarillos,1.4
2017,Both sexes,All age groups,Pipe,0.3
2017,Both sexes,All age groups,Smokeless tobacco,0.7
2017,Both sexes,All age groups,Water pipe with tobacco,0.7
2019,Both sexes,15-19 years-old,Any tobacco product,7.4
2019,Both sexes,15-19 years-old,Cigarettes,5.1
2019,Both sexes,15-19 years-old,Vaping,15.1
2019,Both sexes,20-24 years-old,Any tobacco product,18.3
2019,Both sexes,20-24 years-old,Cigarettes,13.3
2019,Both sexes,20-24 years-old,Little cigars or cigarillos,3.9
2019,Both sexes,20-24 years-old,Vaping,15.2
2019,Both sexes,25+ years-old,Any tobacco product,14.4
2019,Both sexes,25+ years-old,Cigarettes,12.5
2019,Both sexes,25+ years-old,Cigars,1.3
2019,Both sexes,25+ years-old,Little cigars or cigarillos,1.7
2019,Both sexes,25+ years-old,Vaping,2.9
2019,Both sexes,25-44 years-old,Any tobacco product,16
2019,Both sexes,25-44 years-old,Cigarettes,13.2
2019,Both sexes,25-44 years-old,Little cigars or cigarillos,1.7
2019,Both sexes,25-44 years-old,Vaping,5
2019,Both sexes,45+ years-old,Any tobacco product,13.4
2019,Both sexes,45+ years-old,Cigarettes,12
2019,Both sexes,45+ years-old,Cigars,0.9
2019,Both sexes,45+ years-old,Little cigars or cigarillos,1.6
2019,Both sexes,45+ years-old,Vaping,1.6
2019,Both sexes,All age groups,Chewing tobacco,0.4
2019,Both sexes,All age groups,Cigarettes,11.9
2019,Both sexes,All age groups,Cigars,1.4
2019,Both sexes,All age groups,Little cigars or cigarillos,1.9
2019,Both sexes,All age groups,Vaping,4.7
2019,Both sexes,All age groups,Water pipe with tobacco,0.4
2020,Both sexes,15-19 years-old,Any tobacco product,6
2020,Both sexes,15-19 years-old,Cigarettes,3.1
2020,Both sexes,15-19 years-old,Vaping,14.4
2020,Both sexes,20-24 years-old,Any tobacco product,12.5
2020,Both sexes,20-24 years-old,Cigarettes,8.4
2020,Both sexes,20-24 years-old,Little cigars or cigarillos,2.8
2020,Both sexes,20-24 years-old,Vaping,13
2020,Both sexes,25+ years-old,Any tobacco product,12.5
2020,Both sexes,25+ years-old,Cigarettes,11
2020,Both sexes,25+ years-old,Cigars,1.1
2020,Both sexes,25+ years-old,Little cigars or cigarillos,1.6
2020,Both sexes,25+ years-old,Vaping,3.2
2020,Both sexes,25-44 years-old,Any tobacco product,12.4
2020,Both sexes,25-44 years-old,Cigarettes,10.5
2020,Both sexes,25-44 years-old,Little cigars or cigarillos,2
2020,Both sexes,25-44 years-old,Vaping,5.1
2020,Both sexes,45+ years-old,Any tobacco product,12.6
2020,Both sexes,45+ years-old,Cigarettes,11.4
2020,Both sexes,45+ years-old,Cigars,0.7
2020,Both sexes,45+ years-old,Little cigars or cigarillos,1.3
2020,Both sexes,45+ years-old,Vaping,2
2020,Both sexes,All age groups,Chewing tobacco,0.5
2020,Both sexes,All age groups,Cigarettes,10.3
2020,Both sexes,All age groups,Cigars,1.2
2020,Both sexes,All age groups,Little cigars or cigarillos,1.7
2020,Both sexes,All age groups,Vaping,4.7
2020,Both sexes,All age groups,Water pipe with tobacco,0.5
2021,Both sexes,15-19 years-old,Any tobacco product,5.3
2021,Both sexes,20-24 years-old,Any tobacco product,12.7
2021,Both sexes,25+ years-old,Any tobacco product,12.3
2021,Both sexes,25-44 years-old,Any tobacco product,13.6
2021,Both sexes,45+ years-old,Any tobacco product,11.5
2021,Both sexes,All age groups,Chewing tobacco,0.4
2021,Both sexes,15-19 years-old,Chewing tobacco,0.6
2021,Both sexes,20-24 years-old,Chewing tobacco,1
2021,Both sexes,25+ years-old,Chewing tobacco,0.4
2021,Both sexes,45+ years-old,Chewing tobacco,0.3
2021,Both sexes,15-19 years-old,Cigarettes,3.3
2021,Both sexes,20-24 years-old,Cigarettes,9.8
2021,Both sexes,25+ years-old,Cigarettes,10.8
2021,Both sexes,25-44 years-old,Cigarettes,11.3
2021,Both sexes,45+ years-old,Cigarettes,10.4
2021,Both sexes,All age groups,Cigarettes,10.2
2021,Both sexes,15-19 years-old,Cigars,1.2
2021,Both sexes,20-24 years-old,Cigars,1.8
2021,Both sexes,25+ years-old,Cigars,0.9
2021,Both sexes,25-44 years-old,Cigars,1.4
2021,Both sexes,45+ years-old,Cigars,0.6
2021,Both sexes,All age groups,Cigars,1
2021,Both sexes,15-19 years-old,Little cigars or cigarillos,2
2021,Both sexes,20-24 years-old,Little cigars or cigarillos,2.3
2021,Both sexes,25+ years-old,Little cigars or cigarillos,1.5
2021,Both sexes,25-44 years-old,Little cigars or cigarillos,2.2
2021,Both sexes,45+ years-old,Little cigars or cigarillos,1
2021,Both sexes,All age groups,Little cigars or cigarillos,1.6
2021,Both sexes,15-19 years-old,Vaping,12.7
2021,Both sexes,20-24 years-old,Vaping,17.2
2021,Both sexes,25+ years-old,Vaping,3.6
2021,Both sexes,25-44 years-old,Vaping,6.1
2021,Both sexes,45+ years-old,Vaping,2
2021,Both sexes,All age groups,Vaping,5.2
2021,Both sexes,All age groups,Pipe,0.3
2021,Both sexes,25+ years-old,Pipe,0.3
2021,Both sexes,45+ years-old,Pipe,0.3
2021,Both sexes,All age groups,Water pipe with tobacco,0.4
2021,Both sexes,15-19 years-old,Water pipe with tobacco,0.8
2021,Both sexes,20-24 years-old,Water pipe with tobacco,1.6
2021,Both sexes,25+ years-old,Water pipe with tobacco,0.3
2021,Both sexes,25-44 years-old,Water pipe with tobacco,0.6
2015,Female,All age groups,Any tobacco product,11.6
2015,Female,All age groups,Cigarettes,10.6
2015,Female,All age groups,E-cigarettes,2.8
2015,Female,All age groups,Little cigars or cigarillos,0.9
2015,Female,All age groups,Pipe,0.3
2015,Female,All age groups,Water pipe with tobacco,0.4
2017,Female,All age groups,Any tobacco product,14.4
2017,Female,All age groups,Cigarettes,13.6
2017,Female,All age groups,Cigars,0.1
2017,Female,All age groups,E-cigarettes,2.2
2017,Female,All age groups,Water pipe with tobacco,0.5
2019,Female,15-19 years-old,Any tobacco product,5
2019,Female,15-19 years-old,Vaping,13.6
2019,Female,20-24 years-old,Any tobacco product,14.2
2019,Female,20-24 years-old,Cigarettes,10.6
2019,Female,20-24 years-old,Vaping,11.8
2019,Female,25+ years-old,Any tobacco product,12.5
2019,Female,25+ years-old,Cigarettes,11.8
2019,Female,25+ years-old,Little cigars or cigarillos,0.8
2019,Female,25+ years-old,Vaping,2.1
2019,Female,25-44 years-old,Any tobacco product,13.8
2019,Female,25-44 years-old,Cigarettes,12.8
2019,Female,25-44 years-old,Vaping,3.3
2019,Female,45+ years-old,Any tobacco product,11.8
2019,Female,45+ years-old,Cigarettes,11.3
2019,Female,45+ years-old,Vaping,1.3
2019,Female,All age groups,Any tobacco product,12
2019,Female,All age groups,Cigarettes,11
2019,Female,All age groups,Little cigars or cigarillos,1
2019,Female,All age groups,Vaping,3.6
2020,Female,15-19 years-old,Vaping,13.9
2020,Female,20-24 years-old,Any tobacco product,6.8
2020,Female,20-24 years-old,Cigarettes,4.3
2020,Female,20-24 years-old,Vaping,10.2
2020,Female,25+ years-old,Any tobacco product,10
2020,Female,25+ years-old,Cigarettes,9.4
2020,Female,25+ years-old,Vaping,2.3
2020,Female,25-44 years-old,Any tobacco product,9.1
2020,Female,25-44 years-old,Cigarettes,8.5
2020,Female,45+ years-old,Any tobacco product,10.6
2020,Female,45+ years-old,Cigarettes,10
2020,Female,45+ years-old,Vaping,1.8
2020,Female,All age groups,Any tobacco product,9.5
2020,Female,All age groups,Cigarettes,8.6
2020,Female,All age groups,Little cigars or cigarillos,0.8
2020,Female,All age groups,Vaping,3.6
2021,Female,20-24 years-old,Any tobacco product,4.6
2021,Female,25+ years-old,Any tobacco product,7.7
2021,Female,25-44 years-old,Any tobacco product,9.5
2021,Female,45+ years-old,Any tobacco product,8.9
2021,Female,All age groups,Any tobacco product,9.9
2021,Female,All age groups,Any tobacco product,9.1
2021,Female,15-19 years-old,Cigarettes,2.7
2021,Female,20-24 years-old,Cigarettes,6.1
2021,Female,25+ years-old,Cigarettes,9.2
2021,Female,25-44 years-old,Cigarettes,8.6
2021,Female,45+ years-old,Cigarettes,9.5
2021,Female,All age groups,Cigarettes,8.5
2021,Female,All age groups,Cigars,0.2
2021,Female,All age groups,Little cigars or cigarillos,0.8
2021,Female,15-19 years-old,Little cigars or cigarillos,1.4
2021,Female,20-24 years-old,Little cigars or cigarillos,0.8
2021,Female,25+ years-old,Little cigars or cigarillos,0.8
2021,Female,25-44 years-old,Little cigars or cigarillos,1.4
2021,Female,45+ years-old,Little cigars or cigarillos,0.4
2021,Female,15-19 years-old,Vaping,13
2021,Female,20-24 years-old,Vaping,14
2021,Female,25+ years-old,Vaping,3.1
2021,Female,25-44 years-old,Vaping,5.3
2021,Female,45+ years-old,Vaping,1.7
2021,Female,All age groups,Vaping,4.5
2021,Female,All age groups,Pipe,0.1
2021,Female,All age groups,Water pipe with tobacco,0.2
2021,Female,20-24 years-old,Water pipe with tobacco,1.4
2015,Male,All age groups,Any tobacco product,19.5
2015,Male,All age groups,Cigarettes,15.8
2015,Male,All age groups,Cigars,2.2
2015,Male,All age groups,E-cigarettes,3.6
2015,Male,All age groups,Little cigars or cigarillos,2.7
2015,Male,All age groups,Pipe,0.8
2015,Male,All age groups,Smokeless tobacco,0.8
2015,Male,All age groups,Water pipe with tobacco,0.7
2017,Male,All age groups,Any tobacco product,21.2
2017,Male,All age groups,Cigarettes,17
2017,Male,All age groups,Cigars,1.5
2017,Male,All age groups,E-cigarettes,3.6
2017,Male,All age groups,Little cigars or cigarillos,2.1
2017,Male,All age groups,Smokeless tobacco,1.5
2017,Male,All age groups,Water pipe with tobacco,0.9
2019,Male,15-19 years-old,Any tobacco product,9.1
2019,Male,15-19 years-old,Cigarettes,6
2019,Male,15-19 years-old,Vaping,16.1
2019,Male,20-24 years-old,Any tobacco product,21.6
2019,Male,20-24 years-old,Cigarettes,15.3
2019,Male,20-24 years-old,Vaping,18
2019,Male,25+ years-old,Any tobacco product,16.3
2019,Male,25+ years-old,Cigarettes,13.2
2019,Male,25+ years-old,Cigars,2.3
2019,Male,25+ years-old,Little cigars or cigarillos,2.6
2019,Male,25+ years-old,Vaping,3.8
2019,Male,25-44 years-old,Any tobacco product,18.2
2019,Male,25-44 years-old,Cigarettes,13.7
2019,Male,25-44 years-old,Vaping,6.7
2019,Male,45+ years-old,Any tobacco product,15.1
2019,Male,45+ years-old,Cigarettes,12.9
2019,Male,45+ years-old,Cigars,1.5
2019,Male,45+ years-old,Little cigars or cigarillos,2.6
2019,Male,45+ years-old,Vaping,1.9
2019,Male,All age groups,Any tobacco product,15.9
2019,Male,All age groups,Chewing tobacco,0.7
2019,Male,All age groups,Cigarettes,12.6
2019,Male,All age groups,Cigars,2.4
2019,Male,All age groups,Little cigars or cigarillos,2.8
2019,Male,All age groups,Vaping,5.8
2019,Male,All age groups,Water pipe with tobacco,0.5
2020,Male,15-19 years-old,Any tobacco product,7.3
2020,Male,15-19 years-old,Vaping,14.7
2020,Male,20-24 years-old,Any tobacco product,17.8
2020,Male,20-24 years-old,Cigarettes,12.3
2020,Male,20-24 years-old,Vaping,15.7
2020,Male,25+ years-old,Any tobacco product,15.1
2020,Male,25+ years-old,Cigarettes,12.7
2020,Male,25+ years-old,Cigars,1.9
2020,Male,25+ years-old,Little cigars or cigarillos,2.6
2020,Male,25+ years-old,Vaping,4.1
2020,Male,25-44 years-old,Any tobacco product,15.6
2020,Male,25-44 years-old,Cigarettes,12.5
2020,Male,25-44 years-old,Vaping,7
2020,Male,45+ years-old,Any tobacco product,14.8
2020,Male,45+ years-old,Cigarettes,12.8
2020,Male,45+ years-old,Little cigars or cigarillos,2.2
2020,Male,45+ years-old,Vaping,2.1
2020,Male,All age groups,Any tobacco product,14.8
2020,Male,All age groups,Chewing tobacco,1
2020,Male,All age groups,Cigarettes,12.1
2020,Male,All age groups,Cigars,1.9
2020,Male,All age groups,Little cigars or cigarillos,2.7
2020,Male,All age groups,Vaping,5.7
2021,Male,15-19 years-old,Any tobacco product,5.9
2021,Male,20-24 years-old,Any tobacco product,17.2
2021,Male,25+ years-old,Any tobacco product,15
2021,Male,25-44 years-old,Any tobacco product,18.3
2021,Male,45+ years-old,Any tobacco product,12.9
2021,Male,All age groups,Any tobacco product,14.5
2021,Male,All age groups,Chewing tobacco,0.8
2021,Male,20-24 years-old,Chewing tobacco,1.8
2021,Male,25+ years-old,Chewing tobacco,0.7
2021,Male,15-19 years-old,Cigarettes,3.8
2021,Male,20-24 years-old,Cigarettes,13.2
2021,Male,25+ years-old,Cigarettes,12.3
2021,Male,25-44 years-old,Cigarettes,14.2
2021,Male,45+ years-old,Cigarettes,11.1
2021,Male,All age groups,Cigarettes,11.8
2021,Male,All age groups,Cigars,1.7
2021,Male,15-19 years-old,Cigars,1.7
2021,Male,20-24 years-old,Cigars,3.1
2021,Male,25+ years-old,Cigars,1.6
2021,Male,25-44 years-old,Cigars,2.4
2021,Male,45+ years-old,Cigars,1.1
2021,Male,15-19 years-old,Little cigars or cigarillos,2.4
2021,Male,20-24 years-old,Little cigars or cigarillos,3.6
2021,Male,25+ years-old,Little cigars or cigarillos,2.2
2021,Male,25-44 years-old,Little cigars or cigarillos,3
2021,Male,45+ years-old,Little cigars or cigarillos,1.6
2021,Male,All age groups,Little cigars or cigarillos,2.3
2021,Male,15-19 years-old,Vaping,12.2
2021,Male,20-24 years-old,Vaping,20
2021,Male,25+ years-old,Vaping,3.8
2021,Male,25-44 years-old,Vaping,6.5
2021,Male,45+ years-old,Vaping,2
2021,Male,All age groups,Vaping,5.7
2021,Male,All age groups,Pipe,0.5
2021,Male,25+ years-old,Pipe,0.5
2021,Male,45+ years-old,Pipe,0.6
2021,Male,All age groups,Water pipe with tobacco,0.6
2021,Male,20-24 years-old,Water pipe with tobacco,1.9
2022,Both sexes,All age groups,Cigarettes,10.9
2022,Both sexes,All age groups,Cigars,1.1
2022,Both sexes,All age groups,Little cigars or cigarillos,1.7
2022,Both sexes,All age groups,Pipe,0.3
2022,Both sexes,All age groups,Chewing tobacco,0.6
2022,Both sexes,All age groups,Water pipe with tobacco,0.6
2022,Both sexes,All age groups,Vaping,5.8
2022,Both sexes,15-19 years-old,Any tobacco product,6.2
2022,Both sexes,15-19 years-old,Cigarettes,4.2
2022,Both sexes,15-19 years-old,Cigars,1.7
2022,Both sexes,15-19 years-old,Little cigars or cigarillos,1.9
2022,Both sexes,15-19 years-old,Pipe,0.4
2022,Both sexes,15-19 years-old,Chewing tobacco,0.6
2022,Both sexes,15-19 years-old,Water pipe with tobacco,0.6
2022,Both sexes,15-19 years-old,Vaping,13.6
2022,Both sexes,20-24 years-old,Any tobacco product,10.7
2022,Both sexes,20-24 years-old,Cigarettes,7.7
2022,Both sexes,20-24 years-old,Cigars,1.8
2022,Both sexes,20-24 years-old,Little cigars or cigarillos,2.2
2022,Both sexes,20-24 years-old,Chewing tobacco,0.8
2022,Both sexes,20-24 years-old,Water pipe with tobacco,1.4
2022,Both sexes,20-24 years-old,Vaping,19.7
2022,Both sexes,25+ years-old,Any tobacco product,13.6
2022,Both sexes,25+ years-old,Cigarettes,11.7
2022,Both sexes,25+ years-old,Cigars,1
2022,Both sexes,25+ years-old,Little cigars or cigarillos,1.7
2022,Both sexes,25+ years-old,Pipe,0.3
2022,Both sexes,25+ years-old,Chewing tobacco,0.6
2022,Both sexes,25+ years-old,Water pipe with tobacco,0.5
2022,Both sexes,25+ years-old,Vaping,3.9
2022,Both sexes,25-44 years-old,Any tobacco product,13.4
2022,Both sexes,25-44 years-old,Cigarettes,10.9
2022,Both sexes,25-44 years-old,Cigars,1.2
2022,Both sexes,25-44 years-old,Little cigars or cigarillos,2.2
2022,Both sexes,25-44 years-old,Chewing tobacco,0.8
2022,Both sexes,25-44 years-old,Water pipe with tobacco,0.7
2022,Both sexes,25-44 years-old,Vaping,7.1
2022,Both sexes,45+ years-old,Any tobacco product,13.7
2022,Both sexes,45+ years-old,Cigarettes,12.3
2022,Both sexes,45+ years-old,Cigars,0.8
2022,Both sexes,45+ years-old,Little cigars or cigarillos,1
2022,Both sexes,45+ years-old,Pipe,0.4
2022,Both sexes,45+ years-old,Chewing tobacco,0.4
2022,Both sexes,45+ years-old,Water pipe with tobacco,0.4
2022,Both sexes,45+ years-old,Vaping,2
2022,Female,All age groups,Any tobacco product,9.7
2022,Female,All age groups,Cigarettes,9.1
2022,Female,All age groups,Cigars,0.3
2022,Female,All age groups,Little cigars or cigarillos,1
2022,Female,All age groups,Chewing tobacco,0.1
2022,Female,All age groups,Water pipe with tobacco,0.3
2022,Female,All age groups,Vaping,5
2022,Female,15-19 years-old,Any tobacco product,4.7
2022,Female,15-19 years-old,Cigarettes,3.3
2022,Female,15-19 years-old,Cigars,1.1
2022,Female,15-19 years-old,Little cigars or cigarillos,1.4
2022,Female,15-19 years-old,Vaping,13.2
2022,Female,20-24 years-old,Any tobacco product,7.7
2022,Female,20-24 years-old,Cigarettes,5.6
2022,Female,20-24 years-old,Little cigars or cigarillos,1.6
2022,Female,20-24 years-old,Water pipe with tobacco,1.1
2022,Female,20-24 years-old,Vaping,16.5
2022,Female,25+ years-old,Any tobacco product,10.2
2022,Female,25+ years-old,Cigarettes,9.8
2022,Female,25+ years-old,Cigars,0.3
2022,Female,25+ years-old,Little cigars or cigarillos,0.9
2022,Female,25+ years-old,Vaping,3.4
2022,Female,25-44 years-old,Any tobacco product,9.5
2022,Female,25-44 years-old,Cigarettes,9.2
2022,Female,25-44 years-old,Little cigars or cigarillos,1
2022,Female,25-44 years-old,Vaping,5.9
2022,Female,45+ years-old,Any tobacco product,10.6
2022,Female,45+ years-old,Cigarettes,10.1
2022,Female,45+ years-old,Little cigars or cigarillos,0.9
2022,Female,45+ years-old,Vaping,2
2022,Male,All age groups,Any tobacco product,16.2
2022,Male,All age groups,Cigarettes,12.9
2022,Male,All age groups,Cigars,1.9
2022,Male,All age groups,Little cigars or cigarillos,2.4
2022,Male,All age groups,Pipe,0.5
2022,Male,All age groups,Chewing tobacco,1.1
2022,Male,All age groups,Water pipe with tobacco,0.8
2022,Male,All age groups,Vaping,6.5
2022,Male,15-19 years-old,Any tobacco product,7.7
2022,Male,15-19 years-old,Cigarettes,5.1
2022,Male,15-19 years-old,Cigars,2.2
2022,Male,15-19 years-old,Little cigars or cigarillos,2.4
2022,Male,15-19 years-old,Vaping,14
2022,Male,20-24 years-old,Any tobacco product,13.6
2022,Male,20-24 years-old,Cigarettes,9.6
2022,Male,20-24 years-old,Cigars,2.9
2022,Male,20-24 years-old,Little cigars or cigarillos,2.7
2022,Male,20-24 years-old,Water pipe with tobacco,1.6
2022,Male,20-24 years-old,Vaping,22.7
2022,Male,25+ years-old,Any tobacco product,17.1
2022,Male,25+ years-old,Cigarettes,13.8
2022,Male,25+ years-old,Cigars,1.7
2022,Male,25+ years-old,Little cigars or cigarillos,2.4
2022,Male,25+ years-old,Chewing tobacco,1
2022,Male,25+ years-old,Water pipe with tobacco,0.8
2022,Male,25+ years-old,Vaping,4.5
2022,Male,25-44 years-old,Any tobacco product,17.2
2022,Male,25-44 years-old,Cigarettes,12.6
2022,Male,25-44 years-old,Little cigars or cigarillos,3.3
2022,Male,25-44 years-old,Vaping,8.2
2022,Male,45+ years-old,Any tobacco product,17.1
2022,Male,45+ years-old,Cigarettes,14.5
2022,Male,45+ years-old,Little cigars or cigarillos,1.8
2022,Male,45+ years-old,Vaping,2
