"Year","Household food security status","Geography","Economic family type","Sex","Age group","Visible minority","Indigenous population","GeoCode","Value"
"2018","Food insecure, moderate or severe","Canada","Persons in elderly families","Both sexes",,,,,4.5
"2018","Food insecure, moderate","Canada","Persons in elderly families","Both sexes",,,,,3
"2018","Food insecure, severe","Canada","Persons in elderly families","Both sexes",,,,,1.5
"2018","Food secure","Canada","Persons in elderly couples","Both sexes",,,,,95.1
"2018","Food insecure","Canada","Persons in elderly couples","Both sexes",,,,,4.9
"2018","Food insecure, marginal","Canada","Persons in elderly couples","Both sexes",,,,,2
"2018","Food insecure, moderate or severe","Canada","Persons in elderly couples","Both sexes",,,,,2.9
"2018","Food insecure, moderate","Canada","Persons in elderly couples","Both sexes",,,,,2.1
"2018","Food insecure, severe","Canada","Persons in elderly couples","Both sexes",,,,,0.8
"2018","Food secure","Canada","Persons in other elderly families","Both sexes",,,,,87.4
"2018","Food insecure","Canada","Persons in other elderly families","Both sexes",,,,,12.6
"2018","Food insecure, marginal","Canada","Persons in other elderly families","Both sexes",,,,,4.2
"2018","Food insecure, moderate or severe","Canada","Persons in other elderly families","Both sexes",,,,,8.3
"2018","Food insecure, moderate","Canada","Persons in other elderly families","Both sexes",,,,,5.1
"2018","Food insecure, severe","Canada","Persons in other elderly families","Both sexes",,,,,3.2
"2018","Food secure","Canada","Persons in non-elderly families","Both sexes",,,,,82.4
"2018","Food insecure","Canada","Persons in non-elderly families","Both sexes",,,,,17.6
"2018","Food insecure, marginal","Canada","Persons in non-elderly families","Both sexes",,,,,5.7
"2018","Food insecure, moderate or severe","Canada","Persons in non-elderly families","Both sexes",,,,,12
"2018","Food insecure, moderate","Canada","Persons in non-elderly families","Both sexes",,,,,8.8
"2018","Food insecure, severe","Canada","Persons in non-elderly families","Both sexes",,,,,3.2
"2018","Food secure","Canada","Persons in couples","Both sexes",,,,,88.5
"2018","Food insecure","Canada","Persons in couples","Both sexes",,,,,11.5
"2018","Food insecure, marginal","Canada","Persons in couples","Both sexes",,,,,3.9
"2018","Food insecure, moderate or severe","Canada","Persons in couples","Both sexes",,,,,7.6
"2018","Food insecure, moderate","Canada","Persons in couples","Both sexes",,,,,4.7
"2018","Food insecure, severe","Canada","Persons in couples","Both sexes",,,,,2.9
"2018","Food secure","Canada","Persons in couple families with children","Both sexes",,,,,82.1
"2018","Food insecure","Canada","Persons in couple families with children","Both sexes",,,,,17.9
"2018","Food insecure, marginal","Canada","Persons in couple families with children","Both sexes",,,,,6.6
"2018","Food insecure, moderate or severe","Canada","Persons in couple families with children","Both sexes",,,,,11.2
"2018","Food insecure, moderate","Canada","Persons in couple families with children","Both sexes",,,,,8.9
"2018","Food insecure, severe","Canada","Persons in couple families with children","Both sexes",,,,,2.3
"2018","Food secure","Canada","Persons in couple families with other relatives","Both sexes",,,,,89.1
"2018","Food insecure","Canada","Persons in couple families with other relatives","Both sexes",,,,,10.9
"2018","Food insecure, marginal","Canada","Persons in couple families with other relatives","Both sexes",,,,,2.7
"2018","Food insecure, moderate or severe","Canada","Persons in couple families with other relatives","Both sexes",,,,,8.2
"2018","Food insecure, moderate","Canada","Persons in couple families with other relatives","Both sexes",,,,,6.5
"2018","Food insecure, severe","Canada","Persons in couple families with other relatives","Both sexes",,,,,1.6
"2018","Food secure","Canada","Persons in lone-parent families","Both sexes",,,,,57.8
"2018","Food insecure","Canada","Persons in lone-parent families","Both sexes",,,,,42.2
"2018","Food insecure, marginal","Canada","Persons in lone-parent families","Both sexes",,,,,9.8
"2018","Food insecure, moderate or severe","Canada","Persons in lone-parent families","Both sexes",,,,,32.3
"2018","Food insecure, moderate","Canada","Persons in lone-parent families","Both sexes",,,,,21.4
"2018","Food insecure, severe","Canada","Persons in lone-parent families","Both sexes",,,,,11
"2018","Food secure","Canada","Persons in lone-parent families","Male",,,,,69.1
"2018","Food insecure","Canada","Persons in lone-parent families","Male",,,,,30.9
"2018","Food insecure, marginal","Canada","Persons in lone-parent families","Male",,,,,7.7
"2018","Food insecure, moderate or severe","Canada","Persons in lone-parent families","Male",,,,,23.2
"2018","Food insecure, moderate","Canada","Persons in lone-parent families","Male",,,,,17.1
"2018","Food insecure, severe","Canada","Persons in lone-parent families","Male",,,,,6.1
"2018","Food secure","Canada","Persons in lone-parent families","Female",,,,,55.6
"2018","Food insecure","Canada","Persons in lone-parent families","Female",,,,,44.4
"2018","Food insecure, marginal","Canada","Persons in lone-parent families","Female",,,,,10.3
"2018","Food insecure, moderate or severe","Canada","Persons in lone-parent families","Female",,,,,34.1
"2018","Food insecure, moderate","Canada","Persons in lone-parent families","Female",,,,,22.2
"2018","Food insecure, severe","Canada","Persons in lone-parent families","Female",,,,,11.9
"2018","Food secure","Canada","Persons in other non-elderly families","Both sexes",,,,,78.5
"2018","Food insecure","Canada","Persons in other non-elderly families","Both sexes",,,,,21.5
"2018","Food insecure, marginal","Canada","Persons in other non-elderly families","Both sexes",,,,,5.7
"2018","Food insecure, moderate or severe","Canada","Persons in other non-elderly families","Both sexes",,,,,15.8
"2018","Food insecure, moderate","Canada","Persons in other non-elderly families","Both sexes",,,,,10.4
"2018","Food insecure, severe","Canada","Persons in other non-elderly families","Both sexes",,,,,5.4
"2018","Food secure","Canada","Persons not in an economic family","Both sexes",,,,,79.8
"2018","Food insecure","Canada","Persons not in an economic family","Both sexes",,,,,20.2
"2018","Food insecure, marginal","Canada","Persons not in an economic family","Both sexes",,,,,4.9
"2018","Food insecure, moderate or severe","Canada","Persons not in an economic family","Both sexes",,,,,15.3
"2018","Food insecure, moderate","Canada","Persons not in an economic family","Both sexes",,,,,8.4
"2018","Food insecure, severe","Canada","Persons not in an economic family","Both sexes",,,,,6.9
"2018","Food secure","Canada","Elderly persons not in an economic family","Both sexes",,,,,89.6
"2018","Food insecure","Canada","Elderly persons not in an economic family","Both sexes",,,,,10.4
"2018","Food insecure, marginal","Canada","Elderly persons not in an economic family","Both sexes",,,,,3.5
"2018","Food insecure, moderate or severe","Canada","Elderly persons not in an economic family","Both sexes",,,,,6.9
"2018","Food insecure, moderate","Canada","Elderly persons not in an economic family","Both sexes",,,,,4.8
"2018","Food insecure, severe","Canada","Elderly persons not in an economic family","Both sexes",,,,,2.1
"2018","Food secure","Canada","Elderly persons not in an economic family","Male",,,,,87.3
"2018","Food insecure","Canada","Elderly persons not in an economic family","Male",,,,,12.7
"2018","Food insecure, marginal","Canada","Elderly persons not in an economic family","Male",,,,,3.3
"2018","Food insecure, moderate or severe","Canada","Elderly persons not in an economic family","Male",,,,,9.4
"2018","Food insecure, moderate","Canada","Elderly persons not in an economic family","Male",,,,,6.1
"2018","Food insecure, severe","Canada","Elderly persons not in an economic family","Male",,,,,3.2
"2018","Food secure","Canada","Elderly persons not in an economic family","Female",,,,,90.7
"2018","Food insecure","Canada","Elderly persons not in an economic family","Female",,,,,9.3
"2018","Food insecure, marginal","Canada","Elderly persons not in an economic family","Female",,,,,3.7
"2018","Food insecure, moderate or severe","Canada","Elderly persons not in an economic family","Female",,,,,5.6
"2018","Food insecure, moderate","Canada","Elderly persons not in an economic family","Female",,,,,4.1
"2018","Food insecure, severe","Canada","Elderly persons not in an economic family","Female",,,,,1.6
"2018","Food secure","Canada","Non-elderly persons not in an economic family","Both sexes",,,,,75.5
"2018","Food insecure","Canada","Non-elderly persons not in an economic family","Both sexes",,,,,24.5
"2018","Food insecure, marginal","Canada","Non-elderly persons not in an economic family","Both sexes",,,,,5.5
"2018","Food insecure, moderate or severe","Canada","Non-elderly persons not in an economic family","Both sexes",,,,,18.9
"2018","Food insecure, moderate","Canada","Non-elderly persons not in an economic family","Both sexes",,,,,9.9
"2018","Food insecure, severe","Canada","Non-elderly persons not in an economic family","Both sexes",,,,,9
"2018","Food secure","Canada","Non-elderly persons not in an economic family","Male",,,,,75.5
"2018","Food insecure","Canada","Non-elderly persons not in an economic family","Male",,,,,24.5
"2018","Food insecure, marginal","Canada","Non-elderly persons not in an economic family","Male",,,,,5.8
"2018","Food insecure, moderate or severe","Canada","Non-elderly persons not in an economic family","Male",,,,,18.7
"2018","Food insecure, moderate","Canada","Non-elderly persons not in an economic family","Male",,,,,9
"2018","Food insecure, severe","Canada","Non-elderly persons not in an economic family","Male",,,,,9.7
"2018","Food secure","Canada","Non-elderly persons not in an economic family","Female",,,,,75.6
"2018","Food insecure","Canada","Non-elderly persons not in an economic family","Female",,,,,24.4
"2018","Food insecure, marginal","Canada","Non-elderly persons not in an economic family","Female",,,,,5.2
"2018","Food insecure, moderate or severe","Canada","Non-elderly persons not in an economic family","Female",,,,,19.2
"2018","Food insecure, moderate","Canada","Non-elderly persons not in an economic family","Female",,,,,11.1
"2018","Food insecure, severe","Canada","Non-elderly persons not in an economic family","Female",,,,,8.1
"2018","Food secure","Atlantic provinces","All persons","Both sexes",,,,,80.8
"2018","Food insecure","Atlantic provinces","All persons","Both sexes",,,,,19.2
"2018","Food insecure, marginal","Atlantic provinces","All persons","Both sexes",,,,,5.6
"2018","Food insecure, moderate or severe","Atlantic provinces","All persons","Both sexes",,,,,13.6
"2018","Food insecure, moderate","Atlantic provinces","All persons","Both sexes",,,,,8.6
"2018","Food insecure, severe","Atlantic provinces","All persons","Both sexes",,,,,5
"2018","Food secure","Atlantic provinces","Persons in economic families","Both sexes",,,,,81.6
"2018","Food insecure","Atlantic provinces","Persons in economic families","Both sexes",,,,,18.4
"2018","Food insecure, marginal","Atlantic provinces","Persons in economic families","Both sexes",,,,,5.6
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in economic families","Both sexes",,,,,12.8
"2018","Food insecure, moderate","Atlantic provinces","Persons in economic families","Both sexes",,,,,8.5
"2018","Food insecure, severe","Atlantic provinces","Persons in economic families","Both sexes",,,,,4.3
"2018","Food secure","Atlantic provinces","Persons in elderly families","Both sexes",,,,,90.8
"2018","Food insecure","Atlantic provinces","Persons in elderly families","Both sexes",,,,,9.2
"2018","Food insecure, marginal","Atlantic provinces","Persons in elderly families","Both sexes",,,,,3.6
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in elderly families","Both sexes",,,,,5.6
"2018","Food insecure, moderate","Atlantic provinces","Persons in elderly families","Both sexes",,,,,3.7
"2018","Food insecure, severe","Atlantic provinces","Persons in elderly families","Both sexes",,,,,1.9
"2018","Food secure","Atlantic provinces","Persons in elderly couples","Both sexes",,,,,92.7
"2018","Food insecure","Atlantic provinces","Persons in elderly couples","Both sexes",,,,,7.3
"2018","Food insecure, marginal","Atlantic provinces","Persons in elderly couples","Both sexes",,,,,2.9
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in elderly couples","Both sexes",,,,,4.5
"2018","Food insecure, moderate","Atlantic provinces","Persons in elderly couples","Both sexes",,,,,3
"2018","Food insecure, severe","Atlantic provinces","Persons in elderly couples","Both sexes",,,,,1.5
"2018","Food secure","Atlantic provinces","Persons in other elderly families","Both sexes",,,,,84.9
"2018","Food insecure","Atlantic provinces","Persons in other elderly families","Both sexes",,,,,15.1
"2018","Food insecure, marginal","Atlantic provinces","Persons in other elderly families","Both sexes",,,,,6
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in other elderly families","Both sexes",,,,,9.1
"2018","Food insecure, moderate","Atlantic provinces","Persons in other elderly families","Both sexes",,,,,5.9
"2018","Food secure","Atlantic provinces","Persons in non-elderly families","Both sexes",,,,,79.6
"2018","Food insecure","Atlantic provinces","Persons in non-elderly families","Both sexes",,,,,20.4
"2018","Food insecure, marginal","Atlantic provinces","Persons in non-elderly families","Both sexes",,,,,6
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in non-elderly families","Both sexes",,,,,14.4
"2018","Food insecure, moderate","Atlantic provinces","Persons in non-elderly families","Both sexes",,,,,9.5
"2018","Food insecure, severe","Atlantic provinces","Persons in non-elderly families","Both sexes",,,,,4.8
"2018","Food secure","Atlantic provinces","Persons in couples","Both sexes",,,,,85.9
"2018","Food insecure","Atlantic provinces","Persons in couples","Both sexes",,,,,14.1
"2018","Food insecure, marginal","Atlantic provinces","Persons in couples","Both sexes",,,,,3.9
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in couples","Both sexes",,,,,10.2
"2018","Food insecure, moderate","Atlantic provinces","Persons in couples","Both sexes",,,,,5.7
"2018","Food insecure, severe","Atlantic provinces","Persons in couples","Both sexes",,,,,4.5
"2018","Food secure","Atlantic provinces","Persons in couple families with children","Both sexes",,,,,79.2
"2018","Food insecure","Atlantic provinces","Persons in couple families with children","Both sexes",,,,,20.8
"2018","Food insecure, marginal","Atlantic provinces","Persons in couple families with children","Both sexes",,,,,7.8
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in couple families with children","Both sexes",,,,,13
"2018","Food insecure, moderate","Atlantic provinces","Persons in couple families with children","Both sexes",,,,,9.5
"2018","Food insecure, severe","Atlantic provinces","Persons in couple families with children","Both sexes",,,,,3.5
"2018","Food secure","Atlantic provinces","Persons in couple families with other relatives","Both sexes",,,,,88.4
"2018","Food insecure","Atlantic provinces","Persons in couple families with other relatives","Both sexes",,,,,11.6
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in couple families with other relatives","Both sexes",,,,,9.9
"2018","Food insecure, moderate","Atlantic provinces","Persons in couple families with other relatives","Both sexes",,,,,8.3
"2018","Food secure","Atlantic provinces","Persons in lone-parent families","Both sexes",,,,,56.3
"2018","Food insecure","Atlantic provinces","Persons in lone-parent families","Both sexes",,,,,43.7
"2018","Food insecure, marginal","Atlantic provinces","Persons in lone-parent families","Both sexes",,,,,7.3
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in lone-parent families","Both sexes",,,,,36.4
"2018","Food insecure, moderate","Atlantic provinces","Persons in lone-parent families","Both sexes",,,,,21.7
"2018","Food insecure, severe","Atlantic provinces","Persons in lone-parent families","Both sexes",,,,,14.7
"2018","Food secure","Atlantic provinces","Persons in lone-parent families","Male",,,,,65.7
"2018","Food insecure","Atlantic provinces","Persons in lone-parent families","Male",,,,,34.3
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in lone-parent families","Male",,,,,26.4
"2018","Food secure","Atlantic provinces","Persons in lone-parent families","Female",,,,,54.3
"2018","Food insecure","Atlantic provinces","Persons in lone-parent families","Female",,,,,45.7
"2018","Food insecure, marginal","Atlantic provinces","Persons in lone-parent families","Female",,,,,7.3
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in lone-parent families","Female",,,,,38.4
"2018","Food insecure, moderate","Atlantic provinces","Persons in lone-parent families","Female",,,,,22.5
"2018","Food insecure, severe","Atlantic provinces","Persons in lone-parent families","Female",,,,,16
"2018","Food secure","Atlantic provinces","Persons in other non-elderly families","Both sexes",,,,,73.8
"2018","Food insecure","Atlantic provinces","Persons in other non-elderly families","Both sexes",,,,,26.2
"2018","Food insecure, marginal","Atlantic provinces","Persons in other non-elderly families","Both sexes",,,,,8.7
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons in other non-elderly families","Both sexes",,,,,17.4
"2018","Food insecure, moderate","Atlantic provinces","Persons in other non-elderly families","Both sexes",,,,,9.8
"2018","Food insecure, severe","Atlantic provinces","Persons in other non-elderly families","Both sexes",,,,,7.6
"2018","Food secure","Atlantic provinces","Persons not in an economic family","Both sexes",,,,,76.6
"2018","Food insecure","Atlantic provinces","Persons not in an economic family","Both sexes",,,,,23.4
"2018","Food insecure, marginal","Atlantic provinces","Persons not in an economic family","Both sexes",,,,,5.7
"2018","Food insecure, moderate or severe","Atlantic provinces","Persons not in an economic family","Both sexes",,,,,17.6
"2018","Food insecure, moderate","Atlantic provinces","Persons not in an economic family","Both sexes",,,,,9
"2018","Food insecure, severe","Atlantic provinces","Persons not in an economic family","Both sexes",,,,,8.6
"2018","Food secure","Atlantic provinces","Elderly persons not in an economic family","Both sexes",,,,,84.2
"2018","Food insecure","Atlantic provinces","Elderly persons not in an economic family","Both sexes",,,,,15.8
"2018","Food insecure, marginal","Atlantic provinces","Elderly persons not in an economic family","Both sexes",,,,,4.9
"2018","Food insecure, moderate or severe","Atlantic provinces","Elderly persons not in an economic family","Both sexes",,,,,10.9
"2018","Food insecure, moderate","Atlantic provinces","Elderly persons not in an economic family","Both sexes",,,,,6.6
"2018","Food insecure, severe","Atlantic provinces","Elderly persons not in an economic family","Both sexes",,,,,4.3
"2018","Food secure","Atlantic provinces","Elderly persons not in an economic family","Male",,,,,78.9
"2018","Food insecure","Atlantic provinces","Elderly persons not in an economic family","Male",,,,,21.1
"2018","Food insecure, marginal","Atlantic provinces","Elderly persons not in an economic family","Male",,,,,6.8
"2018","Food insecure, moderate or severe","Atlantic provinces","Elderly persons not in an economic family","Male",,,,,14.3
"2018","Food insecure, moderate","Atlantic provinces","Elderly persons not in an economic family","Male",,,,,8.2
"2018","Food insecure, severe","Atlantic provinces","Elderly persons not in an economic family","Male",,,,,6.1
"2018","Food secure","Atlantic provinces","Elderly persons not in an economic family","Female",,,,,87.2
"2018","Food insecure","Atlantic provinces","Elderly persons not in an economic family","Female",,,,,12.8
"2018","Food insecure, marginal","Atlantic provinces","Elderly persons not in an economic family","Female",,,,,3.9
"2018","Food insecure, moderate or severe","Atlantic provinces","Elderly persons not in an economic family","Female",,,,,9
"2018","Food insecure, moderate","Atlantic provinces","Elderly persons not in an economic family","Female",,,,,5.7
"2018","Food insecure, severe","Atlantic provinces","Elderly persons not in an economic family","Female",,,,,3.3
"2018","Food secure","Atlantic provinces","Non-elderly persons not in an economic family","Both sexes",,,,,72.7
"2018","Food insecure","Atlantic provinces","Non-elderly persons not in an economic family","Both sexes",,,,,27.3
"2018","Food insecure, marginal","Atlantic provinces","Non-elderly persons not in an economic family","Both sexes",,,,,6.2
"2018","Food insecure, moderate or severe","Atlantic provinces","Non-elderly persons not in an economic family","Both sexes",,,,,21.1
"2018","Food insecure, moderate","Atlantic provinces","Non-elderly persons not in an economic family","Both sexes",,,,,10.3
"2018","Food insecure, severe","Atlantic provinces","Non-elderly persons not in an economic family","Both sexes",,,,,10.8
"2018","Food secure","Atlantic provinces","Non-elderly persons not in an economic family","Male",,,,,73.2
"2018","Food insecure","Atlantic provinces","Non-elderly persons not in an economic family","Male",,,,,26.8
"2018","Food insecure, marginal","Atlantic provinces","Non-elderly persons not in an economic family","Male",,,,,6.2
"2018","Food insecure, moderate or severe","Atlantic provinces","Non-elderly persons not in an economic family","Male",,,,,20.6
"2018","Food insecure, moderate","Atlantic provinces","Non-elderly persons not in an economic family","Male",,,,,10.2
"2018","Food insecure, severe","Atlantic provinces","Non-elderly persons not in an economic family","Male",,,,,10.4
"2018","Food secure","Atlantic provinces","Non-elderly persons not in an economic family","Female",,,,,72.1
"2018","Food insecure","Atlantic provinces","Non-elderly persons not in an economic family","Female",,,,,27.9
"2018","Food insecure, marginal","Atlantic provinces","Non-elderly persons not in an economic family","Female",,,,,6.1
"2018","Food insecure, moderate or severe","Atlantic provinces","Non-elderly persons not in an economic family","Female",,,,,21.8
"2018","Food insecure, moderate","Atlantic provinces","Non-elderly persons not in an economic family","Female",,,,,10.5
"2018","Food insecure, severe","Atlantic provinces","Non-elderly persons not in an economic family","Female",,,,,11.3
"2018","Food secure","Newfoundland and Labrador","All persons","Both sexes",,,,10,81.1
"2018","Food insecure","Newfoundland and Labrador","All persons","Both sexes",,,,10,18.9
"2018","Food insecure, marginal","Newfoundland and Labrador","All persons","Both sexes",,,,10,6.9
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","All persons","Both sexes",,,,10,12
"2018","Food insecure, moderate","Newfoundland and Labrador","All persons","Both sexes",,,,10,8
"2018","Food insecure, severe","Newfoundland and Labrador","All persons","Both sexes",,,,10,4
"2018","Food secure","Newfoundland and Labrador","Persons in economic families","Both sexes",,,,10,81.8
"2018","Food insecure","Newfoundland and Labrador","Persons in economic families","Both sexes",,,,10,18.2
"2018","Food insecure, marginal","Newfoundland and Labrador","Persons in economic families","Both sexes",,,,10,7.4
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons in economic families","Both sexes",,,,10,10.9
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons in economic families","Both sexes",,,,10,7.3
"2018","Food insecure, severe","Newfoundland and Labrador","Persons in economic families","Both sexes",,,,10,3.6
"2018","Food secure","Newfoundland and Labrador","Persons in elderly families","Both sexes",,,,10,90.3
"2018","Food insecure","Newfoundland and Labrador","Persons in elderly families","Both sexes",,,,10,9.7
"2018","Food insecure, marginal","Newfoundland and Labrador","Persons in elderly families","Both sexes",,,,10,3.3
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons in elderly families","Both sexes",,,,10,6.4
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons in elderly families","Both sexes",,,,10,4.5
"2018","Food secure","Newfoundland and Labrador","Persons in elderly couples","Both sexes",,,,10,89.4
"2018","Food insecure","Newfoundland and Labrador","Persons in elderly couples","Both sexes",,,,10,10.6
"2018","Food insecure, marginal","Newfoundland and Labrador","Persons in elderly couples","Both sexes",,,,10,4.2
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons in elderly couples","Both sexes",,,,10,6.4
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons in elderly couples","Both sexes",,,,10,4
"2018","Food secure","Newfoundland and Labrador","Persons in other elderly families","Both sexes",,,,10,93.7
"2018","Food secure","Newfoundland and Labrador","Persons in non-elderly families","Both sexes",,,,10,79.9
"2018","Food insecure","Newfoundland and Labrador","Persons in non-elderly families","Both sexes",,,,10,20.1
"2018","Food insecure, marginal","Newfoundland and Labrador","Persons in non-elderly families","Both sexes",,,,10,8.3
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons in non-elderly families","Both sexes",,,,10,11.9
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons in non-elderly families","Both sexes",,,,10,7.9
"2018","Food insecure, severe","Newfoundland and Labrador","Persons in non-elderly families","Both sexes",,,,10,3.9
"2018","Food secure","Newfoundland and Labrador","Persons in couples","Both sexes",,,,10,88.9
"2018","Food insecure","Newfoundland and Labrador","Persons in couples","Both sexes",,,,10,11.1
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons in couples","Both sexes",,,,10,8.1
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons in couples","Both sexes",,,,10,5
"2018","Food secure","Newfoundland and Labrador","Persons in couple families with children","Both sexes",,,,10,80.2
"2018","Food insecure","Newfoundland and Labrador","Persons in couple families with children","Both sexes",,,,10,19.8
"2018","Food insecure, marginal","Newfoundland and Labrador","Persons in couple families with children","Both sexes",,,,10,10.9
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons in couple families with children","Both sexes",,,,10,8.8
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons in couple families with children","Both sexes",,,,10,5.8
"2018","Food secure","Newfoundland and Labrador","Persons in couple families with other relatives","Both sexes",,,,10,89.1
"2018","Food insecure","Newfoundland and Labrador","Persons in couple families with other relatives","Both sexes",,,,10,10.9
"2018","Food secure","Newfoundland and Labrador","Persons in lone-parent families","Both sexes",,,,10,52.7
"2018","Food insecure","Newfoundland and Labrador","Persons in lone-parent families","Both sexes",,,,10,47.3
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons in lone-parent families","Both sexes",,,,10,37.5
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons in lone-parent families","Both sexes",,,,10,26
"2018","Food secure","Newfoundland and Labrador","Persons in lone-parent families","Female",,,,10,52.5
"2018","Food insecure","Newfoundland and Labrador","Persons in lone-parent families","Female",,,,10,47.5
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons in lone-parent families","Female",,,,10,36.1
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons in lone-parent families","Female",,,,10,22.6
"2018","Food secure","Newfoundland and Labrador","Persons in other non-elderly families","Both sexes",,,,10,70.7
"2018","Food insecure","Newfoundland and Labrador","Persons in other non-elderly families","Both sexes",,,,10,29.3
"2018","Food insecure, marginal","Newfoundland and Labrador","Persons in other non-elderly families","Both sexes",,,,10,10.8
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons in other non-elderly families","Both sexes",,,,10,18.5
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons in other non-elderly families","Both sexes",,,,10,10.6
"2018","Food secure","Newfoundland and Labrador","Persons not in an economic family","Both sexes",,,,10,77.1
"2018","Food insecure","Newfoundland and Labrador","Persons not in an economic family","Both sexes",,,,10,22.9
"2018","Food insecure, marginal","Newfoundland and Labrador","Persons not in an economic family","Both sexes",,,,10,4.3
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Persons not in an economic family","Both sexes",,,,10,18.6
"2018","Food insecure, moderate","Newfoundland and Labrador","Persons not in an economic family","Both sexes",,,,10,11.8
"2018","Food insecure, severe","Newfoundland and Labrador","Persons not in an economic family","Both sexes",,,,10,6.8
"2018","Food secure","Newfoundland and Labrador","Elderly persons not in an economic family","Both sexes",,,,10,82.9
"2018","Food insecure","Newfoundland and Labrador","Elderly persons not in an economic family","Both sexes",,,,10,17.1
"2018","Food insecure, marginal","Newfoundland and Labrador","Elderly persons not in an economic family","Both sexes",,,,10,4.8
"2018","Food insecure, moderate or severe","Newfoundland and Labrador","Elderly persons not in an economic family","Both sexes",,,,10,12.3
"2018","Food insecure, moderate","Newfoundland and Labrador","Elderly persons not in an economic family","Both sexes",,,,10,9.7
"2018","Food secure","Newfoundland and Labrador","Elderly persons not in an economic family","Male",,,,10,77.7
"2018","Food insecure","Newfoundland and Labrador","Elderly persons not in an economic family","Male",,,,10,22.3
