Year,Geography,Gender,Indigenous identity,GeoCode,Value
2014,Alberta,Male,Indigenous identity,NA,17.08
2014,Alberta,Male,Non-Indigenous identity,NA,2.72
2014,Alberta,Female,Total,NA,1.65
2014,Alberta,Female,Indigenous identity,NA,7.53
2014,Alberta,Female,Non-Indigenous identity,NA,1.24
2014,British Columbia,All genders,Total,59,1.89
2014,British Columbia,All genders,Indigenous identity,NA,5.17
2014,British Columbia,All genders,Non-Indigenous identity,NA,1.69
2014,British Columbia,Male,Total,NA,2.61
2014,British Columbia,Male,Indigenous identity,NA,8.29
2014,British Columbia,Male,Non-Indigenous identity,NA,2.27
2014,British Columbia,Female,Total,NA,1.18
2014,British Columbia,Female,Indigenous identity,NA,2.17
2014,British Columbia,Female,Non-Indigenous identity,NA,1.12
2014,Yukon,All genders,Total,60,8.08
2014,Yukon,All genders,Indigenous identity,NA,11.52
2014,Yukon,All genders,Non-Indigenous identity,NA,7.03
2014,Yukon,Male,Total,NA,10.58
2014,Yukon,Male,Indigenous identity,NA,0
2014,Yukon,Male,Non-Indigenous identity,NA,13.6
2014,Yukon,Female,Total,NA,5.49
2014,Yukon,Female,Indigenous identity,NA,22.34
2014,Yukon,Female,Non-Indigenous identity,NA,0
2014,Northwest Territories,All genders,Total,61,6.78
2014,Northwest Territories,All genders,Indigenous identity,NA,13.27
2014,Northwest Territories,All genders,Non-Indigenous identity,NA,0
2014,Northwest Territories,Male,Total,NA,8.8
2014,Northwest Territories,Male,Indigenous identity,NA,17.71
2014,Northwest Territories,Male,Non-Indigenous identity,NA,0
2014,Northwest Territories,Female,Total,NA,4.65
2014,Northwest Territories,Female,Indigenous identity,NA,8.84
2014,Northwest Territories,Female,Non-Indigenous identity,NA,0
2014,Nunavut,All genders,Total,62,11.17
2014,Nunavut,All genders,Indigenous identity,NA,13.01
2014,Nunavut,All genders,Non-Indigenous identity,NA,0
2014,Nunavut,Male,Total,NA,10.85
2014,Nunavut,Male,Indigenous identity,NA,12.78
2014,Nunavut,Male,Non-Indigenous identity,NA,0
2014,Nunavut,Female,Total,NA,11.51
2014,Nunavut,Female,Indigenous identity,NA,13.25
2014,Nunavut,Female,Non-Indigenous identity,NA,0
2015,Canada,All genders,Indigenous identity,NA,8.62
2015,Canada,All genders,Non-Indigenous identity,NA,1.34
2015,Canada,Male,Total,NA,2.44
2015,Canada,Male,Indigenous identity,NA,12.49
2015,Canada,Male,Non-Indigenous identity,NA,1.9
2015,Canada,Female,Total,NA,0.99
2015,Canada,Female,Indigenous identity,NA,4.87
2015,Canada,Female,Non-Indigenous identity,NA,0.78
2015,Newfoundland and Labrador,All genders,Total,10,0.57
2015,Newfoundland and Labrador,All genders,Indigenous identity,NA,2.2
2015,Newfoundland and Labrador,All genders,Non-Indigenous identity,NA,0.41
2015,Newfoundland and Labrador,Male,Total,NA,0.76
2015,Newfoundland and Labrador,Male,Indigenous identity,NA,0
2015,Newfoundland and Labrador,Male,Non-Indigenous identity,NA,0.83
2015,Newfoundland and Labrador,Female,Total,NA,0.37
2015,Newfoundland and Labrador,Female,Indigenous identity,NA,4.33
2015,Newfoundland and Labrador,Female,Non-Indigenous identity,NA,0
2015,Prince Edward Island,All genders,Total,11,0.69
2015,Prince Edward Island,All genders,Indigenous identity,NA,0
2015,Prince Edward Island,All genders,Non-Indigenous identity,NA,0.7
2015,Prince Edward Island,Male,Total,NA,0
2015,Prince Edward Island,Male,Indigenous identity,NA,0
2015,Prince Edward Island,Male,Non-Indigenous identity,NA,0
2015,Prince Edward Island,Female,Total,NA,1.34
2015,Prince Edward Island,Female,Indigenous identity,NA,0
2015,Prince Edward Island,Female,Non-Indigenous identity,NA,1.36
2015,Nova Scotia,All genders,Total,12,1.27
2015,Nova Scotia,All genders,Indigenous identity,NA,1.98
2015,Nova Scotia,All genders,Non-Indigenous identity,NA,1.12
2015,Nova Scotia,Male,Total,NA,1.52
2015,Nova Scotia,Male,Indigenous identity,NA,4.04
2015,Nova Scotia,Male,Non-Indigenous identity,NA,1.38
2015,Nova Scotia,Female,Total,NA,1.04
2015,Nova Scotia,Female,Indigenous identity,NA,0
2015,Nova Scotia,Female,Non-Indigenous identity,NA,0.88
2015,New Brunswick,All genders,Total,13,1.44
2015,New Brunswick,All genders,Indigenous identity,NA,0
2015,New Brunswick,All genders,Non-Indigenous identity,NA,1.5
2015,New Brunswick,Male,Total,NA,1.59
2015,New Brunswick,Male,Indigenous identity,NA,0
2015,New Brunswick,Male,Non-Indigenous identity,NA,1.66
2015,New Brunswick,Female,Total,NA,1.3
2015,New Brunswick,Female,Indigenous identity,NA,0
2015,New Brunswick,Female,Non-Indigenous identity,NA,1.35
2015,Quebec,All genders,Total,24,0.97
2015,Quebec,All genders,Indigenous identity,NA,3.09
2015,Quebec,All genders,Non-Indigenous identity,NA,0.91
2015,Quebec,Male,Total,NA,1.48
2015,Quebec,Male,Indigenous identity,NA,4.06
2015,Quebec,Male,Non-Indigenous identity,NA,1.41
2015,Quebec,Female,Total,NA,0.46
2015,Quebec,Female,Indigenous identity,NA,2.09
2015,Quebec,Female,Non-Indigenous identity,NA,0.42
2015,Ontario,All genders,Total,35,1.27
2015,Ontario,All genders,Indigenous identity,NA,3.33
2015,Ontario,All genders,Non-Indigenous identity,NA,1.18
2015,Ontario,Male,Total,NA,1.83
2015,Ontario,Male,Indigenous identity,NA,5.25
2015,Ontario,Male,Non-Indigenous identity,NA,1.69
2015,Ontario,Female,Total,NA,0.72
2015,Ontario,Female,Indigenous identity,NA,1.5
2015,Ontario,Female,Non-Indigenous identity,NA,0.68
2015,Manitoba,All genders,Total,46,3.7
2015,Manitoba,All genders,Indigenous identity,NA,15.55
2015,Manitoba,All genders,Non-Indigenous identity,NA,1.13
2015,Manitoba,Male,Total,NA,5.73
2015,Manitoba,Male,Indigenous identity,NA,24.58
2015,Manitoba,Male,Non-Indigenous identity,NA,1.69
2015,Manitoba,Female,Total,NA,1.69
2015,Manitoba,Female,Indigenous identity,NA,6.81
2015,Manitoba,Female,Non-Indigenous identity,NA,0.56
2015,Saskatchewan,All genders,Total,47,4.01
2015,Saskatchewan,All genders,Indigenous identity,NA,16.46
2015,Saskatchewan,All genders,Non-Indigenous identity,NA,1.6
2015,Saskatchewan,Male,Total,NA,5.67
2015,Saskatchewan,Male,Indigenous identity,NA,29.02
2015,Saskatchewan,Male,Non-Indigenous identity,NA,1.26
2015,Saskatchewan,Female,Total,NA,2.33
2015,Saskatchewan,Female,Indigenous identity,NA,4.32
2015,Saskatchewan,Female,Non-Indigenous identity,NA,1.94
2015,Alberta,All genders,Total,48,3.23
2015,Alberta,All genders,Indigenous identity,NA,13.72
2015,Alberta,All genders,Non-Indigenous identity,NA,2.47
2015,Alberta,Male,Total,NA,4.23
2015,Alberta,Male,Indigenous identity,NA,15.84
2015,Alberta,Male,Non-Indigenous identity,NA,3.39
2015,Alberta,Female,Total,NA,2.21
2015,Alberta,Female,Indigenous identity,NA,11.67
2015,Alberta,Female,Non-Indigenous identity,NA,1.53
2015,British Columbia,All genders,Total,59,2.01
2015,British Columbia,All genders,Indigenous identity,NA,6.42
2015,British Columbia,All genders,Non-Indigenous identity,NA,1.73
2015,British Columbia,Male,Total,NA,3
2015,British Columbia,Male,Indigenous identity,NA,9.48
2015,British Columbia,Male,Non-Indigenous identity,NA,2.6
2015,British Columbia,Female,Total,NA,1.04
2015,British Columbia,Female,Indigenous identity,NA,3.49
2015,British Columbia,Female,Non-Indigenous identity,NA,0.88
2015,Yukon,All genders,Total,60,2.65
2015,Yukon,All genders,Indigenous identity,NA,0
2015,Yukon,All genders,Non-Indigenous identity,NA,3.46
2015,Yukon,Male,Total,NA,5.21
2015,Yukon,Male,Indigenous identity,NA,0
2015,Yukon,Male,Non-Indigenous identity,NA,6.71
2015,Yukon,Female,Total,NA,0
2015,Yukon,Female,Indigenous identity,NA,0
2015,Yukon,Female,Non-Indigenous identity,NA,0
2015,Northwest Territories,All genders,Total,61,13.48
2015,Northwest Territories,All genders,Indigenous identity,NA,26.53
2015,Northwest Territories,All genders,Non-Indigenous identity,NA,0
2015,Northwest Territories,Male,Total,NA,13.12
2015,Northwest Territories,Male,Indigenous identity,NA,26.49
2015,Northwest Territories,Male,Non-Indigenous identity,NA,0
2015,Northwest Territories,Female,Total,NA,13.86
2015,Northwest Territories,Female,Indigenous identity,NA,26.57
2015,Northwest Territories,Female,Non-Indigenous identity,NA,0
2015,Nunavut,All genders,Total,62,5.5
2015,Nunavut,All genders,Indigenous identity,NA,6.41
2015,Nunavut,All genders,Non-Indigenous identity,NA,0
2015,Nunavut,Male,Total,NA,5.35
2015,Nunavut,Male,Indigenous identity,NA,6.31
2015,Nunavut,Male,Non-Indigenous identity,NA,0
2015,Nunavut,Female,Total,NA,5.66
2015,Nunavut,Female,Indigenous identity,NA,6.52
2015,Nunavut,Female,Non-Indigenous identity,NA,0
2016,Canada,All genders,Indigenous identity,NA,7.91
2016,Canada,All genders,Non-Indigenous identity,NA,1.36
2016,Canada,Male,Total,NA,2.57
2016,Canada,Male,Indigenous identity,NA,12.66
2016,Canada,Male,Non-Indigenous identity,NA,2.01
2016,Canada,Female,Total,NA,0.85
2016,Canada,Female,Indigenous identity,NA,3.28
2016,Canada,Female,Non-Indigenous identity,NA,0.71
2016,Newfoundland and Labrador,All genders,Total,10,1.32
2016,Newfoundland and Labrador,All genders,Indigenous identity,NA,2.11
2016,Newfoundland and Labrador,All genders,Non-Indigenous identity,NA,1.24
2016,Newfoundland and Labrador,Male,Total,NA,1.9
2016,Newfoundland and Labrador,Male,Indigenous identity,NA,4.31
2016,Newfoundland and Labrador,Male,Non-Indigenous identity,NA,1.67
2016,Newfoundland and Labrador,Female,Total,NA,0.75
2016,Newfoundland and Labrador,Female,Indigenous identity,NA,0
2016,Newfoundland and Labrador,Female,Non-Indigenous identity,NA,0.82
2016,Prince Edward Island,All genders,Total,11,0
2016,Prince Edward Island,All genders,Indigenous identity,NA,0
2016,Prince Edward Island,All genders,Non-Indigenous identity,NA,0
2016,Prince Edward Island,Male,Total,NA,0
2016,Prince Edward Island,Male,Indigenous identity,NA,0
2016,Prince Edward Island,Male,Non-Indigenous identity,NA,0
2016,Prince Edward Island,Female,Total,NA,0
2016,Prince Edward Island,Female,Indigenous identity,NA,0
2016,Prince Edward Island,Female,Non-Indigenous identity,NA,0
2016,Nova Scotia,All genders,Total,12,1.38
2016,Nova Scotia,All genders,Indigenous identity,NA,1.86
2016,Nova Scotia,All genders,Non-Indigenous identity,NA,1.12
2016,Nova Scotia,Male,Total,NA,2.39
2016,Nova Scotia,Male,Indigenous identity,NA,3.82
2016,Nova Scotia,Male,Non-Indigenous identity,NA,1.84
2016,Nova Scotia,Female,Total,NA,0.41
2016,Nova Scotia,Female,Indigenous identity,NA,0
2016,Nova Scotia,Female,Non-Indigenous identity,NA,0.44
2016,New Brunswick,All genders,Total,13,1.44
2016,New Brunswick,All genders,Indigenous identity,NA,0
2016,New Brunswick,All genders,Non-Indigenous identity,NA,1.5
2016,New Brunswick,Male,Total,NA,2.38
2016,New Brunswick,Male,Indigenous identity,NA,0
2016,New Brunswick,Male,Non-Indigenous identity,NA,2.49
2016,New Brunswick,Female,Total,NA,0.52
2016,New Brunswick,Female,Indigenous identity,NA,0
2016,New Brunswick,Female,Non-Indigenous identity,NA,0.54
2016,Quebec,All genders,Total,24,0.81
2016,Quebec,All genders,Indigenous identity,NA,2.01
2016,Quebec,All genders,Non-Indigenous identity,NA,0.77
2016,Quebec,Male,Total,NA,1.25
2016,Quebec,Male,Indigenous identity,NA,3.98
2016,Quebec,Male,Non-Indigenous identity,NA,1.15
2016,Quebec,Female,Total,NA,0.39
2016,Quebec,Female,Indigenous identity,NA,0
2016,Quebec,Female,Non-Indigenous identity,NA,0.4
2016,Ontario,All genders,Total,35,1.48
2016,Ontario,All genders,Indigenous identity,NA,4.41
2016,Ontario,All genders,Non-Indigenous identity,NA,1.36
2016,Ontario,Male,Total,NA,2.21
2016,Ontario,Male,Indigenous identity,NA,8.52
2016,Ontario,Male,Non-Indigenous identity,NA,1.99
2016,Ontario,Female,Total,NA,0.78
2016,Ontario,Female,Indigenous identity,NA,0.48
2016,Ontario,Female,Non-Indigenous identity,NA,0.75
2016,Manitoba,All genders,Total,46,3.2
2016,Manitoba,All genders,Indigenous identity,NA,11.2
2016,Manitoba,All genders,Non-Indigenous identity,NA,1.4
2016,Manitoba,Male,Total,NA,5.04
2016,Manitoba,Male,Indigenous identity,NA,17.59
2016,Manitoba,Male,Non-Indigenous identity,NA,2.24
2016,Manitoba,Female,Total,NA,1.37
2016,Manitoba,Female,Indigenous identity,NA,4.93
2016,Manitoba,Female,Non-Indigenous identity,NA,0.56
2016,Saskatchewan,All genders,Total,47,4.93
2016,Saskatchewan,All genders,Indigenous identity,NA,20.13
2016,Saskatchewan,All genders,Non-Indigenous identity,NA,1.9
2016,Saskatchewan,Male,Total,NA,7.34
2016,Saskatchewan,Male,Indigenous identity,NA,30.95
2016,Saskatchewan,Male,Non-Indigenous identity,NA,2.72
2016,Saskatchewan,Female,Total,NA,2.48
2016,Saskatchewan,Female,Indigenous identity,NA,9.46
2016,Saskatchewan,Female,Non-Indigenous identity,NA,1.07
2016,Alberta,All genders,Total,48,2.76
2016,Alberta,All genders,Indigenous identity,NA,11.04
2016,Alberta,All genders,Non-Indigenous identity,NA,2.17
2016,Alberta,Male,Total,NA,4.11
2016,Alberta,Male,Indigenous identity,NA,15.17
2016,Alberta,Male,Non-Indigenous identity,NA,3.33
2016,Alberta,Female,Total,NA,1.4
2016,Alberta,Female,Indigenous identity,NA,7.02
2016,Alberta,Female,Non-Indigenous identity,NA,0.98
2016,British Columbia,All genders,Total,59,1.85
2016,British Columbia,All genders,Indigenous identity,NA,5.81
2016,British Columbia,All genders,Non-Indigenous identity,NA,1.6
2016,British Columbia,Male,Total,NA,2.74
2016,British Columbia,Male,Indigenous identity,NA,10.48
2016,British Columbia,Male,Non-Indigenous identity,NA,2.25
2016,British Columbia,Female,Total,NA,0.98
2016,British Columbia,Female,Indigenous identity,NA,1.34
2016,British Columbia,Female,Non-Indigenous identity,NA,0.95
2016,Yukon,All genders,Total,60,10.38
2016,Yukon,All genders,Indigenous identity,NA,22.17
2016,Yukon,All genders,Non-Indigenous identity,NA,6.78
2016,Yukon,Male,Total,NA,20.42
2016,Yukon,Male,Indigenous identity,NA,45.19
2016,Yukon,Male,Non-Indigenous identity,NA,13.19
2016,Yukon,Female,Total,NA,0
2016,Yukon,Female,Indigenous identity,NA,0
2016,Yukon,Female,Non-Indigenous identity,NA,0
2016,Northwest Territories,All genders,Total,61,6.72
2016,Northwest Territories,All genders,Indigenous identity,NA,13.27
2016,Northwest Territories,All genders,Non-Indigenous identity,NA,0
2016,Northwest Territories,Male,Total,NA,8.71
2016,Northwest Territories,Male,Indigenous identity,NA,17.62
2016,Northwest Territories,Male,Non-Indigenous identity,NA,0
2016,Northwest Territories,Female,Total,NA,4.61
2016,Northwest Territories,Female,Indigenous identity,NA,8.88
2016,Northwest Territories,Female,Non-Indigenous identity,NA,0
2016,Nunavut,All genders,Total,62,2.7
2016,Nunavut,All genders,Indigenous identity,NA,3.15
2016,Nunavut,All genders,Non-Indigenous identity,NA,0
2016,Nunavut,Male,Total,NA,0
2016,Nunavut,Male,Indigenous identity,NA,0
2016,Nunavut,Male,Non-Indigenous identity,NA,0
2016,Nunavut,Female,Total,NA,5.56
2016,Nunavut,Female,Indigenous identity,NA,6.41
2016,Nunavut,Female,Non-Indigenous identity,NA,0
2017,Canada,All genders,Indigenous identity,NA,8.42
2017,Canada,All genders,Non-Indigenous identity,NA,1.44
2017,Canada,Male,Total,NA,2.71
2017,Canada,Male,Indigenous identity,NA,12.91
2017,Canada,Male,Non-Indigenous identity,NA,2.13
2017,Canada,Female,Total,NA,0.94
2017,Canada,Female,Indigenous identity,NA,4.03
2017,Canada,Female,Non-Indigenous identity,NA,0.76
2017,Newfoundland and Labrador,All genders,Total,10,0.76
2017,Newfoundland and Labrador,All genders,Indigenous identity,NA,2.05
2017,Newfoundland and Labrador,All genders,Non-Indigenous identity,NA,0.63
2017,Newfoundland and Labrador,Male,Total,NA,0.38
2017,Newfoundland and Labrador,Male,Indigenous identity,NA,0
2017,Newfoundland and Labrador,Male,Non-Indigenous identity,NA,0.42
2017,Newfoundland and Labrador,Female,Total,NA,1.13
2017,Newfoundland and Labrador,Female,Indigenous identity,NA,4.02
2017,Newfoundland and Labrador,Female,Non-Indigenous identity,NA,0.83
2017,Prince Edward Island,All genders,Total,11,1.33
2017,Prince Edward Island,All genders,Indigenous identity,NA,0
2017,Prince Edward Island,All genders,Non-Indigenous identity,NA,1.36
2017,Prince Edward Island,Male,Total,NA,2.72
2017,Prince Edward Island,Male,Indigenous identity,NA,0
2017,Prince Edward Island,Male,Non-Indigenous identity,NA,2.77
2017,Prince Edward Island,Female,Total,NA,0
2017,Prince Edward Island,Female,Indigenous identity,NA,0
2017,Prince Edward Island,Female,Non-Indigenous identity,NA,0
2017,Nova Scotia,All genders,Total,12,2.21
2017,Nova Scotia,All genders,Indigenous identity,NA,0
2017,Nova Scotia,All genders,Non-Indigenous identity,NA,2.24
2017,Nova Scotia,Male,Total,NA,1.51
2017,Nova Scotia,Male,Indigenous identity,NA,0
2017,Nova Scotia,Male,Non-Indigenous identity,NA,1.6
2017,Nova Scotia,Female,Total,NA,2.88
2017,Nova Scotia,Female,Indigenous identity,NA,0
2017,Nova Scotia,Female,Non-Indigenous identity,NA,2.85
2017,New Brunswick,All genders,Total,13,1.3
2017,New Brunswick,All genders,Indigenous identity,NA,0
2017,New Brunswick,All genders,Non-Indigenous identity,NA,1.36
2017,New Brunswick,Male,Total,NA,1.85
2017,New Brunswick,Male,Indigenous identity,NA,0
2017,New Brunswick,Male,Non-Indigenous identity,NA,1.93
2017,New Brunswick,Female,Total,NA,0.77
2017,New Brunswick,Female,Indigenous identity,NA,0
2017,New Brunswick,Female,Non-Indigenous identity,NA,0.81
2017,Quebec,All genders,Total,24,1.12
2017,Quebec,All genders,Indigenous identity,NA,5.8
2017,Quebec,All genders,Non-Indigenous identity,NA,1
2017,Quebec,Male,Total,NA,1.5
2017,Quebec,Male,Indigenous identity,NA,7.65
2017,Quebec,Male,Non-Indigenous identity,NA,1.34
2017,Quebec,Female,Total,NA,0.7
2017,Quebec,Female,Indigenous identity,NA,3.92
2017,Quebec,Female,Non-Indigenous identity,NA,0.62
2017,Ontario,All genders,Total,35,1.41
2017,Ontario,All genders,Indigenous identity,NA,4.74
2017,Ontario,All genders,Non-Indigenous identity,NA,1.27
2017,Ontario,Male,Total,NA,2.13
2017,Ontario,Male,Indigenous identity,NA,7.75
2017,Ontario,Male,Non-Indigenous identity,NA,1.92
2017,Ontario,Female,Total,NA,0.7
2017,Ontario,Female,Indigenous identity,NA,1.86
2017,Ontario,Female,Non-Indigenous identity,NA,0.64
2017,Manitoba,All genders,Total,46,3.52
2017,Manitoba,All genders,Indigenous identity,NA,11.68
2017,Manitoba,All genders,Non-Indigenous identity,NA,1.56
2017,Manitoba,Male,Total,NA,5.7
2017,Manitoba,Male,Indigenous identity,NA,19.49
2017,Manitoba,Male,Non-Indigenous identity,NA,2.39
2017,Manitoba,Female,Total,NA,1.35
2017,Manitoba,Female,Indigenous identity,NA,4
2017,Manitoba,Female,Non-Indigenous identity,NA,0.74
2017,Saskatchewan,All genders,Total,47,3.3
2017,Saskatchewan,All genders,Indigenous identity,NA,15.5
2017,Saskatchewan,All genders,Non-Indigenous identity,NA,0.84
2017,Saskatchewan,Male,Total,NA,5
2017,Saskatchewan,Male,Indigenous identity,NA,26.01
2017,Saskatchewan,Male,Non-Indigenous identity,NA,0.83
2017,Saskatchewan,Female,Total,NA,1.58
2017,Saskatchewan,Female,Indigenous identity,NA,5.13
2017,Saskatchewan,Female,Non-Indigenous identity,NA,0.84
2017,Alberta,All genders,Total,48,2.81
2017,Alberta,All genders,Indigenous identity,NA,14.26
2017,Alberta,All genders,Non-Indigenous identity,NA,1.92
2017,Alberta,Male,Total,NA,4.45
2017,Alberta,Male,Indigenous identity,NA,21.87
2017,Alberta,Male,Non-Indigenous identity,NA,3.11
2017,Alberta,Female,Total,NA,1.14
2017,Alberta,Female,Indigenous identity,NA,6.86
2017,Alberta,Female,Non-Indigenous identity,NA,0.71
2017,British Columbia,All genders,Total,59,2.41
2017,British Columbia,All genders,Indigenous identity,NA,3.64
2017,British Columbia,All genders,Non-Indigenous identity,NA,2.33
2017,British Columbia,Male,Total,NA,3.73
2017,British Columbia,Male,Indigenous identity,NA,4.06
2017,British Columbia,Male,Non-Indigenous identity,NA,3.71
2017,British Columbia,Female,Total,NA,1.12
2017,British Columbia,Female,Indigenous identity,NA,3.24
2017,British Columbia,Female,Non-Indigenous identity,NA,0.98
2017,Yukon,All genders,Total,60,20.2
2017,Yukon,All genders,Indigenous identity,NA,65.3
2017,Yukon,All genders,Non-Indigenous identity,NA,6.57
2017,Yukon,Male,Total,NA,29.79
2017,Yukon,Male,Indigenous identity,NA,88.59
2017,Yukon,Male,Non-Indigenous identity,NA,12.8
2017,Yukon,Female,Total,NA,10.27
2017,Yukon,Female,Indigenous identity,NA,42.78
2017,Yukon,Female,Non-Indigenous identity,NA,0
2017,Northwest Territories,All genders,Total,61,4.46
2017,Northwest Territories,All genders,Indigenous identity,NA,8.81
2017,Northwest Territories,All genders,Non-Indigenous identity,NA,0
2017,Northwest Territories,Male,Total,NA,8.66
2017,Northwest Territories,Male,Indigenous identity,NA,17.53
2017,Northwest Territories,Male,Non-Indigenous identity,NA,0
2017,Northwest Territories,Female,Total,NA,0
2017,Northwest Territories,Female,Indigenous identity,NA,0
2017,Northwest Territories,Female,Non-Indigenous identity,NA,0
2017,Nunavut,All genders,Total,62,15.98
2017,Nunavut,All genders,Indigenous identity,NA,15.48
2017,Nunavut,All genders,Non-Indigenous identity,NA,19.07
2017,Nunavut,Male,Total,NA,20.72
2017,Nunavut,Male,Indigenous identity,NA,18.22
2017,Nunavut,Male,Non-Indigenous identity,NA,35.21
2017,Nunavut,Female,Total,NA,10.97
2017,Nunavut,Female,Indigenous identity,NA,12.63
2017,Nunavut,Female,Non-Indigenous identity,NA,0
2018,Canada,All genders,Indigenous identity,NA,7.45
2018,Canada,All genders,Non-Indigenous identity,NA,1.47
2018,Canada,Male,Total,NA,2.68
2018,Canada,Male,Indigenous identity,NA,10.31
2018,Canada,Male,Non-Indigenous identity,NA,2.25
2018,Canada,Female,Total,NA,0.9
2018,Canada,Female,Indigenous identity,NA,4.64
2018,Canada,Female,Non-Indigenous identity,NA,0.69
2018,Newfoundland and Labrador,All genders,Total,10,0.38
2018,Newfoundland and Labrador,All genders,Indigenous identity,NA,0
2018,Newfoundland and Labrador,All genders,Non-Indigenous identity,NA,0.21
2018,Newfoundland and Labrador,Male,Total,NA,0.77
2018,Newfoundland and Labrador,Male,Indigenous identity,NA,0
