Year,Series,Units,Basic services,Sources of waste for disposal,Proficiency level,Sex,"Geography",GeoCode,Value
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,16265183
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,400048
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,228004
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,172044
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,399967
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,179262
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,220705
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,442173
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,208120
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,234053
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,6454000
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,2209000
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,4245000
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,9809264
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3489917
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,6319347
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,928117
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,450658
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,477459
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,794933
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,279420
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,515513
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,3077311
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,943420
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2133890
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2767657
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,919323
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1848335
2004,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2004,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,9748217
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,16668793
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,428809
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,227618
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,201192
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,359105
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,169337
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,189768
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,511706
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,263580
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,248125
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,6808440
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,2980427
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,3828013
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,9710459
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3411642
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,6298818
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,904272
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,425304
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,478968
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,833753
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,296062
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,537691
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,3819872
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,973683
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2846189
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2917080
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,956968
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1960113
2006,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2006,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2006,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,9360400
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,16566076
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,399184
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,210964
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,188220
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,354231
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,148060
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,206171
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,479461
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,233703
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,245758
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,6146319
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,2848822
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,3297497
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,9631559
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3231399
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,6400160
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,945441
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,400297
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,545144
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,902943
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,289760
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,613182
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,4147558
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,993976
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,3153581
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2811568
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,960472
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1851097
2008,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2008,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2008,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,9448165
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,15504250
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,394235
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,367246
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,145589
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,221657
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,475265
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,219486
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,255779
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,5795707
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,2853189
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,2942518
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,9247415
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3204264
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,6043151
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,1020481
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,453754
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,566727
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,937268
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,283726
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,653541
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,3917492
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,1093155
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2824337
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2658271
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,953761
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1704510
2010,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2010,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2010,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,9684615
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,14996859
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,391571
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,365079
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,145601
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,219478
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,492938
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,215755
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,277183
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,5584621
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,2803335
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,2781286
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,9208839
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3388501
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,5820338
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,1017663
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,444227
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,573436
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,957670
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,315987
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,641682
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,3913924
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,1176226
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2737698
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2604147
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,947542
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1656605
2012,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2012,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2012,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,9803644
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,14963007
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,415158
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,364193
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,160805
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,203388
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,508115
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,234534
