"Year","Geography","Educational attainment level","Age group","Sex","GeoCode","Value"
2015,"Canada","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",,25
2015,"Canada","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",,31
2015,"Canada","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",,37
2015,"Canada","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",,26
2015,"Canada","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",,37
2015,"Canada","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",,40
2015,"Canada","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",,33
2015,"Canada","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",,39
2015,"Canada","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",,41
2015,"Canada","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",,37
2015,"Canada","Tertiary education","Total, 25 to 64 years","Both sexes",,55
2015,"Canada","Tertiary education","Total, 25 to 64 years","Male",,49
2015,"Canada","Tertiary education","Total, 25 to 64 years","Female",,61
2015,"Canada","Tertiary education","25 to 34 years","Both sexes",,59
2015,"Canada","Tertiary education","25 to 34 years","Male",,50
2015,"Canada","Tertiary education","25 to 34 years","Female",,68
2015,"Canada","Tertiary education","30 to 34 years","Both sexes",,61
2015,"Canada","Tertiary education","30 to 34 years","Male",,52
2015,"Canada","Tertiary education","30 to 34 years","Female",,70
2015,"Canada","Tertiary education","35 to 44 years","Both sexes",,62
2015,"Canada","Tertiary education","35 to 44 years","Male",,55
2015,"Canada","Tertiary education","35 to 44 years","Female",,69
2015,"Canada","Tertiary education","45 to 54 years","Both sexes",,53
2015,"Canada","Tertiary education","45 to 54 years","Male",,48
2015,"Canada","Tertiary education","45 to 54 years","Female",,58
2015,"Canada","Tertiary education","55 to 64 years","Both sexes",,45
2015,"Canada","Tertiary education","55 to 64 years","Male",,42
2015,"Canada","Tertiary education","55 to 64 years","Female",,49
2015,"Newfoundland and Labrador","Pre-primary and primary","Total, 25 to 64 years","Both sexes",10,5
2015,"Newfoundland and Labrador","Pre-primary and primary","Total, 25 to 64 years","Male",10,6
2015,"Newfoundland and Labrador","Pre-primary and primary","Total, 25 to 64 years","Female",10,4
2015,"Newfoundland and Labrador","Pre-primary and primary","25 to 34 years","Both sexes",10,
2015,"Newfoundland and Labrador","Pre-primary and primary","25 to 34 years","Male",10,
2015,"Newfoundland and Labrador","Pre-primary and primary","25 to 34 years","Female",10,
2015,"Newfoundland and Labrador","Pre-primary and primary","30 to 34 years","Both sexes",10,
2015,"Newfoundland and Labrador","Pre-primary and primary","30 to 34 years","Male",10,
2015,"Newfoundland and Labrador","Pre-primary and primary","30 to 34 years","Female",10,
2015,"Newfoundland and Labrador","Pre-primary and primary","35 to 44 years","Both sexes",10,2
2015,"Newfoundland and Labrador","Pre-primary and primary","35 to 44 years","Male",10,3
2015,"Newfoundland and Labrador","Pre-primary and primary","35 to 44 years","Female",10,2
2015,"Newfoundland and Labrador","Pre-primary and primary","45 to 54 years","Both sexes",10,6
2015,"Newfoundland and Labrador","Pre-primary and primary","45 to 54 years","Male",10,8
2015,"Newfoundland and Labrador","Pre-primary and primary","45 to 54 years","Female",10,5
2015,"Newfoundland and Labrador","Pre-primary and primary","55 to 64 years","Both sexes",10,9
2015,"Newfoundland and Labrador","Pre-primary and primary","55 to 64 years","Male",10,9
2015,"Newfoundland and Labrador","Pre-primary and primary","55 to 64 years","Female",10,9
2015,"Newfoundland and Labrador","Lower secondary","Total, 25 to 64 years","Both sexes",10,11
2015,"Newfoundland and Labrador","Lower secondary","Total, 25 to 64 years","Male",10,11
2015,"Newfoundland and Labrador","Lower secondary","Total, 25 to 64 years","Female",10,10
2015,"Newfoundland and Labrador","Lower secondary","25 to 34 years","Both sexes",10,7
2015,"Newfoundland and Labrador","Lower secondary","25 to 34 years","Male",10,7
2015,"Newfoundland and Labrador","Lower secondary","25 to 34 years","Female",10,6
2015,"Newfoundland and Labrador","Lower secondary","30 to 34 years","Both sexes",10,7
2015,"Newfoundland and Labrador","Lower secondary","30 to 34 years","Male",10,8
2015,"Newfoundland and Labrador","Lower secondary","30 to 34 years","Female",10,6
2015,"Newfoundland and Labrador","Lower secondary","35 to 44 years","Both sexes",10,8
2015,"Newfoundland and Labrador","Lower secondary","35 to 44 years","Male",10,9
2015,"Newfoundland and Labrador","Lower secondary","35 to 44 years","Female",10,7
2015,"Newfoundland and Labrador","Lower secondary","45 to 54 years","Both sexes",10,12
2015,"Newfoundland and Labrador","Lower secondary","45 to 54 years","Male",10,13
2015,"Newfoundland and Labrador","Lower secondary","45 to 54 years","Female",10,11
2015,"Newfoundland and Labrador","Lower secondary","55 to 64 years","Both sexes",10,15
2015,"Newfoundland and Labrador","Lower secondary","55 to 64 years","Male",10,13
2015,"Newfoundland and Labrador","Lower secondary","55 to 64 years","Female",10,16
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",10,43
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",10,49
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",10,37
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",10,41
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",10,48
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",10,34
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",10,39
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",10,46
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",10,31
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",10,41
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",10,47
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",10,34
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",10,45
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",10,49
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",10,41
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",10,45
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",10,51
2015,"Newfoundland and Labrador","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",10,38
2015,"Newfoundland and Labrador","Tertiary education","Total, 25 to 64 years","Both sexes",10,41
2015,"Newfoundland and Labrador","Tertiary education","Total, 25 to 64 years","Male",10,34
2015,"Newfoundland and Labrador","Tertiary education","Total, 25 to 64 years","Female",10,48
2015,"Newfoundland and Labrador","Tertiary education","25 to 34 years","Both sexes",10,52
2015,"Newfoundland and Labrador","Tertiary education","25 to 34 years","Male",10,45
2015,"Newfoundland and Labrador","Tertiary education","25 to 34 years","Female",10,59
2015,"Newfoundland and Labrador","Tertiary education","30 to 34 years","Both sexes",10,54
2015,"Newfoundland and Labrador","Tertiary education","30 to 34 years","Male",10,46
2015,"Newfoundland and Labrador","Tertiary education","30 to 34 years","Female",10,63
2015,"Newfoundland and Labrador","Tertiary education","35 to 44 years","Both sexes",10,49
2015,"Newfoundland and Labrador","Tertiary education","35 to 44 years","Male",10,40
2015,"Newfoundland and Labrador","Tertiary education","35 to 44 years","Female",10,58
2015,"Newfoundland and Labrador","Tertiary education","45 to 54 years","Both sexes",10,37
2015,"Newfoundland and Labrador","Tertiary education","45 to 54 years","Male",10,30
2015,"Newfoundland and Labrador","Tertiary education","45 to 54 years","Female",10,43
2015,"Newfoundland and Labrador","Tertiary education","55 to 64 years","Both sexes",10,31
2015,"Newfoundland and Labrador","Tertiary education","55 to 64 years","Male",10,26
2015,"Newfoundland and Labrador","Tertiary education","55 to 64 years","Female",10,36
2015,"Prince Edward Island","Pre-primary and primary","Total, 25 to 64 years","Both sexes",11,3
2015,"Prince Edward Island","Pre-primary and primary","Total, 25 to 64 years","Male",11,4
2015,"Prince Edward Island","Pre-primary and primary","Total, 25 to 64 years","Female",11,2
2015,"Prince Edward Island","Pre-primary and primary","25 to 34 years","Both sexes",11,
2015,"Prince Edward Island","Pre-primary and primary","25 to 34 years","Male",11,
2015,"Prince Edward Island","Pre-primary and primary","25 to 34 years","Female",11,
2015,"Prince Edward Island","Pre-primary and primary","30 to 34 years","Both sexes",11,
2015,"Prince Edward Island","Pre-primary and primary","30 to 34 years","Male",11,
2015,"Prince Edward Island","Pre-primary and primary","30 to 34 years","Female",11,
2015,"Prince Edward Island","Pre-primary and primary","35 to 44 years","Both sexes",11,
2015,"Prince Edward Island","Pre-primary and primary","35 to 44 years","Male",11,
2015,"Prince Edward Island","Pre-primary and primary","35 to 44 years","Female",11,
2015,"Prince Edward Island","Pre-primary and primary","45 to 54 years","Both sexes",11,3
2015,"Prince Edward Island","Pre-primary and primary","45 to 54 years","Male",11,4
2015,"Prince Edward Island","Pre-primary and primary","45 to 54 years","Female",11,
2015,"Prince Edward Island","Pre-primary and primary","55 to 64 years","Both sexes",11,6
2015,"Prince Edward Island","Pre-primary and primary","55 to 64 years","Male",11,9
2015,"Prince Edward Island","Pre-primary and primary","55 to 64 years","Female",11,4
2015,"Prince Edward Island","Lower secondary","Total, 25 to 64 years","Both sexes",11,9
2015,"Prince Edward Island","Lower secondary","Total, 25 to 64 years","Male",11,12
2015,"Prince Edward Island","Lower secondary","Total, 25 to 64 years","Female",11,6
2015,"Prince Edward Island","Lower secondary","25 to 34 years","Both sexes",11,5
2015,"Prince Edward Island","Lower secondary","25 to 34 years","Male",11,7
2015,"Prince Edward Island","Lower secondary","25 to 34 years","Female",11,
2015,"Prince Edward Island","Lower secondary","30 to 34 years","Both sexes",11,3
2015,"Prince Edward Island","Lower secondary","30 to 34 years","Male",11,6
2015,"Prince Edward Island","Lower secondary","30 to 34 years","Female",11,
2015,"Prince Edward Island","Lower secondary","35 to 44 years","Both sexes",11,6
2015,"Prince Edward Island","Lower secondary","35 to 44 years","Male",11,10
2015,"Prince Edward Island","Lower secondary","35 to 44 years","Female",11,3
2015,"Prince Edward Island","Lower secondary","45 to 54 years","Both sexes",11,10
2015,"Prince Edward Island","Lower secondary","45 to 54 years","Male",11,14
2015,"Prince Edward Island","Lower secondary","45 to 54 years","Female",11,7
2015,"Prince Edward Island","Lower secondary","55 to 64 years","Both sexes",11,13
2015,"Prince Edward Island","Lower secondary","55 to 64 years","Male",11,14
2015,"Prince Edward Island","Lower secondary","55 to 64 years","Female",11,11
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",11,35
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",11,41
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",11,29
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",11,33
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",11,39
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",11,26
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",11,34
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",11,41
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",11,28
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",11,32
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",11,39
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",11,26
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",11,36
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",11,42
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",11,30
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",11,37
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",11,43
2015,"Prince Edward Island","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",11,32
2015,"Prince Edward Island","Tertiary education","Total, 25 to 64 years","Both sexes",11,53
2015,"Prince Edward Island","Tertiary education","Total, 25 to 64 years","Male",11,43
2015,"Prince Edward Island","Tertiary education","Total, 25 to 64 years","Female",11,63
2015,"Prince Edward Island","Tertiary education","25 to 34 years","Both sexes",11,62
2015,"Prince Edward Island","Tertiary education","25 to 34 years","Male",11,53
2015,"Prince Edward Island","Tertiary education","25 to 34 years","Female",11,72
2015,"Prince Edward Island","Tertiary education","30 to 34 years","Both sexes",11,62
2015,"Prince Edward Island","Tertiary education","30 to 34 years","Male",11,52
2015,"Prince Edward Island","Tertiary education","30 to 34 years","Female",11,71
2015,"Prince Edward Island","Tertiary education","35 to 44 years","Both sexes",11,60
2015,"Prince Edward Island","Tertiary education","35 to 44 years","Male",11,49
2015,"Prince Edward Island","Tertiary education","35 to 44 years","Female",11,71
2015,"Prince Edward Island","Tertiary education","45 to 54 years","Both sexes",11,51
2015,"Prince Edward Island","Tertiary education","45 to 54 years","Male",11,40
2015,"Prince Edward Island","Tertiary education","45 to 54 years","Female",11,61
2015,"Prince Edward Island","Tertiary education","55 to 64 years","Both sexes",11,44
2015,"Prince Edward Island","Tertiary education","55 to 64 years","Male",11,34
2015,"Prince Edward Island","Tertiary education","55 to 64 years","Female",11,53
2015,"Nova Scotia","Pre-primary and primary","Total, 25 to 64 years","Both sexes",12,2
2015,"Nova Scotia","Pre-primary and primary","Total, 25 to 64 years","Male",12,3
2015,"Nova Scotia","Pre-primary and primary","Total, 25 to 64 years","Female",12,2
2015,"Nova Scotia","Pre-primary and primary","25 to 34 years","Both sexes",12,
2015,"Nova Scotia","Pre-primary and primary","25 to 34 years","Male",12,
2015,"Nova Scotia","Pre-primary and primary","25 to 34 years","Female",12,
2015,"Nova Scotia","Pre-primary and primary","30 to 34 years","Both sexes",12,
2015,"Nova Scotia","Pre-primary and primary","30 to 34 years","Male",12,
2015,"Nova Scotia","Pre-primary and primary","30 to 34 years","Female",12,
2015,"Nova Scotia","Pre-primary and primary","35 to 44 years","Both sexes",12,1
2015,"Nova Scotia","Pre-primary and primary","35 to 44 years","Male",12,1
2015,"Nova Scotia","Pre-primary and primary","35 to 44 years","Female",12,
2015,"Nova Scotia","Pre-primary and primary","45 to 54 years","Both sexes",12,3
2015,"Nova Scotia","Pre-primary and primary","45 to 54 years","Male",12,3
2015,"Nova Scotia","Pre-primary and primary","45 to 54 years","Female",12,2
2015,"Nova Scotia","Pre-primary and primary","55 to 64 years","Both sexes",12,5
2015,"Nova Scotia","Pre-primary and primary","55 to 64 years","Male",12,6
2015,"Nova Scotia","Pre-primary and primary","55 to 64 years","Female",12,4
2015,"Nova Scotia","Lower secondary","Total, 25 to 64 years","Both sexes",12,9
2015,"Nova Scotia","Lower secondary","Total, 25 to 64 years","Male",12,11
2015,"Nova Scotia","Lower secondary","Total, 25 to 64 years","Female",12,7
2015,"Nova Scotia","Lower secondary","25 to 34 years","Both sexes",12,5
2015,"Nova Scotia","Lower secondary","25 to 34 years","Male",12,7
2015,"Nova Scotia","Lower secondary","25 to 34 years","Female",12,4
2015,"Nova Scotia","Lower secondary","30 to 34 years","Both sexes",12,6
2015,"Nova Scotia","Lower secondary","30 to 34 years","Male",12,8
2015,"Nova Scotia","Lower secondary","30 to 34 years","Female",12,3
2015,"Nova Scotia","Lower secondary","35 to 44 years","Both sexes",12,6
2015,"Nova Scotia","Lower secondary","35 to 44 years","Male",12,7
2015,"Nova Scotia","Lower secondary","35 to 44 years","Female",12,4
2015,"Nova Scotia","Lower secondary","45 to 54 years","Both sexes",12,10
2015,"Nova Scotia","Lower secondary","45 to 54 years","Male",12,12
2015,"Nova Scotia","Lower secondary","45 to 54 years","Female",12,8
2015,"Nova Scotia","Lower secondary","55 to 64 years","Both sexes",12,13
2015,"Nova Scotia","Lower secondary","55 to 64 years","Male",12,15
2015,"Nova Scotia","Lower secondary","55 to 64 years","Female",12,12
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",12,36
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",12,42
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",12,31
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",12,31
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",12,38
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",12,25
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",12,27
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",12,31
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",12,23
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",12,32
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",12,38
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",12,26
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",12,39
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",12,45
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",12,34
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",12,40
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",12,44
2015,"Nova Scotia","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",12,36
2015,"Nova Scotia","Tertiary education","Total, 25 to 64 years","Both sexes",12,52
2015,"Nova Scotia","Tertiary education","Total, 25 to 64 years","Male",12,45
2015,"Nova Scotia","Tertiary education","Total, 25 to 64 years","Female",12,60
2015,"Nova Scotia","Tertiary education","25 to 34 years","Both sexes",12,63
2015,"Nova Scotia","Tertiary education","25 to 34 years","Male",12,54
2015,"Nova Scotia","Tertiary education","25 to 34 years","Female",12,71
2015,"Nova Scotia","Tertiary education","30 to 34 years","Both sexes",12,67
2015,"Nova Scotia","Tertiary education","30 to 34 years","Male",12,60
2015,"Nova Scotia","Tertiary education","30 to 34 years","Female",12,73
2015,"Nova Scotia","Tertiary education","35 to 44 years","Both sexes",12,62
2015,"Nova Scotia","Tertiary education","35 to 44 years","Male",12,54
2015,"Nova Scotia","Tertiary education","35 to 44 years","Female",12,69
2015,"Nova Scotia","Tertiary education","45 to 54 years","Both sexes",12,48
2015,"Nova Scotia","Tertiary education","45 to 54 years","Male",12,40
2015,"Nova Scotia","Tertiary education","45 to 54 years","Female",12,56
2015,"Nova Scotia","Tertiary education","55 to 64 years","Both sexes",12,42
2015,"Nova Scotia","Tertiary education","55 to 64 years","Male",12,35
2015,"Nova Scotia","Tertiary education","55 to 64 years","Female",12,48
2015,"New Brunswick","Pre-primary and primary","Total, 25 to 64 years","Both sexes",13,5
2015,"New Brunswick","Pre-primary and primary","Total, 25 to 64 years","Male",13,6
2015,"New Brunswick","Pre-primary and primary","Total, 25 to 64 years","Female",13,3
2015,"New Brunswick","Pre-primary and primary","25 to 34 years","Both sexes",13,1
2015,"New Brunswick","Pre-primary and primary","25 to 34 years","Male",13,2
2015,"New Brunswick","Pre-primary and primary","25 to 34 years","Female",13,
2015,"New Brunswick","Pre-primary and primary","30 to 34 years","Both sexes",13,
2015,"New Brunswick","Pre-primary and primary","30 to 34 years","Male",13,
2015,"New Brunswick","Pre-primary and primary","30 to 34 years","Female",13,
2015,"New Brunswick","Pre-primary and primary","35 to 44 years","Both sexes",13,1
2015,"New Brunswick","Pre-primary and primary","35 to 44 years","Male",13,2
2015,"New Brunswick","Pre-primary and primary","35 to 44 years","Female",13,
2015,"New Brunswick","Pre-primary and primary","45 to 54 years","Both sexes",13,5
2015,"New Brunswick","Pre-primary and primary","45 to 54 years","Male",13,7
2015,"New Brunswick","Pre-primary and primary","45 to 54 years","Female",13,2
2015,"New Brunswick","Pre-primary and primary","55 to 64 years","Both sexes",13,10
2015,"New Brunswick","Pre-primary and primary","55 to 64 years","Male",13,12
2015,"New Brunswick","Pre-primary and primary","55 to 64 years","Female",13,7
2015,"New Brunswick","Lower secondary","Total, 25 to 64 years","Both sexes",13,9
2015,"New Brunswick","Lower secondary","Total, 25 to 64 years","Male",13,10
2015,"New Brunswick","Lower secondary","Total, 25 to 64 years","Female",13,8
2015,"New Brunswick","Lower secondary","25 to 34 years","Both sexes",13,6
2015,"New Brunswick","Lower secondary","25 to 34 years","Male",13,7
2015,"New Brunswick","Lower secondary","25 to 34 years","Female",13,4
2015,"New Brunswick","Lower secondary","30 to 34 years","Both sexes",13,5
2015,"New Brunswick","Lower secondary","30 to 34 years","Male",13,5
2015,"New Brunswick","Lower secondary","30 to 34 years","Female",13,4
2015,"New Brunswick","Lower secondary","35 to 44 years","Both sexes",13,5
2015,"New Brunswick","Lower secondary","35 to 44 years","Male",13,7
2015,"New Brunswick","Lower secondary","35 to 44 years","Female",13,4
2015,"New Brunswick","Lower secondary","45 to 54 years","Both sexes",13,9
2015,"New Brunswick","Lower secondary","45 to 54 years","Male",13,9
2015,"New Brunswick","Lower secondary","45 to 54 years","Female",13,9
2015,"New Brunswick","Lower secondary","55 to 64 years","Both sexes",13,13
2015,"New Brunswick","Lower secondary","55 to 64 years","Male",13,13
2015,"New Brunswick","Lower secondary","55 to 64 years","Female",13,14
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",13,37
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",13,40
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",13,34
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",13,34
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",13,41
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",13,27
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",13,32
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",13,40
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",13,25
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",13,33
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",13,37
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",13,29
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",13,39
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",13,40
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",13,39
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",13,40
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",13,42
2015,"New Brunswick","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",13,38
2015,"New Brunswick","Tertiary education","Total, 25 to 64 years","Both sexes",13,50
2015,"New Brunswick","Tertiary education","Total, 25 to 64 years","Male",13,44
2015,"New Brunswick","Tertiary education","Total, 25 to 64 years","Female",13,55
2015,"New Brunswick","Tertiary education","25 to 34 years","Both sexes",13,60
2015,"New Brunswick","Tertiary education","25 to 34 years","Male",13,50
2015,"New Brunswick","Tertiary education","25 to 34 years","Female",13,69
2015,"New Brunswick","Tertiary education","30 to 34 years","Both sexes",13,62
2015,"New Brunswick","Tertiary education","30 to 34 years","Male",13,53
2015,"New Brunswick","Tertiary education","30 to 34 years","Female",13,71
2015,"New Brunswick","Tertiary education","35 to 44 years","Both sexes",13,60
2015,"New Brunswick","Tertiary education","35 to 44 years","Male",13,54
2015,"New Brunswick","Tertiary education","35 to 44 years","Female",13,66
2015,"New Brunswick","Tertiary education","45 to 54 years","Both sexes",13,46
