"Year","Industry","Size","Value"
2019,"Rubber and plastics products","20-49 employees",0.344094125395555
2019,"Rubber and plastics products","50-249 employees",2.3788057210971
2019,"Rubber and plastics products","250 employees and more",2.09129975802288
2019,"Rubber and plastics products","All enterprises",4.91971360439791
2019,"Other non-metallic mineral products","1-9 employees",0.151022902561578
2019,"Other non-metallic mineral products","20-49 employees",0.534533493105862
2019,"Other non-metallic mineral products","50-249 employees",1.96989334849217
2019,"Other non-metallic mineral products","All enterprises",3.27030588197952
2019,"Basic metals","1-9 employees",0.0140231122999745
2019,"Basic metals","10-19 employees",0.0311069815190599
2019,"Basic metals","20-49 employees",0.168148209895233
2019,"Basic metals","50-249 employees",1.11266997289894
2019,"Basic metals","250 employees and more",3.66927037644308
2019,"Basic metals","All enterprises",4.99521864916648
2019,"Fabricated metal products, except machinery","1-9 employees",0.093859461115466
2019,"Fabricated metal products, except machinery","10-19 employees",0.144576488699177
2019,"Fabricated metal products, except machinery","20-49 employees",0.872034158262868
2019,"Fabricated metal products, except machinery","50-249 employees",4.51991628668438
2019,"Fabricated metal products, except machinery","250 employees and more",2.5655518220323
2019,"Fabricated metal products, except machinery","All enterprises",8.19593821679419
2019,"Computer, electronic and optical products","1-9 employees",0.0214662425428509
2019,"Computer, electronic and optical products","10-19 employees",0.0408160994135104
2019,"Computer, electronic and optical products","20-49 employees",0.17795610555007
2019,"Computer, electronic and optical products","50-249 employees",1.30554812515968
2019,"Computer, electronic and optical products","250 employees and more",1.78364126472253
2019,"Computer, electronic and optical products","All enterprises",3.32942783738864
2019,"Electrical equipment","1-9 employees",0.0181453975647318
2019,"Electrical equipment","20-49 employees",0.188445168657366
2019,"Electrical equipment","50-249 employees",1.09876518075
2019,"Electrical equipment","All enterprises",1.88662527185862
2019,"Machinery and equipment n.e.c.","1-9 employees",0.0518663644338448
2019,"Machinery and equipment n.e.c.","10-19 employees",0.100752273125448
2019,"Machinery and equipment n.e.c.","20-49 employees",0.566180080329183
2019,"Machinery and equipment n.e.c.","50-249 employees",3.73312357419122
2019,"Machinery and equipment n.e.c.","250 employees and more",3.17750170606937
2019,"Machinery and equipment n.e.c.","All enterprises",7.62942399425927
2019,"Motor vehicles, trailers and semi-trailers","1-9 employees",0.0265614541281277
2019,"Motor vehicles, trailers and semi-trailers","10-19 employees",0.0509231329003926
2019,"Motor vehicles, trailers and semi-trailers","20-49 employees",0.244525870639954
2019,"Motor vehicles, trailers and semi-trailers","50-249 employees",2.2282415084734
2019,"Motor vehicles, trailers and semi-trailers","250 employees and more",12.1633189794267
2019,"Motor vehicles, trailers and semi-trailers","All enterprises",14.7135709455685
2019,"Furniture","1-9 employees",0.0415701424011686
2019,"Furniture","10-19 employees",0.056505484472357
2019,"Furniture","20-49 employees",0.279403751703346
2019,"Furniture","50-249 employees",1.28131505507811
2019,"Furniture","250 employees and more",1.0951597886061
2019,"Furniture","All enterprises",2.75395422226109
2019,"Other manufacturing","1-9 employees",0.0550817839713187
2019,"Other manufacturing","10-19 employees",0.0929858260098639
2019,"Other manufacturing","20-49 employees",0.341208818223715
2019,"Other manufacturing","50-249 employees",1.25417711598502
2019,"Other manufacturing","250 employees and more",0.830349713881352
2019,"Other manufacturing","All enterprises",2.57380325418146
2019,"Total manufacturing","1-9 employees",1.04487438568277
2019,"Total manufacturing","10-19 employees",1.66784981112653
2019,"Total manufacturing","20-49 employees",7.19752799649731
2019,"Total manufacturing","50-249 employees",39.5655873009625
2019,"Total manufacturing","250 employees and more",50.5241605018411
2020,"Food products","1-9 employees",0.133324782183974
2020,"Food products","10-19 employees",0.309455660711871
2020,"Food products","20-49 employees",1.24633372953631
2020,"Food products","50-249 employees",6.53410180044961
2020,"Food products","250 employees and more",8.59982259214336
2020,"Food products","All enterprises",16.823038560804
2020,"Beverages","1-9 employees",0.0447840340071164
2020,"Beverages","10-19 employees",0.0938167372611365
2020,"Beverages","20-49 employees",0.305497961860692
2020,"Beverages","50-249 employees",0.904637757939798
2020,"Beverages","250 employees and more",2.82299605410341
2020,"Beverages","All enterprises",4.17173254095103
2020,"Textiles","1-9 employees",0.059233787976054
2020,"Textiles","20-49 employees",0.227737111345766
2020,"Textiles","50-249 employees",0.629459943800148
2020,"Textiles","All enterprises",1.23357188836621
2020,"Wood products, excluding furniture","1-9 employees",0.0492370393376424
2020,"Wood products, excluding furniture","10-19 employees",0.0733906129485642
2020,"Wood products, excluding furniture","20-49 employees",0.519309000100319
2020,"Wood products, excluding furniture","50-249 employees",4.92541410454046
2020,"Wood products, excluding furniture","250 employees and more",1.03429652925909
2020,"Wood products, excluding furniture","All enterprises",6.60164728618608
2020,"Paper and paper products","1-9 employees",0.00831350017960452
2020,"Paper and paper products","20-49 employees",0.16229959916308
2020,"Paper and paper products","50-249 employees",1.96114500489325
2020,"Paper and paper products","All enterprises",4.33698694254098
2020,"Printing and reproduction of recorded media","1-9 employees",0.0570941180156373
2020,"Printing and reproduction of recorded media","20-49 employees",0.198212214605601
2020,"Printing and reproduction of recorded media","50-249 employees",0.985891696827218
2020,"Printing and reproduction of recorded media","All enterprises",1.82894977812642
2020,"Coke and refined petroleum products","1-9 employees",0.309072530555078
2020,"Coke and refined petroleum products","10-19 employees",0.3791953279809
2020,"Coke and refined petroleum products","20-49 employees",1.28370865990151
2020,"Coke and refined petroleum products","50-249 employees",5.53607633166718
2020,"Coke and refined petroleum products","250 employees and more",5.81763907012629
2020,"Coke and refined petroleum products","All enterprises",13.325691920231
2020,"Rubber and plastics products","1-9 employees",0.0726715236756033
2020,"Rubber and plastics products","10-19 employees",0.152249723480616
2020,"Rubber and plastics products","20-49 employees",0.59917172042633
2020,"Rubber and plastics products","50-249 employees",2.85484978617441
2020,"Rubber and plastics products","250 employees and more",1.47391324106349
2020,"Rubber and plastics products","All enterprises",5.15285599482045
2020,"Other non-metallic mineral products","1-9 employees",0.101151371865138
2020,"Other non-metallic mineral products","20-49 employees",0.523482102817537
2020,"Other non-metallic mineral products","50-249 employees",1.93575788851971
2020,"Other non-metallic mineral products","All enterprises",3.43811416536599
2020,"Basic metals","1-9 employees",0.0460804208371037
2020,"Basic metals","10-19 employees",0.0263188742253576
2020,"Basic metals","20-49 employees",0.182052821721841
2020,"Basic metals","50-249 employees",1.12918245566874
2020,"Basic metals","250 employees and more",3.83330903233281
2020,"Basic metals","All enterprises",5.21694360478585
2020,"Fabricated metal products, except machinery","1-9 employees",0.110010270581278
2020,"Fabricated metal products, except machinery","10-19 employees",0.168638146012889
2020,"Fabricated metal products, except machinery","20-49 employees",0.882371519825096
2020,"Fabricated metal products, except machinery","50-249 employees",4.72355625020594
2020,"Fabricated metal products, except machinery","250 employees and more",2.28841803086794
2020,"Fabricated metal products, except machinery","All enterprises",8.17299421749314
2020,"Computer, electronic and optical products","1-9 employees",0.0254131775820286
2020,"Computer, electronic and optical products","10-19 employees",0.0510338148781101
2020,"Computer, electronic and optical products","20-49 employees",0.199515794227823
2020,"Computer, electronic and optical products","50-249 employees",1.46421454164273
2020,"Computer, electronic and optical products","250 employees and more",1.71495724598386
2020,"Computer, electronic and optical products","All enterprises",3.45513457431456
2020,"Electrical equipment","1-9 employees",0.019317172192905
2020,"Electrical equipment","20-49 employees",0.224312747063866
2020,"Electrical equipment","50-249 employees",1.00812390425472
2020,"Electrical equipment","All enterprises",1.87937825875383
2020,"Machinery and equipment n.e.c.","1-9 employees",0.107302344707595
2020,"Machinery and equipment n.e.c.","10-19 employees",0.124940316497886
2020,"Machinery and equipment n.e.c.","20-49 employees",0.616113392782436
2020,"Machinery and equipment n.e.c.","50-249 employees",3.74886778316531
2020,"Machinery and equipment n.e.c.","250 employees and more",2.62226362270739
2020,"Machinery and equipment n.e.c.","All enterprises",7.21948745563949
2020,"Motor vehicles, trailers and semi-trailers","1-9 employees",0.0345392817758882
2020,"Motor vehicles, trailers and semi-trailers","10-19 employees",0.0510013713328547
2020,"Motor vehicles, trailers and semi-trailers","20-49 employees",0.275938540562025
2020,"Motor vehicles, trailers and semi-trailers","50-249 employees",1.99898259557868
2020,"Motor vehicles, trailers and semi-trailers","250 employees and more",9.37493415999115
2020,"Motor vehicles, trailers and semi-trailers","All enterprises",11.7353959492406
2020,"Furniture","1-9 employees",0.0342207981056414
2020,"Furniture","10-19 employees",0.0532048393342537
2020,"Furniture","20-49 employees",0.25971794984856
2020,"Furniture","50-249 employees",1.46069794584069
2020,"Furniture","250 employees and more",0.809242835951497
2020,"Furniture","All enterprises",2.61708436908064
2020,"Other manufacturing","1-9 employees",0.135174216223929
2020,"Other manufacturing","10-19 employees",0.107509137484339
2020,"Other manufacturing","20-49 employees",0.397610589877092
2020,"Other manufacturing","50-249 employees",1.32168117031592
2020,"Other manufacturing","250 employees and more",0.82901738361963
2020,"Other manufacturing","All enterprises",2.79099249329979
2020,"Total manufacturing","1-9 employees",1.34694036558109
2020,"Total manufacturing","10-19 employees",2.17325005548876
2020,"Total manufacturing","20-49 employees",8.103385459887
2020,"Total manufacturing","50-249 employees",43.1226409530423
2020,"Total manufacturing","250 employees and more",45.2537831617798
2021,"Food products","1-9 employees",0.102185853
2021,"Food products","10-19 employees",0.184467547
2021,"Food products","20-49 employees",0.885822611
2021,"Food products","50-249 employees",6.169587634
2021,"Food products","250 employees and more",8.446087266
2021,"Food products","All enterprises",15.78815091
2021,"Beverages","1-9 employees",0.041052293
2021,"Beverages","10-19 employees",0.067465822
2021,"Beverages","20-49 employees",0.219542147
2021,"Beverages","50-249 employees",0.756380436
2021,"Beverages","250 employees and more",1.968444339
2021,"Beverages","All enterprises",3.052885036
2021,"Textiles","1-9 employees",0.043712436
2021,"Textiles","20-49 employees",0.195435599
2021,"Textiles","50-249 employees",0.571361511
2021,"Textiles","All enterprises",1.073647508
2021,"Wood products, excluding furniture","1-9 employees",0.065166031
2021,"Wood products, excluding furniture","10-19 employees",0.122492046
2021,"Wood products, excluding furniture","20-49 employees",0.558283976
2021,"Wood products, excluding furniture","50-249 employees",6.723356859
2021,"Wood products, excluding furniture","250 employees and more",1.944794593
2021,"Wood products, excluding furniture","All enterprises",9.414093505
2021,"Paper and paper products","1-9 employees",0.00806257
2021,"Paper and paper products","20-49 employees",0.164088805
2021,"Paper and paper products","50-249 employees",1.625867752
2021,"Paper and paper products","All enterprises",3.879343262
2021,"Printing and reproduction of recorded media","1-9 employees",0.028423548
2021,"Printing and reproduction of recorded media","20-49 employees",0.185039959
2021,"Printing and reproduction of recorded media","50-249 employees",0.749768132
2021,"Printing and reproduction of recorded media","All enterprises",1.483811668
2021,"Coke and refined petroleum products","1-9 employees",0.184648683
2021,"Coke and refined petroleum products","10-19 employees",0.269344582
2021,"Coke and refined petroleum products","20-49 employees",1.157554493
2021,"Coke and refined petroleum products","50-249 employees",6.044404628
2021,"Coke and refined petroleum products","250 employees and more",7.7502067
2021,"Coke and refined petroleum products","All enterprises",15.40615909
2021,"Rubber and plastics products","1-9 employees",0.034638185
2021,"Rubber and plastics products","10-19 employees",0.105410868
2021,"Rubber and plastics products","20-49 employees",0.521299891
2021,"Rubber and plastics products","50-249 employees",2.739899813
2021,"Rubber and plastics products","250 employees and more",1.606364782
2021,"Rubber and plastics products","All enterprises",5.00761354
2021,"Other non-metallic mineral products","1-9 employees",0.125617051
2021,"Other non-metallic mineral products","20-49 employees",0.555574191
2021,"Other non-metallic mineral products","50-249 employees",1.892895236
2021,"Other non-metallic mineral products","All enterprises",3.335518907
2021,"Basic metals","1-9 employees",0.013338579
2021,"Basic metals","10-19 employees",0.138217341
2021,"Basic metals","20-49 employees",1.253580536
2021,"Basic metals","50-249 employees",7.738328042
2021,"Basic metals","250 employees and more",0.099500865
2021,"Basic metals","All enterprises",0.208957223
2021,"Fabricated metal products, except machinery","1-9 employees",0.880490704
2021,"Fabricated metal products, except machinery","10-19 employees",4.062127733
2021,"Fabricated metal products, except machinery","20-49 employees",2.392616135
2021,"Fabricated metal products, except machinery","50-249 employees",7.643692659
2021,"Fabricated metal products, except machinery","250 employees and more",0.01803666
2021,"Fabricated metal products, except machinery","All enterprises",0.029618829
2021,"Computer, electronic and optical products","1-9 employees",0.135961277
2021,"Computer, electronic and optical products","10-19 employees",1.255878117
2021,"Computer, electronic and optical products","20-49 employees",1.536327646
2021,"Computer, electronic and optical products","50-249 employees",2.97582253
2021,"Computer, electronic and optical products","250 employees and more",0.020814849
2021,"Computer, electronic and optical products","All enterprises",0.022182161
2021,"Electrical equipment","1-9 employees",0.167166556
2021,"Electrical equipment","20-49 employees",0.946626211
2021,"Electrical equipment","50-249 employees",0.604408347
2021,"Electrical equipment","All enterprises",1.761198123
2021,"Machinery and equipment n.e.c.","1-9 employees",0.044294258
2021,"Machinery and equipment n.e.c.","10-19 employees",0.105248186
2021,"Machinery and equipment n.e.c.","20-49 employees",0.515514335
2021,"Machinery and equipment n.e.c.","50-249 employees",3.388547757
2021,"Machinery and equipment n.e.c.","250 employees and more",2.886128178
2021,"Machinery and equipment n.e.c.","All enterprises",6.939732715
2021,"Motor vehicles, trailers and semi-trailers","1-9 employees",0.028640642
2021,"Motor vehicles, trailers and semi-trailers","10-19 employees",0.036133534
2021,"Motor vehicles, trailers and semi-trailers","20-49 employees",0.196175564
2021,"Motor vehicles, trailers and semi-trailers","50-249 employees",1.866594196
2021,"Motor vehicles, trailers and semi-trailers","250 employees and more",7.591818755
2021,"Motor vehicles, trailers and semi-trailers","All enterprises",9.719362691
2021,"Furniture","1-9 employees",0.042636005
2021,"Furniture","10-19 employees",0.050920027
2021,"Furniture","20-49 employees",0.229900352
2021,"Furniture","50-249 employees",1.179601011
2021,"Furniture","250 employees and more",0.840944762
2021,"Furniture","All enterprises",2.344002157
2021,"Other manufacturing","1-9 employees",0.073604827
2021,"Other manufacturing","10-19 employees",0.103817195
2021,"Other manufacturing","20-49 employees",0.319611617
2021,"Other manufacturing","50-249 employees",1.169504196
2021,"Other manufacturing","250 employees and more",0.770099825
2021,"Other manufacturing","All enterprises",2.436637661
2021,"Total manufacturing","1-9 employees",0.974373335
2021,"Total manufacturing","10-19 employees",1.704256549
2021,"Total manufacturing","20-49 employees",7.025679418
2021,"Total manufacturing","50-249 employees",42.39598176
2021,"Total manufacturing","250 employees and more",47.89970894
2022,"Food products","1-9 employees",0.1001
2022,"Food products","10-19 employees",0.187608
2022,"Food products","20-49 employees",0.865048
2022,"Food products","50-249 employees",5.634168
2022,"Food products","250 employees and more",7.972684
2022,"Food products","All enterprises",14.75961
2022,"Beverages","1-9 employees",0.023746
2022,"Beverages","10-19 employees",0.052827
2022,"Beverages","20-49 employees",0.175061
2022,"Beverages","50-249 employees",0.72105
2022,"Beverages","250 employees and more",1.928642
2022,"Beverages","All enterprises",2.901326
2022,"Textiles","1-9 employees",0.037845
2022,"Textiles","20-49 employees",0.170895
2022,"Textiles","50-249 employees",0.575158
2022,"Textiles","All enterprises",1.078526
2022,"Wood products, excluding furniture","1-9 employees",0.073207
2022,"Wood products, excluding furniture","10-19 employees",0.099402
2022,"Wood products, excluding furniture","20-49 employees",0.524257
2022,"Wood products, excluding furniture","50-249 employees",5.032193
2022,"Wood products, excluding furniture","250 employees and more",1.521922
2022,"Wood products, excluding furniture","All enterprises",7.250982
2022,"Paper and paper products","1-9 employees",0.026175
2022,"Paper and paper products","20-49 employees",0.085489
2022,"Paper and paper products","50-249 employees",1.843594
2022,"Paper and paper products","All enterprises",4.194287
2022,"Printing and reproduction of recorded media","1-9 employees",0.027049
2022,"Printing and reproduction of recorded media","20-49 employees",0.202854
2022,"Printing and reproduction of recorded media","50-249 employees",0.77944
2022,"Printing and reproduction of recorded media","All enterprises",1.496208
2022,"Coke and refined petroleum products","1-9 employees",0.169427
2022,"Coke and refined petroleum products","10-19 employees",0.263739
2022,"Coke and refined petroleum products","20-49 employees",1.199697
2022,"Coke and refined petroleum products","50-249 employees",5.659795
2022,"Coke and refined petroleum products","250 employees and more",10.6729
2022,"Coke and refined petroleum products","All enterprises",17.96556
2022,"Rubber and plastics products","1-9 employees",0.041007
2022,"Rubber and plastics products","10-19 employees",0.054254
2022,"Rubber and plastics products","20-49 employees",0.4742
2022,"Rubber and plastics products","50-249 employees",2.670337
2022,"Rubber and plastics products","250 employees and more",1.799668
2022,"Rubber and plastics products","All enterprises",5.039466
2022,"Other non-metallic mineral products","1-9 employees",0.214789
2022,"Other non-metallic mineral products","20-49 employees",0.431619
2022,"Other non-metallic mineral products","50-249 employees",1.875594
2022,"Other non-metallic mineral products","All enterprises",3.212975
2022,"Basic metals","1-9 employees",0.044413
2022,"Basic metals","10-19 employees",0.122576
2022,"Basic metals","20-49 employees",1.55726
2022,"Basic metals","50-249 employees",6.796953
2022,"Basic metals","250 employees and more",0.136338
2022,"Basic metals","All enterprises",0.217237
2022,"Fabricated metal products, except machinery","1-9 employees",1.016183
2022,"Fabricated metal products, except machinery","10-19 employees",4.254025
2022,"Fabricated metal products, except machinery","20-49 employees",2.090227
2022,"Fabricated metal products, except machinery","50-249 employees",7.71401
2022,"Fabricated metal products, except machinery","250 employees and more",0.024291
2022,"Fabricated metal products, except machinery","All enterprises",0.127314
2022,"Computer, electronic and optical products","1-9 employees",1.118917
2022,"Computer, electronic and optical products","20-49 employees",3.065171
2022,"Computer, electronic and optical products","50-249 employees",0.027611
2022,"Computer, electronic and optical products","All enterprises",0.032793
2022,"Electrical equipment","1-9 employees",0.154913
2022,"Electrical equipment","20-49 employees",1.002272
2022,"Electrical equipment","50-249 employees",0.556245
2022,"Electrical equipment","All enterprises",1.773834
2022,"Machinery and equipment n.e.c.","1-9 employees",0.067719
2022,"Machinery and equipment n.e.c.","10-19 employees",0.170288
2022,"Machinery and equipment n.e.c.","20-49 employees",0.597164
2022,"Machinery and equipment n.e.c.","50-249 employees",3.363883
2022,"Machinery and equipment n.e.c.","250 employees and more",3.209917
2022,"Machinery and equipment n.e.c.","All enterprises",7.408972
2022,"Motor vehicles, trailers and semi-trailers","1-9 employees",0.021905
2022,"Motor vehicles, trailers and semi-trailers","10-19 employees",0.052075
2022,"Motor vehicles, trailers and semi-trailers","20-49 employees",0.175176
2022,"Motor vehicles, trailers and semi-trailers","50-249 employees",1.560751
2022,"Motor vehicles, trailers and semi-trailers","250 employees and more",8.840288
2022,"Motor vehicles, trailers and semi-trailers","All enterprises",10.65019
2022,"Furniture","1-9 employees",0.062915
2022,"Furniture","10-19 employees",0.050305
2022,"Furniture","20-49 employees",0.352288
2022,"Furniture","50-249 employees",1.09735
2022,"Furniture","250 employees and more",0.960139
2022,"Furniture","All enterprises",2.522996
2022,"Other manufacturing","1-9 employees",0.059878
2022,"Other manufacturing","10-19 employees",0.10091
2022,"Other manufacturing","20-49 employees",0.291072
2022,"Other manufacturing","50-249 employees",0.885992
2022,"Other manufacturing","250 employees and more",0.831078
2022,"Other manufacturing","All enterprises",2.168932
2022,"Total manufacturing","1-9 employees",1.158418
2022,"Total manufacturing","10-19 employees",1.6453
2022,"Total manufacturing","20-49 employees",6.965806
2022,"Total manufacturing","50-249 employees",39.63178
2022,"Total manufacturing","250 employees and more",50.5987
