"Year","Geography","Activity group","Age group","Gender","GeoCode","Value"
"2015","Atlantic","Care of children under 18 years","55 to 64 years","Total, all persons","1",0.4
"2015","Atlantic","Care of children under 18 years","55 to 64 years","Men+","1",
"2015","Atlantic","Care of children under 18 years","55 to 64 years","Women+","1",0.4
"2015","Atlantic","Care of children under 18 years","65 years and over","Total, all persons","1",
"2015","Atlantic","Care of children under 18 years","65 years and over","Men+","1",
"2015","Atlantic","Care of children under 18 years","65 years and over","Women+","1",
"2015","Atlantic","Care of adults","Total, 15 years and over","Total, all persons","1",
"2015","Atlantic","Care of adults","Total, 15 years and over","Men+","1",
"2015","Atlantic","Care of adults","Total, 15 years and over","Women+","1",
"2015","Atlantic","Care of adults","15 to 24 years","Total, all persons","1",0
"2015","Atlantic","Care of adults","15 to 24 years","Men+","1",0
"2015","Atlantic","Care of adults","15 to 24 years","Women+","1",0
"2015","Atlantic","Care of adults","25 to 54 years","Total, all persons","1",
"2015","Atlantic","Care of adults","25 to 54 years","Men+","1",
"2015","Atlantic","Care of adults","25 to 54 years","Women+","1",
"2015","Atlantic","Care of adults","25 to 34 years","Total, all persons","1",
"2015","Atlantic","Care of adults","25 to 34 years","Men+","1",
"2015","Atlantic","Care of adults","25 to 34 years","Women+","1",
"2015","Atlantic","Care of adults","35 to 44 years","Total, all persons","1",
"2015","Atlantic","Care of adults","35 to 44 years","Men+","1",0
"2015","Atlantic","Care of adults","35 to 44 years","Women+","1",
"2015","Atlantic","Care of adults","45 to 54 years","Total, all persons","1",
"2015","Atlantic","Care of adults","45 to 54 years","Men+","1",
"2015","Atlantic","Care of adults","45 to 54 years","Women+","1",
"2015","Atlantic","Care of adults","55 to 64 years","Total, all persons","1",
"2015","Atlantic","Care of adults","55 to 64 years","Men+","1",
"2015","Atlantic","Care of adults","55 to 64 years","Women+","1",
"2015","Atlantic","Care of adults","65 years and over","Total, all persons","1",0.4
"2015","Atlantic","Care of adults","65 years and over","Men+","1",
"2015","Atlantic","Care of adults","65 years and over","Women+","1",
"2015","Atlantic","Shopping for goods or services","Total, 15 years and over","Total, all persons","1",2.1
"2015","Atlantic","Shopping for goods or services","Total, 15 years and over","Men+","1",1.7
"2015","Atlantic","Shopping for goods or services","Total, 15 years and over","Women+","1",2.5
"2015","Atlantic","Shopping for goods or services","15 to 24 years","Total, all persons","1",0.8
"2015","Atlantic","Shopping for goods or services","15 to 24 years","Men+","1",
"2015","Atlantic","Shopping for goods or services","15 to 24 years","Women+","1",1.3
"2015","Atlantic","Shopping for goods or services","25 to 54 years","Total, all persons","1",2.1
"2015","Atlantic","Shopping for goods or services","25 to 54 years","Men+","1",1.3
"2015","Atlantic","Shopping for goods or services","25 to 54 years","Women+","1",2.5
"2015","Atlantic","Shopping for goods or services","25 to 34 years","Total, all persons","1",1.7
"2015","Atlantic","Shopping for goods or services","25 to 34 years","Men+","1",1.3
"2015","Atlantic","Shopping for goods or services","25 to 34 years","Women+","1",2.1
"2015","Atlantic","Shopping for goods or services","35 to 44 years","Total, all persons","1",2.1
"2015","Atlantic","Shopping for goods or services","35 to 44 years","Men+","1",1.7
"2015","Atlantic","Shopping for goods or services","35 to 44 years","Women+","1",2.1
"2015","Atlantic","Shopping for goods or services","45 to 54 years","Total, all persons","1",2.1
"2015","Atlantic","Shopping for goods or services","45 to 54 years","Men+","1",0.8
"2015","Atlantic","Shopping for goods or services","45 to 54 years","Women+","1",3.3
"2015","Atlantic","Shopping for goods or services","55 to 64 years","Total, all persons","1",2.5
"2015","Atlantic","Shopping for goods or services","55 to 64 years","Men+","1",1.7
"2015","Atlantic","Shopping for goods or services","55 to 64 years","Women+","1",2.9
"2015","Atlantic","Shopping for goods or services","65 years and over","Total, all persons","1",2.9
"2015","Atlantic","Shopping for goods or services","65 years and over","Men+","1",2.9
"2015","Atlantic","Shopping for goods or services","65 years and over","Women+","1",2.5
"2015","Quebec","Total, unpaid work activities","Total, 15 years and over","Total, all persons","24",12.5
"2015","Quebec","Total, unpaid work activities","Total, 15 years and over","Men+","24",10.4
"2015","Quebec","Total, unpaid work activities","Total, 15 years and over","Women+","24",14.6
"2015","Quebec","Total, unpaid work activities","15 to 24 years","Total, all persons","24",5.4
"2015","Quebec","Total, unpaid work activities","15 to 24 years","Men+","24",4.6
"2015","Quebec","Total, unpaid work activities","15 to 24 years","Women+","24",5.8
"2015","Quebec","Total, unpaid work activities","25 to 54 years","Total, all persons","24",13.3
"2015","Quebec","Total, unpaid work activities","25 to 54 years","Men+","24",10.8
"2015","Quebec","Total, unpaid work activities","25 to 54 years","Women+","24",15.8
"2015","Quebec","Total, unpaid work activities","25 to 34 years","Total, all persons","24",12.1
"2015","Quebec","Total, unpaid work activities","25 to 34 years","Men+","24",8.8
"2015","Quebec","Total, unpaid work activities","25 to 34 years","Women+","24",15.8
"2015","Quebec","Total, unpaid work activities","35 to 44 years","Total, all persons","24",15
"2015","Quebec","Total, unpaid work activities","35 to 44 years","Men+","24",12.9
"2015","Quebec","Total, unpaid work activities","35 to 44 years","Women+","24",17.1
"2015","Quebec","Total, unpaid work activities","45 to 54 years","Total, all persons","24",12.5
"2015","Quebec","Total, unpaid work activities","45 to 54 years","Men+","24",10.8
"2015","Quebec","Total, unpaid work activities","45 to 54 years","Women+","24",14.6
"2015","Quebec","Total, unpaid work activities","55 to 64 years","Total, all persons","24",13.8
"2015","Quebec","Total, unpaid work activities","55 to 64 years","Men+","24",11.7
"2015","Quebec","Total, unpaid work activities","55 to 64 years","Women+","24",15.8
"2015","Quebec","Total, unpaid work activities","65 years and over","Total, all persons","24",14.2
"2015","Quebec","Total, unpaid work activities","65 years and over","Men+","24",11.7
"2015","Quebec","Total, unpaid work activities","65 years and over","Women+","24",16.3
"2015","Quebec","Unpaid household work","Total, 15 years and over","Total, all persons","24",8.8
"2015","Quebec","Unpaid household work","Total, 15 years and over","Men+","24",7.5
"2015","Quebec","Unpaid household work","Total, 15 years and over","Women+","24",9.6
"2015","Quebec","Unpaid household work","15 to 24 years","Total, all persons","24",3.3
"2015","Quebec","Unpaid household work","15 to 24 years","Men+","24",3.8
"2015","Quebec","Unpaid household work","15 to 24 years","Women+","24",3.3
"2015","Quebec","Unpaid household work","25 to 54 years","Total, all persons","24",8.3
"2015","Quebec","Unpaid household work","25 to 54 years","Men+","24",7.1
"2015","Quebec","Unpaid household work","25 to 54 years","Women+","24",9.2
"2015","Quebec","Unpaid household work","25 to 34 years","Total, all persons","24",6.3
"2015","Quebec","Unpaid household work","25 to 34 years","Men+","24",4.6
"2015","Quebec","Unpaid household work","25 to 34 years","Women+","24",7.9
"2015","Quebec","Unpaid household work","35 to 44 years","Total, all persons","24",8.8
"2015","Quebec","Unpaid household work","35 to 44 years","Men+","24",7.9
"2015","Quebec","Unpaid household work","35 to 44 years","Women+","24",10
"2015","Quebec","Unpaid household work","45 to 54 years","Total, all persons","24",9.6
"2015","Quebec","Unpaid household work","45 to 54 years","Men+","24",8.8
"2015","Quebec","Unpaid household work","45 to 54 years","Women+","24",10.4
"2015","Quebec","Unpaid household work","55 to 64 years","Total, all persons","24",10.4
"2015","Quebec","Unpaid household work","55 to 64 years","Men+","24",9.2
"2015","Quebec","Unpaid household work","55 to 64 years","Women+","24",12.1
"2015","Quebec","Unpaid household work","65 years and over","Total, all persons","24",11.3
"2015","Quebec","Unpaid household work","65 years and over","Men+","24",9.2
"2015","Quebec","Unpaid household work","65 years and over","Women+","24",12.9
"2015","Quebec","Care of children under 18 years","Total, 15 years and over","Total, all persons","24",1.7
"2015","Quebec","Care of children under 18 years","Total, 15 years and over","Men+","24",1.3
"2015","Quebec","Care of children under 18 years","Total, 15 years and over","Women+","24",2.1
"2015","Quebec","Care of children under 18 years","15 to 24 years","Total, all persons","24",
"2015","Quebec","Care of children under 18 years","15 to 24 years","Men+","24",
"2015","Quebec","Care of children under 18 years","15 to 24 years","Women+","24",
"2015","Quebec","Care of children under 18 years","25 to 54 years","Total, all persons","24",2.9
"2015","Quebec","Care of children under 18 years","25 to 54 years","Men+","24",2.1
"2015","Quebec","Care of children under 18 years","25 to 54 years","Women+","24",3.8
"2015","Quebec","Care of children under 18 years","25 to 34 years","Total, all persons","24",4.2
"2015","Quebec","Care of children under 18 years","25 to 34 years","Men+","24",2.5
"2015","Quebec","Care of children under 18 years","25 to 34 years","Women+","24",5.8
"2015","Quebec","Care of children under 18 years","35 to 44 years","Total, all persons","24",3.8
"2015","Quebec","Care of children under 18 years","35 to 44 years","Men+","24",2.9
"2015","Quebec","Care of children under 18 years","35 to 44 years","Women+","24",5
"2015","Quebec","Care of children under 18 years","45 to 54 years","Total, all persons","24",0.8
"2015","Quebec","Care of children under 18 years","45 to 54 years","Men+","24",0.8
"2015","Quebec","Care of children under 18 years","45 to 54 years","Women+","24",0.8
"2015","Quebec","Care of children under 18 years","55 to 64 years","Total, all persons","24",
"2015","Quebec","Care of children under 18 years","55 to 64 years","Men+","24",
"2015","Quebec","Care of children under 18 years","55 to 64 years","Women+","24",
"2015","Quebec","Care of children under 18 years","65 years and over","Total, all persons","24",0.4
"2015","Quebec","Care of children under 18 years","65 years and over","Men+","24",
"2015","Quebec","Care of children under 18 years","65 years and over","Women+","24",
"2015","Quebec","Care of adults","Total, 15 years and over","Total, all persons","24",
"2015","Quebec","Care of adults","Total, 15 years and over","Men+","24",
"2015","Quebec","Care of adults","Total, 15 years and over","Women+","24",
"2015","Quebec","Care of adults","15 to 24 years","Total, all persons","24",
"2015","Quebec","Care of adults","15 to 24 years","Men+","24",
"2015","Quebec","Care of adults","15 to 24 years","Women+","24",0
"2015","Quebec","Care of adults","25 to 54 years","Total, all persons","24",
"2015","Quebec","Care of adults","25 to 54 years","Men+","24",
"2015","Quebec","Care of adults","25 to 54 years","Women+","24",
"2015","Quebec","Care of adults","25 to 34 years","Total, all persons","24",
"2015","Quebec","Care of adults","25 to 34 years","Men+","24",
"2015","Quebec","Care of adults","25 to 34 years","Women+","24",
"2015","Quebec","Care of adults","35 to 44 years","Total, all persons","24",
"2015","Quebec","Care of adults","35 to 44 years","Men+","24",
"2015","Quebec","Care of adults","35 to 44 years","Women+","24",
"2015","Quebec","Care of adults","45 to 54 years","Total, all persons","24",
"2015","Quebec","Care of adults","45 to 54 years","Men+","24",
"2015","Quebec","Care of adults","45 to 54 years","Women+","24",
"2015","Quebec","Care of adults","55 to 64 years","Total, all persons","24",
"2015","Quebec","Care of adults","55 to 64 years","Men+","24",
"2015","Quebec","Care of adults","55 to 64 years","Women+","24",
"2015","Quebec","Care of adults","65 years and over","Total, all persons","24",
"2015","Quebec","Care of adults","65 years and over","Men+","24",
"2015","Quebec","Care of adults","65 years and over","Women+","24",
"2015","Quebec","Shopping for goods or services","Total, 15 years and over","Total, all persons","24",2.1
"2015","Quebec","Shopping for goods or services","Total, 15 years and over","Men+","24",1.7
"2015","Quebec","Shopping for goods or services","Total, 15 years and over","Women+","24",2.5
"2015","Quebec","Shopping for goods or services","15 to 24 years","Total, all persons","24",1.3
"2015","Quebec","Shopping for goods or services","15 to 24 years","Men+","24",0.8
"2015","Quebec","Shopping for goods or services","15 to 24 years","Women+","24",1.7
"2015","Quebec","Shopping for goods or services","25 to 54 years","Total, all persons","24",1.7
"2015","Quebec","Shopping for goods or services","25 to 54 years","Men+","24",1.3
"2015","Quebec","Shopping for goods or services","25 to 54 years","Women+","24",2.1
"2015","Quebec","Shopping for goods or services","25 to 34 years","Total, all persons","24",1.7
"2015","Quebec","Shopping for goods or services","25 to 34 years","Men+","24",1.3
"2015","Quebec","Shopping for goods or services","25 to 34 years","Women+","24",2.1
"2015","Quebec","Shopping for goods or services","35 to 44 years","Total, all persons","24",1.7
"2015","Quebec","Shopping for goods or services","35 to 44 years","Men+","24",1.3
"2015","Quebec","Shopping for goods or services","35 to 44 years","Women+","24",2.1
"2015","Quebec","Shopping for goods or services","45 to 54 years","Total, all persons","24",2.1
"2015","Quebec","Shopping for goods or services","45 to 54 years","Men+","24",1.3
"2015","Quebec","Shopping for goods or services","45 to 54 years","Women+","24",2.9
"2015","Quebec","Shopping for goods or services","55 to 64 years","Total, all persons","24",2.5
"2015","Quebec","Shopping for goods or services","55 to 64 years","Men+","24",2.1
"2015","Quebec","Shopping for goods or services","55 to 64 years","Women+","24",2.5
"2015","Quebec","Shopping for goods or services","65 years and over","Total, all persons","24",2.5
"2015","Quebec","Shopping for goods or services","65 years and over","Men+","24",2.1
"2015","Quebec","Shopping for goods or services","65 years and over","Women+","24",2.5
"2015","Ontario","Total, unpaid work activities","Total, 15 years and over","Total, all persons","35",12.5
"2015","Ontario","Total, unpaid work activities","Total, 15 years and over","Men+","35",10
"2015","Ontario","Total, unpaid work activities","Total, 15 years and over","Women+","35",15
"2015","Ontario","Total, unpaid work activities","15 to 24 years","Total, all persons","35",5.4
"2015","Ontario","Total, unpaid work activities","15 to 24 years","Men+","35",4.6
"2015","Ontario","Total, unpaid work activities","15 to 24 years","Women+","35",6.3
"2015","Ontario","Total, unpaid work activities","25 to 54 years","Total, all persons","35",13.3
"2015","Ontario","Total, unpaid work activities","25 to 54 years","Men+","35",10
"2015","Ontario","Total, unpaid work activities","25 to 54 years","Women+","35",16.3
"2015","Ontario","Total, unpaid work activities","25 to 34 years","Total, all persons","35",11.7
"2015","Ontario","Total, unpaid work activities","25 to 34 years","Men+","35",7.1
"2015","Ontario","Total, unpaid work activities","25 to 34 years","Women+","35",15.8
"2015","Ontario","Total, unpaid work activities","35 to 44 years","Total, all persons","35",15
"2015","Ontario","Total, unpaid work activities","35 to 44 years","Men+","35",11.7
"2015","Ontario","Total, unpaid work activities","35 to 44 years","Women+","35",18.3
"2015","Ontario","Total, unpaid work activities","45 to 54 years","Total, all persons","35",12.9
"2015","Ontario","Total, unpaid work activities","45 to 54 years","Men+","35",10.4
"2015","Ontario","Total, unpaid work activities","45 to 54 years","Women+","35",15
"2015","Ontario","Total, unpaid work activities","55 to 64 years","Total, all persons","35",14.6
"2015","Ontario","Total, unpaid work activities","55 to 64 years","Men+","35",11.7
"2015","Ontario","Total, unpaid work activities","55 to 64 years","Women+","35",17.5
"2015","Ontario","Total, unpaid work activities","65 years and over","Total, all persons","35",15.4
"2015","Ontario","Total, unpaid work activities","65 years and over","Men+","35",13.3
"2015","Ontario","Total, unpaid work activities","65 years and over","Women+","35",17.5
"2015","Ontario","Unpaid household work","Total, 15 years and over","Total, all persons","35",8.8
"2015","Ontario","Unpaid household work","Total, 15 years and over","Men+","35",7.1
"2015","Ontario","Unpaid household work","Total, 15 years and over","Women+","35",10
