"Year","Age at time of death","Sex","Causes of death","Value"
"2015","5 to 9 years","Both sexes","Chronic lower respiratory diseases",0.2
"2015","5 to 9 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","5 to 9 years","Both sexes","Pneumonitis due to solids and liquids",0
"2015","5 to 9 years","Males","Malignant neoplasms",2.9
"2015","5 to 9 years","Males","Diabetes mellitus",0
"2015","5 to 9 years","Males","Diseases of heart",0
"2015","5 to 9 years","Males","Essential hypertension and hypertensive renal disease",0
"2015","5 to 9 years","Males","Cerebrovascular diseases",0.3
"2015","5 to 9 years","Males","Atherosclerosis",0
"2015","5 to 9 years","Males","Aortic aneurysm and dissection",0
"2015","5 to 9 years","Males","Chronic lower respiratory diseases",0.1
"2015","5 to 9 years","Males","Pneumoconioses and chemical effects",0
"2015","5 to 9 years","Males","Pneumonitis due to solids and liquids",0
"2015","5 to 9 years","Females","Malignant neoplasms",2.6
"2015","5 to 9 years","Females","Diabetes mellitus",0
"2015","5 to 9 years","Females","Diseases of heart",0.1
"2015","5 to 9 years","Females","Essential hypertension and hypertensive renal disease",0
"2015","5 to 9 years","Females","Cerebrovascular diseases",0.3
"2015","5 to 9 years","Females","Atherosclerosis",0
"2015","5 to 9 years","Females","Aortic aneurysm and dissection",0
"2015","5 to 9 years","Females","Chronic lower respiratory diseases",0.2
"2015","5 to 9 years","Females","Pneumoconioses and chemical effects",0
"2015","5 to 9 years","Females","Pneumonitis due to solids and liquids",0
"2015","10 to 14 years","Both sexes","Malignant neoplasms",2.4
"2015","10 to 14 years","Both sexes","Diabetes mellitus",0.1
"2015","10 to 14 years","Both sexes","Diseases of heart",0.2
"2015","10 to 14 years","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","10 to 14 years","Both sexes","Cerebrovascular diseases",0.1
"2015","10 to 14 years","Both sexes","Atherosclerosis",0
"2015","10 to 14 years","Both sexes","Aortic aneurysm and dissection",0
"2015","10 to 14 years","Both sexes","Chronic lower respiratory diseases",0.3
"2015","10 to 14 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","10 to 14 years","Both sexes","Pneumonitis due to solids and liquids",0
"2015","10 to 14 years","Males","Malignant neoplasms",2.4
"2015","10 to 14 years","Males","Diabetes mellitus",0.1
"2015","10 to 14 years","Males","Diseases of heart",0.2
"2015","10 to 14 years","Males","Essential hypertension and hypertensive renal disease",0
"2015","10 to 14 years","Males","Cerebrovascular diseases",0
"2015","10 to 14 years","Males","Atherosclerosis",0
"2015","10 to 14 years","Males","Aortic aneurysm and dissection",0
"2015","10 to 14 years","Males","Chronic lower respiratory diseases",0.3
"2015","10 to 14 years","Males","Pneumoconioses and chemical effects",0
"2015","10 to 14 years","Males","Pneumonitis due to solids and liquids",0
"2015","10 to 14 years","Females","Malignant neoplasms",2.4
"2015","10 to 14 years","Females","Diabetes mellitus",0
"2015","10 to 14 years","Females","Diseases of heart",0.1
"2015","10 to 14 years","Females","Essential hypertension and hypertensive renal disease",0
"2015","10 to 14 years","Females","Cerebrovascular diseases",0.1
"2015","10 to 14 years","Females","Atherosclerosis",0
"2015","10 to 14 years","Females","Aortic aneurysm and dissection",0
"2015","10 to 14 years","Females","Chronic lower respiratory diseases",0.2
"2015","10 to 14 years","Females","Pneumoconioses and chemical effects",0
"2015","10 to 14 years","Females","Pneumonitis due to solids and liquids",0
"2015","15 to 24","Both sexes","Malignant neoplasms",3.3
"2015","15 to 24","Both sexes","Diabetes mellitus",0.2
"2015","15 to 24","Both sexes","Diseases of heart",0.9
"2015","15 to 24","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","15 to 24","Both sexes","Cerebrovascular diseases",0.2
"2015","15 to 24","Both sexes","Atherosclerosis",0
"2015","15 to 24","Both sexes","Aortic aneurysm and dissection",0
"2015","15 to 24","Both sexes","Chronic lower respiratory diseases",0.1
"2015","15 to 24","Both sexes","Pneumoconioses and chemical effects",0
"2015","15 to 24","Both sexes","Pneumonitis due to solids and liquids",0.1
"2015","15 to 24","Males","Malignant neoplasms",4.1
"2015","15 to 24","Males","Diabetes mellitus",0.3
"2015","15 to 24","Males","Diseases of heart",1.1
"2015","15 to 24","Males","Essential hypertension and hypertensive renal disease",0
"2015","15 to 24","Males","Cerebrovascular diseases",0
"2015","15 to 24","Males","Atherosclerosis",0
"2015","15 to 24","Males","Aortic aneurysm and dissection",0.1
"2015","15 to 24","Males","Chronic lower respiratory diseases",0.1
"2015","15 to 24","Males","Pneumoconioses and chemical effects",0
"2015","15 to 24","Males","Pneumonitis due to solids and liquids",0.1
"2015","15 to 24","Females","Malignant neoplasms",2.5
"2015","15 to 24","Females","Diabetes mellitus",0.1
"2015","15 to 24","Females","Diseases of heart",0.8
"2015","15 to 24","Females","Essential hypertension and hypertensive renal disease",0
"2015","15 to 24","Females","Cerebrovascular diseases",0.3
"2015","15 to 24","Females","Atherosclerosis",0
"2015","15 to 24","Females","Aortic aneurysm and dissection",0
"2015","15 to 24","Females","Chronic lower respiratory diseases",0.2
"2015","15 to 24","Females","Pneumoconioses and chemical effects",0
"2015","15 to 24","Females","Pneumonitis due to solids and liquids",0
"2015","15 to 19 years","Both sexes","Malignant neoplasms",2.8
"2015","15 to 19 years","Both sexes","Diabetes mellitus",0.1
"2015","15 to 19 years","Both sexes","Diseases of heart",0.4
"2015","15 to 19 years","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","15 to 19 years","Both sexes","Cerebrovascular diseases",0.1
"2015","15 to 19 years","Both sexes","Atherosclerosis",0
"2015","15 to 19 years","Both sexes","Aortic aneurysm and dissection",0
"2015","15 to 19 years","Both sexes","Chronic lower respiratory diseases",0.1
"2015","15 to 19 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","15 to 19 years","Both sexes","Pneumonitis due to solids and liquids",0
"2015","15 to 19 years","Males","Malignant neoplasms",3.2
"2015","15 to 19 years","Males","Diabetes mellitus",0.2
"2015","15 to 19 years","Males","Diseases of heart",0.3
"2015","15 to 19 years","Males","Essential hypertension and hypertensive renal disease",0
"2015","15 to 19 years","Males","Cerebrovascular diseases",0
"2015","15 to 19 years","Males","Atherosclerosis",0
"2015","15 to 19 years","Males","Aortic aneurysm and dissection",0.1
"2015","15 to 19 years","Males","Chronic lower respiratory diseases",0
"2015","15 to 19 years","Males","Pneumoconioses and chemical effects",0
"2015","15 to 19 years","Males","Pneumonitis due to solids and liquids",0.1
"2015","15 to 19 years","Females","Malignant neoplasms",2.4
"2015","15 to 19 years","Females","Diabetes mellitus",0.1
"2015","15 to 19 years","Females","Diseases of heart",0.5
"2015","15 to 19 years","Females","Essential hypertension and hypertensive renal disease",0
"2015","15 to 19 years","Females","Cerebrovascular diseases",0.2
"2015","15 to 19 years","Females","Atherosclerosis",0
"2015","15 to 19 years","Females","Aortic aneurysm and dissection",0
"2015","15 to 19 years","Females","Chronic lower respiratory diseases",0.3
"2015","15 to 19 years","Females","Pneumoconioses and chemical effects",0
"2015","15 to 19 years","Females","Pneumonitis due to solids and liquids",0
"2015","20 to 24 years","Both sexes","Malignant neoplasms",3.7
"2015","20 to 24 years","Both sexes","Diabetes mellitus",0.3
"2015","20 to 24 years","Both sexes","Diseases of heart",1.4
"2015","20 to 24 years","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","20 to 24 years","Both sexes","Cerebrovascular diseases",0.2
"2015","20 to 24 years","Both sexes","Atherosclerosis",0
"2015","20 to 24 years","Both sexes","Aortic aneurysm and dissection",0
"2015","20 to 24 years","Both sexes","Chronic lower respiratory diseases",0.1
"2015","20 to 24 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","20 to 24 years","Both sexes","Pneumonitis due to solids and liquids",0.1
"2015","20 to 24 years","Males","Malignant neoplasms",4.8
"2015","20 to 24 years","Males","Diabetes mellitus",0.4
"2015","20 to 24 years","Males","Diseases of heart",1.7
"2015","20 to 24 years","Males","Essential hypertension and hypertensive renal disease",0
"2015","20 to 24 years","Males","Cerebrovascular diseases",0.1
"2015","20 to 24 years","Males","Atherosclerosis",0
"2015","20 to 24 years","Males","Aortic aneurysm and dissection",0.1
"2015","20 to 24 years","Males","Chronic lower respiratory diseases",0.2
"2015","20 to 24 years","Males","Pneumoconioses and chemical effects",0
"2015","20 to 24 years","Males","Pneumonitis due to solids and liquids",0.1
"2015","20 to 24 years","Females","Malignant neoplasms",2.6
"2015","20 to 24 years","Females","Diabetes mellitus",0.2
"2015","20 to 24 years","Females","Diseases of heart",1.1
"2015","20 to 24 years","Females","Essential hypertension and hypertensive renal disease",0
"2015","20 to 24 years","Females","Cerebrovascular diseases",0.4
"2015","20 to 24 years","Females","Atherosclerosis",0
"2015","20 to 24 years","Females","Aortic aneurysm and dissection",0
"2015","20 to 24 years","Females","Chronic lower respiratory diseases",0.1
"2015","20 to 24 years","Females","Pneumoconioses and chemical effects",0
"2015","20 to 24 years","Females","Pneumonitis due to solids and liquids",0.1
"2015","25 to 34 years","Both sexes","Malignant neoplasms",8.2
"2015","25 to 34 years","Both sexes","Diabetes mellitus",1
"2015","25 to 34 years","Both sexes","Diseases of heart",3
"2015","25 to 34 years","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","25 to 34 years","Both sexes","Cerebrovascular diseases",0.7
"2015","25 to 34 years","Both sexes","Atherosclerosis",0
"2015","25 to 34 years","Both sexes","Aortic aneurysm and dissection",0.2
"2015","25 to 34 years","Both sexes","Chronic lower respiratory diseases",0.2
"2015","25 to 34 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","25 to 34 years","Both sexes","Pneumonitis due to solids and liquids",0.1
"2015","25 to 34 years","Males","Malignant neoplasms",7.4
"2015","25 to 34 years","Males","Diabetes mellitus",1.4
"2015","25 to 34 years","Males","Diseases of heart",3.9
"2015","25 to 34 years","Males","Essential hypertension and hypertensive renal disease",0
"2015","25 to 34 years","Males","Cerebrovascular diseases",0.8
"2015","25 to 34 years","Males","Atherosclerosis",0
"2015","25 to 34 years","Males","Aortic aneurysm and dissection",0.3
"2015","25 to 34 years","Males","Chronic lower respiratory diseases",0.2
"2015","25 to 34 years","Males","Pneumoconioses and chemical effects",0
"2015","25 to 34 years","Males","Pneumonitis due to solids and liquids",0.1
"2015","25 to 34 years","Females","Malignant neoplasms",9
"2015","25 to 34 years","Females","Diabetes mellitus",0.7
"2015","25 to 34 years","Females","Diseases of heart",2.1
"2015","25 to 34 years","Females","Essential hypertension and hypertensive renal disease",0.1
"2015","25 to 34 years","Females","Cerebrovascular diseases",0.6
"2015","25 to 34 years","Females","Atherosclerosis",0
"2015","25 to 34 years","Females","Aortic aneurysm and dissection",0.1
"2015","25 to 34 years","Females","Chronic lower respiratory diseases",0.2
"2015","25 to 34 years","Females","Pneumoconioses and chemical effects",0
"2015","25 to 34 years","Females","Pneumonitis due to solids and liquids",0
"2015","25 to 29 years","Both sexes","Malignant neoplasms",5.4
"2015","25 to 29 years","Both sexes","Diabetes mellitus",1.3
"2015","25 to 29 years","Both sexes","Diseases of heart",2.5
"2015","25 to 29 years","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","25 to 29 years","Both sexes","Cerebrovascular diseases",0.5
"2015","25 to 29 years","Both sexes","Atherosclerosis",0
"2015","25 to 29 years","Both sexes","Aortic aneurysm and dissection",0.1
"2015","25 to 29 years","Both sexes","Chronic lower respiratory diseases",0.3
"2015","25 to 29 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","25 to 29 years","Both sexes","Pneumonitis due to solids and liquids",0.2
"2015","25 to 29 years","Males","Malignant neoplasms",4.7
"2015","25 to 29 years","Males","Diabetes mellitus",1.8
"2015","25 to 29 years","Males","Diseases of heart",3.2
"2015","25 to 29 years","Males","Essential hypertension and hypertensive renal disease",0
"2015","25 to 29 years","Males","Cerebrovascular diseases",0.4
"2015","25 to 29 years","Males","Atherosclerosis",0
"2015","25 to 29 years","Males","Aortic aneurysm and dissection",0.2
"2015","25 to 29 years","Males","Chronic lower respiratory diseases",0.4
"2015","25 to 29 years","Males","Pneumoconioses and chemical effects",0
"2015","25 to 29 years","Males","Pneumonitis due to solids and liquids",0.2
"2015","25 to 29 years","Females","Malignant neoplasms",6.2
"2015","25 to 29 years","Females","Diabetes mellitus",0.8
"2015","25 to 29 years","Females","Diseases of heart",1.9
"2015","25 to 29 years","Females","Essential hypertension and hypertensive renal disease",0.1
"2015","25 to 29 years","Females","Cerebrovascular diseases",0.6
"2015","25 to 29 years","Females","Atherosclerosis",0
"2015","25 to 29 years","Females","Aortic aneurysm and dissection",0
"2015","25 to 29 years","Females","Chronic lower respiratory diseases",0.2
"2015","25 to 29 years","Females","Pneumoconioses and chemical effects",0
"2015","25 to 29 years","Females","Pneumonitis due to solids and liquids",0.1
"2015","30 to 34 years","Both sexes","Malignant neoplasms",11
"2015","30 to 34 years","Both sexes","Diabetes mellitus",0.8
"2015","30 to 34 years","Both sexes","Diseases of heart",3.5
"2015","30 to 34 years","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","30 to 34 years","Both sexes","Cerebrovascular diseases",0.9
"2015","30 to 34 years","Both sexes","Atherosclerosis",0
"2015","30 to 34 years","Both sexes","Aortic aneurysm and dissection",0.2
"2015","30 to 34 years","Both sexes","Chronic lower respiratory diseases",0.1
"2015","30 to 34 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","30 to 34 years","Both sexes","Pneumonitis due to solids and liquids",0
"2015","30 to 34 years","Males","Malignant neoplasms",10.1
"2015","30 to 34 years","Males","Diabetes mellitus",1
"2015","30 to 34 years","Males","Diseases of heart",4.7
"2015","30 to 34 years","Males","Essential hypertension and hypertensive renal disease",0
"2015","30 to 34 years","Males","Cerebrovascular diseases",1.1
"2015","30 to 34 years","Males","Atherosclerosis",0
"2015","30 to 34 years","Males","Aortic aneurysm and dissection",0.3
"2015","30 to 34 years","Males","Chronic lower respiratory diseases",0
"2015","30 to 34 years","Males","Pneumoconioses and chemical effects",0
"2015","30 to 34 years","Males","Pneumonitis due to solids and liquids",0
"2015","30 to 34 years","Females","Malignant neoplasms",11.8
"2015","30 to 34 years","Females","Diabetes mellitus",0.6
"2015","30 to 34 years","Females","Diseases of heart",2.2
"2015","30 to 34 years","Females","Essential hypertension and hypertensive renal disease",0.1
"2015","30 to 34 years","Females","Cerebrovascular diseases",0.7
"2015","30 to 34 years","Females","Atherosclerosis",0
"2015","30 to 34 years","Females","Aortic aneurysm and dissection",0.2
"2015","30 to 34 years","Females","Chronic lower respiratory diseases",0.2
"2015","30 to 34 years","Females","Pneumoconioses and chemical effects",0
"2015","30 to 34 years","Females","Pneumonitis due to solids and liquids",0
"2015","35 to 44 years","Both sexes","Malignant neoplasms",23.6
"2015","35 to 44 years","Both sexes","Diabetes mellitus",2.2
"2015","35 to 44 years","Both sexes","Diseases of heart",9.7
"2015","35 to 44 years","Both sexes","Essential hypertension and hypertensive renal disease",0.1
"2015","35 to 44 years","Both sexes","Cerebrovascular diseases",2.2
"2015","35 to 44 years","Both sexes","Atherosclerosis",0
"2015","35 to 44 years","Both sexes","Aortic aneurysm and dissection",0.5
"2015","35 to 44 years","Both sexes","Chronic lower respiratory diseases",0.6
"2015","35 to 44 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","35 to 44 years","Both sexes","Pneumonitis due to solids and liquids",0.1
"2015","35 to 44 years","Males","Malignant neoplasms",19.7
"2015","35 to 44 years","Males","Diabetes mellitus",3.1
"2015","35 to 44 years","Males","Diseases of heart",14.1
"2015","35 to 44 years","Males","Essential hypertension and hypertensive renal disease",0.1
"2015","35 to 44 years","Males","Cerebrovascular diseases",2.5
"2015","35 to 44 years","Males","Atherosclerosis",0
"2015","35 to 44 years","Males","Aortic aneurysm and dissection",0.9
"2015","35 to 44 years","Males","Chronic lower respiratory diseases",0.4
"2015","35 to 44 years","Males","Pneumoconioses and chemical effects",0
"2015","35 to 44 years","Males","Pneumonitis due to solids and liquids",0.1
"2015","35 to 44 years","Females","Malignant neoplasms",27.4
"2015","35 to 44 years","Females","Diabetes mellitus",1.3
"2015","35 to 44 years","Females","Diseases of heart",5.3
"2015","35 to 44 years","Females","Essential hypertension and hypertensive renal disease",0.1
"2015","35 to 44 years","Females","Cerebrovascular diseases",1.9
"2015","35 to 44 years","Females","Atherosclerosis",0
"2015","35 to 44 years","Females","Aortic aneurysm and dissection",0.2
"2015","35 to 44 years","Females","Chronic lower respiratory diseases",0.8
"2015","35 to 44 years","Females","Pneumoconioses and chemical effects",0
"2015","35 to 44 years","Females","Pneumonitis due to solids and liquids",0.1
"2015","35 to 39 years","Both sexes","Malignant neoplasms",17
"2015","35 to 39 years","Both sexes","Diabetes mellitus",1.6
"2015","35 to 39 years","Both sexes","Diseases of heart",6.2
"2015","35 to 39 years","Both sexes","Essential hypertension and hypertensive renal disease",0.1
"2015","35 to 39 years","Both sexes","Cerebrovascular diseases",1.3
"2015","35 to 39 years","Both sexes","Atherosclerosis",0
"2015","35 to 39 years","Both sexes","Aortic aneurysm and dissection",0.2
"2015","35 to 39 years","Both sexes","Chronic lower respiratory diseases",0.7
"2015","35 to 39 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","35 to 39 years","Both sexes","Pneumonitis due to solids and liquids",0.1
"2015","35 to 39 years","Males","Malignant neoplasms",14.7
"2015","35 to 39 years","Males","Diabetes mellitus",2.1
"2015","35 to 39 years","Males","Diseases of heart",9.2
"2015","35 to 39 years","Males","Essential hypertension and hypertensive renal disease",0.1
"2015","35 to 39 years","Males","Cerebrovascular diseases",1.5
"2015","35 to 39 years","Males","Atherosclerosis",0
"2015","35 to 39 years","Males","Aortic aneurysm and dissection",0.5
"2015","35 to 39 years","Males","Chronic lower respiratory diseases",0.4
"2015","35 to 39 years","Males","Pneumoconioses and chemical effects",0
"2015","35 to 39 years","Males","Pneumonitis due to solids and liquids",0.2
"2015","35 to 39 years","Females","Malignant neoplasms",19.3
"2015","35 to 39 years","Females","Diabetes mellitus",1.1
"2015","35 to 39 years","Females","Diseases of heart",3.2
"2015","35 to 39 years","Females","Essential hypertension and hypertensive renal disease",0.2
"2015","35 to 39 years","Females","Cerebrovascular diseases",1.2
"2015","35 to 39 years","Females","Atherosclerosis",0
"2015","35 to 39 years","Females","Aortic aneurysm and dissection",0
"2015","35 to 39 years","Females","Chronic lower respiratory diseases",0.9
"2015","35 to 39 years","Females","Pneumoconioses and chemical effects",0
"2015","35 to 39 years","Females","Pneumonitis due to solids and liquids",0
"2015","40 to 44 years","Both sexes","Malignant neoplasms",30.3
"2015","40 to 44 years","Both sexes","Diabetes mellitus",2.8
"2015","40 to 44 years","Both sexes","Diseases of heart",13.3
"2015","40 to 44 years","Both sexes","Essential hypertension and hypertensive renal disease",0.1
"2015","40 to 44 years","Both sexes","Cerebrovascular diseases",3.1
"2015","40 to 44 years","Both sexes","Atherosclerosis",0.1
"2015","40 to 44 years","Both sexes","Aortic aneurysm and dissection",0.9
"2015","40 to 44 years","Both sexes","Chronic lower respiratory diseases",0.6
"2015","40 to 44 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","40 to 44 years","Both sexes","Pneumonitis due to solids and liquids",0.1
"2015","40 to 44 years","Males","Malignant neoplasms",24.8
"2015","40 to 44 years","Males","Diabetes mellitus",4.1
"2015","40 to 44 years","Males","Diseases of heart",19.2
"2015","40 to 44 years","Males","Essential hypertension and hypertensive renal disease",0.2
"2015","40 to 44 years","Males","Cerebrovascular diseases",3.6
"2015","40 to 44 years","Males","Atherosclerosis",0.1
"2015","40 to 44 years","Males","Aortic aneurysm and dissection",1.3
"2015","40 to 44 years","Males","Chronic lower respiratory diseases",0.4
"2015","40 to 44 years","Males","Pneumoconioses and chemical effects",0.1
"2015","40 to 44 years","Males","Pneumonitis due to solids and liquids",0
"2015","40 to 44 years","Females","Malignant neoplasms",35.8
"2015","40 to 44 years","Females","Diabetes mellitus",1.5
"2015","40 to 44 years","Females","Diseases of heart",7.5
"2015","40 to 44 years","Females","Essential hypertension and hypertensive renal disease",0.1
"2015","40 to 44 years","Females","Cerebrovascular diseases",2.7
"2015","40 to 44 years","Females","Atherosclerosis",0.1
"2015","40 to 44 years","Females","Aortic aneurysm and dissection",0.4
"2015","40 to 44 years","Females","Chronic lower respiratory diseases",0.7
"2015","40 to 44 years","Females","Pneumoconioses and chemical effects",0
"2015","40 to 44 years","Females","Pneumonitis due to solids and liquids",0.3
"2015","45 to 54 years","Both sexes","Malignant neoplasms",86.9
"2015","45 to 54 years","Both sexes","Diabetes mellitus",6.3
"2015","45 to 54 years","Both sexes","Diseases of heart",35.9
"2015","45 to 54 years","Both sexes","Essential hypertension and hypertensive renal disease",0.5
"2015","45 to 54 years","Both sexes","Cerebrovascular diseases",6.4
"2015","45 to 54 years","Both sexes","Atherosclerosis",0.1
"2015","45 to 54 years","Both sexes","Aortic aneurysm and dissection",1.1
"2015","45 to 54 years","Both sexes","Chronic lower respiratory diseases",3.9
"2015","45 to 54 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","45 to 54 years","Both sexes","Pneumonitis due to solids and liquids",0.4
"2015","45 to 54 years","Males","Malignant neoplasms",80.2
"2015","45 to 54 years","Males","Diabetes mellitus",8.4
"2015","45 to 54 years","Males","Diseases of heart",55
"2015","45 to 54 years","Males","Essential hypertension and hypertensive renal disease",0.8
"2015","45 to 54 years","Males","Cerebrovascular diseases",6.8
"2015","45 to 54 years","Males","Atherosclerosis",0.2
"2015","45 to 54 years","Males","Aortic aneurysm and dissection",2
"2015","45 to 54 years","Males","Chronic lower respiratory diseases",4
"2015","45 to 54 years","Males","Pneumoconioses and chemical effects",0
"2015","45 to 54 years","Males","Pneumonitis due to solids and liquids",0.6
"2015","45 to 54 years","Females","Malignant neoplasms",93.6
"2015","45 to 54 years","Females","Diabetes mellitus",4.1
"2015","45 to 54 years","Females","Diseases of heart",16.8
"2015","45 to 54 years","Females","Essential hypertension and hypertensive renal disease",0.2
