"Year","Geography","Type of electricity generation","GeoCode","Value"
"2019","Saskatchewan","Other types of electricity generation",47,0.49
"2019","Saskatchewan","Solar",47,0
"2019","Saskatchewan","Wind power turbine",47,3.14
"2019","Yukon","Hydraulic turbine",60,80.49
"2019","Yukon","Other types of electricity generation",60,0
"2019","Yukon","Solar",60,0
"2019","Yukon","Wind power turbine",60,0
"2020","Alberta","Hydraulic turbine",48,3.23
"2020","Alberta","Other types of electricity generation",48,0.05
"2020","Alberta","Solar",48,0.03
"2020","Alberta","Wind power turbine",48,7.01
"2020","British Columbia","Hydraulic turbine",59,87.94
"2020","British Columbia","Other types of electricity generation",59,0
"2020","British Columbia","Solar",59,0
"2020","British Columbia","Tidal power turbine",59,0
"2020","British Columbia","Wind power turbine",59,4.15
"2020","Canada","Hydraulic turbine",,60.2
"2020","Canada","Other types of electricity generation",,0.02
"2020","Canada","Solar",,0.4
"2020","Canada","Tidal power turbine",,0
"2020","Canada","Wind power turbine",,5.71
"2020","Manitoba","Hydraulic turbine",46,97.13
"2020","Manitoba","Other types of electricity generation",46,0
"2020","Manitoba","Solar",46,0
"2020","Manitoba","Wind power turbine",46,2.57
"2020","New Brunswick","Hydraulic turbine",13,22.62
"2020","New Brunswick","Other types of electricity generation",13,0
"2020","New Brunswick","Solar",13,0
"2020","New Brunswick","Tidal power turbine",13,0
"2020","New Brunswick","Wind power turbine",13,7.31
"2020","Newfoundland and Labrador","Hydraulic turbine",10,95.79
"2020","Newfoundland and Labrador","Other types of electricity generation",10,0
"2020","Newfoundland and Labrador","Solar",10,0
"2020","Newfoundland and Labrador","Tidal power turbine",10,0
"2020","Newfoundland and Labrador","Wind power turbine",10,0.45
"2020","Northwest Territories","Hydraulic turbine",61,37
"2020","Northwest Territories","Solar",61,0.16
"2020","Northwest Territories","Wind power turbine",61,2.81
"2020","Nova Scotia","Hydraulic turbine",12,8.3
"2020","Nova Scotia","Other types of electricity generation",12,0
"2020","Nova Scotia","Solar",12,0
"2020","Nova Scotia","Tidal power turbine",12,0
"2020","Nova Scotia","Wind power turbine",12,10.01
"2020","Nunavut","Hydraulic turbine",62,0
"2020","Nunavut","Solar",62,0
"2020","Nunavut","Wind power turbine",62,0
"2020","Ontario","Hydraulic turbine",35,25.13
"2020","Ontario","Other types of electricity generation",35,0
"2020","Ontario","Solar",35,1.63
"2020","Ontario","Wind power turbine",35,8.18
"2020","Prince Edward Island","Hydraulic turbine",11,0
"2020","Prince Edward Island","Other types of electricity generation",11,0
"2020","Prince Edward Island","Solar",11,0.09
"2020","Prince Edward Island","Tidal power turbine",11,0
"2020","Prince Edward Island","Wind power turbine",11,99.07
"2020","Quebec","Hydraulic turbine",24,93.79
"2020","Quebec","Other types of electricity generation",24,0
"2020","Quebec","Solar",24,0
"2020","Quebec","Wind power turbine",24,5.23
"2020","Saskatchewan","Hydraulic turbine",47,18.04
"2020","Saskatchewan","Other types of electricity generation",47,0.35
"2020","Saskatchewan","Solar",47,0
"2020","Saskatchewan","Wind power turbine",47,3.34
"2020","Yukon","Hydraulic turbine",60,82.61
"2020","Yukon","Other types of electricity generation",60,0
"2020","Yukon","Solar",60,0
"2020","Yukon","Wind power turbine",60,0
"2021","Alberta","Hydraulic turbine",48,2.85
"2021","Alberta","Other types of electricity generation",48,0.08
"2021","Alberta","Solar",48,0.34
"2021","Alberta","Wind power turbine",48,9.07
"2021","British Columbia","Hydraulic turbine",59,88.63
"2021","British Columbia","Other types of electricity generation",59,0
"2021","British Columbia","Solar",59,0.01
"2021","British Columbia","Tidal power turbine",59,0
"2021","British Columbia","Wind power turbine",59,2.78
"2021","Canada","Hydraulic turbine",,60.06
"2021","Canada","Other types of electricity generation",,0.03
"2021","Canada","Solar",,0.44
"2021","Canada","Tidal power turbine",,0
"2021","Canada","Wind power turbine",,5.76
"2021","Manitoba","Hydraulic turbine",46,96.31
"2021","Manitoba","Other types of electricity generation",46,0
"2021","Manitoba","Solar",46,0.01
"2021","Manitoba","Wind power turbine",46,3.31
"2021","New Brunswick","Hydraulic turbine",13,21.23
"2021","New Brunswick","Other types of electricity generation",13,0
"2021","New Brunswick","Solar",13,0
"2021","New Brunswick","Tidal power turbine",13,0
"2021","New Brunswick","Wind power turbine",13,5.74
"2021","Newfoundland and Labrador","Hydraulic turbine",10,96.31
"2021","Newfoundland and Labrador","Other types of electricity generation",10,0
"2021","Newfoundland and Labrador","Solar",10,0
"2021","Newfoundland and Labrador","Tidal power turbine",10,0
"2021","Newfoundland and Labrador","Wind power turbine",10,0.38
"2021","Northwest Territories","Hydraulic turbine",61,37.87
"2021","Northwest Territories","Solar",61,0.03
"2021","Northwest Territories","Wind power turbine",61,2.51
"2021","Nova Scotia","Hydraulic turbine",12,8.55
"2021","Nova Scotia","Other types of electricity generation",12,0
"2021","Nova Scotia","Solar",12,0
"2021","Nova Scotia","Tidal power turbine",12,0
"2021","Nova Scotia","Wind power turbine",12,12.13
"2021","Nunavut","Hydraulic turbine",62,0
"2021","Nunavut","Solar",62,0
"2021","Nunavut","Wind power turbine",62,0
"2021","Ontario","Hydraulic turbine",35,23.79
"2021","Ontario","Other types of electricity generation",35,0
"2021","Ontario","Solar",35,1.66
"2021","Ontario","Wind power turbine",35,8.47
"2021","Prince Edward Island","Hydraulic turbine",11,0
"2021","Prince Edward Island","Other types of electricity generation",11,0
"2021","Prince Edward Island","Solar",11,0.09
"2021","Prince Edward Island","Tidal power turbine",11,0
"2021","Prince Edward Island","Wind power turbine",11,98.83
"2021","Quebec","Hydraulic turbine",24,94.16
"2021","Quebec","Other types of electricity generation",24,0
"2021","Quebec","Solar",24,0
"2021","Quebec","Wind power turbine",24,4.86
"2021","Saskatchewan","Hydraulic turbine",47,12.03
"2021","Saskatchewan","Other types of electricity generation",47,0.42
"2021","Saskatchewan","Solar",47,0.02
"2021","Saskatchewan","Wind power turbine",47,3.5
"2021","Yukon","Hydraulic turbine",60,88.42
"2021","Yukon","Other types of electricity generation",60,0
"2021","Yukon","Solar",60,0.02
"2021","Yukon","Wind power turbine",60,0
"2022","Alberta","Hydraulic turbine",48,3
"2022","Alberta","Other types of electricity generation",48,0.05
"2022","Alberta","Solar",48,1.13
"2022","Alberta","Wind power turbine",48,9.6
"2022","British Columbia","Hydraulic turbine",59,90.93
"2022","British Columbia","Other types of electricity generation",59,0
"2022","British Columbia","Solar",59,0.01
"2022","British Columbia","Tidal power turbine",59,0
"2022","British Columbia","Wind power turbine",59,2.08
"2022","Canada","Hydraulic turbine",,61.29
"2022","Canada","Other types of electricity generation",,0.02
"2022","Canada","Solar",,0.5
"2022","Canada","Tidal power turbine",,0
"2022","Canada","Wind power turbine",,6.1
"2022","Manitoba","Hydraulic turbine",46,97.09
"2022","Manitoba","Other types of electricity generation",46,0
"2022","Manitoba","Solar",46,0
"2022","Manitoba","Wind power turbine",46,2.61
"2022","New Brunswick","Hydraulic turbine",13,26.81
"2022","New Brunswick","Other types of electricity generation",13,0
"2022","New Brunswick","Solar",13,0
"2022","New Brunswick","Tidal power turbine",13,0
"2022","New Brunswick","Wind power turbine",13,4.52
"2022","Newfoundland and Labrador","Hydraulic turbine",10,96.62
"2022","Newfoundland and Labrador","Other types of electricity generation",10,0
"2022","Newfoundland and Labrador","Solar",10,0
"2022","Newfoundland and Labrador","Tidal power turbine",10,0
"2022","Newfoundland and Labrador","Wind power turbine",10,0.43
"2022","Northwest Territories","Hydraulic turbine",61,34.56
"2022","Northwest Territories","Solar",61,0.04
"2022","Northwest Territories","Wind power turbine",61,2.41
"2022","Nova Scotia","Hydraulic turbine",12,9.83
"2022","Nova Scotia","Other types of electricity generation",12,0
"2022","Nova Scotia","Solar",12,0
"2022","Nova Scotia","Tidal power turbine",12,0
"2022","Nova Scotia","Wind power turbine",12,15.28
"2022","Nunavut","Hydraulic turbine",62,0
"2022","Nunavut","Solar",62,0
"2022","Nunavut","Wind power turbine",62,0
"2022","Ontario","Hydraulic turbine",35,25.77
"2022","Ontario","Other types of electricity generation",35,0
"2022","Ontario","Solar",35,1.49
"2022","Ontario","Wind power turbine",35,9.32
"2022","Prince Edward Island","Hydraulic turbine",11,0
"2022","Prince Edward Island","Other types of electricity generation",11,0
"2022","Prince Edward Island","Solar",11,0.11
"2022","Prince Edward Island","Tidal power turbine",11,0
"2022","Prince Edward Island","Wind power turbine",11,98.79
"2022","Quebec","Hydraulic turbine",24,94
"2022","Quebec","Other types of electricity generation",24,0
"2022","Quebec","Solar",24,0.01
"2022","Quebec","Wind power turbine",24,5.04
"2022","Saskatchewan","Hydraulic turbine",47,13.61
"2022","Saskatchewan","Other types of electricity generation",47,0.35
"2022","Saskatchewan","Solar",47,0.12
"2022","Saskatchewan","Wind power turbine",47,6.53
"2022","Yukon","Hydraulic turbine",60,88.24
"2022","Yukon","Other types of electricity generation",60,0
"2022","Yukon","Solar",60,0.13
"2022","Yukon","Wind power turbine",60,0
"2015","Alberta","Total hydro, tidal, wind, solar and other generation",48,7.07
"2015","British Columbia","Total hydro, tidal, wind, solar and other generation",59,90.92
"2015","Manitoba","Total hydro, tidal, wind, solar and other generation",46,99.56
"2015","New Brunswick","Total hydro, tidal, wind, solar and other generation",13,24.66
"2015","Newfoundland and Labrador","Total hydro, tidal, wind, solar and other generation",10,95.7
"2015","Northwest Territories","Total hydro, tidal, wind, solar and other generation",61,28.74
"2015","Nova Scotia","Total hydro, tidal, wind, solar and other generation",12,15.24
"2015","Nunavut","Total hydro, tidal, wind, solar and other generation",62,0
"2015","Ontario","Total hydro, tidal, wind, solar and other generation",35,27.37
"2015","Prince Edward Island","Total hydro, tidal, wind, solar and other generation",11,98.34
"2015","Quebec","Total hydro, tidal, wind, solar and other generation",24,99.38
"2015","Saskatchewan","Total hydro, tidal, wind, solar and other generation",47,17.8
"2015","Yukon","Total hydro, tidal, wind, solar and other generation",60,94.3
"2016","Alberta","Total hydro, tidal, wind, solar and other generation",48,8.48
"2016","British Columbia","Total hydro, tidal, wind, solar and other generation",59,90.5
"2016","Manitoba","Total hydro, tidal, wind, solar and other generation",46,99.6
"2016","New Brunswick","Total hydro, tidal, wind, solar and other generation",13,26.49
"2016","Newfoundland and Labrador","Total hydro, tidal, wind, solar and other generation",10,94.77
"2016","Northwest Territories","Total hydro, tidal, wind, solar and other generation",61,31.87
"2016","Nova Scotia","Total hydro, tidal, wind, solar and other generation",12,18.56
"2016","Nunavut","Total hydro, tidal, wind, solar and other generation",62,0
"2016","Ontario","Total hydro, tidal, wind, solar and other generation",35,31.22
"2016","Prince Edward Island","Total hydro, tidal, wind, solar and other generation",11,98.36
"2016","Quebec","Total hydro, tidal, wind, solar and other generation",24,98.9
"2016","Saskatchewan","Total hydro, tidal, wind, solar and other generation",47,16.34
"2016","Yukon","Total hydro, tidal, wind, solar and other generation",60,93.96
"2017","Alberta","Total hydro, tidal, wind, solar and other generation",48,8.36
"2017","British Columbia","Total hydro, tidal, wind, solar and other generation",59,91.43
"2017","Manitoba","Total hydro, tidal, wind, solar and other generation",46,99.57
"2017","New Brunswick","Total hydro, tidal, wind, solar and other generation",13,25.38
"2017","Newfoundland and Labrador","Total hydro, tidal, wind, solar and other generation",10,94.45
"2017","Northwest Territories","Total hydro, tidal, wind, solar and other generation",61,35.37
"2017","Nova Scotia","Total hydro, tidal, wind, solar and other generation",12,21.57
"2017","Nunavut","Total hydro, tidal, wind, solar and other generation",62,0
"2017","Ontario","Total hydro, tidal, wind, solar and other generation",35,33.94
"2017","Prince Edward Island","Total hydro, tidal, wind, solar and other generation",11,98.23
"2017","Quebec","Total hydro, tidal, wind, solar and other generation",24,98.82
"2017","Saskatchewan","Total hydro, tidal, wind, solar and other generation",47,18.62
"2017","Yukon","Total hydro, tidal, wind, solar and other generation",60,92.46
"2018","Alberta","Total hydro, tidal, wind, solar and other generation",48,8.01
"2018","British Columbia","Total hydro, tidal, wind, solar and other generation",59,91.7
"2018","Manitoba","Total hydro, tidal, wind, solar and other generation",46,99.71
"2018","New Brunswick","Total hydro, tidal, wind, solar and other generation",13,24.59
"2018","Newfoundland and Labrador","Total hydro, tidal, wind, solar and other generation",10,95.98
"2018","Northwest Territories","Total hydro, tidal, wind, solar and other generation",61,36.06
"2018","Nova Scotia","Total hydro, tidal, wind, solar and other generation",12,20.9
"2018","Nunavut","Total hydro, tidal, wind, solar and other generation",62,0
"2018","Ontario","Total hydro, tidal, wind, solar and other generation",35,33.06
"2018","Prince Edward Island","Total hydro, tidal, wind, solar and other generation",11,96.91
"2018","Quebec","Total hydro, tidal, wind, solar and other generation",24,98.97
"2018","Saskatchewan","Total hydro, tidal, wind, solar and other generation",47,17.29
"2018","Yukon","Total hydro, tidal, wind, solar and other generation",60,87.51
"2019","Alberta","Total hydro, tidal, wind, solar and other generation",48,8.15
"2019","British Columbia","Total hydro, tidal, wind, solar and other generation",59,89.82
"2019","Manitoba","Total hydro, tidal, wind, solar and other generation",46,99.69
"2019","New Brunswick","Total hydro, tidal, wind, solar and other generation",13,28.67
"2019","Newfoundland and Labrador","Total hydro, tidal, wind, solar and other generation",10,95.98
"2019","Northwest Territories","Total hydro, tidal, wind, solar and other generation",61,35.28
"2019","Nova Scotia","Total hydro, tidal, wind, solar and other generation",12,21.86
"2019","Nunavut","Total hydro, tidal, wind, solar and other generation",62,0
"2019","Ontario","Total hydro, tidal, wind, solar and other generation",35,33.42
"2019","Prince Edward Island","Total hydro, tidal, wind, solar and other generation",11,99.1
"2019","Quebec","Total hydro, tidal, wind, solar and other generation",24,99.06
"2019","Saskatchewan","Total hydro, tidal, wind, solar and other generation",47,18.58
"2019","Yukon","Total hydro, tidal, wind, solar and other generation",60,80.49
"2020","Alberta","Total hydro, tidal, wind, solar and other generation",48,10.32
"2020","British Columbia","Total hydro, tidal, wind, solar and other generation",59,92.09
"2020","Manitoba","Total hydro, tidal, wind, solar and other generation",46,99.71
"2020","New Brunswick","Total hydro, tidal, wind, solar and other generation",13,29.93
"2020","Newfoundland and Labrador","Total hydro, tidal, wind, solar and other generation",10,96.24
"2020","Northwest Territories","Total hydro, tidal, wind, solar and other generation",61,39.96
"2020","Nova Scotia","Total hydro, tidal, wind, solar and other generation",12,18.31
"2020","Nunavut","Total hydro, tidal, wind, solar and other generation",62,0
"2020","Ontario","Total hydro, tidal, wind, solar and other generation",35,34.94
"2020","Prince Edward Island","Total hydro, tidal, wind, solar and other generation",11,99.16
"2020","Quebec","Total hydro, tidal, wind, solar and other generation",24,99.02
"2020","Saskatchewan","Total hydro, tidal, wind, solar and other generation",47,21.73
"2020","Yukon","Total hydro, tidal, wind, solar and other generation",60,82.61
"2021","Alberta","Total hydro, tidal, wind, solar and other generation",48,12.34
"2021","British Columbia","Total hydro, tidal, wind, solar and other generation",59,91.41
"2021","Manitoba","Total hydro, tidal, wind, solar and other generation",46,99.63
"2021","New Brunswick","Total hydro, tidal, wind, solar and other generation",13,26.97
