Year,Series,Geography,Public sector components,GeoCode,Value
2018,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,8.02E+08
2018,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,3.40E+07
2018,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,2.20E+07
2018,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,2.95E+08
2018,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,4.60E+07
2018,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,2.00E+07
2018,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,1.40E+07
2018,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,6.00E+06
2019,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1.67E+09
2019,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7.00E+06
2019,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2.00E+06
2019,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,3.00E+07
2019,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,1.80E+07
2019,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,1.06E+08
2019,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,8.45E+08
2019,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,3.50E+07
2019,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,2.30E+07
2019,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,4.99E+08
2019,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,4.60E+07
2019,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,2.90E+07
2019,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,1.70E+07
2019,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,7.00E+06
2020,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1.26E+09
2020,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7.00E+06
2020,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2.00E+06
2020,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,3.50E+07
2020,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,1.60E+07
2020,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,1.64E+08
2020,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,8.01E+08
2020,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,6.60E+07
2020,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,2.20E+07
2020,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,3.10E+07
2020,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,5.80E+07
2020,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,3.20E+07
2020,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,1.60E+07
2020,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,6.00E+06
2021,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1.33E+09
2021,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7.00E+06
2021,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2.00E+06
2021,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,3.50E+07
2021,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,1.30E+07
2021,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,1.66E+08
2021,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,8.77E+08
2021,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,4.50E+07
2021,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,2.30E+07
2021,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,3.70E+07
2021,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,6.50E+07
2021,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,3.20E+07
2021,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,1.70E+07
2021,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,7.00E+06
2012,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,22.237
2013,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.853
2014,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.814
2015,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.48
2016,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,1.544
2017,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.026
2018,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.548
2019,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,1.651
2020,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,3.389
2021,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,4.985
,,,,,
,,,,,
