"Year","Series","Data categories","Elements","Pillar","Value"
2022,"Open Data Inventory (ODIN)","Education facilities","Indicator coverage and disaggregation",,50
2022,"Open Data Inventory (ODIN)","Education outcomes","Indicator coverage and disaggregation",,50
2022,"Open Data Inventory (ODIN)","Health facilities","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Health outcomes","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Reproductive health","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Food security and nutrition","Indicator coverage and disaggregation",,50
2022,"Open Data Inventory (ODIN)","Gender statistics","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Crime and justice","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Poverty and income","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Social statistics subscore","Indicator coverage and disaggregation",,85
2022,"Open Data Inventory (ODIN)","National accounts","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Labor","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Price indexes","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Government finance","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Money and banking","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","International trade","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Balance of payments","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Agriculture and land use","Indicator coverage and disaggregation",,50
2022,"Open Data Inventory (ODIN)","Resource use","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Energy use","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Pollution","Indicator coverage and disaggregation",,100
2022,"Open Data Inventory (ODIN)","Built environment","Indicator coverage and disaggregation",,50
2022,"Open Data Inventory (ODIN)","Environment subscore","Indicator coverage and disaggregation",,80
2022,"Open Data Inventory (ODIN)","All categories","Indicator coverage and disaggregation",,88.3
2024,"Open Data Inventory (ODIN)","Population and vital statistics","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Education facilities","Indicator coverage and disaggregation",,50
2024,"Open Data Inventory (ODIN)","Education outcomes","Indicator coverage and disaggregation",,50
2024,"Open Data Inventory (ODIN)","Health facilities","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Health outcomes","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Reproductive health","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Food security and nutrition","Indicator coverage and disaggregation",,50
2024,"Open Data Inventory (ODIN)","Gender statistics","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Crime and justice","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Poverty and income","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Social statistics subscore","Indicator coverage and disaggregation",,85
2024,"Open Data Inventory (ODIN)","National accounts","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Labor","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Price indexes","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Government finance","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Money and banking","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","International trade","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Balance of payments","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Agriculture and land use","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Resource use","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Energy use","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Pollution","Indicator coverage and disaggregation",,100
2024,"Open Data Inventory (ODIN)","Built environment","Indicator coverage and disaggregation",,50
2024,"Open Data Inventory (ODIN)","Environment subscore","Indicator coverage and disaggregation",,90
2024,"Open Data Inventory (ODIN)","All categories","Indicator coverage and disaggregation",,91.7
2016,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","Education facilities","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Education outcomes","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Health facilities","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Health outcomes","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","Reproductive health","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Gender statistics","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Poverty and income","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 5 years",,68.8
2016,"Open Data Inventory (ODIN)","National accounts","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","Labor","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","Price indexes","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Government finance","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","Money and banking","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","International trade","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","Balance of payments","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 5 years",,92.9
2016,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Resource use","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Energy use","Data available last 5 years",,100
2016,"Open Data Inventory (ODIN)","Pollution","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Built environment","Data available last 5 years",,50
2016,"Open Data Inventory (ODIN)","Environment subscore","Data available last 5 years",,60
2016,"Open Data Inventory (ODIN)","All categories","Data available last 5 years",,73.9
2017,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Education facilities","Data available last 5 years",,50
2017,"Open Data Inventory (ODIN)","Education outcomes","Data available last 5 years",,50
2017,"Open Data Inventory (ODIN)","Health facilities","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Health outcomes","Data available last 5 years",,50
2017,"Open Data Inventory (ODIN)","Reproductive health","Data available last 5 years",,50
2017,"Open Data Inventory (ODIN)","Gender statistics","Data available last 5 years",,50
2017,"Open Data Inventory (ODIN)","Crime and justice","Data available last 5 years",,50
2017,"Open Data Inventory (ODIN)","Poverty and income","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 5 years",,66.7
2017,"Open Data Inventory (ODIN)","National accounts","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Labor","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Price indexes","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Government finance","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Money and banking","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","International trade","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Balance of payments","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 5 years",,50
2017,"Open Data Inventory (ODIN)","Resource use","Data available last 5 years",,50
2017,"Open Data Inventory (ODIN)","Energy use","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Pollution","Data available last 5 years",,100
2017,"Open Data Inventory (ODIN)","Built environment","Data available last 5 years",,50
2017,"Open Data Inventory (ODIN)","Environment subscore","Data available last 5 years",,70
2017,"Open Data Inventory (ODIN)","All categories","Data available last 5 years",,78.9
2018,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Education facilities","Data available last 5 years",,50
2018,"Open Data Inventory (ODIN)","Education outcomes","Data available last 5 years",,50
2018,"Open Data Inventory (ODIN)","Health facilities","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Health outcomes","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Reproductive health","Data available last 5 years",,50
2018,"Open Data Inventory (ODIN)","Gender statistics","Data available last 5 years",,50
2018,"Open Data Inventory (ODIN)","Crime and justice","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Poverty and income","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 5 years",,77.8
2018,"Open Data Inventory (ODIN)","National accounts","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Labor","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Price indexes","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Government finance","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Money and banking","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","International trade","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Balance of payments","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 5 years",,50
2018,"Open Data Inventory (ODIN)","Resource use","Data available last 5 years",,50
2018,"Open Data Inventory (ODIN)","Energy use","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Pollution","Data available last 5 years",,100
2018,"Open Data Inventory (ODIN)","Built environment","Data available last 5 years",,50
2018,"Open Data Inventory (ODIN)","Environment subscore","Data available last 5 years",,70
2018,"Open Data Inventory (ODIN)","All categories","Data available last 5 years",,82.6
2020,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Education facilities","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Education outcomes","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Health facilities","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Health outcomes","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Reproductive health","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Food security and nutrition","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Gender statistics","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Crime and justice","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Poverty and income","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 5 years",,70
2020,"Open Data Inventory (ODIN)","National accounts","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Labor","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Price indexes","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Government finance","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Money and banking","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","International trade","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Balance of payments","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Resource use","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Energy use","Data available last 5 years",,100
2020,"Open Data Inventory (ODIN)","Pollution","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Built environment","Data available last 5 years",,50
2020,"Open Data Inventory (ODIN)","Environment subscore","Data available last 5 years",,60
2020,"Open Data Inventory (ODIN)","All categories","Data available last 5 years",,76.7
2022,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Education facilities","Data available last 5 years",,50
2022,"Open Data Inventory (ODIN)","Education outcomes","Data available last 5 years",,50
2022,"Open Data Inventory (ODIN)","Health facilities","Data available last 5 years",,50
2022,"Open Data Inventory (ODIN)","Health outcomes","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Reproductive health","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Food security and nutrition","Data available last 5 years",,50
2022,"Open Data Inventory (ODIN)","Gender statistics","Data available last 5 years",,50
2022,"Open Data Inventory (ODIN)","Crime and justice","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Poverty and income","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 5 years",,75
2022,"Open Data Inventory (ODIN)","National accounts","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Labor","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Price indexes","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Government finance","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Money and banking","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","International trade","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Balance of payments","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 5 years",,50
2022,"Open Data Inventory (ODIN)","Resource use","Data available last 5 years",,50
2022,"Open Data Inventory (ODIN)","Energy use","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Pollution","Data available last 5 years",,100
2022,"Open Data Inventory (ODIN)","Built environment","Data available last 5 years",,50
2022,"Open Data Inventory (ODIN)","Environment subscore","Data available last 5 years",,70
2022,"Open Data Inventory (ODIN)","All categories","Data available last 5 years",,81.7
2024,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Education facilities","Data available last 5 years",,50
2024,"Open Data Inventory (ODIN)","Education outcomes","Data available last 5 years",,50
2024,"Open Data Inventory (ODIN)","Health facilities","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Health outcomes","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Reproductive health","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Food security and nutrition","Data available last 5 years",,50
2024,"Open Data Inventory (ODIN)","Gender statistics","Data available last 5 years",,50
2024,"Open Data Inventory (ODIN)","Crime and justice","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Poverty and income","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 5 years",,80
2024,"Open Data Inventory (ODIN)","National accounts","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Labor","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Price indexes","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Government finance","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Money and banking","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","International trade","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Balance of payments","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 5 years",,50
2024,"Open Data Inventory (ODIN)","Resource use","Data available last 5 years",,50
2024,"Open Data Inventory (ODIN)","Energy use","Data available last 5 years",,100
2024,"Open Data Inventory (ODIN)","Pollution","Data available last 5 years",,50
2024,"Open Data Inventory (ODIN)","Built environment","Data available last 5 years",,50
2024,"Open Data Inventory (ODIN)","Environment subscore","Data available last 5 years",,60
2024,"Open Data Inventory (ODIN)","All categories","Data available last 5 years",,80
2016,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","Education facilities","Data available last 10 years",,50
2016,"Open Data Inventory (ODIN)","Education outcomes","Data available last 10 years",,50
2016,"Open Data Inventory (ODIN)","Health facilities","Data available last 10 years",,0
2016,"Open Data Inventory (ODIN)","Health outcomes","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","Reproductive health","Data available last 10 years",,50
2016,"Open Data Inventory (ODIN)","Gender statistics","Data available last 10 years",,50
2016,"Open Data Inventory (ODIN)","Poverty and income","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 10 years",,62.5
2016,"Open Data Inventory (ODIN)","National accounts","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","Labor","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","Price indexes","Data available last 10 years",,50
2016,"Open Data Inventory (ODIN)","Government finance","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","Money and banking","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","International trade","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","Balance of payments","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 10 years",,92.9
2016,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 10 years",,0
2016,"Open Data Inventory (ODIN)","Resource use","Data available last 10 years",,50
2016,"Open Data Inventory (ODIN)","Energy use","Data available last 10 years",,100
2016,"Open Data Inventory (ODIN)","Pollution","Data available last 10 years",,50
2016,"Open Data Inventory (ODIN)","Built environment","Data available last 10 years",,50
2016,"Open Data Inventory (ODIN)","Environment subscore","Data available last 10 years",,50
2016,"Open Data Inventory (ODIN)","All categories","Data available last 10 years",,68.5
2017,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 10 years",,100
2017,"Open Data Inventory (ODIN)","Education facilities","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","Education outcomes","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","Health facilities","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","Health outcomes","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","Reproductive health","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","Gender statistics","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","Crime and justice","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","Poverty and income","Data available last 10 years",,100
2017,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 10 years",,61.1
2017,"Open Data Inventory (ODIN)","National accounts","Data available last 10 years",,100
2017,"Open Data Inventory (ODIN)","Labor","Data available last 10 years",,100
2017,"Open Data Inventory (ODIN)","Price indexes","Data available last 10 years",,100
2017,"Open Data Inventory (ODIN)","Government finance","Data available last 10 years",,100
2017,"Open Data Inventory (ODIN)","Money and banking","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","International trade","Data available last 10 years",,100
2017,"Open Data Inventory (ODIN)","Balance of payments","Data available last 10 years",,100
2017,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 10 years",,92.9
2017,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 10 years",,0
2017,"Open Data Inventory (ODIN)","Resource use","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","Energy use","Data available last 10 years",,100
2017,"Open Data Inventory (ODIN)","Pollution","Data available last 10 years",,100
