"Year","Geography","Sex","Age group","Skill","Proficiency level","GeoCode","Value"
"2012","Canada","Females","35 to 44 years","Literacy","3 or above",,57.3
"2012","Canada","Females","35 to 44 years","Numeracy","2 or below",,55
"2012","Canada","Females","35 to 44 years","Numeracy","3 or above",,45
"2012","Canada","Females","45 to 54 years","Literacy","2 or below",,55.2
"2012","Canada","Females","45 to 54 years","Literacy","3 or above",,44.8
"2012","Canada","Females","45 to 54 years","Numeracy","2 or below",,64.3
"2012","Canada","Females","45 to 54 years","Numeracy","3 or above",,35.7
"2012","Canada","Females","55 to 65 years","Literacy","2 or below",,62.1
"2012","Canada","Females","55 to 65 years","Literacy","3 or above",,37.9
"2012","Canada","Females","55 to 65 years","Numeracy","2 or below",,73.1
"2012","Canada","Females","55 to 65 years","Numeracy","3 or above",,26.9
"2012","Newfoundland and Labrador","Both sexes","Total","Literacy","2 or below",10,56.8
"2012","Newfoundland and Labrador","Both sexes","Total","Literacy","3 or above",10,43.2
"2012","Newfoundland and Labrador","Both sexes","Total","Numeracy","2 or below",10,65.5
"2012","Newfoundland and Labrador","Both sexes","Total","Numeracy","3 or above",10,34.5
"2012","Newfoundland and Labrador","Both sexes","16 to 24 years","Literacy","2 or below",10,48.5
"2012","Newfoundland and Labrador","Both sexes","16 to 24 years","Literacy","3 or above",10,51.5
"2012","Newfoundland and Labrador","Both sexes","16 to 24 years","Numeracy","2 or below",10,54.6
"2012","Newfoundland and Labrador","Both sexes","16 to 24 years","Numeracy","3 or above",10,45.4
"2012","Newfoundland and Labrador","Both sexes","25 to 34 years","Literacy","2 or below",10,42.5
"2012","Newfoundland and Labrador","Both sexes","25 to 34 years","Literacy","3 or above",10,57.5
"2012","Newfoundland and Labrador","Both sexes","25 to 34 years","Numeracy","2 or below",10,51.9
"2012","Newfoundland and Labrador","Both sexes","25 to 34 years","Numeracy","3 or above",10,48.1
"2012","Newfoundland and Labrador","Both sexes","35 to 44 years","Literacy","2 or below",10,48.1
"2012","Newfoundland and Labrador","Both sexes","35 to 44 years","Literacy","3 or above",10,51.9
"2012","Newfoundland and Labrador","Both sexes","35 to 44 years","Numeracy","2 or below",10,56.7
"2012","Newfoundland and Labrador","Both sexes","35 to 44 years","Numeracy","3 or above",10,43.3
"2012","Newfoundland and Labrador","Both sexes","45 to 54 years","Literacy","2 or below",10,61.4
"2012","Newfoundland and Labrador","Both sexes","45 to 54 years","Literacy","3 or above",10,38.6
"2012","Newfoundland and Labrador","Both sexes","45 to 54 years","Numeracy","2 or below",10,71.4
"2012","Newfoundland and Labrador","Both sexes","45 to 54 years","Numeracy","3 or above",10,28.6
"2012","Newfoundland and Labrador","Both sexes","55 to 65 years","Literacy","2 or below",10,73.4
"2012","Newfoundland and Labrador","Both sexes","55 to 65 years","Literacy","3 or above",10,26.6
"2012","Newfoundland and Labrador","Both sexes","55 to 65 years","Numeracy","2 or below",10,82.1
"2012","Newfoundland and Labrador","Both sexes","55 to 65 years","Numeracy","3 or above",10,17.9
"2012","Newfoundland and Labrador","Males","Total","Literacy","2 or below",10,57.3
"2012","Newfoundland and Labrador","Males","Total","Literacy","3 or above",10,42.7
"2012","Newfoundland and Labrador","Males","Total","Numeracy","2 or below",10,62.2
"2012","Newfoundland and Labrador","Males","Total","Numeracy","3 or above",10,37.8
"2012","Newfoundland and Labrador","Males","16 to 24 years","Literacy","2 or below",10,50.8
"2012","Newfoundland and Labrador","Males","16 to 24 years","Literacy","3 or above",10,49.2
"2012","Newfoundland and Labrador","Males","16 to 24 years","Numeracy","2 or below",10,53.3
"2012","Newfoundland and Labrador","Males","16 to 24 years","Numeracy","3 or above",10,46.7
"2012","Newfoundland and Labrador","Males","25 to 34 years","Literacy","2 or below",10,40.6
"2012","Newfoundland and Labrador","Males","25 to 34 years","Literacy","3 or above",10,59.4
"2012","Newfoundland and Labrador","Males","25 to 34 years","Numeracy","2 or below",10,46.1
"2012","Newfoundland and Labrador","Males","25 to 34 years","Numeracy","3 or above",10,53.9
"2012","Newfoundland and Labrador","Males","35 to 44 years","Literacy","2 or below",10,51.4
"2012","Newfoundland and Labrador","Males","35 to 44 years","Literacy","3 or above",10,48.6
"2012","Newfoundland and Labrador","Males","35 to 44 years","Numeracy","2 or below",10,54.5
"2012","Newfoundland and Labrador","Males","35 to 44 years","Numeracy","3 or above",10,45.5
"2012","Newfoundland and Labrador","Males","45 to 54 years","Literacy","2 or below",10,61.4
"2012","Newfoundland and Labrador","Males","45 to 54 years","Literacy","3 or above",10,38.6
"2012","Newfoundland and Labrador","Males","45 to 54 years","Numeracy","2 or below",10,68.9
"2012","Newfoundland and Labrador","Males","45 to 54 years","Numeracy","3 or above",10,31.1
"2012","Newfoundland and Labrador","Males","55 to 65 years","Literacy","2 or below",10,72.4
"2012","Newfoundland and Labrador","Males","55 to 65 years","Literacy","3 or above",10,27.6
"2012","Newfoundland and Labrador","Males","55 to 65 years","Numeracy","2 or below",10,77.4
"2012","Newfoundland and Labrador","Males","55 to 65 years","Numeracy","3 or above",10,22.6
"2012","Newfoundland and Labrador","Females","Total","Literacy","2 or below",10,56.4
"2012","Newfoundland and Labrador","Females","Total","Literacy","3 or above",10,43.6
"2012","Newfoundland and Labrador","Females","Total","Numeracy","2 or below",10,68.7
"2012","Newfoundland and Labrador","Females","Total","Numeracy","3 or above",10,31.3
"2012","Newfoundland and Labrador","Females","16 to 24 years","Literacy","2 or below",10,46.1
"2012","Newfoundland and Labrador","Females","16 to 24 years","Literacy","3 or above",10,53.9
"2012","Newfoundland and Labrador","Females","16 to 24 years","Numeracy","2 or below",10,56
"2012","Newfoundland and Labrador","Females","16 to 24 years","Numeracy","3 or above",10,44
"2012","Newfoundland and Labrador","Females","25 to 34 years","Literacy","2 or below",10,44.3
"2012","Newfoundland and Labrador","Females","25 to 34 years","Literacy","3 or above",10,55.7
"2012","Newfoundland and Labrador","Females","25 to 34 years","Numeracy","2 or below",10,57.5
"2012","Newfoundland and Labrador","Females","25 to 34 years","Numeracy","3 or above",10,42.5
"2012","Newfoundland and Labrador","Females","35 to 44 years","Literacy","2 or below",10,45.1
"2012","Newfoundland and Labrador","Females","35 to 44 years","Literacy","3 or above",10,54.9
"2012","Newfoundland and Labrador","Females","35 to 44 years","Numeracy","2 or below",10,58.6
"2012","Newfoundland and Labrador","Females","35 to 44 years","Numeracy","3 or above",10,41.4
"2012","Newfoundland and Labrador","Females","45 to 54 years","Literacy","2 or below",10,61.3
"2012","Newfoundland and Labrador","Females","45 to 54 years","Literacy","3 or above",10,38.7
"2012","Newfoundland and Labrador","Females","45 to 54 years","Numeracy","2 or below",10,73.7
"2012","Newfoundland and Labrador","Females","45 to 54 years","Numeracy","3 or above",10,26.3
"2012","Newfoundland and Labrador","Females","55 to 65 years","Literacy","2 or below",10,74.4
"2012","Newfoundland and Labrador","Females","55 to 65 years","Literacy","3 or above",10,25.6
"2012","Newfoundland and Labrador","Females","55 to 65 years","Numeracy","2 or below",10,86.7
"2012","Newfoundland and Labrador","Females","55 to 65 years","Numeracy","3 or above",10,13.3
"2012","Prince Edward Island","Both sexes","Total","Literacy","2 or below",11,45.3
"2012","Prince Edward Island","Both sexes","Total","Literacy","3 or above",11,54.7
"2012","Prince Edward Island","Both sexes","Total","Numeracy","2 or below",11,55.8
"2012","Prince Edward Island","Both sexes","Total","Numeracy","3 or above",11,44.2
"2012","Prince Edward Island","Both sexes","16 to 24 years","Literacy","2 or below",11,44.1
"2012","Prince Edward Island","Both sexes","16 to 24 years","Literacy","3 or above",11,55.9
"2012","Prince Edward Island","Both sexes","16 to 24 years","Numeracy","2 or below",11,54.3
"2012","Prince Edward Island","Both sexes","16 to 24 years","Numeracy","3 or above",11,45.7
"2012","Prince Edward Island","Both sexes","25 to 34 years","Literacy","2 or below",11,32.3
"2012","Prince Edward Island","Both sexes","25 to 34 years","Literacy","3 or above",11,67.7
"2012","Prince Edward Island","Both sexes","25 to 34 years","Numeracy","2 or below",11,45.5
"2012","Prince Edward Island","Both sexes","25 to 34 years","Numeracy","3 or above",11,54.5
"2012","Prince Edward Island","Both sexes","35 to 44 years","Literacy","2 or below",11,37.6
"2012","Prince Edward Island","Both sexes","35 to 44 years","Literacy","3 or above",11,62.4
"2012","Prince Edward Island","Both sexes","35 to 44 years","Numeracy","2 or below",11,50.3
"2012","Prince Edward Island","Both sexes","35 to 44 years","Numeracy","3 or above",11,49.7
"2012","Prince Edward Island","Both sexes","45 to 54 years","Literacy","2 or below",11,51.2
"2012","Prince Edward Island","Both sexes","45 to 54 years","Literacy","3 or above",11,48.8
"2012","Prince Edward Island","Both sexes","45 to 54 years","Numeracy","2 or below",11,61
"2012","Prince Edward Island","Both sexes","45 to 54 years","Numeracy","3 or above",11,39
"2012","Prince Edward Island","Both sexes","55 to 65 years","Literacy","2 or below",11,55.2
"2012","Prince Edward Island","Both sexes","55 to 65 years","Literacy","3 or above",11,44.8
"2012","Prince Edward Island","Both sexes","55 to 65 years","Numeracy","2 or below",11,62.9
"2012","Prince Edward Island","Both sexes","55 to 65 years","Numeracy","3 or above",11,37.1
"2012","Prince Edward Island","Males","Total","Literacy","2 or below",11,47.6
"2012","Prince Edward Island","Males","Total","Literacy","3 or above",11,52.4
"2012","Prince Edward Island","Males","Total","Numeracy","2 or below",11,54.1
"2012","Prince Edward Island","Males","Total","Numeracy","3 or above",11,45.9
"2012","Prince Edward Island","Males","16 to 24 years","Literacy","2 or below",11,43.6
"2012","Prince Edward Island","Males","16 to 24 years","Literacy","3 or above",11,56.4
"2012","Prince Edward Island","Males","16 to 24 years","Numeracy","2 or below",11,52.1
"2012","Prince Edward Island","Males","16 to 24 years","Numeracy","3 or above",11,47.9
"2012","Prince Edward Island","Males","25 to 34 years","Literacy","2 or below",11,32.6
"2012","Prince Edward Island","Males","25 to 34 years","Literacy","3 or above",11,67.4
"2012","Prince Edward Island","Males","25 to 34 years","Numeracy","2 or below",11,39.9
"2012","Prince Edward Island","Males","25 to 34 years","Numeracy","3 or above",11,60.1
"2012","Prince Edward Island","Males","35 to 44 years","Literacy","2 or below",11,40.9
"2012","Prince Edward Island","Males","35 to 44 years","Literacy","3 or above",11,59.1
"2012","Prince Edward Island","Males","35 to 44 years","Numeracy","2 or below",11,48.9
"2012","Prince Edward Island","Males","35 to 44 years","Numeracy","3 or above",11,51.1
"2012","Prince Edward Island","Males","45 to 54 years","Literacy","2 or below",11,58.8
"2012","Prince Edward Island","Males","45 to 54 years","Literacy","3 or above",11,41.2
"2012","Prince Edward Island","Males","45 to 54 years","Numeracy","2 or below",11,61.6
"2012","Prince Edward Island","Males","45 to 54 years","Numeracy","3 or above",11,38.4
"2012","Prince Edward Island","Males","55 to 65 years","Literacy","2 or below",11,54.4
"2012","Prince Edward Island","Males","55 to 65 years","Literacy","3 or above",11,45.6
"2012","Prince Edward Island","Males","55 to 65 years","Numeracy","2 or below",11,61.4
"2012","Prince Edward Island","Males","55 to 65 years","Numeracy","3 or above",11,38.6
"2012","Prince Edward Island","Females","Total","Literacy","2 or below",11,43.1
"2012","Prince Edward Island","Females","Total","Literacy","3 or above",11,56.9
"2012","Prince Edward Island","Females","Total","Numeracy","2 or below",11,57.4
"2012","Prince Edward Island","Females","Total","Numeracy","3 or above",11,42.6
"2012","Prince Edward Island","Females","16 to 24 years","Literacy","2 or below",11,44.5
"2012","Prince Edward Island","Females","16 to 24 years","Literacy","3 or above",11,55.5
"2012","Prince Edward Island","Females","16 to 24 years","Numeracy","2 or below",11,56.5
"2012","Prince Edward Island","Females","16 to 24 years","Numeracy","3 or above",11,43.5
"2012","Prince Edward Island","Females","25 to 34 years","Literacy","2 or below",11,32.1
"2012","Prince Edward Island","Females","25 to 34 years","Literacy","3 or above",11,67.9
"2012","Prince Edward Island","Females","25 to 34 years","Numeracy","2 or below",11,50.5
"2012","Prince Edward Island","Females","25 to 34 years","Numeracy","3 or above",11,49.5
"2012","Prince Edward Island","Females","35 to 44 years","Literacy","2 or below",11,34.4
"2012","Prince Edward Island","Females","35 to 44 years","Literacy","3 or above",11,65.6
"2012","Prince Edward Island","Females","35 to 44 years","Numeracy","2 or below",11,51.7
"2012","Prince Edward Island","Females","35 to 44 years","Numeracy","3 or above",11,48.3
"2012","Prince Edward Island","Females","45 to 54 years","Literacy","2 or below",11,43.7
"2012","Prince Edward Island","Females","45 to 54 years","Literacy","3 or above",11,56.3
"2012","Prince Edward Island","Females","45 to 54 years","Numeracy","2 or below",11,60.3
"2012","Prince Edward Island","Females","45 to 54 years","Numeracy","3 or above",11,39.7
"2012","Prince Edward Island","Females","55 to 65 years","Literacy","2 or below",11,56
"2012","Prince Edward Island","Females","55 to 65 years","Literacy","3 or above",11,44
"2012","Prince Edward Island","Females","55 to 65 years","Numeracy","2 or below",11,64.4
"2012","Prince Edward Island","Females","55 to 65 years","Numeracy","3 or above",11,35.6
"2012","Nova Scotia","Both sexes","Total","Literacy","2 or below",12,50.3
"2012","Nova Scotia","Both sexes","Total","Literacy","3 or above",12,49.7
"2012","Nova Scotia","Both sexes","Total","Numeracy","2 or below",12,58.2
"2012","Nova Scotia","Both sexes","Total","Numeracy","3 or above",12,41.8
"2012","Nova Scotia","Both sexes","16 to 24 years","Literacy","2 or below",12,54.4
"2012","Nova Scotia","Both sexes","16 to 24 years","Literacy","3 or above",12,45.6
"2012","Nova Scotia","Both sexes","16 to 24 years","Numeracy","2 or below",12,61.3
"2012","Nova Scotia","Both sexes","16 to 24 years","Numeracy","3 or above",12,38.7
"2012","Nova Scotia","Both sexes","25 to 34 years","Literacy","2 or below",12,37.7
"2012","Nova Scotia","Both sexes","25 to 34 years","Literacy","3 or above",12,62.3
"2012","Nova Scotia","Both sexes","25 to 34 years","Numeracy","2 or below",12,47.3
"2012","Nova Scotia","Both sexes","25 to 34 years","Numeracy","3 or above",12,52.7
"2012","Nova Scotia","Both sexes","35 to 44 years","Literacy","2 or below",12,41.4
"2012","Nova Scotia","Both sexes","35 to 44 years","Literacy","3 or above",12,58.6
"2012","Nova Scotia","Both sexes","35 to 44 years","Numeracy","2 or below",12,49.8
"2012","Nova Scotia","Both sexes","35 to 44 years","Numeracy","3 or above",12,50.2
"2012","Nova Scotia","Both sexes","45 to 54 years","Literacy","2 or below",12,52.5
"2012","Nova Scotia","Both sexes","45 to 54 years","Literacy","3 or above",12,47.5
"2012","Nova Scotia","Both sexes","45 to 54 years","Numeracy","2 or below",12,61.1
"2012","Nova Scotia","Both sexes","45 to 54 years","Numeracy","3 or above",12,38.9
"2012","Nova Scotia","Both sexes","55 to 65 years","Literacy","2 or below",12,61.2
"2012","Nova Scotia","Both sexes","55 to 65 years","Literacy","3 or above",12,38.8
"2012","Nova Scotia","Both sexes","55 to 65 years","Numeracy","2 or below",12,67.6
"2012","Nova Scotia","Both sexes","55 to 65 years","Numeracy","3 or above",12,32.4
"2012","Nova Scotia","Males","Total","Literacy","2 or below",12,49.3
"2012","Nova Scotia","Males","Total","Literacy","3 or above",12,50.7
"2012","Nova Scotia","Males","Total","Numeracy","2 or below",12,52
"2012","Nova Scotia","Males","Total","Numeracy","3 or above",12,48
"2012","Nova Scotia","Males","16 to 24 years","Literacy","2 or below",12,51.2
"2012","Nova Scotia","Males","16 to 24 years","Literacy","3 or above",12,48.8
"2012","Nova Scotia","Males","16 to 24 years","Numeracy","2 or below",12,54.8
"2012","Nova Scotia","Males","16 to 24 years","Numeracy","3 or above",12,45.2
"2012","Nova Scotia","Males","25 to 34 years","Literacy","2 or below",12,32.7
"2012","Nova Scotia","Males","25 to 34 years","Literacy","3 or above",12,67.3
"2012","Nova Scotia","Males","25 to 34 years","Numeracy","2 or below",12,35.4
"2012","Nova Scotia","Males","25 to 34 years","Numeracy","3 or above",12,64.6
"2012","Nova Scotia","Males","35 to 44 years","Literacy","2 or below",12,42.5
"2012","Nova Scotia","Males","35 to 44 years","Literacy","3 or above",12,57.5
"2012","Nova Scotia","Males","35 to 44 years","Numeracy","2 or below",12,45
"2012","Nova Scotia","Males","35 to 44 years","Numeracy","3 or above",12,55
"2012","Nova Scotia","Males","45 to 54 years","Literacy","2 or below",12,55.3
"2012","Nova Scotia","Males","45 to 54 years","Literacy","3 or above",12,44.7
"2012","Nova Scotia","Males","45 to 54 years","Numeracy","2 or below",12,59
"2012","Nova Scotia","Males","45 to 54 years","Numeracy","3 or above",12,41
"2012","Nova Scotia","Males","55 to 65 years","Literacy","2 or below",12,58.7
"2012","Nova Scotia","Males","55 to 65 years","Literacy","3 or above",12,41.3
"2012","Nova Scotia","Males","55 to 65 years","Numeracy","2 or below",12,59.8
"2012","Nova Scotia","Males","55 to 65 years","Numeracy","3 or above",12,40.2
"2012","Nova Scotia","Females","Total","Literacy","2 or below",12,51.2
"2012","Nova Scotia","Females","Total","Literacy","3 or above",12,48.8
"2012","Nova Scotia","Females","Total","Numeracy","2 or below",12,64.1
"2012","Nova Scotia","Females","Total","Numeracy","3 or above",12,35.9
"2012","Nova Scotia","Females","16 to 24 years","Literacy","2 or below",12,57.5
"2012","Nova Scotia","Females","16 to 24 years","Literacy","3 or above",12,42.5
"2012","Nova Scotia","Females","16 to 24 years","Numeracy","2 or below",12,67.6
"2012","Nova Scotia","Females","16 to 24 years","Numeracy","3 or above",12,32.4
"2012","Nova Scotia","Females","25 to 34 years","Literacy","2 or below",12,42.2
"2012","Nova Scotia","Females","25 to 34 years","Literacy","3 or above",12,57.8
"2012","Nova Scotia","Females","25 to 34 years","Numeracy","2 or below",12,57.9
"2012","Nova Scotia","Females","25 to 34 years","Numeracy","3 or above",12,42.1
"2012","Nova Scotia","Females","35 to 44 years","Literacy","2 or below",12,40.4
"2012","Nova Scotia","Females","35 to 44 years","Literacy","3 or above",12,59.6
"2012","Nova Scotia","Females","35 to 44 years","Numeracy","2 or below",12,54.2
"2012","Nova Scotia","Females","35 to 44 years","Numeracy","3 or above",12,45.8
"2012","Nova Scotia","Females","45 to 54 years","Literacy","2 or below",12,49.8
"2012","Nova Scotia","Females","45 to 54 years","Literacy","3 or above",12,50.2
"2012","Nova Scotia","Females","45 to 54 years","Numeracy","2 or below",12,63.1
"2012","Nova Scotia","Females","45 to 54 years","Numeracy","3 or above",12,36.9
"2012","Nova Scotia","Females","55 to 65 years","Literacy","2 or below",12,63.5
"2012","Nova Scotia","Females","55 to 65 years","Literacy","3 or above",12,36.5
"2012","Nova Scotia","Females","55 to 65 years","Numeracy","2 or below",12,75.1
"2012","Nova Scotia","Females","55 to 65 years","Numeracy","3 or above",12,24.9
"2012","New Brunswick","Both sexes","Total","Literacy","2 or below",13,53.5
"2012","New Brunswick","Both sexes","Total","Literacy","3 or above",13,46.5
"2012","New Brunswick","Both sexes","Total","Numeracy","2 or below",13,63.1
"2012","New Brunswick","Both sexes","Total","Numeracy","3 or above",13,36.9
"2012","New Brunswick","Both sexes","16 to 24 years","Literacy","2 or below",13,59.4
"2012","New Brunswick","Both sexes","16 to 24 years","Literacy","3 or above",13,40.6
"2012","New Brunswick","Both sexes","16 to 24 years","Numeracy","2 or below",13,67.9
"2012","New Brunswick","Both sexes","16 to 24 years","Numeracy","3 or above",13,32.1
"2012","New Brunswick","Both sexes","25 to 34 years","Literacy","2 or below",13,38.2
"2012","New Brunswick","Both sexes","25 to 34 years","Literacy","3 or above",13,61.8
"2012","New Brunswick","Both sexes","25 to 34 years","Numeracy","2 or below",13,50.8
"2012","New Brunswick","Both sexes","25 to 34 years","Numeracy","3 or above",13,49.2
"2012","New Brunswick","Both sexes","35 to 44 years","Literacy","2 or below",13,43.1
"2012","New Brunswick","Both sexes","35 to 44 years","Literacy","3 or above",13,56.9
"2012","New Brunswick","Both sexes","35 to 44 years","Numeracy","2 or below",13,55.7
"2012","New Brunswick","Both sexes","35 to 44 years","Numeracy","3 or above",13,44.3
"2012","New Brunswick","Both sexes","45 to 54 years","Literacy","2 or below",13,57.5
"2012","New Brunswick","Both sexes","45 to 54 years","Literacy","3 or above",13,42.5
"2012","New Brunswick","Both sexes","45 to 54 years","Numeracy","2 or below",13,64.1
"2012","New Brunswick","Both sexes","45 to 54 years","Numeracy","3 or above",13,35.9
"2012","New Brunswick","Both sexes","55 to 65 years","Literacy","2 or below",13,64.4
"2012","New Brunswick","Both sexes","55 to 65 years","Literacy","3 or above",13,35.6
"2012","New Brunswick","Both sexes","55 to 65 years","Numeracy","2 or below",13,73.2
"2012","New Brunswick","Both sexes","55 to 65 years","Numeracy","3 or above",13,26.8
"2012","New Brunswick","Males","Total","Literacy","2 or below",13,53.8
"2012","New Brunswick","Males","Total","Literacy","3 or above",13,46.2
"2012","New Brunswick","Males","Total","Numeracy","2 or below",13,58.1
"2012","New Brunswick","Males","Total","Numeracy","3 or above",13,41.9
"2012","New Brunswick","Males","16 to 24 years","Literacy","2 or below",13,62.5
"2012","New Brunswick","Males","16 to 24 years","Literacy","3 or above",13,37.5
"2012","New Brunswick","Males","16 to 24 years","Numeracy","2 or below",13,67.7
"2012","New Brunswick","Males","16 to 24 years","Numeracy","3 or above",13,32.3
"2012","New Brunswick","Males","25 to 34 years","Literacy","2 or below",13,34.4
"2012","New Brunswick","Males","25 to 34 years","Literacy","3 or above",13,65.6
"2012","New Brunswick","Males","25 to 34 years","Numeracy","2 or below",13,40.2
"2012","New Brunswick","Males","25 to 34 years","Numeracy","3 or above",13,59.8
"2012","New Brunswick","Males","35 to 44 years","Literacy","2 or below",13,42.4
"2012","New Brunswick","Males","35 to 44 years","Literacy","3 or above",13,57.6
"2012","New Brunswick","Males","35 to 44 years","Numeracy","2 or below",13,48.4
"2012","New Brunswick","Males","35 to 44 years","Numeracy","3 or above",13,51.6
"2012","New Brunswick","Males","45 to 54 years","Literacy","2 or below",13,62.5
"2012","New Brunswick","Males","45 to 54 years","Literacy","3 or above",13,37.5
"2012","New Brunswick","Males","45 to 54 years","Numeracy","2 or below",13,64
"2012","New Brunswick","Males","45 to 54 years","Numeracy","3 or above",13,36
"2012","New Brunswick","Males","55 to 65 years","Literacy","2 or below",13,62
"2012","New Brunswick","Males","55 to 65 years","Literacy","3 or above",13,38
"2012","New Brunswick","Males","55 to 65 years","Numeracy","2 or below",13,65.9
"2012","New Brunswick","Males","55 to 65 years","Numeracy","3 or above",13,34.1
"2012","New Brunswick","Females","Total","Literacy","2 or below",13,53.1
"2012","New Brunswick","Females","Total","Literacy","3 or above",13,46.9
"2012","New Brunswick","Females","Total","Numeracy","2 or below",13,67.9
"2012","New Brunswick","Females","Total","Numeracy","3 or above",13,32.1
"2012","New Brunswick","Females","16 to 24 years","Literacy","2 or below",13,56.1
"2012","New Brunswick","Females","16 to 24 years","Literacy","3 or above",13,43.9
"2012","New Brunswick","Females","16 to 24 years","Numeracy","2 or below",13,68.1
"2012","New Brunswick","Females","16 to 24 years","Numeracy","3 or above",13,31.9
"2012","New Brunswick","Females","25 to 34 years","Literacy","2 or below",13,41.7
"2012","New Brunswick","Females","25 to 34 years","Literacy","3 or above",13,58.3
"2012","New Brunswick","Females","25 to 34 years","Numeracy","2 or below",13,60.8
"2012","New Brunswick","Females","25 to 34 years","Numeracy","3 or above",13,39.2
"2012","New Brunswick","Females","35 to 44 years","Literacy","2 or below",13,43.9
"2012","New Brunswick","Females","35 to 44 years","Literacy","3 or above",13,56.1
"2012","New Brunswick","Females","35 to 44 years","Numeracy","2 or below",13,62.9
"2012","New Brunswick","Females","35 to 44 years","Numeracy","3 or above",13,37.1
"2012","New Brunswick","Females","45 to 54 years","Literacy","2 or below",13,52.7
"2012","New Brunswick","Females","45 to 54 years","Literacy","3 or above",13,47.3
