Year,Geography,Type of employee,Industry,GeoCode,Value
2015,Canada,All employees,Aerospace product and parts manufacturing,NA,0.3
2015,Canada,All employees,Railroad rolling stock manufacturing,NA,0.03
2015,Canada,All employees,Ship and boat building,NA,0.04
2015,Canada,All employees,Other transportation equipment manufacturing,NA,0.05
2015,Canada,All employees,Furniture and related product manufacturing,NA,0.4
2015,Canada,All employees,Household and institutional furniture and kitchen cabinet manufacturing,NA,0.25
2015,Canada,All employees,Office furniture (including fixtures) manufacturing,NA,0.13
2015,Canada,All employees,Other furniture-related product manufacturing,NA,0.03
2015,Canada,All employees,Miscellaneous manufacturing,NA,0.36
2015,Canada,All employees,Medical equipment and supplies manufacturing,NA,0.11
2015,Canada,All employees,Other miscellaneous manufacturing,NA,0.25
2015,Canada,Salaried employees paid a fixed salary,Manufacturing,NA,2.61
2015,Canada,Salaried employees paid a fixed salary,Non-durable goods,NA,1.15
2015,Canada,Salaried employees paid a fixed salary,Food manufacturing,NA,0.27
2015,Canada,Salaried employees paid a fixed salary,Animal food manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Grain and oilseed milling,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Sugar and confectionery product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Fruit and vegetable preserving and specialty food manufacturing,NA,0.02
2015,Canada,Salaried employees paid a fixed salary,Dairy product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Meat product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Seafood product preparation and packaging,NA,0.03
2015,Canada,Salaried employees paid a fixed salary,Bakeries and tortilla manufacturing,NA,0.05
2015,Canada,Salaried employees paid a fixed salary,Other food manufacturing,NA,0.06
2015,Canada,Salaried employees paid a fixed salary,Beverage and tobacco product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Beverage manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Tobacco manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Cannabis product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Textile mills,NA,0.01
2015,Canada,Salaried employees paid a fixed salary,"Fibre, yarn and thread mills",NA,NA
2015,Canada,Salaried employees paid a fixed salary,Fabric mills,NA,0.01
2015,Canada,Salaried employees paid a fixed salary,Textile and fabric finishing and fabric coating,NA,0
2015,Canada,Salaried employees paid a fixed salary,Textile product mills,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Clothing manufacturing,NA,0.03
2015,Canada,Salaried employees paid a fixed salary,Cut and sew clothing manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Leather and allied product manufacturing,NA,0
2015,Canada,Salaried employees paid a fixed salary,Leather and hide tanning and finishing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Footwear manufacturing,NA,0
2015,Canada,Salaried employees paid a fixed salary,Other leather and allied product manufacturing,NA,0
2015,Canada,Salaried employees paid a fixed salary,Paper manufacturing,NA,0.11
2015,Canada,Salaried employees paid a fixed salary,"Pulp, paper and paperboard mills",NA,NA
2015,Canada,Salaried employees paid a fixed salary,Printing and related support activities,NA,0.08
2015,Canada,Salaried employees paid a fixed salary,Petroleum and coal product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Chemical manufacturing,NA,0.31
2015,Canada,Salaried employees paid a fixed salary,Basic chemical manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",NA,NA
2015,Canada,Salaried employees paid a fixed salary,"Pesticide, fertilizer and other agricultural chemical manufacturing",NA,NA
2015,Canada,Salaried employees paid a fixed salary,Pharmaceutical and medicine manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,"Soap, cleaning compound and toilet preparation manufacturing",NA,0.04
2015,Canada,Salaried employees paid a fixed salary,Other chemical product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Rubber product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Durable goods,NA,1.46
2015,Canada,Salaried employees paid a fixed salary,Wood product manufacturing,NA,0.08
2015,Canada,Salaried employees paid a fixed salary,Sawmills and wood preservation,NA,0.03
2015,Canada,Salaried employees paid a fixed salary,"Veneer, plywood and engineered wood product manufacturing",NA,0.02
2015,Canada,Salaried employees paid a fixed salary,Other wood product manufacturing,NA,0.03
2015,Canada,Salaried employees paid a fixed salary,Non-metallic mineral product manufacturing,NA,0.07
2015,Canada,Salaried employees paid a fixed salary,Clay product and refractory manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Glass and glass product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Cement and concrete product manufacturing,NA,0.04
2015,Canada,Salaried employees paid a fixed salary,Lime and gypsum product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Other non-metallic mineral product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Primary metal manufacturing,NA,0.13
2015,Canada,Salaried employees paid a fixed salary,Iron and steel mills and ferro-alloy manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Steel product manufacturing from purchased steel,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Alumina and aluminum production and processing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Non-ferrous metal (except aluminum) production and processing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Foundries,NA,0.01
2015,Canada,Salaried employees paid a fixed salary,Fabricated metal product manufacturing,NA,0.18
2015,Canada,Salaried employees paid a fixed salary,Forging and stamping,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Cutlery and hand tool manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Architectural and structural metals manufacturing,NA,0.07
2015,Canada,Salaried employees paid a fixed salary,"Boiler, tank and shipping container manufacturing",NA,0.02
2015,Canada,Salaried employees paid a fixed salary,Hardware manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Spring and wire product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,"Machine shops, turned product, and screw, nut and bolt manufacturing",NA,NA
2015,Canada,Salaried employees paid a fixed salary,"Coating, engraving, cold and heat treating and allied activities",NA,0.01
2015,Canada,Salaried employees paid a fixed salary,Other fabricated metal product manufacturing,NA,0.03
2015,Canada,Salaried employees paid a fixed salary,Machinery manufacturing,NA,0.28
2015,Canada,Salaried employees paid a fixed salary,"Agricultural, construction and mining machinery manufacturing",NA,0.06
2015,Canada,Salaried employees paid a fixed salary,Industrial machinery manufacturing,NA,0.03
2015,Canada,Salaried employees paid a fixed salary,Commercial and service industry machinery manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",NA,NA
2015,Canada,Salaried employees paid a fixed salary,Metalworking machinery manufacturing,NA,0.04
2015,Canada,Salaried employees paid a fixed salary,"Engine, turbine and power transmission equipment manufacturing",NA,NA
2015,Canada,Salaried employees paid a fixed salary,Other general-purpose machinery manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Computer and electronic product manufacturing,NA,0.21
2015,Canada,Salaried employees paid a fixed salary,Computer and peripheral equipment manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Communications equipment manufacturing,NA,0.06
2015,Canada,Salaried employees paid a fixed salary,Audio and video equipment manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Semiconductor and other electronic component manufacturing,NA,0.04
2015,Canada,Salaried employees paid a fixed salary,"Navigational, measuring, medical and control instruments manufacturing",NA,NA
2015,Canada,Salaried employees paid a fixed salary,"Electrical equipment, appliance and component manufacturing",NA,NA
2015,Canada,Salaried employees paid a fixed salary,Electric lighting equipment manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Household appliance manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Electrical equipment manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Other electrical equipment and component manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Transportation equipment manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Motor vehicle manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Motor vehicle parts manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Aerospace product and parts manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Ship and boat building,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Other transportation equipment manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Furniture and related product manufacturing,NA,0.03
2015,Canada,Salaried employees paid a fixed salary,Household and institutional furniture and kitchen cabinet manufacturing,NA,0.02
2015,Canada,Salaried employees paid a fixed salary,Office furniture (including fixtures) manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Other furniture-related product manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Miscellaneous manufacturing,NA,0.15
2015,Canada,Salaried employees paid a fixed salary,Medical equipment and supplies manufacturing,NA,NA
2015,Canada,Salaried employees paid a fixed salary,Other miscellaneous manufacturing,NA,0.09
2015,Canada,Employees paid by the hour,Manufacturing,NA,6.44
2015,Canada,Employees paid by the hour,Non-durable goods,NA,2.56
2015,Canada,Employees paid by the hour,Food manufacturing,NA,1.1
2015,Canada,Employees paid by the hour,Animal food manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Grain and oilseed milling,NA,NA
2015,Canada,Employees paid by the hour,Sugar and confectionery product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Fruit and vegetable preserving and specialty food manufacturing,NA,0.09
2015,Canada,Employees paid by the hour,Dairy product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Meat product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Seafood product preparation and packaging,NA,0.11
2015,Canada,Employees paid by the hour,Bakeries and tortilla manufacturing,NA,0.22
2015,Canada,Employees paid by the hour,Other food manufacturing,NA,0.13
2015,Canada,Employees paid by the hour,Beverage and tobacco product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Beverage manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Tobacco manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Cannabis product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Textile mills,NA,0.03
2015,Canada,Employees paid by the hour,"Fibre, yarn and thread mills",NA,NA
2015,Canada,Employees paid by the hour,Fabric mills,NA,0.02
2015,Canada,Employees paid by the hour,Textile and fabric finishing and fabric coating,NA,0.01
2015,Canada,Employees paid by the hour,Textile product mills,NA,0.04
2015,Canada,Employees paid by the hour,Clothing manufacturing,NA,0.08
2015,Canada,Employees paid by the hour,Cut and sew clothing manufacturing,NA,0.06
2015,Canada,Employees paid by the hour,Leather and allied product manufacturing,NA,0.02
2015,Canada,Employees paid by the hour,Leather and hide tanning and finishing,NA,NA
2015,Canada,Employees paid by the hour,Footwear manufacturing,NA,0.01
2015,Canada,Employees paid by the hour,Other leather and allied product manufacturing,NA,0.01
2015,Canada,Employees paid by the hour,Paper manufacturing,NA,0.24
2015,Canada,Employees paid by the hour,"Pulp, paper and paperboard mills",NA,NA
2015,Canada,Employees paid by the hour,Printing and related support activities,NA,0.21
2015,Canada,Employees paid by the hour,Petroleum and coal product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Chemical manufacturing,NA,0.23
2015,Canada,Employees paid by the hour,Basic chemical manufacturing,NA,NA
2015,Canada,Employees paid by the hour,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",NA,NA
2015,Canada,Employees paid by the hour,"Pesticide, fertilizer and other agricultural chemical manufacturing",NA,NA
2015,Canada,Employees paid by the hour,Pharmaceutical and medicine manufacturing,NA,NA
2015,Canada,Employees paid by the hour,"Soap, cleaning compound and toilet preparation manufacturing",NA,0.05
2015,Canada,Employees paid by the hour,Other chemical product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Rubber product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Durable goods,NA,3.88
2015,Canada,Employees paid by the hour,Wood product manufacturing,NA,0.46
2015,Canada,Employees paid by the hour,Sawmills and wood preservation,NA,0.19
2015,Canada,Employees paid by the hour,"Veneer, plywood and engineered wood product manufacturing",NA,0.09
2015,Canada,Employees paid by the hour,Other wood product manufacturing,NA,0.19
2015,Canada,Employees paid by the hour,Non-metallic mineral product manufacturing,NA,0.24
2015,Canada,Employees paid by the hour,Clay product and refractory manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Glass and glass product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Cement and concrete product manufacturing,NA,0.15
2015,Canada,Employees paid by the hour,Lime and gypsum product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Other non-metallic mineral product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Primary metal manufacturing,NA,0.22
2015,Canada,Employees paid by the hour,Iron and steel mills and ferro-alloy manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Steel product manufacturing from purchased steel,NA,NA
2015,Canada,Employees paid by the hour,Alumina and aluminum production and processing,NA,NA
2015,Canada,Employees paid by the hour,Non-ferrous metal (except aluminum) production and processing,NA,NA
2015,Canada,Employees paid by the hour,Foundries,NA,0.04
2015,Canada,Employees paid by the hour,Fabricated metal product manufacturing,NA,0.72
2015,Canada,Employees paid by the hour,Forging and stamping,NA,NA
2015,Canada,Employees paid by the hour,Cutlery and hand tool manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Architectural and structural metals manufacturing,NA,0.29
2015,Canada,Employees paid by the hour,"Boiler, tank and shipping container manufacturing",NA,0.06
2015,Canada,Employees paid by the hour,Hardware manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Spring and wire product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,"Machine shops, turned product, and screw, nut and bolt manufacturing",NA,NA
2015,Canada,Employees paid by the hour,"Coating, engraving, cold and heat treating and allied activities",NA,0.05
2015,Canada,Employees paid by the hour,Other fabricated metal product manufacturing,NA,0.09
2015,Canada,Employees paid by the hour,Machinery manufacturing,NA,0.53
2015,Canada,Employees paid by the hour,"Agricultural, construction and mining machinery manufacturing",NA,0.14
2015,Canada,Employees paid by the hour,Industrial machinery manufacturing,NA,0.05
2015,Canada,Employees paid by the hour,Commercial and service industry machinery manufacturing,NA,NA
2015,Canada,Employees paid by the hour,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",NA,NA
2015,Canada,Employees paid by the hour,Metalworking machinery manufacturing,NA,0.09
2015,Canada,Employees paid by the hour,"Engine, turbine and power transmission equipment manufacturing",NA,NA
2015,Canada,Employees paid by the hour,Other general-purpose machinery manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Computer and electronic product manufacturing,NA,0.13
2015,Canada,Employees paid by the hour,Computer and peripheral equipment manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Communications equipment manufacturing,NA,0.03
2015,Canada,Employees paid by the hour,Audio and video equipment manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Semiconductor and other electronic component manufacturing,NA,0.04
2015,Canada,Employees paid by the hour,"Navigational, measuring, medical and control instruments manufacturing",NA,NA
2015,Canada,Employees paid by the hour,"Electrical equipment, appliance and component manufacturing",NA,NA
2015,Canada,Employees paid by the hour,Electric lighting equipment manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Household appliance manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Electrical equipment manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Other electrical equipment and component manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Transportation equipment manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Motor vehicle manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Motor vehicle parts manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Aerospace product and parts manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Ship and boat building,NA,0.04
2015,Canada,Employees paid by the hour,Other transportation equipment manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Furniture and related product manufacturing,NA,0.34
2015,Canada,Employees paid by the hour,Household and institutional furniture and kitchen cabinet manufacturing,NA,0.21
2015,Canada,Employees paid by the hour,Office furniture (including fixtures) manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Other furniture-related product manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Miscellaneous manufacturing,NA,0.18
2015,Canada,Employees paid by the hour,Medical equipment and supplies manufacturing,NA,NA
2015,Canada,Employees paid by the hour,Other miscellaneous manufacturing,NA,0.13
2015,Newfoundland and Labrador,All employees,Manufacturing,10,5.86
2015,Newfoundland and Labrador,All employees,Non-durable goods,NA,4.39
2015,Newfoundland and Labrador,All employees,Food manufacturing,NA,3.44
2015,Newfoundland and Labrador,All employees,Seafood product preparation and packaging,NA,2.89
2015,Newfoundland and Labrador,All employees,Cannabis product manufacturing,NA,NA
2015,Newfoundland and Labrador,All employees,Durable goods,NA,1.47
2015,Newfoundland and Labrador,All employees,Sawmills and wood preservation,NA,NA
2015,Newfoundland and Labrador,All employees,Ship and boat building,NA,0.2
2015,Newfoundland and Labrador,All employees,Other miscellaneous manufacturing,NA,0.06
2015,Newfoundland and Labrador,Salaried employees paid a fixed salary,Manufacturing,NA,NA
2015,Newfoundland and Labrador,Salaried employees paid a fixed salary,Non-durable goods,NA,NA
2015,Newfoundland and Labrador,Salaried employees paid a fixed salary,Food manufacturing,NA,NA
2015,Newfoundland and Labrador,Salaried employees paid a fixed salary,Cannabis product manufacturing,NA,NA
2015,Newfoundland and Labrador,Salaried employees paid a fixed salary,Durable goods,NA,NA
2015,Newfoundland and Labrador,Salaried employees paid a fixed salary,Other miscellaneous manufacturing,NA,NA
2015,Newfoundland and Labrador,Employees paid by the hour,Manufacturing,NA,NA
2015,Newfoundland and Labrador,Employees paid by the hour,Non-durable goods,NA,NA
2015,Newfoundland and Labrador,Employees paid by the hour,Food manufacturing,NA,NA
2015,Newfoundland and Labrador,Employees paid by the hour,Cannabis product manufacturing,NA,NA
2015,Newfoundland and Labrador,Employees paid by the hour,Durable goods,NA,NA
2015,Newfoundland and Labrador,Employees paid by the hour,Other miscellaneous manufacturing,NA,NA
2015,Prince Edward Island,All employees,Manufacturing,11,7.67
2015,Prince Edward Island,All employees,Non-durable goods,NA,5.03
2015,Prince Edward Island,All employees,Food manufacturing,NA,3.59
2015,Prince Edward Island,All employees,Seafood product preparation and packaging,NA,NA
2015,Prince Edward Island,All employees,Cannabis product manufacturing,NA,NA
2015,Prince Edward Island,All employees,Printing and related support activities,NA,NA
2015,Prince Edward Island,All employees,Durable goods,NA,2.64
2015,Prince Edward Island,Salaried employees paid a fixed salary,Manufacturing,NA,2.34
2015,Prince Edward Island,Salaried employees paid a fixed salary,Food manufacturing,NA,NA
2015,Prince Edward Island,Salaried employees paid a fixed salary,Seafood product preparation and packaging,NA,NA
2015,Prince Edward Island,Salaried employees paid a fixed salary,Cannabis product manufacturing,NA,NA
2015,Prince Edward Island,Salaried employees paid a fixed salary,Durable goods,NA,NA
2015,Prince Edward Island,Employees paid by the hour,Manufacturing,NA,5.09
2015,Prince Edward Island,Employees paid by the hour,Food manufacturing,NA,NA
2015,Prince Edward Island,Employees paid by the hour,Seafood product preparation and packaging,NA,NA
2015,Prince Edward Island,Employees paid by the hour,Cannabis product manufacturing,NA,NA
2015,Prince Edward Island,Employees paid by the hour,Durable goods,NA,NA
2015,Nova Scotia,All employees,Manufacturing,12,7.45
2015,Nova Scotia,All employees,Non-durable goods,NA,4.56
2015,Nova Scotia,All employees,Food manufacturing,NA,2.02
2015,Nova Scotia,All employees,Animal food manufacturing,NA,NA
2015,Nova Scotia,All employees,Dairy product manufacturing,NA,0.22
2015,Nova Scotia,All employees,Meat product manufacturing,NA,NA
2015,Nova Scotia,All employees,Seafood product preparation and packaging,NA,1.12
2015,Nova Scotia,All employees,Bakeries and tortilla manufacturing,NA,0.24
2015,Nova Scotia,All employees,Beverage and tobacco product manufacturing,NA,0.21
2015,Nova Scotia,All employees,Cannabis product manufacturing,NA,NA
2015,Nova Scotia,All employees,Fabric mills,NA,NA
2015,Nova Scotia,All employees,Clothing manufacturing,NA,0.12
2015,Nova Scotia,All employees,Paper manufacturing,NA,0.26
2015,Nova Scotia,All employees,"Pulp, paper and paperboard mills",NA,NA
2015,Nova Scotia,All employees,Printing and related support activities,NA,0.17
2015,Nova Scotia,All employees,Plastics and rubber products manufacturing,NA,1.3
2015,Nova Scotia,All employees,Durable goods,NA,2.89
2015,Nova Scotia,All employees,Wood product manufacturing,NA,0.46
2015,Nova Scotia,All employees,Sawmills and wood preservation,NA,0.23
2015,Nova Scotia,All employees,"Veneer, plywood and engineered wood product manufacturing",NA,0.09
2015,Nova Scotia,All employees,Other wood product manufacturing,NA,0.14
2015,Nova Scotia,All employees,Non-metallic mineral product manufacturing,NA,0.17
2015,Nova Scotia,All employees,Cement and concrete product manufacturing,NA,0.15
2015,Nova Scotia,All employees,Other non-metallic mineral product manufacturing,NA,NA
2015,Nova Scotia,All employees,Fabricated metal product manufacturing,NA,0.51
2015,Nova Scotia,All employees,Spring and wire product manufacturing,NA,NA
2015,Nova Scotia,All employees,Machinery manufacturing,NA,0.24
2015,Nova Scotia,All employees,Commercial and service industry machinery manufacturing,NA,0.08
