"Year","Geography","Supply and demand characteristics","Value"
"2015","Northwest Territories","Total industrial",0.72
"2015","Northwest Territories","Total transportation",1.92
"2015","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2015","Northwest Territories","Residential",0.39
"2015","Northwest Territories","Public administration",0.07
"2015","Northwest Territories","Commercial and other institutional",1
"2015","Nunavut","Energy use, final demand",3.28
"2015","Nunavut","Total industrial",0.6
"2015","Nunavut","Total transportation",1.67
"2015","Nunavut","Agriculture, fishing, hunting and trapping",0.05
"2015","Nunavut","Residential",0.42
"2015","Nunavut","Public administration",0.17
"2015","Nunavut","Commercial and other institutional",0.37
"2016","Canada","Energy use, final demand",3.92
"2016","Canada","Total industrial",1.28
"2016","Canada","Total transportation",1.27
"2016","Canada","Agriculture, fishing, hunting and trapping",0.14
"2016","Canada","Residential",0.63
"2016","Canada","Public administration",0.06
"2016","Canada","Commercial and other institutional",0.54
"2016","Newfoundland and Labrador","Energy use, final demand",3.8
"2016","Newfoundland and Labrador","Total industrial",0.83
"2016","Newfoundland and Labrador","Total transportation",1.6
"2016","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.01
"2016","Newfoundland and Labrador","Residential",0.6
"2016","Newfoundland and Labrador","Public administration",0.13
"2016","Newfoundland and Labrador","Commercial and other institutional",0.62
"2016","Prince Edward Island","Energy use, final demand",3.64
"2016","Prince Edward Island","Total industrial",0.39
"2016","Prince Edward Island","Total transportation",1.8
"2016","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.35
"2016","Prince Edward Island","Residential",0.57
"2016","Prince Edward Island","Public administration",0.08
"2016","Prince Edward Island","Commercial and other institutional",0.45
"2016","Nova Scotia","Energy use, final demand",3.38
"2016","Nova Scotia","Total industrial",0.41
"2016","Nova Scotia","Total transportation",1.59
"2016","Nova Scotia","Agriculture, fishing, hunting and trapping",0.04
"2016","Nova Scotia","Residential",0.72
"2016","Nova Scotia","Public administration",0.18
"2016","Nova Scotia","Commercial and other institutional",0.45
"2016","New Brunswick","Energy use, final demand",4.18
"2016","New Brunswick","Total industrial",1.03
"2016","New Brunswick","Total transportation",1.73
"2016","New Brunswick","Agriculture, fishing, hunting and trapping",0.06
"2016","New Brunswick","Residential",0.81
"2016","New Brunswick","Public administration",0.12
"2016","New Brunswick","Commercial and other institutional",0.43
"2016","Quebec","Energy use, final demand",3.88
"2016","Quebec","Total industrial",1.25
"2016","Quebec","Total transportation",1.26
"2016","Quebec","Agriculture, fishing, hunting and trapping",0.08
"2016","Quebec","Residential",0.69
"2016","Quebec","Public administration",0.09
"2016","Quebec","Commercial and other institutional",0.5
"2016","Ontario","Energy use, final demand",3.13
"2016","Ontario","Total industrial",0.75
"2016","Ontario","Total transportation",1.07
"2016","Ontario","Agriculture, fishing, hunting and trapping",0.08
"2016","Ontario","Residential",0.62
"2016","Ontario","Public administration",0.03
"2016","Ontario","Commercial and other institutional",0.58
"2016","Manitoba","Energy use, final demand",4.09
"2016","Manitoba","Total industrial",0.91
"2016","Manitoba","Total transportation",1.35
"2016","Manitoba","Agriculture, fishing, hunting and trapping",0.34
"2016","Manitoba","Residential",0.72
"2016","Manitoba","Public administration",0.08
"2016","Manitoba","Commercial and other institutional",0.69
"2016","Saskatchewan","Energy use, final demand",6.21
"2016","Saskatchewan","Total industrial",1.93
"2016","Saskatchewan","Total transportation",2.02
"2016","Saskatchewan","Agriculture, fishing, hunting and trapping",0.94
"2016","Saskatchewan","Residential",0.6
"2016","Saskatchewan","Public administration",0.13
"2016","Saskatchewan","Commercial and other institutional",0.59
"2016","Alberta","Energy use, final demand",6.03
"2016","Alberta","Total industrial",3.13
"2016","Alberta","Total transportation",1.41
"2016","Alberta","Agriculture, fishing, hunting and trapping",0.2
"2016","Alberta","Residential",0.63
"2016","Alberta","Public administration",0.06
"2016","Alberta","Commercial and other institutional",0.58
"2016","British Columbia","Energy use, final demand",3.29
"2016","British Columbia","Total industrial",0.9
"2016","British Columbia","Total transportation",1.31
"2016","British Columbia","Agriculture, fishing, hunting and trapping",0.11
"2016","British Columbia","Residential",0.52
"2016","British Columbia","Public administration",0.03
"2016","British Columbia","Commercial and other institutional",0.4
"2016","Yukon","Energy use, final demand",2.83
"2016","Yukon","Total industrial",0.56
"2016","Yukon","Total transportation",1.61
"2016","Yukon","Agriculture, fishing, hunting and trapping",0
"2016","Yukon","Residential",0.24
"2016","Yukon","Public administration",0.05
"2016","Yukon","Commercial and other institutional",0.37
"2016","Northwest Territories","Energy use, final demand",3.34
"2016","Northwest Territories","Total industrial",0.58
"2016","Northwest Territories","Total transportation",1.98
"2016","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2016","Northwest Territories","Residential",0.3
"2016","Northwest Territories","Public administration",0.16
"2016","Northwest Territories","Commercial and other institutional",0.31
"2016","Nunavut","Energy use, final demand",2.86
"2016","Nunavut","Total industrial",0.81
"2016","Nunavut","Total transportation",1.04
"2016","Nunavut","Agriculture, fishing, hunting and trapping",0.07
"2016","Nunavut","Residential",0.38
"2016","Nunavut","Public administration",0.18
"2016","Nunavut","Commercial and other institutional",0.37
"2017","Canada","Energy use, final demand",3.95
"2017","Canada","Total industrial",1.31
"2017","Canada","Total transportation",1.26
"2017","Canada","Agriculture, fishing, hunting and trapping",0.14
"2017","Canada","Residential",0.62
"2017","Canada","Public administration",0.06
"2017","Canada","Commercial and other institutional",0.57
"2017","Newfoundland and Labrador","Energy use, final demand",3.72
"2017","Newfoundland and Labrador","Total industrial",0.82
"2017","Newfoundland and Labrador","Total transportation",1.6
"2017","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.01
"2017","Newfoundland and Labrador","Residential",0.63
"2017","Newfoundland and Labrador","Public administration",0.12
"2017","Newfoundland and Labrador","Commercial and other institutional",0.54
"2017","Prince Edward Island","Energy use, final demand",3.5
"2017","Prince Edward Island","Total industrial",0.4
"2017","Prince Edward Island","Total transportation",1.7
"2017","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.34
"2017","Prince Edward Island","Residential",0.55
"2017","Prince Edward Island","Public administration",0.07
"2017","Prince Edward Island","Commercial and other institutional",0.45
"2017","Nova Scotia","Energy use, final demand",3.47
"2017","Nova Scotia","Total industrial",0.44
"2017","Nova Scotia","Total transportation",1.61
"2017","Nova Scotia","Agriculture, fishing, hunting and trapping",0.05
"2017","Nova Scotia","Residential",0.73
"2017","Nova Scotia","Public administration",0.18
"2017","Nova Scotia","Commercial and other institutional",0.46
"2017","New Brunswick","Energy use, final demand",3.95
"2017","New Brunswick","Total industrial",1.12
"2017","New Brunswick","Total transportation",1.5
"2017","New Brunswick","Agriculture, fishing, hunting and trapping",0.05
"2017","New Brunswick","Residential",0.78
"2017","New Brunswick","Public administration",0.1
"2017","New Brunswick","Commercial and other institutional",0.39
"2017","Quebec","Energy use, final demand",
"2017","Quebec","Total industrial",1.22
"2017","Quebec","Total transportation",1.25
"2017","Quebec","Agriculture, fishing, hunting and trapping",0.08
"2017","Quebec","Residential",0.67
"2017","Quebec","Public administration",0.09
"2017","Quebec","Commercial and other institutional",0.52
"2017","Ontario","Energy use, final demand",3.09
"2017","Ontario","Total industrial",0.73
"2017","Ontario","Total transportation",1.05
"2017","Ontario","Agriculture, fishing, hunting and trapping",0.07
"2017","Ontario","Residential",0.6
"2017","Ontario","Public administration",0.03
"2017","Ontario","Commercial and other institutional",0.6
"2017","Manitoba","Energy use, final demand",4.04
"2017","Manitoba","Total industrial",0.86
"2017","Manitoba","Total transportation",1.33
"2017","Manitoba","Agriculture, fishing, hunting and trapping",0.35
"2017","Manitoba","Residential",0.72
"2017","Manitoba","Public administration",0.08
"2017","Manitoba","Commercial and other institutional",0.69
"2017","Saskatchewan","Energy use, final demand",6.51
"2017","Saskatchewan","Total industrial",2.14
"2017","Saskatchewan","Total transportation",2.06
"2017","Saskatchewan","Agriculture, fishing, hunting and trapping",0.93
"2017","Saskatchewan","Residential",0.62
"2017","Saskatchewan","Public administration",0.14
"2017","Saskatchewan","Commercial and other institutional",0.62
"2017","Alberta","Energy use, final demand",6.28
"2017","Alberta","Total industrial",3.33
"2017","Alberta","Total transportation",1.4
"2017","Alberta","Agriculture, fishing, hunting and trapping",0.21
"2017","Alberta","Residential",0.62
"2017","Alberta","Public administration",0.06
"2017","Alberta","Commercial and other institutional",0.66
"2017","British Columbia","Energy use, final demand",
"2017","British Columbia","Total industrial",0.9
"2017","British Columbia","Total transportation",1.31
"2017","British Columbia","Agriculture, fishing, hunting and trapping",0.11
"2017","British Columbia","Residential",0.55
"2017","British Columbia","Public administration",0.03
"2017","British Columbia","Commercial and other institutional",0.42
"2017","Yukon","Energy use, final demand",2.98
"2017","Yukon","Total industrial",0.69
"2017","Yukon","Total transportation",1.62
"2017","Yukon","Agriculture, fishing, hunting and trapping",0
"2017","Yukon","Residential",0.26
"2017","Yukon","Public administration",0.05
"2017","Yukon","Commercial and other institutional",0.35
"2017","Northwest Territories","Energy use, final demand",3.62
"2017","Northwest Territories","Total industrial",0.41
"2017","Northwest Territories","Total transportation",2.31
"2017","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2017","Northwest Territories","Residential",0.23
"2017","Northwest Territories","Public administration",0.34
"2017","Northwest Territories","Commercial and other institutional",0.33
"2017","Nunavut","Energy use, final demand",2.35
"2017","Nunavut","Total industrial",0.68
"2017","Nunavut","Total transportation",0.82
"2017","Nunavut","Agriculture, fishing, hunting and trapping",0.06
"2017","Nunavut","Residential",0.33
"2017","Nunavut","Public administration",0.15
"2017","Nunavut","Commercial and other institutional",0.32
"2018","Canada","Energy use, final demand",4.02
"2018","Canada","Total industrial",1.35
"2018","Canada","Total transportation",1.27
"2018","Canada","Agriculture, fishing, hunting and trapping",0.14
"2018","Canada","Residential",0.62
"2018","Canada","Public administration",0.06
"2018","Canada","Commercial and other institutional",0.57
"2018","Newfoundland and Labrador","Energy use, final demand",3.79
"2018","Newfoundland and Labrador","Total industrial",0.91
"2018","Newfoundland and Labrador","Total transportation",1.53
"2018","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.01
"2018","Newfoundland and Labrador","Residential",0.63
"2018","Newfoundland and Labrador","Public administration",0.11
"2018","Newfoundland and Labrador","Commercial and other institutional",0.59
"2018","Prince Edward Island","Energy use, final demand",3.39
"2018","Prince Edward Island","Total industrial",0.33
"2018","Prince Edward Island","Total transportation",1.65
"2018","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.35
"2018","Prince Edward Island","Residential",0.52
"2018","Prince Edward Island","Public administration",0.08
"2018","Prince Edward Island","Commercial and other institutional",0.45
"2018","Nova Scotia","Energy use, final demand",3.53
"2018","Nova Scotia","Total industrial",0.43
"2018","Nova Scotia","Total transportation",1.64
"2018","Nova Scotia","Agriculture, fishing, hunting and trapping",0.05
"2018","Nova Scotia","Residential",0.77
"2018","Nova Scotia","Public administration",0.17
"2018","Nova Scotia","Commercial and other institutional",0.47
"2018","New Brunswick","Energy use, final demand",4
"2018","New Brunswick","Total industrial",1.17
"2018","New Brunswick","Total transportation",1.46
"2018","New Brunswick","Agriculture, fishing, hunting and trapping",0.05
"2018","New Brunswick","Residential",0.79
"2018","New Brunswick","Public administration",0.1
"2018","New Brunswick","Commercial and other institutional",0.43
"2018","Quebec","Energy use, final demand",3.84
"2018","Quebec","Total industrial",1.25
"2018","Quebec","Total transportation",1.21
"2018","Quebec","Agriculture, fishing, hunting and trapping",0.08
"2018","Quebec","Residential",0.69
"2018","Quebec","Public administration",0.1
"2018","Quebec","Commercial and other institutional",0.51
"2018","Ontario","Energy use, final demand",3.09
"2018","Ontario","Total industrial",0.71
"2018","Ontario","Total transportation",1.05
"2018","Ontario","Agriculture, fishing, hunting and trapping",0.07
"2018","Ontario","Residential",0.6
"2018","Ontario","Public administration",0.03
"2018","Ontario","Commercial and other institutional",0.62
"2018","Manitoba","Energy use, final demand",4.19
"2018","Manitoba","Total industrial",0.78
"2018","Manitoba","Total transportation",1.47
"2018","Manitoba","Agriculture, fishing, hunting and trapping",0.37
"2018","Manitoba","Residential",0.77
"2018","Manitoba","Public administration",0.08
"2018","Manitoba","Commercial and other institutional",0.73
"2018","Saskatchewan","Energy use, final demand",6.88
"2018","Saskatchewan","Total industrial",2.38
"2018","Saskatchewan","Total transportation",2.09
"2018","Saskatchewan","Agriculture, fishing, hunting and trapping",0.96
"2018","Saskatchewan","Residential",0.66
"2018","Saskatchewan","Public administration",0.14
"2018","Saskatchewan","Commercial and other institutional",0.65
"2018","Alberta","Energy use, final demand",6.57
"2018","Alberta","Total industrial",3.58
"2018","Alberta","Total transportation",1.45
"2018","Alberta","Agriculture, fishing, hunting and trapping",0.2
"2018","Alberta","Residential",0.63
"2018","Alberta","Public administration",0.06
"2018","Alberta","Commercial and other institutional",0.65
"2018","British Columbia","Energy use, final demand",3.32
"2018","British Columbia","Total industrial",0.91
"2018","British Columbia","Total transportation",1.36
"2018","British Columbia","Agriculture, fishing, hunting and trapping",0.11
"2018","British Columbia","Residential",0.51
"2018","British Columbia","Public administration",0.03
"2018","British Columbia","Commercial and other institutional",0.41
"2018","Yukon","Energy use, final demand",3.28
"2018","Yukon","Total industrial",0.85
"2018","Yukon","Total transportation",1.73
"2018","Yukon","Agriculture, fishing, hunting and trapping",0
"2018","Yukon","Residential",0.25
"2018","Yukon","Public administration",0.05
"2018","Yukon","Commercial and other institutional",0.39
"2018","Northwest Territories","Energy use, final demand",3.53
"2018","Northwest Territories","Total industrial",0.54
"2018","Northwest Territories","Total transportation",2.07
"2018","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2018","Northwest Territories","Residential",0.26
"2018","Northwest Territories","Public administration",0.3
"2018","Northwest Territories","Commercial and other institutional",0.36
"2018","Nunavut","Energy use, final demand",2.44
"2018","Nunavut","Total industrial",0.91
"2018","Nunavut","Total transportation",0.77
"2018","Nunavut","Agriculture, fishing, hunting and trapping",0.05
"2018","Nunavut","Residential",0.32
"2018","Nunavut","Public administration",0.12
"2018","Nunavut","Commercial and other institutional",0.28
"2019","Canada","Energy use, final demand",3.98
"2019","Canada","Total industrial",1.34
"2019","Canada","Total transportation",1.25
"2019","Canada","Agriculture, fishing, hunting and trapping",0.13
"2019","Canada","Residential",0.62
"2019","Canada","Public administration",0.06
"2019","Canada","Commercial and other institutional",0.57
"2019","Newfoundland and Labrador","Energy use, final demand",3.65
"2019","Newfoundland and Labrador","Total industrial",0.93
"2019","Newfoundland and Labrador","Total transportation",1.43
"2019","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.01
"2019","Newfoundland and Labrador","Residential",0.6
"2019","Newfoundland and Labrador","Public administration",0.1
"2019","Newfoundland and Labrador","Commercial and other institutional",0.58
"2019","Prince Edward Island","Energy use, final demand",3.36
"2019","Prince Edward Island","Total industrial",0.4
"2019","Prince Edward Island","Total transportation",1.58
"2019","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.35
"2019","Prince Edward Island","Residential",0.52
"2019","Prince Edward Island","Public administration",0.08
"2019","Prince Edward Island","Commercial and other institutional",0.43
"2019","Nova Scotia","Energy use, final demand",3.34
"2019","Nova Scotia","Total industrial",0.37
"2019","Nova Scotia","Total transportation",1.55
"2019","Nova Scotia","Agriculture, fishing, hunting and trapping",0.04
"2019","Nova Scotia","Residential",0.75
"2019","Nova Scotia","Public administration",0.16
"2019","Nova Scotia","Commercial and other institutional",0.46
"2019","New Brunswick","Energy use, final demand",3.93
"2019","New Brunswick","Total industrial",1.22
"2019","New Brunswick","Total transportation",1.4
"2019","New Brunswick","Agriculture, fishing, hunting and trapping",0.05
"2019","New Brunswick","Residential",0.74
"2019","New Brunswick","Public administration",0.1
"2019","New Brunswick","Commercial and other institutional",0.42
"2019","Quebec","Energy use, final demand",3.83
"2019","Quebec","Total industrial",1.27
"2019","Quebec","Total transportation",1.2
"2019","Quebec","Agriculture, fishing, hunting and trapping",0.08
"2019","Quebec","Residential",0.68
"2019","Quebec","Public administration",0.09
"2019","Quebec","Commercial and other institutional",0.51
"2019","Ontario","Energy use, final demand",3.03
"2019","Ontario","Total industrial",0.67
"2019","Ontario","Total transportation",1.04
"2019","Ontario","Agriculture, fishing, hunting and trapping",0.07
"2019","Ontario","Residential",0.6
"2019","Ontario","Public administration",0.03
"2019","Ontario","Commercial and other institutional",0.62
"2019","Manitoba","Energy use, final demand",4.07
"2019","Manitoba","Total industrial",0.75
"2019","Manitoba","Total transportation",1.45
"2019","Manitoba","Agriculture, fishing, hunting and trapping",0.34
"2019","Manitoba","Residential",0.76
"2019","Manitoba","Public administration",0.07
"2019","Manitoba","Commercial and other institutional",0.7
"2019","Saskatchewan","Energy use, final demand",6.9
"2019","Saskatchewan","Total industrial",2.39
"2019","Saskatchewan","Total transportation",2.06
"2019","Saskatchewan","Agriculture, fishing, hunting and trapping",0.91
"2019","Saskatchewan","Residential",0.69
"2019","Saskatchewan","Public administration",0.14
"2019","Saskatchewan","Commercial and other institutional",0.71
"2019","Alberta","Energy use, final demand",6.74
"2019","Alberta","Total industrial",3.69
"2019","Alberta","Total transportation",1.48
"2019","Alberta","Agriculture, fishing, hunting and trapping",0.19
"2019","Alberta","Residential",0.63
"2019","Alberta","Public administration",0.06
"2019","Alberta","Commercial and other institutional",0.68
"2019","British Columbia","Energy use, final demand",3.24
"2019","British Columbia","Total industrial",0.85
"2019","British Columbia","Total transportation",1.33
"2019","British Columbia","Agriculture, fishing, hunting and trapping",0.11
"2019","British Columbia","Residential",0.51
"2019","British Columbia","Public administration",0.03
"2019","British Columbia","Commercial and other institutional",0.41
"2019","Yukon","Energy use, final demand",3.41
"2019","Yukon","Total industrial",0.95
"2019","Yukon","Total transportation",1.76
"2019","Yukon","Agriculture, fishing, hunting and trapping",0
"2019","Yukon","Residential",0.26
"2019","Yukon","Public administration",0.06
"2019","Yukon","Commercial and other institutional",0.38
"2019","Northwest Territories","Energy use, final demand",3.6
"2019","Northwest Territories","Total industrial",0.57
"2019","Northwest Territories","Total transportation",2.02
"2019","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2019","Northwest Territories","Residential",0.27
"2019","Northwest Territories","Public administration",0.33
"2019","Northwest Territories","Commercial and other institutional",0.41
"2019","Nunavut","Energy use, final demand",2.32
"2019","Nunavut","Total industrial",0.93
"2019","Nunavut","Total transportation",0.7
"2019","Nunavut","Agriculture, fishing, hunting and trapping",0.04
"2019","Nunavut","Residential",0.29
"2019","Nunavut","Public administration",0.11
"2019","Nunavut","Commercial and other institutional",0.25
"2020","Canada","Energy use, final demand",3.76
"2020","Canada","Total industrial",1.32
"2020","Canada","Total transportation",1.04
"2020","Canada","Agriculture, fishing, hunting and trapping",0.14
"2020","Canada","Residential",0.64
"2020","Canada","Public administration",0.06
"2020","Canada","Commercial and other institutional",0.56
"2020","Newfoundland and Labrador","Energy use, final demand",3.2
"2020","Newfoundland and Labrador","Total industrial",0.81
"2020","Newfoundland and Labrador","Total transportation",1.16
"2020","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.02
"2020","Newfoundland and Labrador","Residential",0.61
"2020","Newfoundland and Labrador","Public administration",0.08
"2020","Newfoundland and Labrador","Commercial and other institutional",0.53
"2020","Prince Edward Island","Energy use, final demand",3.43
"2020","Prince Edward Island","Total industrial",0.61
"2020","Prince Edward Island","Total transportation",1.43
"2020","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.37
"2020","Prince Edward Island","Residential",0.52
"2020","Prince Edward Island","Public administration",0.07
"2020","Prince Edward Island","Commercial and other institutional",0.43
"2020","Nova Scotia","Energy use, final demand",3.11
"2020","Nova Scotia","Total industrial",0.32
"2020","Nova Scotia","Total transportation",1.38
"2020","Nova Scotia","Agriculture, fishing, hunting and trapping",0.06
"2020","Nova Scotia","Residential",0.76
"2020","Nova Scotia","Public administration",0.15
"2020","Nova Scotia","Commercial and other institutional",0.44
"2020","New Brunswick","Energy use, final demand",3.65
"2020","New Brunswick","Total industrial",1.1
"2020","New Brunswick","Total transportation",1.27
"2020","New Brunswick","Agriculture, fishing, hunting and trapping",0.05
"2020","New Brunswick","Residential",0.74
"2020","New Brunswick","Public administration",0.09
"2020","New Brunswick","Commercial and other institutional",0.4
"2020","Quebec","Energy use, final demand",3.56
"2020","Quebec","Total industrial",1.26
"2020","Quebec","Total transportation",0.94
"2020","Quebec","Agriculture, fishing, hunting and trapping",0.08
"2020","Quebec","Residential",0.7
"2020","Quebec","Public administration",0.09
"2020","Quebec","Commercial and other institutional",0.48
"2020","Ontario","Energy use, final demand",2.79
"2020","Ontario","Total industrial",0.65
"2020","Ontario","Total transportation",0.83
"2020","Ontario","Agriculture, fishing, hunting and trapping",0.07
"2020","Ontario","Residential",0.61
"2020","Ontario","Public administration",0.03
"2020","Ontario","Commercial and other institutional",0.6
"2020","Manitoba","Energy use, final demand",3.93
"2020","Manitoba","Total industrial",0.77
"2020","Manitoba","Total transportation",1.27
"2020","Manitoba","Agriculture, fishing, hunting and trapping",0.35
"2020","Manitoba","Residential",0.77
"2020","Manitoba","Public administration",0.07
"2020","Manitoba","Commercial and other institutional",0.7
"2020","Saskatchewan","Energy use, final demand",6.73
"2020","Saskatchewan","Total industrial",2.45
"2020","Saskatchewan","Total transportation",1.88
"2020","Saskatchewan","Agriculture, fishing, hunting and trapping",0.93
"2020","Saskatchewan","Residential",0.67
"2020","Saskatchewan","Public administration",0.14
"2020","Saskatchewan","Commercial and other institutional",0.67
"2020","Alberta","Energy use, final demand",6.65
"2020","Alberta","Total industrial",3.72
"2020","Alberta","Total transportation",1.29
"2020","Alberta","Agriculture, fishing, hunting and trapping",0.19
"2020","Alberta","Residential",0.68
"2020","Alberta","Public administration",0.07
"2020","Alberta","Commercial and other institutional",0.7
"2020","British Columbia","Energy use, final demand",3.02
"2020","British Columbia","Total industrial",0.8
"2020","British Columbia","Total transportation",1.14
"2020","British Columbia","Agriculture, fishing, hunting and trapping",0.11
"2020","British Columbia","Residential",0.54
"2020","British Columbia","Public administration",0.03
"2020","British Columbia","Commercial and other institutional",0.41
"2020","Yukon","Energy use, final demand",2.88
"2020","Yukon","Total industrial",0.74
"2020","Yukon","Total transportation",1.44
"2020","Yukon","Agriculture, fishing, hunting and trapping",0
"2020","Yukon","Residential",0.29
"2020","Yukon","Public administration",0.05
"2020","Yukon","Commercial and other institutional",0.36
"2020","Northwest Territories","Energy use, final demand",3.38
"2020","Northwest Territories","Total industrial",0.71
"2020","Northwest Territories","Total transportation",1.62
"2020","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2020","Northwest Territories","Residential",0.28
"2020","Northwest Territories","Public administration",0.34
"2020","Northwest Territories","Commercial and other institutional",0.43
"2020","Nunavut","Energy use, final demand",1.81
"2020","Nunavut","Total industrial",0.87
"2020","Nunavut","Total transportation",0.36
"2020","Nunavut","Agriculture, fishing, hunting and trapping",0.03
"2020","Nunavut","Residential",0.28
"2020","Nunavut","Public administration",0.07
"2020","Nunavut","Commercial and other institutional",0.2
"2021","Canada","Energy use, final demand",3.65
"2021","Canada","Total industrial",1.32
"2021","Canada","Total transportation",1.03
"2021","Canada","Agriculture, fishing, hunting and trapping",0.13
"2021","Canada","Residential",0.59
"2021","Canada","Public administration",0.05
"2021","Canada","Commercial and other institutional",0.51
"2021","Newfoundland and Labrador","Energy use, final demand",3.17
"2021","Newfoundland and Labrador","Total industrial",0.86
"2021","Newfoundland and Labrador","Total transportation",1.13
"2021","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.02
"2021","Newfoundland and Labrador","Residential",0.54
"2021","Newfoundland and Labrador","Public administration",0.07
"2021","Newfoundland and Labrador","Commercial and other institutional",0.54
"2021","Prince Edward Island","Energy use, final demand",3.25
"2021","Prince Edward Island","Total industrial",0.57
"2021","Prince Edward Island","Total transportation",1.38
"2021","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.36
