"Year","Series","Household income quintile","Household income decile","Geography","GeoCode","Value"
"2011-2016","Household expenditure per capita","Second quintile",,"Quebec",24,0.632
"2011-2016","Household expenditure per capita","All quintiles",,"Ontario",35,2.008
"2011-2016","Household expenditure per capita","Lowest quintile",,"Ontario",35,2.427
"2011-2016","Household expenditure per capita","Second quintile",,"Ontario",35,2.207
"2011-2016","Household expenditure per capita","All quintiles",,"Manitoba",46,1.125
"2011-2016","Household expenditure per capita","Lowest quintile",,"Manitoba",46,0.954
"2011-2016","Household expenditure per capita","Second quintile",,"Manitoba",46,0.094
"2011-2016","Household expenditure per capita","All quintiles",,"Saskatchewan",47,2.877
"2011-2016","Household expenditure per capita","Lowest quintile",,"Saskatchewan",47,6.696
"2011-2016","Household expenditure per capita","Second quintile",,"Saskatchewan",47,2.955
"2011-2016","Household expenditure per capita","All quintiles",,"Alberta",48,0.408
"2011-2016","Household expenditure per capita","Lowest quintile",,"Alberta",48,-1.816
"2011-2016","Household expenditure per capita","Second quintile",,"Alberta",48,-0.993
"2011-2016","Household expenditure per capita","All quintiles",,"British Columbia",59,0.715
"2011-2016","Household expenditure per capita","Lowest quintile",,"British Columbia",59,-1.253
"2011-2016","Household expenditure per capita","Second quintile",,"British Columbia",59,-0.382
"2012-2017","Household expenditure per capita","All quintiles",,"Canada",,1.519
"2012-2017","Household expenditure per capita","Lowest quintile",,"Canada",,2.029
"2012-2017","Household expenditure per capita","Second quintile",,"Canada",,2.442
"2012-2017","Household expenditure per capita","All quintiles",,"Newfoundland and Labrador",10,1.529
"2012-2017","Household expenditure per capita","Lowest quintile",,"Newfoundland and Labrador",10,4.475
"2012-2017","Household expenditure per capita","Second quintile",,"Newfoundland and Labrador",10,2.789
"2012-2017","Household expenditure per capita","All quintiles",,"Prince Edward Island",11,0.087
"2012-2017","Household expenditure per capita","Lowest quintile",,"Prince Edward Island",11,5.237
"2012-2017","Household expenditure per capita","Second quintile",,"Prince Edward Island",11,0.342
"2012-2017","Household expenditure per capita","All quintiles",,"Nova Scotia",12,0.76
"2012-2017","Household expenditure per capita","Lowest quintile",,"Nova Scotia",12,0.641
"2012-2017","Household expenditure per capita","Second quintile",,"Nova Scotia",12,-1.549
"2012-2017","Household expenditure per capita","All quintiles",,"New Brunswick",13,0.879
"2012-2017","Household expenditure per capita","Lowest quintile",,"New Brunswick",13,-0.079
"2012-2017","Household expenditure per capita","Second quintile",,"New Brunswick",13,-0.279
"2012-2017","Household expenditure per capita","All quintiles",,"Quebec",24,1.624
"2012-2017","Household expenditure per capita","Lowest quintile",,"Quebec",24,2.856
"2012-2017","Household expenditure per capita","Second quintile",,"Quebec",24,1.72
"2012-2017","Household expenditure per capita","All quintiles",,"Ontario",35,1.896
"2012-2017","Household expenditure per capita","Lowest quintile",,"Ontario",35,2.173
"2012-2017","Household expenditure per capita","Second quintile",,"Ontario",35,3.265
"2012-2017","Household expenditure per capita","All quintiles",,"Manitoba",46,1.905
"2012-2017","Household expenditure per capita","Lowest quintile",,"Manitoba",46,1.962
"2012-2017","Household expenditure per capita","Second quintile",,"Manitoba",46,2.225
"2012-2017","Household expenditure per capita","All quintiles",,"Saskatchewan",47,2.495
"2012-2017","Household expenditure per capita","Lowest quintile",,"Saskatchewan",47,3.777
"2012-2017","Household expenditure per capita","Second quintile",,"Saskatchewan",47,3.513
"2012-2017","Household expenditure per capita","All quintiles",,"Alberta",48,-0.872
"2012-2017","Household expenditure per capita","Lowest quintile",,"Alberta",48,-0.797
"2012-2017","Household expenditure per capita","Second quintile",,"Alberta",48,-0.04
"2012-2017","Household expenditure per capita","All quintiles",,"British Columbia",59,2.111
"2012-2017","Household expenditure per capita","Lowest quintile",,"British Columbia",59,2.853
"2012-2017","Household expenditure per capita","Second quintile",,"British Columbia",59,2.77
"2013-2018","Household expenditure per capita","All quintiles",,"Canada",,
"2013-2018","Household expenditure per capita","Lowest quintile",,"Canada",,
"2013-2018","Household expenditure per capita","Second quintile",,"Canada",,
"2013-2018","Household expenditure per capita","All quintiles",,"Newfoundland and Labrador",10,
"2013-2018","Household expenditure per capita","Lowest quintile",,"Newfoundland and Labrador",10,
"2013-2018","Household expenditure per capita","Second quintile",,"Newfoundland and Labrador",10,
"2013-2018","Household expenditure per capita","All quintiles",,"Prince Edward Island",11,
"2013-2018","Household expenditure per capita","Lowest quintile",,"Prince Edward Island",11,
"2013-2018","Household expenditure per capita","Second quintile",,"Prince Edward Island",11,
"2013-2018","Household expenditure per capita","All quintiles",,"Nova Scotia",12,
"2013-2018","Household expenditure per capita","Lowest quintile",,"Nova Scotia",12,
"2013-2018","Household expenditure per capita","Second quintile",,"Nova Scotia",12,
"2013-2018","Household expenditure per capita","All quintiles",,"New Brunswick",13,
"2013-2018","Household expenditure per capita","Lowest quintile",,"New Brunswick",13,
"2013-2018","Household expenditure per capita","Second quintile",,"New Brunswick",13,
"2013-2018","Household expenditure per capita","All quintiles",,"Quebec",24,
"2013-2018","Household expenditure per capita","Lowest quintile",,"Quebec",24,
"2013-2018","Household expenditure per capita","Second quintile",,"Quebec",24,
"2013-2018","Household expenditure per capita","All quintiles",,"Ontario",35,
"2013-2018","Household expenditure per capita","Lowest quintile",,"Ontario",35,
"2013-2018","Household expenditure per capita","Second quintile",,"Ontario",35,
"2013-2018","Household expenditure per capita","All quintiles",,"Manitoba",46,
"2013-2018","Household expenditure per capita","Lowest quintile",,"Manitoba",46,
"2013-2018","Household expenditure per capita","Second quintile",,"Manitoba",46,
"2013-2018","Household expenditure per capita","All quintiles",,"Saskatchewan",47,
"2013-2018","Household expenditure per capita","Lowest quintile",,"Saskatchewan",47,
"2013-2018","Household expenditure per capita","Second quintile",,"Saskatchewan",47,
"2013-2018","Household expenditure per capita","All quintiles",,"Alberta",48,
"2013-2018","Household expenditure per capita","Lowest quintile",,"Alberta",48,
"2013-2018","Household expenditure per capita","Second quintile",,"Alberta",48,
"2013-2018","Household expenditure per capita","All quintiles",,"British Columbia",59,
"2013-2018","Household expenditure per capita","Lowest quintile",,"British Columbia",59,
"2013-2018","Household expenditure per capita","Second quintile",,"British Columbia",59,
"2014-2019","Household expenditure per capita","All quintiles",,"Canada",,1.929
"2014-2019","Household expenditure per capita","Lowest quintile",,"Canada",,1.97
"2014-2019","Household expenditure per capita","Second quintile",,"Canada",,1.924
"2014-2019","Household expenditure per capita","All quintiles",,"Newfoundland and Labrador",10,0.374
"2014-2019","Household expenditure per capita","Lowest quintile",,"Newfoundland and Labrador",10,2.86
"2014-2019","Household expenditure per capita","Second quintile",,"Newfoundland and Labrador",10,0.665
"2014-2019","Household expenditure per capita","All quintiles",,"Prince Edward Island",11,0.296
"2014-2019","Household expenditure per capita","Lowest quintile",,"Prince Edward Island",11,-2.429
"2014-2019","Household expenditure per capita","Second quintile",,"Prince Edward Island",11,1.354
"2014-2019","Household expenditure per capita","All quintiles",,"Nova Scotia",12,1.963
"2014-2019","Household expenditure per capita","Lowest quintile",,"Nova Scotia",12,2.436
"2014-2019","Household expenditure per capita","Second quintile",,"Nova Scotia",12,2.133
"2014-2019","Household expenditure per capita","All quintiles",,"New Brunswick",13,1.881
"2014-2019","Household expenditure per capita","Lowest quintile",,"New Brunswick",13,2.338
"2014-2019","Household expenditure per capita","Second quintile",,"New Brunswick",13,0.815
"2014-2019","Household expenditure per capita","All quintiles",,"Quebec",24,1.991
"2014-2019","Household expenditure per capita","Lowest quintile",,"Quebec",24,1.493
"2014-2019","Household expenditure per capita","Second quintile",,"Quebec",24,1
"2014-2019","Household expenditure per capita","All quintiles",,"Ontario",35,1.724
"2014-2019","Household expenditure per capita","Lowest quintile",,"Ontario",35,0.152
"2014-2019","Household expenditure per capita","Second quintile",,"Ontario",35,3.89
"2014-2019","Household expenditure per capita","All quintiles",,"Manitoba",46,1.696
"2014-2019","Household expenditure per capita","Lowest quintile",,"Manitoba",46,1.64
"2014-2019","Household expenditure per capita","Second quintile",,"Manitoba",46,2.344
"2014-2019","Household expenditure per capita","All quintiles",,"Saskatchewan",47,1.807
"2014-2019","Household expenditure per capita","Lowest quintile",,"Saskatchewan",47,-0.115
"2014-2019","Household expenditure per capita","Second quintile",,"Saskatchewan",47,-0.841
"2014-2019","Household expenditure per capita","All quintiles",,"Alberta",48,0.995
"2014-2019","Household expenditure per capita","Lowest quintile",,"Alberta",48,1.282
"2014-2019","Household expenditure per capita","Second quintile",,"Alberta",48,-0.317
"2014-2019","Household expenditure per capita","All quintiles",,"British Columbia",59,3.242
"2014-2019","Household expenditure per capita","Lowest quintile",,"British Columbia",59,4.735
"2014-2019","Household expenditure per capita","Second quintile",,"British Columbia",59,4.796
"2015-2020","Household expenditure per capita","All quintiles",,"Canada",,
"2015-2020","Household expenditure per capita","Lowest quintile",,"Canada",,
"2015-2020","Household expenditure per capita","Second quintile",,"Canada",,
"2015-2020","Household expenditure per capita","All quintiles",,"Newfoundland and Labrador",10,
"2015-2020","Household expenditure per capita","Lowest quintile",,"Newfoundland and Labrador",10,
"2015-2020","Household expenditure per capita","Second quintile",,"Newfoundland and Labrador",10,
"2015-2020","Household expenditure per capita","All quintiles",,"Prince Edward Island",11,
"2015-2020","Household expenditure per capita","Lowest quintile",,"Prince Edward Island",11,
"2015-2020","Household expenditure per capita","Second quintile",,"Prince Edward Island",11,
"2015-2020","Household expenditure per capita","All quintiles",,"Nova Scotia",12,
"2015-2020","Household expenditure per capita","Lowest quintile",,"Nova Scotia",12,
"2015-2020","Household expenditure per capita","Second quintile",,"Nova Scotia",12,
"2015-2020","Household expenditure per capita","All quintiles",,"New Brunswick",13,
"2015-2020","Household expenditure per capita","Lowest quintile",,"New Brunswick",13,
"2015-2020","Household expenditure per capita","Second quintile",,"New Brunswick",13,
"2015-2020","Household expenditure per capita","All quintiles",,"Quebec",24,
"2015-2020","Household expenditure per capita","Lowest quintile",,"Quebec",24,
"2015-2020","Household expenditure per capita","Second quintile",,"Quebec",24,
"2015-2020","Household expenditure per capita","All quintiles",,"Ontario",35,
"2015-2020","Household expenditure per capita","Lowest quintile",,"Ontario",35,
"2015-2020","Household expenditure per capita","Second quintile",,"Ontario",35,
"2015-2020","Household expenditure per capita","All quintiles",,"Manitoba",46,
"2015-2020","Household expenditure per capita","Lowest quintile",,"Manitoba",46,
"2015-2020","Household expenditure per capita","Second quintile",,"Manitoba",46,
"2015-2020","Household expenditure per capita","All quintiles",,"Saskatchewan",47,
"2015-2020","Household expenditure per capita","Lowest quintile",,"Saskatchewan",47,
"2015-2020","Household expenditure per capita","Second quintile",,"Saskatchewan",47,
"2015-2020","Household expenditure per capita","All quintiles",,"Alberta",48,
"2015-2020","Household expenditure per capita","Lowest quintile",,"Alberta",48,
"2015-2020","Household expenditure per capita","Second quintile",,"Alberta",48,
"2015-2020","Household expenditure per capita","All quintiles",,"British Columbia",59,
"2015-2020","Household expenditure per capita","Lowest quintile",,"British Columbia",59,
"2015-2020","Household expenditure per capita","Second quintile",,"British Columbia",59,
"2016-2021","Household expenditure per capita","All quintiles",,"Canada",,0.385
"2016-2021","Household expenditure per capita","Lowest quintile",,"Canada",,2.084
"2016-2021","Household expenditure per capita","Second quintile",,"Canada",,0.565
"2016-2021","Household expenditure per capita","All quintiles",,"Newfoundland and Labrador",10,0.783
"2016-2021","Household expenditure per capita","Lowest quintile",,"Newfoundland and Labrador",10,4.11
"2016-2021","Household expenditure per capita","Second quintile",,"Newfoundland and Labrador",10,2.075
"2016-2021","Household expenditure per capita","All quintiles",,"Prince Edward Island",11,0.949
"2016-2021","Household expenditure per capita","Lowest quintile",,"Prince Edward Island",11,10.767
"2016-2021","Household expenditure per capita","Second quintile",,"Prince Edward Island",11,-2.217
"2016-2021","Household expenditure per capita","All quintiles",,"Nova Scotia",12,0.854
"2016-2021","Household expenditure per capita","Lowest quintile",,"Nova Scotia",12,0.923
"2016-2021","Household expenditure per capita","Second quintile",,"Nova Scotia",12,1.348
"2016-2021","Household expenditure per capita","All quintiles",,"New Brunswick",13,2.068
"2016-2021","Household expenditure per capita","Lowest quintile",,"New Brunswick",13,4.033
"2016-2021","Household expenditure per capita","Second quintile",,"New Brunswick",13,3.253
"2016-2021","Household expenditure per capita","All quintiles",,"Quebec",24,1.155
"2016-2021","Household expenditure per capita","Lowest quintile",,"Quebec",24,3.174
"2016-2021","Household expenditure per capita","Second quintile",,"Quebec",24,0.894
"2016-2021","Household expenditure per capita","All quintiles",,"Ontario",35,-0.347
"2016-2021","Household expenditure per capita","Lowest quintile",,"Ontario",35,1.023
"2016-2021","Household expenditure per capita","Second quintile",,"Ontario",35,-2.139
"2016-2021","Household expenditure per capita","All quintiles",,"Manitoba",46,1.277
"2016-2021","Household expenditure per capita","Lowest quintile",,"Manitoba",46,1.766
"2016-2021","Household expenditure per capita","Second quintile",,"Manitoba",46,2.324
"2016-2021","Household expenditure per capita","All quintiles",,"Saskatchewan",47,0.362
"2016-2021","Household expenditure per capita","Lowest quintile",,"Saskatchewan",47,0.254
"2016-2021","Household expenditure per capita","Second quintile",,"Saskatchewan",47,0.862
"2016-2021","Household expenditure per capita","All quintiles",,"Alberta",48,-0.834
"2016-2021","Household expenditure per capita","Lowest quintile",,"Alberta",48,1.539
"2016-2021","Household expenditure per capita","Second quintile",,"Alberta",48,0.008
"2016-2021","Household expenditure per capita","All quintiles",,"British Columbia",59,1.559
"2016-2021","Household expenditure per capita","Lowest quintile",,"British Columbia",59,4.729
"2016-2021","Household expenditure per capita","Second quintile",,"British Columbia",59,2.891
"2010-2015","Income per capita",,"Total deciles","Canada",,0.227
"2010-2015","Income per capita",,"Lowest decile","Canada",,-0.069
"2010-2015","Income per capita",,"Second decile","Canada",,0.074
"2010-2015","Income per capita",,"Third decile","Canada",,0.373
"2010-2015","Income per capita",,"Fourth decile","Canada",,0.436
"2010-2015","Income per capita",,"Total deciles","Newfoundland and Labrador",10,2.449
"2010-2015","Income per capita",,"Lowest decile","Newfoundland and Labrador",10,1.532
"2010-2015","Income per capita",,"Second decile","Newfoundland and Labrador",10,1.254
"2010-2015","Income per capita",,"Third decile","Newfoundland and Labrador",10,1.985
"2010-2015","Income per capita",,"Fourth decile","Newfoundland and Labrador",10,2.566
"2010-2015","Income per capita",,"Total deciles","Prince Edward Island",11,0.674
"2010-2015","Income per capita",,"Lowest decile","Prince Edward Island",11,-6.229
"2010-2015","Income per capita",,"Second decile","Prince Edward Island",11,-0.803
"2010-2015","Income per capita",,"Third decile","Prince Edward Island",11,-0.355
"2010-2015","Income per capita",,"Fourth decile","Prince Edward Island",11,1.014
"2010-2015","Income per capita",,"Total deciles","Nova Scotia",12,1.716
"2010-2015","Income per capita",,"Lowest decile","Nova Scotia",12,0.503
"2010-2015","Income per capita",,"Second decile","Nova Scotia",12,0.582
"2010-2015","Income per capita",,"Third decile","Nova Scotia",12,1.469
"2010-2015","Income per capita",,"Fourth decile","Nova Scotia",12,2.285
"2010-2015","Income per capita",,"Total deciles","New Brunswick",13,0.48
"2010-2015","Income per capita",,"Lowest decile","New Brunswick",13,-1.343
"2010-2015","Income per capita",,"Second decile","New Brunswick",13,0.396
"2010-2015","Income per capita",,"Third decile","New Brunswick",13,1.246
"2010-2015","Income per capita",,"Fourth decile","New Brunswick",13,1.598
"2010-2015","Income per capita",,"Total deciles","Quebec",24,0.257
"2010-2015","Income per capita",,"Lowest decile","Quebec",24,0.548
"2010-2015","Income per capita",,"Second decile","Quebec",24,0.011
"2010-2015","Income per capita",,"Third decile","Quebec",24,0.402
"2010-2015","Income per capita",,"Fourth decile","Quebec",24,0.294
"2010-2015","Income per capita",,"Total deciles","Ontario",35,0.174
"2010-2015","Income per capita",,"Lowest decile","Ontario",35,-0.467
"2010-2015","Income per capita",,"Second decile","Ontario",35,0.188
"2010-2015","Income per capita",,"Third decile","Ontario",35,0.297
"2010-2015","Income per capita",,"Fourth decile","Ontario",35,0.606
"2010-2015","Income per capita",,"Total deciles","Manitoba",46,-0.15
"2010-2015","Income per capita",,"Lowest decile","Manitoba",46,-1.543
"2010-2015","Income per capita",,"Second decile","Manitoba",46,-0.06
"2010-2015","Income per capita",,"Third decile","Manitoba",46,0.208
"2010-2015","Income per capita",,"Fourth decile","Manitoba",46,-0.594
"2010-2015","Income per capita",,"Total deciles","Saskatchewan",47,0.499
"2010-2015","Income per capita",,"Lowest decile","Saskatchewan",47,5.135
"2010-2015","Income per capita",,"Second decile","Saskatchewan",47,0.708
"2010-2015","Income per capita",,"Third decile","Saskatchewan",47,1.264
"2010-2015","Income per capita",,"Fourth decile","Saskatchewan",47,0.68
"2010-2015","Income per capita",,"Total deciles","Alberta",48,-0.126
"2010-2015","Income per capita",,"Lowest decile","Alberta",48,1.683
"2010-2015","Income per capita",,"Second decile","Alberta",48,0.161
"2010-2015","Income per capita",,"Third decile","Alberta",48,-0.629
"2010-2015","Income per capita",,"Fourth decile","Alberta",48,-0.32
"2010-2015","Income per capita",,"Total deciles","British Columbia",59,-0.27
"2010-2015","Income per capita",,"Lowest decile","British Columbia",59,-0.819
"2010-2015","Income per capita",,"Second decile","British Columbia",59,-0.82
"2010-2015","Income per capita",,"Third decile","British Columbia",59,0.129
"2010-2015","Income per capita",,"Fourth decile","British Columbia",59,0.344
"2011-2016","Income per capita",,"Total deciles","Canada",,-0.114
"2011-2016","Income per capita",,"Lowest decile","Canada",,-0.241
"2011-2016","Income per capita",,"Second decile","Canada",,0.385
"2011-2016","Income per capita",,"Third decile","Canada",,0.378
"2011-2016","Income per capita",,"Fourth decile","Canada",,0.101
"2011-2016","Income per capita",,"Total deciles","Newfoundland and Labrador",10,0.912
"2011-2016","Income per capita",,"Lowest decile","Newfoundland and Labrador",10,-0.773
"2011-2016","Income per capita",,"Second decile","Newfoundland and Labrador",10,0.358
"2011-2016","Income per capita",,"Third decile","Newfoundland and Labrador",10,1.264
"2011-2016","Income per capita",,"Fourth decile","Newfoundland and Labrador",10,2.067
"2011-2016","Income per capita",,"Total deciles","Prince Edward Island",11,-0.288
"2011-2016","Income per capita",,"Lowest decile","Prince Edward Island",11,-2.485
"2011-2016","Income per capita",,"Second decile","Prince Edward Island",11,-0.714
"2011-2016","Income per capita",,"Third decile","Prince Edward Island",11,-0.969
"2011-2016","Income per capita",,"Fourth decile","Prince Edward Island",11,-0.564
"2011-2016","Income per capita",,"Total deciles","Nova Scotia",12,1.187
"2011-2016","Income per capita",,"Lowest decile","Nova Scotia",12,-2.351
"2011-2016","Income per capita",,"Second decile","Nova Scotia",12,-0.054
"2011-2016","Income per capita",,"Third decile","Nova Scotia",12,0.97
"2011-2016","Income per capita",,"Fourth decile","Nova Scotia",12,1.237
"2011-2016","Income per capita",,"Total deciles","New Brunswick",13,0.385
"2011-2016","Income per capita",,"Lowest decile","New Brunswick",13,2.014
"2011-2016","Income per capita",,"Second decile","New Brunswick",13,0.102
"2011-2016","Income per capita",,"Third decile","New Brunswick",13,0.488
"2011-2016","Income per capita",,"Fourth decile","New Brunswick",13,0.654
"2011-2016","Income per capita",,"Total deciles","Quebec",24,0.46
"2011-2016","Income per capita",,"Lowest decile","Quebec",24,-0.04
"2011-2016","Income per capita",,"Second decile","Quebec",24,0.972
"2011-2016","Income per capita",,"Third decile","Quebec",24,0.944
"2011-2016","Income per capita",,"Fourth decile","Quebec",24,0.662
"2011-2016","Income per capita",,"Total deciles","Ontario",35,0.291
"2011-2016","Income per capita",,"Lowest decile","Ontario",35,0.386
"2011-2016","Income per capita",,"Second decile","Ontario",35,-0.026
"2011-2016","Income per capita",,"Third decile","Ontario",35,0.115
"2011-2016","Income per capita",,"Fourth decile","Ontario",35,0.036
"2011-2016","Income per capita",,"Total deciles","Manitoba",46,-0.185
"2011-2016","Income per capita",,"Lowest decile","Manitoba",46,0.301
"2011-2016","Income per capita",,"Second decile","Manitoba",46,0.466
"2011-2016","Income per capita",,"Third decile","Manitoba",46,0.182
"2011-2016","Income per capita",,"Fourth decile","Manitoba",46,-0.258
"2011-2016","Income per capita",,"Total deciles","Saskatchewan",47,-0.87
"2011-2016","Income per capita",,"Lowest decile","Saskatchewan",47,-0.03
"2011-2016","Income per capita",,"Second decile","Saskatchewan",47,0.605
"2011-2016","Income per capita",,"Third decile","Saskatchewan",47,0.777
"2011-2016","Income per capita",,"Fourth decile","Saskatchewan",47,-0.364
"2011-2016","Income per capita",,"Total deciles","Alberta",48,-2.251
"2011-2016","Income per capita",,"Lowest decile","Alberta",48,-0.304
"2011-2016","Income per capita",,"Second decile","Alberta",48,-0.423
"2011-2016","Income per capita",,"Third decile","Alberta",48,-0.823
"2011-2016","Income per capita",,"Fourth decile","Alberta",48,-1.271
"2011-2016","Income per capita",,"Total deciles","British Columbia",59,-0.532
"2011-2016","Income per capita",,"Lowest decile","British Columbia",59,-2.528
"2011-2016","Income per capita",,"Second decile","British Columbia",59,0.814
"2011-2016","Income per capita",,"Third decile","British Columbia",59,0.298
"2011-2016","Income per capita",,"Fourth decile","British Columbia",59,-0.215
"2012-2017","Income per capita",,"Total deciles","Canada",,0.046
"2012-2017","Income per capita",,"Lowest decile","Canada",,0.991
"2012-2017","Income per capita",,"Second decile","Canada",,0.557
"2012-2017","Income per capita",,"Third decile","Canada",,0.336
"2012-2017","Income per capita",,"Fourth decile","Canada",,0.158
"2012-2017","Income per capita",,"Total deciles","Newfoundland and Labrador",10,0.545
"2012-2017","Income per capita",,"Lowest decile","Newfoundland and Labrador",10,-0.133
"2012-2017","Income per capita",,"Second decile","Newfoundland and Labrador",10,0.317
"2012-2017","Income per capita",,"Third decile","Newfoundland and Labrador",10,0.91
"2012-2017","Income per capita",,"Fourth decile","Newfoundland and Labrador",10,0.682
"2012-2017","Income per capita",,"Total deciles","Prince Edward Island",11,0.502
"2012-2017","Income per capita",,"Lowest decile","Prince Edward Island",11,-4.72
"2012-2017","Income per capita",,"Second decile","Prince Edward Island",11,-1.474
"2012-2017","Income per capita",,"Third decile","Prince Edward Island",11,-0.292
"2012-2017","Income per capita",,"Fourth decile","Prince Edward Island",11,-0.198
"2012-2017","Income per capita",,"Total deciles","Nova Scotia",12,0.734
"2012-2017","Income per capita",,"Lowest decile","Nova Scotia",12,-0.329
"2012-2017","Income per capita",,"Second decile","Nova Scotia",12,-0.423
"2012-2017","Income per capita",,"Third decile","Nova Scotia",12,0.562
"2012-2017","Income per capita",,"Fourth decile","Nova Scotia",12,1.073
"2012-2017","Income per capita",,"Total deciles","New Brunswick",13,0.786
"2012-2017","Income per capita",,"Lowest decile","New Brunswick",13,1.872
"2012-2017","Income per capita",,"Second decile","New Brunswick",13,1.011
"2012-2017","Income per capita",,"Third decile","New Brunswick",13,1.456
"2012-2017","Income per capita",,"Fourth decile","New Brunswick",13,0.928
"2012-2017","Income per capita",,"Total deciles","Quebec",24,0.572
"2012-2017","Income per capita",,"Lowest decile","Quebec",24,0.877
"2012-2017","Income per capita",,"Second decile","Quebec",24,0.86
"2012-2017","Income per capita",,"Third decile","Quebec",24,1.016
"2012-2017","Income per capita",,"Fourth decile","Quebec",24,0.889
"2012-2017","Income per capita",,"Total deciles","Ontario",35,0.368
"2012-2017","Income per capita",,"Lowest decile","Ontario",35,1.32
"2012-2017","Income per capita",,"Second decile","Ontario",35,0.827
"2012-2017","Income per capita",,"Third decile","Ontario",35,0.362
"2012-2017","Income per capita",,"Fourth decile","Ontario",35,0.407
"2012-2017","Income per capita",,"Total deciles","Manitoba",46,0.213
"2012-2017","Income per capita",,"Lowest decile","Manitoba",46,1.115
"2012-2017","Income per capita",,"Second decile","Manitoba",46,-0.123
"2012-2017","Income per capita",,"Third decile","Manitoba",46,-0.004
"2012-2017","Income per capita",,"Fourth decile","Manitoba",46,-0.414
"2012-2017","Income per capita",,"Total deciles","Saskatchewan",47,-0.595
"2012-2017","Income per capita",,"Lowest decile","Saskatchewan",47,-0.302
"2012-2017","Income per capita",,"Second decile","Saskatchewan",47,-0.52
