"Year","Geography","Age group","Type of institution attended","GeoCode","Value"
"2014/2015","New Brunswick","20 to 24 years","Elementary/High School",13,
"2014/2015","New Brunswick","20 to 24 years","College",13,6
"2014/2015","New Brunswick","20 to 24 years","University",13,22
"2014/2015","New Brunswick","25 to 29 years","Total participation rate",13,9
"2014/2015","New Brunswick","25 to 29 years","Elementary/High School",13,
"2014/2015","New Brunswick","25 to 29 years","College",13,3
"2014/2015","New Brunswick","25 to 29 years","University",13,6
"2014/2015","Quebec","15 to 19 years","Total participation rate",24,83
"2014/2015","Quebec","15 to 19 years","Elementary/High School",24,49
"2014/2015","Quebec","15 to 19 years","College",24,31
"2014/2015","Quebec","15 to 19 years","University",24,3
"2014/2015","Quebec","20 to 24 years","Total participation rate",24,47
"2014/2015","Quebec","20 to 24 years","Elementary/High School",24,4
"2014/2015","Quebec","20 to 24 years","College",24,14
"2014/2015","Quebec","20 to 24 years","University",24,30
"2014/2015","Quebec","25 to 29 years","Total participation rate",24,18
"2014/2015","Quebec","25 to 29 years","Elementary/High School",24,1
"2014/2015","Quebec","25 to 29 years","College",24,3
"2014/2015","Quebec","25 to 29 years","University",24,13
"2014/2015","Ontario","15 to 19 years","Total participation rate",35,87
"2014/2015","Ontario","15 to 19 years","Elementary/High School",35,62
"2014/2015","Ontario","15 to 19 years","College",35,8
"2014/2015","Ontario","15 to 19 years","University",35,17
"2014/2015","Ontario","20 to 24 years","Total participation rate",35,43
"2014/2015","Ontario","20 to 24 years","Elementary/High School",35,1
"2014/2015","Ontario","20 to 24 years","College",35,15
"2014/2015","Ontario","20 to 24 years","University",35,27
"2014/2015","Ontario","25 to 29 years","Total participation rate",35,11
"2014/2015","Ontario","25 to 29 years","Elementary/High School",35,1
"2014/2015","Ontario","25 to 29 years","College",35,5
"2014/2015","Ontario","25 to 29 years","University",35,6
"2014/2015","Manitoba","15 to 19 years","Total participation rate",46,78
"2014/2015","Manitoba","15 to 19 years","Elementary/High School",46,61
"2014/2015","Manitoba","15 to 19 years","College",46,3
"2014/2015","Manitoba","15 to 19 years","University",46,13
"2014/2015","Manitoba","20 to 24 years","Total participation rate",46,31
"2014/2015","Manitoba","20 to 24 years","Elementary/High School",46,1
"2014/2015","Manitoba","20 to 24 years","College",46,6
"2014/2015","Manitoba","20 to 24 years","University",46,24
"2014/2015","Manitoba","25 to 29 years","Total participation rate",46,12
"2014/2015","Manitoba","25 to 29 years","Elementary/High School",46,1
"2014/2015","Manitoba","25 to 29 years","College",46,3
"2014/2015","Manitoba","25 to 29 years","University",46,8
"2014/2015","Saskatchewan","15 to 19 years","Total participation rate",47,78
"2014/2015","Saskatchewan","15 to 19 years","Elementary/High School",47,63
"2014/2015","Saskatchewan","15 to 19 years","College",47,5
"2014/2015","Saskatchewan","15 to 19 years","University",47,10
"2014/2015","Saskatchewan","20 to 24 years","Total participation rate",47,31
"2014/2015","Saskatchewan","20 to 24 years","Elementary/High School",47,1
"2014/2015","Saskatchewan","20 to 24 years","College",47,6
"2014/2015","Saskatchewan","20 to 24 years","University",47,24
"2014/2015","Saskatchewan","25 to 29 years","Total participation rate",47,10
"2014/2015","Saskatchewan","25 to 29 years","Elementary/High School",47,
"2014/2015","Saskatchewan","25 to 29 years","College",47,2
"2014/2015","Saskatchewan","25 to 29 years","University",47,8
"2014/2015","Alberta","15 to 19 years","Total participation rate",48,78
"2014/2015","Alberta","15 to 19 years","Elementary/High School",48,61
"2014/2015","Alberta","15 to 19 years","College",48,5
"2014/2015","Alberta","15 to 19 years","University",48,12
"2014/2015","Alberta","20 to 24 years","Total participation rate",48,28
"2014/2015","Alberta","20 to 24 years","Elementary/High School",48,1
"2014/2015","Alberta","20 to 24 years","College",48,7
"2014/2015","Alberta","20 to 24 years","University",48,20
"2014/2015","Alberta","25 to 29 years","Total participation rate",48,9
"2014/2015","Alberta","25 to 29 years","Elementary/High School",48,
"2014/2015","Alberta","25 to 29 years","College",48,3
"2014/2015","Alberta","25 to 29 years","University",48,6
"2014/2015","British Columbia","15 to 19 years","Total participation rate",59,76
"2014/2015","British Columbia","15 to 19 years","Elementary/High School",59,55
"2014/2015","British Columbia","15 to 19 years","College",59,8
"2014/2015","British Columbia","15 to 19 years","University",59,13
"2014/2015","British Columbia","20 to 24 years","Total participation rate",59,39
"2014/2015","British Columbia","20 to 24 years","Elementary/High School",59,1
"2014/2015","British Columbia","20 to 24 years","College",59,11
"2014/2015","British Columbia","20 to 24 years","University",59,27
"2014/2015","British Columbia","25 to 29 years","Total participation rate",59,12
"2014/2015","British Columbia","25 to 29 years","Elementary/High School",59,
"2014/2015","British Columbia","25 to 29 years","College",59,4
"2014/2015","British Columbia","25 to 29 years","University",59,7
"2014/2015","Yukon","15 to 19 years","Total participation rate",60,78
"2014/2015","Yukon","15 to 19 years","Elementary/High School",60,64
"2014/2015","Yukon","15 to 19 years","College",60,
"2014/2015","Yukon","15 to 19 years","University",60,
"2014/2015","Yukon","20 to 24 years","Total participation rate",60,28
"2014/2015","Yukon","20 to 24 years","Elementary/High School",60,
"2014/2015","Yukon","20 to 24 years","College",60,13
"2014/2015","Yukon","20 to 24 years","University",60,15
"2014/2015","Yukon","25 to 29 years","Total participation rate",60,
"2014/2015","Yukon","25 to 29 years","Elementary/High School",60,
"2014/2015","Yukon","25 to 29 years","College",60,
"2014/2015","Yukon","25 to 29 years","University",60,
"2014/2015","Northwest Territories","15 to 19 years","Total participation rate",61,74
"2014/2015","Northwest Territories","15 to 19 years","Elementary/High School",61,62
"2014/2015","Northwest Territories","15 to 19 years","College",61,
"2014/2015","Northwest Territories","15 to 19 years","University",61,8
"2014/2015","Northwest Territories","20 to 24 years","Total participation rate",61,32
"2014/2015","Northwest Territories","20 to 24 years","Elementary/High School",61,
"2014/2015","Northwest Territories","20 to 24 years","College",61,13
"2014/2015","Northwest Territories","20 to 24 years","University",61,15
"2014/2015","Northwest Territories","25 to 29 years","Total participation rate",61,8
"2014/2015","Northwest Territories","25 to 29 years","Elementary/High School",61,
"2014/2015","Northwest Territories","25 to 29 years","College",61,
"2014/2015","Northwest Territories","25 to 29 years","University",61,
"2014/2015","Nunavut","15 to 19 years","Total participation rate",62,63
"2014/2015","Nunavut","15 to 19 years","Elementary/High School",62,61
"2014/2015","Nunavut","15 to 19 years","College",62,
"2014/2015","Nunavut","15 to 19 years","University",62,
"2014/2015","Nunavut","20 to 24 years","Total participation rate",62,12
"2014/2015","Nunavut","20 to 24 years","Elementary/High School",62,
"2014/2015","Nunavut","20 to 24 years","College",62,
"2014/2015","Nunavut","20 to 24 years","University",62,
"2014/2015","Nunavut","25 to 29 years","Total participation rate",62,
"2014/2015","Nunavut","25 to 29 years","Elementary/High School",62,
"2014/2015","Nunavut","25 to 29 years","College",62,
"2014/2015","Nunavut","25 to 29 years","University",62,
"2015/2016","Canada","15 to 19 years","Total participation rate",,83
"2015/2016","Canada","15 to 19 years","Elementary/High School",,60
"2015/2016","Canada","15 to 19 years","College",,12
"2015/2016","Canada","15 to 19 years","University",,12
"2015/2016","Canada","20 to 24 years","Total participation rate",,40
"2015/2016","Canada","20 to 24 years","Elementary/High School",,2
"2015/2016","Canada","20 to 24 years","College",,12
"2015/2016","Canada","20 to 24 years","University",,27
"2015/2016","Canada","25 to 29 years","Total participation rate",,12
"2015/2016","Canada","25 to 29 years","Elementary/High School",,1
"2015/2016","Canada","25 to 29 years","College",,4
"2015/2016","Canada","25 to 29 years","University",,8
"2015/2016","Newfoundland and Labrador","15 to 19 years","Total participation rate",10,84
"2015/2016","Newfoundland and Labrador","15 to 19 years","Elementary/High School",10,60
"2015/2016","Newfoundland and Labrador","15 to 19 years","College",10,9
"2015/2016","Newfoundland and Labrador","15 to 19 years","University",10,16
"2015/2016","Newfoundland and Labrador","20 to 24 years","Total participation rate",10,35
"2015/2016","Newfoundland and Labrador","20 to 24 years","Elementary/High School",10,
"2015/2016","Newfoundland and Labrador","20 to 24 years","College",10,11
"2015/2016","Newfoundland and Labrador","20 to 24 years","University",10,23
"2015/2016","Newfoundland and Labrador","25 to 29 years","Total participation rate",10,12
"2015/2016","Newfoundland and Labrador","25 to 29 years","Elementary/High School",10,
"2015/2016","Newfoundland and Labrador","25 to 29 years","College",10,3
"2015/2016","Newfoundland and Labrador","25 to 29 years","University",10,8
"2015/2016","Prince Edward Island","15 to 19 years","Total participation rate",11,83
"2015/2016","Prince Edward Island","15 to 19 years","Elementary/High School",11,61
"2015/2016","Prince Edward Island","15 to 19 years","College",11,7
"2015/2016","Prince Edward Island","15 to 19 years","University",11,15
"2015/2016","Prince Edward Island","20 to 24 years","Total participation rate",11,30
"2015/2016","Prince Edward Island","20 to 24 years","Elementary/High School",11,
"2015/2016","Prince Edward Island","20 to 24 years","College",11,7
"2015/2016","Prince Edward Island","20 to 24 years","University",11,23
"2015/2016","Prince Edward Island","25 to 29 years","Total participation rate",11,10
"2015/2016","Prince Edward Island","25 to 29 years","Elementary/High School",11,
"2015/2016","Prince Edward Island","25 to 29 years","College",11,4
"2015/2016","Prince Edward Island","25 to 29 years","University",11,6
"2015/2016","Nova Scotia","15 to 19 years","Total participation rate",12,82
"2015/2016","Nova Scotia","15 to 19 years","Elementary/High School",12,62
"2015/2016","Nova Scotia","15 to 19 years","College",12,6
"2015/2016","Nova Scotia","15 to 19 years","University",12,14
"2015/2016","Nova Scotia","20 to 24 years","Total participation rate",12,34
"2015/2016","Nova Scotia","20 to 24 years","Elementary/High School",12,
"2015/2016","Nova Scotia","20 to 24 years","College",12,9
"2015/2016","Nova Scotia","20 to 24 years","University",12,25
"2015/2016","Nova Scotia","25 to 29 years","Total participation rate",12,11
"2015/2016","Nova Scotia","25 to 29 years","Elementary/High School",12,
"2015/2016","Nova Scotia","25 to 29 years","College",12,3
"2015/2016","Nova Scotia","25 to 29 years","University",12,9
"2015/2016","New Brunswick","15 to 19 years","Total participation rate",13,82
"2015/2016","New Brunswick","15 to 19 years","Elementary/High School",13,62
"2015/2016","New Brunswick","15 to 19 years","College",13,7
"2015/2016","New Brunswick","15 to 19 years","University",13,13
"2015/2016","New Brunswick","20 to 24 years","Total participation rate",13,35
"2015/2016","New Brunswick","20 to 24 years","Elementary/High School",13,
"2015/2016","New Brunswick","20 to 24 years","College",13,8
"2015/2016","New Brunswick","20 to 24 years","University",13,26
"2015/2016","New Brunswick","25 to 29 years","Total participation rate",13,7
"2015/2016","New Brunswick","25 to 29 years","Elementary/High School",13,
"2015/2016","New Brunswick","25 to 29 years","College",13,2
"2015/2016","New Brunswick","25 to 29 years","University",13,5
"2015/2016","Quebec","15 to 19 years","Total participation rate",24,81
"2015/2016","Quebec","15 to 19 years","Elementary/High School",24,51
"2015/2016","Quebec","15 to 19 years","College",24,27
"2015/2016","Quebec","15 to 19 years","University",24,3
"2015/2016","Quebec","20 to 24 years","Total participation rate",24,46
"2015/2016","Quebec","20 to 24 years","Elementary/High School",24,4
"2015/2016","Quebec","20 to 24 years","College",24,12
"2015/2016","Quebec","20 to 24 years","University",24,30
"2015/2016","Quebec","25 to 29 years","Total participation rate",24,16
"2015/2016","Quebec","25 to 29 years","Elementary/High School",24,2
"2015/2016","Quebec","25 to 29 years","College",24,3
"2015/2016","Quebec","25 to 29 years","University",24,12
"2015/2016","Ontario","15 to 19 years","Total participation rate",35,87
"2015/2016","Ontario","15 to 19 years","Elementary/High School",35,62
"2015/2016","Ontario","15 to 19 years","College",35,9
"2015/2016","Ontario","15 to 19 years","University",35,16
"2015/2016","Ontario","20 to 24 years","Total participation rate",35,43
"2015/2016","Ontario","20 to 24 years","Elementary/High School",35,1
"2015/2016","Ontario","20 to 24 years","College",35,14
"2015/2016","Ontario","20 to 24 years","University",35,28
"2015/2016","Ontario","25 to 29 years","Total participation rate",35,12
"2015/2016","Ontario","25 to 29 years","Elementary/High School",35,0
"2015/2016","Ontario","25 to 29 years","College",35,5
"2015/2016","Ontario","25 to 29 years","University",35,6
"2015/2016","Manitoba","15 to 19 years","Total participation rate",46,78
"2015/2016","Manitoba","15 to 19 years","Elementary/High School",46,62
"2015/2016","Manitoba","15 to 19 years","College",46,4
"2015/2016","Manitoba","15 to 19 years","University",46,12
"2015/2016","Manitoba","20 to 24 years","Total participation rate",46,34
"2015/2016","Manitoba","20 to 24 years","Elementary/High School",46,2
"2015/2016","Manitoba","20 to 24 years","College",46,7
"2015/2016","Manitoba","20 to 24 years","University",46,25
"2015/2016","Manitoba","25 to 29 years","Total participation rate",46,12
"2015/2016","Manitoba","25 to 29 years","Elementary/High School",46,
"2015/2016","Manitoba","25 to 29 years","College",46,3
"2015/2016","Manitoba","25 to 29 years","University",46,8
"2015/2016","Saskatchewan","15 to 19 years","Total participation rate",47,78
"2015/2016","Saskatchewan","15 to 19 years","Elementary/High School",47,62
"2015/2016","Saskatchewan","15 to 19 years","College",47,5
"2015/2016","Saskatchewan","15 to 19 years","University",47,11
"2015/2016","Saskatchewan","20 to 24 years","Total participation rate",47,30
"2015/2016","Saskatchewan","20 to 24 years","Elementary/High School",47,2
"2015/2016","Saskatchewan","20 to 24 years","College",47,7
"2015/2016","Saskatchewan","20 to 24 years","University",47,22
"2015/2016","Saskatchewan","25 to 29 years","Total participation rate",47,10
"2015/2016","Saskatchewan","25 to 29 years","Elementary/High School",47,
"2015/2016","Saskatchewan","25 to 29 years","College",47,2
"2015/2016","Saskatchewan","25 to 29 years","University",47,7
"2015/2016","Alberta","15 to 19 years","Total participation rate",48,80
"2015/2016","Alberta","15 to 19 years","Elementary/High School",48,65
"2015/2016","Alberta","15 to 19 years","College",48,5
"2015/2016","Alberta","15 to 19 years","University",48,10
"2015/2016","Alberta","20 to 24 years","Total participation rate",48,30
"2015/2016","Alberta","20 to 24 years","Elementary/High School",48,1
"2015/2016","Alberta","20 to 24 years","College",48,8
"2015/2016","Alberta","20 to 24 years","University",48,21
"2015/2016","Alberta","25 to 29 years","Total participation rate",48,8
"2015/2016","Alberta","25 to 29 years","Elementary/High School",48,
"2015/2016","Alberta","25 to 29 years","College",48,3
"2015/2016","Alberta","25 to 29 years","University",48,6
"2015/2016","British Columbia","15 to 19 years","Total participation rate",59,80
"2015/2016","British Columbia","15 to 19 years","Elementary/High School",59,60
"2015/2016","British Columbia","15 to 19 years","College",59,7
"2015/2016","British Columbia","15 to 19 years","University",59,14
"2015/2016","British Columbia","20 to 24 years","Total participation rate",59,37
"2015/2016","British Columbia","20 to 24 years","Elementary/High School",59,1
"2015/2016","British Columbia","20 to 24 years","College",59,11
"2015/2016","British Columbia","20 to 24 years","University",59,26
"2015/2016","British Columbia","25 to 29 years","Total participation rate",59,11
"2015/2016","British Columbia","25 to 29 years","Elementary/High School",59,
"2015/2016","British Columbia","25 to 29 years","College",59,3
"2015/2016","British Columbia","25 to 29 years","University",59,7
"2015/2016","Yukon","15 to 19 years","Total participation rate",60,82
"2015/2016","Yukon","15 to 19 years","Elementary/High School",60,59
"2015/2016","Yukon","15 to 19 years","College",60,12
"2015/2016","Yukon","15 to 19 years","University",60,11
"2015/2016","Yukon","20 to 24 years","Total participation rate",60,26
"2015/2016","Yukon","20 to 24 years","Elementary/High School",60,
"2015/2016","Yukon","20 to 24 years","College",60,12
"2015/2016","Yukon","20 to 24 years","University",60,13
"2015/2016","Yukon","25 to 29 years","Total participation rate",60,
"2015/2016","Yukon","25 to 29 years","Elementary/High School",60,
"2015/2016","Yukon","25 to 29 years","College",60,
"2015/2016","Yukon","25 to 29 years","University",60,
"2015/2016","Northwest Territories","15 to 19 years","Total participation rate",61,77
"2015/2016","Northwest Territories","15 to 19 years","Elementary/High School",61,65
"2015/2016","Northwest Territories","15 to 19 years","College",61,
"2015/2016","Northwest Territories","15 to 19 years","University",61,
"2015/2016","Northwest Territories","20 to 24 years","Total participation rate",61,19
"2015/2016","Northwest Territories","20 to 24 years","Elementary/High School",61,
"2015/2016","Northwest Territories","20 to 24 years","College",61,
"2015/2016","Northwest Territories","20 to 24 years","University",61,14
"2015/2016","Northwest Territories","25 to 29 years","Total participation rate",61,
"2015/2016","Northwest Territories","25 to 29 years","Elementary/High School",61,
"2015/2016","Northwest Territories","25 to 29 years","College",61,
"2015/2016","Northwest Territories","25 to 29 years","University",61,
"2015/2016","Nunavut","15 to 19 years","Total participation rate",62,68
"2015/2016","Nunavut","15 to 19 years","Elementary/High School",62,65
"2015/2016","Nunavut","15 to 19 years","College",62,
"2015/2016","Nunavut","15 to 19 years","University",62,
"2015/2016","Nunavut","20 to 24 years","Total participation rate",62,10
"2015/2016","Nunavut","20 to 24 years","Elementary/High School",62,
"2015/2016","Nunavut","20 to 24 years","College",62,
"2015/2016","Nunavut","20 to 24 years","University",62,
"2015/2016","Nunavut","25 to 29 years","Total participation rate",62,
"2015/2016","Nunavut","25 to 29 years","Elementary/High School",62,
"2015/2016","Nunavut","25 to 29 years","College",62,
"2015/2016","Nunavut","25 to 29 years","University",62,
"2016/2017","Canada","15 to 19 years","Total participation rate",,85
"2016/2017","Canada","15 to 19 years","Elementary/High School",,59
"2016/2017","Canada","15 to 19 years","College",,13
"2016/2017","Canada","15 to 19 years","University",,13
"2016/2017","Canada","20 to 24 years","Total participation rate",,41
"2016/2017","Canada","20 to 24 years","Elementary/High School",,2
"2016/2017","Canada","20 to 24 years","College",,12
"2016/2017","Canada","20 to 24 years","University",,28
"2016/2017","Canada","25 to 29 years","Total participation rate",,12
"2016/2017","Canada","25 to 29 years","Elementary/High School",,0
"2016/2017","Canada","25 to 29 years","College",,4
"2016/2017","Canada","25 to 29 years","University",,8
"2016/2017","Newfoundland and Labrador","15 to 19 years","Total participation rate",10,84
"2016/2017","Newfoundland and Labrador","15 to 19 years","Elementary/High School",10,61
"2016/2017","Newfoundland and Labrador","15 to 19 years","College",10,8
"2016/2017","Newfoundland and Labrador","15 to 19 years","University",10,15
"2016/2017","Newfoundland and Labrador","20 to 24 years","Total participation rate",10,35
"2016/2017","Newfoundland and Labrador","20 to 24 years","Elementary/High School",10,
"2016/2017","Newfoundland and Labrador","20 to 24 years","College",10,12
"2016/2017","Newfoundland and Labrador","20 to 24 years","University",10,23
"2016/2017","Newfoundland and Labrador","25 to 29 years","Total participation rate",10,11
"2016/2017","Newfoundland and Labrador","25 to 29 years","Elementary/High School",10,
"2016/2017","Newfoundland and Labrador","25 to 29 years","College",10,4
"2016/2017","Newfoundland and Labrador","25 to 29 years","University",10,7
"2016/2017","Prince Edward Island","15 to 19 years","Total participation rate",11,83
"2016/2017","Prince Edward Island","15 to 19 years","Elementary/High School",11,62
"2016/2017","Prince Edward Island","15 to 19 years","College",11,7
"2016/2017","Prince Edward Island","15 to 19 years","University",11,14
"2016/2017","Prince Edward Island","20 to 24 years","Total participation rate",11,37
"2016/2017","Prince Edward Island","20 to 24 years","Elementary/High School",11,
"2016/2017","Prince Edward Island","20 to 24 years","College",11,9
"2016/2017","Prince Edward Island","20 to 24 years","University",11,28
"2016/2017","Prince Edward Island","25 to 29 years","Total participation rate",11,9
"2016/2017","Prince Edward Island","25 to 29 years","Elementary/High School",11,
"2016/2017","Prince Edward Island","25 to 29 years","College",11,4
"2016/2017","Prince Edward Island","25 to 29 years","University",11,5
"2016/2017","Nova Scotia","15 to 19 years","Total participation rate",12,85
"2016/2017","Nova Scotia","15 to 19 years","Elementary/High School",12,62
"2016/2017","Nova Scotia","15 to 19 years","College",12,6
"2016/2017","Nova Scotia","15 to 19 years","University",12,17
"2016/2017","Nova Scotia","20 to 24 years","Total participation rate",12,37
"2016/2017","Nova Scotia","20 to 24 years","Elementary/High School",12,1
"2016/2017","Nova Scotia","20 to 24 years","College",12,8
"2016/2017","Nova Scotia","20 to 24 years","University",12,28
"2016/2017","Nova Scotia","25 to 29 years","Total participation rate",12,11
"2016/2017","Nova Scotia","25 to 29 years","Elementary/High School",12,
"2016/2017","Nova Scotia","25 to 29 years","College",12,3
"2016/2017","Nova Scotia","25 to 29 years","University",12,8
"2016/2017","New Brunswick","15 to 19 years","Total participation rate",13,83
"2016/2017","New Brunswick","15 to 19 years","Elementary/High School",13,62
"2016/2017","New Brunswick","15 to 19 years","College",13,7
"2016/2017","New Brunswick","15 to 19 years","University",13,13
"2016/2017","New Brunswick","20 to 24 years","Total participation rate",13,30
"2016/2017","New Brunswick","20 to 24 years","Elementary/High School",13,
"2016/2017","New Brunswick","20 to 24 years","College",13,8
"2016/2017","New Brunswick","20 to 24 years","University",13,22
"2016/2017","New Brunswick","25 to 29 years","Total participation rate",13,8
"2016/2017","New Brunswick","25 to 29 years","Elementary/High School",13,
"2016/2017","New Brunswick","25 to 29 years","College",13,3
"2016/2017","New Brunswick","25 to 29 years","University",13,5
"2016/2017","Quebec","15 to 19 years","Total participation rate",24,85
"2016/2017","Quebec","15 to 19 years","Elementary/High School",24,48
"2016/2017","Quebec","15 to 19 years","College",24,33
"2016/2017","Quebec","15 to 19 years","University",24,4
"2016/2017","Quebec","20 to 24 years","Total participation rate",24,48
"2016/2017","Quebec","20 to 24 years","Elementary/High School",24,3
"2016/2017","Quebec","20 to 24 years","College",24,14
"2016/2017","Quebec","20 to 24 years","University",24,31
"2016/2017","Quebec","25 to 29 years","Total participation rate",24,15
"2016/2017","Quebec","25 to 29 years","Elementary/High School",24,1
"2016/2017","Quebec","25 to 29 years","College",24,3
"2016/2017","Quebec","25 to 29 years","University",24,11
"2016/2017","Ontario","15 to 19 years","Total participation rate",35,88
"2016/2017","Ontario","15 to 19 years","Elementary/High School",35,62
"2016/2017","Ontario","15 to 19 years","College",35,9
"2016/2017","Ontario","15 to 19 years","University",35,17
"2016/2017","Ontario","20 to 24 years","Total participation rate",35,43
"2016/2017","Ontario","20 to 24 years","Elementary/High School",35,1
"2016/2017","Ontario","20 to 24 years","College",35,13
"2016/2017","Ontario","20 to 24 years","University",35,28
"2016/2017","Ontario","25 to 29 years","Total participation rate",35,12
"2016/2017","Ontario","25 to 29 years","Elementary/High School",35,0
"2016/2017","Ontario","25 to 29 years","College",35,4
"2016/2017","Ontario","25 to 29 years","University",35,7
"2016/2017","Manitoba","15 to 19 years","Total participation rate",46,79
"2016/2017","Manitoba","15 to 19 years","Elementary/High School",46,61
"2016/2017","Manitoba","15 to 19 years","College",46,4
"2016/2017","Manitoba","15 to 19 years","University",46,14
"2016/2017","Manitoba","20 to 24 years","Total participation rate",46,33
"2016/2017","Manitoba","20 to 24 years","Elementary/High School",46,1
"2016/2017","Manitoba","20 to 24 years","College",46,5
"2016/2017","Manitoba","20 to 24 years","University",46,26
"2016/2017","Manitoba","25 to 29 years","Total participation rate",46,12
"2016/2017","Manitoba","25 to 29 years","Elementary/High School",46,
"2016/2017","Manitoba","25 to 29 years","College",46,4
"2016/2017","Manitoba","25 to 29 years","University",46,8
"2016/2017","Saskatchewan","15 to 19 years","Total participation rate",47,78
"2016/2017","Saskatchewan","15 to 19 years","Elementary/High School",47,64
"2016/2017","Saskatchewan","15 to 19 years","College",47,4
"2016/2017","Saskatchewan","15 to 19 years","University",47,10
"2016/2017","Saskatchewan","20 to 24 years","Total participation rate",47,30
"2016/2017","Saskatchewan","20 to 24 years","Elementary/High School",47,2
"2016/2017","Saskatchewan","20 to 24 years","College",47,6
"2016/2017","Saskatchewan","20 to 24 years","University",47,23
"2016/2017","Saskatchewan","25 to 29 years","Total participation rate",47,9
"2016/2017","Saskatchewan","25 to 29 years","Elementary/High School",47,
"2016/2017","Saskatchewan","25 to 29 years","College",47,2
"2016/2017","Saskatchewan","25 to 29 years","University",47,6
"2016/2017","Alberta","15 to 19 years","Total participation rate",48,80
"2016/2017","Alberta","15 to 19 years","Elementary/High School",48,63
"2016/2017","Alberta","15 to 19 years","College",48,5
"2016/2017","Alberta","15 to 19 years","University",48,13
"2016/2017","Alberta","20 to 24 years","Total participation rate",48,31
"2016/2017","Alberta","20 to 24 years","Elementary/High School",48,1
"2016/2017","Alberta","20 to 24 years","College",48,7
"2016/2017","Alberta","20 to 24 years","University",48,23
"2016/2017","Alberta","25 to 29 years","Total participation rate",48,11
"2016/2017","Alberta","25 to 29 years","Elementary/High School",48,
"2016/2017","Alberta","25 to 29 years","College",48,4
"2016/2017","Alberta","25 to 29 years","University",48,8
"2016/2017","British Columbia","15 to 19 years","Total participation rate",59,81
"2016/2017","British Columbia","15 to 19 years","Elementary/High School",59,59
"2016/2017","British Columbia","15 to 19 years","College",59,7
"2016/2017","British Columbia","15 to 19 years","University",59,15
