"Year","Series","Units","Highest level of education","Age group","Sex","Location","COMMENT_OBS","Progress","Value"
2016,"Educational attainment rate","Adjusted location parity index","Completed upper secondary education or higher","","Male","",,1.07000002384186,0.9
2021,"Educational attainment rate","Adjusted location parity index","Completed upper secondary education or higher","","Male","",,1.05999997377396,0.91
2016,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","Rural",,1.02999994277954,1.06
2021,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","Rural",,1.02999994277954,1.06
2016,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","Urban",,1,1
2021,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","Urban",,1,1
2016,"Educational attainment rate","Adjusted location parity index","Completed post-secondary non-tertiary education or higher","","Female","",,1.08000001430511,0.89
2021,"Educational attainment rate","Adjusted location parity index","Completed post-secondary non-tertiary education or higher","","Female","",,1.09000000476837,0.88
2015,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.005
2016,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","",,1,1
2017,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.02
2018,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.025
2019,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.018
2020,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.025
2021,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","",,1,1.02
2022,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.0094013095422,1.039
2023,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.00462153850223,1.035
2024,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.00812229224546,1.038
2016,"Educational attainment rate","Adjusted location parity index","Completed post-secondary non-tertiary education or higher","","","",,1.09000000476837,0.88
2021,"Educational attainment rate","Adjusted location parity index","Completed post-secondary non-tertiary education or higher","","","",,1.10999998569489,0.86
2016,"Educational attainment rate","Adjusted location parity index","Completed post-secondary non-tertiary education or higher","","Male","",,1.10999998569489,0.86
2021,"Educational attainment rate","Adjusted location parity index","Completed post-secondary non-tertiary education or higher","","Male","",,1.11999997615814,0.85
2016,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","Rural",,1,1.03
2021,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","Rural",,1.01999995231628,1.05
2016,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","Urban",,1,0.99
2021,"Educational attainment rate","Adjusted gender parity index","Completed post-secondary non-tertiary education or higher","","","Urban",,1,1.01
2016,"Educational attainment rate","Adjusted location parity index","Completed short-cycle tertiary education or higher","","Female","",,1.13000002622604,0.84
2021,"Educational attainment rate","Adjusted location parity index","Completed short-cycle tertiary education or higher","","Female","",,1.16999998807907,0.8
2015,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.005
2016,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","",,1.1299999666214,1.16
2017,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.02
2018,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.025
2019,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.018
2020,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.025
2021,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","",,1.10999998569489,1.14
2022,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.0094013095422,1.039
2023,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.00462153850223,1.035
2024,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.00812229224546,1.038
2016,"Educational attainment rate","Adjusted location parity index","Completed short-cycle tertiary education or higher","","","",,1.22,0.75
2021,"Educational attainment rate","Adjusted location parity index","Completed short-cycle tertiary education or higher","","","",,1.26000002145767,0.71
2016,"Educational attainment rate","Adjusted location parity index","Completed short-cycle tertiary education or higher","","Male","",,1.32000002384186,0.65
2021,"Educational attainment rate","Adjusted location parity index","Completed short-cycle tertiary education or higher","","Male","",,1.34999999523163,0.62
2016,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","Rural",,1.29000005245209,1.32
2021,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","Rural",,1.27999994277954,1.31
2016,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","Urban",,1.09000000476837,1.12
2021,"Educational attainment rate","Adjusted gender parity index","Completed short-cycle tertiary education or higher","","","Urban",,1.08000001430511,1.11
2016,"Educational attainment rate","Adjusted location parity index","Completed Bachelor's or equivalent education or higher","","Female","",,1.40000000715256,0.57
2021,"Educational attainment rate","Adjusted location parity index","Completed Bachelor's or equivalent education or higher","","Female","",,1.3900000166893,0.58
2015,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.0237537967927,1.054
2016,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","",,1.04000005245209,1.07
2017,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.0391774762719,1.069
2018,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.04348994837667,1.073
2019,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.04280941798766,1.073
2020,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.05336304169038,1.083
2021,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","",,1.07000002384186,1.1
2022,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.06063853591857,1.091
2023,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.06096818796728,1.091
2024,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.06367270254666,1.094
2016,"Educational attainment rate","Adjusted location parity index","Completed Bachelor's or equivalent education or higher","","","",,1.47,0.5
2021,"Educational attainment rate","Adjusted location parity index","Completed Bachelor's or equivalent education or higher","","","",,1.47,0.5
2016,"Educational attainment rate","Adjusted location parity index","Completed Bachelor's or equivalent education or higher","","Male","",,1.55000001311302,0.42
2021,"Educational attainment rate","Adjusted location parity index","Completed Bachelor's or equivalent education or higher","","Male","",,1.55000001311302,0.42
2016,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","Rural",,1.25999996185303,1.29
2021,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","Rural",,1.29000005245209,1.32
2016,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","Urban",,1.00999996185303,1.04
2021,"Educational attainment rate","Adjusted gender parity index","Completed Bachelor's or equivalent education or higher","","","Urban",,1.04000005245209,1.07
2016,"Educational attainment rate","Adjusted location parity index","Completed Master's or equivalent education or higher","","Female","",,1.50999999165535,0.46
2021,"Educational attainment rate","Adjusted location parity index","Completed Master's or equivalent education or higher","","Female","",,1.50000000119209,0.47
2015,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.04616085601647,0.924
2016,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","",,1.08000001430511,0.89
2017,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.04507967152122,0.925
2018,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.01861428529526,0.951
2019,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.01276001034095,0.957
2020,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.01523865309256,0.955
2021,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","",,1,0.97
2022,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.994
2023,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.00701465548778,1.037
2024,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.025
2016,"Educational attainment rate","Adjusted location parity index","Completed Master's or equivalent education or higher","","","",,1.55000001311302,0.42
2021,"Educational attainment rate","Adjusted location parity index","Completed Master's or equivalent education or higher","","","",,1.55000001311302,0.42
2016,"Educational attainment rate","Adjusted location parity index","Completed Master's or equivalent education or higher","","Male","",,1.59000000476837,0.38
2021,"Educational attainment rate","Adjusted location parity index","Completed Master's or equivalent education or higher","","Male","",,1.59999999523163,0.37
2016,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","Rural",,1.01999995231628,1.05
2021,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","Rural",,1.13999995708466,1.17
2016,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","Urban",,1.10999998569489,0.86
2021,"Educational attainment rate","Adjusted gender parity index","Completed Master's or equivalent education or higher","","","Urban",,1.03000000238419,0.94
2016,"Educational attainment rate","Adjusted location parity index","Completed Doctoral or equivalent education","","Female","",,1.52000001192093,0.45
2021,"Educational attainment rate","Adjusted location parity index","Completed Doctoral or equivalent education","","Female","",,1.53999999284744,0.43
2016,"Educational attainment rate","Adjusted gender parity index","Completed Doctoral or equivalent education","","","",,1.40999999761581,0.56
2021,"Educational attainment rate","Adjusted gender parity index","Completed Doctoral or equivalent education","","","",,1.32000002384186,0.65
2016,"Educational attainment rate","Adjusted location parity index","Completed Doctoral or equivalent education","","","",,1.56999999403954,0.4
2021,"Educational attainment rate","Adjusted location parity index","Completed Doctoral or equivalent education","","","",,1.58000001430511,0.39
2016,"Educational attainment rate","Adjusted location parity index","Completed Doctoral or equivalent education","","Male","",,1.60999998569489,0.36
2021,"Educational attainment rate","Adjusted location parity index","Completed Doctoral or equivalent education","","Male","",,1.60999998569489,0.36
2016,"Educational attainment rate","Adjusted gender parity index","Completed Doctoral or equivalent education","","","Rural",,1.28000000238419,0.69
2021,"Educational attainment rate","Adjusted gender parity index","Completed Doctoral or equivalent education","","","Rural",,1.21000000953674,0.76
2016,"Educational attainment rate","Adjusted gender parity index","Completed Doctoral or equivalent education","","","Urban",,1.41999998807907,0.55
2021,"Educational attainment rate","Adjusted gender parity index","Completed Doctoral or equivalent education","","","Urban",,1.34000000476837,0.63
2015,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2016,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2017,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2018,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2019,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2020,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2021,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2022,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2023,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2024,"Educational attainment rate","Adjusted gender parity index","At least some primary (ISCED 1)","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2015,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted gender parity index","Lower secondary education","","","",,1,0.992
2018,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted gender parity index","Lower secondary education","","","",,1,1.003
2022,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted gender parity index","Lower secondary education","","","",,1,0.991
2018,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted location parity index","Lower secondary education","","","",,1.05031129837036,0.92
2015,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted wealth parity index","Lower secondary education","","","",,1.14534244060516,0.825
2018,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted wealth parity index","Lower secondary education","","","",,1.16056284427643,0.809
2022,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted wealth parity index","Lower secondary education","","","",,1.34603305785124,0.624
2015,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted gender parity index","Primary education","","","",,1.01544681310654,0.955
2019,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted gender parity index","Primary education","","","",,1.0769642720733,1.107
2015,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted location parity index","Primary education","","","",,1.13049814224243,0.84
2019,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted location parity index","Primary education","","","",,1.11011441147424,0.86
2015,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted wealth parity index","Primary education","","","",,1.27248355865479,0.698
2019,"Proportion of students achieving at least a minimum proficiency level in mathematics","Adjusted wealth parity index","Primary education","","","",,1.2352475901648,0.735
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.07703529766277,1.107
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.07051534167466,1.101
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.0801213296487,1.11
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.08646375950327,1.116
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.08718804071646,1.117
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.11687396205219,1.147
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.11066140693035,1.141
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.10810433678271,1.138
2023,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.0870883422998,1.117
2024,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-24 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.09177485994813,1.122
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.08715839800036,1.117
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.08159771362158,1.112
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.0845909008527,1.115
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.10385077439925,1.134
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.09378627664025,1.124
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.12484909173479,1.155
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.13944755629932,1.169
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.14139456989498,1.171
2023,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.11433599571112,1.144
2024,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","15-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.11786857548566,1.148
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.25277087502386,1.283
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.25123661472404,1.281
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.24806136178939,1.278
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.29004076107509,1.32
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.25798237666548,1.288
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.28056621335261,1.311
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.33756401969512,1.368
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.34452567098064,1.375
2023,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.29126262458731,1.321
2024,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","25-54 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.30002025676523,1.33
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.34176476882011,1.372
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.44957216646554,1.48
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.23305566306284,1.263
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.33879127164433,1.369
