Year,Geography,Function of Government,Value
2019,Saskatchewan,Other expenditure,24.75
2019,Saskatchewan,Social protection,10.741
2019,Yukon,Education,14.243
2019,Yukon,Health,27.764
2019,Yukon,Other expenditure,49.639
2019,Yukon,Social protection,8.353
2020,Alberta,Education,22.845
2020,Alberta,Health,40.474
2020,Alberta,Other expenditure,28.242
2020,Alberta,Social protection,8.44
2020,British Columbia,Education,20.329
2020,British Columbia,Health,42.746
2020,British Columbia,Other expenditure,23.239
2020,British Columbia,Social protection,13.687
2020,Canada,Education,1.439
2020,Canada,Health,9.007
2020,Canada,Other expenditure,43.376
2020,Canada,Social protection,46.178
2020,Manitoba,Education,20.082
2020,Manitoba,Health,44.983
2020,Manitoba,Other expenditure,25.265
2020,Manitoba,Social protection,9.67
2020,New Brunswick,Education,16.647
2020,New Brunswick,Health,46.21
2020,New Brunswick,Other expenditure,30.344
2020,New Brunswick,Social protection,6.799
2020,Newfoundland and Labrador,Education,21.817
2020,Newfoundland and Labrador,Health,45.138
2020,Newfoundland and Labrador,Other expenditure,27.721
2020,Newfoundland and Labrador,Social protection,5.324
2020,Northwest Territories,Education,13.064
2020,Northwest Territories,Health,34.019
2020,Northwest Territories,Other expenditure,41.015
2020,Northwest Territories,Social protection,11.903
2020,Nova Scotia,Education,22.6
2020,Nova Scotia,Health,43.434
2020,Nova Scotia,Other expenditure,26.866
2020,Nova Scotia,Social protection,7.1
2020,Nunavut,Education,12.996
2020,Nunavut,Health,25.689
2020,Nunavut,Other expenditure,49.868
2020,Nunavut,Social protection,11.447
2020,Ontario,Education,22.942
2020,Ontario,Health,39.32
2020,Ontario,Other expenditure,25.367
2020,Ontario,Social protection,12.371
2020,Prince Edward Island,Education,23.95
2020,Prince Edward Island,Health,41.768
2020,Prince Edward Island,Other expenditure,28.039
2020,Prince Edward Island,Social protection,6.243
2020,Quebec,Education,18.764
2020,Quebec,Health,36.501
2020,Quebec,Other expenditure,27.694
2020,Quebec,Social protection,17.041
2020,Saskatchewan,Education,24.545
2020,Saskatchewan,Health,39.407
2020,Saskatchewan,Other expenditure,25.077
2020,Saskatchewan,Social protection,10.971
2020,Yukon,Education,12.662
2020,Yukon,Health,28.409
2020,Yukon,Other expenditure,50.487
2020,Yukon,Social protection,8.442
2021,Alberta,Education,21.983
2021,Alberta,Health,39.354
2021,Alberta,Other expenditure,29.975
2021,Alberta,Social protection,8.688
2021,British Columbia,Education,20.306
2021,British Columbia,Health,43.534
2021,British Columbia,Other expenditure,24.002
2021,British Columbia,Social protection,12.159
2021,Canada,Education,1.949
2021,Canada,Health,10.703
2021,Canada,Other expenditure,41.153
2021,Canada,Social protection,46.195
2021,Manitoba,Education,21.45
2021,Manitoba,Health,44.609
2021,Manitoba,Other expenditure,24.988
2021,Manitoba,Social protection,8.952
2021,New Brunswick,Education,16.955
2021,New Brunswick,Health,46.232
2021,New Brunswick,Other expenditure,30.024
2021,New Brunswick,Social protection,6.789
2021,Newfoundland and Labrador,Education,22.7
2021,Newfoundland and Labrador,Health,45.318
2021,Newfoundland and Labrador,Other expenditure,26.769
2021,Newfoundland and Labrador,Social protection,5.213
2021,Northwest Territories,Education,12.98
2021,Northwest Territories,Health,33.516
2021,Northwest Territories,Other expenditure,41.718
2021,Northwest Territories,Social protection,11.786
2021,Nova Scotia,Education,22.473
2021,Nova Scotia,Health,42.167
2021,Nova Scotia,Other expenditure,27.617
2021,Nova Scotia,Social protection,7.744
2021,Nunavut,Education,13.05
2021,Nunavut,Health,25.69
2021,Nunavut,Other expenditure,49.888
2021,Nunavut,Social protection,11.372
2021,Ontario,Education,22.873
2021,Ontario,Health,40.04
2021,Ontario,Other expenditure,25.039
2021,Ontario,Social protection,12.049
2021,Prince Edward Island,Education,23.089
2021,Prince Edward Island,Health,41.831
2021,Prince Edward Island,Other expenditure,29.2
2021,Prince Edward Island,Social protection,5.881
2021,Quebec,Education,18.873
2021,Quebec,Health,36.428
2021,Quebec,Other expenditure,26.192
2021,Quebec,Social protection,18.506
2021,Saskatchewan,Education,22.434
2021,Saskatchewan,Health,36.633
2021,Saskatchewan,Other expenditure,31.086
2021,Saskatchewan,Social protection,9.847
2021,Yukon,Education,13.105
2021,Yukon,Health,27.016
2021,Yukon,Other expenditure,51.815
2021,Yukon,Social protection,8.065
