Year,Géographie,Marital status,Age Group,Value
1996,Île-du-Prince-Édouard,Living common law,15 à 19 ans,2.15
1996,Île-du-Prince-Édouard,Living common law,20 à 24 ans,13.74
2016,Nouvelle-Écosse,Married or living common law,15 à 19 ans,1.92
2016,Nouvelle-Écosse,Married or living common law,20 à 24 ans,19.42
2016,Nouvelle-Écosse,Married,15 à 19 ans,0.1
2016,Nouvelle-Écosse,Married,20 à 24 ans,3.34
2016,Nouvelle-Écosse,Living common law,15 à 19 ans,1.78
2016,Nouvelle-Écosse,Living common law,20 à 24 ans,16.08
2011,Nouvelle-Écosse,Married or living common law,15 à 19 ans,2.15
2011,Nouvelle-Écosse,Married or living common law,20 à 24 ans,20.59
2011,Nouvelle-Écosse,Married,15 à 19 ans,0.21
2011,Nouvelle-Écosse,Married,20 à 24 ans,4.57
2011,Nouvelle-Écosse,Living common law,15 à 19 ans,1.93
2011,Nouvelle-Écosse,Living common law,20 à 24 ans,16.04
2006,Nouvelle-Écosse,Married or living common law,15 à 19 ans,2.45
2006,Nouvelle-Écosse,Married or living common law,20 à 24 ans,21.33
2006,Nouvelle-Écosse,Married,15 à 19 ans,0.45
2006,Nouvelle-Écosse,Married,20 à 24 ans,5.36
2006,Nouvelle-Écosse,Living common law,15 à 19 ans,1.98
2006,Nouvelle-Écosse,Living common law,20 à 24 ans,15.98
2001,Nouvelle-Écosse,Married or living common law,15 à 19 ans,2.19
2001,Nouvelle-Écosse,Married or living common law,20 à 24 ans,23.41
2001,Nouvelle-Écosse,Married,15 à 19 ans,0.31
2001,Nouvelle-Écosse,Married,20 à 24 ans,8.02
2001,Nouvelle-Écosse,Living common law,15 à 19 ans,1.89
2001,Nouvelle-Écosse,Living common law,20 à 24 ans,15.39
1996,Nouvelle-Écosse,Married or living common law,15 à 19 ans,2.4
1996,Nouvelle-Écosse,Married or living common law,20 à 24 ans,25.61
1996,Nouvelle-Écosse,Married,15 à 19 ans,0.44
1996,Nouvelle-Écosse,Married,20 à 24 ans,11.71
1996,Nouvelle-Écosse,Living common law,15 à 19 ans,1.96
1996,Nouvelle-Écosse,Living common law,20 à 24 ans,13.9
2016,Nouveau-Brunswick,Married or living common law,15 à 19 ans,2.59
2016,Nouveau-Brunswick,Married or living common law,20 à 24 ans,24.85
2016,Nouveau-Brunswick,Married,15 à 19 ans,0.13
2016,Nouveau-Brunswick,Married,20 à 24 ans,4.51
2016,Nouveau-Brunswick,Living common law,15 à 19 ans,2.46
2016,Nouveau-Brunswick,Living common law,20 à 24 ans,20.36
2011,Nouveau-Brunswick,Married or living common law,15 à 19 ans,3.03
2011,Nouveau-Brunswick,Married or living common law,20 à 24 ans,25.97
2011,Nouveau-Brunswick,Married,15 à 19 ans,0.22
2011,Nouveau-Brunswick,Married,20 à 24 ans,6.2
2011,Nouveau-Brunswick,Living common law,15 à 19 ans,2.81
2011,Nouveau-Brunswick,Living common law,20 à 24 ans,19.79
2006,Nouveau-Brunswick,Married or living common law,15 à 19 ans,3.12
2006,Nouveau-Brunswick,Married or living common law,20 à 24 ans,26.55
2006,Nouveau-Brunswick,Married,15 à 19 ans,0.49
2006,Nouveau-Brunswick,Married,20 à 24 ans,7.21
2006,Nouveau-Brunswick,Living common law,15 à 19 ans,2.6
2006,Nouveau-Brunswick,Living common law,20 à 24 ans,19.33
2001,Nouveau-Brunswick,Married or living common law,15 à 19 ans,3.39
2001,Nouveau-Brunswick,Married or living common law,20 à 24 ans,30.28
2001,Nouveau-Brunswick,Married,15 à 19 ans,0.46
2001,Nouveau-Brunswick,Married,20 à 24 ans,10.84
2001,Nouveau-Brunswick,Living common law,15 à 19 ans,2.91
2001,Nouveau-Brunswick,Living common law,20 à 24 ans,19.43
1996,Nouveau-Brunswick,Married or living common law,15 à 19 ans,3.66
1996,Nouveau-Brunswick,Married or living common law,20 à 24 ans,31.38
1996,Nouveau-Brunswick,Married,15 à 19 ans,0.69
1996,Nouveau-Brunswick,Married,20 à 24 ans,13.42
1996,Nouveau-Brunswick,Living common law,15 à 19 ans,2.97
1996,Nouveau-Brunswick,Living common law,20 à 24 ans,17.96
2016,Québec,Married or living common law,15 à 19 ans,2.14
2016,Québec,Married or living common law,20 à 24 ans,22.62
2016,Québec,Married,15 à 19 ans,0.14
2016,Québec,Married,20 à 24 ans,3.24
2016,Québec,Living common law,15 à 19 ans,2.0
2016,Québec,Living common law,20 à 24 ans,19.38
2011,Québec,Married or living common law,15 à 19 ans,2.93
2011,Québec,Married or living common law,20 à 24 ans,26.39
2011,Québec,Married,15 à 19 ans,0.28
2011,Québec,Married,20 à 24 ans,4.1
2011,Québec,Living common law,15 à 19 ans,2.65
2011,Québec,Living common law,20 à 24 ans,22.28
2006,Québec,Married or living common law,15 à 19 ans,3.49
2006,Québec,Married or living common law,20 à 24 ans,28.45
2006,Québec,Married,15 à 19 ans,0.6
2006,Québec,Married,20 à 24 ans,4.62
2006,Québec,Living common law,15 à 19 ans,2.89
2006,Québec,Living common law,20 à 24 ans,23.83
2001,Québec,Married or living common law,15 à 19 ans,3.78
2001,Québec,Married or living common law,20 à 24 ans,29.53
2001,Québec,Married,15 à 19 ans,0.47
2001,Québec,Married,20 à 24 ans,5.51
2001,Québec,Living common law,15 à 19 ans,3.3
2001,Québec,Living common law,20 à 24 ans,24.02
1996,Québec,Married or living common law,15 à 19 ans,3.76
1996,Québec,Married or living common law,20 à 24 ans,31.55
1996,Québec,Married,15 à 19 ans,0.52
1996,Québec,Married,20 à 24 ans,8.43
1996,Québec,Living common law,15 à 19 ans,3.24
1996,Québec,Living common law,20 à 24 ans,23.12
2016,Ontario,Married or living common law,15 à 19 ans,1.07
2016,Ontario,Married or living common law,20 à 24 ans,13.76
2016,Ontario,Married,15 à 19 ans,0.18
2016,Ontario,Married,20 à 24 ans,4.66
2016,Ontario,Living common law,15 à 19 ans,0.89
2016,Ontario,Living common law,20 à 24 ans,9.1
2011,Ontario,Married or living common law,15 à 19 ans,1.41
2011,Ontario,Married or living common law,20 à 24 ans,16.14
2011,Ontario,Married,15 à 19 ans,0.29
2011,Ontario,Married,20 à 24 ans,6.52
2011,Ontario,Living common law,15 à 19 ans,1.11
2011,Ontario,Living common law,20 à 24 ans,9.62
2006,Ontario,Married or living common law,15 à 19 ans,2.1
2006,Ontario,Married or living common law,20 à 24 ans,18.79
2006,Ontario,Married,15 à 19 ans,0.76
2006,Ontario,Married,20 à 24 ans,8.72
2006,Ontario,Living common law,15 à 19 ans,1.35
2006,Ontario,Living common law,20 à 24 ans,10.07
2001,Ontario,Married or living common law,15 à 19 ans,2.14
2001,Ontario,Married or living common law,20 à 24 ans,21.47
2001,Ontario,Married,15 à 19 ans,0.68
2001,Ontario,Married,20 à 24 ans,11.18
2001,Ontario,Living common law,15 à 19 ans,1.46
2001,Ontario,Living common law,20 à 24 ans,10.29
1996,Ontario,Married or living common law,15 à 19 ans,2.71
1996,Ontario,Married or living common law,20 à 24 ans,22.83
1996,Ontario,Married,15 à 19 ans,0.87
1996,Ontario,Married,20 à 24 ans,13.64
1996,Ontario,Living common law,15 à 19 ans,1.84
1996,Ontario,Living common law,20 à 24 ans,9.2
2016,Manitoba,Married or living common law,15 à 19 ans,2.06
2016,Manitoba,Married or living common law,20 à 24 ans,21.96
2016,Manitoba,Married,15 à 19 ans,0.29
2016,Manitoba,Married,20 à 24 ans,8.23
2016,Manitoba,Living common law,15 à 19 ans,1.75
2016,Manitoba,Living common law,20 à 24 ans,13.74
2011,Manitoba,Married or living common law,15 à 19 ans,2.75
2011,Manitoba,Married or living common law,20 à 24 ans,24.04
2011,Manitoba,Married,15 à 19 ans,0.57
2011,Manitoba,Married,20 à 24 ans,9.89
2011,Manitoba,Living common law,15 à 19 ans,2.18
2011,Manitoba,Living common law,20 à 24 ans,14.15
2006,Manitoba,Married or living common law,15 à 19 ans,3.37
2006,Manitoba,Married or living common law,20 à 24 ans,25.18
2006,Manitoba,Married,15 à 19 ans,0.86
2006,Manitoba,Married,20 à 24 ans,11.65
2006,Manitoba,Living common law,15 à 19 ans,2.52
2006,Manitoba,Living common law,20 à 24 ans,13.55
2001,Manitoba,Married or living common law,15 à 19 ans,3.74
2001,Manitoba,Married or living common law,20 à 24 ans,28.83
2001,Manitoba,Married,15 à 19 ans,0.89
2001,Manitoba,Married,20 à 24 ans,14.65
2001,Manitoba,Living common law,15 à 19 ans,2.84
2001,Manitoba,Living common law,20 à 24 ans,14.18
1996,Manitoba,Married or living common law,15 à 19 ans,4.26
1996,Manitoba,Married or living common law,20 à 24 ans,30.53
1996,Manitoba,Married,15 à 19 ans,1.12
1996,Manitoba,Married,20 à 24 ans,16.96
1996,Manitoba,Living common law,15 à 19 ans,3.14
1996,Manitoba,Living common law,20 à 24 ans,13.57
2016,Saskatchewan,Married or living common law,15 à 19 ans,2.73
2016,Saskatchewan,Married or living common law,20 à 24 ans,25.7
2016,Saskatchewan,Married,15 à 19 ans,0.21
2016,Saskatchewan,Married,20 à 24 ans,7.56
2016,Saskatchewan,Living common law,15 à 19 ans,2.5
2016,Saskatchewan,Living common law,20 à 24 ans,18.14
2011,Saskatchewan,Married or living common law,15 à 19 ans,3.28
2011,Saskatchewan,Married or living common law,20 à 24 ans,27.4
2011,Saskatchewan,Married,15 à 19 ans,0.33
2011,Saskatchewan,Married,20 à 24 ans,9.44
2011,Saskatchewan,Living common law,15 à 19 ans,2.97
2011,Saskatchewan,Living common law,20 à 24 ans,17.97
2006,Saskatchewan,Married or living common law,15 à 19 ans,3.96
2006,Saskatchewan,Married or living common law,20 à 24 ans,28.17
2006,Saskatchewan,Married,15 à 19 ans,0.52
2006,Saskatchewan,Married,20 à 24 ans,10.75
2006,Saskatchewan,Living common law,15 à 19 ans,3.44
2006,Saskatchewan,Living common law,20 à 24 ans,17.42
2001,Saskatchewan,Married or living common law,15 à 19 ans,3.73
2001,Saskatchewan,Married or living common law,20 à 24 ans,30.51
2001,Saskatchewan,Married,15 à 19 ans,0.56
2001,Saskatchewan,Married,20 à 24 ans,14.36
2001,Saskatchewan,Living common law,15 à 19 ans,3.15
2001,Saskatchewan,Living common law,20 à 24 ans,16.14
1996,Saskatchewan,Married or living common law,15 à 19 ans,4.59
1996,Saskatchewan,Married or living common law,20 à 24 ans,34.07
1996,Saskatchewan,Married,15 à 19 ans,0.7
1996,Saskatchewan,Married,20 à 24 ans,18.05
1996,Saskatchewan,Living common law,15 à 19 ans,3.89
1996,Saskatchewan,Living common law,20 à 24 ans,16.02
2016,Alberta,Married or living common law,15 à 19 ans,2.11
2016,Alberta,Married or living common law,20 à 24 ans,25.09
2016,Alberta,Married,15 à 19 ans,0.33
2016,Alberta,Married,20 à 24 ans,8.72
2016,Alberta,Living common law,15 à 19 ans,1.78
2016,Alberta,Living common law,20 à 24 ans,16.36
2011,Alberta,Married or living common law,15 à 19 ans,3.09
2011,Alberta,Married or living common law,20 à 24 ans,27.99
2011,Alberta,Married,15 à 19 ans,0.49
2011,Alberta,Married,20 à 24 ans,10.6
2011,Alberta,Living common law,15 à 19 ans,2.6
2011,Alberta,Living common law,20 à 24 ans,17.39
2006,Alberta,Married or living common law,15 à 19 ans,4.32
2006,Alberta,Married or living common law,20 à 24 ans,29.89
2006,Alberta,Married,15 à 19 ans,0.93
2006,Alberta,Married,20 à 24 ans,12.28
2006,Alberta,Living common law,15 à 19 ans,3.38
2006,Alberta,Living common law,20 à 24 ans,17.61
2001,Alberta,Married or living common law,15 à 19 ans,3.96
2001,Alberta,Married or living common law,20 à 24 ans,31.14
2001,Alberta,Married,15 à 19 ans,0.75
2001,Alberta,Married,20 à 24 ans,14.92
2001,Alberta,Living common law,15 à 19 ans,3.21
2001,Alberta,Living common law,20 à 24 ans,16.23
1996,Alberta,Married or living common law,15 à 19 ans,4.64
1996,Alberta,Married or living common law,20 à 24 ans,33.7
1996,Alberta,Married,15 à 19 ans,1.1
1996,Alberta,Married,20 à 24 ans,18.26
1996,Alberta,Living common law,15 à 19 ans,3.54
1996,Alberta,Living common law,20 à 24 ans,15.44
2016,Colombie-Britannique,Married or living common law,15 à 19 ans,1.57
2016,Colombie-Britannique,Married or living common law,20 à 24 ans,17.72
2016,Colombie-Britannique,Married,15 à 19 ans,0.18
2016,Colombie-Britannique,Married,20 à 24 ans,5.09
2016,Colombie-Britannique,Living common law,15 à 19 ans,1.39
2016,Colombie-Britannique,Living common law,20 à 24 ans,12.63
2011,Colombie-Britannique,Married or living common law,15 à 19 ans,2.08
2011,Colombie-Britannique,Married or living common law,20 à 24 ans,19.96
2011,Colombie-Britannique,Married,15 à 19 ans,0.31
2011,Colombie-Britannique,Married,20 à 24 ans,7.19
2011,Colombie-Britannique,Living common law,15 à 19 ans,1.77
2011,Colombie-Britannique,Living common law,20 à 24 ans,12.77
2006,Colombie-Britannique,Married or living common law,15 à 19 ans,2.79
2006,Colombie-Britannique,Married or living common law,20 à 24 ans,22.26
2006,Colombie-Britannique,Married,15 à 19 ans,0.71
2006,Colombie-Britannique,Married,20 à 24 ans,9.15
2006,Colombie-Britannique,Living common law,15 à 19 ans,2.08
2006,Colombie-Britannique,Living common law,20 à 24 ans,13.1
2001,Colombie-Britannique,Married or living common law,15 à 19 ans,2.76
2001,Colombie-Britannique,Married or living common law,20 à 24 ans,22.99
2001,Colombie-Britannique,Married,15 à 19 ans,0.65
2001,Colombie-Britannique,Married,20 à 24 ans,10.83
2001,Colombie-Britannique,Living common law,15 à 19 ans,2.11
2001,Colombie-Britannique,Living common law,20 à 24 ans,12.16
1996,Colombie-Britannique,Married or living common law,15 à 19 ans,3.39
1996,Colombie-Britannique,Married or living common law,20 à 24 ans,27.99
1996,Colombie-Britannique,Married,15 à 19 ans,0.87
1996,Colombie-Britannique,Married,20 à 24 ans,15.07
1996,Colombie-Britannique,Living common law,15 à 19 ans,2.51
1996,Colombie-Britannique,Living common law,20 à 24 ans,12.92
2016,Yukon,Married or living common law,15 à 19 ans,2.15
2016,Yukon,Married or living common law,20 à 24 ans,25.27
2016,Yukon,Married,15 à 19 ans,0.54
2016,Yukon,Married,20 à 24 ans,4.84
2016,Yukon,Living common law,15 à 19 ans,1.61
2016,Yukon,Living common law,20 à 24 ans,20.43
2011,Yukon,Married or living common law,15 à 19 ans,3.74
2011,Yukon,Married or living common law,20 à 24 ans,27.23
2011,Yukon,Married,15 à 19 ans,0.47
2011,Yukon,Married,20 à 24 ans,5.16
2011,Yukon,Living common law,15 à 19 ans,3.27
2011,Yukon,Living common law,20 à 24 ans,22.07
2006,Yukon,Married or living common law,15 à 19 ans,5.24
2006,Yukon,Married or living common law,20 à 24 ans,25.41
2006,Yukon,Married,15 à 19 ans,0.48
2006,Yukon,Married,20 à 24 ans,4.86
2006,Yukon,Living common law,15 à 19 ans,4.76
2006,Yukon,Living common law,20 à 24 ans,21.08
2001,Yukon,Married or living common law,15 à 19 ans,4.04
2001,Yukon,Married or living common law,20 à 24 ans,29.7
2001,Yukon,Married,15 à 19 ans,0.45
2001,Yukon,Married,20 à 24 ans,9.09
2001,Yukon,Living common law,15 à 19 ans,3.59
2001,Yukon,Living common law,20 à 24 ans,21.21
1996,Yukon,Married or living common law,15 à 19 ans,6.88
1996,Yukon,Married or living common law,20 à 24 ans,37.68
1996,Yukon,Married,15 à 19 ans,0.53
1996,Yukon,Married,20 à 24 ans,14.98
1996,Yukon,Living common law,15 à 19 ans,6.35
1996,Yukon,Living common law,20 à 24 ans,22.71
2016,Territoires du Nord-Ouest,Married or living common law,15 à 19 ans,2.68
2016,Territoires du Nord-Ouest,Married or living common law,20 à 24 ans,26.92
2016,Territoires du Nord-Ouest,Married,15 à 19 ans,0.0
2016,Territoires du Nord-Ouest,Married,20 à 24 ans,3.5
2016,Territoires du Nord-Ouest,Living common law,15 à 19 ans,2.68
2016,Territoires du Nord-Ouest,Living common law,20 à 24 ans,23.43
2011,Territoires du Nord-Ouest,Married or living common law,15 à 19 ans,4.0
2011,Territoires du Nord-Ouest,Married or living common law,20 à 24 ans,30.91
2011,Territoires du Nord-Ouest,Married,15 à 19 ans,0.31
2011,Territoires du Nord-Ouest,Married,20 à 24 ans,5.15
2011,Territoires du Nord-Ouest,Living common law,15 à 19 ans,3.69
2011,Territoires du Nord-Ouest,Living common law,20 à 24 ans,26.06
2006,Territoires du Nord-Ouest,Married or living common law,15 à 19 ans,5.68
2006,Territoires du Nord-Ouest,Married or living common law,20 à 24 ans,33.55
2006,Territoires du Nord-Ouest,Married,15 à 19 ans,0.85
2006,Territoires du Nord-Ouest,Married,20 à 24 ans,4.61
2006,Territoires du Nord-Ouest,Living common law,15 à 19 ans,4.55
2006,Territoires du Nord-Ouest,Living common law,20 à 24 ans,28.95
2001,Territoires du Nord-Ouest,Married or living common law,15 à 19 ans,4.64
2001,Territoires du Nord-Ouest,Married or living common law,20 à 24 ans,34.57
2001,Territoires du Nord-Ouest,Married,15 à 19 ans,0.0
2001,Territoires du Nord-Ouest,Married,20 à 24 ans,6.69
2001,Territoires du Nord-Ouest,Living common law,15 à 19 ans,4.29
2001,Territoires du Nord-Ouest,Living common law,20 à 24 ans,27.88
1996,Territoires du Nord-Ouest,Married or living common law,15 à 19 ans,11.15
1996,Territoires du Nord-Ouest,Married or living common law,20 à 24 ans,45.45
1996,Territoires du Nord-Ouest,Married,15 à 19 ans,0.58
1996,Territoires du Nord-Ouest,Married,20 à 24 ans,11.31
1996,Territoires du Nord-Ouest,Living common law,15 à 19 ans,10.58
1996,Territoires du Nord-Ouest,Living common law,20 à 24 ans,34.14
2016,Nunavut,Married or living common law,15 à 19 ans,11.04
2016,Nunavut,Married or living common law,20 à 24 ans,41.72
2016,Nunavut,Married,15 à 19 ans,0.0
2016,Nunavut,Married,20 à 24 ans,3.31
2016,Nunavut,Living common law,15 à 19 ans,11.04
2016,Nunavut,Living common law,20 à 24 ans,38.74
2011,Nunavut,Married or living common law,15 à 19 ans,9.52
2011,Nunavut,Married or living common law,20 à 24 ans,43.42
2011,Nunavut,Married,15 à 19 ans,0.68
2011,Nunavut,Married,20 à 24 ans,5.69
2011,Nunavut,Living common law,15 à 19 ans,9.18
2011,Nunavut,Living common law,20 à 24 ans,38.08
2006,Nunavut,Married or living common law,15 à 19 ans,11.55
2006,Nunavut,Married or living common law,20 à 24 ans,42.8
2006,Nunavut,Married,15 à 19 ans,0.33
2006,Nunavut,Married,20 à 24 ans,5.76
2006,Nunavut,Living common law,15 à 19 ans,10.89
2006,Nunavut,Living common law,20 à 24 ans,37.04
2001,Nunavut,Married or living common law,15 à 19 ans,12.96
2001,Nunavut,Married or living common law,20 à 24 ans,51.9
2001,Nunavut,Married,15 à 19 ans,0.81
2001,Nunavut,Married,20 à 24 ans,8.57
2001,Nunavut,Living common law,15 à 19 ans,12.15
2001,Nunavut,Living common law,20 à 24 ans,42.86
