Year,Géographie,Âge au décès,Sexe,Causes of death,Value
2015,Canada,35 à 44 ans,Hommes,Malignant neoplasms,15.7
2015,Canada,35 à 44 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,35 à 44 ans,Hommes,Diabetes mellitus,2.5
2015,Canada,35 à 44 ans,Hommes,Diseases of heart,11.3
2015,Canada,35 à 44 ans,Hommes,Influenza and pneumonia,1.1
2015,Canada,35 à 44 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,35 à 44 ans,Hommes,Chronic lower respiratory diseases,0.3
2015,Canada,35 à 44 ans,Femmes,Malignant neoplasms,36.4
2015,Canada,35 à 44 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,35 à 44 ans,Femmes,Diabetes mellitus,1.7
2015,Canada,35 à 44 ans,Femmes,Diseases of heart,7.0
2015,Canada,35 à 44 ans,Femmes,Influenza and pneumonia,1.3
2015,Canada,35 à 44 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,35 à 44 ans,Femmes,Chronic lower respiratory diseases,1.1
2015,Canada,45 à 54 ans,Les deux sexes,Malignant neoplasms,35.8
2015,Canada,45 à 54 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,45 à 54 ans,Les deux sexes,Diabetes mellitus,2.6
2015,Canada,45 à 54 ans,Les deux sexes,Diseases of heart,14.8
2015,Canada,45 à 54 ans,Les deux sexes,Influenza and pneumonia,1.2
2015,Canada,45 à 54 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,45 à 54 ans,Les deux sexes,Chronic lower respiratory diseases,1.6
2015,Canada,45 à 54 ans,Hommes,Malignant neoplasms,27.4
2015,Canada,45 à 54 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,Canada,45 à 54 ans,Hommes,Diabetes mellitus,2.9
2015,Canada,45 à 54 ans,Hommes,Diseases of heart,18.8
2015,Canada,45 à 54 ans,Hommes,Influenza and pneumonia,1.0
2015,Canada,45 à 54 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,45 à 54 ans,Hommes,Chronic lower respiratory diseases,1.4
2015,Canada,45 à 54 ans,Femmes,Malignant neoplasms,48.5
2015,Canada,45 à 54 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,Canada,45 à 54 ans,Femmes,Diabetes mellitus,2.1
2015,Canada,45 à 54 ans,Femmes,Diseases of heart,8.7
2015,Canada,45 à 54 ans,Femmes,Influenza and pneumonia,1.4
2015,Canada,45 à 54 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,45 à 54 ans,Femmes,Chronic lower respiratory diseases,2.0
2015,Canada,55 à 64 ans,Les deux sexes,Malignant neoplasms,45.4
2015,Canada,55 à 64 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,55 à 64 ans,Les deux sexes,Diabetes mellitus,2.8
2015,Canada,55 à 64 ans,Les deux sexes,Diseases of heart,16.8
2015,Canada,55 à 64 ans,Les deux sexes,Influenza and pneumonia,1.2
2015,Canada,55 à 64 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,55 à 64 ans,Les deux sexes,Chronic lower respiratory diseases,3.3
2015,Canada,55 à 64 ans,Hommes,Malignant neoplasms,39.6
2015,Canada,55 à 64 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,55 à 64 ans,Hommes,Diabetes mellitus,3.1
2015,Canada,55 à 64 ans,Hommes,Diseases of heart,20.6
2015,Canada,55 à 64 ans,Hommes,Influenza and pneumonia,1.0
2015,Canada,55 à 64 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,55 à 64 ans,Hommes,Chronic lower respiratory diseases,3.1
2015,Canada,55 à 64 ans,Femmes,Malignant neoplasms,54.3
2015,Canada,55 à 64 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,Canada,55 à 64 ans,Femmes,Diabetes mellitus,2.4
2015,Canada,55 à 64 ans,Femmes,Diseases of heart,11.0
2015,Canada,55 à 64 ans,Femmes,Influenza and pneumonia,1.4
2015,Canada,55 à 64 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,55 à 64 ans,Femmes,Chronic lower respiratory diseases,3.6
2015,Canada,65 à 74 ans,Les deux sexes,Malignant neoplasms,44.3
2015,Canada,65 à 74 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,Canada,65 à 74 ans,Les deux sexes,Diabetes mellitus,3.4
2015,Canada,65 à 74 ans,Les deux sexes,Diseases of heart,17.4
2015,Canada,65 à 74 ans,Les deux sexes,Influenza and pneumonia,1.5
2015,Canada,65 à 74 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,65 à 74 ans,Les deux sexes,Chronic lower respiratory diseases,5.6
2015,Canada,65 à 74 ans,Hommes,Malignant neoplasms,41.8
2015,Canada,65 à 74 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,Canada,65 à 74 ans,Hommes,Diabetes mellitus,3.7
2015,Canada,65 à 74 ans,Hommes,Diseases of heart,20.1
2015,Canada,65 à 74 ans,Hommes,Influenza and pneumonia,1.5
2015,Canada,65 à 74 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,65 à 74 ans,Hommes,Chronic lower respiratory diseases,5.0
2015,Canada,65 à 74 ans,Femmes,Malignant neoplasms,47.8
2015,Canada,65 à 74 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,Canada,65 à 74 ans,Femmes,Diabetes mellitus,2.8
2015,Canada,65 à 74 ans,Femmes,Diseases of heart,13.6
2015,Canada,65 à 74 ans,Femmes,Influenza and pneumonia,1.5
2015,Canada,65 à 74 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,65 à 74 ans,Femmes,Chronic lower respiratory diseases,6.5
2015,Canada,75 à 84 ans,Les deux sexes,Malignant neoplasms,32.1
2015,Canada,75 à 84 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2015,Canada,75 à 84 ans,Les deux sexes,Diabetes mellitus,3.1
2015,Canada,75 à 84 ans,Les deux sexes,Diseases of heart,19.2
2015,Canada,75 à 84 ans,Les deux sexes,Influenza and pneumonia,2.6
2015,Canada,75 à 84 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,75 à 84 ans,Les deux sexes,Chronic lower respiratory diseases,6.2
2015,Canada,75 à 84 ans,Hommes,Malignant neoplasms,32.9
2015,Canada,75 à 84 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2015,Canada,75 à 84 ans,Hommes,Diabetes mellitus,3.1
2015,Canada,75 à 84 ans,Hommes,Diseases of heart,20.5
2015,Canada,75 à 84 ans,Hommes,Influenza and pneumonia,2.5
2015,Canada,75 à 84 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,75 à 84 ans,Hommes,Chronic lower respiratory diseases,5.8
2015,Canada,75 à 84 ans,Femmes,Malignant neoplasms,31.2
2015,Canada,75 à 84 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2015,Canada,75 à 84 ans,Femmes,Diabetes mellitus,2.9
2015,Canada,75 à 84 ans,Femmes,Diseases of heart,17.8
2015,Canada,75 à 84 ans,Femmes,Influenza and pneumonia,2.6
2015,Canada,75 à 84 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,75 à 84 ans,Femmes,Chronic lower respiratory diseases,6.6
2015,Canada,85 ans et plus,Les deux sexes,Malignant neoplasms,15.8
2015,Canada,85 ans et plus,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,Canada,85 ans et plus,Les deux sexes,Diabetes mellitus,2.3
2015,Canada,85 ans et plus,Les deux sexes,Diseases of heart,23.9
2015,Canada,85 ans et plus,Les deux sexes,Influenza and pneumonia,4.8
2015,Canada,85 ans et plus,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,85 ans et plus,Les deux sexes,Chronic lower respiratory diseases,4.8
2015,Canada,85 ans et plus,Hommes,Malignant neoplasms,19.7
2015,Canada,85 ans et plus,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,Canada,85 ans et plus,Hommes,Diabetes mellitus,2.5
2015,Canada,85 ans et plus,Hommes,Diseases of heart,24.0
2015,Canada,85 ans et plus,Hommes,Influenza and pneumonia,4.7
2015,Canada,85 ans et plus,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,85 ans et plus,Hommes,Chronic lower respiratory diseases,5.7
2015,Canada,85 ans et plus,Femmes,Malignant neoplasms,13.4
2015,Canada,85 ans et plus,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,Canada,85 ans et plus,Femmes,Diabetes mellitus,2.2
2015,Canada,85 ans et plus,Femmes,Diseases of heart,23.9
2015,Canada,85 ans et plus,Femmes,Influenza and pneumonia,4.8
2015,Canada,85 ans et plus,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,85 ans et plus,Femmes,Chronic lower respiratory diseases,4.2
2016,Canada,30 à 34 ans,Les deux sexes,Malignant neoplasms,11.9
2016,Canada,30 à 34 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2016,Canada,30 à 34 ans,Les deux sexes,Diabetes mellitus,1.4
2016,Canada,30 à 34 ans,Les deux sexes,Diseases of heart,5.0
2016,Canada,30 à 34 ans,Les deux sexes,Influenza and pneumonia,0.7
2016,Canada,30 à 34 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,30 à 34 ans,Les deux sexes,Chronic lower respiratory diseases,0.5
2016,Canada,30 à 34 ans,Hommes,Malignant neoplasms,7.4
2016,Canada,30 à 34 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,30 à 34 ans,Hommes,Diabetes mellitus,1.6
2016,Canada,30 à 34 ans,Hommes,Diseases of heart,5.3
2016,Canada,30 à 34 ans,Hommes,Influenza and pneumonia,0.5
2016,Canada,30 à 34 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,30 à 34 ans,Hommes,Chronic lower respiratory diseases,0.4
2016,Canada,30 à 34 ans,Femmes,Malignant neoplasms,21.4
2016,Canada,30 à 34 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2016,Canada,30 à 34 ans,Femmes,Diabetes mellitus,1.2
2016,Canada,30 à 34 ans,Femmes,Diseases of heart,4.5
2016,Canada,30 à 34 ans,Femmes,Influenza and pneumonia,1.2
2016,Canada,30 à 34 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,30 à 34 ans,Femmes,Chronic lower respiratory diseases,0.7
2016,Canada,35 à 44 ans,Les deux sexes,Malignant neoplasms,23.1
2016,Canada,35 à 44 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,35 à 44 ans,Les deux sexes,Diabetes mellitus,1.8
2016,Canada,35 à 44 ans,Les deux sexes,Diseases of heart,9.1
2016,Canada,35 à 44 ans,Les deux sexes,Influenza and pneumonia,1.4
2016,Canada,35 à 44 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,35 à 44 ans,Les deux sexes,Chronic lower respiratory diseases,0.4
2016,Canada,35 à 44 ans,Hommes,Malignant neoplasms,15.5
2016,Canada,35 à 44 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2016,Canada,35 à 44 ans,Hommes,Diabetes mellitus,1.8
2016,Canada,35 à 44 ans,Hommes,Diseases of heart,10.4
2016,Canada,35 à 44 ans,Hommes,Influenza and pneumonia,1.1
2016,Canada,35 à 44 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,35 à 44 ans,Hommes,Chronic lower respiratory diseases,0.2
2016,Canada,35 à 44 ans,Femmes,Malignant neoplasms,35.5
2016,Canada,35 à 44 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,35 à 44 ans,Femmes,Diabetes mellitus,1.9
2016,Canada,35 à 44 ans,Femmes,Diseases of heart,6.9
2016,Canada,35 à 44 ans,Femmes,Influenza and pneumonia,1.9
2016,Canada,35 à 44 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,35 à 44 ans,Femmes,Chronic lower respiratory diseases,0.7
2016,Canada,45 à 54 ans,Les deux sexes,Malignant neoplasms,34.5
2016,Canada,45 à 54 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,45 à 54 ans,Les deux sexes,Diabetes mellitus,2.5
2016,Canada,45 à 54 ans,Les deux sexes,Diseases of heart,14.7
2016,Canada,45 à 54 ans,Les deux sexes,Influenza and pneumonia,1.4
2016,Canada,45 à 54 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,45 à 54 ans,Les deux sexes,Chronic lower respiratory diseases,1.3
2016,Canada,45 à 54 ans,Hommes,Malignant neoplasms,26.0
2016,Canada,45 à 54 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,45 à 54 ans,Hommes,Diabetes mellitus,2.8
2016,Canada,45 à 54 ans,Hommes,Diseases of heart,18.6
2016,Canada,45 à 54 ans,Hommes,Influenza and pneumonia,1.4
2016,Canada,45 à 54 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,45 à 54 ans,Hommes,Chronic lower respiratory diseases,1.0
2016,Canada,45 à 54 ans,Femmes,Malignant neoplasms,47.1
2016,Canada,45 à 54 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2016,Canada,45 à 54 ans,Femmes,Diabetes mellitus,2.0
2016,Canada,45 à 54 ans,Femmes,Diseases of heart,8.9
2016,Canada,45 à 54 ans,Femmes,Influenza and pneumonia,1.5
2016,Canada,45 à 54 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,45 à 54 ans,Femmes,Chronic lower respiratory diseases,1.6
2016,Canada,55 à 64 ans,Les deux sexes,Malignant neoplasms,44.1
2016,Canada,55 à 64 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2016,Canada,55 à 64 ans,Les deux sexes,Diabetes mellitus,2.6
2016,Canada,55 à 64 ans,Les deux sexes,Diseases of heart,16.8
2016,Canada,55 à 64 ans,Les deux sexes,Influenza and pneumonia,1.4
2016,Canada,55 à 64 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,55 à 64 ans,Les deux sexes,Chronic lower respiratory diseases,3.2
2016,Canada,55 à 64 ans,Hommes,Malignant neoplasms,38.5
2016,Canada,55 à 64 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,55 à 64 ans,Hommes,Diabetes mellitus,2.9
2016,Canada,55 à 64 ans,Hommes,Diseases of heart,20.8
2016,Canada,55 à 64 ans,Hommes,Influenza and pneumonia,1.4
2016,Canada,55 à 64 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,55 à 64 ans,Hommes,Chronic lower respiratory diseases,3.0
2016,Canada,55 à 64 ans,Femmes,Malignant neoplasms,52.8
2016,Canada,55 à 64 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,55 à 64 ans,Femmes,Diabetes mellitus,2.3
2016,Canada,55 à 64 ans,Femmes,Diseases of heart,10.7
2016,Canada,55 à 64 ans,Femmes,Influenza and pneumonia,1.4
2016,Canada,55 à 64 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,55 à 64 ans,Femmes,Chronic lower respiratory diseases,3.7
2016,Canada,65 à 74 ans,Les deux sexes,Malignant neoplasms,44.5
2016,Canada,65 à 74 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,65 à 74 ans,Les deux sexes,Diabetes mellitus,3.1
2016,Canada,65 à 74 ans,Les deux sexes,Diseases of heart,17.2
2016,Canada,65 à 74 ans,Les deux sexes,Influenza and pneumonia,1.4
2016,Canada,65 à 74 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,65 à 74 ans,Les deux sexes,Chronic lower respiratory diseases,5.5
2016,Canada,65 à 74 ans,Hommes,Malignant neoplasms,41.7
2016,Canada,65 à 74 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,65 à 74 ans,Hommes,Diabetes mellitus,3.3
2016,Canada,65 à 74 ans,Hommes,Diseases of heart,19.7
2016,Canada,65 à 74 ans,Hommes,Influenza and pneumonia,1.4
2016,Canada,65 à 74 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,65 à 74 ans,Hommes,Chronic lower respiratory diseases,5.0
2016,Canada,65 à 74 ans,Femmes,Malignant neoplasms,48.3
2016,Canada,65 à 74 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,65 à 74 ans,Femmes,Diabetes mellitus,2.7
2016,Canada,65 à 74 ans,Femmes,Diseases of heart,13.6
2016,Canada,65 à 74 ans,Femmes,Influenza and pneumonia,1.4
2016,Canada,65 à 74 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,65 à 74 ans,Femmes,Chronic lower respiratory diseases,6.2
2016,Canada,75 à 84 ans,Les deux sexes,Malignant neoplasms,33.3
2016,Canada,75 à 84 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2016,Canada,75 à 84 ans,Les deux sexes,Diabetes mellitus,2.9
2016,Canada,75 à 84 ans,Les deux sexes,Diseases of heart,19.2
2016,Canada,75 à 84 ans,Les deux sexes,Influenza and pneumonia,2.0
2016,Canada,75 à 84 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,75 à 84 ans,Les deux sexes,Chronic lower respiratory diseases,6.1
2016,Canada,75 à 84 ans,Hommes,Malignant neoplasms,34.0
2016,Canada,75 à 84 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2016,Canada,75 à 84 ans,Hommes,Diabetes mellitus,2.9
2016,Canada,75 à 84 ans,Hommes,Diseases of heart,20.6
2016,Canada,75 à 84 ans,Hommes,Influenza and pneumonia,2.0
2016,Canada,75 à 84 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,75 à 84 ans,Hommes,Chronic lower respiratory diseases,5.7
2016,Canada,75 à 84 ans,Femmes,Malignant neoplasms,32.4
2016,Canada,75 à 84 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2016,Canada,75 à 84 ans,Femmes,Diabetes mellitus,2.8
2016,Canada,75 à 84 ans,Femmes,Diseases of heart,17.6
2016,Canada,75 à 84 ans,Femmes,Influenza and pneumonia,2.0
2016,Canada,75 à 84 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,75 à 84 ans,Femmes,Chronic lower respiratory diseases,6.5
2016,Canada,85 ans et plus,Les deux sexes,Malignant neoplasms,16.8
2016,Canada,85 ans et plus,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,85 ans et plus,Les deux sexes,Diabetes mellitus,2.3
2016,Canada,85 ans et plus,Les deux sexes,Diseases of heart,23.5
2016,Canada,85 ans et plus,Les deux sexes,Influenza and pneumonia,3.6
2016,Canada,85 ans et plus,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,85 ans et plus,Les deux sexes,Chronic lower respiratory diseases,4.5
2016,Canada,85 ans et plus,Hommes,Malignant neoplasms,20.6
2016,Canada,85 ans et plus,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2016,Canada,85 ans et plus,Hommes,Diabetes mellitus,2.3
2016,Canada,85 ans et plus,Hommes,Diseases of heart,23.5
2016,Canada,85 ans et plus,Hommes,Influenza and pneumonia,3.7
2016,Canada,85 ans et plus,Hommes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,85 ans et plus,Hommes,Chronic lower respiratory diseases,5.4
2016,Canada,85 ans et plus,Femmes,Malignant neoplasms,14.3
2016,Canada,85 ans et plus,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,85 ans et plus,Femmes,Diabetes mellitus,2.2
2016,Canada,85 ans et plus,Femmes,Diseases of heart,23.4
2016,Canada,85 ans et plus,Femmes,Influenza and pneumonia,3.5
2016,Canada,85 ans et plus,Femmes,Acute bronchitis and bronchiolitis,0.0
2016,Canada,85 ans et plus,Femmes,Chronic lower respiratory diseases,4.0
2017,Canada,30 à 34 ans,Les deux sexes,Malignant neoplasms,10.4
2017,Canada,30 à 34 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,Canada,30 à 34 ans,Les deux sexes,Diabetes mellitus,1.6
2017,Canada,30 à 34 ans,Les deux sexes,Diseases of heart,4.9
2017,Canada,30 à 34 ans,Les deux sexes,Influenza and pneumonia,0.7
2017,Canada,30 à 34 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2017,Canada,30 à 34 ans,Les deux sexes,Chronic lower respiratory diseases,0.4
2017,Canada,30 à 34 ans,Hommes,Malignant neoplasms,7.2
2017,Canada,30 à 34 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,Canada,30 à 34 ans,Hommes,Diabetes mellitus,1.3
2017,Canada,30 à 34 ans,Hommes,Diseases of heart,4.6
2017,Canada,30 à 34 ans,Hommes,Influenza and pneumonia,0.5
2017,Canada,30 à 34 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2017,Canada,30 à 34 ans,Hommes,Chronic lower respiratory diseases,0.3
2017,Canada,30 à 34 ans,Femmes,Malignant neoplasms,17.8
2017,Canada,30 à 34 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,Canada,30 à 34 ans,Femmes,Diabetes mellitus,2.5
2017,Canada,30 à 34 ans,Femmes,Diseases of heart,5.7
2017,Canada,30 à 34 ans,Femmes,Influenza and pneumonia,0.9
2017,Canada,30 à 34 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2017,Canada,30 à 34 ans,Femmes,Chronic lower respiratory diseases,0.8
2017,Canada,35 à 44 ans,Les deux sexes,Malignant neoplasms,21.1
2017,Canada,35 à 44 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2017,Canada,35 à 44 ans,Les deux sexes,Diabetes mellitus,1.9
2017,Canada,35 à 44 ans,Les deux sexes,Diseases of heart,9.1
2017,Canada,35 à 44 ans,Les deux sexes,Influenza and pneumonia,0.8
2017,Canada,35 à 44 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2017,Canada,35 à 44 ans,Les deux sexes,Chronic lower respiratory diseases,0.3
2017,Canada,35 à 44 ans,Hommes,Malignant neoplasms,13.6
2017,Canada,35 à 44 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,Canada,35 à 44 ans,Hommes,Diabetes mellitus,1.9
2017,Canada,35 à 44 ans,Hommes,Diseases of heart,10.4
2017,Canada,35 à 44 ans,Hommes,Influenza and pneumonia,0.7
2017,Canada,35 à 44 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2017,Canada,35 à 44 ans,Hommes,Chronic lower respiratory diseases,0.3
2017,Canada,35 à 44 ans,Femmes,Malignant neoplasms,35.0
2017,Canada,35 à 44 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,Canada,35 à 44 ans,Femmes,Diabetes mellitus,1.9
2017,Canada,35 à 44 ans,Femmes,Diseases of heart,6.8
2017,Canada,35 à 44 ans,Femmes,Influenza and pneumonia,1.1
2017,Canada,35 à 44 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2017,Canada,35 à 44 ans,Femmes,Chronic lower respiratory diseases,0.4
2017,Canada,45 à 54 ans,Les deux sexes,Malignant neoplasms,34.2
2017,Canada,45 à 54 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
