Year,Series,Services de base,Niveau de compétence,Units,Sexe,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2003,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,77.8
2004,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,78.3
2005,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,78.7
2006,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,79.2
2007,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,79.6
2008,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,79.9
2009,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,80.3
2010,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,80.7
2011,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,81.1
2012,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,81.4
2013,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,81.8
2014,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,82.2
2015,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,82.6
2016,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,82.9
2017,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,83.3
2018,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,83.7
2019,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,84.1
2020,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,84.0
2021,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,83.9
2022,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,83.9
2015,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,,100.0
2016,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,,100.0
2017,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,,100.0
2018,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,,100.0
2019,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,,100.0
2020,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,,100.0
2021,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,,100.0
2022,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,,100.0
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,,,,97.7
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Terre-Neuve-et-Labrador,,10,96.1
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Île-du-Prince-Édouard,,11,99.9
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Nouvelle-Écosse,,12,97.7
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Nouveau-Brunswick,,13,97.1
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Québec,,24,98.0
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Ontario,,35,98.8
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Manitoba,,46,97.2
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Saskatchewan,,47,98.2
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Alberta,,48,98.0
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Colombie-Britannique,,59,95.0
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Yukon,,60,88.2
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Territoires du Nord-Ouest,,61,91.8
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Nunavut,,62,82.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,,,,75.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Terre-Neuve-et-Labrador,,10,26.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"St. John's, Terre-Neuve-et-Labrador",,,59.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Île-du-Prince-Édouard,,11,16.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nouvelle-Écosse,,12,37.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Halifax, Nouvelle-Écosse",,,70.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nouveau-Brunswick,,13,28.8
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Moncton, Nouveau-Brunswick",,,65.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saint John, Nouveau-Brunswick",,,49.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Québec,,24,66.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Ottawa - Gatineau (partie du Québec), Québec",,,77.2
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saguenay, Québec",,,75.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Sherbrooke, Québec",,,76.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Ontario,,35,75.2
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Barrie, Ontario",,,66.8
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Belleville, Ontario",,,57.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Brantford, Ontario",,,69.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Greater Sudbury / Grand Sudbury, Ontario",,,66.5
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Guelph, Ontario",,,83.5
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Hamilton, Ontario",,,81.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kingston, Ontario",,,69.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kitchener - Cambridge - Waterloo, Ontario",,,86.2
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"London, Ontario",,,77.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Oshawa, Ontario",,,88.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Ottawa - Gatineau (partie de l'Ontario), Ontario",,,85.0
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Peterborough, Ontario",,,62.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"St. Catharines - Niagara, Ontario",,,80.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Thunder Bay, Ontario",,,76.3
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Toronto, Ontario",,,93.0
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Windsor, Ontario",,,67.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Manitoba,,46,57.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Winnipeg, Manitoba",,,88.2
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Saskatchewan,,47,50.3
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Regina, Saskatchewan",,,90.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saskatoon, Saskatchewan",,,82.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Alberta,,48,67.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Calgary, Alberta",,,88.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Edmonton, Alberta",,,82.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Lethbridge, Alberta",,,71.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Colombie-Britannique,,59,78.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Abbotsford - Mission, Colombie-Britannique",,,79.3
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kelowna, Colombie-Britannique",,,73.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Vancouver, Colombie-Britannique",,,92.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Victoria, Colombie-Britannique",,,90.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Yukon,,60,56.3
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Territoires du Nord-Ouest,,61,41.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nunavut,,62,0.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Terre-Neuve-et-Labrador,,10,54.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"St. John's, Terre-Neuve-et-Labrador",,,54.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Île-du-Prince-Édouard,,11,40.4
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nouvelle-Écosse,,12,58.3
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Halifax, Nouvelle-Écosse",,,65.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nouveau-Brunswick,,13,51.1
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Moncton, Nouveau-Brunswick",,,62.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saint John, Nouveau-Brunswick",,,42.3
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Québec,,24,79.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saguenay, Québec",,,79.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Sherbrooke, Québec",,,72.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Ontario,,35,73.8
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Barrie, Ontario",,,56.3
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Belleville, Ontario",,,55.9
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Brantford, Ontario",,,65.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Greater Sudbury / Grand Sudbury, Ontario",,,67.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Guelph, Ontario",,,76.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Hamilton, Ontario",,,71.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kingston, Ontario",,,67.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kitchener - Cambridge - Waterloo, Ontario",,,76.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"London, Ontario",,,69.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Oshawa, Ontario",,,62.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Ottawa - Gatineau (partie de l'Ontario), Ontario",,,76.4
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Peterborough, Ontario",,,61.3
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"St. Catharines - Niagara, Ontario",,,60.6
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Thunder Bay, Ontario",,,74.8
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Toronto, Ontario",,,82.9
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Windsor, Ontario",,,50.1
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Manitoba,,46,82.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Winnipeg, Manitoba",,,83.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Saskatchewan,,47,79.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Regina, Saskatchewan",,,86.4
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saskatoon, Saskatchewan",,,79.8
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Alberta,,48,76.4
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Calgary, Alberta",,,80.1
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Edmonton, Alberta",,,75.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Lethbridge, Alberta",,,55.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Colombie-Britannique,,59,75.9
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Abbotsford - Mission, Colombie-Britannique",,,74.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kelowna, Colombie-Britannique",,,64.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Vancouver, Colombie-Britannique",,,84.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Victoria, Colombie-Britannique",,,84.8
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Yukon,,60,75.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Territoires du Nord-Ouest,,61,87.9
2002,Access to basic waste collection services,,,Tonnes,,,,,24081371.0
2004,Access to basic waste collection services,,,Tonnes,,,,,25226766.0
2006,Access to basic waste collection services,,,Tonnes,,,,,26417011.0
2008,Access to basic waste collection services,,,Tonnes,,,,,25926476.0
2010,Access to basic waste collection services,,,Tonnes,,,,,24952415.0
2012,Access to basic waste collection services,,,Tonnes,,,,,24681474.0
2014,Access to basic waste collection services,,,Tonnes,,,,,24766650.0
2016,Access to basic waste collection services,,,Tonnes,,,,,24940747.0
2018,Access to basic waste collection services,,,Tonnes,,,,,25733021.0
2020,Access to basic waste collection services,,,Tonnes,,,,,26107720.0
2002,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,8446766.0
2002,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,15634606.0
2002,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,376594.0
2002,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,216218.0
2002,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,160376.0
2002,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2002,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2002,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2002,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,389194.0
2002,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,169649.0
2002,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,219546.0
2002,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,413606.0
2002,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,203506.0
2002,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,210100.0
2002,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,5846459.0
2002,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,1875235.0
2002,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,3971225.0
2002,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9645633.0
2002,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3438408.0
2002,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6207225.0
2002,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,896556.0
2002,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,412612.0
2002,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,483944.0
2002,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,795124.0
2002,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,278692.0
2002,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,516432.0
2002,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,2890294.0
2002,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,866398.0
2002,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2023896.0
2002,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2687882.0
2002,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,929101.0
2002,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1758781.0
