Year,Series,Educational indicator,Level of education,Age group,Sex,Area,Value
2022,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-24 years old,,,1.14
2023,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-24 years old,,,1.12
2015,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-64 years old,,,1.12
2016,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-64 years old,,,1.11
2017,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-64 years old,,,1.12
2018,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-64 years old,,,1.13
2019,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-64 years old,,,1.12
2020,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-64 years old,,,1.15
2021,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-64 years old,,,1.18
2022,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-64 years old,,,1.17
2023,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-64 years old,,,1.14
2015,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,25-54 years old,,,1.28
2016,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,25-54 years old,,,1.27
2017,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,25-54 years old,,,1.28
2018,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,25-54 years old,,,1.32
2019,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,25-54 years old,,,1.29
2020,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,25-54 years old,,,1.31
2021,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,25-54 years old,,,1.38
2022,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,25-54 years old,,,1.37
2023,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,25-54 years old,,,1.32
2015,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,55-64 years old,,,1.38
2016,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,55-64 years old,,,1.43
2017,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,55-64 years old,,,1.25
2018,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,55-64 years old,,,1.36
2019,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,55-64 years old,,,1.23
2020,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,55-64 years old,,,1.39
2021,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,55-64 years old,,,1.12
2022,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,55-64 years old,,,1.17
2023,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,55-64 years old,,,1.44
2015,Gender Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,,,,,1.07
2018,Gender Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,,,,,1.09
2022,Gender Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,,,,,1.09
2015,Gender Parity Index,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",,,,,1.07
2016,Gender Parity Index,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",,,,,1.2
2017,Gender Parity Index,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",,,,,1.3
2018,Gender Parity Index,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",,,,,1.35
2019,Gender Parity Index,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",,,,,1.18
2020,Gender Parity Index,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",,,,,1.18
2021,Gender Parity Index,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",,,,,1.17
2022,Gender Parity Index,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",,,,,1.17
2015,Gender Parity Index,Out-of-school rate for adolescents and youth of lower and upper secondary school age,,,,,1.0
2016,Gender Parity Index,Out-of-school rate for adolescents and youth of lower and upper secondary school age,,,,,1.0
2017,Gender Parity Index,Out-of-school rate for adolescents and youth of lower and upper secondary school age,,,,,1.1
2018,Gender Parity Index,Out-of-school rate for adolescents and youth of lower and upper secondary school age,,,,,1.18
2019,Gender Parity Index,Out-of-school rate for adolescents and youth of lower and upper secondary school age,,,,,1.1
2020,Gender Parity Index,Out-of-school rate for adolescents and youth of lower and upper secondary school age,,,,,1.12
2021,Gender Parity Index,Out-of-school rate for adolescents and youth of lower and upper secondary school age,,,,,1.16
2022,Gender Parity Index,Out-of-school rate for adolescents and youth of lower and upper secondary school age,,,,,1.2
2015,Gender Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,0.96
2016,Gender Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.04
2017,Gender Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.1
2018,Gender Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.16
2019,Gender Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.07
2020,Gender Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.09
2021,Gender Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.11
2022,Gender Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.14
2016,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,Rural,1.06
2021,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,Rural,1.06
2016,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,Urban,1.0
2021,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,Urban,1.0
2016,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,Rural,1.03
2021,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,Rural,1.05
2016,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,Urban,0.99
2021,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,Urban,1.01
2016,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,Rural,1.32
2021,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,Rural,1.31
2016,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,Urban,1.12
2021,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,Urban,1.11
2016,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,Rural,1.29
2021,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,Rural,1.32
2016,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,Urban,1.04
2021,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,Urban,1.07
2016,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,Rural,1.05
2021,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,Rural,1.17
2016,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,Urban,0.86
2021,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,Urban,0.94
2016,Gender Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,,,0.56
2021,Gender Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,,,0.65
2016,Gender Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,,Rural,0.69
2021,Gender Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,,Rural,0.76
2016,Gender Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,,Urban,0.55
2021,Gender Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,,Urban,0.63
2016,Gender Parity Index,Proportion of children/young people at the age of primary education prepared for the future in reading,,,,,1.01
2016,Gender Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading,,,,,1.01
2021,Gender Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading,,,,,1.01
2016,Gender Parity Index,Out-of-school rate for children of primary school age,,,,,1.6
2017,Gender Parity Index,Out-of-school rate for children of primary school age,,,,,1.71
2018,Gender Parity Index,Out-of-school rate for children of primary school age,,,,,1.77
2019,Gender Parity Index,Out-of-school rate for children of primary school age,,,,,1.4
2020,Gender Parity Index,Out-of-school rate for children of primary school age,,,,,1.35
2021,Gender Parity Index,Out-of-school rate for children of primary school age,,,,,1.18
2022,Gender Parity Index,Out-of-school rate for children of primary school age,,,,,1.11
2016,Gender Parity Index,Out-of-school rate for children and adolescents of primary and lower secondary school age,,,,,1.53
2017,Gender Parity Index,Out-of-school rate for children and adolescents of primary and lower secondary school age,,,,,1.71
2018,Gender Parity Index,Out-of-school rate for children and adolescents of primary and lower secondary school age,,,,,1.79
2019,Gender Parity Index,Out-of-school rate for children and adolescents of primary and lower secondary school age,,,,,1.45
2020,Gender Parity Index,Out-of-school rate for children and adolescents of primary and lower secondary school age,,,,,1.4
2021,Gender Parity Index,Out-of-school rate for children and adolescents of primary and lower secondary school age,,,,,1.26
2022,Gender Parity Index,Out-of-school rate for children and adolescents of primary and lower secondary school age,,,,,1.21
2018,Gender Parity Index,"Adjusted net enrolment rate, one year before the official primary entry age",,,,,0.99
2019,Gender Parity Index,"Adjusted net enrolment rate, one year before the official primary entry age",,,,,1.0
2020,Gender Parity Index,"Adjusted net enrolment rate, one year before the official primary entry age",,,,,1.0
2021,Gender Parity Index,"Adjusted net enrolment rate, one year before the official primary entry age",,,,,1.0
2022,Gender Parity Index,"Adjusted net enrolment rate, one year before the official primary entry age",,,,,1.01
2018,Gender Parity Index,Out-of-school rate for children one year before the official age,,,,,1.25
2019,Gender Parity Index,Out-of-school rate for children one year before the official age,,,,,1.01
2020,Gender Parity Index,Out-of-school rate for children one year before the official age,,,,,0.92
2021,Gender Parity Index,Out-of-school rate for children one year before the official age,,,,,0.95
2022,Gender Parity Index,Out-of-school rate for children one year before the official age,,,,,0.85
2019,Gender Parity Index,Proportion of 15-24 year-olds enrolled in vocational education,,,,,0.96
2020,Gender Parity Index,Proportion of 15-24 year-olds enrolled in vocational education,,,,,0.96
2021,Gender Parity Index,Proportion of 15-24 year-olds enrolled in vocational education,,,,,0.99
2022,Gender Parity Index,Proportion of 15-24 year-olds enrolled in vocational education,,,,,0.96
2015,Location Parity Index,Completion rate,Upper secondary education,,,,0.94
2016,Location Parity Index,Completion rate,Upper secondary education,,,,1.01
2017,Location Parity Index,Completion rate,Upper secondary education,,,,0.95
2015,Location Parity Index,Percentage of students in early grades who have their first or home language as language of instruction,,,,,1.16
2016,Location Parity Index,Percentage of students in early grades who have their first or home language as language of instruction,,,,,1.18
2019,Location Parity Index,Percentage of students in early grades who have their first or home language as language of instruction,,,,,1.17
2015,Location Parity Index,Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,,,,,1.14
2018,Location Parity Index,Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,,,,,1.18
2022,Location Parity Index,Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,,,,,1.17
2015,Location Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics,,,,,0.84
2019,Location Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics,,,,,0.86
2015,Location Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.03
2016,Location Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.08
2017,Location Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.7
2018,Location Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.79
2016,Location Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,Female,,0.95
2021,Location Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,Female,,0.96
2016,Location Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,Both sexes,,0.93
2021,Location Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,Both sexes,,0.94
2016,Location Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,Male,,0.9
2021,Location Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,Male,,0.91
2016,Location Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,Female,,0.89
2021,Location Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,Female,,0.88
2016,Location Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,Both sexes,,0.88
2021,Location Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,Both sexes,,0.86
2016,Location Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,Male,,0.86
2021,Location Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,Male,,0.85
2016,Location Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,Female,,0.84
2021,Location Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,Female,,0.8
2016,Location Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,Both sexes,,0.75
2021,Location Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,Both sexes,,0.71
2016,Location Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,Male,,0.65
2021,Location Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,Male,,0.62
2016,Location Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,Female,,0.57
2021,Location Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,Female,,0.58
2016,Location Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,Both sexes,,0.5
2021,Location Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,Both sexes,,0.5
2016,Location Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,Male,,0.42
2021,Location Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,Male,,0.42
2016,Location Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,Female,,0.46
2021,Location Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,Female,,0.47
2016,Location Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,Both sexes,,0.42
2021,Location Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,Both sexes,,0.42
2016,Location Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,Male,,0.38
2021,Location Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,Male,,0.37
2016,Location Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,Female,,0.45
2021,Location Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,Female,,0.43
2016,Location Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,Both sexes,,0.4
2021,Location Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,Both sexes,,0.39
2016,Location Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,Male,,0.36
2021,Location Parity Index,Educational attainment rate,Completed Doctoral or equivalent education,25 years and over,Male,,0.36
2016,Location Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading,,,,,0.84
2021,Location Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading,,,,,1.0
2018,Location Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics,,,,,0.92
2018,Location Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,,,,,0.91
2019,Location Parity Index,Proficiency in knowledge of environmental science and geoscience,Lower secondary education,,,,1.03
