Year,Series,Indicateur d'éducation,Niveau de scolarité,Groupe d'âge,Sexe,Région,Value
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,,1.16
2017,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,,1.02
2018,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,,1.02
2019,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,,1.02
2020,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,,1.03
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,,1.14
2022,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,,1.04
2023,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,,1.03
2015,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,,1.05
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,,1.07
2017,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,,1.07
2018,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,,1.07
2019,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,,1.07
2020,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,,1.08
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,,1.1
2022,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,,1.09
2023,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,,1.09
2015,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,,0.92
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,,0.89
2017,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,,0.92
2018,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,,0.95
2019,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,,0.96
2020,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,,0.95
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,,0.97
2022,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,,0.99
2023,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,,1.04
2015,Indice de parité entre les sexes,Taux de scolarité,Au moins une partie de l'enseignement primaire (CITE 1),,,,1.0
2016,Indice de parité entre les sexes,Taux de scolarité,Au moins une partie de l'enseignement primaire (CITE 1),,,,1.0
2017,Indice de parité entre les sexes,Taux de scolarité,Au moins une partie de l'enseignement primaire (CITE 1),,,,1.0
2018,Indice de parité entre les sexes,Taux de scolarité,Au moins une partie de l'enseignement primaire (CITE 1),,,,1.0
2019,Indice de parité entre les sexes,Taux de scolarité,Au moins une partie de l'enseignement primaire (CITE 1),,,,1.0
2020,Indice de parité entre les sexes,Taux de scolarité,Au moins une partie de l'enseignement primaire (CITE 1),,,,1.0
2021,Indice de parité entre les sexes,Taux de scolarité,Au moins une partie de l'enseignement primaire (CITE 1),,,,1.0
2022,Indice de parité entre les sexes,Taux de scolarité,Au moins une partie de l'enseignement primaire (CITE 1),,,,1.0
2023,Indice de parité entre les sexes,Taux de scolarité,Au moins une partie de l'enseignement primaire (CITE 1),,,,1.0
2015,Indice de parité entre les sexes,Compétence en matière de sciences de l’environnement et de géosciences - Dimension cognitive,,,,,0.9
2015,Indice de parité entre les sexes,Compétence en matière de sciences de l’environnement et de géosciences,,,,,0.78
2019,Indice de parité entre les sexes,Compétence en matière de sciences de l’environnement et de géosciences,Enseignement secondaire inférieur,,,,0.87
2015,Indice de parité entre les sexes,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Confiance,,,,,0.81
2019,Indice de parité entre les sexes,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Confiance,,,,,0.88
2015,Indice de parité entre les sexes,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Plaisir,,,,,0.78
2019,Indice de parité entre les sexes,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Confiance,,,,,0.92
2015,Indice de parité entre les sexes,Pourcentage d'élèves au début de leur scolarité dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,0.96
2016,Indice de parité entre les sexes,Pourcentage d'élèves au début de leur scolarité dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,0.97
2019,Indice de parité entre les sexes,Pourcentage d'élèves au début de leur scolarité dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,0.99
2015,Indice de parité entre les sexes,Pourcentage d'élèves à la fin du premier cycle de l'enseignement secondaire dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,1.0
2018,Indice de parité entre les sexes,Pourcentage d'élèves à la fin du premier cycle de l'enseignement secondaire dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,1.0
2022,Indice de parité entre les sexes,Pourcentage d'élèves à la fin du premier cycle de l'enseignement secondaire dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,0.98
2015,Indice de parité entre les sexes,Taux brut de scolarisation pour l'enseignement tertiaire,,,,,1.28
2016,Indice de parité entre les sexes,Taux brut de scolarisation pour l'enseignement tertiaire,,,,,1.27
2017,Indice de parité entre les sexes,Taux brut de scolarisation pour l'enseignement tertiaire,,,,,1.27
2018,Indice de parité entre les sexes,Taux brut de scolarisation pour l'enseignement tertiaire,,,,,1.27
2019,Indice de parité entre les sexes,Taux brut de scolarisation pour l'enseignement tertiaire,,,,,1.27
2020,Indice de parité entre les sexes,Taux brut de scolarisation pour l'enseignement tertiaire,,,,,1.27
2021,Indice de parité entre les sexes,Taux brut de scolarisation pour l'enseignement tertiaire,,,,,1.28
2022,Indice de parité entre les sexes,Taux brut de scolarisation pour l'enseignement tertiaire,,,,,1.28
2015,Indice de parité entre les sexes,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.99
2018,Indice de parité entre les sexes,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,1.0
2022,Indice de parité entre les sexes,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.99
2015,Indice de parité entre les sexes,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.95
2019,Indice de parité entre les sexes,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,1.11
2015,Indice de parité entre les sexes,Proportion d'enfants/de jeunes à l'âge de l'enseignement primaire préparés pour l'avenir en mathématiques,,,,,0.96
2015,Indice de parité entre les sexes,Proportion d'enfants/de jeunes à l'âge du premier cycle de l'enseignement secondaire préparés pour l'avenir en mathématiques,,,,,1.0
2015,Indice de parité entre les sexes,Proportion d'enfants/de jeunes à l'âge du premier cycle de l'enseignement secondaire préparés pour l'avenir en lecture,,,,,1.08
2015,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-24 ans,,,1.1
2016,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-24 ans,,,1.1
2017,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-24 ans,,,1.1
2018,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-24 ans,,,1.1
2019,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-24 ans,,,1.11
2020,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-24 ans,,,1.14
2021,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-24 ans,,,1.14
2022,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-24 ans,,,1.14
2023,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-24 ans,,,1.12
2015,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-64 ans,,,1.12
2016,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-64 ans,,,1.11
2017,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-64 ans,,,1.12
2018,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-64 ans,,,1.13
2019,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-64 ans,,,1.12
2020,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-64 ans,,,1.15
2021,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-64 ans,,,1.18
2022,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-64 ans,,,1.17
2023,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,15-64 ans,,,1.14
2015,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,25-54 ans,,,1.28
2016,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,25-54 ans,,,1.27
2017,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,25-54 ans,,,1.28
2018,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,25-54 ans,,,1.32
2019,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,25-54 ans,,,1.29
2020,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,25-54 ans,,,1.31
2021,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,25-54 ans,,,1.38
2022,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,25-54 ans,,,1.37
2023,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,25-54 ans,,,1.32
2015,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,55-64 ans,,,1.38
2016,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,55-64 ans,,,1.43
2017,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,55-64 ans,,,1.25
2018,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,55-64 ans,,,1.36
2019,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,55-64 ans,,,1.23
2020,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,55-64 ans,,,1.39
2021,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,55-64 ans,,,1.12
2022,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,55-64 ans,,,1.17
2023,Indice de parité entre les sexes,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,,55-64 ans,,,1.44
2015,Indice de parité entre les sexes,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en lecture,,,,,1.07
2018,Indice de parité entre les sexes,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en lecture,,,,,1.09
2022,Indice de parité entre les sexes,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en lecture,,,,,1.09
2015,Indice de parité entre les sexes,"Taux de non-scolarisation des enfants, des adolescents et des jeunes en âge de fréquenter l'école primaire, le premier cycle de l'enseignement secondaire et le deuxième cycle de l'enseignement secondaire",,,,,1.07
2016,Indice de parité entre les sexes,"Taux de non-scolarisation des enfants, des adolescents et des jeunes en âge de fréquenter l'école primaire, le premier cycle de l'enseignement secondaire et le deuxième cycle de l'enseignement secondaire",,,,,1.2
2017,Indice de parité entre les sexes,"Taux de non-scolarisation des enfants, des adolescents et des jeunes en âge de fréquenter l'école primaire, le premier cycle de l'enseignement secondaire et le deuxième cycle de l'enseignement secondaire",,,,,1.3
2018,Indice de parité entre les sexes,"Taux de non-scolarisation des enfants, des adolescents et des jeunes en âge de fréquenter l'école primaire, le premier cycle de l'enseignement secondaire et le deuxième cycle de l'enseignement secondaire",,,,,1.35
2019,Indice de parité entre les sexes,"Taux de non-scolarisation des enfants, des adolescents et des jeunes en âge de fréquenter l'école primaire, le premier cycle de l'enseignement secondaire et le deuxième cycle de l'enseignement secondaire",,,,,1.18
2020,Indice de parité entre les sexes,"Taux de non-scolarisation des enfants, des adolescents et des jeunes en âge de fréquenter l'école primaire, le premier cycle de l'enseignement secondaire et le deuxième cycle de l'enseignement secondaire",,,,,1.18
2021,Indice de parité entre les sexes,"Taux de non-scolarisation des enfants, des adolescents et des jeunes en âge de fréquenter l'école primaire, le premier cycle de l'enseignement secondaire et le deuxième cycle de l'enseignement secondaire",,,,,1.17
2022,Indice de parité entre les sexes,"Taux de non-scolarisation des enfants, des adolescents et des jeunes en âge de fréquenter l'école primaire, le premier cycle de l'enseignement secondaire et le deuxième cycle de l'enseignement secondaire",,,,,1.17
2015,Indice de parité entre les sexes,Taux de non-scolarisation des adolescents et des jeunes en âge de fréquenter le premier et le deuxième cycle de l'enseignement secondaire,,,,,1.0
2016,Indice de parité entre les sexes,Taux de non-scolarisation des adolescents et des jeunes en âge de fréquenter le premier et le deuxième cycle de l'enseignement secondaire,,,,,1.0
2017,Indice de parité entre les sexes,Taux de non-scolarisation des adolescents et des jeunes en âge de fréquenter le premier et le deuxième cycle de l'enseignement secondaire,,,,,1.1
2018,Indice de parité entre les sexes,Taux de non-scolarisation des adolescents et des jeunes en âge de fréquenter le premier et le deuxième cycle de l'enseignement secondaire,,,,,1.18
2019,Indice de parité entre les sexes,Taux de non-scolarisation des adolescents et des jeunes en âge de fréquenter le premier et le deuxième cycle de l'enseignement secondaire,,,,,1.1
2020,Indice de parité entre les sexes,Taux de non-scolarisation des adolescents et des jeunes en âge de fréquenter le premier et le deuxième cycle de l'enseignement secondaire,,,,,1.12
2021,Indice de parité entre les sexes,Taux de non-scolarisation des adolescents et des jeunes en âge de fréquenter le premier et le deuxième cycle de l'enseignement secondaire,,,,,1.16
2022,Indice de parité entre les sexes,Taux de non-scolarisation des adolescents et des jeunes en âge de fréquenter le premier et le deuxième cycle de l'enseignement secondaire,,,,,1.2
2015,Indice de parité entre les sexes,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,0.96
2016,Indice de parité entre les sexes,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.04
2017,Indice de parité entre les sexes,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.1
2018,Indice de parité entre les sexes,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.16
2019,Indice de parité entre les sexes,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.07
2020,Indice de parité entre les sexes,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.09
2021,Indice de parité entre les sexes,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.11
2022,Indice de parité entre les sexes,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.14
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,Rurale,1.06
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,Rurale,1.06
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,Urbain,1.0
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,Urbain,1.0
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,Rurale,1.03
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,Rurale,1.05
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,Urbain,0.99
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,Urbain,1.01
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,Rurale,1.32
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,Rurale,1.31
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,Urbain,1.12
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,Urbain,1.11
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,Rurale,1.29
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,Rurale,1.32
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,Urbain,1.04
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,,Urbain,1.07
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,Rurale,1.05
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,Rurale,1.17
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,Urbain,0.86
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,,Urbain,0.94
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,,,0.56
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,,,0.65
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,,Rurale,0.69
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,,Rurale,0.76
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,,Urbain,0.55
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,,Urbain,0.63
2016,Indice de parité entre les sexes,Proportion d'enfants/de jeunes à l'âge de l'enseignement primaire préparés pour l'avenir en lecture,,,,,1.01
2016,Indice de parité entre les sexes,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en lecture,,,,,1.01
2021,Indice de parité entre les sexes,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en lecture,,,,,1.01
2016,Indice de parité entre les sexes,Taux de non-scolarisation des enfants en âge de fréquenter l'école primaire,,,,,1.6
2017,Indice de parité entre les sexes,Taux de non-scolarisation des enfants en âge de fréquenter l'école primaire,,,,,1.71
2018,Indice de parité entre les sexes,Taux de non-scolarisation des enfants en âge de fréquenter l'école primaire,,,,,1.77
2019,Indice de parité entre les sexes,Taux de non-scolarisation des enfants en âge de fréquenter l'école primaire,,,,,1.4
2020,Indice de parité entre les sexes,Taux de non-scolarisation des enfants en âge de fréquenter l'école primaire,,,,,1.35
2021,Indice de parité entre les sexes,Taux de non-scolarisation des enfants en âge de fréquenter l'école primaire,,,,,1.18
2022,Indice de parité entre les sexes,Taux de non-scolarisation des enfants en âge de fréquenter l'école primaire,,,,,1.11
2016,Indice de parité entre les sexes,Taux de non-scolarisation des enfants et des adolescents en âge de fréquenter l'école primaire et le premier cycle du secondaire,,,,,1.53
2017,Indice de parité entre les sexes,Taux de non-scolarisation des enfants et des adolescents en âge de fréquenter l'école primaire et le premier cycle du secondaire,,,,,1.71
2018,Indice de parité entre les sexes,Taux de non-scolarisation des enfants et des adolescents en âge de fréquenter l'école primaire et le premier cycle du secondaire,,,,,1.79
