Year,Géographie,Composantes du secteur public,GeoCode,Value
2018,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,50.65
2018,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,60.21
2018,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,66.42
2018,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,56.82
2018,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,54.8
2018,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,53.89
2018,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,60.04
2018,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,13.39
2018,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,14.57
2018,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,6.75
2019,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,60.19
2019,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,43.35
2019,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,49.27
2019,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,52.42
2019,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,49.72
2019,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,60.26
2019,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,67.46
2019,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,55.41
2019,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,54.73
2019,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,50.54
2019,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,60.19
2019,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,12.8
2019,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,14.21
2019,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,6.69
2020,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,57.97
2020,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,57.58
2020,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,48.27
2020,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,49.95
2020,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,48.47
2020,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,58.2
2020,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,64.64
2020,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,52.43
2020,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,51.07
2020,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,49.54
2020,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,55.91
2020,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,11.35
2020,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,13.19
2020,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,5.8
2021,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,61.21
2021,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,56.04
2021,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,48.5
2021,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,52.21
2021,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,50.68
2021,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,63.37
2021,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,69.37
2021,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,55.25
2021,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,54.77
2021,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,45.09
2021,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,60.79
2021,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,12.33
2021,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,14.51
2021,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,6.18
