Year,Geography,Level of government,Type of heritage,Value
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.69496515062442e-05
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,9.81295613519399e-05
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",7.2259040631883e-05
2015,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00010519989065
2015,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.0001039934698856
2015,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1.0616502726149e-05
2015,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",7.69696447645803e-05
2015,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6.90898645587419e-06
2015,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,6.72055955253216e-05
2015,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0001295958368541
2015,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9.81913529637877e-05
2015,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0014062085433802
2015,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.0003714513133457
2015,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.30644733351022e-05
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0003164771571309
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.0002260551122363
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,2.26055112236363e-05
2015,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0002712661346836
2015,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0001644376233282
2015,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.0005755316816487
2015,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Nunavut,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0003562815172111
2016,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,4.51958788558807e-05
2016,Canada,Consolidated Canadian general government,Cultural services,0.0001600410440613
2016,Canada,Consolidated Canadian general government,Broadcasting and publishing services,9.4185774502972e-05
2016,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",5.2950073757625e-05
2016,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3.67770386768441e-05
2016,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.0001034631148318
2016,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,3.61954740592133e-05
2016,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.01807184355735e-05
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.51107048010487e-05
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,8.31088764057678e-05
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",3.77767620026217e-05
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.36083119569433e-05
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,8.84540277201315e-05
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.80415597847165e-06
2016,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.33349950678306e-05
2016,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,0.0001113715673691
2016,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9.01579354893455e-05
2016,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.44101657169057e-05
2016,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,7.8600903910395e-05
2016,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1.5720180782079e-05
2016,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6.32145831180593e-06
2016,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.0001345741221378
2016,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,8.26652240774622e-06
2016,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8.1206426005507e-05
2016,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,5.46290793616383e-05
2016,Ontario,Consolidated provincial-territorial and local governments,Cultural services,9.50603636912941e-05
2016,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5.12417881611146e-05
2016,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1.14591340613463e-05
2016,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.66334078815103e-05
2016,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.0001149041311459
2016,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1.59800447289062e-05
2016,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.32668157630205e-06
2016,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.49649599863379e-05
2016,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.0001038744281404
2016,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.63386728897426e-05
2016,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,7.81685490272901e-05
2016,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.000103906973707
2016,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,9.53274988137684e-06
2016,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",7.17339428573607e-05
2016,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6.7911714770798e-06
2016,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,6.89406801461131e-05
2016,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,9.58995729793692e-05
2016,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9.63111591294953e-05
2016,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0010895789555607
2016,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.0004929047656108
2016,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.18847121695592e-05
2016,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0002911599363927
2016,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.0002239691818405
2016,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,2.23969181840579e-05
2016,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0002687630182086
2016,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0001622718052738
2016,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.0005679513184584
2016,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Nunavut,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0004056795131845
2017,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,5.05674665775862e-05
2017,Canada,Consolidated Canadian general government,Cultural services,0.0001721701838236
2017,Canada,Consolidated Canadian general government,Broadcasting and publishing services,0.0001034881810586
2017,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",5.07316466638771e-05
2017,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,4.12092016590069e-05
2017,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.0001078115899976
2017,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4.43833499939636e-05
2017,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4.90624824532533e-05
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.32513265524402e-05
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,9.27592858670816e-05
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",3.78609330069721e-05
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.32976955093682e-05
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,8.64350208108935e-05
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.64884775468411e-06
2017,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.21027504241623e-05
2017,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,9.78836090212902e-05
2017,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9.78836090212902e-05
2017,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.34796594405841e-05
2017,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,8.34832335665211e-05
2017,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0
2017,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.68632784405515e-05
2017,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.0001399652110565
2017,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,8.31118723141465e-06
2017,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8.238916038098e-05
2017,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6.12644891049777e-05
2017,Ontario,Consolidated provincial-territorial and local governments,Cultural services,9.95725629188791e-05
2017,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5.5720834638402e-05
2017,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9.52371408360442e-06
2017,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.54721716524697e-05
2017,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.0001191198615512
2017,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1.49836303838057e-05
2017,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.74263367271256e-06
2017,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.73863001170967e-05
2017,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.0001034484856967
2017,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.73747903864192e-05
2017,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,7.00290019098819e-05
2017,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.0001153002758718
2017,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1.06104548348306e-05
2017,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.76711230576973e-05
2017,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.05489854310397e-05
2017,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,6.93798657195301e-05
2017,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0001422084382145
2017,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9.45351386704708e-05
2017,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0008583690987124
2017,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.0003786922494319
2017,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.04922999242616e-05
2017,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0002895903410483
2017,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.0002004856207257
2017,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4.45523601612795e-05
2017,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0002895903410483
2017,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0001598039737921
2017,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.0006658498908006
2017,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Nunavut,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0004794119213764
2018,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,4.57573494235168e-05
2018,Canada,Consolidated Canadian general government,Cultural services,0.0001703490001533
2018,Canada,Consolidated Canadian general government,Broadcasting and publishing services,0.0001068930533113
2018,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",5.06136718859183e-05
2018,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3.66112754526605e-05
2018,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.0001089165210039
2018,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4.9642407393438e-05
2018,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4.87251020394288e-05
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.14163939417003e-05
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,8.56229545627521e-05
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",3.9957378795951e-05
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.30381496258051e-05
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,9.12670473806357e-05
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.51907481290255e-06
2018,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3.75623691838323e-05
2018,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,6.05171503517298e-05
2018,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0001053833135435
2018,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.46656826357489e-05
2018,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,8.43825984907199e-05
2018,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.19277529173661e-06
2018,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6.5462645943018e-06
2018,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.0001496119017279
2018,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,8.80770145415151e-06
2018,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8.02214970283529e-05
2018,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,5.60498275978588e-05
2018,Ontario,Consolidated provincial-territorial and local governments,Cultural services,9.94500058251286e-05
2018,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5.29747747121908e-05
2018,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9.85414674725448e-06
2018,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.51325929074344e-05
2018,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.0001204886071738
2018,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1.47838781808438e-05
2018,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.17435736329533e-06
2018,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.8936671466826e-05
2018,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.0001187845755646
2018,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4.13163741094385e-05
2018,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6.86321838411921e-05
2018,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.0001193502044424
2018,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,6.28158970749894e-06
2018,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.49097603108224e-05
2018,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,9.18076446229859e-06
2018,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,6.16707873663101e-05
2018,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0001913989808553
2018,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9.89925907239152e-05
2018,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0004935955971272
2018,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.0003948764777018
2018,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4.93595597127274e-05
2018,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0003112425246215
2018,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.0002223160890153
2018,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4.44632178030724e-05
2018,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0003112425246215
2018,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0001573027816375
2018,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.0007078625173688
2018,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Nunavut,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0004719083449125
2019,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,5.85619140650452e-05
2019,Canada,Consolidated Canadian general government,Cultural services,0.0001781058757918
2019,Canada,Consolidated Canadian general government,Broadcasting and publishing services,0.0001048369960238
2019,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",5.23121185131444e-05
2019,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,4.43070612317735e-05
2019,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.0001122835609367
2019,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4.8056938562914e-05
2019,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.03175029114739e-05
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.33734025948222e-05
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,7.06879851440602e-05
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4.20306938694412e-05
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.27049466709863e-05
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,6.98772066904249e-05
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.35247333549317e-06
2019,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3.09200890910834e-05
2019,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,2.88587498183445e-05
2019,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.000106158972546
2019,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.31622075127907e-05
2019,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,8.23545156010336e-05
2019,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1.28678930626615e-05
2019,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.24654803214165e-05
2019,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.0001574648882111
2019,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,8.93751419271374e-06
2019,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8.10256220892074e-05
2019,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,5.80967597752611e-05
2019,Ontario,Consolidated provincial-territorial and local governments,Cultural services,0.0001015490108734
2019,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5.88530489557675e-05
2019,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9.41923797539736e-06
2019,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.55483030817093e-05
2019,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.0001569395760733
2019,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4.08772849307349e-05
2019,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.83961213296213e-06
2019,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.96165560321336e-05
2019,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.0001364629984844
2019,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.2879411912708e-05
2019,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0001143819614833
2019,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.0001148404062187
2019,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,2.97989078012624e-06
2019,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.76205984720954e-05
