Year,Age at time of death,Sex,Causes of death,Value
2015,35 to 44 years,Males,Cerebrovascular diseases,2.5
2015,35 to 44 years,Males,Atherosclerosis,0.0
2015,35 to 44 years,Males,Aortic aneurysm and dissection,0.9
2015,35 to 44 years,Males,Chronic lower respiratory diseases,0.4
2015,35 to 44 years,Males,Pneumoconioses and chemical effects,0.0
2015,35 to 44 years,Males,Pneumonitis due to solids and liquids,0.1
2015,35 to 44 years,Females,Malignant neoplasms,27.4
2015,35 to 44 years,Females,Diabetes mellitus,1.3
2015,35 to 44 years,Females,Diseases of heart,5.3
2015,35 to 44 years,Females,Essential hypertension and hypertensive renal disease,0.1
2015,35 to 44 years,Females,Cerebrovascular diseases,1.9
2015,35 to 44 years,Females,Atherosclerosis,0.0
2015,35 to 44 years,Females,Aortic aneurysm and dissection,0.2
2015,35 to 44 years,Females,Chronic lower respiratory diseases,0.8
2015,35 to 44 years,Females,Pneumoconioses and chemical effects,0.0
2015,35 to 44 years,Females,Pneumonitis due to solids and liquids,0.1
2015,35 to 39 years,Both sexes,Malignant neoplasms,17.0
2015,35 to 39 years,Both sexes,Diabetes mellitus,1.6
2015,35 to 39 years,Both sexes,Diseases of heart,6.2
2015,35 to 39 years,Both sexes,Essential hypertension and hypertensive renal disease,0.1
2015,35 to 39 years,Both sexes,Cerebrovascular diseases,1.3
2015,35 to 39 years,Both sexes,Atherosclerosis,0.0
2015,35 to 39 years,Both sexes,Aortic aneurysm and dissection,0.2
2015,35 to 39 years,Both sexes,Chronic lower respiratory diseases,0.7
2015,35 to 39 years,Both sexes,Pneumoconioses and chemical effects,0.0
2015,35 to 39 years,Both sexes,Pneumonitis due to solids and liquids,0.1
2015,35 to 39 years,Males,Malignant neoplasms,14.7
2015,35 to 39 years,Males,Diabetes mellitus,2.1
2015,35 to 39 years,Males,Diseases of heart,9.2
2015,35 to 39 years,Males,Essential hypertension and hypertensive renal disease,0.1
2015,35 to 39 years,Males,Cerebrovascular diseases,1.5
2015,35 to 39 years,Males,Atherosclerosis,0.0
2015,35 to 39 years,Males,Aortic aneurysm and dissection,0.5
2015,35 to 39 years,Males,Chronic lower respiratory diseases,0.4
2015,35 to 39 years,Males,Pneumoconioses and chemical effects,0.0
2015,35 to 39 years,Males,Pneumonitis due to solids and liquids,0.2
2015,35 to 39 years,Females,Malignant neoplasms,19.3
2015,35 to 39 years,Females,Diabetes mellitus,1.1
2015,35 to 39 years,Females,Diseases of heart,3.2
2015,35 to 39 years,Females,Essential hypertension and hypertensive renal disease,0.2
2015,35 to 39 years,Females,Cerebrovascular diseases,1.2
2015,35 to 39 years,Females,Atherosclerosis,0.0
2015,35 to 39 years,Females,Aortic aneurysm and dissection,0.0
2015,35 to 39 years,Females,Chronic lower respiratory diseases,0.9
2015,35 to 39 years,Females,Pneumoconioses and chemical effects,0.0
2015,35 to 39 years,Females,Pneumonitis due to solids and liquids,0.0
2015,40 to 44 years,Both sexes,Malignant neoplasms,30.3
2015,40 to 44 years,Both sexes,Diabetes mellitus,2.8
2015,40 to 44 years,Both sexes,Diseases of heart,13.3
2015,40 to 44 years,Both sexes,Essential hypertension and hypertensive renal disease,0.1
2015,40 to 44 years,Both sexes,Cerebrovascular diseases,3.1
2015,40 to 44 years,Both sexes,Atherosclerosis,0.1
2015,40 to 44 years,Both sexes,Aortic aneurysm and dissection,0.9
2015,40 to 44 years,Both sexes,Chronic lower respiratory diseases,0.6
2015,40 to 44 years,Both sexes,Pneumoconioses and chemical effects,0.0
2015,40 to 44 years,Both sexes,Pneumonitis due to solids and liquids,0.1
2015,40 to 44 years,Males,Malignant neoplasms,24.8
2015,40 to 44 years,Males,Diabetes mellitus,4.1
2015,40 to 44 years,Males,Diseases of heart,19.2
2015,40 to 44 years,Males,Essential hypertension and hypertensive renal disease,0.2
2015,40 to 44 years,Males,Cerebrovascular diseases,3.6
2015,40 to 44 years,Males,Atherosclerosis,0.1
2015,40 to 44 years,Males,Aortic aneurysm and dissection,1.3
2015,40 to 44 years,Males,Chronic lower respiratory diseases,0.4
2015,40 to 44 years,Males,Pneumoconioses and chemical effects,0.1
2015,40 to 44 years,Males,Pneumonitis due to solids and liquids,0.0
2015,40 to 44 years,Females,Malignant neoplasms,35.8
2015,40 to 44 years,Females,Diabetes mellitus,1.5
2015,40 to 44 years,Females,Diseases of heart,7.5
2015,40 to 44 years,Females,Essential hypertension and hypertensive renal disease,0.1
2015,40 to 44 years,Females,Cerebrovascular diseases,2.7
2015,40 to 44 years,Females,Atherosclerosis,0.1
2015,40 to 44 years,Females,Aortic aneurysm and dissection,0.4
2015,40 to 44 years,Females,Chronic lower respiratory diseases,0.7
2015,40 to 44 years,Females,Pneumoconioses and chemical effects,0.0
2015,40 to 44 years,Females,Pneumonitis due to solids and liquids,0.3
2015,45 to 54 years,Both sexes,Malignant neoplasms,86.9
2015,45 to 54 years,Both sexes,Diabetes mellitus,6.3
2015,45 to 54 years,Both sexes,Diseases of heart,35.9
2015,45 to 54 years,Both sexes,Essential hypertension and hypertensive renal disease,0.5
2015,45 to 54 years,Both sexes,Cerebrovascular diseases,6.4
2015,45 to 54 years,Both sexes,Atherosclerosis,0.1
2015,45 to 54 years,Both sexes,Aortic aneurysm and dissection,1.1
2015,45 to 54 years,Both sexes,Chronic lower respiratory diseases,3.9
2015,45 to 54 years,Both sexes,Pneumoconioses and chemical effects,0.0
2015,45 to 54 years,Both sexes,Pneumonitis due to solids and liquids,0.4
2015,45 to 54 years,Males,Malignant neoplasms,80.2
2015,45 to 54 years,Males,Diabetes mellitus,8.4
2015,45 to 54 years,Males,Diseases of heart,55.0
2015,45 to 54 years,Males,Essential hypertension and hypertensive renal disease,0.8
2015,45 to 54 years,Males,Cerebrovascular diseases,6.8
2015,45 to 54 years,Males,Atherosclerosis,0.2
2015,45 to 54 years,Males,Aortic aneurysm and dissection,2.0
2015,45 to 54 years,Males,Chronic lower respiratory diseases,4.0
2015,45 to 54 years,Males,Pneumoconioses and chemical effects,0.0
2015,45 to 54 years,Males,Pneumonitis due to solids and liquids,0.6
2015,45 to 54 years,Females,Malignant neoplasms,93.6
2015,45 to 54 years,Females,Diabetes mellitus,4.1
2015,45 to 54 years,Females,Diseases of heart,16.8
2015,45 to 54 years,Females,Essential hypertension and hypertensive renal disease,0.2
2015,45 to 54 years,Females,Cerebrovascular diseases,5.9
2015,45 to 54 years,Females,Atherosclerosis,0.1
2015,45 to 54 years,Females,Aortic aneurysm and dissection,0.2
