Year,Series,Units,Economic activity,Value
2019,Water-use efficiency (USD per cubic metre),USD per cubic metre,,43.2
2019,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.25
2019,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,13.39
2019,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,244.7
2020,Water-use efficiency (USD per cubic metre),USD per cubic metre,,41.24
2020,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.25
2020,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,11.73
2020,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,238.9
2021,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.28
2021,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,245.82
2021,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,13.14
2021,Water-use efficiency (USD per cubic metre),USD per cubic metre,,43.11
2022,Water-use efficiency (USD per cubic metre),USD per cubic metre,,44.85
2022,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.32
2022,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,13.43
2022,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,256.7
2023,Water-use efficiency (USD per cubic metre),USD per cubic metre,,45.43
2023,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.33
2023,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,13.45
2023,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,260.87
