Year,Géographie,Science type,GeoCode,Value
2011,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.17
2011,Île-du-Prince-Édouard,Sciences totales,11,1.2
2011,Île-du-Prince-Édouard,Sciences naturelles et génie,,0.98
2011,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.24
2011,Nouvelle-Écosse,Sciences totales,12,1.34
2011,Nouvelle-Écosse,Sciences naturelles et génie,,1.12
2011,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.22
2011,Nouveau-Brunswick,Sciences totales,13,0.94
2011,Nouveau-Brunswick,Sciences naturelles et génie,,0.79
2011,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.15
2011,Québec,Sciences totales,24,2.43
2011,Québec,Sciences naturelles et génie,,2.25
2011,Québec,"Sciences sociales, humaines et les arts",,0.18
2011,Ontario,Sciences totales,35,2.18
2011,Ontario,Sciences naturelles et génie,,2.0
2011,Ontario,"Sciences sociales, humaines et les arts",,0.18
2011,Manitoba,Sciences totales,46,1.16
2011,Manitoba,Sciences naturelles et génie,,1.0
2011,Manitoba,"Sciences sociales, humaines et les arts",,0.16
2011,Saskatchewan,Sciences totales,47,0.77
2011,Saskatchewan,Sciences naturelles et génie,,0.7
2011,Saskatchewan,"Sciences sociales, humaines et les arts",,0.07
2011,Alberta,Sciences totales,48,1.1
2011,Alberta,Sciences naturelles et génie,,1.03
2011,Alberta,"Sciences sociales, humaines et les arts",,0.07
2011,Colombie-Britannique,Sciences totales,59,1.39
2011,Colombie-Britannique,Sciences naturelles et génie,,1.27
2011,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.12
2011,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2011,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2011,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2011,"National Capital Region, Ontario/Quebec",Sciences totales,,
2011,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2011,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2011,"National Capital Region, Quebec",Sciences totales,,
2011,"National Capital Region, Quebec",Sciences naturelles et génie,,
2011,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2011,"National Capital Region, Ontario",Sciences totales,,
2011,"National Capital Region, Ontario",Sciences naturelles et génie,,
2011,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2012,Canada,Sciences naturelles et génie,,1.6
2012,Canada,"Sciences sociales, humaines et les arts",,0.17
2012,Terre-Neuve-et-Labrador,Sciences totales,10,1.18
2012,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,0.99
2012,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.19
2012,Île-du-Prince-Édouard,Sciences totales,11,1.4
2012,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.13
2012,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.27
2012,Nouvelle-Écosse,Sciences totales,12,1.35
2012,Nouvelle-Écosse,Sciences naturelles et génie,,1.05
2012,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.29
2012,Nouveau-Brunswick,Sciences totales,13,0.89
2012,Nouveau-Brunswick,Sciences naturelles et génie,,0.68
2012,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.21
2012,Québec,Sciences totales,24,2.33
2012,Québec,Sciences naturelles et génie,,2.12
2012,Québec,"Sciences sociales, humaines et les arts",,0.21
2012,Ontario,Sciences totales,35,2.15
2012,Ontario,Sciences naturelles et génie,,1.94
2012,Ontario,"Sciences sociales, humaines et les arts",,0.21
2012,Manitoba,Sciences totales,46,1.15
2012,Manitoba,Sciences naturelles et génie,,0.98
2012,Manitoba,"Sciences sociales, humaines et les arts",,0.18
2012,Saskatchewan,Sciences totales,47,0.79
2012,Saskatchewan,Sciences naturelles et génie,,0.7
2012,Saskatchewan,"Sciences sociales, humaines et les arts",,0.09
2012,Alberta,Sciences totales,48,1.19
2012,Alberta,Sciences naturelles et génie,,1.11
2012,Alberta,"Sciences sociales, humaines et les arts",,0.08
2012,Colombie-Britannique,Sciences totales,59,1.35
2012,Colombie-Britannique,Sciences naturelles et génie,,1.21
2012,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.14
2012,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2012,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2012,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2012,"National Capital Region, Ontario/Quebec",Sciences totales,,
2012,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2012,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2012,"National Capital Region, Quebec",Sciences totales,,
2012,"National Capital Region, Quebec",Sciences naturelles et génie,,
2012,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2012,"National Capital Region, Ontario",Sciences totales,,
2012,"National Capital Region, Ontario",Sciences naturelles et génie,,
2012,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2013,Canada,Sciences naturelles et génie,,1.53
2013,Canada,"Sciences sociales, humaines et les arts",,0.18
2013,Terre-Neuve-et-Labrador,Sciences totales,10,0.91
2013,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,0.76
2013,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.16
2013,Île-du-Prince-Édouard,Sciences totales,11,1.3
2013,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.06
2013,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.23
2013,Nouvelle-Écosse,Sciences totales,12,1.36
2013,Nouvelle-Écosse,Sciences naturelles et génie,,1.09
2013,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.27
2013,Nouveau-Brunswick,Sciences totales,13,0.91
2013,Nouveau-Brunswick,Sciences naturelles et génie,,0.71
2013,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2013,Québec,Sciences totales,24,2.31
2013,Québec,Sciences naturelles et génie,,2.08
2013,Québec,"Sciences sociales, humaines et les arts",,0.23
2013,Ontario,Sciences totales,35,2.04
2013,Ontario,Sciences naturelles et génie,,1.83
2013,Ontario,"Sciences sociales, humaines et les arts",,0.21
2013,Manitoba,Sciences totales,46,1.13
2013,Manitoba,Sciences naturelles et génie,,0.95
2013,Manitoba,"Sciences sociales, humaines et les arts",,0.18
2013,Saskatchewan,Sciences totales,47,0.85
2013,Saskatchewan,Sciences naturelles et génie,,0.77
2013,Saskatchewan,"Sciences sociales, humaines et les arts",,0.08
2013,Alberta,Sciences totales,48,1.09
2013,Alberta,Sciences naturelles et génie,,1.02
2013,Alberta,"Sciences sociales, humaines et les arts",,0.07
2013,Colombie-Britannique,Sciences totales,59,1.4
2013,Colombie-Britannique,Sciences naturelles et génie,,1.23
2013,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.17
2013,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2013,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2013,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2013,"National Capital Region, Ontario/Quebec",Sciences totales,,
2013,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2013,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2013,"National Capital Region, Quebec",Sciences totales,,
2013,"National Capital Region, Quebec",Sciences naturelles et génie,,
2013,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2013,"National Capital Region, Ontario",Sciences totales,,
2013,"National Capital Region, Ontario",Sciences naturelles et génie,,
2013,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2014,Canada,Sciences naturelles et génie,,1.54
2014,Canada,"Sciences sociales, humaines et les arts",,0.17
2014,Terre-Neuve-et-Labrador,Sciences totales,10,1.05
2014,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,0.89
2014,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.16
2014,Île-du-Prince-Édouard,Sciences totales,11,1.14
2014,Île-du-Prince-Édouard,Sciences naturelles et génie,,0.96
2014,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.19
2014,Nouvelle-Écosse,Sciences totales,12,1.48
2014,Nouvelle-Écosse,Sciences naturelles et génie,,1.2
2014,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.28
2014,Nouveau-Brunswick,Sciences totales,13,0.93
2014,Nouveau-Brunswick,Sciences naturelles et génie,,0.72
2014,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.21
2014,Québec,Sciences totales,24,2.41
2014,Québec,Sciences naturelles et génie,,2.19
2014,Québec,"Sciences sociales, humaines et les arts",,0.22
2014,Ontario,Sciences totales,35,2.08
2014,Ontario,Sciences naturelles et génie,,1.88
2014,Ontario,"Sciences sociales, humaines et les arts",,0.2
2014,Manitoba,Sciences totales,46,1.19
2014,Manitoba,Sciences naturelles et génie,,1.01
2014,Manitoba,"Sciences sociales, humaines et les arts",,0.18
2014,Saskatchewan,Sciences totales,47,0.81
2014,Saskatchewan,Sciences naturelles et génie,,0.73
2014,Saskatchewan,"Sciences sociales, humaines et les arts",,0.08
2014,Alberta,Sciences totales,48,1.0
2014,Alberta,Sciences naturelles et génie,,0.93
2014,Alberta,"Sciences sociales, humaines et les arts",,0.07
2014,Colombie-Britannique,Sciences totales,59,1.35
2014,Colombie-Britannique,Sciences naturelles et génie,,1.19
2014,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.16
2014,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2014,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2014,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2014,"National Capital Region, Ontario/Quebec",Sciences totales,,
2014,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2014,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2014,"National Capital Region, Quebec",Sciences totales,,
2014,"National Capital Region, Quebec",Sciences naturelles et génie,,
2014,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2014,"National Capital Region, Ontario",Sciences totales,,
2014,"National Capital Region, Ontario",Sciences naturelles et génie,,
2014,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2015,Canada,Sciences naturelles et génie,,1.52
2015,Canada,"Sciences sociales, humaines et les arts",,0.18
2015,Terre-Neuve-et-Labrador,Sciences totales,10,1.19
2015,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,1.03
2015,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.17
2015,Île-du-Prince-Édouard,Sciences totales,11,1.3
2015,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.08
2015,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.21
2015,Nouvelle-Écosse,Sciences totales,12,1.52
2015,Nouvelle-Écosse,Sciences naturelles et génie,,1.23
2015,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.28
2015,Nouveau-Brunswick,Sciences totales,13,0.92
2015,Nouveau-Brunswick,Sciences naturelles et génie,,0.72
2015,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2015,Québec,Sciences totales,24,2.26
2015,Québec,Sciences naturelles et génie,,2.04
2015,Québec,"Sciences sociales, humaines et les arts",,0.22
2015,Ontario,Sciences totales,35,1.93
2015,Ontario,Sciences naturelles et génie,,1.73
2015,Ontario,"Sciences sociales, humaines et les arts",,0.2
2015,Manitoba,Sciences totales,46,1.22
2015,Manitoba,Sciences naturelles et génie,,1.05
2015,Manitoba,"Sciences sociales, humaines et les arts",,0.17
2015,Saskatchewan,Sciences totales,47,0.96
2015,Saskatchewan,Sciences naturelles et génie,,0.87
2015,Saskatchewan,"Sciences sociales, humaines et les arts",,0.08
2015,Alberta,Sciences totales,48,1.09
2015,Alberta,Sciences naturelles et génie,,1.01
2015,Alberta,"Sciences sociales, humaines et les arts",,0.08
2015,Colombie-Britannique,Sciences totales,59,1.43
2015,Colombie-Britannique,Sciences naturelles et génie,,1.26
2015,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.17
2015,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2015,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2015,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2015,"National Capital Region, Ontario/Quebec",Sciences totales,,
2015,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2015,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2015,"National Capital Region, Quebec",Sciences totales,,
2015,"National Capital Region, Quebec",Sciences naturelles et génie,,
2015,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2015,"National Capital Region, Ontario",Sciences totales,,
2015,"National Capital Region, Ontario",Sciences naturelles et génie,,
2015,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2016,Canada,Sciences naturelles et génie,,1.55
2016,Canada,"Sciences sociales, humaines et les arts",,0.18
2016,Terre-Neuve-et-Labrador,Sciences totales,10,1.15
2016,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,0.98
2016,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.17
2016,Île-du-Prince-Édouard,Sciences totales,11,1.32
2016,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.13
2016,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.19
2016,Nouvelle-Écosse,Sciences totales,12,1.54
2016,Nouvelle-Écosse,Sciences naturelles et génie,,1.24
2016,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.29
2016,Nouveau-Brunswick,Sciences totales,13,1.05
2016,Nouveau-Brunswick,Sciences naturelles et génie,,0.86
2016,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2016,Québec,Sciences totales,24,2.21
2016,Québec,Sciences naturelles et génie,,1.99
2016,Québec,"Sciences sociales, humaines et les arts",,0.22
2016,Ontario,Sciences totales,35,1.97
2016,Ontario,Sciences naturelles et génie,,1.78
2016,Ontario,"Sciences sociales, humaines et les arts",,0.19
2016,Manitoba,Sciences totales,46,1.22
2016,Manitoba,Sciences naturelles et génie,,1.04
2016,Manitoba,"Sciences sociales, humaines et les arts",,0.18
2016,Saskatchewan,Sciences totales,47,0.93
2016,Saskatchewan,Sciences naturelles et génie,,0.83
2016,Saskatchewan,"Sciences sociales, humaines et les arts",,0.1
2016,Alberta,Sciences totales,48,1.07
2016,Alberta,Sciences naturelles et génie,,0.98
2016,Alberta,"Sciences sociales, humaines et les arts",,0.09
2016,Colombie-Britannique,Sciences totales,59,1.59
2016,Colombie-Britannique,Sciences naturelles et génie,,1.43
2016,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.16
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2016,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2016,"National Capital Region, Ontario/Quebec",Sciences totales,,
2016,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2016,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2016,"National Capital Region, Quebec",Sciences totales,,
2016,"National Capital Region, Quebec",Sciences naturelles et génie,,
2016,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2016,"National Capital Region, Ontario",Sciences totales,,
2016,"National Capital Region, Ontario",Sciences naturelles et génie,,
2016,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2017,Canada,Sciences naturelles et génie,,1.51
2017,Canada,"Sciences sociales, humaines et les arts",,0.18
2017,Terre-Neuve-et-Labrador,Sciences totales,10,1.24
2017,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,1.04
2017,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.21
2017,Île-du-Prince-Édouard,Sciences totales,11,1.25
2017,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.08
2017,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.19
2017,Nouvelle-Écosse,Sciences totales,12,1.55
2017,Nouvelle-Écosse,Sciences naturelles et génie,,1.26
2017,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.29
2017,Nouveau-Brunswick,Sciences totales,13,0.91
2017,Nouveau-Brunswick,Sciences naturelles et génie,,0.72
2017,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2017,Québec,Sciences totales,24,2.26
2017,Québec,Sciences naturelles et génie,,2.04
2017,Québec,"Sciences sociales, humaines et les arts",,0.22
2017,Ontario,Sciences totales,35,1.93
2017,Ontario,Sciences naturelles et génie,,1.73
2017,Ontario,"Sciences sociales, humaines et les arts",,0.2
2017,Manitoba,Sciences totales,46,1.21
2017,Manitoba,Sciences naturelles et génie,,1.04
2017,Manitoba,"Sciences sociales, humaines et les arts",,0.17
2017,Saskatchewan,Sciences totales,47,0.83
2017,Saskatchewan,Sciences naturelles et génie,,0.74
2017,Saskatchewan,"Sciences sociales, humaines et les arts",,0.09
2017,Alberta,Sciences totales,48,1.0
2017,Alberta,Sciences naturelles et génie,,0.91
2017,Alberta,"Sciences sociales, humaines et les arts",,0.09
2017,Colombie-Britannique,Sciences totales,59,1.49
2017,Colombie-Britannique,Sciences naturelles et génie,,1.34
2017,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.16
2017,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2017,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2017,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2017,"National Capital Region, Ontario/Quebec",Sciences totales,,
2017,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2017,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2017,"National Capital Region, Quebec",Sciences totales,,
2017,"National Capital Region, Quebec",Sciences naturelles et génie,,
2017,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2017,"National Capital Region, Ontario",Sciences totales,,
2017,"National Capital Region, Ontario",Sciences naturelles et génie,,
2017,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2018,Canada,Sciences naturelles et génie,,1.56
2018,Canada,"Sciences sociales, humaines et les arts",,0.18
2018,Terre-Neuve-et-Labrador,Sciences totales,10,1.53
2018,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,1.3
2018,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.23
2018,Île-du-Prince-Édouard,Sciences totales,11,1.22
2018,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.03
2018,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.19
2018,Nouvelle-Écosse,Sciences totales,12,1.46
2018,Nouvelle-Écosse,Sciences naturelles et génie,,1.19
2018,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.28
2018,Nouveau-Brunswick,Sciences totales,13,0.98
2018,Nouveau-Brunswick,Sciences naturelles et génie,,0.78
2018,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2018,Québec,Sciences totales,24,2.26
2018,Québec,Sciences naturelles et génie,,2.04
2018,Québec,"Sciences sociales, humaines et les arts",,0.22
2018,Ontario,Sciences totales,35,1.99
2018,Ontario,Sciences naturelles et génie,,1.79
2018,Ontario,"Sciences sociales, humaines et les arts",,0.19
2018,Manitoba,Sciences totales,46,1.12
2018,Manitoba,Sciences naturelles et génie,,0.96
2018,Manitoba,"Sciences sociales, humaines et les arts",,0.17
2018,Saskatchewan,Sciences totales,47,0.89
2018,Saskatchewan,Sciences naturelles et génie,,0.79
2018,Saskatchewan,"Sciences sociales, humaines et les arts",,0.1
2018,Alberta,Sciences totales,48,1.05
2018,Alberta,Sciences naturelles et génie,,0.97
2018,Alberta,"Sciences sociales, humaines et les arts",,0.09
2018,Colombie-Britannique,Sciences totales,59,1.6
2018,Colombie-Britannique,Sciences naturelles et génie,,1.44
2018,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.16
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2018,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2018,"National Capital Region, Ontario/Quebec",Sciences totales,,
2018,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2018,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2018,"National Capital Region, Quebec",Sciences totales,,
2018,"National Capital Region, Quebec",Sciences naturelles et génie,,
2018,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2018,"National Capital Region, Ontario",Sciences totales,,
2018,"National Capital Region, Ontario",Sciences naturelles et génie,,
2018,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2019,Canada,Sciences naturelles et génie,,1.56
2019,Canada,"Sciences sociales, humaines et les arts",,0.18
2019,Terre-Neuve-et-Labrador,Sciences totales,10,1.62
2019,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,1.42
2019,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.2
2019,Île-du-Prince-Édouard,Sciences totales,11,1.13
2019,Île-du-Prince-Édouard,Sciences naturelles et génie,,0.97
2019,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.17
2019,Nouvelle-Écosse,Sciences totales,12,1.5
2019,Nouvelle-Écosse,Sciences naturelles et génie,,1.24
2019,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.26
2019,Nouveau-Brunswick,Sciences totales,13,0.93
2019,Nouveau-Brunswick,Sciences naturelles et génie,,0.73
2019,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2019,Québec,Sciences totales,24,2.18
2019,Québec,Sciences naturelles et génie,,1.96
2019,Québec,"Sciences sociales, humaines et les arts",,0.22
2019,Ontario,Sciences totales,35,2.02
2019,Ontario,Sciences naturelles et génie,,1.82
2019,Ontario,"Sciences sociales, humaines et les arts",,0.2
2019,Manitoba,Sciences totales,46,1.17
2019,Manitoba,Sciences naturelles et génie,,1.0
2019,Manitoba,"Sciences sociales, humaines et les arts",,0.18
2019,Saskatchewan,Sciences totales,47,0.95
2019,Saskatchewan,Sciences naturelles et génie,,0.84
2019,Saskatchewan,"Sciences sociales, humaines et les arts",,0.11
2019,Alberta,Sciences totales,48,1.08
2019,Alberta,Sciences naturelles et génie,,0.99
2019,Alberta,"Sciences sociales, humaines et les arts",,0.09
2019,Colombie-Britannique,Sciences totales,59,1.57
2019,Colombie-Britannique,Sciences naturelles et génie,,1.41
2019,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.17
2019,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2019,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2019,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2019,"National Capital Region, Ontario/Quebec",Sciences totales,,
2019,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2019,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2019,"National Capital Region, Quebec",Sciences totales,,
2019,"National Capital Region, Quebec",Sciences naturelles et génie,,
2019,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2019,"National Capital Region, Ontario",Sciences totales,,
2019,"National Capital Region, Ontario",Sciences naturelles et génie,,
2019,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2020,Canada,Sciences naturelles et génie,,1.65
2020,Canada,"Sciences sociales, humaines et les arts",,0.19
2021,Canada,Sciences naturelles et génie,,
2021,Canada,"Sciences sociales, humaines et les arts",,
