Year,Géographie,GeoCode,Sexe,Groupe d'âge,Skill,Niveau de compétence,Value
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,25 à 34 ans,Literacy,2 or below,42.5
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,25 à 34 ans,Numeracy,2 or below,51.9
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,35 à 44 ans,Literacy,2 or below,48.1
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,35 à 44 ans,Numeracy,2 or below,56.7
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,45 à 54 ans,Literacy,2 or below,61.4
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,45 à 54 ans,Numeracy,2 or below,71.4
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,55 to 65 years,Literacy,2 or below,73.4
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,55 to 65 years,Numeracy,2 or below,82.1
2012,Terre-Neuve-et-Labrador,10,Hommes,Total age groups,Literacy,2 or below,57.3
2012,Terre-Neuve-et-Labrador,10,Hommes,Total age groups,Numeracy,2 or below,62.2
2012,Terre-Neuve-et-Labrador,10,Hommes,16 to 24 years,Literacy,2 or below,50.8
2012,Terre-Neuve-et-Labrador,10,Hommes,16 to 24 years,Numeracy,2 or below,53.3
2012,Terre-Neuve-et-Labrador,10,Hommes,25 à 34 ans,Literacy,2 or below,40.6
2012,Terre-Neuve-et-Labrador,10,Hommes,25 à 34 ans,Numeracy,2 or below,46.1
2012,Terre-Neuve-et-Labrador,10,Hommes,35 à 44 ans,Literacy,2 or below,51.4
2012,Terre-Neuve-et-Labrador,10,Hommes,35 à 44 ans,Numeracy,2 or below,54.5
2012,Terre-Neuve-et-Labrador,10,Hommes,45 à 54 ans,Literacy,2 or below,61.4
2012,Terre-Neuve-et-Labrador,10,Hommes,45 à 54 ans,Numeracy,2 or below,68.9
2012,Terre-Neuve-et-Labrador,10,Hommes,55 to 65 years,Literacy,2 or below,72.4
2012,Terre-Neuve-et-Labrador,10,Hommes,55 to 65 years,Numeracy,2 or below,77.4
2012,Terre-Neuve-et-Labrador,10,Femmes,Total age groups,Literacy,2 or below,56.4
2012,Terre-Neuve-et-Labrador,10,Femmes,Total age groups,Numeracy,2 or below,68.7
2012,Terre-Neuve-et-Labrador,10,Femmes,16 to 24 years,Literacy,2 or below,46.1
2012,Terre-Neuve-et-Labrador,10,Femmes,16 to 24 years,Numeracy,2 or below,56.0
2012,Terre-Neuve-et-Labrador,10,Femmes,25 à 34 ans,Literacy,2 or below,44.3
2012,Terre-Neuve-et-Labrador,10,Femmes,25 à 34 ans,Numeracy,2 or below,57.5
2012,Terre-Neuve-et-Labrador,10,Femmes,35 à 44 ans,Literacy,2 or below,45.1
2012,Terre-Neuve-et-Labrador,10,Femmes,35 à 44 ans,Numeracy,2 or below,58.6
2012,Terre-Neuve-et-Labrador,10,Femmes,45 à 54 ans,Literacy,2 or below,61.3
2012,Terre-Neuve-et-Labrador,10,Femmes,45 à 54 ans,Numeracy,2 or below,73.7
2012,Terre-Neuve-et-Labrador,10,Femmes,55 to 65 years,Literacy,2 or below,74.4
2012,Terre-Neuve-et-Labrador,10,Femmes,55 to 65 years,Numeracy,2 or below,86.7
2012,Île-du-Prince-Édouard,11,Les deux sexes,Total age groups,Literacy,2 or below,45.3
2012,Île-du-Prince-Édouard,11,Les deux sexes,Total age groups,Numeracy,2 or below,55.8
2012,Île-du-Prince-Édouard,11,Les deux sexes,16 to 24 years,Literacy,2 or below,44.1
2012,Île-du-Prince-Édouard,11,Les deux sexes,16 to 24 years,Numeracy,2 or below,54.3
2012,Île-du-Prince-Édouard,11,Les deux sexes,25 à 34 ans,Literacy,2 or below,32.3
2012,Île-du-Prince-Édouard,11,Les deux sexes,25 à 34 ans,Numeracy,2 or below,45.5
2012,Île-du-Prince-Édouard,11,Les deux sexes,35 à 44 ans,Literacy,2 or below,37.6
2012,Île-du-Prince-Édouard,11,Les deux sexes,35 à 44 ans,Numeracy,2 or below,50.3
2012,Île-du-Prince-Édouard,11,Les deux sexes,45 à 54 ans,Literacy,2 or below,51.2
2012,Île-du-Prince-Édouard,11,Les deux sexes,45 à 54 ans,Numeracy,2 or below,61.0
2012,Île-du-Prince-Édouard,11,Les deux sexes,55 to 65 years,Literacy,2 or below,55.2
2012,Île-du-Prince-Édouard,11,Les deux sexes,55 to 65 years,Numeracy,2 or below,62.9
2012,Île-du-Prince-Édouard,11,Hommes,Total age groups,Literacy,2 or below,47.6
2012,Île-du-Prince-Édouard,11,Hommes,Total age groups,Numeracy,2 or below,54.1
2012,Île-du-Prince-Édouard,11,Hommes,16 to 24 years,Literacy,2 or below,43.6
2012,Île-du-Prince-Édouard,11,Hommes,16 to 24 years,Numeracy,2 or below,52.1
2012,Île-du-Prince-Édouard,11,Hommes,25 à 34 ans,Literacy,2 or below,32.6
2012,Île-du-Prince-Édouard,11,Hommes,25 à 34 ans,Numeracy,2 or below,39.9
2012,Île-du-Prince-Édouard,11,Hommes,35 à 44 ans,Literacy,2 or below,40.9
2012,Île-du-Prince-Édouard,11,Hommes,35 à 44 ans,Numeracy,2 or below,48.9
2012,Île-du-Prince-Édouard,11,Hommes,45 à 54 ans,Literacy,2 or below,58.8
2012,Île-du-Prince-Édouard,11,Hommes,45 à 54 ans,Numeracy,2 or below,61.6
2012,Île-du-Prince-Édouard,11,Hommes,55 to 65 years,Literacy,2 or below,54.4
2012,Île-du-Prince-Édouard,11,Hommes,55 to 65 years,Numeracy,2 or below,61.4
2012,Île-du-Prince-Édouard,11,Femmes,Total age groups,Literacy,2 or below,43.1
2012,Île-du-Prince-Édouard,11,Femmes,Total age groups,Numeracy,2 or below,57.4
2012,Île-du-Prince-Édouard,11,Femmes,16 to 24 years,Literacy,2 or below,44.5
2012,Île-du-Prince-Édouard,11,Femmes,16 to 24 years,Numeracy,2 or below,56.5
2012,Île-du-Prince-Édouard,11,Femmes,25 à 34 ans,Literacy,2 or below,32.1
2012,Île-du-Prince-Édouard,11,Femmes,25 à 34 ans,Numeracy,2 or below,50.5
2012,Île-du-Prince-Édouard,11,Femmes,35 à 44 ans,Literacy,2 or below,34.4
2012,Île-du-Prince-Édouard,11,Femmes,35 à 44 ans,Numeracy,2 or below,51.7
2012,Île-du-Prince-Édouard,11,Femmes,45 à 54 ans,Literacy,2 or below,43.7
2012,Île-du-Prince-Édouard,11,Femmes,45 à 54 ans,Numeracy,2 or below,60.3
2012,Île-du-Prince-Édouard,11,Femmes,55 to 65 years,Literacy,2 or below,56.0
2012,Île-du-Prince-Édouard,11,Femmes,55 to 65 years,Numeracy,2 or below,64.4
2012,Nouvelle-Écosse,12,Les deux sexes,Total age groups,Literacy,2 or below,50.3
2012,Nouvelle-Écosse,12,Les deux sexes,Total age groups,Numeracy,2 or below,58.2
2012,Nouvelle-Écosse,12,Les deux sexes,16 to 24 years,Literacy,2 or below,54.4
2012,Nouvelle-Écosse,12,Les deux sexes,16 to 24 years,Numeracy,2 or below,61.3
2012,Nouvelle-Écosse,12,Les deux sexes,25 à 34 ans,Literacy,2 or below,37.7
2012,Nouvelle-Écosse,12,Les deux sexes,25 à 34 ans,Numeracy,2 or below,47.3
2012,Nouvelle-Écosse,12,Les deux sexes,35 à 44 ans,Literacy,2 or below,41.4
2012,Nouvelle-Écosse,12,Les deux sexes,35 à 44 ans,Numeracy,2 or below,49.8
2012,Nouvelle-Écosse,12,Les deux sexes,45 à 54 ans,Literacy,2 or below,52.5
2012,Nouvelle-Écosse,12,Les deux sexes,45 à 54 ans,Numeracy,2 or below,61.1
2012,Nouvelle-Écosse,12,Les deux sexes,55 to 65 years,Literacy,2 or below,61.2
2012,Nouvelle-Écosse,12,Les deux sexes,55 to 65 years,Numeracy,2 or below,67.6
2012,Nouvelle-Écosse,12,Hommes,Total age groups,Literacy,2 or below,49.3
2012,Nouvelle-Écosse,12,Hommes,Total age groups,Numeracy,2 or below,52.0
2012,Nouvelle-Écosse,12,Hommes,16 to 24 years,Literacy,2 or below,51.2
2012,Nouvelle-Écosse,12,Hommes,16 to 24 years,Numeracy,2 or below,54.8
2012,Nouvelle-Écosse,12,Hommes,25 à 34 ans,Literacy,2 or below,32.7
2012,Nouvelle-Écosse,12,Hommes,25 à 34 ans,Numeracy,2 or below,35.4
2012,Nouvelle-Écosse,12,Hommes,35 à 44 ans,Literacy,2 or below,42.5
2012,Nouvelle-Écosse,12,Hommes,35 à 44 ans,Numeracy,2 or below,45.0
2012,Nouvelle-Écosse,12,Hommes,45 à 54 ans,Literacy,2 or below,55.3
2012,Nouvelle-Écosse,12,Hommes,45 à 54 ans,Numeracy,2 or below,59.0
2012,Nouvelle-Écosse,12,Hommes,55 to 65 years,Literacy,2 or below,58.7
2012,Nouvelle-Écosse,12,Hommes,55 to 65 years,Numeracy,2 or below,59.8
2012,Nouvelle-Écosse,12,Femmes,Total age groups,Literacy,2 or below,51.2
2012,Nouvelle-Écosse,12,Femmes,Total age groups,Numeracy,2 or below,64.1
2012,Nouvelle-Écosse,12,Femmes,16 to 24 years,Literacy,2 or below,57.5
2012,Nouvelle-Écosse,12,Femmes,16 to 24 years,Numeracy,2 or below,67.6
2012,Nouvelle-Écosse,12,Femmes,25 à 34 ans,Literacy,2 or below,42.2
2012,Nouvelle-Écosse,12,Femmes,25 à 34 ans,Numeracy,2 or below,57.9
2012,Nouvelle-Écosse,12,Femmes,35 à 44 ans,Literacy,2 or below,40.4
2012,Nouvelle-Écosse,12,Femmes,35 à 44 ans,Numeracy,2 or below,54.2
2012,Nouvelle-Écosse,12,Femmes,45 à 54 ans,Literacy,2 or below,49.8
2012,Nouvelle-Écosse,12,Femmes,45 à 54 ans,Numeracy,2 or below,63.1
2012,Nouvelle-Écosse,12,Femmes,55 to 65 years,Literacy,2 or below,63.5
2012,Nouvelle-Écosse,12,Femmes,55 to 65 years,Numeracy,2 or below,75.1
2012,Nouveau-Brunswick,13,Les deux sexes,Total age groups,Literacy,2 or below,53.5
2012,Nouveau-Brunswick,13,Les deux sexes,Total age groups,Numeracy,2 or below,63.1
2012,Nouveau-Brunswick,13,Les deux sexes,16 to 24 years,Literacy,2 or below,59.4
2012,Nouveau-Brunswick,13,Les deux sexes,16 to 24 years,Numeracy,2 or below,67.9
2012,Nouveau-Brunswick,13,Les deux sexes,25 à 34 ans,Literacy,2 or below,38.2
2012,Nouveau-Brunswick,13,Les deux sexes,25 à 34 ans,Numeracy,2 or below,50.8
2012,Nouveau-Brunswick,13,Les deux sexes,35 à 44 ans,Literacy,2 or below,43.1
2012,Nouveau-Brunswick,13,Les deux sexes,35 à 44 ans,Numeracy,2 or below,55.7
2012,Nouveau-Brunswick,13,Les deux sexes,45 à 54 ans,Literacy,2 or below,57.5
2012,Nouveau-Brunswick,13,Les deux sexes,45 à 54 ans,Numeracy,2 or below,64.1
2012,Nouveau-Brunswick,13,Les deux sexes,55 to 65 years,Literacy,2 or below,64.4
2012,Nouveau-Brunswick,13,Les deux sexes,55 to 65 years,Numeracy,2 or below,73.2
2012,Nouveau-Brunswick,13,Hommes,Total age groups,Literacy,2 or below,53.8
2012,Nouveau-Brunswick,13,Hommes,Total age groups,Numeracy,2 or below,58.1
2012,Nouveau-Brunswick,13,Hommes,16 to 24 years,Literacy,2 or below,62.5
2012,Nouveau-Brunswick,13,Hommes,16 to 24 years,Numeracy,2 or below,67.7
2012,Nouveau-Brunswick,13,Hommes,25 à 34 ans,Literacy,2 or below,34.4
2012,Nouveau-Brunswick,13,Hommes,25 à 34 ans,Numeracy,2 or below,40.2
2012,Nouveau-Brunswick,13,Hommes,35 à 44 ans,Literacy,2 or below,42.4
2012,Nouveau-Brunswick,13,Hommes,35 à 44 ans,Numeracy,2 or below,48.4
2012,Nouveau-Brunswick,13,Hommes,45 à 54 ans,Literacy,2 or below,62.5
2012,Nouveau-Brunswick,13,Hommes,45 à 54 ans,Numeracy,2 or below,64.0
2012,Nouveau-Brunswick,13,Hommes,55 to 65 years,Literacy,2 or below,62.0
2012,Nouveau-Brunswick,13,Hommes,55 to 65 years,Numeracy,2 or below,65.9
2012,Nouveau-Brunswick,13,Femmes,Total age groups,Literacy,2 or below,53.1
2012,Nouveau-Brunswick,13,Femmes,Total age groups,Numeracy,2 or below,67.9
2012,Nouveau-Brunswick,13,Femmes,16 to 24 years,Literacy,2 or below,56.1
2012,Nouveau-Brunswick,13,Femmes,16 to 24 years,Numeracy,2 or below,68.1
2012,Nouveau-Brunswick,13,Femmes,25 à 34 ans,Literacy,2 or below,41.7
2012,Nouveau-Brunswick,13,Femmes,25 à 34 ans,Numeracy,2 or below,60.8
2012,Nouveau-Brunswick,13,Femmes,35 à 44 ans,Literacy,2 or below,43.9
2012,Nouveau-Brunswick,13,Femmes,35 à 44 ans,Numeracy,2 or below,62.9
2012,Nouveau-Brunswick,13,Femmes,45 à 54 ans,Literacy,2 or below,52.7
2012,Nouveau-Brunswick,13,Femmes,45 à 54 ans,Numeracy,2 or below,64.1
2012,Nouveau-Brunswick,13,Femmes,55 to 65 years,Literacy,2 or below,66.8
2012,Nouveau-Brunswick,13,Femmes,55 to 65 years,Numeracy,2 or below,80.1
2012,Québec,24,Les deux sexes,Total age groups,Literacy,2 or below,53.2
2012,Québec,24,Les deux sexes,Total age groups,Numeracy,2 or below,56.1
2012,Québec,24,Les deux sexes,16 to 24 years,Literacy,2 or below,48.7
2012,Québec,24,Les deux sexes,16 to 24 years,Numeracy,2 or below,50.0
2012,Québec,24,Les deux sexes,25 à 34 ans,Literacy,2 or below,39.7
2012,Québec,24,Les deux sexes,25 à 34 ans,Numeracy,2 or below,43.5
2012,Québec,24,Les deux sexes,35 à 44 ans,Literacy,2 or below,44.7
2012,Québec,24,Les deux sexes,35 à 44 ans,Numeracy,2 or below,49.3
2012,Québec,24,Les deux sexes,45 à 54 ans,Literacy,2 or below,59.9
2012,Québec,24,Les deux sexes,45 à 54 ans,Numeracy,2 or below,61.7
2012,Québec,24,Les deux sexes,55 to 65 years,Literacy,2 or below,69.3
2012,Québec,24,Les deux sexes,55 to 65 years,Numeracy,2 or below,72.2
2012,Québec,24,Hommes,Total age groups,Literacy,2 or below,52.3
2012,Québec,24,Hommes,Total age groups,Numeracy,2 or below,51.4
2012,Québec,24,Hommes,16 to 24 years,Literacy,2 or below,52.3
2012,Québec,24,Hommes,16 to 24 years,Numeracy,2 or below,50.5
2012,Québec,24,Hommes,25 à 34 ans,Literacy,2 or below,40.5
2012,Québec,24,Hommes,25 à 34 ans,Numeracy,2 or below,40.0
2012,Québec,24,Hommes,35 à 44 ans,Literacy,2 or below,43.2
2012,Québec,24,Hommes,35 à 44 ans,Numeracy,2 or below,44.3
2012,Québec,24,Hommes,45 à 54 ans,Literacy,2 or below,57.2
2012,Québec,24,Hommes,45 à 54 ans,Numeracy,2 or below,54.9
2012,Québec,24,Hommes,55 to 65 years,Literacy,2 or below,66.4
2012,Québec,24,Hommes,55 to 65 years,Numeracy,2 or below,65.5
2012,Québec,24,Femmes,Total age groups,Literacy,2 or below,54.1
2012,Québec,24,Femmes,Total age groups,Numeracy,2 or below,60.9
2012,Québec,24,Femmes,16 to 24 years,Literacy,2 or below,44.9
2012,Québec,24,Femmes,16 to 24 years,Numeracy,2 or below,49.5
2012,Québec,24,Femmes,25 à 34 ans,Literacy,2 or below,38.7
2012,Québec,24,Femmes,25 à 34 ans,Numeracy,2 or below,47.1
2012,Québec,24,Femmes,35 à 44 ans,Literacy,2 or below,46.1
2012,Québec,24,Femmes,35 à 44 ans,Numeracy,2 or below,54.5
2012,Québec,24,Femmes,45 à 54 ans,Literacy,2 or below,62.7
2012,Québec,24,Femmes,45 à 54 ans,Numeracy,2 or below,68.7
2012,Québec,24,Femmes,55 to 65 years,Literacy,2 or below,72.0
2012,Québec,24,Femmes,55 to 65 years,Numeracy,2 or below,78.7
2012,Ontario,35,Les deux sexes,Total age groups,Literacy,2 or below,46.8
2012,Ontario,35,Les deux sexes,Total age groups,Numeracy,2 or below,53.8
2012,Ontario,35,Les deux sexes,16 to 24 years,Literacy,2 or below,44.2
2012,Ontario,35,Les deux sexes,16 to 24 years,Numeracy,2 or below,53.3
2012,Ontario,35,Les deux sexes,25 à 34 ans,Literacy,2 or below,41.1
2012,Ontario,35,Les deux sexes,25 à 34 ans,Numeracy,2 or below,48.2
2012,Ontario,35,Les deux sexes,35 à 44 ans,Literacy,2 or below,41.7
2012,Ontario,35,Les deux sexes,35 à 44 ans,Numeracy,2 or below,48.7
2012,Ontario,35,Les deux sexes,45 à 54 ans,Literacy,2 or below,49.9
2012,Ontario,35,Les deux sexes,45 à 54 ans,Numeracy,2 or below,54.5
2012,Ontario,35,Les deux sexes,55 to 65 years,Literacy,2 or below,56.5
2012,Ontario,35,Les deux sexes,55 to 65 years,Numeracy,2 or below,64.5
2012,Ontario,35,Hommes,Total age groups,Literacy,2 or below,45.7
2012,Ontario,35,Hommes,Total age groups,Numeracy,2 or below,47.1
2012,Ontario,35,Hommes,16 to 24 years,Literacy,2 or below,43.9
2012,Ontario,35,Hommes,16 to 24 years,Numeracy,2 or below,47.5
2012,Ontario,35,Hommes,25 à 34 ans,Literacy,2 or below,40.3
2012,Ontario,35,Hommes,25 à 34 ans,Numeracy,2 or below,42.7
2012,Ontario,35,Hommes,35 à 44 ans,Literacy,2 or below,40.0
2012,Ontario,35,Hommes,35 à 44 ans,Numeracy,2 or below,39.9
2012,Ontario,35,Hommes,45 à 54 ans,Literacy,2 or below,47.9
2012,Ontario,35,Hommes,45 à 54 ans,Numeracy,2 or below,47.4
2012,Ontario,35,Hommes,55 to 65 years,Literacy,2 or below,56.0
2012,Ontario,35,Hommes,55 to 65 years,Numeracy,2 or below,57.9
2012,Ontario,35,Femmes,Total age groups,Literacy,2 or below,47.9
2012,Ontario,35,Femmes,Total age groups,Numeracy,2 or below,60.5
2012,Ontario,35,Femmes,16 to 24 years,Literacy,2 or below,44.5
2012,Ontario,35,Femmes,16 to 24 years,Numeracy,2 or below,59.2
2012,Ontario,35,Femmes,25 à 34 ans,Literacy,2 or below,41.8
2012,Ontario,35,Femmes,25 à 34 ans,Numeracy,2 or below,53.5
2012,Ontario,35,Femmes,35 à 44 ans,Literacy,2 or below,43.3
2012,Ontario,35,Femmes,35 à 44 ans,Numeracy,2 or below,57.2
2012,Ontario,35,Femmes,45 à 54 ans,Literacy,2 or below,52.0
2012,Ontario,35,Femmes,45 à 54 ans,Numeracy,2 or below,61.8
2012,Ontario,35,Femmes,55 to 65 years,Literacy,2 or below,57.0
2012,Ontario,35,Femmes,55 to 65 years,Numeracy,2 or below,70.8
2012,Manitoba,46,Les deux sexes,Total age groups,Literacy,2 or below,48.3
2012,Manitoba,46,Les deux sexes,Total age groups,Numeracy,2 or below,54.8
2012,Manitoba,46,Les deux sexes,16 to 24 years,Literacy,2 or below,49.5
2012,Manitoba,46,Les deux sexes,16 to 24 years,Numeracy,2 or below,55.1
2012,Manitoba,46,Les deux sexes,25 à 34 ans,Literacy,2 or below,40.6
2012,Manitoba,46,Les deux sexes,25 à 34 ans,Numeracy,2 or below,48.0
2012,Manitoba,46,Les deux sexes,35 à 44 ans,Literacy,2 or below,45.0
2012,Manitoba,46,Les deux sexes,35 à 44 ans,Numeracy,2 or below,49.7
2012,Manitoba,46,Les deux sexes,45 à 54 ans,Literacy,2 or below,50.7
2012,Manitoba,46,Les deux sexes,45 à 54 ans,Numeracy,2 or below,55.7
2012,Manitoba,46,Les deux sexes,55 to 65 years,Literacy,2 or below,55.3
2012,Manitoba,46,Les deux sexes,55 to 65 years,Numeracy,2 or below,65.0
2012,Manitoba,46,Hommes,Total age groups,Literacy,2 or below,50.5
2012,Manitoba,46,Hommes,Total age groups,Numeracy,2 or below,52.0
2012,Manitoba,46,Hommes,16 to 24 years,Literacy,2 or below,50.9
2012,Manitoba,46,Hommes,16 to 24 years,Numeracy,2 or below,51.3
2012,Manitoba,46,Hommes,25 à 34 ans,Literacy,2 or below,48.8
2012,Manitoba,46,Hommes,25 à 34 ans,Numeracy,2 or below,46.5
2012,Manitoba,46,Hommes,35 à 44 ans,Literacy,2 or below,44.9
2012,Manitoba,46,Hommes,35 à 44 ans,Numeracy,2 or below,46.0
2012,Manitoba,46,Hommes,45 à 54 ans,Literacy,2 or below,54.1
2012,Manitoba,46,Hommes,45 à 54 ans,Numeracy,2 or below,55.5
2012,Manitoba,46,Hommes,55 to 65 years,Literacy,2 or below,53.1
2012,Manitoba,46,Hommes,55 to 65 years,Numeracy,2 or below,60.2
2012,Manitoba,46,Femmes,Total age groups,Literacy,2 or below,46.1
2012,Manitoba,46,Femmes,Total age groups,Numeracy,2 or below,57.5
2012,Manitoba,46,Femmes,16 to 24 years,Literacy,2 or below,48.1
2012,Manitoba,46,Femmes,16 to 24 years,Numeracy,2 or below,59.1
2012,Manitoba,46,Femmes,25 à 34 ans,Literacy,2 or below,32.3
2012,Manitoba,46,Femmes,25 à 34 ans,Numeracy,2 or below,49.4
2012,Manitoba,46,Femmes,35 à 44 ans,Literacy,2 or below,45.1
2012,Manitoba,46,Femmes,35 à 44 ans,Numeracy,2 or below,53.4
2012,Manitoba,46,Femmes,45 à 54 ans,Literacy,2 or below,47.4
2012,Manitoba,46,Femmes,45 à 54 ans,Numeracy,2 or below,55.8
2012,Manitoba,46,Femmes,55 to 65 years,Literacy,2 or below,57.5
2012,Manitoba,46,Femmes,55 to 65 years,Numeracy,2 or below,69.7
2012,Saskatchewan,47,Les deux sexes,Total age groups,Literacy,2 or below,49.9
2012,Saskatchewan,47,Les deux sexes,Total age groups,Numeracy,2 or below,56.5
2012,Saskatchewan,47,Les deux sexes,16 to 24 years,Literacy,2 or below,54.0
2012,Saskatchewan,47,Les deux sexes,16 to 24 years,Numeracy,2 or below,62.0
2012,Saskatchewan,47,Les deux sexes,25 à 34 ans,Literacy,2 or below,45.1
2012,Saskatchewan,47,Les deux sexes,25 à 34 ans,Numeracy,2 or below,50.8
2012,Saskatchewan,47,Les deux sexes,35 à 44 ans,Literacy,2 or below,43.3
2012,Saskatchewan,47,Les deux sexes,35 à 44 ans,Numeracy,2 or below,47.3
2012,Saskatchewan,47,Les deux sexes,45 à 54 ans,Literacy,2 or below,50.2
2012,Saskatchewan,47,Les deux sexes,45 à 54 ans,Numeracy,2 or below,56.5
2012,Saskatchewan,47,Les deux sexes,55 to 65 years,Literacy,2 or below,56.4
2012,Saskatchewan,47,Les deux sexes,55 to 65 years,Numeracy,2 or below,65.5
2012,Saskatchewan,47,Hommes,Total age groups,Literacy,2 or below,51.6
2012,Saskatchewan,47,Hommes,Total age groups,Numeracy,2 or below,52.0
2012,Saskatchewan,47,Hommes,16 to 24 years,Literacy,2 or below,55.2
2012,Saskatchewan,47,Hommes,16 to 24 years,Numeracy,2 or below,57.3
2012,Saskatchewan,47,Hommes,25 à 34 ans,Literacy,2 or below,47.2
2012,Saskatchewan,47,Hommes,25 à 34 ans,Numeracy,2 or below,46.9
2012,Saskatchewan,47,Hommes,35 à 44 ans,Literacy,2 or below,46.6
2012,Saskatchewan,47,Hommes,35 à 44 ans,Numeracy,2 or below,41.9
2012,Saskatchewan,47,Hommes,45 à 54 ans,Literacy,2 or below,50.1
2012,Saskatchewan,47,Hommes,45 à 54 ans,Numeracy,2 or below,52.7
2012,Saskatchewan,47,Hommes,55 to 65 years,Literacy,2 or below,58.9
2012,Saskatchewan,47,Hommes,55 to 65 years,Numeracy,2 or below,60.5
2012,Saskatchewan,47,Femmes,Total age groups,Literacy,2 or below,48.1
2012,Saskatchewan,47,Femmes,Total age groups,Numeracy,2 or below,61.1
2012,Saskatchewan,47,Femmes,16 to 24 years,Literacy,2 or below,52.6
2012,Saskatchewan,47,Femmes,16 to 24 years,Numeracy,2 or below,67.0
2012,Saskatchewan,47,Femmes,25 à 34 ans,Literacy,2 or below,42.9
2012,Saskatchewan,47,Femmes,25 à 34 ans,Numeracy,2 or below,54.7
2012,Saskatchewan,47,Femmes,35 à 44 ans,Literacy,2 or below,39.9
2012,Saskatchewan,47,Femmes,35 à 44 ans,Numeracy,2 or below,52.7
2012,Saskatchewan,47,Femmes,45 à 54 ans,Literacy,2 or below,50.4
2012,Saskatchewan,47,Femmes,45 à 54 ans,Numeracy,2 or below,60.4
2012,Saskatchewan,47,Femmes,55 to 65 years,Literacy,2 or below,54.1
2012,Saskatchewan,47,Femmes,55 to 65 years,Numeracy,2 or below,70.5
2012,Alberta,48,Les deux sexes,Total age groups,Literacy,2 or below,44.9
2012,Alberta,48,Les deux sexes,Total age groups,Numeracy,2 or below,52.7
2012,Alberta,48,Les deux sexes,16 to 24 years,Literacy,2 or below,44.7
