Year,Quintile de revenu du ménage,Décile de revenu du ménage,Géographie,Series,GeoCode,Value
2015-2020,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2015-2020,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2015-2020,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2015-2020,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2015-2020,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2015-2020,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2015-2020,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2015-2020,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2015-2020,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2015-2020,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2015-2020,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2015-2020,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2015-2020,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,
2015-2020,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,
2015-2020,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,
2015-2020,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,
2015-2020,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,
2015-2020,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,
2015-2020,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,
2015-2020,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,
2015-2020,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,
2015-2020,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,
2015-2020,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,
2015-2020,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,
2015-2020,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,
2015-2020,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,
2015-2020,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,
2015-2020,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2015-2020,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2015-2020,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2016-2021,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,0.385
2016-2021,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,2.084
2016-2021,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,0.565
2016-2021,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,0.783
2016-2021,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,4.11
2016-2021,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,2.075
2016-2021,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,0.949
2016-2021,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,10.767
2016-2021,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,-2.217
2016-2021,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,0.854
2016-2021,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,0.923
2016-2021,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,1.348
2016-2021,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,2.068
2016-2021,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,4.033
2016-2021,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,3.253
2016-2021,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,1.155
2016-2021,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,3.174
2016-2021,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,0.894
2016-2021,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,-0.347
2016-2021,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,1.023
2016-2021,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,-2.139
2016-2021,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,1.277
2016-2021,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,1.766
2016-2021,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,2.324
2016-2021,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,0.362
2016-2021,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,0.254
2016-2021,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,0.862
2016-2021,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,-0.834
2016-2021,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,1.539
2016-2021,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,0.008
2016-2021,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,1.559
2016-2021,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,4.729
2016-2021,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,2.891
2017-2022,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,
2017-2022,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,
2017-2022,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,
2017-2022,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2017-2022,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2017-2022,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2017-2022,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2017-2022,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2017-2022,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2017-2022,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2017-2022,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2017-2022,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2017-2022,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2017-2022,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2017-2022,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2017-2022,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,
2017-2022,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,
2017-2022,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,
2017-2022,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,
2017-2022,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,
2017-2022,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,
2017-2022,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,
2017-2022,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,
2017-2022,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,
2017-2022,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,
2017-2022,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,
2017-2022,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,
2017-2022,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,
2017-2022,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,
2017-2022,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,
2017-2022,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2017-2022,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2017-2022,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2018-2023,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,
2018-2023,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,
2018-2023,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,
2018-2023,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2018-2023,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2018-2023,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2018-2023,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2018-2023,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2018-2023,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2018-2023,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2018-2023,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2018-2023,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2018-2023,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2018-2023,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2018-2023,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2018-2023,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,
2018-2023,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,
2018-2023,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,
2018-2023,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,
2018-2023,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,
2018-2023,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,
2018-2023,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,
2018-2023,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,
2018-2023,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,
2018-2023,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,
2018-2023,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,
2018-2023,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,
2018-2023,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,
2018-2023,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,
2018-2023,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,
2018-2023,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2018-2023,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2018-2023,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2010-2015,,Total des déciles,Canada,Revenu par habitant,,0.252
2010-2015,,Décile inférieur,Canada,Revenu par habitant,,0.001
2010-2015,,Deuxième décile,Canada,Revenu par habitant,,0.152
2010-2015,,Troisième décile,Canada,Revenu par habitant,,0.349
2010-2015,,Quatrième décile,Canada,Revenu par habitant,,0.441
2010-2015,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,2.422
2010-2015,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.541
2010-2015,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.237
2010-2015,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.909
2010-2015,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,2.546
2010-2015,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,0.684
2010-2015,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,-6.248
2010-2015,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.781
2010-2015,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.3
2010-2015,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,1.029
2010-2015,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,1.692
2010-2015,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,0.478
2010-2015,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,0.628
2010-2015,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,1.449
2010-2015,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,2.254
2010-2015,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,0.48
2010-2015,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,-1.397
2010-2015,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,0.436
2010-2015,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,1.282
