Year,Series,Catégories de données,Éléments,Pilier,Value
2016,Inventaire des données ouvertes (ODIN),Toutes les catégories,Couverture et désagrégation des indicateurs,,84.7
2017,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Couverture et désagrégation des indicateurs,,50.0
2017,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Couverture et désagrégation des indicateurs,,50.0
2017,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Santé reproductive,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Couverture et désagrégation des indicateurs,,50.0
2017,Inventaire des données ouvertes (ODIN),Criminalité et justice,Couverture et désagrégation des indicateurs,,50.0
2017,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Couverture et désagrégation des indicateurs,,77.8
2017,Inventaire des données ouvertes (ODIN),Comptes nationaux,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Travail,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Indices de prix,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Monnaie et banque,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Commerce international,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Balance des paiements,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Couverture et désagrégation des indicateurs,,50.0
2017,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Pollution,Couverture et désagrégation des indicateurs,,100.0
2017,Inventaire des données ouvertes (ODIN),Environnement bâti,Couverture et désagrégation des indicateurs,,50.0
2017,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Couverture et désagrégation des indicateurs,,80.0
2017,Inventaire des données ouvertes (ODIN),Toutes les catégories,Couverture et désagrégation des indicateurs,,85.9
2018,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Couverture et désagrégation des indicateurs,,50.0
2018,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Santé reproductive,Couverture et désagrégation des indicateurs,,50.0
2018,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Couverture et désagrégation des indicateurs,,50.0
2018,Inventaire des données ouvertes (ODIN),Criminalité et justice,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Couverture et désagrégation des indicateurs,,83.3
2018,Inventaire des données ouvertes (ODIN),Comptes nationaux,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Travail,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Indices de prix,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Monnaie et banque,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Commerce international,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Balance des paiements,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Pollution,Couverture et désagrégation des indicateurs,,100.0
2018,Inventaire des données ouvertes (ODIN),Environnement bâti,Couverture et désagrégation des indicateurs,,50.0
2018,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Couverture et désagrégation des indicateurs,,90.0
2018,Inventaire des données ouvertes (ODIN),Toutes les catégories,Couverture et désagrégation des indicateurs,,91.1
2020,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Couverture et désagrégation des indicateurs,,50.0
2020,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Couverture et désagrégation des indicateurs,,50.0
2020,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Santé reproductive,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Couverture et désagrégation des indicateurs,,50.0
2020,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Couverture et désagrégation des indicateurs,,50.0
2020,Inventaire des données ouvertes (ODIN),Criminalité et justice,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Couverture et désagrégation des indicateurs,,80.0
2020,Inventaire des données ouvertes (ODIN),Comptes nationaux,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Travail,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Indices de prix,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Monnaie et banque,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Commerce international,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Balance des paiements,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Couverture et désagrégation des indicateurs,,50.0
2020,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Pollution,Couverture et désagrégation des indicateurs,,100.0
2020,Inventaire des données ouvertes (ODIN),Environnement bâti,Couverture et désagrégation des indicateurs,,50.0
2020,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Couverture et désagrégation des indicateurs,,80.0
2020,Inventaire des données ouvertes (ODIN),Toutes les catégories,Couverture et désagrégation des indicateurs,,86.7
2022,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Couverture et désagrégation des indicateurs,,50.0
2022,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Couverture et désagrégation des indicateurs,,50.0
2022,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Santé reproductive,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Couverture et désagrégation des indicateurs,,50.0
2022,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Criminalité et justice,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Couverture et désagrégation des indicateurs,,85.0
2022,Inventaire des données ouvertes (ODIN),Comptes nationaux,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Travail,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Indices de prix,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Monnaie et banque,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Commerce international,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Balance des paiements,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Couverture et désagrégation des indicateurs,,50.0
2022,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Pollution,Couverture et désagrégation des indicateurs,,100.0
2022,Inventaire des données ouvertes (ODIN),Environnement bâti,Couverture et désagrégation des indicateurs,,50.0
2022,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Couverture et désagrégation des indicateurs,,80.0
2022,Inventaire des données ouvertes (ODIN),Toutes les catégories,Couverture et désagrégation des indicateurs,,88.3
2024,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Couverture et désagrégation des indicateurs,,50.0
2024,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Couverture et désagrégation des indicateurs,,50.0
2024,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Santé reproductive,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Couverture et désagrégation des indicateurs,,50.0
2024,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Criminalité et justice,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Couverture et désagrégation des indicateurs,,85.0
2024,Inventaire des données ouvertes (ODIN),Comptes nationaux,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Travail,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Indices de prix,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Monnaie et banque,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Commerce international,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Balance des paiements,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Pollution,Couverture et désagrégation des indicateurs,,100.0
2024,Inventaire des données ouvertes (ODIN),Environnement bâti,Couverture et désagrégation des indicateurs,,50.0
2024,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Couverture et désagrégation des indicateurs,,90.0
2024,Inventaire des données ouvertes (ODIN),Toutes les catégories,Couverture et désagrégation des indicateurs,,91.7
2016,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Santé reproductive,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Données disponibles pour les 5 dernières années,,68.8
2016,Inventaire des données ouvertes (ODIN),Comptes nationaux,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Travail,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Indices de prix,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Monnaie et banque,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Commerce international,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Balance des paiements,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Données disponibles pour les 5 dernières années,,92.9
2016,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Données disponibles pour les 5 dernières années,,100.0
2016,Inventaire des données ouvertes (ODIN),Pollution,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Environnement bâti,Données disponibles pour les 5 dernières années,,50.0
2016,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Données disponibles pour les 5 dernières années,,60.0
2016,Inventaire des données ouvertes (ODIN),Toutes les catégories,Données disponibles pour les 5 dernières années,,73.9
2017,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Données disponibles pour les 5 dernières années,,50.0
2017,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Données disponibles pour les 5 dernières années,,50.0
2017,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Données disponibles pour les 5 dernières années,,50.0
2017,Inventaire des données ouvertes (ODIN),Santé reproductive,Données disponibles pour les 5 dernières années,,50.0
2017,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Données disponibles pour les 5 dernières années,,50.0
2017,Inventaire des données ouvertes (ODIN),Criminalité et justice,Données disponibles pour les 5 dernières années,,50.0
2017,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Données disponibles pour les 5 dernières années,,66.7
2017,Inventaire des données ouvertes (ODIN),Comptes nationaux,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Travail,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Indices de prix,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Monnaie et banque,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Commerce international,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Balance des paiements,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Données disponibles pour les 5 dernières années,,50.0
2017,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Données disponibles pour les 5 dernières années,,50.0
2017,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Pollution,Données disponibles pour les 5 dernières années,,100.0
2017,Inventaire des données ouvertes (ODIN),Environnement bâti,Données disponibles pour les 5 dernières années,,50.0
2017,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Données disponibles pour les 5 dernières années,,70.0
2017,Inventaire des données ouvertes (ODIN),Toutes les catégories,Données disponibles pour les 5 dernières années,,78.9
2018,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Données disponibles pour les 5 dernières années,,50.0
2018,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Données disponibles pour les 5 dernières années,,50.0
2018,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Santé reproductive,Données disponibles pour les 5 dernières années,,50.0
2018,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Données disponibles pour les 5 dernières années,,50.0
2018,Inventaire des données ouvertes (ODIN),Criminalité et justice,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Données disponibles pour les 5 dernières années,,77.8
2018,Inventaire des données ouvertes (ODIN),Comptes nationaux,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Travail,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Indices de prix,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Monnaie et banque,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Commerce international,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Balance des paiements,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Données disponibles pour les 5 dernières années,,50.0
2018,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Données disponibles pour les 5 dernières années,,50.0
2018,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Pollution,Données disponibles pour les 5 dernières années,,100.0
2018,Inventaire des données ouvertes (ODIN),Environnement bâti,Données disponibles pour les 5 dernières années,,50.0
2018,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Données disponibles pour les 5 dernières années,,70.0
2018,Inventaire des données ouvertes (ODIN),Toutes les catégories,Données disponibles pour les 5 dernières années,,82.6
2020,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Santé reproductive,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Criminalité et justice,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Données disponibles pour les 5 dernières années,,70.0
2020,Inventaire des données ouvertes (ODIN),Comptes nationaux,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Travail,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Indices de prix,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Monnaie et banque,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Commerce international,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Balance des paiements,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Données disponibles pour les 5 dernières années,,100.0
2020,Inventaire des données ouvertes (ODIN),Pollution,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Environnement bâti,Données disponibles pour les 5 dernières années,,50.0
2020,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Données disponibles pour les 5 dernières années,,60.0
2020,Inventaire des données ouvertes (ODIN),Toutes les catégories,Données disponibles pour les 5 dernières années,,76.7
2022,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Données disponibles pour les 5 dernières années,,100.0
2022,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Données disponibles pour les 5 dernières années,,50.0
2022,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Données disponibles pour les 5 dernières années,,50.0
2022,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Données disponibles pour les 5 dernières années,,50.0
2022,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Données disponibles pour les 5 dernières années,,100.0
2022,Inventaire des données ouvertes (ODIN),Santé reproductive,Données disponibles pour les 5 dernières années,,100.0
2022,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Données disponibles pour les 5 dernières années,,50.0
2022,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Données disponibles pour les 5 dernières années,,50.0
2022,Inventaire des données ouvertes (ODIN),Criminalité et justice,Données disponibles pour les 5 dernières années,,100.0
2022,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Données disponibles pour les 5 dernières années,,100.0
