Year,Personnes à faible revenu,Géographie,GeoCode,Value
2015,Toutes les personnes,"Edmonton, Alberta",,7.6
2016,Toutes les personnes,"Edmonton, Alberta",,8.5
2017,Toutes les personnes,"Edmonton, Alberta",,9.7
2018,Toutes les personnes,"Edmonton, Alberta",,7.7
2019,Toutes les personnes,"Edmonton, Alberta",,10.4
2020,Toutes les personnes,"Edmonton, Alberta",,5.5
2021,Toutes les personnes,"Edmonton, Alberta",,7.7
2022,Toutes les personnes,"Edmonton, Alberta",,11.2
2023,Toutes les personnes,"Edmonton, Alberta",,10.7
2015,Personnes de 18 à 64 ans,"Edmonton, Alberta",,7.6
2016,Personnes de 18 à 64 ans,"Edmonton, Alberta",,9.7
2017,Personnes de 18 à 64 ans,"Edmonton, Alberta",,11.1
2018,Personnes de 18 à 64 ans,"Edmonton, Alberta",,8.9
2019,Personnes de 18 à 64 ans,"Edmonton, Alberta",,11.9
2020,Personnes de 18 à 64 ans,"Edmonton, Alberta",,6.5
2021,Personnes de 18 à 64 ans,"Edmonton, Alberta",,8.3
2022,Personnes de 18 à 64 ans,"Edmonton, Alberta",,11.8
2023,Personnes de 18 à 64 ans,"Edmonton, Alberta",,12.0
2017,Personnes de 65 ans et plus,"Edmonton, Alberta",,4.4
2020,Personnes de 65 ans et plus,"Edmonton, Alberta",,4.2
2021,Personnes de 65 ans et plus,"Edmonton, Alberta",,5.5
2022,Personnes de 65 ans et plus,"Edmonton, Alberta",,6.4
2023,Personnes de 65 ans et plus,"Edmonton, Alberta",,3.6
2015,Personnes de moins de 18 ans,"Edmonton, Alberta",,10.2
2016,Personnes de moins de 18 ans,"Edmonton, Alberta",,8.0
2017,Personnes de moins de 18 ans,"Edmonton, Alberta",,8.3
2018,Personnes de moins de 18 ans,"Edmonton, Alberta",,6.3
2021,Personnes de moins de 18 ans,"Edmonton, Alberta",,7.4
2022,Personnes de moins de 18 ans,"Edmonton, Alberta",,13.0
2023,Personnes de moins de 18 ans,"Edmonton, Alberta",,12.4
2015,Toutes les personnes,Manitoba,46,14.1
2016,Toutes les personnes,Manitoba,46,12.4
2017,Toutes les personnes,Manitoba,46,11.2
2018,Toutes les personnes,Manitoba,46,11.2
2019,Toutes les personnes,Manitoba,46,11.7
2020,Toutes les personnes,Manitoba,46,7.0
2021,Toutes les personnes,Manitoba,46,9.0
2022,Toutes les personnes,Manitoba,46,11.4
2023,Toutes les personnes,Manitoba,46,10.6
2015,Personnes de 18 à 64 ans,Manitoba,46,14.2
2016,Personnes de 18 à 64 ans,Manitoba,46,13.1
2017,Personnes de 18 à 64 ans,Manitoba,46,12.1
2018,Personnes de 18 à 64 ans,Manitoba,46,11.8
2019,Personnes de 18 à 64 ans,Manitoba,46,12.6
2020,Personnes de 18 à 64 ans,Manitoba,46,8.5
2021,Personnes de 18 à 64 ans,Manitoba,46,9.8
2022,Personnes de 18 à 64 ans,Manitoba,46,12.2
2023,Personnes de 18 à 64 ans,Manitoba,46,11.6
2015,Personnes de 65 ans et plus,Manitoba,46,5.9
2016,Personnes de 65 ans et plus,Manitoba,46,4.9
2017,Personnes de 65 ans et plus,Manitoba,46,5.4
2018,Personnes de 65 ans et plus,Manitoba,46,6.1
2019,Personnes de 65 ans et plus,Manitoba,46,5.6
2020,Personnes de 65 ans et plus,Manitoba,46,2.3
2021,Personnes de 65 ans et plus,Manitoba,46,5.7
2022,Personnes de 65 ans et plus,Manitoba,46,6.6
2023,Personnes de 65 ans et plus,Manitoba,46,4.8
2015,Personnes de moins de 18 ans,Manitoba,46,19.3
2016,Personnes de moins de 18 ans,Manitoba,46,15.5
2017,Personnes de moins de 18 ans,Manitoba,46,12.8
2018,Personnes de moins de 18 ans,Manitoba,46,13.0
2019,Personnes de moins de 18 ans,Manitoba,46,13.7
2020,Personnes de moins de 18 ans,Manitoba,46,5.9
2021,Personnes de moins de 18 ans,Manitoba,46,9.0
2022,Personnes de moins de 18 ans,Manitoba,46,12.9
2023,Personnes de moins de 18 ans,Manitoba,46,12.5
2015,Toutes les personnes,"Montréal, Québec",,17.2
2016,Toutes les personnes,"Montréal, Québec",,13.2
2017,Toutes les personnes,"Montréal, Québec",,14.1
2018,Toutes les personnes,"Montréal, Québec",,11.4
2019,Toutes les personnes,"Montréal, Québec",,10.4
2020,Toutes les personnes,"Montréal, Québec",,5.4
2021,Toutes les personnes,"Montréal, Québec",,5.9
2022,Toutes les personnes,"Montréal, Québec",,7.8
2023,Toutes les personnes,"Montréal, Québec",,8.6
2015,Personnes de 18 à 64 ans,"Montréal, Québec",,18.9
2016,Personnes de 18 à 64 ans,"Montréal, Québec",,13.9
2017,Personnes de 18 à 64 ans,"Montréal, Québec",,15.0
2018,Personnes de 18 à 64 ans,"Montréal, Québec",,13.2
2019,Personnes de 18 à 64 ans,"Montréal, Québec",,12.3
2020,Personnes de 18 à 64 ans,"Montréal, Québec",,6.8
2021,Personnes de 18 à 64 ans,"Montréal, Québec",,6.4
2022,Personnes de 18 à 64 ans,"Montréal, Québec",,9.4
2023,Personnes de 18 à 64 ans,"Montréal, Québec",,10.1
2015,Personnes de 65 ans et plus,"Montréal, Québec",,7.2
2016,Personnes de 65 ans et plus,"Montréal, Québec",,9.7
2017,Personnes de 65 ans et plus,"Montréal, Québec",,9.3
2018,Personnes de 65 ans et plus,"Montréal, Québec",,7.1
2019,Personnes de 65 ans et plus,"Montréal, Québec",,7.0
2020,Personnes de 65 ans et plus,"Montréal, Québec",,2.9
2021,Personnes de 65 ans et plus,"Montréal, Québec",,6.2
2022,Personnes de 65 ans et plus,"Montréal, Québec",,4.1
2023,Personnes de 65 ans et plus,"Montréal, Québec",,4.6
2015,Personnes de moins de 18 ans,"Montréal, Québec",,19.3
2016,Personnes de moins de 18 ans,"Montréal, Québec",,13.6
2017,Personnes de moins de 18 ans,"Montréal, Québec",,14.7
2018,Personnes de moins de 18 ans,"Montréal, Québec",,9.1
2019,Personnes de moins de 18 ans,"Montréal, Québec",,7.3
2021,Personnes de moins de 18 ans,"Montréal, Québec",,4.1
2022,Personnes de moins de 18 ans,"Montréal, Québec",,5.7
2023,Personnes de moins de 18 ans,"Montréal, Québec",,7.5
2015,Toutes les personnes,Nouveau-Brunswick,13,16.2
2016,Toutes les personnes,Nouveau-Brunswick,13,13.9
2017,Toutes les personnes,Nouveau-Brunswick,13,12.6
2018,Toutes les personnes,Nouveau-Brunswick,13,10.7
2019,Toutes les personnes,Nouveau-Brunswick,13,9.8
2020,Toutes les personnes,Nouveau-Brunswick,13,7.7
2021,Toutes les personnes,Nouveau-Brunswick,13,6.7
2022,Toutes les personnes,Nouveau-Brunswick,13,10.8
2023,Toutes les personnes,Nouveau-Brunswick,13,11.3
2015,Personnes de 18 à 64 ans,Nouveau-Brunswick,13,16.6
2016,Personnes de 18 à 64 ans,Nouveau-Brunswick,13,14.3
2017,Personnes de 18 à 64 ans,Nouveau-Brunswick,13,13.8
2018,Personnes de 18 à 64 ans,Nouveau-Brunswick,13,12.1
2019,Personnes de 18 à 64 ans,Nouveau-Brunswick,13,10.5
2020,Personnes de 18 à 64 ans,Nouveau-Brunswick,13,9.1
2021,Personnes de 18 à 64 ans,Nouveau-Brunswick,13,7.1
2022,Personnes de 18 à 64 ans,Nouveau-Brunswick,13,11.6
2023,Personnes de 18 à 64 ans,Nouveau-Brunswick,13,11.8
2015,Personnes de 65 ans et plus,Nouveau-Brunswick,13,11.2
2016,Personnes de 65 ans et plus,Nouveau-Brunswick,13,10.0
2017,Personnes de 65 ans et plus,Nouveau-Brunswick,13,6.6
2018,Personnes de 65 ans et plus,Nouveau-Brunswick,13,5.9
2019,Personnes de 65 ans et plus,Nouveau-Brunswick,13,6.2
2020,Personnes de 65 ans et plus,Nouveau-Brunswick,13,5.3
2021,Personnes de 65 ans et plus,Nouveau-Brunswick,13,5.6
2022,Personnes de 65 ans et plus,Nouveau-Brunswick,13,8.7
2023,Personnes de 65 ans et plus,Nouveau-Brunswick,13,7.5
2015,Personnes de moins de 18 ans,Nouveau-Brunswick,13,19.9
2016,Personnes de moins de 18 ans,Nouveau-Brunswick,13,16.4
2017,Personnes de moins de 18 ans,Nouveau-Brunswick,13,15.5
2018,Personnes de moins de 18 ans,Nouveau-Brunswick,13,11.5
2019,Personnes de moins de 18 ans,Nouveau-Brunswick,13,12.0
2020,Personnes de moins de 18 ans,Nouveau-Brunswick,13,5.9
2021,Personnes de moins de 18 ans,Nouveau-Brunswick,13,6.9
2022,Personnes de moins de 18 ans,Nouveau-Brunswick,13,10.9
2023,Personnes de moins de 18 ans,Nouveau-Brunswick,13,14.2
2015,Toutes les personnes,Terre-Neuve-et-Labrador,10,13.0
2016,Toutes les personnes,Terre-Neuve-et-Labrador,10,12.2
2017,Toutes les personnes,Terre-Neuve-et-Labrador,10,11.3
2018,Toutes les personnes,Terre-Neuve-et-Labrador,10,11.9
2019,Toutes les personnes,Terre-Neuve-et-Labrador,10,11.7
2020,Toutes les personnes,Terre-Neuve-et-Labrador,10,7.3
2021,Toutes les personnes,Terre-Neuve-et-Labrador,10,8.6
2022,Toutes les personnes,Terre-Neuve-et-Labrador,10,10.4
2023,Toutes les personnes,Terre-Neuve-et-Labrador,10,12.0
2015,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,10,13.7
2016,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,10,13.3
2017,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,10,12.6
2018,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,10,14.2
2019,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,10,12.5
2020,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,10,8.5
2021,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,10,9.6
2022,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,10,11.7
2023,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,10,13.6
2015,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,10,8.8
2016,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,10,8.0
2017,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,10,6.9
2018,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,10,4.5
2019,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,10,6.1
2020,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,10,3.5
2021,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,10,4.9
2022,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,10,6.1
2023,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,10,5.5
2015,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,10,15.2
2016,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,10,13.0
2017,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,10,11.5
2018,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,10,12.3
2019,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,10,15.8
2020,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,10,8.1
2021,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,10,10.4
2022,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,10,11.9
2023,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,10,15.9
2018,Toutes les personnes,Territoires du Nord-Ouest,61,16.5
2018,Toutes les personnes,Territoires du Nord-Ouest,61,17.5
2019,Toutes les personnes,Territoires du Nord-Ouest,61,12.6
2019,Toutes les personnes,Territoires du Nord-Ouest,61,12.5
2020,Toutes les personnes,Territoires du Nord-Ouest,61,11.0
2021,Toutes les personnes,Territoires du Nord-Ouest,61,15.2
2022,Toutes les personnes,Territoires du Nord-Ouest,61,17.9
2023,Toutes les personnes,Territoires du Nord-Ouest,61,14.0
2018,Personnes de 18 à 64 ans,Territoires du Nord-Ouest,61,14.6
2019,Personnes de 18 à 64 ans,Territoires du Nord-Ouest,61,8.9
2020,Personnes de 18 à 64 ans,Territoires du Nord-Ouest,61,9.0
2021,Personnes de 18 à 64 ans,Territoires du Nord-Ouest,61,14.5
2022,Personnes de 18 à 64 ans,Territoires du Nord-Ouest,61,17.1
2023,Personnes de 18 à 64 ans,Territoires du Nord-Ouest,61,12.0
2018,Personnes de 65 ans et plus,Territoires du Nord-Ouest,61,24.7
2019,Personnes de 65 ans et plus,Territoires du Nord-Ouest,61,28.9
2022,Personnes de 65 ans et plus,Territoires du Nord-Ouest,61,19.3
2023,Personnes de 65 ans et plus,Territoires du Nord-Ouest,61,26.8
2018,Personnes de moins de 18 ans,Territoires du Nord-Ouest,61,18.8
2019,Personnes de moins de 18 ans,Territoires du Nord-Ouest,61,16.6
2022,Personnes de moins de 18 ans,Territoires du Nord-Ouest,61,19.6
2023,Personnes de moins de 18 ans,Territoires du Nord-Ouest,61,14.1
2015,Toutes les personnes,Nouvelle-Écosse,12,16.8
2016,Toutes les personnes,Nouvelle-Écosse,12,16.4
2017,Toutes les personnes,Nouvelle-Écosse,12,15.1
2018,Toutes les personnes,Nouvelle-Écosse,12,13.8
2019,Toutes les personnes,Nouvelle-Écosse,12,12.2
2020,Toutes les personnes,Nouvelle-Écosse,12,8.0
2021,Toutes les personnes,Nouvelle-Écosse,12,9.0
2022,Toutes les personnes,Nouvelle-Écosse,12,13.6
2023,Toutes les personnes,Nouvelle-Écosse,12,13.8
2015,Personnes de 18 à 64 ans,Nouvelle-Écosse,12,17.6
2016,Personnes de 18 à 64 ans,Nouvelle-Écosse,12,18.1
2017,Personnes de 18 à 64 ans,Nouvelle-Écosse,12,16.4
2018,Personnes de 18 à 64 ans,Nouvelle-Écosse,12,14.9
2019,Personnes de 18 à 64 ans,Nouvelle-Écosse,12,13.8
2020,Personnes de 18 à 64 ans,Nouvelle-Écosse,12,9.9
2021,Personnes de 18 à 64 ans,Nouvelle-Écosse,12,9.6
2022,Personnes de 18 à 64 ans,Nouvelle-Écosse,12,14.3
2023,Personnes de 18 à 64 ans,Nouvelle-Écosse,12,14.7
2015,Personnes de 65 ans et plus,Nouvelle-Écosse,12,10.4
2016,Personnes de 65 ans et plus,Nouvelle-Écosse,12,7.9
2017,Personnes de 65 ans et plus,Nouvelle-Écosse,12,6.9
2018,Personnes de 65 ans et plus,Nouvelle-Écosse,12,8.8
2019,Personnes de 65 ans et plus,Nouvelle-Écosse,12,8.2
2020,Personnes de 65 ans et plus,Nouvelle-Écosse,12,4.6
2021,Personnes de 65 ans et plus,Nouvelle-Écosse,12,9.4
2022,Personnes de 65 ans et plus,Nouvelle-Écosse,12,10.9
2023,Personnes de 65 ans et plus,Nouvelle-Écosse,12,9.2
2015,Personnes de moins de 18 ans,Nouvelle-Écosse,12,20.6
2016,Personnes de moins de 18 ans,Nouvelle-Écosse,12,19.9
2017,Personnes de moins de 18 ans,Nouvelle-Écosse,12,20.0
2018,Personnes de moins de 18 ans,Nouvelle-Écosse,12,15.7
2019,Personnes de moins de 18 ans,Nouvelle-Écosse,12,10.9
2020,Personnes de moins de 18 ans,Nouvelle-Écosse,12,5.6
2021,Personnes de moins de 18 ans,Nouvelle-Écosse,12,6.4
2022,Personnes de moins de 18 ans,Nouvelle-Écosse,12,14.7
2023,Personnes de moins de 18 ans,Nouvelle-Écosse,12,16.1
2018,Toutes les personnes,Nunavut,62,42.4
2018,Toutes les personnes,Nunavut,62,43.2
2019,Toutes les personnes,Nunavut,62,37.1
2019,Toutes les personnes,Nunavut,62,38.7
2020,Toutes les personnes,Nunavut,62,30.8
2020,Toutes les personnes,Nunavut,62,37.5
2021,Toutes les personnes,Nunavut,62,30.4
2021,Toutes les personnes,Nunavut,62,39.7
2022,Toutes les personnes,Nunavut,62,34.5
2023,Toutes les personnes,Nunavut,62,32.6
2018,Personnes de 18 à 64 ans,Nunavut,62,35.1
2018,Personnes de 18 à 64 ans,Nunavut,62,36.2
2019,Personnes de 18 à 64 ans,Nunavut,62,33.8
2019,Personnes de 18 à 64 ans,Nunavut,62,35.5
2020,Personnes de 18 à 64 ans,Nunavut,62,26.9
2020,Personnes de 18 à 64 ans,Nunavut,62,32.0
2021,Personnes de 18 à 64 ans,Nunavut,62,27.4
2021,Personnes de 18 à 64 ans,Nunavut,62,36.1
2022,Personnes de 18 à 64 ans,Nunavut,62,29.8
2023,Personnes de 18 à 64 ans,Nunavut,62,28.2
2018,Personnes de 65 ans et plus,Nunavut,62,44.6
2018,Personnes de 65 ans et plus,Nunavut,62,43.1
2019,Personnes de 65 ans et plus,Nunavut,62,26.5
2019,Personnes de 65 ans et plus,Nunavut,62,26.8
2022,Personnes de 65 ans et plus,Nunavut,62,34.7
2023,Personnes de 65 ans et plus,Nunavut,62,30.5
2018,Personnes de moins de 18 ans,Nunavut,62,53.5
2018,Personnes de moins de 18 ans,Nunavut,62,53.9
2019,Personnes de moins de 18 ans,Nunavut,62,43.4
2019,Personnes de moins de 18 ans,Nunavut,62,45.0
2020,Personnes de moins de 18 ans,Nunavut,62,38.3
2020,Personnes de moins de 18 ans,Nunavut,62,47.9
2021,Personnes de moins de 18 ans,Nunavut,62,36.3
2021,Personnes de moins de 18 ans,Nunavut,62,46.5
2022,Personnes de moins de 18 ans,Nunavut,62,42.4
2023,Personnes de moins de 18 ans,Nunavut,62,39.9
2015,Toutes les personnes,Ontario,35,15.1
2016,Toutes les personnes,Ontario,35,13.7
2017,Toutes les personnes,Ontario,35,12.3
2018,Toutes les personnes,Ontario,35,11.6
2019,Toutes les personnes,Ontario,35,10.9
2020,Toutes les personnes,Ontario,35,6.9
2021,Toutes les personnes,Ontario,35,7.8
2022,Toutes les personnes,Ontario,35,11.1
