Year,Geography,Series,Units,Type of occupation,Sex,GeoCode,Value
2021,Saskatchewan,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,47,3.500273955
2021,Alberta,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,48,11.69852487
2021,British Columbia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,59,12.68571457
2021,Yukon,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,60,0.109833027
2021,Northwest Territories,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,61,0.116370707
2021,Nunavut,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,62,0.041841153
2021,Canada,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,,6.42392452
2021,Newfoundland and Labrador,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,10,0.06929941
2021,Prince Edward Island,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,11,0.015690432
2021,Nova Scotia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,12,0.155596788
2021,New Brunswick,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,13,0.087604914
2021,Quebec,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,24,1.24869691
2021,Ontario,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,35,2.757593489
2021,Manitoba,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,46,0.169979684
2021,Saskatchewan,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,47,0.139906355
2021,Alberta,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,48,0.740065394
2021,British Columbia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,59,1.02772332
2021,Yukon,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,60,0.00653768
2021,Northwest Territories,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,61,0.003922608
2021,Nunavut,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Dentists,,62,0.0
2021,Canada,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,,11.73121327
2021,Newfoundland and Labrador,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,10,0.179132436
2021,Prince Edward Island,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,11,0.047071297
2021,Nova Scotia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,12,0.325576472
2021,New Brunswick,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,13,0.278505175
2021,Quebec,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,24,2.588921341
2021,Ontario,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,35,4.253414709
2021,Manitoba,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,46,0.440639642
2021,Saskatchewan,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,47,0.432794426
2021,Alberta,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,48,1.512819188
2021,British Columbia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,59,1.647495399
2021,Yukon,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,60,0.01307536
2021,Northwest Territories,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,61,0.009152752
2021,Nunavut,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Pharmacists,,62,0.002615072
2021,Canada,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,,52.60111717
2021,Newfoundland and Labrador,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,10,51.87165775
2021,Prince Edward Island,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,11,53.06122449
2021,Nova Scotia,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,12,55.84415584
2021,New Brunswick,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,13,50.91575092
2021,Quebec,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,24,45.94811447
2021,Ontario,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,35,54.04202279
2021,Manitoba,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,46,58.82352941
2021,Saskatchewan,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,47,57.8125
2021,Alberta,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,48,53.53955979
2021,British Columbia,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,59,57.57281553
2021,Yukon,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,60,30.0
2021,Northwest Territories,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,61,40.0
2021,Nunavut,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Male,62,0.0
2021,Canada,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,,47.39888283
2021,Newfoundland and Labrador,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,10,48.12834225
2021,Prince Edward Island,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,11,46.93877551
2021,Nova Scotia,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,12,44.15584416
2021,New Brunswick,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,13,49.08424908
2021,Quebec,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,24,54.05188553
2021,Ontario,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,35,45.94017094
2021,Manitoba,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,46,41.61220044
2021,Saskatchewan,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,47,42.1875
2021,Alberta,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,48,46.46044021
2021,British Columbia,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,59,42.42718447
2021,Yukon,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,60,70.0
2021,Northwest Territories,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,61,60.0
2021,Nunavut,"Health worker distribution, by sex and type of occupation",Percentage (%),Medical doctors,Female,62,66.66666667
2021,Canada,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,,9.561456476
2021,Newfoundland and Labrador,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,10,7.64940239
2021,Prince Edward Island,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,11,6.417112299
2021,Nova Scotia,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,12,7.8050884
2021,New Brunswick,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,13,6.037514654
2021,Quebec,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,24,11.36942467
2021,Ontario,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,35,9.203168686
2021,Manitoba,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,46,11.62162162
2021,Saskatchewan,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,47,7.956667912
2021,Alberta,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,48,8.103274841
2021,British Columbia,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,59,10.18346733
2021,Yukon,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,60,8.333333333
2021,Northwest Territories,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,61,10.11235955
2021,Nunavut,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Male,62,15.625
2021,Canada,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,,90.441352
2021,Newfoundland and Labrador,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,10,92.50996016
2021,Prince Edward Island,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,11,93.5828877
2021,Nova Scotia,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,12,92.1949116
2021,New Brunswick,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,13,93.9038687
2021,Quebec,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,24,88.63057533
2021,Ontario,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,35,90.79683131
2021,Manitoba,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,46,88.31081081
2021,Saskatchewan,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,47,92.00597684
2021,Alberta,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,48,91.89672516
2021,British Columbia,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,59,89.81653267
2021,Yukon,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,60,92.85714286
2021,Northwest Territories,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,61,88.76404494
2021,Nunavut,"Health worker distribution, by sex and type of occupation",Percentage (%),Nursing and midwifery personnel,Female,62,84.375
