Year,Geography,Educational attainment level,Status,Sex,Age group,GeoCode,Value
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,,6
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,,3
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,,6
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,,8
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,,4
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,,7
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,,9
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,,4
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,,7
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,,9
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,,5
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",,8
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",,6
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",,9
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,,4
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,,4
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,,4
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,,6
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,,5
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,,7
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,,7
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,,6
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,,8
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,,7
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,,6
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,,9
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,,11
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,,8
2015,Canada,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,,14
2015,Canada,Below upper secondary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,,44
2015,Canada,Below upper secondary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,,40
2015,Canada,Below upper secondary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,,50
2015,Canada,Below upper secondary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,,11
2015,Canada,Below upper secondary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,,15
2015,Canada,Below upper secondary,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,,6
2015,Canada,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,,33
2015,Canada,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,,25
2015,Canada,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,,44
2015,Canada,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,,23
2015,Canada,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,,20
2015,Canada,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,,27
2015,Canada,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,,9
2015,Canada,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,,10
2015,Canada,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,,6
2015,Canada,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,,14
2015,Canada,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,,9
2015,Canada,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,,21
2015,Canada,Tertiary education,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,,11
2015,Canada,Tertiary education,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,,10
2015,Canada,Tertiary education,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,,12
2015,Canada,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,,5
2015,Canada,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,,6
2015,Canada,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,,4
2015,Canada,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,,6
2015,Canada,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,,4
2015,Canada,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,,9
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",10,17
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",10,19
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",10,15
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,10,7
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,10,9
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 19 years,10,6
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,10,13
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,10,17
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,10,10
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,10,18
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,10,23
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,10,12
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,10,19
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,10,24
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,10,14
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,24
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,10,25
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,10,24
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",10,9
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",10,11
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",10,6
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,10,3
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,10,4
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,10,7
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,10,10
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,10,5
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,10,10
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,10,14
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,10,6
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,10,11
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,10,16
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,10,7
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,11
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,10,14
2015,Newfoundland and Labrador,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,10,8
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",10,8
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",10,8
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",10,9
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,10,4
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,10,5
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,10,6
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,10,7
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,10,5
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,10,8
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,10,9
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,10,7
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,10,8
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,10,8
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,10,7
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,13
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,10,11
2015,Newfoundland and Labrador,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,10,15
2015,Newfoundland and Labrador,Below upper secondary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,62
2015,Newfoundland and Labrador,Below upper secondary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,10,61
2015,Newfoundland and Labrador,Below upper secondary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,10,63
2015,Newfoundland and Labrador,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,32
2015,Newfoundland and Labrador,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,10,36
2015,Newfoundland and Labrador,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,10,26
2015,Newfoundland and Labrador,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,15
2015,Newfoundland and Labrador,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,10,22
2015,Newfoundland and Labrador,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,16
2015,Newfoundland and Labrador,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,10,14
2015,Newfoundland and Labrador,Tertiary education,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,14
2015,Newfoundland and Labrador,Tertiary education,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,10,19
2015,Newfoundland and Labrador,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,8
2015,Newfoundland and Labrador,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,10,6
2015,Newfoundland and Labrador,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,10,10
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",11,15
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",11,16
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",11,15
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,11,8
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,11,8
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,11,13
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,11,15
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,11,11
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,11,17
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,11,21
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,11,14
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,11,19
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,11,22
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,11,15
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,11,19
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,11,17
2015,Prince Edward Island,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,11,22
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",11,9
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",11,11
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",11,7
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,11,4
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,11,8
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,11,11
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,11,5
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,11,11
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,11,15
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,11,6
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,11,11
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,11,16
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,11,6
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,11,12
2015,Prince Edward Island,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,11,12
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",11,6
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",11,4
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",11,8
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,11,3
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,11,5
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,11,4
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,11,7
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,11,6
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,11,5
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,11,8
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,11,8
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,11,9
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,11,7
2015,Prince Edward Island,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,11,10
2015,Prince Edward Island,Below upper secondary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,11,56
2015,Prince Edward Island,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,11,32
2015,Prince Edward Island,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,11,17
2015,Prince Edward Island,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,11,51
2015,Prince Edward Island,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,11,20
2015,Prince Edward Island,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,11,30
2015,Prince Edward Island,Tertiary education,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,11,10
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",12,13
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",12,14
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",12,13
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,12,9
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,12,12
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 19 years,12,6
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,12,11
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,12,13
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,12,10
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,12,14
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,12,15
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,12,13
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,12,13
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,12,13
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,12,14
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,18
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,12,18
2015,Nova Scotia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,12,18
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",12,7
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",12,10
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",12,4
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,12,5
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,12,7
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,12,6
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,12,9
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,12,4
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,12,8
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,12,11
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,12,6
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,12,8
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,12,10
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,12,6
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,8
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,12,12
2015,Nova Scotia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,12,5
2015,Nova Scotia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",12,6
2015,Nova Scotia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",12,5
2015,Nova Scotia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",12,8
2015,Nova Scotia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,12,5
2015,Nova Scotia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,12,5
2015,Nova Scotia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,12,4
