Year,Persons in low income,Geography,GeoCode,Value
2015,"Men+, under 18 years","Vancouver, British Columbia",,14.9
2015,"Men+, 18 to 64 years","Vancouver, British Columbia",,17.8
2015,"Men+, 65 years and over","Vancouver, British Columbia",,16.8
2015,Women+,"Vancouver, British Columbia",,17.0
2015,"Women+, under 18 years","Vancouver, British Columbia",,15.7
2015,"Women+, 18 to 64 years","Vancouver, British Columbia",,17.5
2015,"Women+, 65 years and over","Vancouver, British Columbia",,16.6
2016,Persons under 18 years,Canada,,13.8
2016,Persons 18 to 64 years,Canada,,12.3
2016,Persons 65 years and over,Canada,,14.6
2016,Men+,Canada,,12.2
2016,"Men+, under 18 years",Canada,,13.5
2016,"Men+, 18 to 64 years",Canada,,11.7
2016,"Men+, 65 years and over",Canada,,12.3
2016,Women+,Canada,,13.8
2016,"Women+, under 18 years",Canada,,14.2
2016,"Women+, 18 to 64 years",Canada,,13.0
2016,"Women+, 65 years and over",Canada,,16.6
2016,All persons,Atlantic provinces,,15.7
2016,Persons under 18 years,Atlantic provinces,,18.1
2016,Persons 18 to 64 years,Atlantic provinces,,13.6
2016,Persons 65 years and over,Atlantic provinces,,20.3
2016,Men+,Atlantic provinces,,14.6
2016,"Men+, under 18 years",Atlantic provinces,,19.3
2016,"Men+, 18 to 64 years",Atlantic provinces,,12.2
2016,"Men+, 65 years and over",Atlantic provinces,,18.3
2016,Women+,Atlantic provinces,,16.8
2016,"Women+, under 18 years",Atlantic provinces,,17.0
2016,"Women+, 18 to 64 years",Atlantic provinces,,15.0
2016,"Women+, 65 years and over",Atlantic provinces,,22.2
2016,All persons,Newfoundland and Labrador,10,15.8
2016,Persons under 18 years,Newfoundland and Labrador,,16.2
2016,Persons 18 to 64 years,Newfoundland and Labrador,,12.8
2016,Persons 65 years and over,Newfoundland and Labrador,,25.6
2016,Men+,Newfoundland and Labrador,,14.0
2016,"Men+, under 18 years",Newfoundland and Labrador,,16.7
2016,"Men+, 18 to 64 years",Newfoundland and Labrador,,9.9
2016,"Men+, 65 years and over",Newfoundland and Labrador,,25.3
2016,Women+,Newfoundland and Labrador,,17.6
2016,"Women+, under 18 years",Newfoundland and Labrador,,15.6
2016,"Women+, 18 to 64 years",Newfoundland and Labrador,,15.6
2016,"Women+, 65 years and over",Newfoundland and Labrador,,25.9
2016,All persons,Prince Edward Island,11,16.3
2016,Persons under 18 years,Prince Edward Island,,22.6
2016,Persons 18 to 64 years,Prince Edward Island,,13.3
2016,Persons 65 years and over,Prince Edward Island,,19.7
2016,Men+,Prince Edward Island,,13.5
2016,"Men+, under 18 years",Prince Edward Island,,19.4
2016,"Men+, 18 to 64 years",Prince Edward Island,,11.6
2016,"Men+, 65 years and over",Prince Edward Island,,13.7
2016,Women+,Prince Edward Island,,18.9
2016,"Women+, under 18 years",Prince Edward Island,,25.9
2016,"Women+, 18 to 64 years",Prince Edward Island,,14.9
2016,"Women+, 65 years and over",Prince Edward Island,,25.0
2016,All persons,Nova Scotia,12,16.2
2016,Persons under 18 years,Nova Scotia,,19.1
2016,Persons 18 to 64 years,Nova Scotia,,15.5
2016,Persons 65 years and over,Nova Scotia,,15.9
2016,Men+,Nova Scotia,,16.1
2016,"Men+, under 18 years",Nova Scotia,,20.4
2016,"Men+, 18 to 64 years",Nova Scotia,,15.3
2016,"Men+, 65 years and over",Nova Scotia,,14.3
2016,Women+,Nova Scotia,,16.3
2016,"Women+, under 18 years",Nova Scotia,,17.7
2016,"Women+, 18 to 64 years",Nova Scotia,,15.7
2016,"Women+, 65 years and over",Nova Scotia,,17.3
2016,All persons,New Brunswick,13,15.0
2016,Persons under 18 years,New Brunswick,,17.4
2016,Persons 18 to 64 years,New Brunswick,,12.0
2016,Persons 65 years and over,New Brunswick,,22.3
2016,Men+,New Brunswick,,13.5
2016,"Men+, under 18 years",New Brunswick,,19.6
2016,"Men+, 18 to 64 years",New Brunswick,,10.1
2016,"Men+, 65 years and over",New Brunswick,,19.1
2016,Women+,New Brunswick,,16.4
2016,"Women+, under 18 years",New Brunswick,,15.1
2016,"Women+, 18 to 64 years",New Brunswick,,13.8
2016,"Women+, 65 years and over",New Brunswick,,25.1
2016,All persons,Quebec,24,13.8
2016,Persons under 18 years,Quebec,,12.9
2016,Persons 18 to 64 years,Quebec,,12.6
2016,Persons 65 years and over,Quebec,,19.1
2016,Men+,Quebec,,13.2
2016,"Men+, under 18 years",Quebec,,13.3
2016,"Men+, 18 to 64 years",Quebec,,12.4
2016,"Men+, 65 years and over",Quebec,,16.2
2016,Women+,Quebec,,14.4
2016,"Women+, under 18 years",Quebec,,12.5
2016,"Women+, 18 to 64 years",Quebec,,12.8
2016,"Women+, 65 years and over",Quebec,,21.5
2016,All persons,Ontario,35,13.7
2016,Persons under 18 years,Ontario,,16.0
2016,Persons 18 to 64 years,Ontario,,13.2
2016,Persons 65 years and over,Ontario,,13.0
2016,Men+,Ontario,,12.2
2016,"Men+, under 18 years",Ontario,,14.8
2016,"Men+, 18 to 64 years",Ontario,,11.7
2016,"Men+, 65 years and over",Ontario,,10.8
2016,Women+,Ontario,,15.1
2016,"Women+, under 18 years",Ontario,,17.3
2016,"Women+, 18 to 64 years",Ontario,,14.6
2016,"Women+, 65 years and over",Ontario,,14.9
2016,All persons,Prairie provinces,,9.2
2016,Persons under 18 years,Prairie provinces,,10.1
2016,Persons 18 to 64 years,Prairie provinces,,8.9
2016,Persons 65 years and over,Prairie provinces,,9.5
2016,Men+,Prairie provinces,,9.1
2016,"Men+, under 18 years",Prairie provinces,,10.4
2016,"Men+, 18 to 64 years",Prairie provinces,,8.6
2016,"Men+, 65 years and over",Prairie provinces,,9.0
2016,Women+,Prairie provinces,,9.4
2016,"Women+, under 18 years",Prairie provinces,,9.7
2016,"Women+, 18 to 64 years",Prairie provinces,,9.2
2016,"Women+, 65 years and over",Prairie provinces,,9.9
2016,All persons,Manitoba,46,13.3
2016,Persons under 18 years,Manitoba,,17.3
2016,Persons 18 to 64 years,Manitoba,,11.8
2016,Persons 65 years and over,Manitoba,,14.1
2016,Men+,Manitoba,,13.0
2016,"Men+, under 18 years",Manitoba,,18.6
2016,"Men+, 18 to 64 years",Manitoba,,11.3
2016,"Men+, 65 years and over",Manitoba,,11.5
2016,Women+,Manitoba,,13.7
2016,"Women+, under 18 years",Manitoba,,15.8
2016,"Women+, 18 to 64 years",Manitoba,,12.3
2016,"Women+, 65 years and over",Manitoba,,16.3
2016,All persons,Saskatchewan,47,11.4
2016,Persons under 18 years,Saskatchewan,,12.9
2016,Persons 18 to 64 years,Saskatchewan,,9.8
2016,Persons 65 years and over,Saskatchewan,,15.8
2016,Men+,Saskatchewan,,10.4
2016,"Men+, under 18 years",Saskatchewan,,12.0
2016,"Men+, 18 to 64 years",Saskatchewan,,8.9
2016,"Men+, 65 years and over",Saskatchewan,,14.5
2016,Women+,Saskatchewan,,12.5
2016,"Women+, under 18 years",Saskatchewan,,13.8
2016,"Women+, 18 to 64 years",Saskatchewan,,10.8
2016,"Women+, 65 years and over",Saskatchewan,,17.0
2016,All persons,Alberta,48,7.4
2016,Persons under 18 years,Alberta,,7.2
2016,Persons 18 to 64 years,Alberta,,7.9
2016,Persons 65 years and over,Alberta,,5.6
2016,Men+,Alberta,,7.5
2016,"Men+, under 18 years",Alberta,,7.4
2016,"Men+, 18 to 64 years",Alberta,,7.8
2016,"Men+, 65 years and over",Alberta,,6.2
2016,Women+,Alberta,,7.4
2016,"Women+, under 18 years",Alberta,,7.0
2016,"Women+, 18 to 64 years",Alberta,,8.0
2016,"Women+, 65 years and over",Alberta,,5.1
2016,All persons,British Columbia,59,13.4
2016,Persons under 18 years,British Columbia,,13.0
2016,Persons 18 to 64 years,British Columbia,,13.5
2016,Persons 65 years and over,British Columbia,,13.2
2016,Men+,British Columbia,,13.3
2016,"Men+, under 18 years",British Columbia,,12.2
2016,"Men+, 18 to 64 years",British Columbia,,14.5
2016,"Men+, 65 years and over",British Columbia,,9.9
2016,Women+,British Columbia,,13.4
2016,"Women+, under 18 years",British Columbia,,13.9
2016,"Women+, 18 to 64 years",British Columbia,,12.6
2016,"Women+, 65 years and over",British Columbia,,16.1
2016,All persons,"Québec, Quebec",,10.9
2016,Persons under 18 years,"Québec, Quebec",,7.7
2016,Persons 18 to 64 years,"Québec, Quebec",,9.0
2016,Persons 65 years and over,"Québec, Quebec",,20.0
2016,Men+,"Québec, Quebec",,8.6
2016,"Men+, 18 to 64 years","Québec, Quebec",,8.1
2016,"Men+, 65 years and over","Québec, Quebec",,13.6
2016,Women+,"Québec, Quebec",,12.9
2016,"Women+, 18 to 64 years","Québec, Quebec",,9.9
2016,"Women+, 65 years and over","Québec, Quebec",,25.1
2016,All persons,"Montréal, Quebec",,14.6
2016,Persons under 18 years,"Montréal, Quebec",,15.6
2016,Persons 18 to 64 years,"Montréal, Quebec",,13.6
2016,Persons 65 years and over,"Montréal, Quebec",,17.2
2016,Men+,"Montréal, Quebec",,14.4
2016,"Men+, under 18 years","Montréal, Quebec",,15.7
2016,"Men+, 18 to 64 years","Montréal, Quebec",,13.4
2016,"Men+, 65 years and over","Montréal, Quebec",,17.1
2016,Women+,"Montréal, Quebec",,14.7
2016,"Women+, under 18 years","Montréal, Quebec",,15.4
2016,"Women+, 18 to 64 years","Montréal, Quebec",,13.8
2016,"Women+, 65 years and over","Montréal, Quebec",,17.4
2016,All persons,"Ottawa-Gatineau, Ontario/Quebec",,9.1
2016,Persons under 18 years,"Ottawa-Gatineau, Ontario/Quebec",,10.6
2016,Persons 18 to 64 years,"Ottawa-Gatineau, Ontario/Quebec",,9.1
2016,Persons 65 years and over,"Ottawa-Gatineau, Ontario/Quebec",,7.2
2016,Men+,"Ottawa-Gatineau, Ontario/Quebec",,8.1
2016,"Men+, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,9.1
2016,"Men+, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,8.7
2016,Women+,"Ottawa-Gatineau, Ontario/Quebec",,10.1
2016,"Women+, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,12.0
2016,"Women+, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,9.6
2016,"Women+, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,9.8
2016,All persons,"Toronto, Ontario",,15.7
2016,Persons under 18 years,"Toronto, Ontario",,19.2
2016,Persons 18 to 64 years,"Toronto, Ontario",,14.6
2016,Persons 65 years and over,"Toronto, Ontario",,15.3
2016,Men+,"Toronto, Ontario",,13.9
2016,"Men+, under 18 years","Toronto, Ontario",,16.8
2016,"Men+, 18 to 64 years","Toronto, Ontario",,12.8
2016,"Men+, 65 years and over","Toronto, Ontario",,15.1
2016,Women+,"Toronto, Ontario",,17.3
2016,"Women+, under 18 years","Toronto, Ontario",,21.5
2016,"Women+, 18 to 64 years","Toronto, Ontario",,16.4
2016,"Women+, 65 years and over","Toronto, Ontario",,15.5
2016,All persons,"Winnipeg, Manitoba",,13.3
2016,Persons under 18 years,"Winnipeg, Manitoba",,18.6
2016,Persons 18 to 64 years,"Winnipeg, Manitoba",,12.1
2016,Persons 65 years and over,"Winnipeg, Manitoba",,11.0
2016,Men+,"Winnipeg, Manitoba",,13.1
2016,"Men+, under 18 years","Winnipeg, Manitoba",,19.9
2016,"Men+, 18 to 64 years","Winnipeg, Manitoba",,11.6
2016,"Men+, 65 years and over","Winnipeg, Manitoba",,9.5
2016,Women+,"Winnipeg, Manitoba",,13.4
2016,"Women+, under 18 years","Winnipeg, Manitoba",,17.3
2016,"Women+, 18 to 64 years","Winnipeg, Manitoba",,12.5
2016,"Women+, 65 years and over","Winnipeg, Manitoba",,12.3
2016,All persons,"Calgary, Alberta",,6.3
2016,Persons under 18 years,"Calgary, Alberta",,5.4
2016,Persons 18 to 64 years,"Calgary, Alberta",,6.6
2016,Men+,"Calgary, Alberta",,6.5
2016,"Men+, under 18 years","Calgary, Alberta",,6.2
2016,"Men+, 18 to 64 years","Calgary, Alberta",,5.9
2016,Women+,"Calgary, Alberta",,6.2
2016,"Women+, 18 to 64 years","Calgary, Alberta",,7.3
2016,All persons,"Edmonton, Alberta",,6.0
2016,Persons 18 to 64 years,"Edmonton, Alberta",,7.3
2016,Men+,"Edmonton, Alberta",,6.4
2016,"Men+, 18 to 64 years","Edmonton, Alberta",,8.0
2016,Women+,"Edmonton, Alberta",,5.6
2016,"Women+, 18 to 64 years","Edmonton, Alberta",,6.6
2016,All persons,"Vancouver, British Columbia",,12.8
2016,Persons under 18 years,"Vancouver, British Columbia",,11.8
2016,Persons 18 to 64 years,"Vancouver, British Columbia",,13.0
2016,Persons 65 years and over,"Vancouver, British Columbia",,13.0
2016,Men+,"Vancouver, British Columbia",,12.4
2016,"Men+, under 18 years","Vancouver, British Columbia",,11.4
2016,"Men+, 18 to 64 years","Vancouver, British Columbia",,13.6
2016,"Men+, 65 years and over","Vancouver, British Columbia",,8.7
2016,Women+,"Vancouver, British Columbia",,13.2
2016,"Women+, under 18 years","Vancouver, British Columbia",,12.3
2016,"Women+, 18 to 64 years","Vancouver, British Columbia",,12.4
2016,"Women+, 65 years and over","Vancouver, British Columbia",,17.2
2017,Persons under 18 years,Canada,,11.8
2017,Persons 18 to 64 years,Canada,,12.1
2017,Persons 65 years and over,Canada,,15.4
2017,Men+,Canada,,11.8
2017,"Men+, under 18 years",Canada,,11.3
2017,"Men+, 18 to 64 years",Canada,,11.8
2017,"Men+, 65 years and over",Canada,,12.2
2017,Women+,Canada,,13.4
2017,"Women+, under 18 years",Canada,,12.4
2017,"Women+, 18 to 64 years",Canada,,12.4
2017,"Women+, 65 years and over",Canada,,18.2
2017,All persons,Atlantic provinces,,16.3
2017,Persons under 18 years,Atlantic provinces,,16.8
2017,Persons 18 to 64 years,Atlantic provinces,,15.0
2017,Persons 65 years and over,Atlantic provinces,,19.7
2017,Men+,Atlantic provinces,,15.0
2017,"Men+, under 18 years",Atlantic provinces,,16.3
2017,"Men+, 18 to 64 years",Atlantic provinces,,14.0
2017,"Men+, 65 years and over",Atlantic provinces,,17.4
2017,Women+,Atlantic provinces,,17.4
2017,"Women+, under 18 years",Atlantic provinces,,17.4
2017,"Women+, 18 to 64 years",Atlantic provinces,,16.0
2017,"Women+, 65 years and over",Atlantic provinces,,21.7
2017,All persons,Newfoundland and Labrador,10,15.0
2017,Persons under 18 years,Newfoundland and Labrador,,12.7
2017,Persons 18 to 64 years,Newfoundland and Labrador,,13.3
2017,Persons 65 years and over,Newfoundland and Labrador,,22.5
2017,Men+,Newfoundland and Labrador,,13.8
2017,"Men+, under 18 years",Newfoundland and Labrador,,13.0
2017,"Men+, 18 to 64 years",Newfoundland and Labrador,,12.2
2017,"Men+, 65 years and over",Newfoundland and Labrador,,20.1
2017,Women+,Newfoundland and Labrador,,16.2
2017,"Women+, under 18 years",Newfoundland and Labrador,,12.4
2017,"Women+, 18 to 64 years",Newfoundland and Labrador,,14.4
2017,"Women+, 65 years and over",Newfoundland and Labrador,,24.7
2017,All persons,Prince Edward Island,11,16.4
2017,Persons under 18 years,Prince Edward Island,,15.8
2017,Persons 18 to 64 years,Prince Edward Island,,15.4
2017,Persons 65 years and over,Prince Edward Island,,20.3
2017,Men+,Prince Edward Island,,16.3
2017,"Men+, under 18 years",Prince Edward Island,,17.8
2017,"Men+, 18 to 64 years",Prince Edward Island,,15.1
2017,"Men+, 65 years and over",Prince Edward Island,,18.7
2017,Women+,Prince Edward Island,,16.5
2017,"Women+, under 18 years",Prince Edward Island,,13.5
