Year,Géographie,Fonctions des administrations publiques,Value
2018,Saskatchewan,Autres dépenses,24.48
2018,Saskatchewan,Protection sociale,10.882
2018,Yukon,Enseignement,15.443
2018,Yukon,Santé,25.316
2018,Yukon,Autres dépenses,50.0
2018,Yukon,Protection sociale,9.241
2019,Alberta,Enseignement,24.328
2019,Alberta,Santé,37.656
2019,Alberta,Autres dépenses,29.331
2019,Alberta,Protection sociale,8.686
2019,Colombie-Britannique,Enseignement,22.388
2019,Colombie-Britannique,Santé,42.733
2019,Colombie-Britannique,Autres dépenses,23.945
2019,Colombie-Britannique,Protection sociale,10.935
2019,Canada,Enseignement,1.987
2019,Canada,Santé,11.38
2019,Canada,Autres dépenses,43.816
2019,Canada,Protection sociale,42.817
2019,Manitoba,Enseignement,21.974
2019,Manitoba,Santé,43.044
2019,Manitoba,Autres dépenses,25.108
2019,Manitoba,Protection sociale,9.875
2019,Nouveau-Brunswick,Enseignement,16.945
2019,Nouveau-Brunswick,Santé,43.953
2019,Nouveau-Brunswick,Autres dépenses,30.351
2019,Nouveau-Brunswick,Protection sociale,8.75
2019,Terre-Neuve-et-Labrador,Enseignement,22.807
2019,Terre-Neuve-et-Labrador,Santé,44.746
2019,Terre-Neuve-et-Labrador,Autres dépenses,26.806
2019,Terre-Neuve-et-Labrador,Protection sociale,5.642
2019,Territoires du Nord-Ouest,Enseignement,12.697
2019,Territoires du Nord-Ouest,Santé,32.258
2019,Territoires du Nord-Ouest,Autres dépenses,42.279
2019,Territoires du Nord-Ouest,Protection sociale,12.766
2019,Nouvelle-Écosse,Enseignement,22.966
2019,Nouvelle-Écosse,Santé,42.309
2019,Nouvelle-Écosse,Autres dépenses,27.339
2019,Nouvelle-Écosse,Protection sociale,7.387
2019,Nunavut,Enseignement,13.362
2019,Nunavut,Santé,24.584
2019,Nunavut,Autres dépenses,49.603
2019,Nunavut,Protection sociale,12.45
2019,Ontario,Enseignement,24.988
2019,Ontario,Santé,36.652
2019,Ontario,Autres dépenses,25.72
2019,Ontario,Protection sociale,12.639
2019,Île-du-Prince-Édouard,Enseignement,24.661
2019,Île-du-Prince-Édouard,Santé,42.124
2019,Île-du-Prince-Édouard,Autres dépenses,26.755
2019,Île-du-Prince-Édouard,Protection sociale,6.46
2019,Québec,Enseignement,19.536
2019,Québec,Santé,33.353
2019,Québec,Autres dépenses,28.498
2019,Québec,Protection sociale,18.612
2019,Saskatchewan,Enseignement,26.096
2019,Saskatchewan,Santé,38.413
2019,Saskatchewan,Autres dépenses,24.75
2019,Saskatchewan,Protection sociale,10.741
2019,Yukon,Enseignement,14.243
2019,Yukon,Santé,27.764
2019,Yukon,Autres dépenses,49.639
2019,Yukon,Protection sociale,8.353
2020,Alberta,Enseignement,22.845
2020,Alberta,Santé,40.474
2020,Alberta,Autres dépenses,28.242
2020,Alberta,Protection sociale,8.44
2020,Colombie-Britannique,Enseignement,20.329
2020,Colombie-Britannique,Santé,42.746
2020,Colombie-Britannique,Autres dépenses,23.239
2020,Colombie-Britannique,Protection sociale,13.687
2020,Canada,Enseignement,1.439
2020,Canada,Santé,9.007
2020,Canada,Autres dépenses,43.376
2020,Canada,Protection sociale,46.178
2020,Manitoba,Enseignement,20.082
2020,Manitoba,Santé,44.983
2020,Manitoba,Autres dépenses,25.265
2020,Manitoba,Protection sociale,9.67
2020,Nouveau-Brunswick,Enseignement,16.647
2020,Nouveau-Brunswick,Santé,46.21
2020,Nouveau-Brunswick,Autres dépenses,30.344
2020,Nouveau-Brunswick,Protection sociale,6.799
2020,Terre-Neuve-et-Labrador,Enseignement,21.817
2020,Terre-Neuve-et-Labrador,Santé,45.138
2020,Terre-Neuve-et-Labrador,Autres dépenses,27.721
2020,Terre-Neuve-et-Labrador,Protection sociale,5.324
2020,Territoires du Nord-Ouest,Enseignement,13.064
2020,Territoires du Nord-Ouest,Santé,34.019
2020,Territoires du Nord-Ouest,Autres dépenses,41.015
2020,Territoires du Nord-Ouest,Protection sociale,11.903
2020,Nouvelle-Écosse,Enseignement,22.6
2020,Nouvelle-Écosse,Santé,43.434
2020,Nouvelle-Écosse,Autres dépenses,26.866
2020,Nouvelle-Écosse,Protection sociale,7.1
2020,Nunavut,Enseignement,12.996
2020,Nunavut,Santé,25.689
2020,Nunavut,Autres dépenses,49.868
2020,Nunavut,Protection sociale,11.447
2020,Ontario,Enseignement,22.942
2020,Ontario,Santé,39.32
2020,Ontario,Autres dépenses,25.367
2020,Ontario,Protection sociale,12.371
2020,Île-du-Prince-Édouard,Enseignement,23.95
2020,Île-du-Prince-Édouard,Santé,41.768
2020,Île-du-Prince-Édouard,Autres dépenses,28.039
2020,Île-du-Prince-Édouard,Protection sociale,6.243
2020,Québec,Enseignement,18.764
2020,Québec,Santé,36.501
2020,Québec,Autres dépenses,27.694
2020,Québec,Protection sociale,17.041
2020,Saskatchewan,Enseignement,24.545
2020,Saskatchewan,Santé,39.407
2020,Saskatchewan,Autres dépenses,25.077
2020,Saskatchewan,Protection sociale,10.971
2020,Yukon,Enseignement,12.662
2020,Yukon,Santé,28.409
2020,Yukon,Autres dépenses,50.487
2020,Yukon,Protection sociale,8.442
2021,Alberta,Enseignement,21.983
2021,Alberta,Santé,39.354
2021,Alberta,Autres dépenses,29.975
2021,Alberta,Protection sociale,8.688
2021,Colombie-Britannique,Enseignement,20.306
2021,Colombie-Britannique,Santé,43.534
2021,Colombie-Britannique,Autres dépenses,24.002
2021,Colombie-Britannique,Protection sociale,12.159
2021,Canada,Enseignement,1.949
2021,Canada,Santé,10.703
2021,Canada,Autres dépenses,41.153
2021,Canada,Protection sociale,46.195
2021,Manitoba,Enseignement,21.45
2021,Manitoba,Santé,44.609
2021,Manitoba,Autres dépenses,24.988
2021,Manitoba,Protection sociale,8.952
2021,Nouveau-Brunswick,Enseignement,16.955
2021,Nouveau-Brunswick,Santé,46.232
2021,Nouveau-Brunswick,Autres dépenses,30.024
2021,Nouveau-Brunswick,Protection sociale,6.789
2021,Terre-Neuve-et-Labrador,Enseignement,22.7
2021,Terre-Neuve-et-Labrador,Santé,45.318
2021,Terre-Neuve-et-Labrador,Autres dépenses,26.769
2021,Terre-Neuve-et-Labrador,Protection sociale,5.213
2021,Territoires du Nord-Ouest,Enseignement,12.98
2021,Territoires du Nord-Ouest,Santé,33.516
2021,Territoires du Nord-Ouest,Autres dépenses,41.718
2021,Territoires du Nord-Ouest,Protection sociale,11.786
2021,Nouvelle-Écosse,Enseignement,22.473
2021,Nouvelle-Écosse,Santé,42.167
2021,Nouvelle-Écosse,Autres dépenses,27.617
2021,Nouvelle-Écosse,Protection sociale,7.744
2021,Nunavut,Enseignement,13.05
2021,Nunavut,Santé,25.69
2021,Nunavut,Autres dépenses,49.888
2021,Nunavut,Protection sociale,11.372
2021,Ontario,Enseignement,22.873
2021,Ontario,Santé,40.04
2021,Ontario,Autres dépenses,25.039
2021,Ontario,Protection sociale,12.049
2021,Île-du-Prince-Édouard,Enseignement,23.089
2021,Île-du-Prince-Édouard,Santé,41.831
2021,Île-du-Prince-Édouard,Autres dépenses,29.2
2021,Île-du-Prince-Édouard,Protection sociale,5.881
2021,Québec,Enseignement,18.873
2021,Québec,Santé,36.428
2021,Québec,Autres dépenses,26.192
2021,Québec,Protection sociale,18.506
2021,Saskatchewan,Enseignement,22.434
2021,Saskatchewan,Santé,36.633
2021,Saskatchewan,Autres dépenses,31.086
2021,Saskatchewan,Protection sociale,9.847
2021,Yukon,Enseignement,13.105
2021,Yukon,Santé,27.016
2021,Yukon,Autres dépenses,51.815
2021,Yukon,Protection sociale,8.065
