Year,Géographie,Caractéristiques de disponibilité et écoulement,Value
2015,Colombie-Britannique,Résidentiel,0.53
2015,Colombie-Britannique,Administrations publiques,0.04
2015,Colombie-Britannique,Commerces et autres institutions,0.39
2015,Yukon,Consommation énergétique finale,3.04
2015,Yukon,Total industriel,0.6
2015,Yukon,Total transport,1.69
2015,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2015,Yukon,Résidentiel,0.25
2015,Yukon,Administrations publiques,0.07
2015,Yukon,Commerces et autres institutions,0.43
2015,Territoires du Nord-Ouest,Consommation énergétique finale,4.1
2015,Territoires du Nord-Ouest,Total industriel,0.72
2015,Territoires du Nord-Ouest,Total transport,1.92
2015,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2015,Territoires du Nord-Ouest,Résidentiel,0.39
2015,Territoires du Nord-Ouest,Administrations publiques,0.07
2015,Territoires du Nord-Ouest,Commerces et autres institutions,1.0
2015,Nunavut,Consommation énergétique finale,3.28
2015,Nunavut,Total industriel,0.6
2015,Nunavut,Total transport,1.67
2015,Nunavut,"Agriculture, pêche, chasse et piégage",0.05
2015,Nunavut,Résidentiel,0.42
2015,Nunavut,Administrations publiques,0.17
2015,Nunavut,Commerces et autres institutions,0.37
2016,Canada,Consommation énergétique finale,3.92
2016,Canada,Total industriel,1.28
2016,Canada,Total transport,1.27
2016,Canada,"Agriculture, pêche, chasse et piégage",0.14
2016,Canada,Résidentiel,0.63
2016,Canada,Administrations publiques,0.06
2016,Canada,Commerces et autres institutions,0.54
2016,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.8
2016,Terre-Neuve-et-Labrador,Total industriel,0.83
2016,Terre-Neuve-et-Labrador,Total transport,1.6
2016,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.01
2016,Terre-Neuve-et-Labrador,Résidentiel,0.6
2016,Terre-Neuve-et-Labrador,Administrations publiques,0.13
2016,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.62
2016,Île-du-Prince-Édouard,Consommation énergétique finale,3.64
2016,Île-du-Prince-Édouard,Total industriel,0.39
2016,Île-du-Prince-Édouard,Total transport,1.8
2016,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.35
2016,Île-du-Prince-Édouard,Résidentiel,0.57
2016,Île-du-Prince-Édouard,Administrations publiques,0.08
2016,Île-du-Prince-Édouard,Commerces et autres institutions,0.45
2016,Nouvelle-Écosse,Consommation énergétique finale,3.38
2016,Nouvelle-Écosse,Total industriel,0.41
2016,Nouvelle-Écosse,Total transport,1.59
2016,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.04
2016,Nouvelle-Écosse,Résidentiel,0.72
2016,Nouvelle-Écosse,Administrations publiques,0.18
2016,Nouvelle-Écosse,Commerces et autres institutions,0.45
2016,Nouveau-Brunswick,Consommation énergétique finale,4.18
2016,Nouveau-Brunswick,Total industriel,1.03
2016,Nouveau-Brunswick,Total transport,1.73
2016,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.06
2016,Nouveau-Brunswick,Résidentiel,0.81
2016,Nouveau-Brunswick,Administrations publiques,0.12
2016,Nouveau-Brunswick,Commerces et autres institutions,0.43
2016,Québec,Consommation énergétique finale,3.88
2016,Québec,Total industriel,1.25
2016,Québec,Total transport,1.26
2016,Québec,"Agriculture, pêche, chasse et piégage",0.08
2016,Québec,Résidentiel,0.69
2016,Québec,Administrations publiques,0.09
2016,Québec,Commerces et autres institutions,0.5
2016,Ontario,Consommation énergétique finale,3.13
2016,Ontario,Total industriel,0.75
2016,Ontario,Total transport,1.07
2016,Ontario,"Agriculture, pêche, chasse et piégage",0.08
2016,Ontario,Résidentiel,0.62
2016,Ontario,Administrations publiques,0.03
2016,Ontario,Commerces et autres institutions,0.58
2016,Manitoba,Consommation énergétique finale,4.09
2016,Manitoba,Total industriel,0.91
2016,Manitoba,Total transport,1.35
2016,Manitoba,"Agriculture, pêche, chasse et piégage",0.34
2016,Manitoba,Résidentiel,0.72
2016,Manitoba,Administrations publiques,0.08
2016,Manitoba,Commerces et autres institutions,0.69
2016,Saskatchewan,Consommation énergétique finale,6.21
2016,Saskatchewan,Total industriel,1.93
2016,Saskatchewan,Total transport,2.02
2016,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.94
2016,Saskatchewan,Résidentiel,0.6
2016,Saskatchewan,Administrations publiques,0.13
2016,Saskatchewan,Commerces et autres institutions,0.59
2016,Alberta,Consommation énergétique finale,6.03
2016,Alberta,Total industriel,3.13
2016,Alberta,Total transport,1.41
2016,Alberta,"Agriculture, pêche, chasse et piégage",0.2
2016,Alberta,Résidentiel,0.63
2016,Alberta,Administrations publiques,0.06
2016,Alberta,Commerces et autres institutions,0.58
2016,Colombie-Britannique,Consommation énergétique finale,3.29
2016,Colombie-Britannique,Total industriel,0.9
2016,Colombie-Britannique,Total transport,1.31
2016,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.11
2016,Colombie-Britannique,Résidentiel,0.52
2016,Colombie-Britannique,Administrations publiques,0.03
2016,Colombie-Britannique,Commerces et autres institutions,0.4
2016,Yukon,Consommation énergétique finale,2.83
2016,Yukon,Total industriel,0.56
2016,Yukon,Total transport,1.61
2016,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2016,Yukon,Résidentiel,0.24
2016,Yukon,Administrations publiques,0.05
2016,Yukon,Commerces et autres institutions,0.37
2016,Territoires du Nord-Ouest,Consommation énergétique finale,3.34
2016,Territoires du Nord-Ouest,Total industriel,0.58
2016,Territoires du Nord-Ouest,Total transport,1.98
2016,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2016,Territoires du Nord-Ouest,Résidentiel,0.3
2016,Territoires du Nord-Ouest,Administrations publiques,0.16
2016,Territoires du Nord-Ouest,Commerces et autres institutions,0.31
2016,Nunavut,Consommation énergétique finale,2.86
2016,Nunavut,Total industriel,0.81
2016,Nunavut,Total transport,1.04
2016,Nunavut,"Agriculture, pêche, chasse et piégage",0.07
2016,Nunavut,Résidentiel,0.38
2016,Nunavut,Administrations publiques,0.18
2016,Nunavut,Commerces et autres institutions,0.37
2017,Canada,Consommation énergétique finale,3.95
2017,Canada,Total industriel,1.31
2017,Canada,Total transport,1.26
2017,Canada,"Agriculture, pêche, chasse et piégage",0.14
2017,Canada,Résidentiel,0.62
2017,Canada,Administrations publiques,0.06
2017,Canada,Commerces et autres institutions,0.57
2017,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.72
2017,Terre-Neuve-et-Labrador,Total industriel,0.82
2017,Terre-Neuve-et-Labrador,Total transport,1.6
2017,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.01
2017,Terre-Neuve-et-Labrador,Résidentiel,0.63
2017,Terre-Neuve-et-Labrador,Administrations publiques,0.12
2017,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.54
2017,Île-du-Prince-Édouard,Consommation énergétique finale,3.5
2017,Île-du-Prince-Édouard,Total industriel,0.4
2017,Île-du-Prince-Édouard,Total transport,1.7
2017,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.34
2017,Île-du-Prince-Édouard,Résidentiel,0.55
2017,Île-du-Prince-Édouard,Administrations publiques,0.07
2017,Île-du-Prince-Édouard,Commerces et autres institutions,0.45
2017,Nouvelle-Écosse,Consommation énergétique finale,3.47
2017,Nouvelle-Écosse,Total industriel,0.44
2017,Nouvelle-Écosse,Total transport,1.61
2017,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.05
2017,Nouvelle-Écosse,Résidentiel,0.73
2017,Nouvelle-Écosse,Administrations publiques,0.18
2017,Nouvelle-Écosse,Commerces et autres institutions,0.46
2017,Nouveau-Brunswick,Consommation énergétique finale,3.95
2017,Nouveau-Brunswick,Total industriel,1.12
2017,Nouveau-Brunswick,Total transport,1.5
2017,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.05
2017,Nouveau-Brunswick,Résidentiel,0.78
2017,Nouveau-Brunswick,Administrations publiques,0.1
2017,Nouveau-Brunswick,Commerces et autres institutions,0.39
2017,Québec,Consommation énergétique finale,
2017,Québec,Total industriel,1.22
2017,Québec,Total transport,1.25
2017,Québec,"Agriculture, pêche, chasse et piégage",0.08
2017,Québec,Résidentiel,0.67
2017,Québec,Administrations publiques,0.09
2017,Québec,Commerces et autres institutions,0.52
2017,Ontario,Consommation énergétique finale,3.09
2017,Ontario,Total industriel,0.73
2017,Ontario,Total transport,1.05
2017,Ontario,"Agriculture, pêche, chasse et piégage",0.07
2017,Ontario,Résidentiel,0.6
2017,Ontario,Administrations publiques,0.03
2017,Ontario,Commerces et autres institutions,0.6
2017,Manitoba,Consommation énergétique finale,4.04
2017,Manitoba,Total industriel,0.86
2017,Manitoba,Total transport,1.33
2017,Manitoba,"Agriculture, pêche, chasse et piégage",0.35
2017,Manitoba,Résidentiel,0.72
2017,Manitoba,Administrations publiques,0.08
2017,Manitoba,Commerces et autres institutions,0.69
2017,Saskatchewan,Consommation énergétique finale,6.51
2017,Saskatchewan,Total industriel,2.14
2017,Saskatchewan,Total transport,2.06
2017,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.93
2017,Saskatchewan,Résidentiel,0.62
2017,Saskatchewan,Administrations publiques,0.14
2017,Saskatchewan,Commerces et autres institutions,0.62
2017,Alberta,Consommation énergétique finale,6.28
2017,Alberta,Total industriel,3.33
2017,Alberta,Total transport,1.4
2017,Alberta,"Agriculture, pêche, chasse et piégage",0.21
2017,Alberta,Résidentiel,0.62
2017,Alberta,Administrations publiques,0.06
2017,Alberta,Commerces et autres institutions,0.66
2017,Colombie-Britannique,Consommation énergétique finale,
2017,Colombie-Britannique,Total industriel,0.9
2017,Colombie-Britannique,Total transport,1.31
2017,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.11
2017,Colombie-Britannique,Résidentiel,0.55
2017,Colombie-Britannique,Administrations publiques,0.03
2017,Colombie-Britannique,Commerces et autres institutions,0.42
2017,Yukon,Consommation énergétique finale,2.98
2017,Yukon,Total industriel,0.69
2017,Yukon,Total transport,1.62
2017,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2017,Yukon,Résidentiel,0.26
2017,Yukon,Administrations publiques,0.05
2017,Yukon,Commerces et autres institutions,0.35
2017,Territoires du Nord-Ouest,Consommation énergétique finale,3.62
2017,Territoires du Nord-Ouest,Total industriel,0.41
2017,Territoires du Nord-Ouest,Total transport,2.31
2017,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2017,Territoires du Nord-Ouest,Résidentiel,0.23
2017,Territoires du Nord-Ouest,Administrations publiques,0.34
2017,Territoires du Nord-Ouest,Commerces et autres institutions,0.33
2017,Nunavut,Consommation énergétique finale,2.35
2017,Nunavut,Total industriel,0.68
2017,Nunavut,Total transport,0.82
2017,Nunavut,"Agriculture, pêche, chasse et piégage",0.06
2017,Nunavut,Résidentiel,0.33
2017,Nunavut,Administrations publiques,0.15
2017,Nunavut,Commerces et autres institutions,0.32
2018,Canada,Consommation énergétique finale,4.02
2018,Canada,Total industriel,1.35
2018,Canada,Total transport,1.27
2018,Canada,"Agriculture, pêche, chasse et piégage",0.14
2018,Canada,Résidentiel,0.62
2018,Canada,Administrations publiques,0.06
2018,Canada,Commerces et autres institutions,0.57
2018,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.79
2018,Terre-Neuve-et-Labrador,Total industriel,0.91
2018,Terre-Neuve-et-Labrador,Total transport,1.53
2018,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.01
2018,Terre-Neuve-et-Labrador,Résidentiel,0.63
2018,Terre-Neuve-et-Labrador,Administrations publiques,0.11
2018,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.59
2018,Île-du-Prince-Édouard,Consommation énergétique finale,3.39
2018,Île-du-Prince-Édouard,Total industriel,0.33
2018,Île-du-Prince-Édouard,Total transport,1.65
2018,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.35
2018,Île-du-Prince-Édouard,Résidentiel,0.52
2018,Île-du-Prince-Édouard,Administrations publiques,0.08
2018,Île-du-Prince-Édouard,Commerces et autres institutions,0.45
2018,Nouvelle-Écosse,Consommation énergétique finale,3.53
2018,Nouvelle-Écosse,Total industriel,0.43
2018,Nouvelle-Écosse,Total transport,1.64
2018,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.05
2018,Nouvelle-Écosse,Résidentiel,0.77
2018,Nouvelle-Écosse,Administrations publiques,0.17
2018,Nouvelle-Écosse,Commerces et autres institutions,0.47
2018,Nouveau-Brunswick,Consommation énergétique finale,4.0
2018,Nouveau-Brunswick,Total industriel,1.17
2018,Nouveau-Brunswick,Total transport,1.46
2018,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.05
2018,Nouveau-Brunswick,Résidentiel,0.79
2018,Nouveau-Brunswick,Administrations publiques,0.1
2018,Nouveau-Brunswick,Commerces et autres institutions,0.43
2018,Québec,Consommation énergétique finale,3.84
2018,Québec,Total industriel,1.25
2018,Québec,Total transport,1.21
2018,Québec,"Agriculture, pêche, chasse et piégage",0.08
2018,Québec,Résidentiel,0.69
2018,Québec,Administrations publiques,0.1
2018,Québec,Commerces et autres institutions,0.51
2018,Ontario,Consommation énergétique finale,3.09
2018,Ontario,Total industriel,0.71
2018,Ontario,Total transport,1.05
2018,Ontario,"Agriculture, pêche, chasse et piégage",0.07
2018,Ontario,Résidentiel,0.6
2018,Ontario,Administrations publiques,0.03
2018,Ontario,Commerces et autres institutions,0.62
2018,Manitoba,Consommation énergétique finale,4.19
2018,Manitoba,Total industriel,0.78
2018,Manitoba,Total transport,1.47
2018,Manitoba,"Agriculture, pêche, chasse et piégage",0.37
2018,Manitoba,Résidentiel,0.77
2018,Manitoba,Administrations publiques,0.08
2018,Manitoba,Commerces et autres institutions,0.73
2018,Saskatchewan,Consommation énergétique finale,6.88
2018,Saskatchewan,Total industriel,2.38
2018,Saskatchewan,Total transport,2.09
2018,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.96
2018,Saskatchewan,Résidentiel,0.66
2018,Saskatchewan,Administrations publiques,0.14
2018,Saskatchewan,Commerces et autres institutions,0.65
2018,Alberta,Consommation énergétique finale,6.57
2018,Alberta,Total industriel,3.58
2018,Alberta,Total transport,1.45
2018,Alberta,"Agriculture, pêche, chasse et piégage",0.2
2018,Alberta,Résidentiel,0.63
2018,Alberta,Administrations publiques,0.06
2018,Alberta,Commerces et autres institutions,0.65
2018,Colombie-Britannique,Consommation énergétique finale,3.32
2018,Colombie-Britannique,Total industriel,0.91
2018,Colombie-Britannique,Total transport,1.36
2018,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.11
2018,Colombie-Britannique,Résidentiel,0.51
2018,Colombie-Britannique,Administrations publiques,0.03
2018,Colombie-Britannique,Commerces et autres institutions,0.41
2018,Yukon,Consommation énergétique finale,3.28
2018,Yukon,Total industriel,0.85
2018,Yukon,Total transport,1.73
2018,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2018,Yukon,Résidentiel,0.25
2018,Yukon,Administrations publiques,0.05
2018,Yukon,Commerces et autres institutions,0.39
2018,Territoires du Nord-Ouest,Consommation énergétique finale,3.53
2018,Territoires du Nord-Ouest,Total industriel,0.54
2018,Territoires du Nord-Ouest,Total transport,2.07
2018,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2018,Territoires du Nord-Ouest,Résidentiel,0.26
2018,Territoires du Nord-Ouest,Administrations publiques,0.3
2018,Territoires du Nord-Ouest,Commerces et autres institutions,0.36
2018,Nunavut,Consommation énergétique finale,2.44
2018,Nunavut,Total industriel,0.91
2018,Nunavut,Total transport,0.77
2018,Nunavut,"Agriculture, pêche, chasse et piégage",0.05
2018,Nunavut,Résidentiel,0.32
2018,Nunavut,Administrations publiques,0.12
2018,Nunavut,Commerces et autres institutions,0.28
2019,Canada,Consommation énergétique finale,3.98
2019,Canada,Total industriel,1.34
2019,Canada,Total transport,1.25
2019,Canada,"Agriculture, pêche, chasse et piégage",0.13
2019,Canada,Résidentiel,0.62
2019,Canada,Administrations publiques,0.06
2019,Canada,Commerces et autres institutions,0.57
2019,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.65
2019,Terre-Neuve-et-Labrador,Total industriel,0.93
2019,Terre-Neuve-et-Labrador,Total transport,1.43
2019,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.01
2019,Terre-Neuve-et-Labrador,Résidentiel,0.6
2019,Terre-Neuve-et-Labrador,Administrations publiques,0.1
2019,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.58
2019,Île-du-Prince-Édouard,Consommation énergétique finale,3.36
2019,Île-du-Prince-Édouard,Total industriel,0.4
2019,Île-du-Prince-Édouard,Total transport,1.58
2019,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.35
2019,Île-du-Prince-Édouard,Résidentiel,0.52
2019,Île-du-Prince-Édouard,Administrations publiques,0.08
2019,Île-du-Prince-Édouard,Commerces et autres institutions,0.43
2019,Nouvelle-Écosse,Consommation énergétique finale,3.34
2019,Nouvelle-Écosse,Total industriel,0.37
2019,Nouvelle-Écosse,Total transport,1.55
2019,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.04
2019,Nouvelle-Écosse,Résidentiel,0.75
2019,Nouvelle-Écosse,Administrations publiques,0.16
2019,Nouvelle-Écosse,Commerces et autres institutions,0.46
2019,Nouveau-Brunswick,Consommation énergétique finale,3.93
2019,Nouveau-Brunswick,Total industriel,1.22
2019,Nouveau-Brunswick,Total transport,1.4
2019,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.05
2019,Nouveau-Brunswick,Résidentiel,0.74
2019,Nouveau-Brunswick,Administrations publiques,0.1
2019,Nouveau-Brunswick,Commerces et autres institutions,0.42
2019,Québec,Consommation énergétique finale,3.83
2019,Québec,Total industriel,1.27
2019,Québec,Total transport,1.2
2019,Québec,"Agriculture, pêche, chasse et piégage",0.08
2019,Québec,Résidentiel,0.68
2019,Québec,Administrations publiques,0.09
2019,Québec,Commerces et autres institutions,0.51
2019,Ontario,Consommation énergétique finale,3.03
2019,Ontario,Total industriel,0.67
2019,Ontario,Total transport,1.04
2019,Ontario,"Agriculture, pêche, chasse et piégage",0.07
2019,Ontario,Résidentiel,0.6
2019,Ontario,Administrations publiques,0.03
2019,Ontario,Commerces et autres institutions,0.62
2019,Manitoba,Consommation énergétique finale,4.07
2019,Manitoba,Total industriel,0.75
2019,Manitoba,Total transport,1.45
2019,Manitoba,"Agriculture, pêche, chasse et piégage",0.34
2019,Manitoba,Résidentiel,0.76
2019,Manitoba,Administrations publiques,0.07
2019,Manitoba,Commerces et autres institutions,0.7
2019,Saskatchewan,Consommation énergétique finale,6.9
2019,Saskatchewan,Total industriel,2.39
2019,Saskatchewan,Total transport,2.06
2019,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.91
2019,Saskatchewan,Résidentiel,0.69
2019,Saskatchewan,Administrations publiques,0.14
2019,Saskatchewan,Commerces et autres institutions,0.71
2019,Alberta,Consommation énergétique finale,6.74
2019,Alberta,Total industriel,3.69
2019,Alberta,Total transport,1.48
2019,Alberta,"Agriculture, pêche, chasse et piégage",0.19
2019,Alberta,Résidentiel,0.63
2019,Alberta,Administrations publiques,0.06
2019,Alberta,Commerces et autres institutions,0.68
2019,Colombie-Britannique,Consommation énergétique finale,3.24
2019,Colombie-Britannique,Total industriel,0.85
2019,Colombie-Britannique,Total transport,1.33
2019,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.11
2019,Colombie-Britannique,Résidentiel,0.51
2019,Colombie-Britannique,Administrations publiques,0.03
2019,Colombie-Britannique,Commerces et autres institutions,0.41
2019,Yukon,Consommation énergétique finale,3.41
2019,Yukon,Total industriel,0.95
2019,Yukon,Total transport,1.76
2019,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2019,Yukon,Résidentiel,0.26
2019,Yukon,Administrations publiques,0.06
2019,Yukon,Commerces et autres institutions,0.38
2019,Territoires du Nord-Ouest,Consommation énergétique finale,3.6
2019,Territoires du Nord-Ouest,Total industriel,0.57
2019,Territoires du Nord-Ouest,Total transport,2.02
2019,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2019,Territoires du Nord-Ouest,Résidentiel,0.27
2019,Territoires du Nord-Ouest,Administrations publiques,0.33
2019,Territoires du Nord-Ouest,Commerces et autres institutions,0.41
2019,Nunavut,Consommation énergétique finale,2.32
2019,Nunavut,Total industriel,0.93
2019,Nunavut,Total transport,0.7
2019,Nunavut,"Agriculture, pêche, chasse et piégage",0.04
2019,Nunavut,Résidentiel,0.29
2019,Nunavut,Administrations publiques,0.11
2019,Nunavut,Commerces et autres institutions,0.25
2020,Canada,Consommation énergétique finale,3.76
2020,Canada,Total industriel,1.32
2020,Canada,Total transport,1.04
2020,Canada,"Agriculture, pêche, chasse et piégage",0.14
2020,Canada,Résidentiel,0.64
2020,Canada,Administrations publiques,0.06
2020,Canada,Commerces et autres institutions,0.56
2020,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.2
2020,Terre-Neuve-et-Labrador,Total industriel,0.81
2020,Terre-Neuve-et-Labrador,Total transport,1.16
2020,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.02
2020,Terre-Neuve-et-Labrador,Résidentiel,0.61
2020,Terre-Neuve-et-Labrador,Administrations publiques,0.08
2020,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.53
2020,Île-du-Prince-Édouard,Consommation énergétique finale,3.43
2020,Île-du-Prince-Édouard,Total industriel,0.61
2020,Île-du-Prince-Édouard,Total transport,1.43
2020,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.37
2020,Île-du-Prince-Édouard,Résidentiel,0.52
2020,Île-du-Prince-Édouard,Administrations publiques,0.07
2020,Île-du-Prince-Édouard,Commerces et autres institutions,0.43
2020,Nouvelle-Écosse,Consommation énergétique finale,3.11
2020,Nouvelle-Écosse,Total industriel,0.32
2020,Nouvelle-Écosse,Total transport,1.38
2020,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.06
2020,Nouvelle-Écosse,Résidentiel,0.76
2020,Nouvelle-Écosse,Administrations publiques,0.15
2020,Nouvelle-Écosse,Commerces et autres institutions,0.44
2020,Nouveau-Brunswick,Consommation énergétique finale,3.65
2020,Nouveau-Brunswick,Total industriel,1.1
2020,Nouveau-Brunswick,Total transport,1.27
2020,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.05
2020,Nouveau-Brunswick,Résidentiel,0.74
2020,Nouveau-Brunswick,Administrations publiques,0.09
2020,Nouveau-Brunswick,Commerces et autres institutions,0.4
2020,Québec,Consommation énergétique finale,3.56
2020,Québec,Total industriel,1.26
2020,Québec,Total transport,0.94
2020,Québec,"Agriculture, pêche, chasse et piégage",0.08
2020,Québec,Résidentiel,0.7
2020,Québec,Administrations publiques,0.09
2020,Québec,Commerces et autres institutions,0.48
2020,Ontario,Consommation énergétique finale,2.79
2020,Ontario,Total industriel,0.65
2020,Ontario,Total transport,0.83
2020,Ontario,"Agriculture, pêche, chasse et piégage",0.07
2020,Ontario,Résidentiel,0.61
2020,Ontario,Administrations publiques,0.03
2020,Ontario,Commerces et autres institutions,0.6
2020,Manitoba,Consommation énergétique finale,3.93
2020,Manitoba,Total industriel,0.77
2020,Manitoba,Total transport,1.27
2020,Manitoba,"Agriculture, pêche, chasse et piégage",0.35
2020,Manitoba,Résidentiel,0.77
2020,Manitoba,Administrations publiques,0.07
2020,Manitoba,Commerces et autres institutions,0.7
2020,Saskatchewan,Consommation énergétique finale,6.73
2020,Saskatchewan,Total industriel,2.45
2020,Saskatchewan,Total transport,1.88
2020,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.93
2020,Saskatchewan,Résidentiel,0.67
2020,Saskatchewan,Administrations publiques,0.14
