Year,Series,Units,Géographie,Value
2011-2021,Land consumption rate,Pourcentage (%),"Vancouver, Colombie-Britannique",0.0008
2011-2021,Land consumption rate,Pourcentage (%),"Calgary, Alberta",0.0023
2011-2021,Land consumption rate,Pourcentage (%),"Ottawa - Gatineau, Ontario and Quebec",0.0019
2011-2021,Land consumption rate,Pourcentage (%),"Edmonton, Alberta",0.0015
2011-2021,Land consumption rate,Pourcentage (%),"Winnipeg, Manitoba",0.0034
2011-2021,Land consumption rate,Pourcentage (%),"Québec, Québec",0.0008
2011-2021,Land consumption rate,Pourcentage (%),"Kitchener, Ontario",0.0015
2011-2021,Land consumption rate,Pourcentage (%),"London, Ontario",0.002
2011-2021,Land consumption rate,Pourcentage (%),"Victoria, Colombie-Britannique",0.0004
2011-2021,Land consumption rate,Pourcentage (%),"Halifax, Nouvelle-Écosse",0.0004
2011-2021,Land consumption rate,Pourcentage (%),"Windsor, Ontario",0.0012
2011-2021,Land consumption rate,Pourcentage (%),"Saskatoon, Saskatchewan",0.003
2011-2021,Land consumption rate,Pourcentage (%),"St. Catharines - Niagara Falls, Ontario",0.0012
2011-2021,Land consumption rate,Pourcentage (%),"Regina, Saskatchewan",0.0011
2011-2021,Land consumption rate,Pourcentage (%),"Kelowna, Colombie-Britannique",0.0019
2011-2021,Land consumption rate,Pourcentage (%),"St. John's, Terre-Neuve-et-Labrador",0.0004
2011-2021,Land consumption rate,Pourcentage (%),"Sherbrooke, Québec",0.0012
2011-2021,Land consumption rate,Pourcentage (%),"Barrie, Ontario",0.0028
2011-2021,Land consumption rate,Pourcentage (%),"Guelph, Ontario",0.0022
2011-2021,Land consumption rate,Pourcentage (%),"Trois-Rivières, Québec",0.0026
2011-2021,Land consumption rate,Pourcentage (%),"Kingston, Ontario",0.0006
2011-2021,Land consumption rate,Pourcentage (%),"Moncton, Nouveau-Brunswick",0.0005
2011-2021,Land consumption rate,Pourcentage (%),"Milton, Ontario",0.0066
2011-2021,Land consumption rate,Pourcentage (%),"Saint-Jérôme, Quebec",0.0011
2011-2021,Land consumption rate,Pourcentage (%),"Nanaimo, British Columbia",0.0002
2011-2021,Land consumption rate,Pourcentage (%),"Chicoutimi - Jonquière, Quebec",0.0018
2011-2021,Land consumption rate,Pourcentage (%),"Brantford, Ontario",0.0025
2011-2021,Land consumption rate,Pourcentage (%),"Thunder Bay, Ontario",0.0004
2011-2021,Land consumption rate,Pourcentage (%),"Red Deer, Alberta",0.0017
2011-2021,Land consumption rate,Pourcentage (%),"Sudbury, Ontario",0.0001
2011-2021,Population growth rate,Pourcentage (%),"Toronto, Ontario",0.0096
2011-2021,Population growth rate,Pourcentage (%),"Montréal, Québec",0.0079
2011-2021,Population growth rate,Pourcentage (%),"Vancouver, Colombie-Britannique",0.0134
2011-2021,Population growth rate,Pourcentage (%),"Calgary, Alberta",0.0193
2011-2021,Population growth rate,Pourcentage (%),"Ottawa - Gatineau, Ontario and Quebec",0.0131
2011-2021,Population growth rate,Pourcentage (%),"Edmonton, Alberta",0.0205
2011-2021,Population growth rate,Pourcentage (%),"Winnipeg, Manitoba",0.0122
2011-2021,Population growth rate,Pourcentage (%),"Québec, Québec",0.0067
2011-2021,Population growth rate,Pourcentage (%),"Kitchener, Ontario",0.0152
2011-2021,Population growth rate,Pourcentage (%),"London, Ontario",0.0143
2011-2021,Population growth rate,Pourcentage (%),"Victoria, Colombie-Britannique",0.0139
2011-2021,Population growth rate,Pourcentage (%),"Halifax, Nouvelle-Écosse",0.0124
2011-2021,Population growth rate,Pourcentage (%),"Windsor, Ontario",0.0093
2011-2021,Population growth rate,Pourcentage (%),"Saskatoon, Saskatchewan",0.0181
2011-2021,Population growth rate,Pourcentage (%),"St. Catharines - Niagara Falls, Ontario",0.0091
2011-2021,Population growth rate,Pourcentage (%),"Regina, Saskatchewan",0.0155
2011-2021,Population growth rate,Pourcentage (%),"Kelowna, Colombie-Britannique",0.0207
2011-2021,Population growth rate,Pourcentage (%),"St. John's, Terre-Neuve-et-Labrador",0.006
2011-2021,Population growth rate,Pourcentage (%),"Sherbrooke, Québec",0.0113
2011-2021,Population growth rate,Pourcentage (%),"Barrie, Ontario",0.0089
2011-2021,Population growth rate,Pourcentage (%),"Guelph, Ontario",0.0163
2011-2021,Population growth rate,Pourcentage (%),"Trois-Rivières, Québec",0.0059
2011-2021,Population growth rate,Pourcentage (%),"Kingston, Ontario",0.0082
2011-2021,Population growth rate,Pourcentage (%),"Moncton, Nouveau-Brunswick",0.0146
2011-2021,Population growth rate,Pourcentage (%),"Milton, Ontario",0.048
2011-2021,Population growth rate,Pourcentage (%),"Saint-Jérôme, Quebec",0.0205
2011-2021,Population growth rate,Pourcentage (%),"Nanaimo, British Columbia",0.0168
2011-2021,Population growth rate,Pourcentage (%),"Chicoutimi - Jonquière, Quebec",-0.0011
2011-2021,Population growth rate,Pourcentage (%),"Brantford, Ontario",0.0102
2011-2021,Population growth rate,Pourcentage (%),"Thunder Bay, Ontario",0.0008
2011-2021,Population growth rate,Pourcentage (%),"Red Deer, Alberta",0.0109
2011-2021,Population growth rate,Pourcentage (%),"Sudbury, Ontario",0.0044
