Year,Géographie,Niveau de scolarité atteint,Status,Sexe,Groupe d'âge,GeoCode,Value
2015,Canada,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,19
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,"Total, 15 to 29 years",,5
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,"Total, 15 to 29 years",,7
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,"Total, 15 to 29 years",,4
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,,2
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,,3
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 19 ans,,2
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,,5
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,,6
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,,3
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,,6
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,,8
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,,4
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,,7
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,,9
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,20 à 24 ans,,4
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,7
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,9
2015,Canada,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,5
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,"Total, 15 to 29 years",,8
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,"Total, 15 to 29 years",,6
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,"Total, 15 to 29 years",,9
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,,4
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,,4
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 19 ans,,4
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,,6
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,,5
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,,7
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,,7
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,,6
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,,8
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,,7
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,,6
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,20 à 24 ans,,9
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,11
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,8
2015,Canada,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,14
2015,Canada,Inférieur aux études secondaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,44
2015,Canada,Inférieur aux études secondaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,40
2015,Canada,Inférieur aux études secondaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,50
2015,Canada,Inférieur aux études secondaires,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,11
2015,Canada,Inférieur aux études secondaires,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,15
2015,Canada,Inférieur aux études secondaires,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,6
2015,Canada,Inférieur aux études secondaires,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,33
2015,Canada,Inférieur aux études secondaires,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,25
2015,Canada,Inférieur aux études secondaires,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,44
2015,Canada,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,23
2015,Canada,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,20
2015,Canada,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,27
2015,Canada,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,9
2015,Canada,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,10
2015,Canada,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,6
2015,Canada,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,14
2015,Canada,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,9
2015,Canada,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,21
2015,Canada,Études tertiaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,11
2015,Canada,Études tertiaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,10
2015,Canada,Études tertiaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,12
2015,Canada,Études tertiaires,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,5
2015,Canada,Études tertiaires,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,6
2015,Canada,Études tertiaires,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,4
2015,Canada,Études tertiaires,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,,6
2015,Canada,Études tertiaires,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,,4
2015,Canada,Études tertiaires,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,,9
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,"Total, 15 to 29 years",10,17
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,"Total, 15 to 29 years",10,19
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,"Total, 15 to 29 years",10,15
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,10,7
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,10,9
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 19 ans,10,6
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,10,13
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,10,17
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,10,10
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,10,18
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,10,23
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,10,12
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,10,19
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,10,24
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,20 à 24 ans,10,14
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,24
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,10,25
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,10,24
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,"Total, 15 to 29 years",10,9
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,"Total, 15 to 29 years",10,11
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,"Total, 15 to 29 years",10,6
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,10,3
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,10,4
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,10,7
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,10,10
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,10,5
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,10,10
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,10,14
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,10,6
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,10,11
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,10,16
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,20 à 24 ans,10,7
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,11
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,10,14
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,10,8
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,"Total, 15 to 29 years",10,8
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,"Total, 15 to 29 years",10,8
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,"Total, 15 to 29 years",10,9
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,10,4
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,10,5
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,10,6
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,10,7
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,10,5
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,10,8
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,10,9
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,10,7
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,10,8
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,10,8
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,20 à 24 ans,10,7
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,13
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,10,11
2015,Terre-Neuve-et-Labrador,"Total, tous les niveaux de scolarité","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,10,15
2015,Terre-Neuve-et-Labrador,Inférieur aux études secondaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,62
2015,Terre-Neuve-et-Labrador,Inférieur aux études secondaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,10,61
2015,Terre-Neuve-et-Labrador,Inférieur aux études secondaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,10,63
2015,Terre-Neuve-et-Labrador,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,32
2015,Terre-Neuve-et-Labrador,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,10,36
2015,Terre-Neuve-et-Labrador,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,10,26
2015,Terre-Neuve-et-Labrador,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,15
2015,Terre-Neuve-et-Labrador,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,10,22
2015,Terre-Neuve-et-Labrador,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,16
2015,Terre-Neuve-et-Labrador,Deuxième cycle du secondaire et postsecondaires non tertiaire,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,10,14
2015,Terre-Neuve-et-Labrador,Études tertiaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,14
2015,Terre-Neuve-et-Labrador,Études tertiaires,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,10,19
2015,Terre-Neuve-et-Labrador,Études tertiaires,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,8
2015,Terre-Neuve-et-Labrador,Études tertiaires,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,10,6
2015,Terre-Neuve-et-Labrador,Études tertiaires,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,10,10
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,"Total, 15 to 29 years",11,15
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,"Total, 15 to 29 years",11,16
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,"Total, 15 to 29 years",11,15
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,11,8
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,11,8
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,11,13
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,11,15
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,11,11
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,11,17
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,11,21
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,11,14
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,11,19
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,11,22
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,20 à 24 ans,11,15
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,25 à 29 ans,11,19
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,25 à 29 ans,11,17
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,25 à 29 ans,11,22
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,"Total, 15 to 29 years",11,9
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,"Total, 15 to 29 years",11,11
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,"Total, 15 to 29 years",11,7
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,11,4
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,11,8
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,11,11
2015,Île-du-Prince-Édouard,"Total, tous les niveaux de scolarité","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,11,5
