Year,Géographie,Genre,Identité autochtone,GeoCode,Value
2014,Colombie-Britannique,Homme,Identité non autochtone,,2.27
2014,Colombie-Britannique,Femme,Total,,1.18
2014,Colombie-Britannique,Femme,Identité autochtone,,2.17
2014,Colombie-Britannique,Femme,Identité non autochtone,,1.12
2014,Yukon,Toutes les identités de genre,Total,60,8.08
2014,Yukon,Toutes les identités de genre,Identité autochtone,,11.52
2014,Yukon,Toutes les identités de genre,Identité non autochtone,,7.03
2014,Yukon,Homme,Total,,10.58
2014,Yukon,Homme,Identité autochtone,,0.0
2014,Yukon,Homme,Identité non autochtone,,13.6
2014,Yukon,Femme,Total,,5.49
2014,Yukon,Femme,Identité autochtone,,22.34
2014,Yukon,Femme,Identité non autochtone,,0.0
2014,Territoires du Nord-Ouest,Toutes les identités de genre,Total,61,6.78
2014,Territoires du Nord-Ouest,Toutes les identités de genre,Identité autochtone,,13.27
2014,Territoires du Nord-Ouest,Toutes les identités de genre,Identité non autochtone,,0.0
2014,Territoires du Nord-Ouest,Homme,Total,,8.8
2014,Territoires du Nord-Ouest,Homme,Identité autochtone,,17.71
2014,Territoires du Nord-Ouest,Homme,Identité non autochtone,,0.0
2014,Territoires du Nord-Ouest,Femme,Total,,4.65
2014,Territoires du Nord-Ouest,Femme,Identité autochtone,,8.84
2014,Territoires du Nord-Ouest,Femme,Identité non autochtone,,0.0
2014,Nunavut,Toutes les identités de genre,Total,62,11.17
2014,Nunavut,Toutes les identités de genre,Identité autochtone,,13.01
2014,Nunavut,Toutes les identités de genre,Identité non autochtone,,0.0
2014,Nunavut,Homme,Total,,10.85
2014,Nunavut,Homme,Identité autochtone,,12.78
2014,Nunavut,Homme,Identité non autochtone,,0.0
2014,Nunavut,Femme,Total,,11.51
2014,Nunavut,Femme,Identité autochtone,,13.25
2014,Nunavut,Femme,Identité non autochtone,,0.0
2015,Canada,Toutes les identités de genre,Identité autochtone,,8.62
2015,Canada,Toutes les identités de genre,Identité non autochtone,,1.34
2015,Canada,Homme,Total,,2.44
2015,Canada,Homme,Identité autochtone,,12.49
2015,Canada,Homme,Identité non autochtone,,1.9
2015,Canada,Femme,Total,,0.99
2015,Canada,Femme,Identité autochtone,,4.87
2015,Canada,Femme,Identité non autochtone,,0.78
2015,Terre-Neuve-et-Labrador,Toutes les identités de genre,Total,10,0.57
2015,Terre-Neuve-et-Labrador,Toutes les identités de genre,Identité autochtone,,2.2
2015,Terre-Neuve-et-Labrador,Toutes les identités de genre,Identité non autochtone,,0.41
2015,Terre-Neuve-et-Labrador,Homme,Total,,0.76
2015,Terre-Neuve-et-Labrador,Homme,Identité autochtone,,0.0
2015,Terre-Neuve-et-Labrador,Homme,Identité non autochtone,,0.83
2015,Terre-Neuve-et-Labrador,Femme,Total,,0.37
2015,Terre-Neuve-et-Labrador,Femme,Identité autochtone,,4.33
2015,Terre-Neuve-et-Labrador,Femme,Identité non autochtone,,0.0
2015,Île-du-Prince-Édouard,Toutes les identités de genre,Total,11,0.69
2015,Île-du-Prince-Édouard,Toutes les identités de genre,Identité autochtone,,0.0
2015,Île-du-Prince-Édouard,Toutes les identités de genre,Identité non autochtone,,0.7
2015,Île-du-Prince-Édouard,Homme,Total,,0.0
2015,Île-du-Prince-Édouard,Homme,Identité autochtone,,0.0
2015,Île-du-Prince-Édouard,Homme,Identité non autochtone,,0.0
2015,Île-du-Prince-Édouard,Femme,Total,,1.34
2015,Île-du-Prince-Édouard,Femme,Identité autochtone,,0.0
2015,Île-du-Prince-Édouard,Femme,Identité non autochtone,,1.36
2015,Nouvelle-Écosse,Toutes les identités de genre,Total,12,1.27
2015,Nouvelle-Écosse,Toutes les identités de genre,Identité autochtone,,1.98
2015,Nouvelle-Écosse,Toutes les identités de genre,Identité non autochtone,,1.12
2015,Nouvelle-Écosse,Homme,Total,,1.52
2015,Nouvelle-Écosse,Homme,Identité autochtone,,4.04
2015,Nouvelle-Écosse,Homme,Identité non autochtone,,1.38
2015,Nouvelle-Écosse,Femme,Total,,1.04
2015,Nouvelle-Écosse,Femme,Identité autochtone,,0.0
2015,Nouvelle-Écosse,Femme,Identité non autochtone,,0.88
2015,Nouveau-Brunswick,Toutes les identités de genre,Total,13,1.44
2015,Nouveau-Brunswick,Toutes les identités de genre,Identité autochtone,,0.0
2015,Nouveau-Brunswick,Toutes les identités de genre,Identité non autochtone,,1.5
2015,Nouveau-Brunswick,Homme,Total,,1.59
2015,Nouveau-Brunswick,Homme,Identité autochtone,,0.0
2015,Nouveau-Brunswick,Homme,Identité non autochtone,,1.66
2015,Nouveau-Brunswick,Femme,Total,,1.3
2015,Nouveau-Brunswick,Femme,Identité autochtone,,0.0
2015,Nouveau-Brunswick,Femme,Identité non autochtone,,1.35
2015,Québec,Toutes les identités de genre,Total,24,0.97
2015,Québec,Toutes les identités de genre,Identité autochtone,,3.09
2015,Québec,Toutes les identités de genre,Identité non autochtone,,0.91
2015,Québec,Homme,Total,,1.48
2015,Québec,Homme,Identité autochtone,,4.06
2015,Québec,Homme,Identité non autochtone,,1.41
2015,Québec,Femme,Total,,0.46
2015,Québec,Femme,Identité autochtone,,2.09
2015,Québec,Femme,Identité non autochtone,,0.42
2015,Ontario,Toutes les identités de genre,Total,35,1.27
2015,Ontario,Toutes les identités de genre,Identité autochtone,,3.33
2015,Ontario,Toutes les identités de genre,Identité non autochtone,,1.18
2015,Ontario,Homme,Total,,1.83
2015,Ontario,Homme,Identité autochtone,,5.25
2015,Ontario,Homme,Identité non autochtone,,1.69
2015,Ontario,Femme,Total,,0.72
2015,Ontario,Femme,Identité autochtone,,1.5
2015,Ontario,Femme,Identité non autochtone,,0.68
2015,Manitoba,Toutes les identités de genre,Total,46,3.7
2015,Manitoba,Toutes les identités de genre,Identité autochtone,,15.55
2015,Manitoba,Toutes les identités de genre,Identité non autochtone,,1.13
2015,Manitoba,Homme,Total,,5.73
2015,Manitoba,Homme,Identité autochtone,,24.58
2015,Manitoba,Homme,Identité non autochtone,,1.69
2015,Manitoba,Femme,Total,,1.69
2015,Manitoba,Femme,Identité autochtone,,6.81
2015,Manitoba,Femme,Identité non autochtone,,0.56
2015,Saskatchewan,Toutes les identités de genre,Total,47,4.01
2015,Saskatchewan,Toutes les identités de genre,Identité autochtone,,16.46
2015,Saskatchewan,Toutes les identités de genre,Identité non autochtone,,1.6
2015,Saskatchewan,Homme,Total,,5.67
2015,Saskatchewan,Homme,Identité autochtone,,29.02
2015,Saskatchewan,Homme,Identité non autochtone,,1.26
2015,Saskatchewan,Femme,Total,,2.33
2015,Saskatchewan,Femme,Identité autochtone,,4.32
2015,Saskatchewan,Femme,Identité non autochtone,,1.94
2015,Alberta,Toutes les identités de genre,Total,48,3.23
2015,Alberta,Toutes les identités de genre,Identité autochtone,,13.72
2015,Alberta,Toutes les identités de genre,Identité non autochtone,,2.47
2015,Alberta,Homme,Total,,4.23
2015,Alberta,Homme,Identité autochtone,,15.84
2015,Alberta,Homme,Identité non autochtone,,3.39
2015,Alberta,Femme,Total,,2.21
2015,Alberta,Femme,Identité autochtone,,11.67
2015,Alberta,Femme,Identité non autochtone,,1.53
2015,Colombie-Britannique,Toutes les identités de genre,Total,59,2.01
2015,Colombie-Britannique,Toutes les identités de genre,Identité autochtone,,6.42
2015,Colombie-Britannique,Toutes les identités de genre,Identité non autochtone,,1.73
2015,Colombie-Britannique,Homme,Total,,3.0
2015,Colombie-Britannique,Homme,Identité autochtone,,9.48
2015,Colombie-Britannique,Homme,Identité non autochtone,,2.6
2015,Colombie-Britannique,Femme,Total,,1.04
2015,Colombie-Britannique,Femme,Identité autochtone,,3.49
2015,Colombie-Britannique,Femme,Identité non autochtone,,0.88
2015,Yukon,Toutes les identités de genre,Total,60,2.65
2015,Yukon,Toutes les identités de genre,Identité autochtone,,0.0
2015,Yukon,Toutes les identités de genre,Identité non autochtone,,3.46
2015,Yukon,Homme,Total,,5.21
2015,Yukon,Homme,Identité autochtone,,0.0
2015,Yukon,Homme,Identité non autochtone,,6.71
2015,Yukon,Femme,Total,,0.0
2015,Yukon,Femme,Identité autochtone,,0.0
2015,Yukon,Femme,Identité non autochtone,,0.0
2015,Territoires du Nord-Ouest,Toutes les identités de genre,Total,61,13.48
2015,Territoires du Nord-Ouest,Toutes les identités de genre,Identité autochtone,,26.53
2015,Territoires du Nord-Ouest,Toutes les identités de genre,Identité non autochtone,,0.0
2015,Territoires du Nord-Ouest,Homme,Total,,13.12
2015,Territoires du Nord-Ouest,Homme,Identité autochtone,,26.49
2015,Territoires du Nord-Ouest,Homme,Identité non autochtone,,0.0
2015,Territoires du Nord-Ouest,Femme,Total,,13.86
2015,Territoires du Nord-Ouest,Femme,Identité autochtone,,26.57
2015,Territoires du Nord-Ouest,Femme,Identité non autochtone,,0.0
2015,Nunavut,Toutes les identités de genre,Total,62,5.5
2015,Nunavut,Toutes les identités de genre,Identité autochtone,,6.41
2015,Nunavut,Toutes les identités de genre,Identité non autochtone,,0.0
2015,Nunavut,Homme,Total,,5.35
2015,Nunavut,Homme,Identité autochtone,,6.31
2015,Nunavut,Homme,Identité non autochtone,,0.0
2015,Nunavut,Femme,Total,,5.66
2015,Nunavut,Femme,Identité autochtone,,6.52
2015,Nunavut,Femme,Identité non autochtone,,0.0
2016,Canada,Toutes les identités de genre,Identité autochtone,,7.96
2016,Canada,Toutes les identités de genre,Identité non autochtone,,1.36
2016,Canada,Homme,Total,,2.57
2016,Canada,Homme,Identité autochtone,,12.76
2016,Canada,Homme,Identité non autochtone,,2.02
2016,Canada,Femme,Total,,0.85
2016,Canada,Femme,Identité autochtone,,3.29
2016,Canada,Femme,Identité non autochtone,,0.71
2016,Terre-Neuve-et-Labrador,Toutes les identités de genre,Total,10,1.32
2016,Terre-Neuve-et-Labrador,Toutes les identités de genre,Identité autochtone,,2.11
2016,Terre-Neuve-et-Labrador,Toutes les identités de genre,Identité non autochtone,,1.25
2016,Terre-Neuve-et-Labrador,Homme,Total,,1.91
2016,Terre-Neuve-et-Labrador,Homme,Identité autochtone,,4.3
2016,Terre-Neuve-et-Labrador,Homme,Identité non autochtone,,1.67
2016,Terre-Neuve-et-Labrador,Femme,Total,,0.75
2016,Terre-Neuve-et-Labrador,Femme,Identité autochtone,,0.0
2016,Terre-Neuve-et-Labrador,Femme,Identité non autochtone,,0.82
2016,Île-du-Prince-Édouard,Toutes les identités de genre,Total,11,0.0
2016,Île-du-Prince-Édouard,Toutes les identités de genre,Identité autochtone,,0.0
2016,Île-du-Prince-Édouard,Toutes les identités de genre,Identité non autochtone,,0.0
2016,Île-du-Prince-Édouard,Homme,Total,,0.0
2016,Île-du-Prince-Édouard,Homme,Identité autochtone,,0.0
2016,Île-du-Prince-Édouard,Homme,Identité non autochtone,,0.0
2016,Île-du-Prince-Édouard,Femme,Total,,0.0
2016,Île-du-Prince-Édouard,Femme,Identité autochtone,,0.0
2016,Île-du-Prince-Édouard,Femme,Identité non autochtone,,0.0
2016,Nouvelle-Écosse,Toutes les identités de genre,Total,12,1.38
2016,Nouvelle-Écosse,Toutes les identités de genre,Identité autochtone,,1.85
2016,Nouvelle-Écosse,Toutes les identités de genre,Identité non autochtone,,1.13
2016,Nouvelle-Écosse,Homme,Total,,2.39
2016,Nouvelle-Écosse,Homme,Identité autochtone,,3.78
2016,Nouvelle-Écosse,Homme,Identité non autochtone,,1.84
2016,Nouvelle-Écosse,Femme,Total,,0.42
2016,Nouvelle-Écosse,Femme,Identité autochtone,,0.0
2016,Nouvelle-Écosse,Femme,Identité non autochtone,,0.44
2016,Nouveau-Brunswick,Toutes les identités de genre,Total,13,1.44
2016,Nouveau-Brunswick,Toutes les identités de genre,Identité autochtone,,0.0
2016,Nouveau-Brunswick,Toutes les identités de genre,Identité non autochtone,,1.5
2016,Nouveau-Brunswick,Homme,Total,,2.38
2016,Nouveau-Brunswick,Homme,Identité autochtone,,0.0
2016,Nouveau-Brunswick,Homme,Identité non autochtone,,2.49
2016,Nouveau-Brunswick,Femme,Total,,0.52
2016,Nouveau-Brunswick,Femme,Identité autochtone,,0.0
2016,Nouveau-Brunswick,Femme,Identité non autochtone,,0.54
2016,Québec,Toutes les identités de genre,Total,24,0.81
2016,Québec,Toutes les identités de genre,Identité autochtone,,1.98
2016,Québec,Toutes les identités de genre,Identité non autochtone,,0.77
2016,Québec,Homme,Total,,1.25
2016,Québec,Homme,Identité autochtone,,3.9
2016,Québec,Homme,Identité non autochtone,,1.15
2016,Québec,Femme,Total,,0.39
2016,Québec,Femme,Identité autochtone,,0.0
2016,Québec,Femme,Identité non autochtone,,0.4
2016,Ontario,Toutes les identités de genre,Total,35,1.49
2016,Ontario,Toutes les identités de genre,Identité autochtone,,4.45
2016,Ontario,Toutes les identités de genre,Identité non autochtone,,1.36
2016,Ontario,Homme,Total,,2.21
2016,Ontario,Homme,Identité autochtone,,8.61
2016,Ontario,Homme,Identité non autochtone,,1.99
2016,Ontario,Femme,Total,,0.78
2016,Ontario,Femme,Identité autochtone,,0.48
2016,Ontario,Femme,Identité non autochtone,,0.75
2016,Manitoba,Toutes les identités de genre,Total,46,3.2
2016,Manitoba,Toutes les identités de genre,Identité autochtone,,11.35
2016,Manitoba,Toutes les identités de genre,Identité non autochtone,,1.4
2016,Manitoba,Homme,Total,,5.04
2016,Manitoba,Homme,Identité autochtone,,17.93
2016,Manitoba,Homme,Identité non autochtone,,2.23
2016,Manitoba,Femme,Total,,1.37
2016,Manitoba,Femme,Identité autochtone,,4.97
2016,Manitoba,Femme,Identité non autochtone,,0.56
2016,Saskatchewan,Toutes les identités de genre,Total,47,4.93
2016,Saskatchewan,Toutes les identités de genre,Identité autochtone,,20.39
2016,Saskatchewan,Toutes les identités de genre,Identité non autochtone,,1.9
2016,Saskatchewan,Homme,Total,,7.34
2016,Saskatchewan,Homme,Identité autochtone,,31.58
2016,Saskatchewan,Homme,Identité non autochtone,,2.71
2016,Saskatchewan,Femme,Total,,2.48
2016,Saskatchewan,Femme,Identité autochtone,,9.52
2016,Saskatchewan,Femme,Identité non autochtone,,1.07
2016,Alberta,Toutes les identités de genre,Total,48,2.76
2016,Alberta,Toutes les identités de genre,Identité autochtone,,11.15
2016,Alberta,Toutes les identités de genre,Identité non autochtone,,2.17
2016,Alberta,Homme,Total,,4.1
2016,Alberta,Homme,Identité autochtone,,15.38
2016,Alberta,Homme,Identité non autochtone,,3.33
2016,Alberta,Femme,Total,,1.39
2016,Alberta,Femme,Identité autochtone,,7.07
2016,Alberta,Femme,Identité non autochtone,,0.98
2016,Colombie-Britannique,Toutes les identités de genre,Total,59,1.85
2016,Colombie-Britannique,Toutes les identités de genre,Identité autochtone,,5.87
2016,Colombie-Britannique,Toutes les identités de genre,Identité non autochtone,,1.6
2016,Colombie-Britannique,Homme,Total,,2.75
2016,Colombie-Britannique,Homme,Identité autochtone,,10.6
2016,Colombie-Britannique,Homme,Identité non autochtone,,2.26
2016,Colombie-Britannique,Femme,Total,,0.98
2016,Colombie-Britannique,Femme,Identité autochtone,,1.35
2016,Colombie-Britannique,Femme,Identité non autochtone,,0.96
2016,Yukon,Toutes les identités de genre,Total,60,10.43
2016,Yukon,Toutes les identités de genre,Identité autochtone,,22.35
2016,Yukon,Toutes les identités de genre,Identité non autochtone,,6.8
2016,Yukon,Homme,Total,,20.52
2016,Yukon,Homme,Identité autochtone,,45.68
2016,Yukon,Homme,Identité non autochtone,,13.23
2016,Yukon,Femme,Total,,0.0
2016,Yukon,Femme,Identité autochtone,,0.0
2016,Yukon,Femme,Identité non autochtone,,0.0
2016,Territoires du Nord-Ouest,Toutes les identités de genre,Total,61,6.71
2016,Territoires du Nord-Ouest,Toutes les identités de genre,Identité autochtone,,13.26
2016,Territoires du Nord-Ouest,Toutes les identités de genre,Identité non autochtone,,0.0
2016,Territoires du Nord-Ouest,Homme,Total,,8.71
2016,Territoires du Nord-Ouest,Homme,Identité autochtone,,17.63
2016,Territoires du Nord-Ouest,Homme,Identité non autochtone,,0.0
2016,Territoires du Nord-Ouest,Femme,Total,,4.6
2016,Territoires du Nord-Ouest,Femme,Identité autochtone,,8.86
2016,Territoires du Nord-Ouest,Femme,Identité non autochtone,,0.0
2016,Nunavut,Toutes les identités de genre,Total,62,2.7
2016,Nunavut,Toutes les identités de genre,Identité autochtone,,3.15
2016,Nunavut,Toutes les identités de genre,Identité non autochtone,,0.0
2016,Nunavut,Homme,Total,,0.0
2016,Nunavut,Homme,Identité autochtone,,0.0
2016,Nunavut,Homme,Identité non autochtone,,0.0
2016,Nunavut,Femme,Total,,5.56
2016,Nunavut,Femme,Identité autochtone,,6.41
2016,Nunavut,Femme,Identité non autochtone,,0.0
2017,Canada,Toutes les identités de genre,Identité autochtone,,8.48
2017,Canada,Toutes les identités de genre,Identité non autochtone,,1.44
2017,Canada,Homme,Total,,2.71
2017,Canada,Homme,Identité autochtone,,13.04
2017,Canada,Homme,Identité non autochtone,,2.13
2017,Canada,Femme,Total,,0.94
2017,Canada,Femme,Identité autochtone,,4.05
2017,Canada,Femme,Identité non autochtone,,0.76
2017,Terre-Neuve-et-Labrador,Toutes les identités de genre,Total,10,0.76
2017,Terre-Neuve-et-Labrador,Toutes les identités de genre,Identité autochtone,,2.05
2017,Terre-Neuve-et-Labrador,Toutes les identités de genre,Identité non autochtone,,0.63
2017,Terre-Neuve-et-Labrador,Homme,Total,,0.38
2017,Terre-Neuve-et-Labrador,Homme,Identité autochtone,,0.0
2017,Terre-Neuve-et-Labrador,Homme,Identité non autochtone,,0.42
2017,Terre-Neuve-et-Labrador,Femme,Total,,1.13
2017,Terre-Neuve-et-Labrador,Femme,Identité autochtone,,4.03
2017,Terre-Neuve-et-Labrador,Femme,Identité non autochtone,,0.83
2017,Île-du-Prince-Édouard,Toutes les identités de genre,Total,11,1.35
2017,Île-du-Prince-Édouard,Toutes les identités de genre,Identité autochtone,,0.0
2017,Île-du-Prince-Édouard,Toutes les identités de genre,Identité non autochtone,,1.37
2017,Île-du-Prince-Édouard,Homme,Total,,2.75
2017,Île-du-Prince-Édouard,Homme,Identité autochtone,,0.0
2017,Île-du-Prince-Édouard,Homme,Identité non autochtone,,2.81
2017,Île-du-Prince-Édouard,Femme,Total,,0.0
2017,Île-du-Prince-Édouard,Femme,Identité autochtone,,0.0
2017,Île-du-Prince-Édouard,Femme,Identité non autochtone,,0.0
2017,Nouvelle-Écosse,Toutes les identités de genre,Total,12,2.22
2017,Nouvelle-Écosse,Toutes les identités de genre,Identité autochtone,,0.0
2017,Nouvelle-Écosse,Toutes les identités de genre,Identité non autochtone,,2.25
2017,Nouvelle-Écosse,Homme,Total,,1.52
2017,Nouvelle-Écosse,Homme,Identité autochtone,,0.0
2017,Nouvelle-Écosse,Homme,Identité non autochtone,,1.61
2017,Nouvelle-Écosse,Femme,Total,,2.9
2017,Nouvelle-Écosse,Femme,Identité autochtone,,0.0
2017,Nouvelle-Écosse,Femme,Identité non autochtone,,2.87
2017,Nouveau-Brunswick,Toutes les identités de genre,Total,13,1.31
2017,Nouveau-Brunswick,Toutes les identités de genre,Identité autochtone,,0.0
2017,Nouveau-Brunswick,Toutes les identités de genre,Identité non autochtone,,1.37
2017,Nouveau-Brunswick,Homme,Total,,1.85
2017,Nouveau-Brunswick,Homme,Identité autochtone,,0.0
2017,Nouveau-Brunswick,Homme,Identité non autochtone,,1.94
2017,Nouveau-Brunswick,Femme,Total,,0.78
2017,Nouveau-Brunswick,Femme,Identité autochtone,,0.0
2017,Nouveau-Brunswick,Femme,Identité non autochtone,,0.81
2017,Québec,Toutes les identités de genre,Total,24,1.12
2017,Québec,Toutes les identités de genre,Identité autochtone,,5.74
2017,Québec,Toutes les identités de genre,Identité non autochtone,,1.0
2017,Québec,Homme,Total,,1.5
2017,Québec,Homme,Identité autochtone,,7.52
2017,Québec,Homme,Identité non autochtone,,1.34
2017,Québec,Femme,Total,,0.7
2017,Québec,Femme,Identité autochtone,,3.89
2017,Québec,Femme,Identité non autochtone,,0.62
2017,Ontario,Toutes les identités de genre,Total,35,1.41
2017,Ontario,Toutes les identités de genre,Identité autochtone,,4.79
2017,Ontario,Toutes les identités de genre,Identité non autochtone,,1.27
2017,Ontario,Homme,Total,,2.14
2017,Ontario,Homme,Identité autochtone,,7.84
2017,Ontario,Homme,Identité non autochtone,,1.92
2017,Ontario,Femme,Total,,0.7
2017,Ontario,Femme,Identité autochtone,,1.87
2017,Ontario,Femme,Identité non autochtone,,0.64
2017,Manitoba,Toutes les identités de genre,Total,46,3.53
2017,Manitoba,Toutes les identités de genre,Identité autochtone,,11.89
2017,Manitoba,Toutes les identités de genre,Identité non autochtone,,1.56
2017,Manitoba,Homme,Total,,5.72
2017,Manitoba,Homme,Identité autochtone,,19.97
2017,Manitoba,Homme,Identité non autochtone,,2.39
2017,Manitoba,Femme,Total,,1.35
2017,Manitoba,Femme,Identité autochtone,,4.04
2017,Manitoba,Femme,Identité non autochtone,,0.74
2017,Saskatchewan,Toutes les identités de genre,Total,47,3.31
2017,Saskatchewan,Toutes les identités de genre,Identité autochtone,,15.74
2017,Saskatchewan,Toutes les identités de genre,Identité non autochtone,,0.83
2017,Saskatchewan,Homme,Total,,5.01
2017,Saskatchewan,Homme,Identité autochtone,,26.61
2017,Saskatchewan,Homme,Identité non autochtone,,0.83
2017,Saskatchewan,Femme,Total,,1.58
2017,Saskatchewan,Femme,Identité autochtone,,5.17
2017,Saskatchewan,Femme,Identité non autochtone,,0.84
2017,Alberta,Toutes les identités de genre,Total,48,2.78
2017,Alberta,Toutes les identités de genre,Identité autochtone,,14.3
2017,Alberta,Toutes les identités de genre,Identité non autochtone,,1.9
2017,Alberta,Homme,Total,,4.39
2017,Alberta,Homme,Identité autochtone,,21.99
2017,Alberta,Homme,Identité non autochtone,,3.07
2017,Alberta,Femme,Total,,1.13
2017,Alberta,Femme,Identité autochtone,,6.86
2017,Alberta,Femme,Identité non autochtone,,0.71
2017,Colombie-Britannique,Toutes les identités de genre,Total,59,2.42
