Year,Âge au décès,Sexe,Causes of death,Value
2015,1 à 14 ans,Femmes,Diabète sucré,0.0
2015,1 à 14 ans,Femmes,Maladies du coeur,0.2
2015,1 à 14 ans,Femmes,Essential hypertension and hypertensive renal disease,0.0
2015,1 à 14 ans,Femmes,Cerebrovascular diseases,0.2
2015,1 à 14 ans,Femmes,Atherosclerosis,0.0
2015,1 à 14 ans,Femmes,Aortic aneurysm and dissection,0.0
2015,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,1 à 14 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,1 à 14 ans,Femmes,Pneumonitis due to solids and liquids,0.0
2015,1 à 4 ans,Les deux sexes,Tumeurs malignes,2.1
2015,1 à 4 ans,Les deux sexes,Diabète sucré,0.0
2015,1 à 4 ans,Les deux sexes,Maladies du coeur,0.6
2015,1 à 4 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,1 à 4 ans,Les deux sexes,Cerebrovascular diseases,0.1
2015,1 à 4 ans,Les deux sexes,Atherosclerosis,0.0
2015,1 à 4 ans,Les deux sexes,Aortic aneurysm and dissection,0.0
2015,1 à 4 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,1 à 4 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,1 à 4 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.1
2015,1 à 4 ans,Hommes,Tumeurs malignes,2.2
2015,1 à 4 ans,Hommes,Diabète sucré,0.0
2015,1 à 4 ans,Hommes,Maladies du coeur,0.9
2015,1 à 4 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,1 à 4 ans,Hommes,Cerebrovascular diseases,0.3
2015,1 à 4 ans,Hommes,Atherosclerosis,0.0
2015,1 à 4 ans,Hommes,Aortic aneurysm and dissection,0.0
2015,1 à 4 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,1 à 4 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,1 à 4 ans,Hommes,Pneumonitis due to solids and liquids,0.1
2015,1 à 4 ans,Femmes,Tumeurs malignes,2.0
2015,1 à 4 ans,Femmes,Diabète sucré,0.0
2015,1 à 4 ans,Femmes,Maladies du coeur,0.4
2015,1 à 4 ans,Femmes,Essential hypertension and hypertensive renal disease,0.0
2015,1 à 4 ans,Femmes,Cerebrovascular diseases,0.0
2015,1 à 4 ans,Femmes,Atherosclerosis,0.0
2015,1 à 4 ans,Femmes,Aortic aneurysm and dissection,0.0
2015,1 à 4 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,1 à 4 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,1 à 4 ans,Femmes,Pneumonitis due to solids and liquids,0.0
2015,5 à 9 ans,Les deux sexes,Tumeurs malignes,2.8
2015,5 à 9 ans,Les deux sexes,Diabète sucré,0.0
2015,5 à 9 ans,Les deux sexes,Maladies du coeur,0.1
2015,5 à 9 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,5 à 9 ans,Les deux sexes,Cerebrovascular diseases,0.3
2015,5 à 9 ans,Les deux sexes,Atherosclerosis,0.0
2015,5 à 9 ans,Les deux sexes,Aortic aneurysm and dissection,0.0
2015,5 à 9 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,5 à 9 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,5 à 9 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.0
2015,5 à 9 ans,Hommes,Tumeurs malignes,2.9
2015,5 à 9 ans,Hommes,Diabète sucré,0.0
2015,5 à 9 ans,Hommes,Maladies du coeur,0.0
2015,5 à 9 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,5 à 9 ans,Hommes,Cerebrovascular diseases,0.3
2015,5 à 9 ans,Hommes,Atherosclerosis,0.0
2015,5 à 9 ans,Hommes,Aortic aneurysm and dissection,0.0
2015,5 à 9 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,5 à 9 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,5 à 9 ans,Hommes,Pneumonitis due to solids and liquids,0.0
2015,5 à 9 ans,Femmes,Tumeurs malignes,2.6
2015,5 à 9 ans,Femmes,Diabète sucré,0.0
2015,5 à 9 ans,Femmes,Maladies du coeur,0.1
2015,5 à 9 ans,Femmes,Essential hypertension and hypertensive renal disease,0.0
2015,5 à 9 ans,Femmes,Cerebrovascular diseases,0.3
2015,5 à 9 ans,Femmes,Atherosclerosis,0.0
2015,5 à 9 ans,Femmes,Aortic aneurysm and dissection,0.0
2015,5 à 9 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,5 à 9 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,5 à 9 ans,Femmes,Pneumonitis due to solids and liquids,0.0
2015,10 à 14 ans,Les deux sexes,Tumeurs malignes,2.4
2015,10 à 14 ans,Les deux sexes,Diabète sucré,0.1
2015,10 à 14 ans,Les deux sexes,Maladies du coeur,0.2
2015,10 à 14 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,10 à 14 ans,Les deux sexes,Cerebrovascular diseases,0.1
2015,10 à 14 ans,Les deux sexes,Atherosclerosis,0.0
2015,10 à 14 ans,Les deux sexes,Aortic aneurysm and dissection,0.0
2015,10 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,10 à 14 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,10 à 14 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.0
2015,10 à 14 ans,Hommes,Tumeurs malignes,2.4
2015,10 à 14 ans,Hommes,Diabète sucré,0.1
2015,10 à 14 ans,Hommes,Maladies du coeur,0.2
2015,10 à 14 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,10 à 14 ans,Hommes,Cerebrovascular diseases,0.0
2015,10 à 14 ans,Hommes,Atherosclerosis,0.0
2015,10 à 14 ans,Hommes,Aortic aneurysm and dissection,0.0
2015,10 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,10 à 14 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,10 à 14 ans,Hommes,Pneumonitis due to solids and liquids,0.0
2015,10 à 14 ans,Femmes,Tumeurs malignes,2.4
2015,10 à 14 ans,Femmes,Diabète sucré,0.0
2015,10 à 14 ans,Femmes,Maladies du coeur,0.1
2015,10 à 14 ans,Femmes,Essential hypertension and hypertensive renal disease,0.0
2015,10 à 14 ans,Femmes,Cerebrovascular diseases,0.1
2015,10 à 14 ans,Femmes,Atherosclerosis,0.0
2015,10 à 14 ans,Femmes,Aortic aneurysm and dissection,0.0
2015,10 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,10 à 14 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,10 à 14 ans,Femmes,Pneumonitis due to solids and liquids,0.0
2015,15 à 24 ans,Les deux sexes,Tumeurs malignes,3.3
2015,15 à 24 ans,Les deux sexes,Diabète sucré,0.2
2015,15 à 24 ans,Les deux sexes,Maladies du coeur,0.9
2015,15 à 24 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,15 à 24 ans,Les deux sexes,Cerebrovascular diseases,0.2
2015,15 à 24 ans,Les deux sexes,Atherosclerosis,0.0
2015,15 à 24 ans,Les deux sexes,Aortic aneurysm and dissection,0.0
2015,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,15 à 24 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,15 à 24 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.1
2015,15 à 24 ans,Hommes,Tumeurs malignes,4.1
2015,15 à 24 ans,Hommes,Diabète sucré,0.3
2015,15 à 24 ans,Hommes,Maladies du coeur,1.1
2015,15 à 24 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,15 à 24 ans,Hommes,Cerebrovascular diseases,0.0
2015,15 à 24 ans,Hommes,Atherosclerosis,0.0
2015,15 à 24 ans,Hommes,Aortic aneurysm and dissection,0.1
2015,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,15 à 24 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,15 à 24 ans,Hommes,Pneumonitis due to solids and liquids,0.1
2015,15 à 24 ans,Femmes,Tumeurs malignes,2.5
2015,15 à 24 ans,Femmes,Diabète sucré,0.1
2015,15 à 24 ans,Femmes,Maladies du coeur,0.8
2015,15 à 24 ans,Femmes,Essential hypertension and hypertensive renal disease,0.0
2015,15 à 24 ans,Femmes,Cerebrovascular diseases,0.3
2015,15 à 24 ans,Femmes,Atherosclerosis,0.0
2015,15 à 24 ans,Femmes,Aortic aneurysm and dissection,0.0
2015,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,15 à 24 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,15 à 24 ans,Femmes,Pneumonitis due to solids and liquids,0.0
2015,15 à 19 ans,Les deux sexes,Tumeurs malignes,2.8
2015,15 à 19 ans,Les deux sexes,Diabète sucré,0.1
2015,15 à 19 ans,Les deux sexes,Maladies du coeur,0.4
2015,15 à 19 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,15 à 19 ans,Les deux sexes,Cerebrovascular diseases,0.1
2015,15 à 19 ans,Les deux sexes,Atherosclerosis,0.0
2015,15 à 19 ans,Les deux sexes,Aortic aneurysm and dissection,0.0
2015,15 à 19 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,15 à 19 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,15 à 19 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.0
2015,15 à 19 ans,Hommes,Tumeurs malignes,3.2
2015,15 à 19 ans,Hommes,Diabète sucré,0.2
2015,15 à 19 ans,Hommes,Maladies du coeur,0.3
2015,15 à 19 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,15 à 19 ans,Hommes,Cerebrovascular diseases,0.0
2015,15 à 19 ans,Hommes,Atherosclerosis,0.0
2015,15 à 19 ans,Hommes,Aortic aneurysm and dissection,0.1
2015,15 à 19 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,15 à 19 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,15 à 19 ans,Hommes,Pneumonitis due to solids and liquids,0.1
2015,15 à 19 ans,Femmes,Tumeurs malignes,2.4
2015,15 à 19 ans,Femmes,Diabète sucré,0.1
2015,15 à 19 ans,Femmes,Maladies du coeur,0.5
2015,15 à 19 ans,Femmes,Essential hypertension and hypertensive renal disease,0.0
2015,15 à 19 ans,Femmes,Cerebrovascular diseases,0.2
2015,15 à 19 ans,Femmes,Atherosclerosis,0.0
2015,15 à 19 ans,Femmes,Aortic aneurysm and dissection,0.0
2015,15 à 19 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,15 à 19 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,15 à 19 ans,Femmes,Pneumonitis due to solids and liquids,0.0
2015,20 à 24 ans,Les deux sexes,Tumeurs malignes,3.7
2015,20 à 24 ans,Les deux sexes,Diabète sucré,0.3
2015,20 à 24 ans,Les deux sexes,Maladies du coeur,1.4
2015,20 à 24 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,20 à 24 ans,Les deux sexes,Cerebrovascular diseases,0.2
2015,20 à 24 ans,Les deux sexes,Atherosclerosis,0.0
2015,20 à 24 ans,Les deux sexes,Aortic aneurysm and dissection,0.0
2015,20 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,20 à 24 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,20 à 24 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.1
2015,20 à 24 ans,Hommes,Tumeurs malignes,4.8
2015,20 à 24 ans,Hommes,Diabète sucré,0.4
2015,20 à 24 ans,Hommes,Maladies du coeur,1.7
2015,20 à 24 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,20 à 24 ans,Hommes,Cerebrovascular diseases,0.1
2015,20 à 24 ans,Hommes,Atherosclerosis,0.0
2015,20 à 24 ans,Hommes,Aortic aneurysm and dissection,0.1
2015,20 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,20 à 24 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,20 à 24 ans,Hommes,Pneumonitis due to solids and liquids,0.1
2015,20 à 24 ans,Femmes,Tumeurs malignes,2.6
2015,20 à 24 ans,Femmes,Diabète sucré,0.2
2015,20 à 24 ans,Femmes,Maladies du coeur,1.1
2015,20 à 24 ans,Femmes,Essential hypertension and hypertensive renal disease,0.0
2015,20 à 24 ans,Femmes,Cerebrovascular diseases,0.4
2015,20 à 24 ans,Femmes,Atherosclerosis,0.0
2015,20 à 24 ans,Femmes,Aortic aneurysm and dissection,0.0
2015,20 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,20 à 24 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,20 à 24 ans,Femmes,Pneumonitis due to solids and liquids,0.1
2015,25 à 34 ans,Les deux sexes,Tumeurs malignes,8.2
2015,25 à 34 ans,Les deux sexes,Diabète sucré,1.0
2015,25 à 34 ans,Les deux sexes,Maladies du coeur,3.0
2015,25 à 34 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,25 à 34 ans,Les deux sexes,Cerebrovascular diseases,0.7
2015,25 à 34 ans,Les deux sexes,Atherosclerosis,0.0
2015,25 à 34 ans,Les deux sexes,Aortic aneurysm and dissection,0.2
2015,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,25 à 34 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,25 à 34 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.1
2015,25 à 34 ans,Hommes,Tumeurs malignes,7.4
2015,25 à 34 ans,Hommes,Diabète sucré,1.4
2015,25 à 34 ans,Hommes,Maladies du coeur,3.9
2015,25 à 34 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,25 à 34 ans,Hommes,Cerebrovascular diseases,0.8
2015,25 à 34 ans,Hommes,Atherosclerosis,0.0
2015,25 à 34 ans,Hommes,Aortic aneurysm and dissection,0.3
2015,25 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,25 à 34 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,25 à 34 ans,Hommes,Pneumonitis due to solids and liquids,0.1
2015,25 à 34 ans,Femmes,Tumeurs malignes,9.0
2015,25 à 34 ans,Femmes,Diabète sucré,0.7
2015,25 à 34 ans,Femmes,Maladies du coeur,2.1
2015,25 à 34 ans,Femmes,Essential hypertension and hypertensive renal disease,0.1
2015,25 à 34 ans,Femmes,Cerebrovascular diseases,0.6
2015,25 à 34 ans,Femmes,Atherosclerosis,0.0
2015,25 à 34 ans,Femmes,Aortic aneurysm and dissection,0.1
2015,25 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,25 à 34 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,25 à 34 ans,Femmes,Pneumonitis due to solids and liquids,0.0
2015,25 à 29 ans,Les deux sexes,Tumeurs malignes,5.4
2015,25 à 29 ans,Les deux sexes,Diabète sucré,1.3
2015,25 à 29 ans,Les deux sexes,Maladies du coeur,2.5
2015,25 à 29 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,25 à 29 ans,Les deux sexes,Cerebrovascular diseases,0.5
2015,25 à 29 ans,Les deux sexes,Atherosclerosis,0.0
2015,25 à 29 ans,Les deux sexes,Aortic aneurysm and dissection,0.1
2015,25 à 29 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,25 à 29 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,25 à 29 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.2
2015,25 à 29 ans,Hommes,Tumeurs malignes,4.7
2015,25 à 29 ans,Hommes,Diabète sucré,1.8
2015,25 à 29 ans,Hommes,Maladies du coeur,3.2
2015,25 à 29 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,25 à 29 ans,Hommes,Cerebrovascular diseases,0.4
2015,25 à 29 ans,Hommes,Atherosclerosis,0.0
2015,25 à 29 ans,Hommes,Aortic aneurysm and dissection,0.2
2015,25 à 29 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2015,25 à 29 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,25 à 29 ans,Hommes,Pneumonitis due to solids and liquids,0.2
2015,25 à 29 ans,Femmes,Tumeurs malignes,6.2
2015,25 à 29 ans,Femmes,Diabète sucré,0.8
2015,25 à 29 ans,Femmes,Maladies du coeur,1.9
2015,25 à 29 ans,Femmes,Essential hypertension and hypertensive renal disease,0.1
2015,25 à 29 ans,Femmes,Cerebrovascular diseases,0.6
2015,25 à 29 ans,Femmes,Atherosclerosis,0.0
2015,25 à 29 ans,Femmes,Aortic aneurysm and dissection,0.0
2015,25 à 29 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,25 à 29 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,25 à 29 ans,Femmes,Pneumonitis due to solids and liquids,0.1
2015,30 à 34 ans,Les deux sexes,Tumeurs malignes,11.0
2015,30 à 34 ans,Les deux sexes,Diabète sucré,0.8
2015,30 à 34 ans,Les deux sexes,Maladies du coeur,3.5
2015,30 à 34 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,30 à 34 ans,Les deux sexes,Cerebrovascular diseases,0.9
2015,30 à 34 ans,Les deux sexes,Atherosclerosis,0.0
2015,30 à 34 ans,Les deux sexes,Aortic aneurysm and dissection,0.2
2015,30 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,30 à 34 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,30 à 34 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.0
2015,30 à 34 ans,Hommes,Tumeurs malignes,10.1
2015,30 à 34 ans,Hommes,Diabète sucré,1.0
2015,30 à 34 ans,Hommes,Maladies du coeur,4.7
2015,30 à 34 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,30 à 34 ans,Hommes,Cerebrovascular diseases,1.1
2015,30 à 34 ans,Hommes,Atherosclerosis,0.0
2015,30 à 34 ans,Hommes,Aortic aneurysm and dissection,0.3
2015,30 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,30 à 34 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,30 à 34 ans,Hommes,Pneumonitis due to solids and liquids,0.0
2015,30 à 34 ans,Femmes,Tumeurs malignes,11.8
2015,30 à 34 ans,Femmes,Diabète sucré,0.6
2015,30 à 34 ans,Femmes,Maladies du coeur,2.2
2015,30 à 34 ans,Femmes,Essential hypertension and hypertensive renal disease,0.1
2015,30 à 34 ans,Femmes,Cerebrovascular diseases,0.7
2015,30 à 34 ans,Femmes,Atherosclerosis,0.0
2015,30 à 34 ans,Femmes,Aortic aneurysm and dissection,0.2
2015,30 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,30 à 34 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,30 à 34 ans,Femmes,Pneumonitis due to solids and liquids,0.0
2015,35 à 44 ans,Les deux sexes,Tumeurs malignes,23.6
2015,35 à 44 ans,Les deux sexes,Diabète sucré,2.2
2015,35 à 44 ans,Les deux sexes,Maladies du coeur,9.7
2015,35 à 44 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.1
2015,35 à 44 ans,Les deux sexes,Cerebrovascular diseases,2.2
2015,35 à 44 ans,Les deux sexes,Atherosclerosis,0.0
2015,35 à 44 ans,Les deux sexes,Aortic aneurysm and dissection,0.5
2015,35 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.6
2015,35 à 44 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,35 à 44 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.1
2015,35 à 44 ans,Hommes,Tumeurs malignes,19.7
2015,35 à 44 ans,Hommes,Diabète sucré,3.1
2015,35 à 44 ans,Hommes,Maladies du coeur,14.1
2015,35 à 44 ans,Hommes,Essential hypertension and hypertensive renal disease,0.1
2015,35 à 44 ans,Hommes,Cerebrovascular diseases,2.5
2015,35 à 44 ans,Hommes,Atherosclerosis,0.0
2015,35 à 44 ans,Hommes,Aortic aneurysm and dissection,0.9
2015,35 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2015,35 à 44 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,35 à 44 ans,Hommes,Pneumonitis due to solids and liquids,0.1
2015,35 à 44 ans,Femmes,Tumeurs malignes,27.4
2015,35 à 44 ans,Femmes,Diabète sucré,1.3
2015,35 à 44 ans,Femmes,Maladies du coeur,5.3
2015,35 à 44 ans,Femmes,Essential hypertension and hypertensive renal disease,0.1
2015,35 à 44 ans,Femmes,Cerebrovascular diseases,1.9
2015,35 à 44 ans,Femmes,Atherosclerosis,0.0
2015,35 à 44 ans,Femmes,Aortic aneurysm and dissection,0.2
2015,35 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.8
2015,35 à 44 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,35 à 44 ans,Femmes,Pneumonitis due to solids and liquids,0.1
2015,35 à 39 ans,Les deux sexes,Tumeurs malignes,17.0
2015,35 à 39 ans,Les deux sexes,Diabète sucré,1.6
2015,35 à 39 ans,Les deux sexes,Maladies du coeur,6.2
2015,35 à 39 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.1
2015,35 à 39 ans,Les deux sexes,Cerebrovascular diseases,1.3
2015,35 à 39 ans,Les deux sexes,Atherosclerosis,0.0
2015,35 à 39 ans,Les deux sexes,Aortic aneurysm and dissection,0.2
2015,35 à 39 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.7
2015,35 à 39 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,35 à 39 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.1
2015,35 à 39 ans,Hommes,Tumeurs malignes,14.7
2015,35 à 39 ans,Hommes,Diabète sucré,2.1
2015,35 à 39 ans,Hommes,Maladies du coeur,9.2
2015,35 à 39 ans,Hommes,Essential hypertension and hypertensive renal disease,0.1
2015,35 à 39 ans,Hommes,Cerebrovascular diseases,1.5
2015,35 à 39 ans,Hommes,Atherosclerosis,0.0
2015,35 à 39 ans,Hommes,Aortic aneurysm and dissection,0.5
2015,35 à 39 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2015,35 à 39 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,35 à 39 ans,Hommes,Pneumonitis due to solids and liquids,0.2
2015,35 à 39 ans,Femmes,Tumeurs malignes,19.3
2015,35 à 39 ans,Femmes,Diabète sucré,1.1
2015,35 à 39 ans,Femmes,Maladies du coeur,3.2
2015,35 à 39 ans,Femmes,Essential hypertension and hypertensive renal disease,0.2
2015,35 à 39 ans,Femmes,Cerebrovascular diseases,1.2
2015,35 à 39 ans,Femmes,Atherosclerosis,0.0
2015,35 à 39 ans,Femmes,Aortic aneurysm and dissection,0.0
2015,35 à 39 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.9
2015,35 à 39 ans,Femmes,Pneumoconioses and chemical effects,0.0
2015,35 à 39 ans,Femmes,Pneumonitis due to solids and liquids,0.0
2015,40 à 44 ans,Les deux sexes,Tumeurs malignes,30.3
2015,40 à 44 ans,Les deux sexes,Diabète sucré,2.8
2015,40 à 44 ans,Les deux sexes,Maladies du coeur,13.3
2015,40 à 44 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.1
2015,40 à 44 ans,Les deux sexes,Cerebrovascular diseases,3.1
2015,40 à 44 ans,Les deux sexes,Atherosclerosis,0.1
2015,40 à 44 ans,Les deux sexes,Aortic aneurysm and dissection,0.9
