Year,Géographie,GeoCode,Sexe,Value
2018,Territoires du Nord-Ouest,61,Hommes,38.8
2018,Territoires du Nord-Ouest,61,Femmes,13.8
2019,Territoires du Nord-Ouest,61,Les deux sexes,17.8
2019,Territoires du Nord-Ouest,61,Hommes,17.3
2019,Territoires du Nord-Ouest,61,Femmes,18.3
2020,Territoires du Nord-Ouest,61,Les deux sexes,8.8
2020,Territoires du Nord-Ouest,61,Hommes,17.2
2020,Territoires du Nord-Ouest,61,Femmes,0.0
2015,Nouvelle-Écosse,12,Les deux sexes,13.4
2015,Nouvelle-Écosse,12,Hommes,22.5
2015,Nouvelle-Écosse,12,Femmes,4.6
2016,Nouvelle-Écosse,12,Les deux sexes,13.2
2016,Nouvelle-Écosse,12,Hommes,20.9
2016,Nouvelle-Écosse,12,Femmes,5.8
2017,Nouvelle-Écosse,12,Les deux sexes,14.5
2017,Nouvelle-Écosse,12,Hommes,22.2
2017,Nouvelle-Écosse,12,Femmes,7.2
2018,Nouvelle-Écosse,12,Les deux sexes,12.8
2018,Nouvelle-Écosse,12,Hommes,20.9
2018,Nouvelle-Écosse,12,Femmes,5.1
2019,Nouvelle-Écosse,12,Les deux sexes,12.9
2019,Nouvelle-Écosse,12,Hommes,21.3
2019,Nouvelle-Écosse,12,Femmes,4.8
2020,Nouvelle-Écosse,12,Les deux sexes,11.0
2020,Nouvelle-Écosse,12,Hommes,18.3
2020,Nouvelle-Écosse,12,Femmes,4.0
2015,Nunavut,62,Les deux sexes,79.2
2015,Nunavut,62,Hommes,132.0
2015,Nunavut,62,Femmes,22.6
2016,Nunavut,62,Les deux sexes,67.2
2016,Nunavut,62,Hommes,93.5
2016,Nunavut,62,Femmes,39.1
2017,Nunavut,62,Les deux sexes,53.3
2017,Nunavut,62,Hommes,88.0
2017,Nunavut,62,Femmes,16.5
2018,Nunavut,62,Les deux sexes,62.9
2018,Nunavut,62,Hommes,112.3
2018,Nunavut,62,Femmes,10.8
2019,Nunavut,62,Les deux sexes,88.1
2019,Nunavut,62,Hommes,126.2
2019,Nunavut,62,Femmes,47.9
2020,Nunavut,62,Les deux sexes,76.6
2020,Nunavut,62,Hommes,110.0
2020,Nunavut,62,Femmes,41.7
2015,Ontario,35,Les deux sexes,9.8
2015,Ontario,35,Hommes,14.3
2015,Ontario,35,Femmes,5.4
2016,Ontario,35,Les deux sexes,9.8
2016,Ontario,35,Hommes,14.4
2016,Ontario,35,Femmes,5.3
2017,Ontario,35,Les deux sexes,10.5
2017,Ontario,35,Hommes,15.6
2017,Ontario,35,Femmes,5.6
2018,Ontario,35,Les deux sexes,10.8
2018,Ontario,35,Hommes,16.4
2018,Ontario,35,Femmes,5.3
2019,Ontario,35,Les deux sexes,10.5
2019,Ontario,35,Hommes,15.9
2019,Ontario,35,Femmes,5.2
2020,Ontario,35,Les deux sexes,8.9
2020,Ontario,35,Hommes,13.2
2020,Ontario,35,Femmes,4.7
2015,Île-du-Prince-Édouard,11,Les deux sexes,5.4
2015,Île-du-Prince-Édouard,11,Hommes,7.0
2015,Île-du-Prince-Édouard,11,Femmes,4.0
2016,Île-du-Prince-Édouard,11,Les deux sexes,6.7
2016,Île-du-Prince-Édouard,11,Hommes,12.3
2016,Île-du-Prince-Édouard,11,Femmes,1.3
2017,Île-du-Prince-Édouard,11,Les deux sexes,11.3
2017,Île-du-Prince-Édouard,11,Hommes,16.3
2017,Île-du-Prince-Édouard,11,Femmes,6.5
2018,Île-du-Prince-Édouard,11,Les deux sexes,4.6
2018,Île-du-Prince-Édouard,11,Hommes,8.0
2018,Île-du-Prince-Édouard,11,Femmes,1.3
2019,Île-du-Prince-Édouard,11,Les deux sexes,11.4
2019,Île-du-Prince-Édouard,11,Hommes,19.3
2019,Île-du-Prince-Édouard,11,Femmes,3.8
2020,Île-du-Prince-Édouard,11,Les deux sexes,3.7
2020,Île-du-Prince-Édouard,11,Hommes,6.3
2020,Île-du-Prince-Édouard,11,Femmes,1.2
2015,Québec,24,Les deux sexes,13.9
2015,Québec,24,Hommes,20.7
2015,Québec,24,Femmes,7.2
2016,Québec,24,Les deux sexes,9.4
2016,Québec,24,Hommes,14.4
2016,Québec,24,Femmes,4.4
2017,Québec,24,Les deux sexes,12.8
2017,Québec,24,Hommes,19.0
2017,Québec,24,Femmes,6.6
2018,Québec,24,Les deux sexes,13.0
2018,Québec,24,Hommes,19.7
2018,Québec,24,Femmes,6.4
2019,Québec,24,Les deux sexes,13.3
2019,Québec,24,Hommes,20.6
2019,Québec,24,Femmes,6.0
2020,Québec,24,Les deux sexes,10.6
2020,Québec,24,Hommes,16.1
2020,Québec,24,Femmes,5.2
2015,Saskatchewan,47,Les deux sexes,14.1
2015,Saskatchewan,47,Hommes,22.6
2015,Saskatchewan,47,Femmes,5.3
2016,Saskatchewan,47,Les deux sexes,15.7
2016,Saskatchewan,47,Hommes,21.9
2016,Saskatchewan,47,Femmes,9.3
2017,Saskatchewan,47,Les deux sexes,16.3
2017,Saskatchewan,47,Hommes,24.2
2017,Saskatchewan,47,Femmes,8.2
2018,Saskatchewan,47,Les deux sexes,19.9
2018,Saskatchewan,47,Hommes,29.9
2018,Saskatchewan,47,Femmes,9.7
2019,Saskatchewan,47,Les deux sexes,16.0
2019,Saskatchewan,47,Hommes,25.4
2019,Saskatchewan,47,Femmes,6.5
2020,Saskatchewan,47,Les deux sexes,15.6
2020,Saskatchewan,47,Hommes,23.4
2020,Saskatchewan,47,Femmes,7.7
2015,Yukon,60,Les deux sexes,13.4
2015,Yukon,60,Hommes,26.4
2015,Yukon,60,Femmes,0.0
2016,Yukon,60,Les deux sexes,18.4
2016,Yukon,60,Hommes,25.8
2016,Yukon,60,Femmes,10.7
2017,Yukon,60,Les deux sexes,
2017,Yukon,60,Hommes,
2017,Yukon,60,Femmes,
2018,Yukon,60,Les deux sexes,
2018,Yukon,60,Hommes,
2018,Yukon,60,Femmes,
2019,Yukon,60,Les deux sexes,
2019,Yukon,60,Hommes,
2019,Yukon,60,Femmes,
2020,Yukon,60,Les deux sexes,
2020,Yukon,60,Hommes,
2020,Yukon,60,Femmes,
2015,,,,12.3
2016,,,,11.0
2017,,,,12.2
2018,,,,12.3
2019,,,,12.1
2020,,,,10.1
