Year,Indicateurs de discrimination,Géographie,Genre,GeoCode,Value
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Québec,Hommes,24,11.0
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Québec,Hommes,24,47.1
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Québec,Hommes,24,19.8
2024 Q1,Discrimination en utilisant le transport en commun,Québec,Hommes,24,15.4
2024 Q1,Discrimination dans toute autre situation,Québec,Hommes,24,27.6
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Québec,Femmes,24,27.7
2024 Q1,N'ont pas été victimes de discrimination,Québec,Femmes,24,72.3
2024 Q1,Discrimination au travail,Québec,Femmes,24,38.6
2024 Q1,Discrimination à l'école,Québec,Femmes,24,13.1
2024 Q1,Discrimination sur Internet,Québec,Femmes,24,14.7
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Québec,Femmes,24,17.0
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Québec,Femmes,24,44.3
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Québec,Femmes,24,20.9
2024 Q1,Discrimination en utilisant le transport en commun,Québec,Femmes,24,19.8
2024 Q1,Discrimination dans toute autre situation,Québec,Femmes,24,17.0
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Ontario,Total,35,39.2
2024 Q1,N'ont pas été victimes de discrimination,Ontario,Total,35,60.8
2024 Q1,Discrimination au travail,Ontario,Total,35,41.4
2024 Q1,Discrimination à l'école,Ontario,Total,35,17.1
2024 Q1,Discrimination sur Internet,Ontario,Total,35,18.9
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Ontario,Total,35,16.0
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Ontario,Total,35,49.0
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Ontario,Total,35,19.8
2024 Q1,Discrimination en utilisant le transport en commun,Ontario,Total,35,20.6
2024 Q1,Discrimination dans toute autre situation,Ontario,Total,35,20.2
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Ontario,Hommes,35,35.5
2024 Q1,N'ont pas été victimes de discrimination,Ontario,Hommes,35,64.5
2024 Q1,Discrimination au travail,Ontario,Hommes,35,39.6
2024 Q1,Discrimination à l'école,Ontario,Hommes,35,18.6
2024 Q1,Discrimination sur Internet,Ontario,Hommes,35,21.1
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Ontario,Hommes,35,10.7
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Ontario,Hommes,35,45.9
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Ontario,Hommes,35,18.9
2024 Q1,Discrimination en utilisant le transport en commun,Ontario,Hommes,35,19.8
2024 Q1,Discrimination dans toute autre situation,Ontario,Hommes,35,21.0
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Ontario,Femmes,35,42.7
2024 Q1,N'ont pas été victimes de discrimination,Ontario,Femmes,35,57.3
2024 Q1,Discrimination au travail,Ontario,Femmes,35,42.8
2024 Q1,Discrimination à l'école,Ontario,Femmes,35,16.0
2024 Q1,Discrimination sur Internet,Ontario,Femmes,35,17.1
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Ontario,Femmes,35,20.2
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Ontario,Femmes,35,51.6
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Ontario,Femmes,35,20.6
2024 Q1,Discrimination en utilisant le transport en commun,Ontario,Femmes,35,21.2
2024 Q1,Discrimination dans toute autre situation,Ontario,Femmes,35,19.5
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Manitoba,Total,46,40.3
2024 Q1,N'ont pas été victimes de discrimination,Manitoba,Total,46,59.7
2024 Q1,Discrimination au travail,Manitoba,Total,46,53.2
2024 Q1,Discrimination à l'école,Manitoba,Total,46,18.6
2024 Q1,Discrimination sur Internet,Manitoba,Total,46,20.7
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Manitoba,Total,46,15.4
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Manitoba,Total,46,44.3
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Manitoba,Total,46,18.7
2024 Q1,Discrimination en utilisant le transport en commun,Manitoba,Total,46,16.7
2024 Q1,Discrimination dans toute autre situation,Manitoba,Total,46,23.2
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Manitoba,Hommes,46,36.1
2024 Q1,N'ont pas été victimes de discrimination,Manitoba,Hommes,46,63.9
2024 Q1,Discrimination au travail,Manitoba,Hommes,46,60.8
2024 Q1,Discrimination à l'école,Manitoba,Hommes,46,14.3
2024 Q1,Discrimination sur Internet,Manitoba,Hommes,46,17.0
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Manitoba,Hommes,46,15.0
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Manitoba,Hommes,46,49.2
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Manitoba,Hommes,46,14.1
2024 Q1,Discrimination en utilisant le transport en commun,Manitoba,Hommes,46,20.9
2024 Q1,Discrimination dans toute autre situation,Manitoba,Hommes,46,30.0
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Manitoba,Femmes,46,44.5
2024 Q1,N'ont pas été victimes de discrimination,Manitoba,Femmes,46,55.5
2024 Q1,Discrimination au travail,Manitoba,Femmes,46,47.2
2024 Q1,Discrimination à l'école,Manitoba,Femmes,46,22.0
2024 Q1,Discrimination sur Internet,Manitoba,Femmes,46,23.6
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Manitoba,Femmes,46,15.7
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Manitoba,Femmes,46,40.5
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Manitoba,Femmes,46,22.2
2024 Q1,Discrimination en utilisant le transport en commun,Manitoba,Femmes,46,13.5
2024 Q1,Discrimination dans toute autre situation,Manitoba,Femmes,46,17.8
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Saskatchewan,Total,47,38.7
2024 Q1,N'ont pas été victimes de discrimination,Saskatchewan,Total,47,61.3
2024 Q1,Discrimination au travail,Saskatchewan,Total,47,37.7
2024 Q1,Discrimination à l'école,Saskatchewan,Total,47,20.1
2024 Q1,Discrimination sur Internet,Saskatchewan,Total,47,19.4
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Saskatchewan,Total,47,23.0
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Saskatchewan,Total,47,43.2
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Saskatchewan,Total,47,36.0
2024 Q1,Discrimination en utilisant le transport en commun,Saskatchewan,Total,47,11.0
2024 Q1,Discrimination dans toute autre situation,Saskatchewan,Total,47,15.0
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Saskatchewan,Hommes,47,34.1
2024 Q1,N'ont pas été victimes de discrimination,Saskatchewan,Hommes,47,65.9
2024 Q1,Discrimination au travail,Saskatchewan,Hommes,47,32.1
2024 Q1,Discrimination à l'école,Saskatchewan,Hommes,47,22.9
2024 Q1,Discrimination sur Internet,Saskatchewan,Hommes,47,20.5
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Saskatchewan,Hommes,47,13.5
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Saskatchewan,Hommes,47,44.4
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Saskatchewan,Hommes,47,27.2
2024 Q1,Discrimination en utilisant le transport en commun,Saskatchewan,Hommes,47,9.2
2024 Q1,Discrimination dans toute autre situation,Saskatchewan,Hommes,47,13.7
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Saskatchewan,Femmes,47,43.4
2024 Q1,N'ont pas été victimes de discrimination,Saskatchewan,Femmes,47,56.6
2024 Q1,Discrimination au travail,Saskatchewan,Femmes,47,42.2
2024 Q1,Discrimination à l'école,Saskatchewan,Femmes,47,17.8
2024 Q1,Discrimination sur Internet,Saskatchewan,Femmes,47,18.6
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Saskatchewan,Femmes,47,30.7
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Saskatchewan,Femmes,47,42.2
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Saskatchewan,Femmes,47,42.9
2024 Q1,Discrimination en utilisant le transport en commun,Saskatchewan,Femmes,47,12.4
2024 Q1,Discrimination dans toute autre situation,Saskatchewan,Femmes,47,15.9
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Alberta,Total,48,41.4
2024 Q1,N'ont pas été victimes de discrimination,Alberta,Total,48,58.6
2024 Q1,Discrimination au travail,Alberta,Total,48,42.0
2024 Q1,Discrimination à l'école,Alberta,Total,48,16.0
2024 Q1,Discrimination sur Internet,Alberta,Total,48,22.5
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Alberta,Total,48,17.7
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Alberta,Total,48,50.3
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Alberta,Total,48,27.1
2024 Q1,Discrimination en utilisant le transport en commun,Alberta,Total,48,14.2
2024 Q1,Discrimination dans toute autre situation,Alberta,Total,48,18.8
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Alberta,Hommes,48,37.3
2024 Q1,N'ont pas été victimes de discrimination,Alberta,Hommes,48,62.7
2024 Q1,Discrimination au travail,Alberta,Hommes,48,37.9
2024 Q1,Discrimination à l'école,Alberta,Hommes,48,18.9
2024 Q1,Discrimination sur Internet,Alberta,Hommes,48,20.9
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Alberta,Hommes,48,11.4
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Alberta,Hommes,48,51.0
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Alberta,Hommes,48,28.3
2024 Q1,Discrimination en utilisant le transport en commun,Alberta,Hommes,48,13.1
2024 Q1,Discrimination dans toute autre situation,Alberta,Hommes,48,22.3
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Alberta,Femmes,48,45.4
2024 Q1,N'ont pas été victimes de discrimination,Alberta,Femmes,48,54.6
2024 Q1,Discrimination au travail,Alberta,Femmes,48,45.4
2024 Q1,Discrimination à l'école,Alberta,Femmes,48,13.7
2024 Q1,Discrimination sur Internet,Alberta,Femmes,48,23.9
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Alberta,Femmes,48,22.8
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Alberta,Femmes,48,49.7
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Alberta,Femmes,48,26.1
2024 Q1,Discrimination en utilisant le transport en commun,Alberta,Femmes,48,15.0
2024 Q1,Discrimination dans toute autre situation,Alberta,Femmes,48,15.9
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Colombie-Britannique,Total,59,40.4
2024 Q1,N'ont pas été victimes de discrimination,Colombie-Britannique,Total,59,59.6
2024 Q1,Discrimination au travail,Colombie-Britannique,Total,59,33.2
2024 Q1,Discrimination à l'école,Colombie-Britannique,Total,59,19.0
2024 Q1,Discrimination sur Internet,Colombie-Britannique,Total,59,14.4
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Colombie-Britannique,Total,59,16.6
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Colombie-Britannique,Total,59,48.3
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Colombie-Britannique,Total,59,22.3
2024 Q1,Discrimination en utilisant le transport en commun,Colombie-Britannique,Total,59,15.1
2024 Q1,Discrimination dans toute autre situation,Colombie-Britannique,Total,59,21.4
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Colombie-Britannique,Hommes,59,35.1
2024 Q1,N'ont pas été victimes de discrimination,Colombie-Britannique,Hommes,59,64.9
2024 Q1,Discrimination au travail,Colombie-Britannique,Hommes,59,34.8
2024 Q1,Discrimination à l'école,Colombie-Britannique,Hommes,59,19.3
2024 Q1,Discrimination sur Internet,Colombie-Britannique,Hommes,59,19.9
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Colombie-Britannique,Hommes,59,16.0
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Colombie-Britannique,Hommes,59,48.9
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Colombie-Britannique,Hommes,59,19.9
2024 Q1,Discrimination en utilisant le transport en commun,Colombie-Britannique,Hommes,59,17.5
2024 Q1,Discrimination dans toute autre situation,Colombie-Britannique,Hommes,59,25.7
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Colombie-Britannique,Femmes,59,45.5
2024 Q1,N'ont pas été victimes de discrimination,Colombie-Britannique,Femmes,59,54.5
2024 Q1,Discrimination au travail,Colombie-Britannique,Femmes,59,32.0
2024 Q1,Discrimination à l'école,Colombie-Britannique,Femmes,59,18.8
