Year,Series,Services de base,Niveau de compétence,Units,Sexe,Géographie,GeoCode,Value
2004,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,78.3
2005,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,78.7
2006,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,79.2
2007,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,79.6
2008,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,79.9
2009,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,80.3
2010,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,80.7
2011,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,81.1
2012,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,81.4
2013,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,81.8
2014,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,82.2
2015,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,82.6
2016,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,82.9
2017,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,83.3
2018,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,83.7
2019,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,84.1
2020,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,84.0
2021,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,83.9
2022,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,83.9
2015,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,100.0
2016,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,100.0
2017,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,100.0
2018,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,100.0
2019,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,100.0
2020,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,100.0
2021,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,100.0
2022,Accès à des carburants et technologies propres,Proportion de la population qui dépend principalement des combustibles et des technologies propres,,Pourcentage (%),,,,100.0
2015,Accès à des carburants et technologies propres,Proportion de la population ayant accès à l’électricité,,Pourcentage (%),,,,100.0
2016,Accès à des carburants et technologies propres,Proportion de la population ayant accès à l’électricité,,Pourcentage (%),,,,100.0
2017,Accès à des carburants et technologies propres,Proportion de la population ayant accès à l’électricité,,Pourcentage (%),,,,100.0
2018,Accès à des carburants et technologies propres,Proportion de la population ayant accès à l’électricité,,Pourcentage (%),,,,100.0
2019,Accès à des carburants et technologies propres,Proportion de la population ayant accès à l’électricité,,Pourcentage (%),,,,100.0
2020,Accès à des carburants et technologies propres,Proportion de la population ayant accès à l’électricité,,Pourcentage (%),,,,100.0
2021,Accès à des carburants et technologies propres,Proportion de la population ayant accès à l’électricité,,Pourcentage (%),,,,100.0
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,,,97.7
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Terre-Neuve-et-Labrador,10,96.1
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Île-du-Prince-Édouard,11,99.9
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Nouvelle-Écosse,12,97.7
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Nouveau-Brunswick,13,97.1
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Québec,24,98.0
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Ontario,35,98.8
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Manitoba,46,97.2
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Saskatchewan,47,98.2
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Alberta,48,98.0
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Colombie-Britannique,59,95.0
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Yukon,60,88.2
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Territoires du Nord-Ouest,61,91.8
2021,Accès à la mobilité de base,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,Pourcentage (%),,Nunavut,62,82.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,,,75.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Terre-Neuve-et-Labrador,10,26.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"St. John's, Terre-Neuve-et-Labrador",,59.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Île-du-Prince-Édouard,11,16.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nouvelle-Écosse,12,37.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Halifax, Nouvelle-Écosse",,70.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nouveau-Brunswick,13,28.8
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Moncton, Nouveau-Brunswick",,65.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saint John, Nouveau-Brunswick",,49.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Québec,24,66.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Ottawa - Gatineau (partie du Québec), Québec",,77.2
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saguenay, Québec",,75.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Sherbrooke, Québec",,76.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Ontario,35,75.2
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Barrie, Ontario",,66.8
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Belleville, Ontario",,57.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Brantford, Ontario",,69.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Greater Sudbury / Grand Sudbury, Ontario",,66.5
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Guelph, Ontario",,83.5
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Hamilton, Ontario",,81.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kingston, Ontario",,69.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kitchener - Cambridge - Waterloo, Ontario",,86.2
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"London, Ontario",,77.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Oshawa, Ontario",,88.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Ottawa - Gatineau (partie de l'Ontario), Ontario",,85.0
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Peterborough, Ontario",,62.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"St. Catharines - Niagara, Ontario",,80.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Thunder Bay, Ontario",,76.3
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Toronto, Ontario",,93.0
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Windsor, Ontario",,67.1
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Manitoba,46,57.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Winnipeg, Manitoba",,88.2
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Saskatchewan,47,50.3
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Regina, Saskatchewan",,90.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saskatoon, Saskatchewan",,82.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Alberta,48,67.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Calgary, Alberta",,88.9
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Edmonton, Alberta",,82.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Lethbridge, Alberta",,71.6
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Colombie-Britannique,59,78.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Abbotsford - Mission, Colombie-Britannique",,79.3
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kelowna, Colombie-Britannique",,73.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Vancouver, Colombie-Britannique",,92.7
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Victoria, Colombie-Britannique",,90.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Yukon,60,56.3
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Territoires du Nord-Ouest,61,41.4
2016,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nunavut,62,0.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Terre-Neuve-et-Labrador,10,54.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"St. John's, Terre-Neuve-et-Labrador",,54.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Île-du-Prince-Édouard,11,40.4
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nouvelle-Écosse,12,58.3
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Halifax, Nouvelle-Écosse",,65.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Nouveau-Brunswick,13,51.1
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Moncton, Nouveau-Brunswick",,62.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saint John, Nouveau-Brunswick",,42.3
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Québec,24,79.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saguenay, Québec",,79.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Sherbrooke, Québec",,72.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Ontario,35,73.8
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Barrie, Ontario",,56.3
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Belleville, Ontario",,55.9
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Brantford, Ontario",,65.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Greater Sudbury / Grand Sudbury, Ontario",,67.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Guelph, Ontario",,76.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Hamilton, Ontario",,71.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kingston, Ontario",,67.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kitchener - Cambridge - Waterloo, Ontario",,76.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"London, Ontario",,69.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Oshawa, Ontario",,62.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Ottawa - Gatineau (partie de l'Ontario), Ontario",,76.4
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Peterborough, Ontario",,61.3
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"St. Catharines - Niagara, Ontario",,60.6
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Thunder Bay, Ontario",,74.8
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Toronto, Ontario",,82.9
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Windsor, Ontario",,50.1
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Manitoba,46,82.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Winnipeg, Manitoba",,83.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Saskatchewan,47,79.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Regina, Saskatchewan",,86.4
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Saskatoon, Saskatchewan",,79.8
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Alberta,48,76.4
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Calgary, Alberta",,80.1
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Edmonton, Alberta",,75.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Lethbridge, Alberta",,55.7
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Colombie-Britannique,59,75.9
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Abbotsford - Mission, Colombie-Britannique",,74.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Kelowna, Colombie-Britannique",,64.2
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Vancouver, Colombie-Britannique",,84.0
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,"Victoria, Colombie-Britannique",,84.8
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Yukon,60,75.5
2023,Accès à la mobilité de base,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,,Pourcentage (%),,Territoires du Nord-Ouest,61,87.9
2015,Access to basic education,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Total,,,92.0
2019,Access to basic education,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Total,,,92.0
2019,Access to basic education,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Homme,,,94.0
2019,Access to basic education,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Femme,,,91.0
2016,Access to basic education,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Total,,,95.6
2016,Access to basic education,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Homme,,,95.3
2016,Access to basic education,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Femme,,,96.3
2018,Access to basic education,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Total,,,86.3
2018,Access to basic education,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Femme,,,90.4
2018,Access to basic education,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Homme,,,82.1
2018,Access to basic education,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Total,,,83.7
2018,Access to basic education,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Femme,,,83.9
2018,Access to basic education,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Homme,,,83.6
2016,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,99.5
2017,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,99.5
2018,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,99.5
2019,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,99.5
2020,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,99.5
2021,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,99.5
2021,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,99.6
2016,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,98.6
2017,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,99.1
2018,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,99.3
2019,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,99.5
2020,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,99.5
2021,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,99.4
2022,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,99.4
2016,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,83.4
2017,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,92.4
2018,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,94.9
2019,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,95.9
