Year,Géographie,Government,Elected officials,Value
2021,Nouveau-Brunswick,National,Members of Cabinet,0.0
2015,Québec,National,Members of Parliament,37.3
2016,Québec,National,Members of Parliament,24.4
2017,Québec,National,Members of Parliament,25.6
2018,Québec,National,Members of Parliament,25.6
2019,Québec,National,Members of Parliament,27.3
2020,Québec,National,Members of Parliament,33.3
2021,Québec,National,Members of Parliament,33.3
2015,Québec,National,Members of Cabinet,0.0
2016,Québec,National,Members of Cabinet,42.9
2017,Québec,National,Members of Cabinet,42.9
2018,Québec,National,Members of Cabinet,42.9
2019,Québec,National,Members of Cabinet,33.3
2020,Québec,National,Members of Cabinet,27.3
2021,Québec,National,Members of Cabinet,27.3
2015,Ontario,National,Members of Parliament,19.6
2016,Ontario,National,Members of Parliament,31.4
2017,Ontario,National,Members of Parliament,33.1
2018,Ontario,National,Members of Parliament,34.2
2019,Ontario,National,Members of Parliament,33.9
2020,Ontario,National,Members of Parliament,31.4
2021,Ontario,National,Members of Parliament,32.5
2015,Ontario,National,Members of Cabinet,20.0
2016,Ontario,National,Members of Cabinet,72.7
2017,Ontario,National,Members of Cabinet,75.0
2018,Ontario,National,Members of Cabinet,75.0
2019,Ontario,National,Members of Cabinet,71.4
2020,Ontario,National,Members of Cabinet,70.6
2021,Ontario,National,Members of Cabinet,75.0
2015,Manitoba,National,Members of Parliament,35.7
2016,Manitoba,National,Members of Parliament,21.4
2017,Manitoba,National,Members of Parliament,21.4
2018,Manitoba,National,Members of Parliament,21.4
2019,Manitoba,National,Members of Parliament,21.4
2020,Manitoba,National,Members of Parliament,28.6
2021,Manitoba,National,Members of Parliament,28.6
2015,Manitoba,National,Members of Cabinet,100.0
2016,Manitoba,National,Members of Cabinet,50.0
2017,Manitoba,National,Members of Cabinet,0.0
2018,Manitoba,National,Members of Cabinet,0.0
2019,Manitoba,National,Members of Cabinet,0.0
2020,Manitoba,National,Members of Cabinet,0.0
2021,Manitoba,National,Members of Cabinet,0.0
2015,Saskatchewan,National,Members of Parliament,14.3
2016,Saskatchewan,National,Members of Parliament,28.6
2017,Saskatchewan,National,Members of Parliament,28.6
2018,Saskatchewan,National,Members of Parliament,35.7
2019,Saskatchewan,National,Members of Parliament,35.7
2020,Saskatchewan,National,Members of Parliament,21.4
2021,Saskatchewan,National,Members of Parliament,21.4
2015,Saskatchewan,National,Members of Cabinet,50.0
2016,Saskatchewan,National,Members of Cabinet,0.0
2017,Saskatchewan,National,Members of Cabinet,0.0
2018,Saskatchewan,National,Members of Cabinet,0.0
2019,Saskatchewan,National,Members of Cabinet,0.0
2020,Saskatchewan,National,Members of Cabinet,0.0
2021,Saskatchewan,National,Members of Cabinet,0.0
2015,Alberta,National,Members of Parliament,17.9
2016,Alberta,National,Members of Parliament,15.2
2017,Alberta,National,Members of Parliament,17.6
2018,Alberta,National,Members of Parliament,14.7
2019,Alberta,National,Members of Parliament,14.7
2020,Alberta,National,Members of Parliament,17.6
2021,Alberta,National,Members of Parliament,17.6
2015,Alberta,National,Members of Cabinet,33.3
2016,Alberta,National,Members of Cabinet,0.0
2017,Alberta,National,Members of Cabinet,0.0
2018,Alberta,National,Members of Cabinet,0.0
2019,Alberta,National,Members of Cabinet,0.0
2020,Alberta,National,Members of Cabinet,0.0
2021,Alberta,National,Members of Cabinet,0.0
2015,Colombie-Britannique,National,Members of Parliament,30.6
2016,Colombie-Britannique,National,Members of Parliament,28.6
2017,Colombie-Britannique,National,Members of Parliament,28.6
2018,Colombie-Britannique,National,Members of Parliament,26.2
2019,Colombie-Britannique,National,Members of Parliament,24.4
2020,Colombie-Britannique,National,Members of Parliament,33.3
2021,Colombie-Britannique,National,Members of Parliament,33.3
2015,Colombie-Britannique,National,Members of Cabinet,40.0
2016,Colombie-Britannique,National,Members of Cabinet,66.7
2017,Colombie-Britannique,National,Members of Cabinet,66.7
2018,Colombie-Britannique,National,Members of Cabinet,66.7
2019,Colombie-Britannique,National,Members of Cabinet,50.0
2020,Colombie-Britannique,National,Members of Cabinet,50.0
2021,Colombie-Britannique,National,Members of Cabinet,50.0
2015,Yukon,National,Members of Parliament,0.0
2016,Yukon,National,Members of Parliament,0.0
2017,Yukon,National,Members of Parliament,0.0
2018,Yukon,National,Members of Parliament,0.0
2019,Yukon,National,Members of Parliament,0.0
2020,Yukon,National,Members of Parliament,0.0
2021,Yukon,National,Members of Parliament,0.0
2015,Yukon,National,Members of Cabinet,0.0
2016,Yukon,National,Members of Cabinet,0.0
2017,Yukon,National,Members of Cabinet,0.0
2018,Yukon,National,Members of Cabinet,0.0
2019,Yukon,National,Members of Cabinet,0.0
2020,Yukon,National,Members of Cabinet,0.0
2021,Yukon,National,Members of Cabinet,0.0
2015,Territoires du Nord-Ouest,National,Members of Parliament,0.0
2016,Territoires du Nord-Ouest,National,Members of Parliament,0.0
2017,Territoires du Nord-Ouest,National,Members of Parliament,0.0
2018,Territoires du Nord-Ouest,National,Members of Parliament,0.0
2019,Territoires du Nord-Ouest,National,Members of Parliament,0.0
2020,Territoires du Nord-Ouest,National,Members of Parliament,0.0
2021,Territoires du Nord-Ouest,National,Members of Parliament,0.0
2015,Territoires du Nord-Ouest,National,Members of Cabinet,0.0
2016,Territoires du Nord-Ouest,National,Members of Cabinet,0.0
2017,Territoires du Nord-Ouest,National,Members of Cabinet,0.0
2018,Territoires du Nord-Ouest,National,Members of Cabinet,0.0
2019,Territoires du Nord-Ouest,National,Members of Cabinet,0.0
2020,Territoires du Nord-Ouest,National,Members of Cabinet,0.0
2021,Territoires du Nord-Ouest,National,Members of Cabinet,0.0
2015,Nunavut,National,Members of Parliament,100.0
2016,Nunavut,National,Members of Parliament,0.0
2017,Nunavut,National,Members of Parliament,0.0
2018,Nunavut,National,Members of Parliament,0.0
2019,Nunavut,National,Members of Parliament,0.0
2020,Nunavut,National,Members of Parliament,100.0
2021,Nunavut,National,Members of Parliament,100.0
2015,Nunavut,National,Members of Cabinet,100.0
2016,Nunavut,National,Members of Cabinet,0.0
2017,Nunavut,National,Members of Cabinet,0.0
2018,Nunavut,National,Members of Cabinet,0.0
2019,Nunavut,National,Members of Cabinet,0.0
2020,Nunavut,National,Members of Cabinet,0.0
2021,Nunavut,National,Members of Cabinet,0.0
2015,Canada,Local,Chiefs in First Nation communities,19.5
2015,Canada,Local,First Nations council members,30.5
2016,Canada,Local,Chiefs in First Nation communities,19.7
2016,Canada,Local,First Nations council members,30.7
2017,Canada,Local,Chiefs in First Nation communities,18.8
2017,Canada,Local,First Nations council members,28.6
2018,Canada,Local,Chiefs in First Nation communities,20.4
2018,Canada,Local,First Nations council members,28.2
2019,Canada,Local,Chiefs in First Nation communities,18.5
2019,Canada,Local,First Nations council members,27.4
