Year,Géographie,Taux d'obtention du diplôme,Genre,GeoCode,Value
2016/2017,Territoires du Nord-Ouest,Délai plus long,Total,61,
2016/2017,Territoires du Nord-Ouest,Délai plus long,Homme,61,
2016/2017,Territoires du Nord-Ouest,Délai plus long,Femme,61,
2016/2017,Nunavut,Délai prévu,Total,62,47.0
2016/2017,Nunavut,Délai prévu,Homme,62,44.0
2016/2017,Nunavut,Délai prévu,Femme,62,50.0
2016/2017,Nunavut,Délai plus long,Total,62,
2016/2017,Nunavut,Délai plus long,Homme,62,
2016/2017,Nunavut,Délai plus long,Femme,62,
2017/2018,Canada,Délai prévu,Total,,81.0
2017/2018,Canada,Délai prévu,Homme,,77.0
2017/2018,Canada,Délai prévu,Femme,,84.0
2017/2018,Canada,Délai plus long,Homme,,86.0
2017/2018,Canada,Délai plus long,Femme,,91.0
2017/2018,Terre-Neuve-et-Labrador,Délai prévu,Total,10,88.0
2017/2018,Terre-Neuve-et-Labrador,Délai prévu,Homme,10,86.0
2017/2018,Terre-Neuve-et-Labrador,Délai prévu,Femme,10,89.0
2017/2018,Terre-Neuve-et-Labrador,Délai plus long,Total,10,92.0
2017/2018,Terre-Neuve-et-Labrador,Délai plus long,Homme,10,92.0
2017/2018,Terre-Neuve-et-Labrador,Délai plus long,Femme,10,93.0
2017/2018,Île-du-Prince-Édouard,Délai prévu,Total,11,87.0
2017/2018,Île-du-Prince-Édouard,Délai prévu,Homme,11,84.0
2017/2018,Île-du-Prince-Édouard,Délai prévu,Femme,11,91.0
2017/2018,Île-du-Prince-Édouard,Délai plus long,Total,11,89.0
2017/2018,Île-du-Prince-Édouard,Délai plus long,Homme,11,86.0
2017/2018,Île-du-Prince-Édouard,Délai plus long,Femme,11,92.0
2017/2018,Nouvelle-Écosse,Délai prévu,Total,12,87.0
2017/2018,Nouvelle-Écosse,Délai prévu,Homme,12,86.0
2017/2018,Nouvelle-Écosse,Délai prévu,Femme,12,88.0
2017/2018,Nouvelle-Écosse,Délai plus long,Total,12,90.0
2017/2018,Nouvelle-Écosse,Délai plus long,Homme,12,88.0
2017/2018,Nouvelle-Écosse,Délai plus long,Femme,12,92.0
2017/2018,Nouveau-Brunswick,Délai prévu,Total,13,86.0
2017/2018,Nouveau-Brunswick,Délai prévu,Homme,13,83.0
2017/2018,Nouveau-Brunswick,Délai prévu,Femme,13,89.0
2017/2018,Nouveau-Brunswick,Délai plus long,Total,13,90.0
2017/2018,Nouveau-Brunswick,Délai plus long,Homme,13,88.0
2017/2018,Nouveau-Brunswick,Délai plus long,Femme,13,92.0
2017/2018,Québec,Délai prévu,Total,24,75.0
2017/2018,Québec,Délai prévu,Homme,24,70.0
2017/2018,Québec,Délai prévu,Femme,24,81.0
2017/2018,Québec,Délai plus long,Total,24,84.0
2017/2018,Québec,Délai plus long,Homme,24,80.0
2017/2018,Québec,Délai plus long,Femme,24,88.0
2017/2018,Ontario,Délai prévu,Total,35,82.0
2017/2018,Ontario,Délai prévu,Homme,35,79.0
2017/2018,Ontario,Délai prévu,Femme,35,86.0
2017/2018,Ontario,Délai plus long,Total,35,91.0
2017/2018,Ontario,Délai plus long,Homme,35,89.0
2017/2018,Ontario,Délai plus long,Femme,35,94.0
2017/2018,Manitoba,Délai prévu,Total,46,83.0
2017/2018,Manitoba,Délai prévu,Homme,46,80.0
2017/2018,Manitoba,Délai prévu,Femme,46,85.0
2017/2018,Manitoba,Délai plus long,Total,46,87.0
2017/2018,Manitoba,Délai plus long,Homme,46,85.0
2017/2018,Manitoba,Délai plus long,Femme,46,89.0
2017/2018,Saskatchewan,Délai prévu,Total,47,79.0
2017/2018,Saskatchewan,Délai prévu,Homme,47,76.0
2017/2018,Saskatchewan,Délai prévu,Femme,47,82.0
2017/2018,Saskatchewan,Délai plus long,Total,47,84.0
2017/2018,Saskatchewan,Délai plus long,Homme,47,82.0
2017/2018,Saskatchewan,Délai plus long,Femme,47,86.0
2017/2018,Alberta,Délai prévu,Total,48,80.0
2017/2018,Alberta,Délai prévu,Homme,48,78.0
2017/2018,Alberta,Délai prévu,Femme,48,82.0
2017/2018,Alberta,Délai plus long,Total,48,86.0
2017/2018,Alberta,Délai plus long,Homme,48,84.0
2017/2018,Alberta,Délai plus long,Femme,48,88.0
2017/2018,Colombie-Britannique,Délai prévu,Total,59,81.0
2017/2018,Colombie-Britannique,Délai prévu,Homme,59,78.0
2017/2018,Colombie-Britannique,Délai prévu,Femme,59,83.0
2017/2018,Colombie-Britannique,Délai plus long,Total,59,88.0
2017/2018,Colombie-Britannique,Délai plus long,Homme,59,86.0
2017/2018,Colombie-Britannique,Délai plus long,Femme,59,90.0
2017/2018,Territoires du Nord-Ouest,Délai prévu,Total,61,51.0
2017/2018,Territoires du Nord-Ouest,Délai prévu,Homme,61,45.0
2017/2018,Territoires du Nord-Ouest,Délai prévu,Femme,61,58.0
2017/2018,Territoires du Nord-Ouest,Délai plus long,Total,61,
2017/2018,Territoires du Nord-Ouest,Délai plus long,Homme,61,
2017/2018,Territoires du Nord-Ouest,Délai plus long,Femme,61,
2017/2018,Nunavut,Délai prévu,Total,62,
2017/2018,Nunavut,Délai prévu,Homme,62,
2017/2018,Nunavut,Délai prévu,Femme,62,
2017/2018,Nunavut,Délai plus long,Total,62,
2017/2018,Nunavut,Délai plus long,Homme,62,
2017/2018,Nunavut,Délai plus long,Femme,62,
2018/2019,Canada,Délai prévu,Total,,81.0
2018/2019,Canada,Délai prévu,Homme,,77.0
2018/2019,Canada,Délai prévu,Femme,,85.0
2018/2019,Canada,Délai plus long,Homme,,86.0
2018/2019,Canada,Délai plus long,Femme,,91.0
2018/2019,Terre-Neuve-et-Labrador,Délai prévu,Total,10,89.0
2018/2019,Terre-Neuve-et-Labrador,Délai prévu,Homme,10,87.0
2018/2019,Terre-Neuve-et-Labrador,Délai prévu,Femme,10,91.0
2018/2019,Terre-Neuve-et-Labrador,Délai plus long,Total,10,92.0
2018/2019,Terre-Neuve-et-Labrador,Délai plus long,Homme,10,90.0
2018/2019,Terre-Neuve-et-Labrador,Délai plus long,Femme,10,93.0
2018/2019,Île-du-Prince-Édouard,Délai prévu,Total,11,89.0
2018/2019,Île-du-Prince-Édouard,Délai prévu,Homme,11,88.0
2018/2019,Île-du-Prince-Édouard,Délai prévu,Femme,11,90.0
2018/2019,Île-du-Prince-Édouard,Délai plus long,Total,11,91.0
2018/2019,Île-du-Prince-Édouard,Délai plus long,Homme,11,89.0
2018/2019,Île-du-Prince-Édouard,Délai plus long,Femme,11,92.0
2018/2019,Nouvelle-Écosse,Délai prévu,Total,12,86.0
2018/2019,Nouvelle-Écosse,Délai prévu,Homme,12,86.0
2018/2019,Nouvelle-Écosse,Délai prévu,Femme,12,87.0
2018/2019,Nouvelle-Écosse,Délai plus long,Total,12,90.0
2018/2019,Nouvelle-Écosse,Délai plus long,Homme,12,89.0
2018/2019,Nouvelle-Écosse,Délai plus long,Femme,12,92.0
2018/2019,Nouveau-Brunswick,Délai prévu,Total,13,85.0
2018/2019,Nouveau-Brunswick,Délai prévu,Homme,13,83.0
2018/2019,Nouveau-Brunswick,Délai prévu,Femme,13,88.0
2018/2019,Nouveau-Brunswick,Délai plus long,Total,13,89.0
2018/2019,Nouveau-Brunswick,Délai plus long,Homme,13,88.0
2018/2019,Nouveau-Brunswick,Délai plus long,Femme,13,90.0
2018/2019,Québec,Délai prévu,Total,24,75.0
2018/2019,Québec,Délai prévu,Homme,24,69.0
2018/2019,Québec,Délai prévu,Femme,24,81.0
2018/2019,Québec,Délai plus long,Total,24,84.0
2018/2019,Québec,Délai plus long,Homme,24,79.0
2018/2019,Québec,Délai plus long,Femme,24,88.0
2018/2019,Ontario,Délai prévu,Total,35,83.0
2018/2019,Ontario,Délai prévu,Homme,35,80.0
2018/2019,Ontario,Délai prévu,Femme,35,87.0
2018/2019,Ontario,Délai plus long,Total,35,92.0
2018/2019,Ontario,Délai plus long,Homme,35,90.0
2018/2019,Ontario,Délai plus long,Femme,35,94.0
2018/2019,Manitoba,Délai prévu,Total,46,82.0
2018/2019,Manitoba,Délai prévu,Homme,46,79.0
2018/2019,Manitoba,Délai prévu,Femme,46,86.0
2018/2019,Manitoba,Délai plus long,Total,46,88.0
2018/2019,Manitoba,Délai plus long,Homme,46,86.0
2018/2019,Manitoba,Délai plus long,Femme,46,90.0
2018/2019,Saskatchewan,Délai prévu,Total,47,80.0
2018/2019,Saskatchewan,Délai prévu,Homme,47,77.0
2018/2019,Saskatchewan,Délai prévu,Femme,47,82.0
2018/2019,Saskatchewan,Délai plus long,Total,47,86.0
2018/2019,Saskatchewan,Délai plus long,Homme,47,84.0
2018/2019,Saskatchewan,Délai plus long,Femme,47,88.0
2018/2019,Alberta,Délai prévu,Total,48,80.0
2018/2019,Alberta,Délai prévu,Homme,48,78.0
2018/2019,Alberta,Délai prévu,Femme,48,83.0
2018/2019,Alberta,Délai plus long,Total,48,86.0
2018/2019,Alberta,Délai plus long,Homme,48,84.0
2018/2019,Alberta,Délai plus long,Femme,48,88.0
2018/2019,Colombie-Britannique,Délai prévu,Total,59,81.0
2018/2019,Colombie-Britannique,Délai prévu,Homme,59,79.0
2018/2019,Colombie-Britannique,Délai prévu,Femme,59,84.0
2018/2019,Colombie-Britannique,Délai plus long,Total,59,89.0
2018/2019,Colombie-Britannique,Délai plus long,Homme,59,87.0
2018/2019,Colombie-Britannique,Délai plus long,Femme,59,90.0
2018/2019,Territoires du Nord-Ouest,Délai prévu,Total,61,49.0
2018/2019,Territoires du Nord-Ouest,Délai prévu,Homme,61,42.0
2018/2019,Territoires du Nord-Ouest,Délai prévu,Femme,61,56.0
2018/2019,Territoires du Nord-Ouest,Délai plus long,Total,61,
2018/2019,Territoires du Nord-Ouest,Délai plus long,Homme,61,
2018/2019,Territoires du Nord-Ouest,Délai plus long,Femme,61,
2018/2019,Nunavut,Délai prévu,Total,62,
2018/2019,Nunavut,Délai prévu,Homme,62,
2018/2019,Nunavut,Délai prévu,Femme,62,
2018/2019,Nunavut,Délai plus long,Total,62,
2018/2019,Nunavut,Délai plus long,Homme,62,
2018/2019,Nunavut,Délai plus long,Femme,62,
2019/2020,Canada,Délai prévu,Total,,84.0
2019/2020,Canada,Délai prévu,Homme,,81.0
2019/2020,Canada,Délai prévu,Femme,,87.0
2019/2020,Canada,Délai plus long,Homme,,86.0
2019/2020,Canada,Délai plus long,Femme,,91.0
2019/2020,Terre-Neuve-et-Labrador,Délai prévu,Total,10,94.0
2019/2020,Terre-Neuve-et-Labrador,Délai prévu,Homme,10,94.0
2019/2020,Terre-Neuve-et-Labrador,Délai prévu,Femme,10,95.0
2019/2020,Terre-Neuve-et-Labrador,Délai plus long,Total,10,92.0
2019/2020,Terre-Neuve-et-Labrador,Délai plus long,Homme,10,90.0
2019/2020,Terre-Neuve-et-Labrador,Délai plus long,Femme,10,94.0
2019/2020,Île-du-Prince-Édouard,Délai prévu,Total,11,92.0
2019/2020,Île-du-Prince-Édouard,Délai prévu,Homme,11,90.0
2019/2020,Île-du-Prince-Édouard,Délai prévu,Femme,11,94.0
2019/2020,Île-du-Prince-Édouard,Délai plus long,Total,11,91.0
2019/2020,Île-du-Prince-Édouard,Délai plus long,Homme,11,89.0
2019/2020,Île-du-Prince-Édouard,Délai plus long,Femme,11,94.0
2019/2020,Nouvelle-Écosse,Délai prévu,Total,12,92.0
2019/2020,Nouvelle-Écosse,Délai prévu,Homme,12,91.0
2019/2020,Nouvelle-Écosse,Délai prévu,Femme,12,93.0
2019/2020,Nouvelle-Écosse,Délai plus long,Total,12,91.0
2019/2020,Nouvelle-Écosse,Délai plus long,Homme,12,90.0
2019/2020,Nouvelle-Écosse,Délai plus long,Femme,12,92.0
2019/2020,Nouveau-Brunswick,Délai prévu,Total,13,87.0
2019/2020,Nouveau-Brunswick,Délai prévu,Homme,13,86.0
2019/2020,Nouveau-Brunswick,Délai prévu,Femme,13,89.0
2019/2020,Nouveau-Brunswick,Délai plus long,Total,13,89.0
2019/2020,Nouveau-Brunswick,Délai plus long,Homme,13,88.0
2019/2020,Nouveau-Brunswick,Délai plus long,Femme,13,91.0
2019/2020,Québec,Délai prévu,Total,24,79.0
2019/2020,Québec,Délai prévu,Homme,24,74.0
2019/2020,Québec,Délai prévu,Femme,24,84.0
2019/2020,Québec,Délai plus long,Total,24,83.0
2019/2020,Québec,Délai plus long,Homme,24,80.0
2019/2020,Québec,Délai plus long,Femme,24,87.0
2019/2020,Ontario,Délai prévu,Total,35,86.0
2019/2020,Ontario,Délai prévu,Homme,35,83.0
2019/2020,Ontario,Délai prévu,Femme,35,89.0
2019/2020,Ontario,Délai plus long,Total,35,92.0
2019/2020,Ontario,Délai plus long,Homme,35,90.0
2019/2020,Ontario,Délai plus long,Femme,35,94.0
2019/2020,Manitoba,Délai prévu,Total,46,82.0
2019/2020,Manitoba,Délai prévu,Homme,46,80.0
2019/2020,Manitoba,Délai prévu,Femme,46,84.0
2019/2020,Manitoba,Délai plus long,Total,46,87.0
2019/2020,Manitoba,Délai plus long,Homme,46,86.0
2019/2020,Manitoba,Délai plus long,Femme,46,89.0
2019/2020,Saskatchewan,Délai prévu,Total,47,85.0
2019/2020,Saskatchewan,Délai prévu,Homme,47,83.0
2019/2020,Saskatchewan,Délai prévu,Femme,47,87.0
2019/2020,Saskatchewan,Délai plus long,Total,47,88.0
2019/2020,Saskatchewan,Délai plus long,Homme,47,85.0
2019/2020,Saskatchewan,Délai plus long,Femme,47,90.0
2019/2020,Alberta,Délai prévu,Total,48,84.0
2019/2020,Alberta,Délai prévu,Homme,48,82.0
2019/2020,Alberta,Délai prévu,Femme,48,87.0
2019/2020,Alberta,Délai plus long,Total,48,87.0
2019/2020,Alberta,Délai plus long,Homme,48,85.0
2019/2020,Alberta,Délai plus long,Femme,48,89.0
2019/2020,Colombie-Britannique,Délai prévu,Total,59,84.0
2019/2020,Colombie-Britannique,Délai prévu,Homme,59,82.0
2019/2020,Colombie-Britannique,Délai prévu,Femme,59,85.0
2019/2020,Colombie-Britannique,Délai plus long,Total,59,89.0
2019/2020,Colombie-Britannique,Délai plus long,Homme,59,87.0
2019/2020,Colombie-Britannique,Délai plus long,Femme,59,91.0
2019/2020,Territoires du Nord-Ouest,Délai prévu,Total,61,46.0
2019/2020,Territoires du Nord-Ouest,Délai prévu,Homme,61,40.0
2019/2020,Territoires du Nord-Ouest,Délai prévu,Femme,61,46.0
2019/2020,Territoires du Nord-Ouest,Délai plus long,Total,61,
2019/2020,Territoires du Nord-Ouest,Délai plus long,Homme,61,
2019/2020,Territoires du Nord-Ouest,Délai plus long,Femme,61,
2019/2020,Nunavut,Délai prévu,Total,62,
2019/2020,Nunavut,Délai prévu,Homme,62,
2019/2020,Nunavut,Délai prévu,Femme,62,
2019/2020,Nunavut,Délai plus long,Total,62,
2019/2020,Nunavut,Délai plus long,Homme,62,
2019/2020,Nunavut,Délai plus long,Femme,62,
2020/2021,Canada,Délai prévu,Total,,84.0
2020/2021,Canada,Délai prévu,Homme,,81.0
2020/2021,Canada,Délai prévu,Femme,,87.0
2020/2021,Canada,Délai plus long,Homme,,87.0
2020/2021,Canada,Délai plus long,Femme,,92.0
2020/2021,Terre-Neuve-et-Labrador,Délai prévu,Total,10,89.0
2020/2021,Terre-Neuve-et-Labrador,Délai prévu,Homme,10,87.0
2020/2021,Terre-Neuve-et-Labrador,Délai prévu,Femme,10,91.0
2020/2021,Terre-Neuve-et-Labrador,Délai plus long,Total,10,94.0
2020/2021,Terre-Neuve-et-Labrador,Délai plus long,Homme,10,93.0
2020/2021,Terre-Neuve-et-Labrador,Délai plus long,Femme,10,96.0
2020/2021,Île-du-Prince-Édouard,Délai prévu,Total,11,92.0
2020/2021,Île-du-Prince-Édouard,Délai prévu,Homme,11,93.0
2020/2021,Île-du-Prince-Édouard,Délai prévu,Femme,11,92.0
2020/2021,Île-du-Prince-Édouard,Délai plus long,Total,11,93.0
2020/2021,Île-du-Prince-Édouard,Délai plus long,Homme,11,93.0
2020/2021,Île-du-Prince-Édouard,Délai plus long,Femme,11,93.0
2020/2021,Nouvelle-Écosse,Délai prévu,Total,12,87.0
2020/2021,Nouvelle-Écosse,Délai prévu,Homme,12,86.0
2020/2021,Nouvelle-Écosse,Délai prévu,Femme,12,88.0
2020/2021,Nouvelle-Écosse,Délai plus long,Total,12,92.0
2020/2021,Nouvelle-Écosse,Délai plus long,Homme,12,92.0
2020/2021,Nouvelle-Écosse,Délai plus long,Femme,12,92.0
2020/2021,Nouveau-Brunswick,Délai prévu,Total,13,87.0
2020/2021,Nouveau-Brunswick,Délai prévu,Homme,13,87.0
2020/2021,Nouveau-Brunswick,Délai prévu,Femme,13,87.0
2020/2021,Nouveau-Brunswick,Délai plus long,Total,13,87.0
2020/2021,Nouveau-Brunswick,Délai plus long,Homme,13,84.0
2020/2021,Nouveau-Brunswick,Délai plus long,Femme,13,89.0
2020/2021,Québec,Délai prévu,Total,24,80.0
2020/2021,Québec,Délai prévu,Homme,24,75.0
2020/2021,Québec,Délai prévu,Femme,24,86.0
2020/2021,Québec,Délai plus long,Total,24,83.0
2020/2021,Québec,Délai plus long,Homme,24,79.0
2020/2021,Québec,Délai plus long,Femme,24,88.0
2020/2021,Ontario,Délai prévu,Total,35,85.0
2020/2021,Ontario,Délai prévu,Homme,35,82.0
2020/2021,Ontario,Délai prévu,Femme,35,88.0
2020/2021,Ontario,Délai plus long,Total,35,93.0
2020/2021,Ontario,Délai plus long,Homme,35,91.0
2020/2021,Ontario,Délai plus long,Femme,35,94.0
2020/2021,Manitoba,Délai prévu,Total,46,85.0
2020/2021,Manitoba,Délai prévu,Homme,46,83.0
2020/2021,Manitoba,Délai prévu,Femme,46,87.0
2020/2021,Manitoba,Délai plus long,Total,46,89.0
2020/2021,Manitoba,Délai plus long,Homme,46,87.0
2020/2021,Manitoba,Délai plus long,Femme,46,91.0
2020/2021,Saskatchewan,Délai prévu,Total,47,83.0
2020/2021,Saskatchewan,Délai prévu,Homme,47,82.0
2020/2021,Saskatchewan,Délai prévu,Femme,47,84.0
2020/2021,Saskatchewan,Délai plus long,Total,47,89.0
2020/2021,Saskatchewan,Délai plus long,Homme,47,87.0
2020/2021,Saskatchewan,Délai plus long,Femme,47,92.0
2020/2021,Alberta,Délai prévu,Total,48,84.0
2020/2021,Alberta,Délai prévu,Homme,48,82.0
2020/2021,Alberta,Délai prévu,Femme,48,86.0
2020/2021,Alberta,Délai plus long,Total,48,88.0
2020/2021,Alberta,Délai plus long,Homme,48,86.0
2020/2021,Alberta,Délai plus long,Femme,48,90.0
2020/2021,Colombie-Britannique,Délai prévu,Total,59,83.0
2020/2021,Colombie-Britannique,Délai prévu,Homme,59,82.0
2020/2021,Colombie-Britannique,Délai prévu,Femme,59,84.0
2020/2021,Colombie-Britannique,Délai plus long,Total,59,89.0
2020/2021,Colombie-Britannique,Délai plus long,Homme,59,88.0
2020/2021,Colombie-Britannique,Délai plus long,Femme,59,91.0
2020/2021,Territoires du Nord-Ouest,Délai prévu,Total,61,
2020/2021,Territoires du Nord-Ouest,Délai prévu,Homme,61,
2020/2021,Territoires du Nord-Ouest,Délai prévu,Femme,61,
2020/2021,Territoires du Nord-Ouest,Délai plus long,Total,61,51.0
2020/2021,Territoires du Nord-Ouest,Délai plus long,Homme,61,44.0
2020/2021,Territoires du Nord-Ouest,Délai plus long,Femme,61,57.0
2020/2021,Nunavut,Délai prévu,Total,62,
2020/2021,Nunavut,Délai prévu,Homme,62,
2020/2021,Nunavut,Délai prévu,Femme,62,
2020/2021,Nunavut,Délai plus long,Total,62,
2020/2021,Nunavut,Délai plus long,Homme,62,
2020/2021,Nunavut,Délai plus long,Femme,62,
