Year,Géographie,Groupe d'activité,Groupe d'âge,Genre,GeoCode,Value
2015,Canada,Tâches ménagères,65 ans et plus,"Total, toutes les personnes",,11.7
2015,Canada,Tâches ménagères,65 ans et plus,Hommes+,,10.0
2015,Canada,Tâches ménagères,65 ans et plus,Femmes+,,13.3
2015,Canada,Soins des enfants de moins de 18 ans,"Total, 15 ans et plus","Total, toutes les personnes",,1.7
2015,Canada,Soins des enfants de moins de 18 ans,"Total, 15 ans et plus",Hommes+,,1.3
2015,Canada,Soins des enfants de moins de 18 ans,"Total, 15 ans et plus",Femmes+,,2.1
2015,Canada,Soins des enfants de moins de 18 ans,15 à 24 ans,"Total, toutes les personnes",,0.4
2015,Canada,Soins des enfants de moins de 18 ans,15 à 24 ans,Hommes+,,
2015,Canada,Soins des enfants de moins de 18 ans,15 à 24 ans,Femmes+,,0.4
2015,Canada,Soins des enfants de moins de 18 ans,25 à 54 ans,"Total, toutes les personnes",,2.9
2015,Canada,Soins des enfants de moins de 18 ans,25 à 54 ans,Hommes+,,2.1
2015,Canada,Soins des enfants de moins de 18 ans,25 à 54 ans,Femmes+,,3.8
2015,Canada,Soins des enfants de moins de 18 ans,25 à 34 ans,"Total, toutes les personnes",,3.3
2015,Canada,Soins des enfants de moins de 18 ans,25 à 34 ans,Hommes+,,1.7
2015,Canada,Soins des enfants de moins de 18 ans,25 à 34 ans,Femmes+,,5.0
2015,Canada,Soins des enfants de moins de 18 ans,35 à 44 ans,"Total, toutes les personnes",,4.2
2015,Canada,Soins des enfants de moins de 18 ans,35 à 44 ans,Hommes+,,3.3
2015,Canada,Soins des enfants de moins de 18 ans,35 à 44 ans,Femmes+,,5.4
2015,Canada,Soins des enfants de moins de 18 ans,45 à 54 ans,"Total, toutes les personnes",,1.3
2015,Canada,Soins des enfants de moins de 18 ans,45 à 54 ans,Hommes+,,0.8
2015,Canada,Soins des enfants de moins de 18 ans,45 à 54 ans,Femmes+,,1.3
2015,Canada,Soins des enfants de moins de 18 ans,55 à 64 ans,"Total, toutes les personnes",,0.4
2015,Canada,Soins des enfants de moins de 18 ans,55 à 64 ans,Hommes+,,
2015,Canada,Soins des enfants de moins de 18 ans,55 à 64 ans,Femmes+,,0.4
2015,Canada,Soins des enfants de moins de 18 ans,65 ans et plus,"Total, toutes les personnes",,0.4
2015,Canada,Soins des enfants de moins de 18 ans,65 ans et plus,Hommes+,,0.4
2015,Canada,Soins des enfants de moins de 18 ans,65 ans et plus,Femmes+,,0.4
2015,Canada,Soins des adultes,"Total, 15 ans et plus","Total, toutes les personnes",,
2015,Canada,Soins des adultes,"Total, 15 ans et plus",Hommes+,,
2015,Canada,Soins des adultes,"Total, 15 ans et plus",Femmes+,,
2015,Canada,Soins des adultes,15 à 24 ans,"Total, toutes les personnes",,
2015,Canada,Soins des adultes,15 à 24 ans,Hommes+,,
2015,Canada,Soins des adultes,15 à 24 ans,Femmes+,,0.0
2015,Canada,Soins des adultes,25 à 54 ans,"Total, toutes les personnes",,
2015,Canada,Soins des adultes,25 à 54 ans,Hommes+,,
2015,Canada,Soins des adultes,25 à 54 ans,Femmes+,,
2015,Canada,Soins des adultes,25 à 34 ans,"Total, toutes les personnes",,
2015,Canada,Soins des adultes,25 à 34 ans,Hommes+,,
2015,Canada,Soins des adultes,25 à 34 ans,Femmes+,,
2015,Canada,Soins des adultes,35 à 44 ans,"Total, toutes les personnes",,
2015,Canada,Soins des adultes,35 à 44 ans,Hommes+,,
2015,Canada,Soins des adultes,35 à 44 ans,Femmes+,,
2015,Canada,Soins des adultes,45 à 54 ans,"Total, toutes les personnes",,
2015,Canada,Soins des adultes,45 à 54 ans,Hommes+,,
2015,Canada,Soins des adultes,45 à 54 ans,Femmes+,,
2015,Canada,Soins des adultes,55 à 64 ans,"Total, toutes les personnes",,
2015,Canada,Soins des adultes,55 à 64 ans,Hommes+,,
2015,Canada,Soins des adultes,55 à 64 ans,Femmes+,,0.4
2015,Canada,Soins des adultes,65 ans et plus,"Total, toutes les personnes",,
2015,Canada,Soins des adultes,65 ans et plus,Hommes+,,
2015,Canada,Soins des adultes,65 ans et plus,Femmes+,,
2015,Canada,Magasinage de biens ou de services,"Total, 15 ans et plus","Total, toutes les personnes",,2.1
2015,Canada,Magasinage de biens ou de services,"Total, 15 ans et plus",Hommes+,,1.7
2015,Canada,Magasinage de biens ou de services,"Total, 15 ans et plus",Femmes+,,2.5
2015,Canada,Magasinage de biens ou de services,15 à 24 ans,"Total, toutes les personnes",,1.3
2015,Canada,Magasinage de biens ou de services,15 à 24 ans,Hommes+,,0.8
2015,Canada,Magasinage de biens ou de services,15 à 24 ans,Femmes+,,1.7
2015,Canada,Magasinage de biens ou de services,25 à 54 ans,"Total, toutes les personnes",,1.7
2015,Canada,Magasinage de biens ou de services,25 à 54 ans,Hommes+,,1.3
2015,Canada,Magasinage de biens ou de services,25 à 54 ans,Femmes+,,2.1
2015,Canada,Magasinage de biens ou de services,25 à 34 ans,"Total, toutes les personnes",,1.7
2015,Canada,Magasinage de biens ou de services,25 à 34 ans,Hommes+,,1.3
2015,Canada,Magasinage de biens ou de services,25 à 34 ans,Femmes+,,2.1
2015,Canada,Magasinage de biens ou de services,35 à 44 ans,"Total, toutes les personnes",,1.7
2015,Canada,Magasinage de biens ou de services,35 à 44 ans,Hommes+,,1.7
2015,Canada,Magasinage de biens ou de services,35 à 44 ans,Femmes+,,2.1
2015,Canada,Magasinage de biens ou de services,45 à 54 ans,"Total, toutes les personnes",,2.1
2015,Canada,Magasinage de biens ou de services,45 à 54 ans,Hommes+,,1.7
2015,Canada,Magasinage de biens ou de services,45 à 54 ans,Femmes+,,2.5
2015,Canada,Magasinage de biens ou de services,55 à 64 ans,"Total, toutes les personnes",,2.5
2015,Canada,Magasinage de biens ou de services,55 à 64 ans,Hommes+,,2.1
2015,Canada,Magasinage de biens ou de services,55 à 64 ans,Femmes+,,2.9
2015,Canada,Magasinage de biens ou de services,65 ans et plus,"Total, toutes les personnes",,2.5
2015,Canada,Magasinage de biens ou de services,65 ans et plus,Hommes+,,2.5
2015,Canada,Magasinage de biens ou de services,65 ans et plus,Femmes+,,2.9
2015,Atlantique,"Total, activités de travail non-rémunéré","Total, 15 ans et plus","Total, toutes les personnes",1,13.3
2015,Atlantique,"Total, activités de travail non-rémunéré","Total, 15 ans et plus",Hommes+,1,11.3
2015,Atlantique,"Total, activités de travail non-rémunéré","Total, 15 ans et plus",Femmes+,1,15.4
2015,Atlantique,"Total, activités de travail non-rémunéré",15 à 24 ans,"Total, toutes les personnes",1,5.8
2015,Atlantique,"Total, activités de travail non-rémunéré",15 à 24 ans,Hommes+,1,5.4
2015,Atlantique,"Total, activités de travail non-rémunéré",15 à 24 ans,Femmes+,1,6.3
2015,Atlantique,"Total, activités de travail non-rémunéré",25 à 54 ans,"Total, toutes les personnes",1,13.8
2015,Atlantique,"Total, activités de travail non-rémunéré",25 à 54 ans,Hommes+,1,11.3
2015,Atlantique,"Total, activités de travail non-rémunéré",25 à 54 ans,Femmes+,1,16.3
2015,Atlantique,"Total, activités de travail non-rémunéré",25 à 34 ans,"Total, toutes les personnes",1,12.5
2015,Atlantique,"Total, activités de travail non-rémunéré",25 à 34 ans,Hommes+,1,8.8
2015,Atlantique,"Total, activités de travail non-rémunéré",25 à 34 ans,Femmes+,1,15.8
2015,Atlantique,"Total, activités de travail non-rémunéré",35 à 44 ans,"Total, toutes les personnes",1,14.6
2015,Atlantique,"Total, activités de travail non-rémunéré",35 à 44 ans,Hommes+,1,12.5
2015,Atlantique,"Total, activités de travail non-rémunéré",35 à 44 ans,Femmes+,1,17.1
2015,Atlantique,"Total, activités de travail non-rémunéré",45 à 54 ans,"Total, toutes les personnes",1,14.2
2015,Atlantique,"Total, activités de travail non-rémunéré",45 à 54 ans,Hommes+,1,11.7
2015,Atlantique,"Total, activités de travail non-rémunéré",45 à 54 ans,Femmes+,1,16.3
2015,Atlantique,"Total, activités de travail non-rémunéré",55 à 64 ans,"Total, toutes les personnes",1,15.4
2015,Atlantique,"Total, activités de travail non-rémunéré",55 à 64 ans,Hommes+,1,13.3
2015,Atlantique,"Total, activités de travail non-rémunéré",55 à 64 ans,Femmes+,1,17.5
2015,Atlantique,"Total, activités de travail non-rémunéré",65 ans et plus,"Total, toutes les personnes",1,15.0
2015,Atlantique,"Total, activités de travail non-rémunéré",65 ans et plus,Hommes+,1,13.3
2015,Atlantique,"Total, activités de travail non-rémunéré",65 ans et plus,Femmes+,1,16.7
2015,Atlantique,Tâches ménagères,"Total, 15 ans et plus","Total, toutes les personnes",1,9.2
2015,Atlantique,Tâches ménagères,"Total, 15 ans et plus",Hommes+,1,8.3
2015,Atlantique,Tâches ménagères,"Total, 15 ans et plus",Femmes+,1,10.4
2015,Atlantique,Tâches ménagères,15 à 24 ans,"Total, toutes les personnes",1,4.2
2015,Atlantique,Tâches ménagères,15 à 24 ans,Hommes+,1,4.6
2015,Atlantique,Tâches ménagères,15 à 24 ans,Femmes+,1,3.8
2015,Atlantique,Tâches ménagères,25 à 54 ans,"Total, toutes les personnes",1,8.8
2015,Atlantique,Tâches ménagères,25 à 54 ans,Hommes+,1,7.5
2015,Atlantique,Tâches ménagères,25 à 54 ans,Femmes+,1,10.0
2015,Atlantique,Tâches ménagères,25 à 34 ans,"Total, toutes les personnes",1,6.7
2015,Atlantique,Tâches ménagères,25 à 34 ans,Hommes+,1,5.4
2015,Atlantique,Tâches ménagères,25 à 34 ans,Femmes+,1,7.9
2015,Atlantique,Tâches ménagères,35 à 44 ans,"Total, toutes les personnes",1,8.8
2015,Atlantique,Tâches ménagères,35 à 44 ans,Hommes+,1,7.1
2015,Atlantique,Tâches ménagères,35 à 44 ans,Femmes+,1,10.4
2015,Atlantique,Tâches ménagères,45 à 54 ans,"Total, toutes les personnes",1,10.4
2015,Atlantique,Tâches ménagères,45 à 54 ans,Hommes+,1,9.6
2015,Atlantique,Tâches ménagères,45 à 54 ans,Femmes+,1,11.7
2015,Atlantique,Tâches ménagères,55 à 64 ans,"Total, toutes les personnes",1,12.1
2015,Atlantique,Tâches ménagères,55 à 64 ans,Hommes+,1,10.8
2015,Atlantique,Tâches ménagères,55 à 64 ans,Femmes+,1,12.9
2015,Atlantique,Tâches ménagères,65 ans et plus,"Total, toutes les personnes",1,11.7
2015,Atlantique,Tâches ménagères,65 ans et plus,Hommes+,1,10.0
2015,Atlantique,Tâches ménagères,65 ans et plus,Femmes+,1,13.3
2015,Atlantique,Soins des enfants de moins de 18 ans,"Total, 15 ans et plus","Total, toutes les personnes",1,1.3
2015,Atlantique,Soins des enfants de moins de 18 ans,"Total, 15 ans et plus",Hommes+,1,0.8
2015,Atlantique,Soins des enfants de moins de 18 ans,"Total, 15 ans et plus",Femmes+,1,1.7
2015,Atlantique,Soins des enfants de moins de 18 ans,15 à 24 ans,"Total, toutes les personnes",1,
2015,Atlantique,Soins des enfants de moins de 18 ans,15 à 24 ans,Hommes+,1,
2015,Atlantique,Soins des enfants de moins de 18 ans,15 à 24 ans,Femmes+,1,
2015,Atlantique,Soins des enfants de moins de 18 ans,25 à 54 ans,"Total, toutes les personnes",1,2.5
2015,Atlantique,Soins des enfants de moins de 18 ans,25 à 54 ans,Hommes+,1,2.1
2015,Atlantique,Soins des enfants de moins de 18 ans,25 à 54 ans,Femmes+,1,3.3
2015,Atlantique,Soins des enfants de moins de 18 ans,25 à 34 ans,"Total, toutes les personnes",1,3.8
2015,Atlantique,Soins des enfants de moins de 18 ans,25 à 34 ans,Hommes+,1,1.7
2015,Atlantique,Soins des enfants de moins de 18 ans,25 à 34 ans,Femmes+,1,5.8
2015,Atlantique,Soins des enfants de moins de 18 ans,35 à 44 ans,"Total, toutes les personnes",1,3.8
2015,Atlantique,Soins des enfants de moins de 18 ans,35 à 44 ans,Hommes+,1,3.3
2015,Atlantique,Soins des enfants de moins de 18 ans,35 à 44 ans,Femmes+,1,4.2
2015,Atlantique,Soins des enfants de moins de 18 ans,45 à 54 ans,"Total, toutes les personnes",1,0.8
2015,Atlantique,Soins des enfants de moins de 18 ans,45 à 54 ans,Hommes+,1,0.8
2015,Atlantique,Soins des enfants de moins de 18 ans,45 à 54 ans,Femmes+,1,0.8
2015,Atlantique,Soins des enfants de moins de 18 ans,55 à 64 ans,"Total, toutes les personnes",1,0.4
2015,Atlantique,Soins des enfants de moins de 18 ans,55 à 64 ans,Hommes+,1,
2015,Atlantique,Soins des enfants de moins de 18 ans,55 à 64 ans,Femmes+,1,0.4
2015,Atlantique,Soins des enfants de moins de 18 ans,65 ans et plus,"Total, toutes les personnes",1,
2015,Atlantique,Soins des enfants de moins de 18 ans,65 ans et plus,Hommes+,1,
2015,Atlantique,Soins des enfants de moins de 18 ans,65 ans et plus,Femmes+,1,
2015,Atlantique,Soins des adultes,"Total, 15 ans et plus","Total, toutes les personnes",1,
2015,Atlantique,Soins des adultes,"Total, 15 ans et plus",Hommes+,1,
2015,Atlantique,Soins des adultes,"Total, 15 ans et plus",Femmes+,1,
2015,Atlantique,Soins des adultes,15 à 24 ans,"Total, toutes les personnes",1,0.0
2015,Atlantique,Soins des adultes,15 à 24 ans,Hommes+,1,0.0
2015,Atlantique,Soins des adultes,15 à 24 ans,Femmes+,1,0.0
2015,Atlantique,Soins des adultes,25 à 54 ans,"Total, toutes les personnes",1,
2015,Atlantique,Soins des adultes,25 à 54 ans,Hommes+,1,
2015,Atlantique,Soins des adultes,25 à 54 ans,Femmes+,1,
2015,Atlantique,Soins des adultes,25 à 34 ans,"Total, toutes les personnes",1,
2015,Atlantique,Soins des adultes,25 à 34 ans,Hommes+,1,
2015,Atlantique,Soins des adultes,25 à 34 ans,Femmes+,1,
2015,Atlantique,Soins des adultes,35 à 44 ans,"Total, toutes les personnes",1,
2015,Atlantique,Soins des adultes,35 à 44 ans,Hommes+,1,0.0
2015,Atlantique,Soins des adultes,35 à 44 ans,Femmes+,1,
2015,Atlantique,Soins des adultes,45 à 54 ans,"Total, toutes les personnes",1,
2015,Atlantique,Soins des adultes,45 à 54 ans,Hommes+,1,
2015,Atlantique,Soins des adultes,45 à 54 ans,Femmes+,1,
2015,Atlantique,Soins des adultes,55 à 64 ans,"Total, toutes les personnes",1,
2015,Atlantique,Soins des adultes,55 à 64 ans,Hommes+,1,
2015,Atlantique,Soins des adultes,55 à 64 ans,Femmes+,1,
2015,Atlantique,Soins des adultes,65 ans et plus,"Total, toutes les personnes",1,0.4
2015,Atlantique,Soins des adultes,65 ans et plus,Hommes+,1,
2015,Atlantique,Soins des adultes,65 ans et plus,Femmes+,1,
2015,Atlantique,Magasinage de biens ou de services,"Total, 15 ans et plus","Total, toutes les personnes",1,2.1
2015,Atlantique,Magasinage de biens ou de services,"Total, 15 ans et plus",Hommes+,1,1.7
2015,Atlantique,Magasinage de biens ou de services,"Total, 15 ans et plus",Femmes+,1,2.5
2015,Atlantique,Magasinage de biens ou de services,15 à 24 ans,"Total, toutes les personnes",1,0.8
2015,Atlantique,Magasinage de biens ou de services,15 à 24 ans,Hommes+,1,
2015,Atlantique,Magasinage de biens ou de services,15 à 24 ans,Femmes+,1,1.3
2015,Atlantique,Magasinage de biens ou de services,25 à 54 ans,"Total, toutes les personnes",1,2.1
2015,Atlantique,Magasinage de biens ou de services,25 à 54 ans,Hommes+,1,1.3
2015,Atlantique,Magasinage de biens ou de services,25 à 54 ans,Femmes+,1,2.5
2015,Atlantique,Magasinage de biens ou de services,25 à 34 ans,"Total, toutes les personnes",1,1.7
2015,Atlantique,Magasinage de biens ou de services,25 à 34 ans,Hommes+,1,1.3
2015,Atlantique,Magasinage de biens ou de services,25 à 34 ans,Femmes+,1,2.1
2015,Atlantique,Magasinage de biens ou de services,35 à 44 ans,"Total, toutes les personnes",1,2.1
2015,Atlantique,Magasinage de biens ou de services,35 à 44 ans,Hommes+,1,1.7
2015,Atlantique,Magasinage de biens ou de services,35 à 44 ans,Femmes+,1,2.1
2015,Atlantique,Magasinage de biens ou de services,45 à 54 ans,"Total, toutes les personnes",1,2.1
2015,Atlantique,Magasinage de biens ou de services,45 à 54 ans,Hommes+,1,0.8
2015,Atlantique,Magasinage de biens ou de services,45 à 54 ans,Femmes+,1,3.3
2015,Atlantique,Magasinage de biens ou de services,55 à 64 ans,"Total, toutes les personnes",1,2.5
2015,Atlantique,Magasinage de biens ou de services,55 à 64 ans,Hommes+,1,1.7
2015,Atlantique,Magasinage de biens ou de services,55 à 64 ans,Femmes+,1,2.9
2015,Atlantique,Magasinage de biens ou de services,65 ans et plus,"Total, toutes les personnes",1,2.9
2015,Atlantique,Magasinage de biens ou de services,65 ans et plus,Hommes+,1,2.9
2015,Atlantique,Magasinage de biens ou de services,65 ans et plus,Femmes+,1,2.5
2015,Québec,"Total, activités de travail non-rémunéré","Total, 15 ans et plus","Total, toutes les personnes",24,12.5
2015,Québec,"Total, activités de travail non-rémunéré","Total, 15 ans et plus",Hommes+,24,10.4
2015,Québec,"Total, activités de travail non-rémunéré","Total, 15 ans et plus",Femmes+,24,14.6
2015,Québec,"Total, activités de travail non-rémunéré",15 à 24 ans,"Total, toutes les personnes",24,5.4
2015,Québec,"Total, activités de travail non-rémunéré",15 à 24 ans,Hommes+,24,4.6
2015,Québec,"Total, activités de travail non-rémunéré",15 à 24 ans,Femmes+,24,5.8
2015,Québec,"Total, activités de travail non-rémunéré",25 à 54 ans,"Total, toutes les personnes",24,13.3
2015,Québec,"Total, activités de travail non-rémunéré",25 à 54 ans,Hommes+,24,10.8
2015,Québec,"Total, activités de travail non-rémunéré",25 à 54 ans,Femmes+,24,15.8
2015,Québec,"Total, activités de travail non-rémunéré",25 à 34 ans,"Total, toutes les personnes",24,12.1
2015,Québec,"Total, activités de travail non-rémunéré",25 à 34 ans,Hommes+,24,8.8
2015,Québec,"Total, activités de travail non-rémunéré",25 à 34 ans,Femmes+,24,15.8
2015,Québec,"Total, activités de travail non-rémunéré",35 à 44 ans,"Total, toutes les personnes",24,15.0
2015,Québec,"Total, activités de travail non-rémunéré",35 à 44 ans,Hommes+,24,12.9
2015,Québec,"Total, activités de travail non-rémunéré",35 à 44 ans,Femmes+,24,17.1
2015,Québec,"Total, activités de travail non-rémunéré",45 à 54 ans,"Total, toutes les personnes",24,12.5
2015,Québec,"Total, activités de travail non-rémunéré",45 à 54 ans,Hommes+,24,10.8
2015,Québec,"Total, activités de travail non-rémunéré",45 à 54 ans,Femmes+,24,14.6
2015,Québec,"Total, activités de travail non-rémunéré",55 à 64 ans,"Total, toutes les personnes",24,13.8
2015,Québec,"Total, activités de travail non-rémunéré",55 à 64 ans,Hommes+,24,11.7
2015,Québec,"Total, activités de travail non-rémunéré",55 à 64 ans,Femmes+,24,15.8
2015,Québec,"Total, activités de travail non-rémunéré",65 ans et plus,"Total, toutes les personnes",24,14.2
2015,Québec,"Total, activités de travail non-rémunéré",65 ans et plus,Hommes+,24,11.7
2015,Québec,"Total, activités de travail non-rémunéré",65 ans et plus,Femmes+,24,16.3
2015,Québec,Tâches ménagères,"Total, 15 ans et plus","Total, toutes les personnes",24,8.8
2015,Québec,Tâches ménagères,"Total, 15 ans et plus",Hommes+,24,7.5
2015,Québec,Tâches ménagères,"Total, 15 ans et plus",Femmes+,24,9.6
2015,Québec,Tâches ménagères,15 à 24 ans,"Total, toutes les personnes",24,3.3
2015,Québec,Tâches ménagères,15 à 24 ans,Hommes+,24,3.8
2015,Québec,Tâches ménagères,15 à 24 ans,Femmes+,24,3.3
2015,Québec,Tâches ménagères,25 à 54 ans,"Total, toutes les personnes",24,8.3
2015,Québec,Tâches ménagères,25 à 54 ans,Hommes+,24,7.1
2015,Québec,Tâches ménagères,25 à 54 ans,Femmes+,24,9.2
2015,Québec,Tâches ménagères,25 à 34 ans,"Total, toutes les personnes",24,6.3
2015,Québec,Tâches ménagères,25 à 34 ans,Hommes+,24,4.6
2015,Québec,Tâches ménagères,25 à 34 ans,Femmes+,24,7.9
2015,Québec,Tâches ménagères,35 à 44 ans,"Total, toutes les personnes",24,8.8
2015,Québec,Tâches ménagères,35 à 44 ans,Hommes+,24,7.9
2015,Québec,Tâches ménagères,35 à 44 ans,Femmes+,24,10.0
2015,Québec,Tâches ménagères,45 à 54 ans,"Total, toutes les personnes",24,9.6
2015,Québec,Tâches ménagères,45 à 54 ans,Hommes+,24,8.8
2015,Québec,Tâches ménagères,45 à 54 ans,Femmes+,24,10.4
2015,Québec,Tâches ménagères,55 à 64 ans,"Total, toutes les personnes",24,10.4
2015,Québec,Tâches ménagères,55 à 64 ans,Hommes+,24,9.2
2015,Québec,Tâches ménagères,55 à 64 ans,Femmes+,24,12.1
2015,Québec,Tâches ménagères,65 ans et plus,"Total, toutes les personnes",24,11.3
2015,Québec,Tâches ménagères,65 ans et plus,Hommes+,24,9.2
2015,Québec,Tâches ménagères,65 ans et plus,Femmes+,24,12.9
2015,Québec,Soins des enfants de moins de 18 ans,"Total, 15 ans et plus","Total, toutes les personnes",24,1.7
2015,Québec,Soins des enfants de moins de 18 ans,"Total, 15 ans et plus",Hommes+,24,1.3
2015,Québec,Soins des enfants de moins de 18 ans,"Total, 15 ans et plus",Femmes+,24,2.1
2015,Québec,Soins des enfants de moins de 18 ans,15 à 24 ans,"Total, toutes les personnes",24,
2015,Québec,Soins des enfants de moins de 18 ans,15 à 24 ans,Hommes+,24,
2015,Québec,Soins des enfants de moins de 18 ans,15 à 24 ans,Femmes+,24,
2015,Québec,Soins des enfants de moins de 18 ans,25 à 54 ans,"Total, toutes les personnes",24,2.9
2015,Québec,Soins des enfants de moins de 18 ans,25 à 54 ans,Hommes+,24,2.1
2015,Québec,Soins des enfants de moins de 18 ans,25 à 54 ans,Femmes+,24,3.8
2015,Québec,Soins des enfants de moins de 18 ans,25 à 34 ans,"Total, toutes les personnes",24,4.2
2015,Québec,Soins des enfants de moins de 18 ans,25 à 34 ans,Hommes+,24,2.5
2015,Québec,Soins des enfants de moins de 18 ans,25 à 34 ans,Femmes+,24,5.8
2015,Québec,Soins des enfants de moins de 18 ans,35 à 44 ans,"Total, toutes les personnes",24,3.8
2015,Québec,Soins des enfants de moins de 18 ans,35 à 44 ans,Hommes+,24,2.9
2015,Québec,Soins des enfants de moins de 18 ans,35 à 44 ans,Femmes+,24,5.0
2015,Québec,Soins des enfants de moins de 18 ans,45 à 54 ans,"Total, toutes les personnes",24,0.8
2015,Québec,Soins des enfants de moins de 18 ans,45 à 54 ans,Hommes+,24,0.8
2015,Québec,Soins des enfants de moins de 18 ans,45 à 54 ans,Femmes+,24,0.8
2015,Québec,Soins des enfants de moins de 18 ans,55 à 64 ans,"Total, toutes les personnes",24,
2015,Québec,Soins des enfants de moins de 18 ans,55 à 64 ans,Hommes+,24,
2015,Québec,Soins des enfants de moins de 18 ans,55 à 64 ans,Femmes+,24,
2015,Québec,Soins des enfants de moins de 18 ans,65 ans et plus,"Total, toutes les personnes",24,0.4
2015,Québec,Soins des enfants de moins de 18 ans,65 ans et plus,Hommes+,24,
2015,Québec,Soins des enfants de moins de 18 ans,65 ans et plus,Femmes+,24,
2015,Québec,Soins des adultes,"Total, 15 ans et plus","Total, toutes les personnes",24,
2015,Québec,Soins des adultes,"Total, 15 ans et plus",Hommes+,24,
2015,Québec,Soins des adultes,"Total, 15 ans et plus",Femmes+,24,
2015,Québec,Soins des adultes,15 à 24 ans,"Total, toutes les personnes",24,
2015,Québec,Soins des adultes,15 à 24 ans,Hommes+,24,
2015,Québec,Soins des adultes,15 à 24 ans,Femmes+,24,0.0
2015,Québec,Soins des adultes,25 à 54 ans,"Total, toutes les personnes",24,
2015,Québec,Soins des adultes,25 à 54 ans,Hommes+,24,
2015,Québec,Soins des adultes,25 à 54 ans,Femmes+,24,
2015,Québec,Soins des adultes,25 à 34 ans,"Total, toutes les personnes",24,
2015,Québec,Soins des adultes,25 à 34 ans,Hommes+,24,
2015,Québec,Soins des adultes,25 à 34 ans,Femmes+,24,
