Year,Géographie,Sexe,Groupe d'âge,Compétences,Niveau de compétence,GeoCode,Value
2012,Terre-Neuve-et-Labrador,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,10,44.3
2012,Terre-Neuve-et-Labrador,Femmes,25 à 34 ans,Alphabétisme,3 ou plus,10,55.7
2012,Terre-Neuve-et-Labrador,Femmes,25 à 34 ans,Arithmétique,2 ou moins,10,57.5
2012,Terre-Neuve-et-Labrador,Femmes,25 à 34 ans,Arithmétique,3 ou plus,10,42.5
2012,Terre-Neuve-et-Labrador,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,10,45.1
2012,Terre-Neuve-et-Labrador,Femmes,35 à 44 ans,Alphabétisme,3 ou plus,10,54.9
2012,Terre-Neuve-et-Labrador,Femmes,35 à 44 ans,Arithmétique,2 ou moins,10,58.6
2012,Terre-Neuve-et-Labrador,Femmes,35 à 44 ans,Arithmétique,3 ou plus,10,41.4
2012,Terre-Neuve-et-Labrador,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,10,61.3
2012,Terre-Neuve-et-Labrador,Femmes,45 à 54 ans,Alphabétisme,3 ou plus,10,38.7
2012,Terre-Neuve-et-Labrador,Femmes,45 à 54 ans,Arithmétique,2 ou moins,10,73.7
2012,Terre-Neuve-et-Labrador,Femmes,45 à 54 ans,Arithmétique,3 ou plus,10,26.3
2012,Terre-Neuve-et-Labrador,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,10,74.4
2012,Terre-Neuve-et-Labrador,Femmes,55 à 65 ans,Alphabétisme,3 ou plus,10,25.6
2012,Terre-Neuve-et-Labrador,Femmes,55 à 65 ans,Arithmétique,2 ou moins,10,86.7
2012,Terre-Neuve-et-Labrador,Femmes,55 à 65 ans,Arithmétique,3 ou plus,10,13.3
2012,Île-du-Prince-Édouard,Les deux sexes,Total,Alphabétisme,2 ou moins,11,45.3
2012,Île-du-Prince-Édouard,Les deux sexes,Total,Alphabétisme,3 ou plus,11,54.7
2012,Île-du-Prince-Édouard,Les deux sexes,Total,Arithmétique,2 ou moins,11,55.8
2012,Île-du-Prince-Édouard,Les deux sexes,Total,Arithmétique,3 ou plus,11,44.2
2012,Île-du-Prince-Édouard,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,11,44.1
2012,Île-du-Prince-Édouard,Les deux sexes,16 à 24 ans,Alphabétisme,3 ou plus,11,55.9
2012,Île-du-Prince-Édouard,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,11,54.3
2012,Île-du-Prince-Édouard,Les deux sexes,16 à 24 ans,Arithmétique,3 ou plus,11,45.7
2012,Île-du-Prince-Édouard,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,11,32.3
2012,Île-du-Prince-Édouard,Les deux sexes,25 à 34 ans,Alphabétisme,3 ou plus,11,67.7
2012,Île-du-Prince-Édouard,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,11,45.5
2012,Île-du-Prince-Édouard,Les deux sexes,25 à 34 ans,Arithmétique,3 ou plus,11,54.5
2012,Île-du-Prince-Édouard,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,11,37.6
2012,Île-du-Prince-Édouard,Les deux sexes,35 à 44 ans,Alphabétisme,3 ou plus,11,62.4
2012,Île-du-Prince-Édouard,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,11,50.3
2012,Île-du-Prince-Édouard,Les deux sexes,35 à 44 ans,Arithmétique,3 ou plus,11,49.7
2012,Île-du-Prince-Édouard,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,11,51.2
2012,Île-du-Prince-Édouard,Les deux sexes,45 à 54 ans,Alphabétisme,3 ou plus,11,48.8
2012,Île-du-Prince-Édouard,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,11,61.0
2012,Île-du-Prince-Édouard,Les deux sexes,45 à 54 ans,Arithmétique,3 ou plus,11,39.0
2012,Île-du-Prince-Édouard,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,11,55.2
2012,Île-du-Prince-Édouard,Les deux sexes,55 à 65 ans,Alphabétisme,3 ou plus,11,44.8
2012,Île-du-Prince-Édouard,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,11,62.9
2012,Île-du-Prince-Édouard,Les deux sexes,55 à 65 ans,Arithmétique,3 ou plus,11,37.1
2012,Île-du-Prince-Édouard,Hommes,Total,Alphabétisme,2 ou moins,11,47.6
2012,Île-du-Prince-Édouard,Hommes,Total,Alphabétisme,3 ou plus,11,52.4
2012,Île-du-Prince-Édouard,Hommes,Total,Arithmétique,2 ou moins,11,54.1
2012,Île-du-Prince-Édouard,Hommes,Total,Arithmétique,3 ou plus,11,45.9
2012,Île-du-Prince-Édouard,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,11,43.6
2012,Île-du-Prince-Édouard,Hommes,16 à 24 ans,Alphabétisme,3 ou plus,11,56.4
2012,Île-du-Prince-Édouard,Hommes,16 à 24 ans,Arithmétique,2 ou moins,11,52.1
2012,Île-du-Prince-Édouard,Hommes,16 à 24 ans,Arithmétique,3 ou plus,11,47.9
2012,Île-du-Prince-Édouard,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,11,32.6
2012,Île-du-Prince-Édouard,Hommes,25 à 34 ans,Alphabétisme,3 ou plus,11,67.4
2012,Île-du-Prince-Édouard,Hommes,25 à 34 ans,Arithmétique,2 ou moins,11,39.9
2012,Île-du-Prince-Édouard,Hommes,25 à 34 ans,Arithmétique,3 ou plus,11,60.1
2012,Île-du-Prince-Édouard,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,11,40.9
2012,Île-du-Prince-Édouard,Hommes,35 à 44 ans,Alphabétisme,3 ou plus,11,59.1
2012,Île-du-Prince-Édouard,Hommes,35 à 44 ans,Arithmétique,2 ou moins,11,48.9
2012,Île-du-Prince-Édouard,Hommes,35 à 44 ans,Arithmétique,3 ou plus,11,51.1
2012,Île-du-Prince-Édouard,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,11,58.8
2012,Île-du-Prince-Édouard,Hommes,45 à 54 ans,Alphabétisme,3 ou plus,11,41.2
2012,Île-du-Prince-Édouard,Hommes,45 à 54 ans,Arithmétique,2 ou moins,11,61.6
2012,Île-du-Prince-Édouard,Hommes,45 à 54 ans,Arithmétique,3 ou plus,11,38.4
2012,Île-du-Prince-Édouard,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,11,54.4
2012,Île-du-Prince-Édouard,Hommes,55 à 65 ans,Alphabétisme,3 ou plus,11,45.6
2012,Île-du-Prince-Édouard,Hommes,55 à 65 ans,Arithmétique,2 ou moins,11,61.4
2012,Île-du-Prince-Édouard,Hommes,55 à 65 ans,Arithmétique,3 ou plus,11,38.6
2012,Île-du-Prince-Édouard,Femmes,Total,Alphabétisme,2 ou moins,11,43.1
2012,Île-du-Prince-Édouard,Femmes,Total,Alphabétisme,3 ou plus,11,56.9
2012,Île-du-Prince-Édouard,Femmes,Total,Arithmétique,2 ou moins,11,57.4
2012,Île-du-Prince-Édouard,Femmes,Total,Arithmétique,3 ou plus,11,42.6
2012,Île-du-Prince-Édouard,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,11,44.5
2012,Île-du-Prince-Édouard,Femmes,16 à 24 ans,Alphabétisme,3 ou plus,11,55.5
2012,Île-du-Prince-Édouard,Femmes,16 à 24 ans,Arithmétique,2 ou moins,11,56.5
2012,Île-du-Prince-Édouard,Femmes,16 à 24 ans,Arithmétique,3 ou plus,11,43.5
2012,Île-du-Prince-Édouard,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,11,32.1
2012,Île-du-Prince-Édouard,Femmes,25 à 34 ans,Alphabétisme,3 ou plus,11,67.9
2012,Île-du-Prince-Édouard,Femmes,25 à 34 ans,Arithmétique,2 ou moins,11,50.5
2012,Île-du-Prince-Édouard,Femmes,25 à 34 ans,Arithmétique,3 ou plus,11,49.5
2012,Île-du-Prince-Édouard,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,11,34.4
2012,Île-du-Prince-Édouard,Femmes,35 à 44 ans,Alphabétisme,3 ou plus,11,65.6
2012,Île-du-Prince-Édouard,Femmes,35 à 44 ans,Arithmétique,2 ou moins,11,51.7
2012,Île-du-Prince-Édouard,Femmes,35 à 44 ans,Arithmétique,3 ou plus,11,48.3
2012,Île-du-Prince-Édouard,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,11,43.7
2012,Île-du-Prince-Édouard,Femmes,45 à 54 ans,Alphabétisme,3 ou plus,11,56.3
2012,Île-du-Prince-Édouard,Femmes,45 à 54 ans,Arithmétique,2 ou moins,11,60.3
2012,Île-du-Prince-Édouard,Femmes,45 à 54 ans,Arithmétique,3 ou plus,11,39.7
2012,Île-du-Prince-Édouard,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,11,56.0
2012,Île-du-Prince-Édouard,Femmes,55 à 65 ans,Alphabétisme,3 ou plus,11,44.0
2012,Île-du-Prince-Édouard,Femmes,55 à 65 ans,Arithmétique,2 ou moins,11,64.4
2012,Île-du-Prince-Édouard,Femmes,55 à 65 ans,Arithmétique,3 ou plus,11,35.6
2012,Nouvelle-Écosse,Les deux sexes,Total,Alphabétisme,2 ou moins,12,50.3
2012,Nouvelle-Écosse,Les deux sexes,Total,Alphabétisme,3 ou plus,12,49.7
2012,Nouvelle-Écosse,Les deux sexes,Total,Arithmétique,2 ou moins,12,58.2
2012,Nouvelle-Écosse,Les deux sexes,Total,Arithmétique,3 ou plus,12,41.8
2012,Nouvelle-Écosse,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,12,54.4
2012,Nouvelle-Écosse,Les deux sexes,16 à 24 ans,Alphabétisme,3 ou plus,12,45.6
2012,Nouvelle-Écosse,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,12,61.3
2012,Nouvelle-Écosse,Les deux sexes,16 à 24 ans,Arithmétique,3 ou plus,12,38.7
2012,Nouvelle-Écosse,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,12,37.7
2012,Nouvelle-Écosse,Les deux sexes,25 à 34 ans,Alphabétisme,3 ou plus,12,62.3
2012,Nouvelle-Écosse,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,12,47.3
2012,Nouvelle-Écosse,Les deux sexes,25 à 34 ans,Arithmétique,3 ou plus,12,52.7
2012,Nouvelle-Écosse,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,12,41.4
2012,Nouvelle-Écosse,Les deux sexes,35 à 44 ans,Alphabétisme,3 ou plus,12,58.6
2012,Nouvelle-Écosse,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,12,49.8
2012,Nouvelle-Écosse,Les deux sexes,35 à 44 ans,Arithmétique,3 ou plus,12,50.2
2012,Nouvelle-Écosse,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,12,52.5
2012,Nouvelle-Écosse,Les deux sexes,45 à 54 ans,Alphabétisme,3 ou plus,12,47.5
2012,Nouvelle-Écosse,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,12,61.1
2012,Nouvelle-Écosse,Les deux sexes,45 à 54 ans,Arithmétique,3 ou plus,12,38.9
2012,Nouvelle-Écosse,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,12,61.2
2012,Nouvelle-Écosse,Les deux sexes,55 à 65 ans,Alphabétisme,3 ou plus,12,38.8
2012,Nouvelle-Écosse,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,12,67.6
2012,Nouvelle-Écosse,Les deux sexes,55 à 65 ans,Arithmétique,3 ou plus,12,32.4
2012,Nouvelle-Écosse,Hommes,Total,Alphabétisme,2 ou moins,12,49.3
2012,Nouvelle-Écosse,Hommes,Total,Alphabétisme,3 ou plus,12,50.7
2012,Nouvelle-Écosse,Hommes,Total,Arithmétique,2 ou moins,12,52.0
2012,Nouvelle-Écosse,Hommes,Total,Arithmétique,3 ou plus,12,48.0
2012,Nouvelle-Écosse,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,12,51.2
2012,Nouvelle-Écosse,Hommes,16 à 24 ans,Alphabétisme,3 ou plus,12,48.8
2012,Nouvelle-Écosse,Hommes,16 à 24 ans,Arithmétique,2 ou moins,12,54.8
2012,Nouvelle-Écosse,Hommes,16 à 24 ans,Arithmétique,3 ou plus,12,45.2
2012,Nouvelle-Écosse,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,12,32.7
2012,Nouvelle-Écosse,Hommes,25 à 34 ans,Alphabétisme,3 ou plus,12,67.3
2012,Nouvelle-Écosse,Hommes,25 à 34 ans,Arithmétique,2 ou moins,12,35.4
2012,Nouvelle-Écosse,Hommes,25 à 34 ans,Arithmétique,3 ou plus,12,64.6
2012,Nouvelle-Écosse,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,12,42.5
2012,Nouvelle-Écosse,Hommes,35 à 44 ans,Alphabétisme,3 ou plus,12,57.5
2012,Nouvelle-Écosse,Hommes,35 à 44 ans,Arithmétique,2 ou moins,12,45.0
2012,Nouvelle-Écosse,Hommes,35 à 44 ans,Arithmétique,3 ou plus,12,55.0
2012,Nouvelle-Écosse,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,12,55.3
2012,Nouvelle-Écosse,Hommes,45 à 54 ans,Alphabétisme,3 ou plus,12,44.7
2012,Nouvelle-Écosse,Hommes,45 à 54 ans,Arithmétique,2 ou moins,12,59.0
2012,Nouvelle-Écosse,Hommes,45 à 54 ans,Arithmétique,3 ou plus,12,41.0
2012,Nouvelle-Écosse,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,12,58.7
2012,Nouvelle-Écosse,Hommes,55 à 65 ans,Alphabétisme,3 ou plus,12,41.3
2012,Nouvelle-Écosse,Hommes,55 à 65 ans,Arithmétique,2 ou moins,12,59.8
2012,Nouvelle-Écosse,Hommes,55 à 65 ans,Arithmétique,3 ou plus,12,40.2
2012,Nouvelle-Écosse,Femmes,Total,Alphabétisme,2 ou moins,12,51.2
2012,Nouvelle-Écosse,Femmes,Total,Alphabétisme,3 ou plus,12,48.8
2012,Nouvelle-Écosse,Femmes,Total,Arithmétique,2 ou moins,12,64.1
2012,Nouvelle-Écosse,Femmes,Total,Arithmétique,3 ou plus,12,35.9
2012,Nouvelle-Écosse,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,12,57.5
2012,Nouvelle-Écosse,Femmes,16 à 24 ans,Alphabétisme,3 ou plus,12,42.5
2012,Nouvelle-Écosse,Femmes,16 à 24 ans,Arithmétique,2 ou moins,12,67.6
2012,Nouvelle-Écosse,Femmes,16 à 24 ans,Arithmétique,3 ou plus,12,32.4
2012,Nouvelle-Écosse,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,12,42.2
2012,Nouvelle-Écosse,Femmes,25 à 34 ans,Alphabétisme,3 ou plus,12,57.8
2012,Nouvelle-Écosse,Femmes,25 à 34 ans,Arithmétique,2 ou moins,12,57.9
2012,Nouvelle-Écosse,Femmes,25 à 34 ans,Arithmétique,3 ou plus,12,42.1
2012,Nouvelle-Écosse,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,12,40.4
2012,Nouvelle-Écosse,Femmes,35 à 44 ans,Alphabétisme,3 ou plus,12,59.6
2012,Nouvelle-Écosse,Femmes,35 à 44 ans,Arithmétique,2 ou moins,12,54.2
2012,Nouvelle-Écosse,Femmes,35 à 44 ans,Arithmétique,3 ou plus,12,45.8
2012,Nouvelle-Écosse,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,12,49.8
2012,Nouvelle-Écosse,Femmes,45 à 54 ans,Alphabétisme,3 ou plus,12,50.2
2012,Nouvelle-Écosse,Femmes,45 à 54 ans,Arithmétique,2 ou moins,12,63.1
2012,Nouvelle-Écosse,Femmes,45 à 54 ans,Arithmétique,3 ou plus,12,36.9
2012,Nouvelle-Écosse,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,12,63.5
