Year,Discrimination Indicators,Geography,Gender,GeoCode,Value
2024 Q1,Discrimination at work,Ontario,Women,35,42.8
2024 Q1,Discrimination at school,Ontario,Women,35,16.0
2024 Q1,Discrimination on the Internet,Ontario,Women,35,17.1
2024 Q1,Discrimination when interacting with the healthcare system,Ontario,Women,35,20.2
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Ontario,Women,35,51.6
2024 Q1,Discrimination by or among friends or family,Ontario,Women,35,20.6
2024 Q1,Discrimination while using public transit,Ontario,Women,35,21.2
2024 Q1,Discrimination in any other situation,Ontario,Women,35,19.5
2024 Q1,Experienced discrimination or unfair treatment in Canada,Manitoba,Total,46,40.3
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Manitoba,Total,46,59.7
2024 Q1,Discrimination at work,Manitoba,Total,46,53.2
2024 Q1,Discrimination at school,Manitoba,Total,46,18.6
2024 Q1,Discrimination on the Internet,Manitoba,Total,46,20.7
2024 Q1,Discrimination when interacting with the healthcare system,Manitoba,Total,46,15.4
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Manitoba,Total,46,44.3
2024 Q1,Discrimination by or among friends or family,Manitoba,Total,46,18.7
2024 Q1,Discrimination while using public transit,Manitoba,Total,46,16.7
2024 Q1,Discrimination in any other situation,Manitoba,Total,46,23.2
2024 Q1,Experienced discrimination or unfair treatment in Canada,Manitoba,Men,46,36.1
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Manitoba,Men,46,63.9
2024 Q1,Discrimination at work,Manitoba,Men,46,60.8
2024 Q1,Discrimination at school,Manitoba,Men,46,14.3
2024 Q1,Discrimination on the Internet,Manitoba,Men,46,17.0
2024 Q1,Discrimination when interacting with the healthcare system,Manitoba,Men,46,15.0
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Manitoba,Men,46,49.2
2024 Q1,Discrimination by or among friends or family,Manitoba,Men,46,14.1
2024 Q1,Discrimination while using public transit,Manitoba,Men,46,20.9
2024 Q1,Discrimination in any other situation,Manitoba,Men,46,30.0
2024 Q1,Experienced discrimination or unfair treatment in Canada,Manitoba,Women,46,44.5
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Manitoba,Women,46,55.5
2024 Q1,Discrimination at work,Manitoba,Women,46,47.2
2024 Q1,Discrimination at school,Manitoba,Women,46,22.0
2024 Q1,Discrimination on the Internet,Manitoba,Women,46,23.6
2024 Q1,Discrimination when interacting with the healthcare system,Manitoba,Women,46,15.7
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Manitoba,Women,46,40.5
2024 Q1,Discrimination by or among friends or family,Manitoba,Women,46,22.2
2024 Q1,Discrimination while using public transit,Manitoba,Women,46,13.5
2024 Q1,Discrimination in any other situation,Manitoba,Women,46,17.8
2024 Q1,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Total,47,38.7
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Total,47,61.3
2024 Q1,Discrimination at work,Saskatchewan,Total,47,37.7
2024 Q1,Discrimination at school,Saskatchewan,Total,47,20.1
2024 Q1,Discrimination on the Internet,Saskatchewan,Total,47,19.4
2024 Q1,Discrimination when interacting with the healthcare system,Saskatchewan,Total,47,23.0
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Saskatchewan,Total,47,43.2
2024 Q1,Discrimination by or among friends or family,Saskatchewan,Total,47,36.0
2024 Q1,Discrimination while using public transit,Saskatchewan,Total,47,11.0
2024 Q1,Discrimination in any other situation,Saskatchewan,Total,47,15.0
2024 Q1,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Men,47,34.1
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Men,47,65.9
2024 Q1,Discrimination at work,Saskatchewan,Men,47,32.1
2024 Q1,Discrimination at school,Saskatchewan,Men,47,22.9
2024 Q1,Discrimination on the Internet,Saskatchewan,Men,47,20.5
2024 Q1,Discrimination when interacting with the healthcare system,Saskatchewan,Men,47,13.5
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Saskatchewan,Men,47,44.4
2024 Q1,Discrimination by or among friends or family,Saskatchewan,Men,47,27.2
2024 Q1,Discrimination while using public transit,Saskatchewan,Men,47,9.2
2024 Q1,Discrimination in any other situation,Saskatchewan,Men,47,13.7
2024 Q1,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Women,47,43.4
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Women,47,56.6
2024 Q1,Discrimination at work,Saskatchewan,Women,47,42.2
2024 Q1,Discrimination at school,Saskatchewan,Women,47,17.8
2024 Q1,Discrimination on the Internet,Saskatchewan,Women,47,18.6
2024 Q1,Discrimination when interacting with the healthcare system,Saskatchewan,Women,47,30.7
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Saskatchewan,Women,47,42.2
2024 Q1,Discrimination by or among friends or family,Saskatchewan,Women,47,42.9
2024 Q1,Discrimination while using public transit,Saskatchewan,Women,47,12.4
2024 Q1,Discrimination in any other situation,Saskatchewan,Women,47,15.9
2024 Q1,Experienced discrimination or unfair treatment in Canada,Alberta,Total,48,41.4
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Alberta,Total,48,58.6
2024 Q1,Discrimination at work,Alberta,Total,48,42.0
2024 Q1,Discrimination at school,Alberta,Total,48,16.0
2024 Q1,Discrimination on the Internet,Alberta,Total,48,22.5
2024 Q1,Discrimination when interacting with the healthcare system,Alberta,Total,48,17.7
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Alberta,Total,48,50.3
2024 Q1,Discrimination by or among friends or family,Alberta,Total,48,27.1
2024 Q1,Discrimination while using public transit,Alberta,Total,48,14.2
2024 Q1,Discrimination in any other situation,Alberta,Total,48,18.8
2024 Q1,Experienced discrimination or unfair treatment in Canada,Alberta,Men,48,37.3
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Alberta,Men,48,62.7
2024 Q1,Discrimination at work,Alberta,Men,48,37.9
2024 Q1,Discrimination at school,Alberta,Men,48,18.9
2024 Q1,Discrimination on the Internet,Alberta,Men,48,20.9
2024 Q1,Discrimination when interacting with the healthcare system,Alberta,Men,48,11.4
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Alberta,Men,48,51.0
2024 Q1,Discrimination by or among friends or family,Alberta,Men,48,28.3
2024 Q1,Discrimination while using public transit,Alberta,Men,48,13.1
2024 Q1,Discrimination in any other situation,Alberta,Men,48,22.3
2024 Q1,Experienced discrimination or unfair treatment in Canada,Alberta,Women,48,45.4
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Alberta,Women,48,54.6
2024 Q1,Discrimination at work,Alberta,Women,48,45.4
2024 Q1,Discrimination at school,Alberta,Women,48,13.7
2024 Q1,Discrimination on the Internet,Alberta,Women,48,23.9
2024 Q1,Discrimination when interacting with the healthcare system,Alberta,Women,48,22.8
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Alberta,Women,48,49.7
2024 Q1,Discrimination by or among friends or family,Alberta,Women,48,26.1
2024 Q1,Discrimination while using public transit,Alberta,Women,48,15.0
2024 Q1,Discrimination in any other situation,Alberta,Women,48,15.9
2024 Q1,Experienced discrimination or unfair treatment in Canada,British Columbia,Total,59,40.4
2024 Q1,Did not experience discrimination or unfair treatment in Canada,British Columbia,Total,59,59.6
2024 Q1,Discrimination at work,British Columbia,Total,59,33.2
2024 Q1,Discrimination at school,British Columbia,Total,59,19.0
2024 Q1,Discrimination on the Internet,British Columbia,Total,59,14.4
2024 Q1,Discrimination when interacting with the healthcare system,British Columbia,Total,59,16.6
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",British Columbia,Total,59,48.3
2024 Q1,Discrimination by or among friends or family,British Columbia,Total,59,22.3
2024 Q1,Discrimination while using public transit,British Columbia,Total,59,15.1
2024 Q1,Discrimination in any other situation,British Columbia,Total,59,21.4
2024 Q1,Experienced discrimination or unfair treatment in Canada,British Columbia,Men,59,35.1
2024 Q1,Did not experience discrimination or unfair treatment in Canada,British Columbia,Men,59,64.9
2024 Q1,Discrimination at work,British Columbia,Men,59,34.8
2024 Q1,Discrimination at school,British Columbia,Men,59,19.3
2024 Q1,Discrimination on the Internet,British Columbia,Men,59,19.9
2024 Q1,Discrimination when interacting with the healthcare system,British Columbia,Men,59,16.0
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",British Columbia,Men,59,48.9
2024 Q1,Discrimination by or among friends or family,British Columbia,Men,59,19.9
2024 Q1,Discrimination while using public transit,British Columbia,Men,59,17.5
2024 Q1,Discrimination in any other situation,British Columbia,Men,59,25.7
2024 Q1,Experienced discrimination or unfair treatment in Canada,British Columbia,Women,59,45.5
2024 Q1,Did not experience discrimination or unfair treatment in Canada,British Columbia,Women,59,54.5
2024 Q1,Discrimination at work,British Columbia,Women,59,32.0
2024 Q1,Discrimination at school,British Columbia,Women,59,18.8
2024 Q1,Discrimination on the Internet,British Columbia,Women,59,10.3
2024 Q1,Discrimination when interacting with the healthcare system,British Columbia,Women,59,17.1
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",British Columbia,Women,59,47.8
2024 Q1,Discrimination by or among friends or family,British Columbia,Women,59,24.2
2024 Q1,Discrimination while using public transit,British Columbia,Women,59,13.3
2024 Q1,Discrimination in any other situation,British Columbia,Women,59,18.2
2024 Q2,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,63.1
2024 Q2,Discrimination at work,Canada,Total,,41.1
2024 Q2,Discrimination at school,Canada,Total,,18.6
2024 Q2,Discrimination on the Internet,Canada,Total,,19.2
2024 Q2,Discrimination when interacting with the healthcare system,Canada,Total,,17.9
2024 Q2,"Discrimination in public areas, a store, bank or restaurant",Canada,Total,,48.2
2024 Q2,Discrimination by or among friends or family,Canada,Total,,22.6
2024 Q2,Discrimination while using public transit,Canada,Total,,19.4
2024 Q2,Discrimination in any other situation,Canada,Total,,19.6
2024 Q2,Experienced discrimination or unfair treatment in Canada,Canada,Men,,32.4
2024 Q2,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,67.6
2024 Q2,Discrimination at work,Canada,Men,,38.8
2024 Q2,Discrimination at school,Canada,Men,,18.5
2024 Q2,Discrimination on the Internet,Canada,Men,,20.9
2024 Q2,Discrimination when interacting with the healthcare system,Canada,Men,,13.9
2024 Q2,"Discrimination in public areas, a store, bank or restaurant",Canada,Men,,48.6
2024 Q2,Discrimination by or among friends or family,Canada,Men,,21.9
2024 Q2,Discrimination while using public transit,Canada,Men,,19.5
2024 Q2,Discrimination in any other situation,Canada,Men,,21.9
2024 Q2,Experienced discrimination or unfair treatment in Canada,Canada,Women,,41.4
2024 Q2,Did not experience discrimination or unfair treatment in Canada,Canada,Women,,58.6
2024 Q2,Discrimination at work,Canada,Women,,42.9
2024 Q2,Discrimination at school,Canada,Women,,18.7
2024 Q2,Discrimination on the Internet,Canada,Women,,18.0
2024 Q2,Discrimination when interacting with the healthcare system,Canada,Women,,21.1
2024 Q2,"Discrimination in public areas, a store, bank or restaurant",Canada,Women,,47.9
2024 Q2,Discrimination by or among friends or family,Canada,Women,,23.2
2024 Q2,Discrimination while using public transit,Canada,Women,,19.3
2024 Q2,Discrimination in any other situation,Canada,Women,,17.8
2024 Q2,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,10,23.9
2024 Q2,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,10,76.1
2024 Q2,Discrimination at work,Newfoundland and Labrador,Total,10,31.7
2024 Q2,Discrimination at school,Newfoundland and Labrador,Total,10,22.2
2024 Q2,Discrimination on the Internet,Newfoundland and Labrador,Total,10,23.8
2024 Q2,Discrimination when interacting with the healthcare system,Newfoundland and Labrador,Total,10,19.3
2024 Q2,"Discrimination in public areas, a store, bank or restaurant",Newfoundland and Labrador,Total,10,34.1
2024 Q2,Discrimination by or among friends or family,Newfoundland and Labrador,Total,10,24.3
2024 Q2,Discrimination while using public transit,Newfoundland and Labrador,Total,10,6.6
2024 Q2,Discrimination in any other situation,Newfoundland and Labrador,Total,10,18.3
2024 Q2,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,10,22.0
2024 Q2,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,10,78.0
2024 Q2,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,10,25.8
2024 Q2,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,10,74.2
2024 Q2,Discrimination at work,Newfoundland and Labrador,Women,10,30.9
2024 Q2,Discrimination at school,Newfoundland and Labrador,Women,10,24.6
2024 Q2,Discrimination on the Internet,Newfoundland and Labrador,Women,10,24.6
2024 Q2,Discrimination when interacting with the healthcare system,Newfoundland and Labrador,Women,10,20.1
2024 Q2,"Discrimination in public areas, a store, bank or restaurant",Newfoundland and Labrador,Women,10,35.1
2024 Q2,Discrimination by or among friends or family,Newfoundland and Labrador,Women,10,33.3
2024 Q2,Discrimination in any other situation,Newfoundland and Labrador,Women,10,12.9
2024 Q2,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Total,11,31.0
2024 Q2,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Total,11,69.0
2024 Q2,Discrimination at work,Prince Edward Island,Total,11,37.9
2024 Q2,Discrimination at school,Prince Edward Island,Total,11,32.3
2024 Q2,Discrimination on the Internet,Prince Edward Island,Total,11,21.6
