Year,Series,Units,Activité économique,Value
2008,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.46
2008,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,11.69
2008,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,160.12
2009,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,9.85
2009,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,170.69
2009,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.4
2009,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,32.2
2010,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,31.79
2010,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.18
2010,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,10.97
2010,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,179.33
2011,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,33.75
2011,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.21
2011,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,11.93
2011,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,189.43
2012,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,195.48
2012,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,35.25
2012,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.22
2012,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,12.14
2013,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.26
2013,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,12.67
2013,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,201.89
2013,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,37.1
2014,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,39.35
2014,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.25
2014,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,13.61
2014,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,207.07
2015,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,215.44
2015,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,12.41
2015,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.37
2015,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,40.5
2016,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,40.22
2016,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.33
2016,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,11.89
2016,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,223.65
2017,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,40.77
2017,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.29
2017,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,12.75
2017,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,230.38
2018,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,236.63
2018,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.26
2018,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,42.16
2018,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,13.46
2019,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,43.2
2019,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.25
2019,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,13.39
2019,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,244.7
2020,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,41.24
2020,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.25
2020,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,11.73
2020,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,238.9
2021,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.28
2021,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,245.82
2021,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,13.14
2021,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,43.11
2022,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,44.85
2022,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.32
2022,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,13.43
2022,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,256.7
2023,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,45.43
2023,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.33
2023,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,13.45
2023,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,260.87
