Year,Series,Units,Value
2014,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40418.93888
2015,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40412.6741
2016,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40406.51923
2017,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40400.36436
2018,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40394.64912
2019,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40389.15369
2020,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40383.54836
2021,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40378.05294
2022,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40372.66743
1990,Superficie forestière,Hectares (Millions),368883.0
1991,Superficie forestière,Hectares (Millions),368829.0
1992,Superficie forestière,Hectares (Millions),368774.0
1993,Superficie forestière,Hectares (Millions),368724.0
1994,Superficie forestière,Hectares (Millions),368647.0
1995,Superficie forestière,Hectares (Millions),368607.0
1996,Superficie forestière,Hectares (Millions),368572.0
1997,Superficie forestière,Hectares (Millions),368535.0
1998,Superficie forestière,Hectares (Millions),368498.0
1999,Superficie forestière,Hectares (Millions),368456.0
2000,Superficie forestière,Hectares (Millions),368411.0
2001,Superficie forestière,Hectares (Millions),368372.0
2002,Superficie forestière,Hectares (Millions),368333.0
2003,Superficie forestière,Hectares (Millions),368281.0
2004,Superficie forestière,Hectares (Millions),368232.0
2005,Superficie forestière,Hectares (Millions),368184.0
2006,Superficie forestière,Hectares (Millions),368140.0
2007,Superficie forestière,Hectares (Millions),368064.0
2008,Superficie forestière,Hectares (Millions),368017.0
2009,Superficie forestière,Hectares (Millions),367971.0
2010,Superficie forestière,Hectares (Millions),367929.0
2011,Superficie forestière,Hectares (Millions),367889.0
2012,Superficie forestière,Hectares (Millions),367847.0
2013,Superficie forestière,Hectares (Millions),367804.0
2014,Superficie forestière,Hectares (Millions),367751.0
2015,Superficie forestière,Hectares (Millions),367694.0
2016,Superficie forestière,Hectares (Millions),367638.0
2017,Superficie forestière,Hectares (Millions),367582.0
2018,Superficie forestière,Hectares (Millions),367530.0
2019,Superficie forestière,Hectares (Millions),367480.0
2020,Superficie forestière,Hectares (Millions),367429.0
2021,Superficie forestière,Hectares (Millions),367379.0
2022,Superficie forestière,Hectares (Millions),367330.0
1990,Superficie terrestre,Hectares,909848230.0
1991,Superficie terrestre,Hectares,909848230.0
1992,Superficie terrestre,Hectares,909848230.0
1993,Superficie terrestre,Hectares,909848230.0
1994,Superficie terrestre,Hectares,909848230.0
1995,Superficie terrestre,Hectares,909848230.0
1996,Superficie terrestre,Hectares,909848230.0
1997,Superficie terrestre,Hectares,909848230.0
1998,Superficie terrestre,Hectares,909848230.0
1999,Superficie terrestre,Hectares,909848230.0
2000,Superficie terrestre,Hectares,909848230.0
2001,Superficie terrestre,Hectares,909848230.0
2002,Superficie terrestre,Hectares,909848230.0
2003,Superficie terrestre,Hectares,909848230.0
2004,Superficie terrestre,Hectares,909848230.0
2005,Superficie terrestre,Hectares,909848230.0
2006,Superficie terrestre,Hectares,909848230.0
2007,Superficie terrestre,Hectares,909848230.0
2008,Superficie terrestre,Hectares,909848230.0
2009,Superficie terrestre,Hectares,909848230.0
2010,Superficie terrestre,Hectares,909848230.0
2011,Superficie terrestre,Hectares,909848230.0
2012,Superficie terrestre,Hectares,909848230.0
2013,Superficie terrestre,Hectares,909848230.0
2014,Superficie terrestre,Hectares,909848230.0
2015,Superficie terrestre,Hectares,909848230.0
2016,Superficie terrestre,Hectares,909848230.0
2017,Superficie terrestre,Hectares,909848230.0
2018,Superficie terrestre,Hectares,909848230.0
2019,Superficie terrestre,Hectares,909848230.0
2020,Superficie terrestre,Hectares,909848230.0
2021,Superficie terrestre,Hectares,909848230.0
2022,Superficie terrestre,Hectares,909848230.0
