Year,Géographie,Âge,Sexe,Cause of death,Value
2015,Canada,45 à 49 ans,Femmes,Transport accidents,3.6
2015,Canada,45 à 49 ans,Femmes,Motor vehicle accidents,3.5
2015,Canada,45 à 49 ans,Femmes,Other land transport accidents,0.0
2015,Canada,50 à 54 ans,Les deux sexes,Transport accidents,6.7
2015,Canada,50 à 54 ans,Les deux sexes,Motor vehicle accidents,5.7
2015,Canada,50 à 54 ans,Les deux sexes,Other land transport accidents,0.1
2015,Canada,50 à 54 ans,Hommes,Transport accidents,10.8
2015,Canada,50 à 54 ans,Hommes,Motor vehicle accidents,9.1
2015,Canada,50 à 54 ans,Hommes,Other land transport accidents,0.1
2015,Canada,50 à 54 ans,Femmes,Transport accidents,2.5
2015,Canada,50 à 54 ans,Femmes,Motor vehicle accidents,2.3
2015,Canada,50 à 54 ans,Femmes,Other land transport accidents,0.1
2015,Canada,55 à 59 ans,Les deux sexes,Transport accidents,8.1
2015,Canada,55 à 59 ans,Les deux sexes,Motor vehicle accidents,6.7
2015,Canada,55 à 59 ans,Les deux sexes,Other land transport accidents,0.2
2015,Canada,55 à 59 ans,Hommes,Transport accidents,13.4
2015,Canada,55 à 59 ans,Hommes,Motor vehicle accidents,11.0
2015,Canada,55 à 59 ans,Hommes,Other land transport accidents,0.4
2015,Canada,55 à 59 ans,Femmes,Transport accidents,2.8
2015,Canada,55 à 59 ans,Femmes,Motor vehicle accidents,2.5
2015,Canada,55 à 59 ans,Femmes,Other land transport accidents,0.1
2015,Canada,60 à 64 ans,Les deux sexes,Transport accidents,6.8
2015,Canada,60 à 64 ans,Les deux sexes,Motor vehicle accidents,5.7
2015,Canada,60 à 64 ans,Les deux sexes,Other land transport accidents,0.4
2015,Canada,60 à 64 ans,Hommes,Transport accidents,10.7
2015,Canada,60 à 64 ans,Hommes,Motor vehicle accidents,8.7
2015,Canada,60 à 64 ans,Hommes,Other land transport accidents,0.5
2015,Canada,60 à 64 ans,Femmes,Transport accidents,3.1
2015,Canada,60 à 64 ans,Femmes,Motor vehicle accidents,2.7
2015,Canada,60 à 64 ans,Femmes,Other land transport accidents,0.2
2015,Canada,65 à 69 ans,Les deux sexes,Transport accidents,6.6
2015,Canada,65 à 69 ans,Les deux sexes,Motor vehicle accidents,5.4
2015,Canada,65 à 69 ans,Les deux sexes,Other land transport accidents,0.2
2015,Canada,65 à 69 ans,Hommes,Transport accidents,8.6
2015,Canada,65 à 69 ans,Hommes,Motor vehicle accidents,7.0
2015,Canada,65 à 69 ans,Hommes,Other land transport accidents,0.1
2015,Canada,65 à 69 ans,Femmes,Transport accidents,4.7
2015,Canada,65 à 69 ans,Femmes,Motor vehicle accidents,4.0
2015,Canada,65 à 69 ans,Femmes,Other land transport accidents,0.2
2015,Canada,70 to 74 years,Les deux sexes,Transport accidents,8.1
2015,Canada,70 to 74 years,Les deux sexes,Motor vehicle accidents,7.1
2015,Canada,70 to 74 years,Les deux sexes,Other land transport accidents,0.2
2015,Canada,70 to 74 years,Hommes,Transport accidents,11.5
2015,Canada,70 to 74 years,Hommes,Motor vehicle accidents,9.7
2015,Canada,70 to 74 years,Hommes,Other land transport accidents,0.5
2015,Canada,70 to 74 years,Femmes,Transport accidents,5.0
2015,Canada,70 to 74 years,Femmes,Motor vehicle accidents,4.7
2015,Canada,70 to 74 years,Femmes,Other land transport accidents,0.0
2015,Canada,75 to 79 years,Les deux sexes,Transport accidents,10.5
2015,Canada,75 to 79 years,Les deux sexes,Motor vehicle accidents,9.9
2015,Canada,75 to 79 years,Les deux sexes,Other land transport accidents,0.2
2015,Canada,75 to 79 years,Hommes,Transport accidents,15.3
2015,Canada,75 to 79 years,Hommes,Motor vehicle accidents,14.2
2015,Canada,75 to 79 years,Hommes,Other land transport accidents,0.2
2015,Canada,75 to 79 years,Femmes,Transport accidents,6.4
2015,Canada,75 to 79 years,Femmes,Motor vehicle accidents,6.3
2015,Canada,75 to 79 years,Femmes,Other land transport accidents,0.2
2015,Canada,80 to 84 years,Les deux sexes,Transport accidents,14.5
2015,Canada,80 to 84 years,Les deux sexes,Motor vehicle accidents,13.3
2015,Canada,80 to 84 years,Les deux sexes,Other land transport accidents,0.4
2015,Canada,80 to 84 years,Hommes,Transport accidents,20.0
2015,Canada,80 to 84 years,Hommes,Motor vehicle accidents,18.1
2015,Canada,80 to 84 years,Hommes,Other land transport accidents,0.6
2015,Canada,80 to 84 years,Femmes,Transport accidents,10.3
2015,Canada,80 to 84 years,Femmes,Motor vehicle accidents,9.6
2015,Canada,80 to 84 years,Femmes,Other land transport accidents,0.2
2015,Canada,85 to 89 years,Les deux sexes,Transport accidents,14.4
2015,Canada,85 to 89 years,Les deux sexes,Motor vehicle accidents,13.4
2015,Canada,85 to 89 years,Les deux sexes,Other land transport accidents,0.4
2015,Canada,85 to 89 years,Hommes,Transport accidents,23.3
2015,Canada,85 to 89 years,Hommes,Motor vehicle accidents,20.5
2015,Canada,85 to 89 years,Hommes,Other land transport accidents,1.1
2015,Canada,85 to 89 years,Femmes,Transport accidents,9.1
2015,Canada,85 to 89 years,Femmes,Motor vehicle accidents,9.1
2015,Canada,85 to 89 years,Femmes,Other land transport accidents,0.0
2015,Canada,90 years and over,Les deux sexes,Transport accidents,14.0
2015,Canada,90 years and over,Les deux sexes,Motor vehicle accidents,13.6
2015,Canada,90 years and over,Les deux sexes,Other land transport accidents,0.0
2015,Canada,90 years and over,Hommes,Transport accidents,24.0
2015,Canada,90 years and over,Hommes,Motor vehicle accidents,24.0
2015,Canada,90 years and over,Hommes,Other land transport accidents,0.0
2015,Canada,90 years and over,Femmes,Transport accidents,10.0
2015,Canada,90 years and over,Femmes,Motor vehicle accidents,9.5
2015,Canada,90 years and over,Femmes,Other land transport accidents,0.0
2015,Canada,Not stated,Les deux sexes,Transport accidents,0.0
2015,Canada,Not stated,Les deux sexes,Motor vehicle accidents,0.0
2015,Canada,Not stated,Les deux sexes,Other land transport accidents,0.0
2015,Canada,Not stated,Hommes,Transport accidents,0.0
2015,Canada,Not stated,Hommes,Motor vehicle accidents,0.0
2015,Canada,Not stated,Hommes,Other land transport accidents,0.0
2015,Canada,Not stated,Femmes,Transport accidents,0.0
2015,Canada,Not stated,Femmes,Motor vehicle accidents,0.0
2015,Canada,Not stated,Femmes,Other land transport accidents,0.0
2016,Canada,All ages,Les deux sexes,Transport accidents,5.9
2016,Canada,All ages,Les deux sexes,Motor vehicle accidents,5.4
2016,Canada,All ages,Les deux sexes,Other land transport accidents,0.1
2016,Canada,All ages,Hommes,Transport accidents,8.4
2016,Canada,All ages,Hommes,Motor vehicle accidents,7.6
2016,Canada,All ages,Hommes,Other land transport accidents,0.2
2016,Canada,All ages,Femmes,Transport accidents,3.5
2016,Canada,All ages,Femmes,Motor vehicle accidents,3.2
2016,Canada,All ages,Femmes,Other land transport accidents,0.1
2016,Canada,Under 1 year,Les deux sexes,Transport accidents,0.5
2016,Canada,Under 1 year,Les deux sexes,Motor vehicle accidents,0.5
2016,Canada,Under 1 year,Les deux sexes,Other land transport accidents,0.0
2016,Canada,Under 1 year,Hommes,Transport accidents,0.5
2016,Canada,Under 1 year,Hommes,Motor vehicle accidents,0.5
2016,Canada,Under 1 year,Hommes,Other land transport accidents,0.0
2016,Canada,Under 1 year,Femmes,Transport accidents,0.5
2016,Canada,Under 1 year,Femmes,Motor vehicle accidents,0.5
2016,Canada,Under 1 year,Femmes,Other land transport accidents,0.0
2016,Canada,1 to 4 years,Les deux sexes,Transport accidents,1.3
2016,Canada,1 to 4 years,Les deux sexes,Motor vehicle accidents,1.2
2016,Canada,1 to 4 years,Les deux sexes,Other land transport accidents,0.1
2016,Canada,1 to 4 years,Hommes,Transport accidents,1.6
2016,Canada,1 to 4 years,Hommes,Motor vehicle accidents,1.5
2016,Canada,1 to 4 years,Hommes,Other land transport accidents,0.1
2016,Canada,1 to 4 years,Femmes,Transport accidents,0.9
2016,Canada,1 to 4 years,Femmes,Motor vehicle accidents,0.9
2016,Canada,1 to 4 years,Femmes,Other land transport accidents,0.0
2016,Canada,5 to 9 years,Les deux sexes,Transport accidents,1.0
2016,Canada,5 to 9 years,Les deux sexes,Motor vehicle accidents,0.9
2016,Canada,5 to 9 years,Les deux sexes,Other land transport accidents,0.0
2016,Canada,5 to 9 years,Hommes,Transport accidents,1.0
2016,Canada,5 to 9 years,Hommes,Motor vehicle accidents,1.0
2016,Canada,5 to 9 years,Hommes,Other land transport accidents,0.0
2016,Canada,5 to 9 years,Femmes,Transport accidents,0.9
2016,Canada,5 to 9 years,Femmes,Motor vehicle accidents,0.8
2016,Canada,5 to 9 years,Femmes,Other land transport accidents,0.0
2016,Canada,10 to 14 years,Les deux sexes,Transport accidents,1.4
2016,Canada,10 to 14 years,Les deux sexes,Motor vehicle accidents,1.4
2016,Canada,10 to 14 years,Les deux sexes,Other land transport accidents,0.1
2016,Canada,10 to 14 years,Hommes,Transport accidents,1.8
2016,Canada,10 to 14 years,Hommes,Motor vehicle accidents,1.7
2016,Canada,10 to 14 years,Hommes,Other land transport accidents,0.1
2016,Canada,10 to 14 years,Femmes,Transport accidents,1.1
2016,Canada,10 to 14 years,Femmes,Motor vehicle accidents,1.1
2016,Canada,10 to 14 years,Femmes,Other land transport accidents,0.0
2016,Canada,15 à 19 ans,Les deux sexes,Transport accidents,6.5
2016,Canada,15 à 19 ans,Les deux sexes,Motor vehicle accidents,6.0
2016,Canada,15 à 19 ans,Les deux sexes,Other land transport accidents,0.3
2016,Canada,15 à 19 ans,Hommes,Transport accidents,8.1
2016,Canada,15 à 19 ans,Hommes,Motor vehicle accidents,7.3
2016,Canada,15 à 19 ans,Hommes,Other land transport accidents,0.5
2016,Canada,15 à 19 ans,Femmes,Transport accidents,4.8
2016,Canada,15 à 19 ans,Femmes,Motor vehicle accidents,4.7
2016,Canada,15 à 19 ans,Femmes,Other land transport accidents,0.1
2016,Canada,20 à 24 ans,Les deux sexes,Transport accidents,8.3
2016,Canada,20 à 24 ans,Les deux sexes,Motor vehicle accidents,7.7
2016,Canada,20 à 24 ans,Les deux sexes,Other land transport accidents,0.1
2016,Canada,20 à 24 ans,Hommes,Transport accidents,12.5
2016,Canada,20 à 24 ans,Hommes,Motor vehicle accidents,11.5
2016,Canada,20 à 24 ans,Hommes,Other land transport accidents,0.2
2016,Canada,20 à 24 ans,Femmes,Transport accidents,3.9
2016,Canada,20 à 24 ans,Femmes,Motor vehicle accidents,3.7
2016,Canada,20 à 24 ans,Femmes,Other land transport accidents,0.1
2016,Canada,25 à 29 ans,Les deux sexes,Transport accidents,7.9
2016,Canada,25 à 29 ans,Les deux sexes,Motor vehicle accidents,7.5
2016,Canada,25 à 29 ans,Les deux sexes,Other land transport accidents,0.2
2016,Canada,25 à 29 ans,Hommes,Transport accidents,11.5
2016,Canada,25 à 29 ans,Hommes,Motor vehicle accidents,11.0
2016,Canada,25 à 29 ans,Hommes,Other land transport accidents,0.3
2016,Canada,25 à 29 ans,Femmes,Transport accidents,4.2
2016,Canada,25 à 29 ans,Femmes,Motor vehicle accidents,4.0
2016,Canada,25 à 29 ans,Femmes,Other land transport accidents,0.0
2016,Canada,30 à 34 ans,Les deux sexes,Transport accidents,5.8
2016,Canada,30 à 34 ans,Les deux sexes,Motor vehicle accidents,5.5
2016,Canada,30 à 34 ans,Les deux sexes,Other land transport accidents,0.0
2016,Canada,30 à 34 ans,Hommes,Transport accidents,8.5
2016,Canada,30 à 34 ans,Hommes,Motor vehicle accidents,8.1
2016,Canada,30 à 34 ans,Hommes,Other land transport accidents,0.0
2016,Canada,30 à 34 ans,Femmes,Transport accidents,3.2
2016,Canada,30 à 34 ans,Femmes,Motor vehicle accidents,3.0
2016,Canada,30 à 34 ans,Femmes,Other land transport accidents,0.1
2016,Canada,35 à 39 ans,Les deux sexes,Transport accidents,5.0
2016,Canada,35 à 39 ans,Les deux sexes,Motor vehicle accidents,4.6
2016,Canada,35 à 39 ans,Les deux sexes,Other land transport accidents,0.1
2016,Canada,35 à 39 ans,Hommes,Transport accidents,7.2
2016,Canada,35 à 39 ans,Hommes,Motor vehicle accidents,6.6
2016,Canada,35 à 39 ans,Hommes,Other land transport accidents,0.2
2016,Canada,35 à 39 ans,Femmes,Transport accidents,2.8
2016,Canada,35 à 39 ans,Femmes,Motor vehicle accidents,2.7
2016,Canada,35 à 39 ans,Femmes,Other land transport accidents,0.1
2016,Canada,40 à 44 ans,Les deux sexes,Transport accidents,5.5
2016,Canada,40 à 44 ans,Les deux sexes,Motor vehicle accidents,5.0
2016,Canada,40 à 44 ans,Les deux sexes,Other land transport accidents,0.1
2016,Canada,40 à 44 ans,Hommes,Transport accidents,8.7
2016,Canada,40 à 44 ans,Hommes,Motor vehicle accidents,8.0
2016,Canada,40 à 44 ans,Hommes,Other land transport accidents,0.2
2016,Canada,40 à 44 ans,Femmes,Transport accidents,2.2
2016,Canada,40 à 44 ans,Femmes,Motor vehicle accidents,2.0
2016,Canada,40 à 44 ans,Femmes,Other land transport accidents,0.1
2016,Canada,45 à 49 ans,Les deux sexes,Transport accidents,5.1
2016,Canada,45 à 49 ans,Les deux sexes,Motor vehicle accidents,4.5
2016,Canada,45 à 49 ans,Les deux sexes,Other land transport accidents,0.1
2016,Canada,45 à 49 ans,Hommes,Transport accidents,8.1
2016,Canada,45 à 49 ans,Hommes,Motor vehicle accidents,7.1
2016,Canada,45 à 49 ans,Hommes,Other land transport accidents,0.2
2016,Canada,45 à 49 ans,Femmes,Transport accidents,2.1
2016,Canada,45 à 49 ans,Femmes,Motor vehicle accidents,1.9
2016,Canada,45 à 49 ans,Femmes,Other land transport accidents,0.0
2016,Canada,50 à 54 ans,Les deux sexes,Transport accidents,5.7
2016,Canada,50 à 54 ans,Les deux sexes,Motor vehicle accidents,5.2
2016,Canada,50 à 54 ans,Les deux sexes,Other land transport accidents,0.1
2016,Canada,50 à 54 ans,Hommes,Transport accidents,8.4
2016,Canada,50 à 54 ans,Hommes,Motor vehicle accidents,7.4
2016,Canada,50 à 54 ans,Hommes,Other land transport accidents,0.3
2016,Canada,50 à 54 ans,Femmes,Transport accidents,3.0
2016,Canada,50 à 54 ans,Femmes,Motor vehicle accidents,2.9
2016,Canada,50 à 54 ans,Femmes,Other land transport accidents,0.0
2016,Canada,55 à 59 ans,Les deux sexes,Transport accidents,6.6
2016,Canada,55 à 59 ans,Les deux sexes,Motor vehicle accidents,5.5
2016,Canada,55 à 59 ans,Les deux sexes,Other land transport accidents,0.2
2016,Canada,55 à 59 ans,Hommes,Transport accidents,10.0
2016,Canada,55 à 59 ans,Hommes,Motor vehicle accidents,8.2
2016,Canada,55 à 59 ans,Hommes,Other land transport accidents,0.3
2016,Canada,55 à 59 ans,Femmes,Transport accidents,3.2
2016,Canada,55 à 59 ans,Femmes,Motor vehicle accidents,2.8
2016,Canada,55 à 59 ans,Femmes,Other land transport accidents,0.0
2016,Canada,60 à 64 ans,Les deux sexes,Transport accidents,6.7
2016,Canada,60 à 64 ans,Les deux sexes,Motor vehicle accidents,5.8
2016,Canada,60 à 64 ans,Les deux sexes,Other land transport accidents,0.1
2016,Canada,60 à 64 ans,Hommes,Transport accidents,10.7
2016,Canada,60 à 64 ans,Hommes,Motor vehicle accidents,9.1
2016,Canada,60 à 64 ans,Hommes,Other land transport accidents,0.1
2016,Canada,60 à 64 ans,Femmes,Transport accidents,2.8
2016,Canada,60 à 64 ans,Femmes,Motor vehicle accidents,2.6
2016,Canada,60 à 64 ans,Femmes,Other land transport accidents,0.1
2016,Canada,65 à 69 ans,Les deux sexes,Transport accidents,6.6
2016,Canada,65 à 69 ans,Les deux sexes,Motor vehicle accidents,5.7
2016,Canada,65 à 69 ans,Les deux sexes,Other land transport accidents,0.3
2016,Canada,65 à 69 ans,Hommes,Transport accidents,8.5
2016,Canada,65 à 69 ans,Hommes,Motor vehicle accidents,7.3
2016,Canada,65 à 69 ans,Hommes,Other land transport accidents,0.4
2016,Canada,65 à 69 ans,Femmes,Transport accidents,4.7
2016,Canada,65 à 69 ans,Femmes,Motor vehicle accidents,4.2
2016,Canada,65 à 69 ans,Femmes,Other land transport accidents,0.1
2016,Canada,70 to 74 years,Les deux sexes,Transport accidents,7.6
2016,Canada,70 to 74 years,Les deux sexes,Motor vehicle accidents,6.9
2016,Canada,70 to 74 years,Les deux sexes,Other land transport accidents,0.1
2016,Canada,70 to 74 years,Hommes,Transport accidents,10.2
2016,Canada,70 to 74 years,Hommes,Motor vehicle accidents,9.2
2016,Canada,70 to 74 years,Hommes,Other land transport accidents,0.0
2016,Canada,70 to 74 years,Femmes,Transport accidents,5.2
2016,Canada,70 to 74 years,Femmes,Motor vehicle accidents,4.8
2016,Canada,70 to 74 years,Femmes,Other land transport accidents,0.3
2016,Canada,75 to 79 years,Les deux sexes,Transport accidents,8.9
2016,Canada,75 to 79 years,Les deux sexes,Motor vehicle accidents,7.5
2016,Canada,75 to 79 years,Les deux sexes,Other land transport accidents,0.6
2016,Canada,75 to 79 years,Hommes,Transport accidents,11.4
2016,Canada,75 to 79 years,Hommes,Motor vehicle accidents,9.7
2016,Canada,75 to 79 years,Hommes,Other land transport accidents,0.8
2016,Canada,75 to 79 years,Femmes,Transport accidents,6.8
2016,Canada,75 to 79 years,Femmes,Motor vehicle accidents,5.7
2016,Canada,75 to 79 years,Femmes,Other land transport accidents,0.4
2016,Canada,80 to 84 years,Les deux sexes,Transport accidents,12.9
2016,Canada,80 to 84 years,Les deux sexes,Motor vehicle accidents,12.1
2016,Canada,80 to 84 years,Les deux sexes,Other land transport accidents,0.1
2016,Canada,80 to 84 years,Hommes,Transport accidents,15.4
2016,Canada,80 to 84 years,Hommes,Motor vehicle accidents,14.1
2016,Canada,80 to 84 years,Hommes,Other land transport accidents,0.0
2016,Canada,80 to 84 years,Femmes,Transport accidents,11.0
2016,Canada,80 to 84 years,Femmes,Motor vehicle accidents,10.5
2016,Canada,80 to 84 years,Femmes,Other land transport accidents,0.2
2016,Canada,85 to 89 years,Les deux sexes,Transport accidents,13.4
2016,Canada,85 to 89 years,Les deux sexes,Motor vehicle accidents,13.2
2016,Canada,85 to 89 years,Les deux sexes,Other land transport accidents,0.0
2016,Canada,85 to 89 years,Hommes,Transport accidents,19.1
2016,Canada,85 to 89 years,Hommes,Motor vehicle accidents,18.6
2016,Canada,85 to 89 years,Hommes,Other land transport accidents,0.0
2016,Canada,85 to 89 years,Femmes,Transport accidents,9.9
2016,Canada,85 to 89 years,Femmes,Motor vehicle accidents,9.9
2016,Canada,85 to 89 years,Femmes,Other land transport accidents,0.0
2016,Canada,90 years and over,Les deux sexes,Transport accidents,13.3
2016,Canada,90 years and over,Les deux sexes,Motor vehicle accidents,13.0
2016,Canada,90 years and over,Les deux sexes,Other land transport accidents,0.0
2016,Canada,90 years and over,Hommes,Transport accidents,27.2
2016,Canada,90 years and over,Hommes,Motor vehicle accidents,27.2
2016,Canada,90 years and over,Hommes,Other land transport accidents,0.0
2016,Canada,90 years and over,Femmes,Transport accidents,7.7
2016,Canada,90 years and over,Femmes,Motor vehicle accidents,7.2
2016,Canada,90 years and over,Femmes,Other land transport accidents,0.0
2016,Canada,Not stated,Les deux sexes,Transport accidents,0.0
2016,Canada,Not stated,Les deux sexes,Motor vehicle accidents,0.0
2016,Canada,Not stated,Les deux sexes,Other land transport accidents,0.0
2016,Canada,Not stated,Hommes,Transport accidents,0.0
2016,Canada,Not stated,Hommes,Motor vehicle accidents,0.0
2016,Canada,Not stated,Hommes,Other land transport accidents,0.0
2016,Canada,Not stated,Femmes,Transport accidents,0.0
2016,Canada,Not stated,Femmes,Motor vehicle accidents,0.0
2016,Canada,Not stated,Femmes,Other land transport accidents,0.0
2017,Canada,All ages,Les deux sexes,Transport accidents,5.4
2017,Canada,All ages,Les deux sexes,Motor vehicle accidents,4.8
2017,Canada,All ages,Les deux sexes,Other land transport accidents,0.2
2017,Canada,All ages,Hommes,Transport accidents,7.8
2017,Canada,All ages,Hommes,Motor vehicle accidents,6.8
2017,Canada,All ages,Hommes,Other land transport accidents,0.3
2017,Canada,All ages,Femmes,Transport accidents,3.0
2017,Canada,All ages,Femmes,Motor vehicle accidents,2.8
2017,Canada,All ages,Femmes,Other land transport accidents,0.1
2017,Canada,Under 1 year,Les deux sexes,Transport accidents,0.3
2017,Canada,Under 1 year,Les deux sexes,Motor vehicle accidents,0.3
2017,Canada,Under 1 year,Les deux sexes,Other land transport accidents,0.0
2017,Canada,Under 1 year,Hommes,Transport accidents,0.5
