Year,Niveau de sécurité alimentaire du ménage,Géographie,Genre,Groupe d'âge,Type de famille économique,Minorité visible,Population autochtone,GeoCode,Value
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,8.2
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,6.6
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,1.6
2018,Sécurité alimentaire,Canada,Both genders,,Personnes dans les familles monoparentales,,,,58.2
2018,Insécurité alimentaire,Canada,Both genders,,Personnes dans les familles monoparentales,,,,41.8
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes dans les familles monoparentales,,,,9.4
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes dans les familles monoparentales,,,,32.4
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes dans les familles monoparentales,,,,21.4
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes dans les familles monoparentales,,,,11.0
2018,Sécurité alimentaire,Canada,Man+,,Personnes dans les familles monoparentales où le parent est un homme+,,,,70.0
2018,Insécurité alimentaire,Canada,Man+,,Personnes dans les familles monoparentales où le parent est un homme+,,,,30.0
2018,Insécurité alimentaire marginale,Canada,Man+,,Personnes dans les familles monoparentales où le parent est un homme+,,,,6.8
2018,Insécurité alimentaire modérée ou grave,Canada,Man+,,Personnes dans les familles monoparentales où le parent est un homme+,,,,23.3
2018,Insécurité alimentaire modérée,Canada,Man+,,Personnes dans les familles monoparentales où le parent est un homme+,,,,17.2
2018,Insécurité alimentaire grave,Canada,Man+,,Personnes dans les familles monoparentales où le parent est un homme+,,,,6.0
2018,Sécurité alimentaire,Canada,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,55.8
2018,Insécurité alimentaire,Canada,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,44.2
2018,Insécurité alimentaire marginale,Canada,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,9.9
2018,Insécurité alimentaire modérée ou grave,Canada,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,34.2
2018,Insécurité alimentaire modérée,Canada,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,22.2
2018,Insécurité alimentaire grave,Canada,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,12.0
2018,Sécurité alimentaire,Canada,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,78.4
2018,Insécurité alimentaire,Canada,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,21.6
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,5.8
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,15.9
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,10.4
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,5.5
2018,Sécurité alimentaire,Canada,Both genders,,Personnes hors famille économique,,,,79.7
2018,Insécurité alimentaire,Canada,Both genders,,Personnes hors famille économique,,,,20.3
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes hors famille économique,,,,4.9
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes hors famille économique,,,,15.3
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes hors famille économique,,,,8.4
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes hors famille économique,,,,7.0
2018,Sécurité alimentaire,Canada,Both genders,,Personnes âgées hors famille économique,,,,89.5
2018,Insécurité alimentaire,Canada,Both genders,,Personnes âgées hors famille économique,,,,10.5
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes âgées hors famille économique,,,,3.6
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes âgées hors famille économique,,,,7.0
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes âgées hors famille économique,,,,4.8
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes âgées hors famille économique,,,,2.2
2018,Sécurité alimentaire,Canada,Man+,,Hommes+ âgés hors famille économique,,,,87.2
2018,Insécurité alimentaire,Canada,Man+,,Hommes+ âgés hors famille économique,,,,12.8
2018,Insécurité alimentaire marginale,Canada,Man+,,Hommes+ âgés hors famille économique,,,,3.4
2018,Insécurité alimentaire modérée ou grave,Canada,Man+,,Hommes+ âgés hors famille économique,,,,9.4
2018,Insécurité alimentaire modérée,Canada,Man+,,Hommes+ âgés hors famille économique,,,,6.2
2018,Insécurité alimentaire grave,Canada,Man+,,Hommes+ âgés hors famille économique,,,,3.3
2018,Sécurité alimentaire,Canada,Woman+,,Femmes+ âgées hors famille économique,,,,90.7
2018,Insécurité alimentaire,Canada,Woman+,,Femmes+ âgées hors famille économique,,,,9.3
2018,Insécurité alimentaire marginale,Canada,Woman+,,Femmes+ âgées hors famille économique,,,,3.7
2018,Insécurité alimentaire modérée ou grave,Canada,Woman+,,Femmes+ âgées hors famille économique,,,,5.6
2018,Insécurité alimentaire modérée,Canada,Woman+,,Femmes+ âgées hors famille économique,,,,4.1
2018,Insécurité alimentaire grave,Canada,Woman+,,Femmes+ âgées hors famille économique,,,,1.6
2018,Sécurité alimentaire,Canada,Both genders,,Personnes non âgées hors famille économique,,,,75.5
2018,Insécurité alimentaire,Canada,Both genders,,Personnes non âgées hors famille économique,,,,24.5
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes non âgées hors famille économique,,,,5.5
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes non âgées hors famille économique,,,,18.9
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes non âgées hors famille économique,,,,9.9
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes non âgées hors famille économique,,,,9.1
2018,Sécurité alimentaire,Canada,Man+,,Hommes+ non âgés hors famille économique,,,,75.5
2018,Insécurité alimentaire,Canada,Man+,,Hommes+ non âgés hors famille économique,,,,24.5
2018,Insécurité alimentaire marginale,Canada,Man+,,Hommes+ non âgés hors famille économique,,,,5.8
2018,Insécurité alimentaire modérée ou grave,Canada,Man+,,Hommes+ non âgés hors famille économique,,,,18.7
2018,Insécurité alimentaire modérée,Canada,Man+,,Hommes+ non âgés hors famille économique,,,,9.0
2018,Insécurité alimentaire grave,Canada,Man+,,Hommes+ non âgés hors famille économique,,,,9.7
2018,Sécurité alimentaire,Canada,Woman+,,Femmes+ non âgées hors famille économique,,,,75.6
2018,Insécurité alimentaire,Canada,Woman+,,Femmes+ non âgées hors famille économique,,,,24.4
2018,Insécurité alimentaire marginale,Canada,Woman+,,Femmes+ non âgées hors famille économique,,,,5.1
2018,Insécurité alimentaire modérée ou grave,Canada,Woman+,,Femmes+ non âgées hors famille économique,,,,19.2
2018,Insécurité alimentaire modérée,Canada,Woman+,,Femmes+ non âgées hors famille économique,,,,11.1
2018,Insécurité alimentaire grave,Canada,Woman+,,Femmes+ non âgées hors famille économique,,,,8.2
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Toutes les personnes,,,,80.8
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Toutes les personnes,,,,19.2
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Toutes les personnes,,,,5.6
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Toutes les personnes,,,,13.6
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Toutes les personnes,,,,8.6
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Toutes les personnes,,,,5.0
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles économiques,,,,81.7
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles économiques,,,,18.3
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes dans les familles économiques,,,,5.6
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes dans les familles économiques,,,,12.7
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes dans les familles économiques,,,,8.5
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes dans les familles économiques,,,,4.2
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Persons in senior families,,,,90.8
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Persons in senior families,,,,9.2
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Persons in senior families,,,,3.6
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Persons in senior families,,,,5.7
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Persons in senior families,,,,3.7
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Persons in senior families,,,,1.9
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les couples de personnes âgées,,,,92.6
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les couples de personnes âgées,,,,7.4
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes dans les couples de personnes âgées,,,,2.9
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes dans les couples de personnes âgées,,,,4.5
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes dans les couples de personnes âgées,,,,3.0
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes dans les couples de personnes âgées,,,,1.5
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes âgées,,,,84.7
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes âgées,,,,15.3
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes âgées,,,,6.0
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes âgées,,,,9.4
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes âgées,,,,6.1
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles non âgées,,,,79.7
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles non âgées,,,,20.3
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes dans les familles non âgées,,,,6.1
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes dans les familles non âgées,,,,14.3
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes dans les familles non âgées,,,,9.5
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes dans les familles non âgées,,,,4.7
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les couples,,,,85.8
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les couples,,,,14.2
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes dans les couples,,,,3.9
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes dans les couples,,,,10.3
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes dans les couples,,,,5.8
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes dans les couples,,,,4.5
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,79.2
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,20.8
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,7.8
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,13.0
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,9.5
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,3.5
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,88.5
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,11.5
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,9.9
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,8.3
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles monoparentales,,,,56.0
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les familles monoparentales,,,,44.0
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes dans les familles monoparentales,,,,7.6
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes dans les familles monoparentales,,,,36.4
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes dans les familles monoparentales,,,,22.0
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes dans les familles monoparentales,,,,14.5
2018,Sécurité alimentaire,Provinces de l'Atlantique,Man+,,Personnes dans les familles monoparentales où le parent est un homme+,,,,65.7
2018,Insécurité alimentaire,Provinces de l'Atlantique,Man+,,Personnes dans les familles monoparentales où le parent est un homme+,,,,34.3
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Man+,,Personnes dans les familles monoparentales où le parent est un homme+,,,,26.4
2018,Sécurité alimentaire,Provinces de l'Atlantique,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,54.1
2018,Insécurité alimentaire,Provinces de l'Atlantique,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,45.9
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,7.5
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,38.4
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,22.8
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Woman+,,Personnes dans les familles monoparentales où le parent est une femme+,,,,15.7
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,73.7
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,26.3
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,8.9
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,17.4
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,9.7
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes dans les autres familles de personnes non âgées,,,,7.7
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes hors famille économique,,,,76.5
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes hors famille économique,,,,23.5
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes hors famille économique,,,,5.7
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes hors famille économique,,,,17.7
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes hors famille économique,,,,9.1
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes hors famille économique,,,,8.6
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes âgées hors famille économique,,,,84.2
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes âgées hors famille économique,,,,15.8
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes âgées hors famille économique,,,,4.9
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes âgées hors famille économique,,,,10.9
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes âgées hors famille économique,,,,6.6
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes âgées hors famille économique,,,,4.3
2018,Sécurité alimentaire,Provinces de l'Atlantique,Man+,,Hommes+ âgés hors famille économique,,,,78.9
2018,Insécurité alimentaire,Provinces de l'Atlantique,Man+,,Hommes+ âgés hors famille économique,,,,21.1
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Man+,,Hommes+ âgés hors famille économique,,,,6.8
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Man+,,Hommes+ âgés hors famille économique,,,,14.3
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Man+,,Hommes+ âgés hors famille économique,,,,8.2
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Man+,,Hommes+ âgés hors famille économique,,,,6.1
2018,Sécurité alimentaire,Provinces de l'Atlantique,Woman+,,Femmes+ âgées hors famille économique,,,,87.1
2018,Insécurité alimentaire,Provinces de l'Atlantique,Woman+,,Femmes+ âgées hors famille économique,,,,12.9
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Woman+,,Femmes+ âgées hors famille économique,,,,3.8
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Woman+,,Femmes+ âgées hors famille économique,,,,9.1
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Woman+,,Femmes+ âgées hors famille économique,,,,5.7
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Woman+,,Femmes+ âgées hors famille économique,,,,3.3
2018,Sécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes non âgées hors famille économique,,,,72.6
2018,Insécurité alimentaire,Provinces de l'Atlantique,Both genders,,Personnes non âgées hors famille économique,,,,27.4
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Both genders,,Personnes non âgées hors famille économique,,,,6.2
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Both genders,,Personnes non âgées hors famille économique,,,,21.2
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Both genders,,Personnes non âgées hors famille économique,,,,10.4
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Both genders,,Personnes non âgées hors famille économique,,,,10.9
2018,Sécurité alimentaire,Provinces de l'Atlantique,Man+,,Hommes+ non âgés hors famille économique,,,,73.1
2018,Insécurité alimentaire,Provinces de l'Atlantique,Man+,,Hommes+ non âgés hors famille économique,,,,26.9
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Man+,,Hommes+ non âgés hors famille économique,,,,6.3
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Man+,,Hommes+ non âgés hors famille économique,,,,20.6
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Man+,,Hommes+ non âgés hors famille économique,,,,10.2
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Man+,,Hommes+ non âgés hors famille économique,,,,10.4
2018,Sécurité alimentaire,Provinces de l'Atlantique,Woman+,,Femmes+ non âgées hors famille économique,,,,72.0
2018,Insécurité alimentaire,Provinces de l'Atlantique,Woman+,,Femmes+ non âgées hors famille économique,,,,28.0
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Woman+,,Femmes+ non âgées hors famille économique,,,,6.0
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Woman+,,Femmes+ non âgées hors famille économique,,,,22.0
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Woman+,,Femmes+ non âgées hors famille économique,,,,10.6
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Woman+,,Femmes+ non âgées hors famille économique,,,,11.4
2018,Sécurité alimentaire,Terre-Neuve-et-Labrador,Both genders,,Toutes les personnes,,,10,81.0
2018,Insécurité alimentaire,Terre-Neuve-et-Labrador,Both genders,,Toutes les personnes,,,10,19.0
2018,Insécurité alimentaire marginale,Terre-Neuve-et-Labrador,Both genders,,Toutes les personnes,,,10,6.8
2018,Insécurité alimentaire modérée ou grave,Terre-Neuve-et-Labrador,Both genders,,Toutes les personnes,,,10,12.2
2018,Insécurité alimentaire modérée,Terre-Neuve-et-Labrador,Both genders,,Toutes les personnes,,,10,8.1
2018,Insécurité alimentaire grave,Terre-Neuve-et-Labrador,Both genders,,Toutes les personnes,,,10,4.1
2018,Sécurité alimentaire,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les familles économiques,,,10,81.7
2018,Insécurité alimentaire,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les familles économiques,,,10,18.3
2018,Insécurité alimentaire marginale,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les familles économiques,,,10,7.3
2018,Insécurité alimentaire modérée ou grave,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les familles économiques,,,10,11.0
2018,Insécurité alimentaire modérée,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les familles économiques,,,10,7.4
2018,Insécurité alimentaire grave,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les familles économiques,,,10,3.6
2018,Sécurité alimentaire,Terre-Neuve-et-Labrador,Both genders,,Persons in senior families,,,10,90.2
2018,Insécurité alimentaire,Terre-Neuve-et-Labrador,Both genders,,Persons in senior families,,,10,9.8
2018,Insécurité alimentaire marginale,Terre-Neuve-et-Labrador,Both genders,,Persons in senior families,,,10,3.3
2018,Insécurité alimentaire modérée ou grave,Terre-Neuve-et-Labrador,Both genders,,Persons in senior families,,,10,6.5
2018,Insécurité alimentaire modérée,Terre-Neuve-et-Labrador,Both genders,,Persons in senior families,,,10,4.6
2018,Sécurité alimentaire,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les couples de personnes âgées,,,10,89.4
2018,Insécurité alimentaire,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les couples de personnes âgées,,,10,10.6
2018,Insécurité alimentaire marginale,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les couples de personnes âgées,,,10,4.2
2018,Insécurité alimentaire modérée ou grave,Terre-Neuve-et-Labrador,Both genders,,Personnes dans les couples de personnes âgées,,,10,6.4
